,MLLCB FP Equity_PX_LAST
2021-07-09,4.3
2021-07-12,4.48
2021-07-13,4.56
2021-07-14,4.5
2021-07-15,4.5
2021-07-16,4.56
2021-07-19,4.5
2021-07-20,4.56
2021-07-21,4.5
2021-07-22,4.5
2021-07-23,4.48
2021-07-26,4.4
2021-07-27,4.3
2021-07-28,4.5
2021-07-29,4.3
2021-08-02,4.48
2021-08-03,4.4
2021-08-04,4.32
2021-08-05,4.24
2021-08-06,4.24
2021-08-09,4.2
2021-08-10,4.36
2021-08-11,4.1
2021-08-12,4.06
2021-08-13,4.16
2021-08-16,4.22
2021-08-17,4.22
2021-08-18,4.22
2021-08-19,4.3
2021-08-20,4.3
2021-08-23,4.3
2021-08-24,4.2
2021-08-25,4.2
2021-08-26,4.3
2021-08-27,4.36
2021-08-30,4.32
2021-08-31,4.2
2021-09-01,4.1
2021-09-02,4.06
2021-09-03,4.1
2021-09-06,4.08
2021-09-07,4.2
2021-09-08,4.08
2021-09-09,4.06
2021-09-10,4.24
2021-09-13,4.24
2021-09-14,4.3
2021-09-15,4.32
2021-09-16,4.36
2021-09-17,4.4
2021-09-20,4.4
2021-09-21,4.4
2021-09-22,4.4
2021-09-23,4.3
2021-09-24,4.22
2021-09-27,4.22
2021-09-28,4.3
2021-09-29,4.32
2021-09-30,4.4
2021-10-01,4.26
2021-10-04,4.3
2021-10-05,4.3
2021-10-06,4.26
2021-10-07,4.48
2021-10-08,4.48
2021-10-11,4.34
2021-10-12,4.34
2021-10-13,4.34
2021-10-14,4.44
2021-10-15,4.44
2021-10-18,4.4
2021-10-19,4.4
2021-10-22,4.34
2021-10-25,4.44
2021-10-26,4.48
2021-10-27,4.5
2021-10-28,4.42
2021-10-29,4.42
2021-11-01,4.5
2021-11-02,4.5
2021-11-04,4.52
2021-11-05,4.52
2021-11-08,4.52
2021-11-09,4.54
2021-11-10,4.56
2021-11-11,4.56
2021-11-12,4.5
2021-11-15,4.54
2021-11-16,4.5
2021-11-17,4.54
2021-11-18,4.54
2021-11-19,4.48
2021-11-22,4.46
2021-11-23,4.52
2021-11-24,4.44
2021-11-26,4.42
2021-11-29,4.38
2021-11-30,4.3
2021-12-01,4.38
2021-12-03,4.26
2021-12-06,4.3
2021-12-07,4.38
2021-12-08,4.38
2021-12-10,4.38
2021-12-13,4.3
2021-12-14,4.3
2021-12-15,4.26
2021-12-16,4.26
2021-12-17,4.32
2021-12-20,4.22
2021-12-22,4.32
2021-12-23,4.32
2021-12-28,4.38
2021-12-29,4.38
2021-12-30,4.48
2021-12-31,4.46
2022-01-03,4.5
2022-01-04,4.5
2022-01-05,4.54
2022-01-06,4.44
2022-01-07,4.4
2022-01-10,4.54
2022-01-11,4.72
2022-01-12,4.76
2022-01-13,4.76
2022-01-14,4.66
2022-01-17,4.9
2022-01-18,4.94
2022-01-19,5.0
2022-01-20,5.1
2022-01-21,5.1
2022-01-24,5.0
2022-01-25,4.9
2022-01-26,5.0
2022-01-27,5.0
2022-01-28,5.1
2022-01-31,5.1
2022-02-01,5.1
2022-02-02,5.0
2022-02-03,5.0
2022-02-04,5.0
2022-02-07,5.1
2022-02-08,5.1
2022-02-09,5.1
2022-02-10,5.1
2022-02-11,4.94
2022-02-14,4.94
2022-02-15,5.05
2022-02-16,5.0
2022-02-17,5.05
2022-02-18,5.05
2022-02-21,5.05
2022-02-22,4.86
2022-02-23,5.0
2022-02-24,4.76
2022-02-25,4.76
2022-02-28,4.74
2022-03-01,4.74
2022-03-02,4.8
2022-03-03,4.74
2022-03-04,4.66
2022-03-07,4.78
2022-03-08,4.8
2022-03-09,4.8
2022-03-10,4.8
2022-03-11,4.86
2022-03-14,4.86
2022-03-16,4.9
2022-03-17,5.1
2022-03-18,5.1
2022-03-21,5.1
2022-03-22,5.0
2022-03-23,4.9
2022-03-25,4.92
2022-03-28,5.0
2022-03-29,5.0
2022-03-30,5.1
2022-04-01,5.1
2022-04-04,4.94
2022-04-05,4.94
2022-04-06,4.9
2022-04-07,4.8
2022-04-08,4.8
2022-04-11,4.9
2022-04-12,4.8
2022-04-13,4.8
2022-04-14,4.86
2022-04-20,4.8
2022-04-22,4.9
2022-04-25,4.94
2022-04-26,4.7
2022-04-27,4.68
2022-04-28,4.68
2022-04-29,4.68
2022-05-02,4.78
2022-05-03,4.78
2022-05-04,4.8
2022-05-05,4.84
2022-05-09,4.84
2022-05-11,4.7
2022-05-12,4.7
2022-05-13,4.68
2022-05-17,4.62
2022-05-18,4.7
2022-05-19,4.7
2022-05-20,4.62
2022-05-23,4.7
2022-05-24,4.62
2022-05-27,4.7
2022-05-30,4.7
2022-05-31,4.7
2022-06-01,4.62
2022-06-02,4.62
2022-06-03,4.7
2022-06-06,4.7
2022-06-07,4.8
2022-06-08,4.88
2022-06-09,4.88
2022-06-10,5.0
2022-06-13,4.98
2022-06-14,4.88
2022-06-15,4.8
2022-06-16,4.7
2022-06-17,4.8
2022-06-20,4.7
2022-06-21,4.8
2022-06-22,4.7
2022-06-23,4.8
2022-06-24,4.66
2022-06-27,4.88
2022-06-28,4.9
2022-06-29,4.88
2022-06-30,4.88
2022-07-01,4.94
2022-07-06,4.82
2022-07-07,4.94
2022-07-08,5.0
2022-07-12,4.9
2022-07-13,4.9
2022-07-15,5.0
2022-07-18,5.1
2022-07-19,5.1
2022-07-20,5.2
2022-07-21,5.1
2022-07-22,5.1
2022-07-26,5.2
2022-07-27,5.1
2022-07-28,5.1
2022-07-29,5.1
2022-08-01,5.0
2022-08-02,5.0
2022-08-04,4.9
2022-08-05,5.0
2022-08-08,5.0
2022-08-09,4.92
2022-08-10,5.0
2022-08-11,5.0
2022-08-12,4.9
2022-08-15,5.0
2022-08-16,5.0
2022-08-17,4.9
2022-08-18,5.0
2022-08-19,4.9
2022-08-23,5.0
2022-08-24,4.9
2022-08-25,5.0
2022-08-26,4.84
2022-08-29,5.0
2022-08-30,4.9
2022-08-31,4.9
2022-09-05,4.82
2022-09-06,4.82
2022-09-07,4.82
2022-09-08,4.82
2022-09-09,4.9
2022-09-12,4.9
2022-09-13,4.9
2022-09-14,4.82
2022-09-16,4.82
2022-09-22,4.74
2022-09-23,4.74
2022-09-26,4.66
2022-09-28,4.66
2022-09-29,4.72
2022-09-30,4.86
2022-10-04,4.66
2022-10-05,4.6
2022-10-06,4.56
2022-10-07,4.48
2022-10-10,4.5
2022-10-11,4.5
2022-10-13,4.5
2022-10-14,4.66
2022-10-17,4.7
2022-10-18,4.74
2022-10-21,4.72
2022-10-24,4.64
2022-10-25,4.72
2022-10-27,4.76
2022-10-28,4.9
2022-10-31,4.84
2022-11-01,4.9
2022-11-02,4.86
2022-11-03,4.74
2022-11-04,4.84
2022-11-07,4.84
2022-11-08,4.84
2022-11-11,4.86
2022-11-14,4.9
2022-11-15,4.9
2022-11-17,4.92
2022-11-18,4.74
2022-11-21,4.84
2022-11-22,4.74
2022-11-23,4.84
2022-11-24,4.74
2022-11-25,4.64
2022-11-28,4.74
2022-11-29,4.74
2022-11-30,4.74
2022-12-01,4.74
2022-12-02,4.74
2022-12-05,4.7
2022-12-06,4.64
2022-12-07,4.74
2022-12-08,4.74
2022-12-09,4.64
2022-12-12,4.74
2022-12-13,4.84
2022-12-14,4.84
2022-12-15,4.84
2022-12-16,4.64
2022-12-19,4.64
2022-12-20,4.54
2022-12-21,4.54
2022-12-22,4.52
2022-12-23,4.64
2022-12-27,4.64
2022-12-28,4.64
2022-12-29,4.64
2022-12-30,4.64
2023-01-02,4.6
2023-01-03,4.64
2023-01-04,4.64
2023-01-05,4.54
2023-01-06,4.54
2023-01-09,4.54
2023-01-10,4.54
2023-01-11,4.54
2023-01-12,4.46
2023-01-13,4.4
2023-01-16,4.4
2023-01-17,4.54
2023-01-18,4.54
2023-01-19,4.54
2023-01-20,4.54
2023-01-23,4.54
2023-01-24,4.54
2023-01-25,4.38
2023-01-26,4.38
2023-01-27,4.4
2023-01-30,4.38
2023-01-31,4.34
2023-02-01,4.46
2023-02-02,4.46
2023-02-03,4.46
2023-02-06,4.34
2023-02-07,4.4
2023-02-08,4.5
2023-02-09,4.5
2023-02-10,4.48
2023-02-13,4.4
2023-02-14,4.4
2023-02-15,4.4
2023-02-16,4.5
2023-02-17,4.24
2023-02-20,4.4
2023-02-21,4.4
2023-02-22,4.4
2023-02-23,4.4
2023-02-24,4.4
2023-02-27,4.4
2023-02-28,4.4
2023-03-01,4.26
2023-03-02,4.5
2023-03-03,4.5
2023-03-06,4.5
2023-03-07,4.5
2023-03-08,4.34
2023-03-09,4.34
2023-03-10,4.4
2023-03-13,4.3
2023-03-14,4.3
2023-03-15,4.4
2023-03-16,4.4
2023-03-17,4.4
2023-03-20,4.4
2023-03-21,4.34
2023-03-22,4.34
2023-03-23,4.4
2023-03-24,4.4
2023-03-27,4.5
2023-03-28,4.42
2023-03-29,4.4
2023-03-30,4.4
2023-03-31,4.52
2023-04-03,4.52
2023-04-04,4.52
2023-04-05,4.52
2023-04-06,4.52
2023-04-11,4.52
2023-04-12,4.52
2023-04-13,4.52
2023-04-14,4.34
2023-04-17,4.52
2023-04-18,4.34
2023-04-19,4.52
2023-04-20,4.52
2023-04-21,4.52
2023-04-24,4.52
2023-04-25,4.52
2023-04-26,4.52
2023-04-27,4.5
2023-04-28,4.52
2023-05-02,4.52
2023-05-03,4.52
2023-05-04,4.4
2023-05-05,4.3
2023-05-08,4.3
2023-05-09,4.56
2023-05-10,4.56
2023-05-11,4.5
2023-05-12,4.5
2023-05-15,4.5
2023-05-16,4.5
2023-05-17,4.38
2023-05-18,4.4
2023-05-19,4.4
2023-05-22,4.4
2023-05-23,4.4
2023-05-24,4.18
2023-05-25,4.4
2023-05-26,4.4
2023-05-29,4.4
2023-05-30,4.24
2023-05-31,4.34
2023-06-01,4.34
2023-06-02,4.18
2023-06-05,4.18
2023-06-06,4.18
2023-06-07,4.4
2023-06-08,4.4
2023-06-09,4.4
2023-06-12,4.4
2023-06-13,4.3
2023-06-14,4.3
2023-06-15,4.16
2023-06-16,4.4
2023-06-19,4.2
2023-06-20,4.4
2023-06-21,4.48
2023-06-22,4.48
2023-06-23,4.48
2023-06-26,4.46
2023-06-27,4.3
2023-06-28,4.3
2023-06-29,4.4
2023-06-30,4.4
2023-07-03,4.4
2023-07-04,4.4
2023-07-05,4.3
2023-07-06,4.44
2023-07-07,4.3
2023-07-10,4.3
2023-07-11,4.44
2023-07-12,4.44
2023-07-13,4.42
2023-07-14,4.4
2023-07-17,4.4
2023-07-18,4.4
2023-07-19,4.4
2023-07-20,4.4
2023-07-21,4.4
2023-07-24,4.22
2023-07-25,4.4
2023-07-26,4.4
2023-07-27,4.4
2023-07-28,4.22
2023-07-31,4.2
2023-08-01,4.4
2023-08-02,4.28
2023-08-03,4.28
2023-08-04,4.22
2023-08-07,4.22
2023-08-08,4.18
2023-08-09,4.18
2023-08-10,4.38
2023-08-11,4.36
2023-08-14,4.36
2023-08-15,4.36
2023-08-16,4.2
2023-08-17,4.2
2023-08-18,4.2
2023-08-21,4.16
2023-08-22,4.18
2023-08-23,4.28
2023-08-24,4.28
2023-08-25,4.18
2023-08-28,4.16
2023-08-29,4.16
2023-08-30,4.12
2023-08-31,4.28
2023-09-01,4.3
2023-09-04,4.3
2023-09-05,4.3
2023-09-06,4.28
2023-09-07,4.02
2023-09-08,4.22
2023-09-11,4.22
2023-09-12,4.22
2023-09-13,4.22
2023-09-14,4.2
2023-09-15,4.24
2023-09-18,4.28
2023-09-19,4.26
2023-09-20,4.28
2023-09-21,4.06
2023-09-22,4.34
2023-09-25,4.02
2023-09-26,4.02
2023-09-27,4.3
2023-09-28,4.1
2023-09-29,4.3
2023-10-02,4.3
2023-10-03,4.3
2023-10-04,4.3
2023-10-05,4.3
2023-10-06,4.3
2023-10-09,4.3
2023-10-10,4.02
2023-10-11,4.3
2023-10-12,4.34
2023-10-13,4.34
2023-10-16,4.34
2023-10-17,4.24
2023-10-18,3.86
2023-10-19,3.86
2023-10-20,3.84
2023-10-23,4.3
2023-10-24,4.3
2023-10-25,3.82
2023-10-26,4.28
2023-10-27,4.28
2023-10-30,4.1
2023-10-31,4.1
2023-11-01,4.08
2023-11-02,4.06
2023-11-03,3.92
2023-11-06,3.9
2023-11-07,3.9
2023-11-08,3.64
2023-11-09,3.64
2023-11-10,4.06
2023-11-13,4.04
2023-11-14,3.5
2023-11-15,4.0
2023-11-16,3.7
2023-11-17,3.94
2023-11-20,3.8
2023-11-21,3.8
2023-11-22,3.6
2023-11-23,3.86
2023-11-24,3.56
2023-11-27,3.72
2023-11-28,3.72
2023-11-29,3.74
2023-11-30,3.78
2023-12-01,3.6
2023-12-04,3.7
2023-12-05,3.7
2023-12-06,3.7
2023-12-07,3.88
2023-12-08,3.8
2023-12-11,3.64
2023-12-12,3.6
2023-12-13,3.88
2023-12-14,3.88
2023-12-15,3.92
2023-12-18,4.0
2023-12-19,4.1
2023-12-20,4.2
2023-12-21,4.36
2023-12-22,4.36
2023-12-27,4.2
2023-12-28,4.2
2023-12-29,3.92
2024-01-02,4.08
2024-01-03,4.08
2024-01-04,3.94
2024-01-05,3.82
2024-01-08,3.78
2024-01-09,3.8
2024-01-10,3.78
2024-01-11,3.8
2024-01-12,3.7
2024-01-15,4.0
2024-01-16,4.0
2024-01-17,3.72
2024-01-18,4.16
2024-01-19,4.16
2024-01-22,4.18
2024-01-23,3.82
2024-01-24,4.12
2024-01-25,3.82
2024-01-26,3.84
2024-01-29,3.72
2024-01-30,4.06
2024-01-31,3.96
2024-02-01,4.08
2024-02-02,4.08
2024-02-05,4.08
2024-02-06,4.06
2024-02-07,4.06
2024-02-08,4.04
2024-02-09,4.04
2024-02-12,4.02
2024-02-13,4.06
2024-02-14,4.06
2024-02-15,3.84
2024-02-16,4.06
2024-02-19,3.84
2024-02-20,4.06
2024-02-21,3.86
2024-02-22,4.06
2024-02-23,3.84
2024-02-26,3.7
2024-02-27,3.94
2024-02-28,3.62
2024-02-29,3.62
2024-03-01,3.72
2024-03-04,3.7
2024-03-05,3.7
2024-03-06,3.7
2024-03-07,3.72
2024-03-08,3.72
2024-03-11,3.72
2024-03-12,3.98
2024-03-13,3.92
2024-03-14,3.8
2024-03-15,3.88
2024-03-18,3.76
2024-03-19,3.76
2024-03-20,3.76
2024-03-21,3.76
2024-03-22,3.76
2024-03-25,3.76
2024-03-26,3.76
2024-03-27,3.76
2024-03-28,3.94
2024-04-02,3.94
2024-04-03,3.96
2024-04-04,3.88
2024-04-05,3.86
2024-04-08,3.86
2024-04-09,3.86
2024-04-10,3.8
2024-04-11,3.54
2024-04-12,3.94
2024-04-15,3.94
2024-04-16,3.94
2024-04-17,3.92
2024-04-18,3.92
2024-04-19,3.92
2024-04-22,3.92
2024-04-23,3.64
2024-04-24,3.94
2024-04-25,3.64
2024-04-26,3.92
2024-04-29,3.86
2024-04-30,3.66
2024-05-02,3.94
2024-05-03,3.9
2024-05-06,3.9
2024-05-07,3.9
2024-05-08,3.9
2024-05-09,3.68
2024-05-10,3.66
2024-05-13,3.92
2024-05-14,3.92
2024-05-15,3.9
2024-05-16,3.9
2024-05-17,3.88
2024-05-20,3.88
2024-05-21,3.9
2024-05-22,3.9
2024-05-23,3.68
2024-05-24,3.68
2024-05-27,3.9
2024-05-28,3.9
2024-05-29,3.72
2024-05-30,3.88
2024-05-31,3.9
2024-06-03,3.9
2024-06-04,3.88
2024-06-05,3.8
2024-06-06,3.8
2024-06-07,3.76
2024-06-10,3.76
2024-06-11,3.88
2024-06-12,3.88
2024-06-13,3.72
2024-06-14,3.7
2024-06-17,3.7
2024-06-18,3.7
2024-06-19,3.7
2024-06-20,3.86
2024-06-21,3.86
2024-06-24,3.68
2024-06-25,3.86
2024-06-26,3.68
2024-06-27,3.66
2024-06-28,3.6
2024-07-01,3.8
2024-07-02,3.8
2024-07-03,3.6
2024-07-04,3.6
2024-07-05,3.6
2024-07-08,3.52
2024-07-09,3.52
2024-07-10,3.6
2024-07-11,3.52
2024-07-12,3.6
2024-07-15,3.6
2024-07-16,3.6
2024-07-17,3.62
2024-07-18,3.68
2024-07-19,3.66
2024-07-22,3.52
2024-07-23,3.6
2024-07-24,3.6
2024-07-25,3.6
2024-07-26,3.6
2024-07-29,3.6
2024-07-30,3.48
2024-07-31,3.48
2024-08-01,3.48
2024-08-02,3.6
2024-08-05,3.6
2024-08-06,3.58
2024-08-07,3.6
2024-08-08,3.56
2024-08-09,3.56
2024-08-12,3.5
2024-08-13,3.42
2024-08-14,3.42
2024-08-15,3.42
2024-08-16,3.48
2024-08-19,3.48
2024-08-20,3.48
2024-08-21,3.48
2024-08-22,3.48
2024-08-23,3.36
2024-08-26,3.36
2024-08-27,3.48
2024-08-28,3.48
2024-08-29,3.48
2024-08-30,3.48
2024-09-02,3.48
2024-09-03,3.48
2024-09-04,3.48
2024-09-05,3.48
2024-09-06,3.48
2024-09-09,3.3
2024-09-10,3.46
2024-09-11,3.46
2024-09-12,3.46
2024-09-13,3.5
2024-09-16,3.5
2024-09-17,3.5
2024-09-18,3.28
2024-09-19,3.28
2024-09-20,3.48
2024-09-23,3.5
2024-09-24,3.5
2024-09-25,3.5
2024-09-26,3.5
2024-09-27,3.5
2024-09-30,3.5
2024-10-01,3.34
2024-10-02,3.48
2024-10-03,3.48
2024-10-04,3.48
2024-10-07,3.48
2024-10-08,3.48
2024-10-09,3.48
2024-10-10,3.48
2024-10-11,3.2
2024-10-14,3.4
2024-10-15,3.4
2024-10-16,3.4
2024-10-17,3.4
2024-10-18,3.48
2024-10-21,3.48
2024-10-22,3.2
2024-10-23,3.48
2024-10-24,3.48
2024-10-25,3.48
2024-10-28,3.48
2024-10-29,3.2
2024-10-30,3.2
2024-10-31,3.2
2024-11-01,3.2
2024-11-04,3.2
2024-11-05,3.2
2024-11-06,3.2
2024-11-07,3.22
2024-11-08,3.22
2024-11-11,3.32
2024-11-12,3.32
2024-11-13,3.32
2024-11-14,3.32
2024-11-15,3.1
2024-11-18,3.1
2024-11-19,3.06
2024-11-20,3.06
2024-11-21,3.06
2024-11-22,3.3
2024-11-25,2.9
2024-11-26,2.9
2024-11-27,3.1
2024-11-28,3.3
2024-11-29,3.3
2024-12-02,3.1
2024-12-03,3.1
2024-12-04,3.1
2024-12-05,3.0
2024-12-06,3.0
2024-12-09,3.3
2024-12-10,3.3
2024-12-11,3.3
2024-12-12,3.3
2024-12-13,3.3
2024-12-16,3.3
2024-12-17,3.3
2024-12-18,3.3
2024-12-19,3.3
2024-12-20,3.3
2024-12-23,3.3
2024-12-24,3.14
2024-12-27,3.14
2024-12-30,2.9
2024-12-31,2.9
2025-01-02,2.9
2025-01-03,2.9
2025-01-06,3.1
2025-01-07,3.1
2025-01-08,3.1
2025-01-09,3.1
2025-01-10,3.1
2025-01-13,3.16
2025-01-14,3.0
2025-01-15,3.16
2025-01-16,3.16
2025-01-17,3.16
2025-01-20,2.98
2025-01-21,2.98
2025-01-22,2.98
2025-01-23,2.98
2025-01-24,2.98
2025-01-27,3.16
2025-01-28,3.16
2025-01-29,3.16
2025-01-30,3.16
2025-01-31,3.16
2025-02-03,3.12
2025-02-04,3.12
2025-02-05,3.12
2025-02-06,3.12
2025-02-07,3.2
2025-02-10,3.3
2025-02-11,3.1
2025-02-12,3.1
2025-02-13,3.18
2025-02-14,3.3
2025-02-17,3.3
2025-02-18,3.5
2025-02-19,3.7
2025-02-20,3.68
2025-02-21,3.68
2025-02-24,3.66
2025-02-25,3.46
2025-02-26,3.66
2025-02-27,3.6
2025-02-28,3.46
2025-03-03,3.58
2025-03-04,3.58
2025-03-05,3.58
2025-03-06,3.38
2025-03-07,3.54
2025-03-10,3.52
2025-03-11,3.52
2025-03-12,3.54
2025-03-13,3.54
2025-03-14,3.54
2025-03-17,3.66
2025-03-18,3.66
2025-03-19,3.64
2025-03-20,3.64
2025-03-21,3.64
2025-03-24,3.64
2025-03-25,3.44
2025-03-26,3.64
2025-03-27,3.46
2025-03-28,3.64
2025-03-31,3.46
2025-04-01,3.44
2025-04-02,3.64
2025-04-03,3.28
2025-04-04,3.08
2025-04-07,3.36
2025-04-08,3.1
2025-04-09,3.42
2025-04-10,3.42
2025-04-11,3.42
2025-04-14,3.42
2025-04-15,3.42
2025-04-16,3.16
2025-04-17,3.16
2025-04-22,3.16
2025-04-23,3.36
2025-04-24,3.36
2025-04-25,3.36
2025-04-28,3.16
2025-04-29,3.16
2025-04-30,3.16
2025-05-02,3.06
2025-05-05,3.06
2025-05-06,3.34
2025-05-07,3.34
2025-05-08,3.42
2025-05-09,3.42
2025-05-12,3.42
2025-05-13,3.42
2025-05-14,3.4
2025-05-15,3.4
2025-05-16,3.26
2025-05-19,3.42
2025-05-20,3.42
2025-05-21,3.42
2025-05-22,3.42
2025-05-23,3.42
2025-05-26,3.58
2025-05-27,3.56
2025-05-28,3.26
2025-05-29,3.54
2025-05-30,3.26
2025-06-02,3.54
2025-06-03,3.54
2025-06-04,3.48
2025-06-05,3.48
2025-06-06,3.6
2025-06-09,3.6
2025-06-10,3.58
2025-06-11,3.38
2025-06-12,3.6
2025-06-13,3.38
2025-06-16,3.38
2025-06-17,3.4
2025-06-18,3.56
2025-06-19,3.56
2025-06-20,3.56
2025-06-23,3.56
2025-06-24,3.56
2025-06-25,3.56
2025-06-26,3.56
2025-06-27,3.56
2025-06-30,3.28
2025-07-01,3.54
2025-07-02,3.54
2025-07-03,3.56
2025-07-04,3.58
2025-07-07,3.36
2025-07-08,3.58
2025-07-09,3.58
2025-07-10,3.56
2025-07-11,3.36
2025-07-14,3.42
2025-07-15,3.42
2025-07-16,3.56
2025-07-17,3.5
2025-07-18,3.28
2025-07-21,3.46
2025-07-22,3.46
2025-07-23,3.44
2025-07-24,3.44
2025-07-25,3.26
2025-07-28,3.26
2025-07-29,3.38
2025-07-30,3.44
2025-07-31,3.46
2025-08-01,3.46
2025-08-04,3.44
2025-08-05,3.44
2025-08-06,3.44
2025-08-07,3.26
2025-08-08,3.38
2025-08-11,3.38
2025-08-12,3.38
2025-08-13,3.38
2025-08-14,3.38
2025-08-15,3.38
2025-08-18,3.38
2025-08-19,3.38
2025-08-20,3.38
2025-08-21,3.38
2025-08-22,3.24
2025-08-25,3.26
2025-08-26,3.38
2025-08-27,3.38
2025-08-28,3.38
2025-08-29,3.4
