,ALNMG FP Equity_DX_SI_QTY,ALNMG FP Equity_DX_SHORT_INTEREST_VALUE,ALNMG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNMG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNMG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNMG FP Equity_DX_SI_MV,ALNMG FP Equity_DX_DSS,ALNMG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNMG FP Equity_DX_SUPPLY_SI_QTY,ALNMG FP Equity_DX_BROKER_SI_QTY,ALNMG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNMG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALNMG FP Equity_DX_BROKER_SI_MV_INC_x,ALNMG FP Equity_DX_BROKER_SI_QTY_ADD,ALNMG FP Equity_DX_SUPPLY_SI_MV_DEC,ALNMG FP Equity_DX_BROKER_SI_QTY_INC,ALNMG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNMG FP Equity_DX_BROKER_SI_MV_INC_y,ALNMG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALNMG FP Equity_DX_BROKER_SI_MV_ADD,ALNMG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNMG FP Equity_DX_BROKER_SI_QTY_DEC,ALNMG FP Equity_DX_SUPPLY_SI_MV,ALNMG FP Equity_DX_BROKER_SI_MV_DEC,ALNMG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNMG FP Equity_DX_UTILIZATION_QUANTITY,ALNMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNMG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNMG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNMG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNMG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNMG FP Equity_DX_BROKER_SI_CON_RATIO,ALNMG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNMG FP Equity_DX_DEMAND_SUPPLY_RATIO
2020-12-30,15000.0,4230.0,0.07,0.01,0.05,0.0,0.0,4230.0,0.0,15000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2020-12-31,15000.0,4050.0,0.07,0.01,0.05,0.0,0.0,4050.0,0.0,15000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-01,15000.0,4050.0,0.07,0.01,0.05,0.0,0.0,4050.0,0.0,15000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-04,15000.0,5730.0,0.07,0.01,0.05,0.0,0.0,5730.0,0.0,15000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-05,15000.0,4890.0,0.07,0.01,0.05,0.01,0.0,4890.0,0.0,15000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-06,3086.0,969.0,0.02,0.0,0.01,0.0,0.0,969.0,0.0,3086.0,0.0,,,,,,,,,,,11914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0
2021-01-07,6086.0,1984.04,0.03,0.0,0.02,0.0,0.0,1984.04,3000.0,6086.0,978.0,,0.0,,,3000.0,,0.0,,,3000.0,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0143
2021-01-08,9286.0,2971.52,0.05,0.0,0.03,0.0,0.0,2971.52,6200.0,9286.0,1984.0,3200.0,0.0,,,3200.0,,0.0,3200.0,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,0.7489
2021-01-11,17286.0,5393.23,0.09,0.01,0.06,0.01,0.0,5393.23,6200.0,17286.0,1934.4,,0.0,,,8000.0,,0.0,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.394
2021-01-12,17286.0,5462.38,0.09,0.01,0.06,0.01,0.0,5462.38,6200.0,17286.0,1959.2,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.394
2021-01-13,17286.0,5531.52,0.09,0.01,0.06,0.01,0.0,5531.52,6200.0,17286.0,1984.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.394
2021-01-14,37286.0,11707.8,0.18,0.02,0.13,0.01,0.0,11707.8,6200.0,37286.0,1946.8,,0.01,,,20000.0,,0.01,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,3.0069
2021-01-15,67286.0,19916.66,0.33,0.04,0.24,0.02,0.0,19916.66,6200.0,67286.0,1835.2,,0.01,,,30000.0,,0.01,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,5.4263
2021-01-18,82286.0,24027.51,0.41,0.04,0.3,0.02,0.0,24027.51,21200.0,82286.0,6190.4,15000.0,0.0,,,15000.0,,0.0,15000.0,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.9407
2021-01-19,82286.0,22217.22,0.41,0.04,0.3,0.02,0.0,22217.22,21200.0,82286.0,5724.0,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.9407
2021-01-20,82286.0,23040.08,0.41,0.04,0.3,0.02,0.0,23040.08,21200.0,82286.0,5936.0,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.9407
2021-01-21,82286.0,22052.65,0.41,0.04,0.3,0.02,0.0,22052.65,21200.0,82286.0,5681.6,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.9407
2021-01-22,82286.0,22052.65,0.41,0.04,0.3,0.02,0.0,22052.65,21200.0,82286.0,5681.6,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.9407
2021-01-25,134286.0,34645.79,0.66,0.07,0.49,0.04,1.0,34645.79,21200.0,134286.0,5469.6,,0.0,36000.0,,16000.0,,0.0,,0.01,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,27.03,0.6055,72.97,3.1671
2021-01-26,134286.0,37600.08,0.66,0.07,0.49,0.04,1.0,37600.08,21200.0,134286.0,5936.0,,,,,,,,,,,,0.01,,100.0,69.74,0.0,0.0,0.0,100.0,28.41,0.5932,71.59,4.4173
2021-01-27,134286.0,36257.22,0.66,0.07,0.49,0.04,1.0,36257.22,21200.0,134286.0,5724.0,,,,,,,,,,,,0.01,,100.0,50.0,0.0,0.0,0.0,100.0,27.77,0.5989,72.23,3.1671
2021-01-28,134586.0,36338.22,0.67,0.07,0.49,0.04,1.0,36338.22,15000.0,134586.0,4050.0,,0.0,,0.0,300.0,6200.0,0.0,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,27.74,0.5991,72.26,4.4862
2021-01-29,134586.0,34992.36,0.67,0.08,0.49,0.04,1.0,34992.36,15000.0,134586.0,3900.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,27.78,0.5987,72.22,4.4862
2021-02-01,129986.0,33796.36,0.64,0.08,0.47,0.03,1.0,31404.36,9200.0,120786.0,2392.0,,0.0,,0.0,1200.0,5800.0,0.0,,,,15000.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,37.01,0.5338,62.99,7.0645
2021-02-02,129986.0,38475.86,0.64,0.08,0.47,0.03,1.0,35752.66,9200.0,120786.0,2723.2,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.02,0.5337,62.98,7.0645
2021-02-03,129986.0,35356.19,0.64,0.08,0.47,0.04,1.0,32853.79,9200.0,120786.0,2502.4,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,35.31,0.5432,64.69,7.0645
2021-02-04,111586.0,30574.56,0.55,0.06,0.4,0.03,1.0,30574.56,0.0,111586.0,0.0,,,,0.0,,9200.0,,,,,9200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.29,0.6124,73.71,6.0645
2021-02-05,99586.0,26489.88,0.49,0.06,0.36,0.03,1.0,26489.88,0.0,99586.0,0.0,,,,,,,,,,,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.38,0.726,83.62,0.0
2021-02-08,108986.0,29644.19,0.54,0.07,0.39,0.03,1.0,28365.79,4700.0,104286.0,1278.4,,0.0,,,4700.0,,0.0,,,4700.0,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,23.64,0.6389,76.36,11.5943
2021-02-09,110786.0,29469.08,0.55,0.07,0.4,0.03,1.0,27979.48,5600.0,105186.0,1489.6,900.0,0.0,,,900.0,,0.0,900.0,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,24.84,0.6266,75.16,9.8916
2021-02-10,101186.0,28939.2,0.5,0.07,0.37,0.03,1.0,26994.4,6800.0,94386.0,1944.8,1200.0,,,,,,,1200.0,,,10800.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,17.81,0.7073,82.19,7.4401
2021-02-11,101186.0,28534.45,0.5,0.06,0.37,0.03,1.0,26616.85,6800.0,94386.0,1917.6,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.55,0.7106,82.45,7.4401
2021-02-12,101186.0,28534.45,0.5,0.06,0.37,0.03,1.0,26616.85,6800.0,94386.0,1917.6,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.6,0.7099,82.4,7.4401
2021-02-15,101186.0,27522.59,0.5,0.06,0.37,0.03,1.0,25672.99,6800.0,94386.0,1849.6,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.6,0.7099,82.4,7.4401
2021-02-16,101186.0,28332.08,0.5,0.08,0.37,0.03,1.0,26428.08,6800.0,94386.0,1904.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.73,0.7083,82.27,7.4401
2021-02-17,101186.0,28534.45,0.5,0.08,0.37,0.03,1.0,26616.85,6800.0,94386.0,1917.6,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.63,0.7096,82.37,7.4401
2021-02-18,101186.0,29343.94,0.5,0.09,0.37,0.03,1.0,27371.94,6800.0,94386.0,1972.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.6,0.7099,82.4,7.4401
2021-02-19,101186.0,29141.57,0.5,0.08,0.37,0.03,1.0,27183.17,6800.0,94386.0,1958.4,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.51,0.7112,82.49,7.4401
2021-02-22,102214.0,30868.63,0.51,0.09,0.37,0.03,1.0,28815.03,7828.0,95414.0,2364.06,1028.0,0.0,,,1028.0,,0.0,1028.0,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.35,0.7132,82.65,6.5287
2021-02-23,102214.0,28415.49,0.51,0.09,0.37,0.03,1.0,26525.09,7828.0,95414.0,2176.18,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.2,0.7152,82.8,6.5287
2021-02-24,103714.0,28625.06,0.51,0.09,0.38,0.03,1.0,26748.26,9328.0,96914.0,2574.53,1500.0,0.0,,,1500.0,,0.0,1500.0,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.22,0.7149,82.78,5.5593
2021-02-25,103714.0,28832.49,0.51,0.09,0.38,0.03,1.0,26942.09,9328.0,96914.0,2593.18,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.25,0.7145,82.75,5.5593
2021-02-26,103714.0,27795.35,0.51,0.09,0.38,0.03,1.0,25972.95,9328.0,96914.0,2499.9,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.22,0.7149,82.78,5.5593
2021-03-01,103714.0,28210.21,0.51,0.09,0.38,0.03,1.0,26360.61,9328.0,96914.0,2537.22,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.35,0.7132,82.65,5.5593
2021-03-02,103714.0,28002.78,0.51,0.1,0.38,0.03,1.0,26166.78,9328.0,96914.0,2518.56,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.3,0.7139,82.7,5.5593
2021-03-03,102686.0,27109.1,0.51,0.1,0.37,0.03,1.0,25313.9,8300.0,95886.0,2191.2,,,,0.0,,1028.0,,,,,1028.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,17.5,0.7113,82.5,6.1859
2021-03-04,75755.0,20150.83,0.37,0.08,0.27,0.02,0.0,18342.03,6800.0,68955.0,1808.8,,,,0.0,,1500.0,,,,,26931.0,0.0,0.01,100.0,50.0,0.0,0.0,0.0,100.0,23.78,0.6375,76.22,5.5702
2021-03-05,68618.0,18115.15,0.34,0.08,0.25,0.02,0.0,16319.95,6800.0,61818.0,1795.2,,,,,,,,,,,7137.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,26.2,0.6133,73.8,5.0454
2021-03-08,48103.0,12410.57,0.24,0.05,0.17,0.01,0.0,10656.17,6800.0,41303.0,1754.4,,,,,,,,,,,20515.0,0.0,0.01,100.0,50.0,0.0,0.0,0.0,100.0,37.41,0.5317,62.59,3.537
2021-03-09,48103.0,12121.96,0.24,0.05,0.17,0.01,0.0,10408.36,6800.0,41303.0,1713.6,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.75,0.53,62.25,3.537
2021-03-10,48103.0,12506.78,0.24,0.05,0.17,0.01,0.0,10738.78,6800.0,41303.0,1768.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.58,0.5309,62.42,3.537
2021-03-11,48103.0,12314.37,0.24,0.05,0.17,0.01,0.0,10573.57,6800.0,41303.0,1740.8,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.15,0.533,62.85,3.537
2021-03-12,36303.0,9438.78,0.18,0.04,0.13,0.01,0.0,9204.78,900.0,35403.0,234.0,,,,0.0,,5900.0,,,,,5900.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,17.54,0.7108,82.46,20.1683
2021-03-15,36303.0,9438.78,0.18,0.04,0.13,0.01,0.0,9204.78,900.0,35403.0,234.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.38,0.7128,82.62,20.1683
2021-03-16,36303.0,9511.39,0.18,0.04,0.13,0.01,0.0,9275.59,900.0,35403.0,235.8,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,17.38,0.7128,82.62,20.1683
2021-03-17,51303.0,13338.78,0.25,0.06,0.19,0.01,0.0,13104.78,900.0,50403.0,234.0,,0.0,,,15000.0,,0.0,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,12.32,0.7839,87.68,28.5017
2021-03-18,74303.0,19913.2,0.37,0.09,0.27,0.02,0.0,19672.0,900.0,73403.0,241.2,,0.01,,,23000.0,,0.01,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,39.28,0.523,60.72,41.2794
2021-03-19,86704.0,22022.82,0.43,0.11,0.31,0.02,0.0,21794.22,900.0,85804.0,228.6,,0.0,,,12401.0,,0.0,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,47.87,0.5009,52.13,48.1689
2021-03-22,86704.0,22196.22,0.43,0.11,0.31,0.02,0.0,21965.82,900.0,85804.0,230.4,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,48.01,0.5008,51.99,48.1689
2021-03-23,86704.0,21849.41,0.43,0.11,0.31,0.02,0.0,21622.61,900.0,85804.0,226.8,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,48.6,0.5004,51.4,48.1689
2021-03-24,86704.0,21502.59,0.43,0.11,0.31,0.02,0.0,21279.39,900.0,85804.0,223.2,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,48.4,0.5005,51.6,48.1689
2021-03-25,86704.0,23063.26,0.43,0.11,0.31,0.02,0.0,22823.86,900.0,85804.0,239.4,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,46.63,0.5023,53.37,48.1689
2021-03-26,87336.0,23231.38,0.43,0.1,0.32,0.02,0.0,22991.98,900.0,86436.0,239.4,,0.0,,,632.0,,0.0,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,48.15,0.5007,51.85,48.52
2021-03-29,99336.0,33774.24,0.49,0.11,0.36,0.03,1.0,33468.24,900.0,98436.0,306.0,,0.0,,,12000.0,,0.0,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,45.49,0.5041,54.51,55.1867
2021-03-30,99336.0,31390.18,0.49,0.09,0.36,0.03,1.0,31105.78,900.0,98436.0,284.4,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,46.76,0.5021,53.24,55.1867
2021-03-31,85351.0,25946.7,0.42,0.07,0.31,0.03,0.0,25673.1,900.0,84451.0,273.6,,,,,,,,,,,13985.0,0.0,0.01,100.0,50.0,0.0,0.0,0.0,100.0,37.36,0.5319,62.64,47.4172
2021-04-01,85351.0,24325.04,0.42,0.07,0.31,0.03,0.0,24068.54,900.0,84451.0,256.5,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,36.95,0.5341,63.05,47.4172
2021-04-02,85351.0,24325.04,0.42,0.07,0.31,0.03,0.0,24068.54,900.0,84451.0,256.5,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.8,0.5298,62.2,47.4172
2021-04-05,85351.0,24325.04,0.42,0.07,0.31,0.03,0.0,24068.54,900.0,84451.0,256.5,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.85,0.5295,62.15,47.4172
2021-04-06,80351.0,23502.67,0.4,0.07,0.29,0.02,0.0,23239.42,900.0,79451.0,263.25,,,,,,,,,,,5000.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,38.82,0.525,61.18,44.6394
2021-04-07,75265.0,22203.18,0.37,0.06,0.27,0.02,0.0,21937.68,900.0,74365.0,265.5,,,,,,,,,,,5086.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,37.48,0.5314,62.52,41.8139
2021-04-08,75265.0,21676.32,0.37,0.06,0.27,0.02,0.0,21417.12,900.0,74365.0,259.2,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.73,0.5301,62.27,41.8139
2021-04-09,75265.0,20660.24,0.37,0.06,0.27,0.02,0.0,20413.19,900.0,74365.0,247.05,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,37.63,0.5306,62.37,41.8139
2021-04-12,72864.0,19673.28,0.36,0.06,0.26,0.02,0.0,19430.28,900.0,71964.0,243.0,,,,,,,,,,,2401.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,40.48
2021-04-13,72864.0,20839.1,0.36,0.06,0.26,0.02,0.0,20581.7,900.0,71964.0,257.4,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,38.51,0.5264,61.49,40.48
2021-04-14,72864.0,20620.51,0.21,0.06,0.17,0.02,0.0,20365.81,900.0,71964.0,254.7,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,38.86,0.5248,61.14,40.48
2021-04-15,72864.0,20802.67,0.21,0.06,0.17,0.02,0.0,20545.72,900.0,71964.0,256.95,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,38.61,0.526,61.39,40.48
2021-04-16,67064.0,19180.3,0.19,0.06,0.16,0.02,0.0,19180.3,0.0,67064.0,0.0,,,,0.0,,900.0,,,,,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.28,0.5119,57.72,0.0
2021-04-19,71432.0,19715.23,0.2,0.06,0.17,0.02,0.0,19715.23,0.0,71432.0,0.0,,,5000.0,,,,,,0.0,,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.93,0.4481,53.31,0.0
2021-04-20,71432.0,18786.62,0.2,0.06,0.17,0.02,0.0,18786.62,0.0,71432.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.71,0.4497,53.63,0.0
2021-04-21,70800.0,19080.6,0.2,0.06,0.17,0.02,0.0,19080.6,0.0,70800.0,0.0,,,,,,,,,,,632.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.37,0.4467,53.54,0.0
2021-04-22,77370.0,20812.53,0.22,0.07,0.18,0.02,0.0,20543.53,1000.0,76370.0,269.0,,0.0,,,5570.0,,0.0,,,1000.0,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,36.54,0.463,57.04,38.685
2021-04-23,77006.0,20676.11,0.22,0.07,0.18,0.02,0.0,20407.61,1000.0,76006.0,268.5,,,,,,,,,,,364.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,36.54,0.4681,57.54,38.503
2021-04-26,77006.0,20021.56,0.22,0.07,0.18,0.02,0.0,19761.56,1000.0,76006.0,260.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,36.55,0.4696,57.68,38.503
2021-04-27,77006.0,20945.63,0.22,0.07,0.18,0.02,0.0,20673.63,1000.0,76006.0,272.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,36.19,0.4671,57.65,38.503
2021-04-28,77006.0,20714.61,0.22,0.06,0.18,0.02,0.0,20445.61,1000.0,76006.0,269.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,36.38,0.4695,57.77,38.503
2021-04-29,65436.0,17635.0,0.19,0.05,0.15,0.02,0.0,17365.5,1000.0,64436.0,269.5,,,,,,,,,,,11570.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,100.0,43.2,0.4391,49.74,32.718
2021-04-30,65436.0,17798.59,0.19,0.06,0.15,0.02,0.0,17526.59,1000.0,64436.0,272.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,43.05,0.4389,49.85,32.718
2021-05-03,65436.0,17471.41,0.19,0.05,0.15,0.02,0.0,17204.41,1000.0,64436.0,267.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,43.17,0.4399,49.87,32.718
2021-05-04,65436.0,17405.98,0.19,0.05,0.15,0.02,0.0,17139.98,1000.0,64436.0,266.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,43.51,0.4385,49.41,32.718
2021-05-05,65436.0,17733.16,0.19,0.05,0.15,0.02,0.0,17462.16,1000.0,64436.0,271.0,,,,,,,,,,,,0.0,,100.0,50.0,0.0,0.0,0.0,100.0,43.35,0.4376,49.45,32.718
