,SOLVA FP Equity_DX_SI_QTY,SOLVA FP Equity_DX_SHORT_INTEREST_VALUE,SOLVA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SOLVA FP Equity_DX_SI_MV,SOLVA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SOLVA FP Equity_DX_SUPPLY_SI_QTY,SOLVA FP Equity_DX_BROKER_SI_QTY,SOLVA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SOLVA FP Equity_DX_SUPPLY_SI_MV,SOLVA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SOLVA FP Equity_DX_UTILIZATION_QUANTITY,SOLVA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SOLVA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SOLVA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SOLVA FP Equity_DX_ACTIVE_UTILIZATION_MV,SOLVA FP Equity_DX_BROKER_SI_CON_RATIO,SOLVA FP Equity_DX_DEMAND_SUPPLY_RATIO,SOLVA FP Equity_PX_LAST
2022-05-31,,,,,,,,,,,,,,,,,,4.2
2022-06-01,,,,,,,,,,,,,,,,,,4.04
2022-06-02,,,,,,,,,,,,,,,,,,3.79
2022-06-03,,,,,,,,,,,,,,,,,,3.53
2022-06-06,,,,,,,,,,,,,,,,,,3.97
2022-06-07,,,,,,,,,,,,,,,,,,3.63
2022-06-08,,,,,,,,,,,,,,,,,,3.68
2022-06-09,,,,,,,,,,,,,,,,,,3.74
2022-06-10,,,,,,,,,,,,,,,,,,3.59
2022-06-13,,,,,,,,,,,,,,,,,,2.62
2022-06-14,,,,,,,,,,,,,,,,,,2.86
2022-06-15,,,,,,,,,,,,,,,,,,2.77
2022-06-16,,,,,,,,,,,,,,,,,,2.97
2022-06-17,,,,,,,,,,,,,,,,,,2.96
2022-06-21,,,,,,,,,,,,,,,,,,3.6
2022-06-22,,,,,,,,,,,,,,,,,,3.33
2022-06-23,,,,,,,,,,,,,,,,,,3.46
2022-06-24,,,,,,,,,,,,,,,,,,3.57
2022-06-27,,,,,,,,,,,,,,,,,,3.61
2022-06-28,,,,,,,,,,,,,,,,,,3.54
2022-06-29,,,,,,,,,,,,,,,,,,3.26
2022-06-30,,,,,,,,,,,,,,,,,,3.02
2022-07-01,,,,,,,,,,,,,,,,,,3.08
2022-07-04,,,,,,,,,,,,,,,,,,3.25
2022-07-05,,,,,,,,,,,,,,,,,,3.24
2022-07-06,,,,,,,,,,,,,,,,,,3.473
2022-07-07,,,,,,,,,,,,,,,,,,3.721
2022-07-08,,,,,,,,,,,,,,,,,,3.753
2022-07-11,,,,,,,,,,,,,,,,,,3.433
2022-07-12,,,,,,,,,,,,,,,,,,3.391
2022-07-13,,,,,,,,,,,,,,,,,,3.255
2022-07-14,,,,,,,,,,,,,,,,,,3.403
2022-07-15,,,,,,,,,,,,,,,,,,3.716
2022-07-18,,,,,,,,,,,,,,,,,,4.078
2022-07-19,,,,,,,,,,,,,,,,,,4.454
2022-07-20,,,,,,,,,,,,,,,,,,4.435
2022-07-21,,,,,,,,,,,,,,,,,,4.08
2022-07-22,,,,,,,,,,,,,,,,,,4.042
2022-07-25,,,,,,,,,,,,,,,,,,3.761
2022-07-26,,,,,,,,,,,,,,,,,,3.458
2022-07-27,,,,,,,,,,,,,,,,,,3.628
2022-07-28,,,,,,,,,,,,,,,,,,3.84
2022-07-29,,,,,,,,,,,,,,,,,,4.115
2022-08-01,,,,,,,,,,,,,,,,,,4.088
2022-08-02,,,,,,,,,,,,,,,,,,3.989
2022-08-03,,,,,,,,,,,,,,,,,,3.93
2022-08-04,,,,,,,,,,,,,,,,,,3.755
2022-08-05,,,,,,,,,,,,,,,,,,3.924
2022-08-09,,,,,,,,,,,,,,,,,,3.907
2022-08-10,,,,,,,,,,,,,,,,,,4.051
2022-08-11,,,,,,,,,,,,,,,,,,4.229
2022-08-12,,,,,,,,,,,,,,,,,,4.159
2022-08-15,,,,,,,,,,,,,,,,,,4.281
2022-08-16,,,,,,,,,,,,,,,,,,4.209
2022-08-17,,,,,,,,,,,,,,,,,,3.997
2022-08-18,,,,,,,,,,,,,,,,,,4.01
2022-08-19,,,,,,,,,,,,,,,,,,3.615
2022-08-22,,,,,,,,,,,,,,,,,,3.512
2022-08-23,,,,,,,,,,,,,,,,,,3.53
2022-08-24,,,,,,,,,,,,,,,,,,3.548
2022-08-25,,,,,,,,,,,,,,,,,,3.531
2022-08-26,,,,,,,,,,,,,,,,,,3.279
2022-08-29,,,,,,,,,,,,,,,,,,3.159
2022-08-30,,,,,,,,,,,,,,,,,,3.065
2022-08-31,,,,,,,,,,,,,,,,,,3.134
2022-09-01,,,,,,,,,,,,,,,,,,3.073
2022-09-02,,,,,,,,,,,,,,,,,,3.175
2022-09-05,,,,,,,,,,,,,,,,,,3.17
2022-09-06,,,,,,,,,,,,,,,,,,3.318
2022-09-07,,,,,,,,,,,,,,,,,,3.11
2022-09-08,,,,,,,,,,,,,,,,,,3.355
2022-09-09,,,,,,,,,,,,,,,,,,3.459
2022-09-12,,,,,,,,,,,,,,,,,,3.651
2022-09-13,,,,,,,,,,,,,,,,,,3.43
2022-09-14,,,,,,,,,,,,,,,,,,3.31
2022-09-15,,,,,,,,,,,,,,,,,,3.284
2022-09-16,,,,,,,,,,,,,,,,,,3.195
2022-09-19,,,,,,,,,,,,,,,,,,3.162
2022-09-20,,,,,,,,,,,,,,,,,,3.184
2022-09-21,,,,,,,,,,,,,,,,,,3.149
2022-09-22,,,,,,,,,,,,,,,,,,3.202
2022-09-23,,,,,,,,,,,,,,,,,,3.227
2022-09-26,,,,,,,,,,,,,,,,,,3.363
2022-09-27,,,,,,,,,,,,,,,,,,3.551
2022-09-28,,,,,,,,,,,,,,,,,,3.352
2022-09-29,,,,,,,,,,,,,,,,,,3.404
2022-09-30,,,,,,,,,,,,,,,,,,3.516
2022-10-03,,,,,,,,,,,,,,,,,,3.303
2022-10-04,,,,,,,,,,,,,,,,,,3.386
2022-10-05,,,,,,,,,,,,,,,,,,3.362
2022-10-06,,,,,,,,,,,,,,,,,,3.402
2022-10-07,,,,,,,,,,,,,,,,,,3.293
2022-10-10,,,,,,,,,,,,,,,,,,3.297
2022-10-11,,,,,,,,,,,,,,,,,,3.168
2022-10-12,,,,,,,,,,,,,,,,,,3.141
2022-10-13,,,,,,,,,,,,,,,,,,2.953
2022-10-14,,,,,,,,,,,,,,,,,,3.104
2022-10-17,,,,,,,,,,,,,,,,,,3.074
2022-10-18,,,,,,,,,,,,,,,,,,3.013
2022-10-19,,,,,,,,,,,,,,,,,,2.975
2022-10-20,,,,,,,,,,,,,,,,,,2.9
2022-10-21,,,,,,,,,,,,,,,,,,2.712
2022-10-24,,,,,,,,,,,,,,,,,,2.799
2022-10-25,,,,,,,,,,,,,,,,,,2.864
2022-10-26,,,,,,,,,,,,,,,,,,3.065
2022-10-27,,,,,,,,,,,,,,,,,,3.079
2022-10-28,,,,,,,,,,,,,,,,,,3.039
2022-10-31,,,,,,,,,,,,,,,,,,3.243
2022-11-01,,,,,,,,,,,,,,,,,,3.197
2022-11-02,,,,,,,,,,,,,,,,,,3.08
2022-11-03,,,,,,,,,,,,,,,,,,3.125
2022-11-07,,,,,,,,,,,,,,,,,,3.177
2022-11-10,,,,,,,,,,,,,,,,,,1.726
2022-11-11,,,,,,,,,,,,,,,,,,1.468
2022-11-14,,,,,,,,,,,,,,,,,,1.227
2022-11-15,,,,,,,,,,,,,,,,,,1.316
2022-11-16,,,,,,,,,,,,,,,,,,1.263
2022-11-17,,,,,,,,,,,,,,,,,,1.232
2022-11-18,,,,,,,,,,,,,,,,,,1.204
2022-11-21,,,,,,,,,,,,,,,,,,1.067
2022-11-22,,,,,,,,,,,,,,,,,,1.075
2022-11-23,,,,,,,,,,,,,,,,,,1.175
2022-11-24,,,,,,,,,,,,,,,,,,1.307
2022-11-25,,,,,,,,,,,,,,,,,,1.266
2022-11-28,,,,,,,,,,,,,,,,,,1.266
2022-11-29,,,,,,,,,,,,,,,,,,1.245
2022-11-30,,,,,,,,,,,,,,,,,,1.246
2022-12-01,,,,,,,,,,,,,,,,,,1.252
2022-12-02,,,,,,,,,,,,,,,,,,1.208
2022-12-05,,,,,,,,,,,,,,,,,,1.208
2022-12-06,,,,,,,,,,,,,,,,,,1.275
2022-12-07,,,,,,,,,,,,,,,,,,1.214
2022-12-08,,,,,,,,,,,,,,,,,,1.211
2022-12-09,,,,,,,,,,,,,,,,,,1.22
2022-12-12,,,,,,,,,,,,,,,,,,1.159
2022-12-13,,,,,,,,,,,,,,,,,,1.152
2022-12-14,,,,,,,,,,,,,,,,,,1.239
2022-12-15,,,,,,,,,,,,,,,,,,1.26
2022-12-16,,,,,,,,,,,,,,,,,,1.25
2022-12-19,,,,,,,,,,,,,,,,,,1.077
2022-12-20,,,,,,,,,,,,,,,,,,1.089
2022-12-21,,,,,,,,,,,,,,,,,,1.056
2022-12-22,,,,,,,,,,,,,,,,,,1.059
2022-12-23,,,,,,,,,,,,,,,,,,1.044
2022-12-27,,,,,,,,,,,,,,,,,,0.982
2022-12-28,,,,,,,,,,,,,,,,,,0.883
2022-12-29,,,,,,,,,,,,,,,,,,0.832
2022-12-30,,,,,,,,,,,,,,,,,,0.792
2023-01-02,,,,,,,,,,,,,,,,,,0.792
2023-01-03,,,,,,,,,,,,,,,,,,1.043
2023-01-04,,,,,,,,,,,,,,,,,,1.232
2023-01-05,,,,,,,,,,,,,,,,,,1.176
2023-01-06,,,,,,,,,,,,,,,,,,1.176
2023-01-09,,,,,,,,,,,,,,,,,,1.176
2023-01-10,,,,,,,,,,,,,,,,,,1.407
2023-01-11,,,,,,,,,,,,,,,,,,1.424
2023-01-12,,,,,,,,,,,,,,,,,,1.433
2023-01-13,,,,,,,,,,,,,,,,,,1.49
2023-01-16,,,,,,,,,,,,,,,,,,2.165
2023-01-17,,,,,,,,,,,,,,,,,,2.096
2023-01-18,,,,,,,,,,,,,,,,,,2.05
2023-01-19,,,,,,,,,,,,,,,,,,1.903
2023-01-20,,,,,,,,,,,,,,,,,,1.872
2023-01-23,,,,,,,,,,,,,,,,,,2.176
2023-01-24,,,,,,,,,,,,,,,,,,2.206
2023-01-25,,,,,,,,,,,,,,,,,,2.078
2023-01-26,,,,,,,,,,,,,,,,,,2.169
2023-01-27,,,,,,,,,,,,,,,,,,2.134
2023-01-30,,,,,,,,,,,,,,,,,,2.134
2023-01-31,,,,,,,,,,,,,,,,,,2.151
2023-02-01,,,,,,,,,,,,,,,,,,2.092
2023-02-02,,,,,,,,,,,,,,,,,,2.195
2023-02-03,,,,,,,,,,,,,,,,,,2.157
2023-02-06,,,,,,,,,,,,,,,,,,2.1
2023-02-07,,,,,,,,,,,,,,,,,,2.091
2023-02-08,,,,,,,,,,,,,,,,,,2.131
2023-02-09,,,,,,,,,,,,,,,,,,2.045
2023-02-10,,,,,,,,,,,,,,,,,,1.863
2023-02-13,,,,,,,,,,,,,,,,,,1.888
2023-02-14,,,,,,,,,,,,,,,,,,1.868
2023-02-15,,,,,,,,,,,,,,,,,,1.924
2023-02-16,,,,,,,,,,,,,,,,,,2.124
2023-02-17,,,,,,,,,,,,,,,,,,2.035
2023-02-20,,,,,,,,,,,,,,,,,,2.371
2023-02-21,,,,,,,,,,,,,,,,,,2.306
2023-02-22,,,,,,,,,,,,,,,,,,2.119
2023-02-23,,,,,,,,,,,,,,,,,,2.214
2023-02-24,,,,,,,,,,,,,,,,,,2.175
2023-02-27,,,,,,,,,,,,,,,,,,2.083
2023-02-28,,,,,,,,,,,,,,,,,,2.027
2023-03-01,,,,,,,,,,,,,,,,,,2.041
2023-03-02,,,,,,,,,,,,,,,,,,1.981
2023-03-03,,,,,,,,,,,,,,,,,,1.908
2023-03-06,,,,,,,,,,,,,,,,,,1.87
2023-03-07,,,,,,,,,,,,,,,,,,1.841
2023-03-08,,,,,,,,,,,,,,,,,,1.744
2023-03-09,,,,,,,,,,,,,,,,,,1.684
2023-03-10,,,,,,,,,,,,,,,,,,1.543
2023-03-13,,,,,,,,,,,,,,,,,,1.767
2023-03-14,,,,,,,,,,,,,,,,,,1.792
2023-03-15,,,,,,,,,,,,,,,,,,1.9
2023-03-16,,,,,,,,,,,,,,,,,,1.759
2023-03-17,,,,,,,,,,,,,,,,,,1.808
2023-03-20,,,,,,,,,,,,,,,,,,2.085
2023-03-21,,,,,,,,,,,,,,,,,,1.974
2023-03-22,,,,,,,,,,,,,,,,,,1.985
2023-03-23,,,,,,,,,,,,,,,,,,1.92
2023-03-24,,,,,,,,,,,,,,,,,,1.955
2023-03-27,,,,,,,,,,,,,,,,,,1.833
2023-03-28,,,,,,,,,,,,,,,,,,1.778
2023-03-29,,,,,,,,,,,,,,,,,,1.875
2023-03-30,,,,,,,,,,,,,,,,,,1.852
2023-03-31,,,,,,,,,,,,,,,,,,1.796
2023-04-03,,,,,,,,,,,,,,,,,,1.79
2023-04-04,,,,,,,,,,,,,,,,,,1.81
2023-04-05,,,,,,,,,,,,,,,,,,1.86
2023-04-06,,,,,,,,,,,,,,,,,,1.83
2023-04-11,,,,,,,,,,,,,,,,,,1.974
2023-04-12,,,,,,,,,,,,,,,,,,2.009
2023-04-13,,,,,,,,,,,,,,,,,,2.116
2023-04-14,,,,,,,,,,,,,,,,,,2.198
2023-04-17,,,,,,,,,,,,,,,,,,2.205
2023-04-18,,,,,,,,,,,,,,,,,,2.197
2023-04-19,,,,,,,,,,,,,,,,,,2.132
2023-04-20,,,,,,,,,,,,,,,,,,1.998
2023-04-21,,,,,,,,,,,,,,,,,,1.928
2023-04-24,,,,,,,,,,,,,,,,,,1.867
2023-04-25,,,,,,,,,,,,,,,,,,1.825
2023-04-26,,,,,,,,,,,,,,,,,,1.918
2023-04-27,,,,,,,,,,,,,,,,,,1.876
2023-04-28,,,,,,,,,,,,,,,,,,1.954
2023-05-02,,,,,,,,,,,,,,,,,,1.908
2023-05-03,,,,,,,,,,,,,,,,,,1.895
2023-05-04,,,,,,,,,,,,,,,,,,1.926
2023-05-05,,,,,,,,,,,,,,,,,,1.896
2023-05-08,,,,,,,,,,,,,,,,,,1.851
2023-05-09,,,,,,,,,,,,,,,,,,1.791
2023-05-10,,,,,,,,,,,,,,,,,,1.8
2023-05-11,,,,,,,,,,,,,,,,,,1.808
2023-05-12,,,,,,,,,,,,,,,,,,1.768
2023-05-15,,,,,,,,,,,,,,,,,,1.89
2023-05-16,,,,,,,,,,,,,,,,,,1.834
2023-05-17,,,,,,,,,,,,,,,,,,1.822
2023-05-18,,,,,,,,,,,,,,,,,,1.824
2023-05-19,,,,,,,,,,,,,,,,,,1.808
2023-05-22,,,,,,,,,,,,,,,,,,1.744
2023-05-23,,,,,,,,,,,,,,,,,,1.782
2023-05-24,,,,,,,,,,,,,,,,,,1.707
2023-05-25,,,,,,,,,,,,,,,,,,1.728
2023-05-26,,,,,,,,,,,,,,,,,,1.745
2023-05-29,,,,,,,,,,,,,,,,,,1.843
2023-05-30,,,,,,,,,,,,,,,,,,1.873
2023-05-31,,,,,,,,,,,,,,,,,,1.845
2023-06-01,,,,,,,,,,,,,,,,,,1.85
2023-06-02,,,,,,,,,,,,,,,,,,1.88
2023-06-05,,,,,,,,,,,,,,,,,,1.872
2023-06-06,,,,,,,,,,,,,,,,,,1.765
2023-06-07,,,,,,,,,,,,,,,,,,1.723
2023-06-08,,,,,,,,,,,,,,,,,,1.657
2023-06-09,,,,,,,,,,,,,,,,,,1.662
2023-06-12,,,,,,,,,,,,,,,,,,1.348
2023-06-13,,,,,,,,,,,,,,,,,,1.312
2023-06-14,,,,,,,,,,,,,,,,,,1.326
2023-06-15,,,,,,,,,,,,,,,,,,1.269
2023-06-16,,,,,,,,,,,,,,,,,,1.302
2023-06-19,,,,,,,,,,,,,,,,,,1.352
2023-06-20,,,,,,,,,,,,,,,,,,1.38
2023-06-21,,,,,,,,,,,,,,,,,,1.488
2023-06-22,,,,,,,,,,,,,,,,,,1.466
2023-06-23,,,,,,,,,,,,,,,,,,1.457
2023-06-26,,,,,,,,,,,,,,,,,,1.47
2023-06-27,,,,,,,,,,,,,,,,,,1.434
2023-06-28,,,,,,,,,,,,,,,,,,1.429
2023-06-29,,,,,,,,,,,,,,,,,,1.535
2023-06-30,,,,,,,,,,,,,,,,,,1.579
2023-07-03,,,,,,,,,,,,,,,,,,1.676
2023-07-04,,,,,,,,,,,,,,,,,,1.73
2023-07-05,,,,,,,,,,,,,,,,,,1.641
2023-07-06,,,,,,,,,,,,,,,,,,1.715
2023-07-07,,,,,,,,,,,,,,,,,,1.827
2023-07-10,,,,,,,,,,,,,,,,,,1.824
2023-07-11,,,,,,,,,,,,,,,,,,1.906
2023-07-12,,,,,,,,,,,,,,,,,,1.934
2023-07-13,,,,,,,,,,,,,,,,,,1.938
2023-07-14,,,,,,,,,,,,,,,,,,2.401
2023-07-17,,,,,,,,,,,,,,,,,,2.29
2023-07-18,,,,,,,,,,,,,,,,,,2.151
2023-07-19,,,,,,,,,,,,,,,,,,2.227
2023-07-20,,,,,,,,,,,,,,,,,,2.241
2023-07-21,,,,,,,,,,,,,,,,,,2.174
2023-07-24,,,,,,,,,,,,,,,,,,2.012
2023-07-25,,,,,,,,,,,,,,,,,,2.006
2023-07-26,,,,,,,,,,,,,,,,,,2.128
2023-07-27,,,,,,,,,,,,,,,,,,2.205
2023-07-28,,,,,,,,,,,,,,,,,,2.204
2023-07-31,,,,,,,,,,,,,,,,,,2.086
2023-08-01,,,,,,,,,,,,,,,,,,2.008
2023-08-02,,,,,,,,,,,,,,,,,,2.023
2023-08-03,,,,,,,,,,,,,,,,,,1.988
2023-08-04,,,,,,,,,,,,,,,,,,2.015
2023-08-07,,,,,,,,,,,,,,,,,,1.967
2023-08-08,,,,,,,,,,,,,,,,,,2.061
2023-08-09,,,,,,,,,,,,,,,,,,2.136
2023-08-10,,,,,,,,,,,,,,,,,,2.123
2023-08-11,,,,,,,,,,,,,,,,,,2.142
2023-08-14,,,,,,,,,,,,,,,,,,2.157
2023-08-15,,,,,,,,,,,,,,,,,,2.163
2023-08-16,,,,,,,,,,,,,,,,,,2.023
2023-08-17,,,,,,,,,,,,,,,,,,2.022
2023-08-18,,,,,,,,,,,,,,,,,,1.909
2023-08-21,,,,,,,,,,,,,,,,,,1.807
2023-08-22,,,,,,,,,,,,,,,,,,1.831
2023-08-23,,,,,,,,,,,,,,,,,,1.826
2023-08-24,,,,,,,,,,,,,,,,,,1.857
2023-08-25,,,,,,,,,,,,,,,,,,1.821
2023-08-28,,,,,,,,,,,,,,,,,,1.817
2023-08-29,,,,,,,,,,,,,,,,,,1.889
2023-08-30,,,,,,,,,,,,,,,,,,1.812
2023-08-31,,,,,,,,,,,,,,,,,,1.804
2023-09-01,,,,,,,,,,,,,,,,,,1.726
2023-09-04,,,,,,,,,,,,,,,,,,1.712
2023-09-05,,,,,,,,,,,,,,,,,,1.793
2023-09-06,,,,,,,,,,,,,,,,,,1.721
2023-09-07,,,,,,,,,,,,,,,,,,1.736
2023-09-08,,,,,,,,,,,,,,,,,,1.743
2023-09-11,,,,,,,,,,,,,,,,,,1.577
2023-09-12,,,,,,,,,,,,,,,,,,1.6
2023-09-13,,,,,,,,,,,,,,,,,,1.636
2023-09-14,,,,,,,,,,,,,,,,,,1.69
2023-09-15,,,,,,,,,,,,,,,,,,1.679
2023-09-18,,,,,,,,,,,,,,,,,,1.777
2023-09-19,,,,,,,,,,,,,,,,,,1.79
2023-09-20,,,,,,,,,,,,,,,,,,1.797
2023-09-21,,,,,,,,,,,,,,,,,,1.745
2023-09-22,,,,,,,,,,,,,,,,,,1.75
2023-09-25,,,,,,,,,,,,,,,,,,1.76
2023-09-26,,,,,,,,,,,,,,,,,,1.727
2023-09-27,,,,,,,,,,,,,,,,,,1.717
2023-09-28,,,,,,,,,,,,,,,,,,1.755
2023-09-29,,,,,,,,,,,,,,,,,,1.829
2023-10-02,,,,,,,,,,,,,,,,,,2.219
2023-10-03,,,,,,,,,,,,,,,,,,2.207
2023-10-04,,,,,,,,,,,,,,,,,,2.08
2023-10-05,,,,,,,,,,,,,,,,,,2.075
2023-10-06,,,,,,,,,,,,,,,,,,2.096
2023-10-09,,,,,,,,,,,,,,,,,,2.018
2023-10-10,,,,,,,,,,,,,,,,,,1.983
2023-10-11,,,,,,,,,,,,,,,,,,1.975
2023-10-12,,,,,,,,,,,,,,,,,,1.93
2023-10-13,,,,,,,,,,,,,,,,,,1.942
2023-10-16,,,,,,,,,,,,,,,,,,2.102
2023-10-17,,,,,,,,,,,,,,,,,,2.165
2023-10-18,,,,,,,,,,,,,,,,,,2.15
2023-10-19,,,,,,,,,,,,,,,,,,2.207
2023-10-20,,,,,,,,,,,,,,,,,,2.438
2023-10-23,,,,,,,,,,,,,,,,,,2.597
2023-10-24,,,,,,,,,,,,,,,,,,2.817
2023-10-25,,,,,,,,,,,,,,,,,,2.968
2023-10-26,,,,,,,,,,,,,,,,,,2.811
2023-10-27,,,,,,,,,,,,,,,,,,2.888
2023-10-30,,,,,,,,,,,,,,,,,,3.149
2023-10-31,,,,,,,,,,,,,,,,,,3.277
2023-11-01,,,,,,,,,,,,,,,,,,3.703
2023-11-02,,,,,,,,,,,,,,,,,,3.613
2023-11-03,,,,,,,,,,,,,,,,,,3.523
2023-11-06,,,,,,,,,,,,,,,,,,3.561
2023-11-07,,,,,,,,,,,,,,,,,,3.72
2023-11-08,,,,,,,,,,,,,,,,,,3.814
2023-11-09,,,,,,,,,,,,,,,,,,3.988
2023-11-10,,,,,,,,,,,,,,,,,,4.566
2023-11-13,,,,,,,,,,,,,,,,,,5.052
2023-11-14,,,,,,,,,,,,,,,,,,4.948
2023-11-15,,,,,,,,,,,,,,,,,,5.454
2023-11-16,,,,,,,,,,,,,,,,,,5.384
2023-11-17,,,,,,,,,,,,,,,,,,4.868
2023-11-20,,,,,,,,,,,,,,,,,,5.088
2023-11-21,,,,,,,,,,,,,,,,,,4.855
2023-11-22,,,,,,,,,,,,,,,,,,4.806
2023-11-23,,,,,,,,,,,,,,,,,,4.958
2023-11-24,,,,,,,,,,,,,,,,,,5.063
2023-11-27,,,,,,,,,,,,,,,,,,4.727
2023-11-28,,,,,,,,,,,,,,,,,,4.852
2023-11-29,,,,,,,,,,,,,,,,,,5.176
2023-11-30,,,,,,,,,,,,,,,,,,5.178
2023-12-01,,,,,,,,,,,,,,,,,,5.305
2023-12-04,,,,,,,,,,,,,,,,,,5.349
2023-12-05,,,,,,,,,,,,,,,,,,5.355
2023-12-06,,,,,,,,,,,,,,,,,,5.553
2023-12-07,,,,,,,,,,,,,,,,,,5.796
2023-12-08,,,,,,,,,,,,,,,,,,6.458
2023-12-11,,,,,,,,,,,,,,,,,,6.167
2023-12-12,,,,,,,,,,,,,,,,,,5.99
2023-12-13,,,,,,,,,,,,,,,,,,5.937
2023-12-14,,,,,,,,,,,,,,,,,,6.322
2023-12-15,,,,,,,,,,,,,,,,,,6.584
2023-12-18,,,,,,,,,,,,,,,,,,6.193
2023-12-19,,,,,,,,,,,,,,,,,,6.367
2023-12-20,,,,,,,,,,,,,,,,,,6.91
2023-12-21,,,,,,,,,,,,,,,,,,7.581
2023-12-22,,,,,,,,,,,,,,,,,,8.263
2023-12-27,,,,,,,,,,,,,,,,,,9.136
2023-12-28,,,,,,,,,,,,,,,,,,8.566
2023-12-29,,,,,,,,,,,,,,,,,,8.97
2024-01-02,,,,,,,,,,,,,,,,,,9.569
2024-01-03,,,,,,,,,,,,,,,,,,8.663
2024-01-04,,,,,,,,,,,,,,,,,,8.719
2024-01-05,,,,,,,,,,,,,,,,,,8.48
2024-01-08,,,,,,,,,,,,,,,,,,8.191
2024-01-09,,,,,,,,,,,,,,,,,,8.699
2024-01-10,,,,,,,,,,,,,,,,,,8.097
2024-01-11,,,,,,,,,,,,,,,,,,8.569
2024-01-12,,,,,,,,,,,,,,,,,,8.218
2024-01-15,,,,,,,,,,,,,,,,,,8.03
2024-01-16,,,,,,,,,,,,,,,,,,8.463
2024-01-17,,,,,,,,,,,,,,,,,,8.64
2024-01-18,,,,,,,,,,,,,,,,,,8.476
2024-01-19,,,,,,,,,,,,,,,,,,7.796
2024-01-22,,,,,,,,,,,,,,,,,,7.525
2024-01-23,,,,,,,,,,,,,,,,,,7.212
2024-01-24,,,,,,,,,,,,,,,,,,7.559
2024-01-25,,,,,,,,,,,,,,,,,,7.582
2024-01-26,,,,,,,,,,,,,,,,,,8.129
2024-01-29,,,,,,,,,,,,,,,,,,8.677
2024-01-30,,,,,,,,,,,,,,,,,,9.072
2024-01-31,,,,,,,,,,,,,,,,,,8.88
2024-02-01,,,,,,,,,,,,,,,,,,8.341
2024-02-02,,,,,,,,,,,,,,,,,,8.82
2024-02-05,,,,,,,,,,,,,,,,,,8.441
2024-02-06,,,,,,,,,,,,,,,,,,8.46
2024-02-07,,,,,,,,,,,,,,,,,,8.484
2024-02-08,,,,,,,,,,,,,,,,,,9.147
