,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_x,AI FP Equity_y,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity,AI FP Equity
2006-03-08,7078333.0,861044611.5,6.54,16.58,6.46,1194.71,2.0,545440625.65,4065002.0,4483868.0,494487624.11,,,43268.0,22.97,,,,24.13,137276.0,253386.0,,,22.97,43268.0,,28058.0,34762.0,702.82,2.07,,,37.16,37.01,6874006.0,836189230.68,,1141.15,38.11,13.53,0.1168,21.62,0.6445
2006-03-15,7077841.0,879804101.17,6.54,18.15,6.45,1211.99,2.0,551153342.02,4119047.0,4433914.0,512014107.62,,,76649.0,17.3,,,,6.72,59663.0,69387.0,,,17.3,76649.0,,46782.0,109617.0,721.46,16.37,,,37.2,37.2,6952763.0,864256402.74,,1164.65,38.25,13.52,0.1153,21.61,0.6393
2006-03-22,7347733.0,933432412.93,6.79,18.05,6.7,1264.26,2.0,587815741.38,4077374.0,4627130.0,517976503.94,,20295.0,141291.0,39.95,3.49,,,56.92,193216.0,224974.0,,20295.0,39.95,141291.0,,21714.0,,699.02,,,,36.64,36.64,7052340.0,895906634.47,,1210.85,36.6,14.21,0.114,20.69,0.6602
2006-03-29,7247287.0,909966586.29,6.73,17.15,6.64,1243.06,2.0,583509068.64,3959203.0,4647267.0,497116015.74,,,6338.0,10.76,,,,21.68,79323.0,127425.0,,,10.76,6338.0,,23211.0,59186.0,676.84,10.36,3.49,,36.29,36.29,6951619.0,872842625.2,20295.0,1188.26,36.29,14.34,0.1164,21.15,0.6642
2006-04-05,7838396.0,1012553720.75,7.27,18.71,7.18,1366.88,2.0,623426042.51,4555016.0,4826075.0,588410996.19,,,418801.0,94.0,,124106.0,,13.57,479607.0,115068.0,,,94.0,418801.0,21.67,292080.0,70343.0,792.93,11.48,,59.94,41.73,41.73,6359454.0,821505931.78,,1107.9,41.71,17.49,0.1234,20.15,0.7182
2006-04-12,8474847.0,1069106073.39,7.87,20.98,7.76,1463.84,2.0,694048439.96,4787588.0,5501750.0,603956556.11,65.81,,120648.0,49.32,,250.0,383410.0,21.76,302189.0,118619.0,65.81,,49.32,120648.0,0.05,230544.0,10174.0,825.24,6.31,,,48.7,48.7,5043661.0,636260289.68,,868.56,48.72,15.85,0.1133,19.02,0.862
2006-04-19,8667053.0,1103595136.07,8.04,21.71,7.94,1504.17,2.0,707556775.0,4781983.0,5556777.0,608900531.65,,20131.0,18319.0,11.49,3.49,,,9.27,60412.0,64009.0,,20131.0,11.49,18319.0,,19953.0,5385.0,824.67,0.0,,,48.56,48.56,5064999.0,644937588.43,,871.88,48.61,16.01,0.1145,18.71,0.8802
2006-04-26,10231400.0,1329991286.27,9.49,25.61,9.37,1808.62,2.0,894986356.33,5262641.0,6884980.0,684096670.33,,,191832.0,243.66,,71800.0,,6.11,1348744.0,52929.0,,,243.66,191832.0,15.29,361886.0,92342.0,929.24,14.98,3.49,,53.11,53.11,4646579.0,604014072.46,20131.0,821.09,53.09,14.39,0.1346,27.43,1.0325
2006-05-03,10269673.0,1312211327.22,9.53,24.13,9.41,1802.99,2.0,886300605.8,5390082.0,6936396.0,688719753.3,,8778.0,224519.0,65.11,1.52,,,33.85,338018.0,169081.0,,8778.0,65.11,224519.0,,64194.0,286602.0,936.68,53.58,0.17,,75.79,55.5,1721730.0,219994697.83,969.0,0.0,198.77,14.63,0.1274,26.43,1.0575
2006-05-10,10767272.0,1399649895.12,9.99,25.89,9.86,1923.37,2.0,934770662.79,5950722.0,7191034.0,773541099.66,,,416817.0,124.84,,,,16.53,641380.0,112326.0,,,124.84,416817.0,,256149.0,386742.0,1054.44,60.72,,,83.11,62.85,1209680.0,157247674.72,,0.0,197.09,12.62,0.1147,24.99,1.1372
2006-05-17,12892981.0,1567792867.72,11.96,26.77,11.81,2195.65,3.0,941094682.98,7531366.0,7739234.0,915817831.35,,618118.0,436986.0,55.38,102.86,51990.0,,83.06,547779.0,377064.0,,618118.0,55.38,436986.0,8.83,1166918.0,51569.0,1263.24,12.14,47.14,,57.04,47.49,5671628.0,689672770.54,264314.0,0.0,225.29,13.96,0.1036,21.0,0.8129
2006-05-24,10331940.0,1268862429.88,9.59,17.85,9.46,1732.52,2.0,859163996.95,5883456.0,6995897.0,722545453.83,,24880.0,32959.0,62.47,4.15,,,318.3,414525.0,1830022.0,,24880.0,62.47,32959.0,,124272.0,1157861.0,968.46,205.33,,,85.59,60.53,990223.0,121608987.46,,0.0,190.01,12.76,0.0987,21.18,1.063
2006-05-31,10445400.0,1280428178.66,9.69,17.14,9.57,1753.5,2.0,801014877.46,6144362.0,6534471.0,753194156.73,,170680.0,43745.0,29.76,28.58,,,84.96,184788.0,535837.0,,170680.0,29.76,43745.0,,603194.0,646214.0,1018.27,109.62,3.49,,72.08,54.3,2379542.0,291691331.03,20875.0,0.0,192.67,11.46,0.0987,21.47,0.9231
2006-06-07,9164697.0,1099886589.22,8.5,14.77,8.39,1483.93,2.0,678276940.2,5524275.0,5651676.0,662987111.05,,38714.0,59915.0,0.48,6.15,,,125.58,7645.0,720199.0,,38714.0,0.48,59915.0,,28309.0,890439.0,886.17,185.28,4.35,,47.79,47.79,6034694.0,724244238.59,26826.0,963.73,47.9,12.16,0.1012,21.0,0.7929
2006-06-14,8684750.0,935301182.26,7.33,13.45,7.23,1287.22,2.0,594335156.03,4883683.0,5518706.0,525946571.14,,,41369.0,45.98,,,,158.56,447399.0,733569.0,,,45.98,41369.0,,57435.0,580370.0,708.66,135.4,0.94,,42.02,42.02,6737999.0,725646498.84,5828.0,975.35,42.08,13.5,0.1039,20.21,0.7472
2006-06-21,9223170.0,1033017585.7,7.72,13.65,7.68,1393.06,2.0,687511100.99,4905368.0,6138358.0,549413206.99,,34006.0,152754.0,121.92,5.1,55000.0,,23.02,738098.0,179627.0,,34006.0,121.92,152754.0,8.13,14552.0,173446.0,730.72,24.73,,,40.33,40.33,7257796.0,812890893.42,,1080.24,40.35,14.45,0.1099,19.25,0.7583
2006-06-28,9080830.0,1005408303.72,7.6,14.7,7.56,1363.78,2.0,672413961.92,4635806.0,6073231.0,513265620.75,,,338035.0,43.12,,,,93.34,309163.0,623010.0,,,43.12,338035.0,,74840.0,374290.0,688.78,58.21,8.96,,36.59,36.59,8033482.0,889448377.58,59427.0,1190.27,36.66,15.64,0.1196,20.14,0.7168
2006-07-03,9480944.0,1092699445.56,7.93,16.39,7.89,1447.42,2.0,749942925.74,4750242.0,6506974.0,547475736.56,,22590.0,257058.0,82.88,3.45,,,23.04,461351.0,168238.0,,22590.0,82.88,257058.0,,6026.0,27608.0,722.39,5.48,0.44,,36.06,36.06,8424510.0,970943126.14,3002.0,1279.1,36.09,15.56,0.1246,21.86,0.7196
2006-07-04,9357473.0,1077761951.01,7.83,17.52,7.79,1429.9,2.0,749125670.8,4641185.0,6504148.0,534555921.31,,,12797.0,2.22,,,,18.21,12602.0,120804.0,,,2.22,12797.0,,,15428.0,706.6,2.34,0.16,,35.2,35.2,8543287.0,983986773.48,1050.0,1300.66,35.2,15.76,0.1278,22.22,0.7097
2006-07-05,9274763.0,1053515911.01,7.76,18.22,7.72,1415.13,2.0,737502245.75,4575809.0,6492696.0,519763964.56,,4002.0,29656.0,1.9,0.6,500.0,,17.31,14297.0,116532.0,,4002.0,1.9,29656.0,0.08,17498.0,26250.0,697.43,3.52,,,34.46,34.46,8704003.0,988683554.5,,1329.32,34.41,15.71,0.1296,22.44,0.6984
2006-07-06,9517914.0,1093363727.38,7.96,19.38,7.92,1444.5,2.0,776519035.8,4542730.0,6759728.0,521842937.99,,,90965.0,43.16,,,,21.68,296992.0,130941.0,,,43.16,90965.0,,32533.0,29960.0,686.52,5.44,3.9,,33.92,33.92,8849516.0,1016581973.66,25636.0,1345.11,33.79,16.95,0.1311,21.94,0.7107
2006-07-07,9364978.0,1066594430.17,7.84,19.14,7.79,1424.93,2.0,751048247.03,4541518.0,6594400.0,517241770.71,,,28055.0,59.09,,,,4.3,384335.0,29267.0,,,59.09,28055.0,,,549662.0,689.14,82.19,,,33.92,33.92,8847947.0,1007708826.3,,1348.45,33.82,16.61,0.1252,20.29,0.6994
2006-07-10,9396689.0,1074466993.65,7.86,19.43,7.82,1428.89,2.0,751632775.31,4597072.0,6573361.0,525653464.9,,,58495.0,3.7,,,,0.49,28935.0,3161.0,,,3.7,58495.0,,219.0,49975.0,696.69,7.61,,,34.24,34.24,8829416.0,1009602006.11,,1345.28,34.12,16.76,0.125,20.14,0.6999
2006-07-11,9434449.0,1071654567.68,7.89,19.29,7.85,1432.52,2.0,747133047.1,4621476.0,6577482.0,524951257.34,,,39132.0,6.66,,,,8.73,47624.0,58556.0,,,6.66,39132.0,,50751.0,43502.0,699.6,6.45,1.05,,34.52,34.52,8766870.0,995824587.08,6923.0,1333.52,34.41,17.07,0.1246,19.85,0.7047
2006-07-12,9298499.0,1063239431.03,7.78,19.48,7.74,1412.27,2.0,750147887.56,4520988.0,6560375.0,516953618.95,,610.0,7494.0,17.73,0.09,,,17.17,116579.0,112460.0,,610.0,17.73,7494.0,,3868.0,133687.0,683.91,20.62,,,33.83,33.83,8841038.0,1010930926.9,,1346.34,33.69,18.43,0.1259,18.83,0.6959
2006-07-13,9323410.0,1045653947.86,7.8,20.05,7.76,1412.07,2.0,737707093.24,4490206.0,6577650.0,503592744.57,,,10969.0,6.09,,,,6.42,44689.0,41141.0,,,6.09,10969.0,,,27414.0,678.42,4.59,0.09,,33.43,33.43,8941308.0,1002799834.96,610.0,1357.12,33.33,18.68,0.1253,18.7,0.6941
2006-07-14,8940678.0,989215307.87,7.48,19.05,7.44,1337.71,2.0,686381487.87,4493087.0,6203620.0,497124540.22,,,47885.0,6.45,,,,10.95,62009.0,47500.0,,,6.45,47885.0,,2496.0,436039.0,668.91,69.91,,,33.46,33.46,8934990.0,988585975.65,,1339.91,33.3,17.31,0.1277,19.2,0.6658
2006-07-17,8701776.0,956863945.02,7.28,19.01,7.24,1294.03,2.0,659220135.55,4455568.0,5994986.0,489942785.68,,,32856.0,,,,,10.92,,70375.0,,,,32856.0,,,208634.0,658.62,33.56,,,33.21,33.21,8959130.0,985163083.46,,1334.32,33.05,17.19,0.1273,19.6,0.6487
2006-07-18,8660818.0,950396495.82,7.25,18.75,7.21,1281.22,2.0,652892548.39,4323466.0,5949710.0,474436356.49,,,45167.0,13.06,,,,28.35,95225.0,181189.0,,,13.06,45167.0,,3919.0,140501.0,635.45,22.35,,,32.15,32.15,9125486.0,1001386926.39,,1353.41,31.95,16.66,0.1254,18.8,0.644
2006-07-19,8501144.0,958573665.2,7.11,18.69,7.07,1263.09,2.0,651909483.13,4248028.0,5781482.0,478999975.75,,610.0,21187.0,1.85,0.09,,,20.74,12971.0,151627.0,,610.0,1.85,21187.0,,54393.0,181199.0,625.61,26.29,,,32.03,32.03,9013769.0,1016376335.66,,1337.25,31.87,17.31,0.1253,17.8,0.641
2006-07-20,8433218.0,959837241.72,7.06,18.39,7.02,1269.66,2.0,648992659.09,4237969.0,5702109.0,482349735.94,,,31303.0,5.97,,,,6.31,19812.0,50271.0,,,5.97,31303.0,,16400.0,99186.0,635.28,14.17,1.11,,32.12,32.12,8954248.0,1019138922.05,7491.0,1350.16,32.0,17.25,0.1259,18.21,0.6393
2006-07-21,8440359.0,953633303.66,7.05,19.28,7.01,1272.35,2.0,644184775.88,4256826.0,5701511.0,480957153.78,,,12032.0,2.38,,,,0.09,19128.0,804.0,,,2.38,12032.0,,7629.0,19726.0,640.07,4.09,,,32.28,32.28,8928722.0,1008810959.14,,1348.56,32.19,17.08,0.1255,17.97,0.6401
2006-07-24,8404172.0,972410009.16,7.02,19.55,6.98,1275.33,2.0,659858095.58,4205767.0,5702904.0,486630917.0,,,,4.52,,,,4.99,23605.0,51059.0,,,4.52,,,,22212.0,634.94,0.0,,,32.09,32.09,8901224.0,1029921723.56,,1353.17,31.94,17.43,0.1258,17.79,0.6412
2006-07-25,8451495.0,972137035.93,7.06,19.97,7.02,1294.65,2.0,659110335.52,4231029.0,5730126.0,486676024.89,,,34249.0,6.37,,,,0.76,27222.0,11163.0,,,6.37,34249.0,,2175.0,,646.99,,,,32.41,32.41,8822756.0,1014841500.41,,1352.67,32.36,17.08,0.1251,17.95,0.6474
2006-07-26,8362539.0,965696835.06,6.98,20.51,6.94,1276.25,2.0,654112581.19,4185300.0,5664347.0,483313855.25,,8933.0,9410.0,,1.36,,,10.36,,61694.0,,8933.0,,9410.0,,,65779.0,637.56,11.1,0.36,,31.77,31.77,8988428.0,1037973810.56,2379.0,1378.41,31.63,17.37,0.1255,18.11,0.6348
2006-07-27,8339151.0,970558810.39,6.96,20.64,6.92,1279.97,2.0,654110575.73,4235194.0,5620192.0,492916467.2,,,125986.0,9.23,,,,11.04,57002.0,75981.0,,,9.23,125986.0,,500.0,101157.0,648.7,13.96,0.09,,32.08,32.08,8967720.0,1043715320.07,610.0,1382.48,31.94,17.63,0.1242,18.29,0.6316
2006-07-28,8480780.0,1017807374.12,7.08,21.15,7.04,1320.18,2.0,695710328.97,4190945.0,5796938.0,502969623.73,,,,29.15,,,,1.91,185645.0,44249.0,,,29.15,,,,8899.0,651.53,0.0,,,31.63,31.63,9057658.0,1087040473.24,,1417.15,31.5,17.59,0.1242,17.85,0.6401
2006-07-31,8660755.0,1034170482.33,7.23,22.04,7.19,1366.17,2.0,711418130.38,4222118.0,5957836.0,504158102.68,,,38324.0,31.32,,,,0.0,160898.0,7152.0,,,31.32,38324.0,,,,666.77,,,,31.8,31.8,9054068.0,1081135521.17,,1425.49,31.87,16.92,0.1234,17.78,0.6524
2006-08-01,8899859.0,1035817262.89,7.43,22.98,7.39,1389.14,2.0,707866037.09,4360861.0,6082065.0,507542322.28,,,104804.0,11.53,,,,2.94,128729.0,12913.0,,,11.53,104804.0,,46852.0,4500.0,681.76,0.74,,,32.89,32.89,8897257.0,1035514427.02,,1385.05,32.99,17.37,0.1221,17.56,0.6713
2006-08-02,9172862.0,1080762513.58,7.66,23.43,7.62,1420.96,2.0,735205032.84,4562483.0,6239978.0,537559661.89,,610.0,72092.0,25.73,0.1,25000.0,,8.58,172832.0,40816.0,,610.0,25.73,72092.0,3.9,169736.0,39919.0,705.67,7.96,,,34.22,34.22,8772227.0,1033559002.87,,1359.18,34.18,16.4,0.1194,18.24,0.6879
2006-08-03,9212947.0,1077130154.22,7.69,23.55,7.65,1432.0,2.0,739756972.63,4519508.0,6327315.0,528397520.25,,,20562.0,17.65,,,,9.72,108337.0,62928.0,,,17.65,20562.0,,,21000.0,702.21,3.05,0.1,,33.75,33.75,8870200.0,1037057946.16,610.0,1379.3,33.74,16.47,0.1211,18.35,0.6881
2006-08-04,9059969.0,1081155443.62,7.56,23.47,7.52,1412.25,2.0,743431876.67,4492102.0,6229881.0,536057080.4,,,3617.0,2.0,,,,3.85,16433.0,31022.0,,,2.0,3617.0,,,113866.0,700.04,17.09,,,33.37,33.37,8970329.0,1070458412.1,,1400.82,33.32,16.73,0.1213,18.97,0.673
2006-08-07,9093217.0,1056946946.2,7.59,23.28,7.55,1419.86,2.0,724095410.46,4495761.0,6229600.0,522563231.45,,,56148.0,8.24,,,,9.31,51017.0,54489.0,,,8.24,56148.0,,2000.0,51299.0,702.25,7.38,,,33.46,33.46,8940776.0,1039228019.07,,1395.68,33.47,16.99,0.1207,18.41,0.6768
2006-08-08,9081620.0,1050108211.01,7.58,23.04,7.54,1399.41,2.0,716763069.17,4506385.0,6198761.0,521073540.9,,,28403.0,,,,,7.45,,26446.0,,,,28403.0,,8666.0,30839.0,694.38,8.55,,,33.39,33.39,8991102.0,1039641609.79,,1387.82,33.35,16.82,0.121,18.62,0.6728
2006-08-09,9219940.0,1076554142.04,7.7,23.41,7.66,1419.3,2.0,741185494.66,4604284.0,6347740.0,537613152.73,,610.0,125468.0,23.23,0.09,,,5.7,161301.0,33999.0,,610.0,23.23,125468.0,,5820.0,12322.0,707.4,2.48,,,34.35,34.35,8798926.0,1027394997.24,,1354.18,34.31,16.47,0.1213,18.51,0.6879
2006-08-10,9150556.0,1059462394.59,7.64,23.38,7.6,1415.83,2.0,722326515.5,4650418.0,6238720.0,538430996.99,,,38163.0,5.64,,,,1.62,26309.0,11419.0,,,5.64,38163.0,,20000.0,135328.0,718.71,20.71,0.09,,34.92,34.92,8665054.0,1003250388.29,610.0,1337.63,34.95,16.68,0.1206,18.55,0.6872
2006-08-11,9091311.0,1056725402.95,7.59,23.57,7.55,1401.28,2.0,724750625.22,4596600.0,6235237.0,534284217.89,,,13426.0,8.65,,,,14.32,61298.0,87245.0,,,8.65,13426.0,,20000.0,64781.0,708.99,10.76,,,34.49,34.49,8730104.0,1014740631.71,,1346.01,34.5,16.72,0.123,18.68,0.6822
2006-08-14,9108284.0,1067646938.61,7.6,24.16,7.56,1407.12,2.0,731256975.39,4608694.0,6238482.0,540217898.35,,,13985.0,0.88,,,,0.16,3244.0,1891.0,,,0.88,13985.0,,,,710.67,,,,34.38,34.38,8795070.0,1030932891.46,,1362.47,34.28,16.71,0.123,18.74,0.6795
2006-08-15,9102757.0,1087637359.58,7.6,24.14,7.56,1416.55,2.0,746058136.07,4596662.0,6243980.0,549229351.13,,,101.0,2.39,,,,1.02,5499.0,12134.0,,,2.39,101.0,,,,712.96,,,,34.34,34.34,8789222.0,1050174821.63,,1375.23,34.14,16.74,0.1235,18.96,0.68
2006-08-16,9118150.0,1092922112.77,7.61,23.82,7.57,1436.97,2.0,742389233.45,4663927.0,6193686.0,559028854.61,,910.0,19033.0,5.55,0.14,,,1.49,9225.0,28178.0,,910.0,5.55,19033.0,,75500.0,59519.0,736.02,8.22,,,35.14,35.14,8607230.0,1031682084.27,,1362.26,35.08,16.82,0.1222,18.75,0.6871
2006-08-17,9042122.0,1092009546.48,7.55,23.62,7.51,1433.3,2.0,746400555.2,4596805.0,6180390.0,555152313.06,,,21600.0,,,,,13.3,,87812.0,,,,21600.0,,,13296.0,729.92,0.61,0.14,,34.56,34.56,8705168.0,1051315892.41,910.0,1384.51,34.52,16.94,0.1243,18.97,0.6798
2006-08-18,9085084.0,1098571245.51,7.58,23.82,7.54,1445.91,2.0,752989683.19,4592404.0,6227156.0,555314951.65,,,357.0,18.39,,,,0.64,108435.0,4758.0,,,18.39,357.0,,,61669.0,733.55,8.97,,,34.52,34.52,8712032.0,1053461679.08,,1388.9,34.56,18.06,0.1258,18.81,0.6829
2006-08-21,8906735.0,1068927688.53,7.43,23.51,7.39,1415.43,2.0,725831896.06,4593745.0,6047923.0,551311027.5,,,1341.0,2.29,,,,,14516.0,,,,2.29,1341.0,,,193748.0,731.72,30.25,,,34.09,34.09,8881614.0,1065912831.51,,1410.74,34.15,17.12,0.1239,19.1,0.6609
2006-08-22,8878128.0,1070191228.76,7.41,23.56,7.37,1412.27,2.0,728839744.46,4566768.0,6046333.0,550489366.38,,,462.0,2.99,,,,4.3,17310.0,27438.0,,,2.99,462.0,,,18900.0,728.32,3.41,,,33.95,33.95,8886491.0,1071199325.2,,1414.53,33.99,17.2,0.1244,19.22,0.6599
2006-08-23,8903990.0,1061869043.57,7.43,23.69,7.39,1413.29,2.0,720717589.81,4556576.0,6043365.0,543406607.49,,3302.0,956.0,1.02,0.52,,,6.24,9578.0,38049.0,,3302.0,1.02,956.0,,23599.0,12546.0,725.69,1.69,,,33.71,33.71,8960620.0,1068622605.05,,1365.76,34.7,17.26,0.1237,19.01,0.6587
2006-08-24,8868804.0,1063705198.04,7.4,23.59,7.36,1403.18,2.0,725108681.01,4532766.0,6045704.0,543650164.74,,,11383.0,1.37,,,,5.6,13026.0,33835.0,,,1.37,11383.0,,1944.0,10687.0,718.69,2.49,0.52,,33.53,33.53,8985990.0,1077760233.79,3302.0,1369.56,34.42,17.21,0.1244,19.27,0.656
2006-08-25,8972425.0,1094441782.65,7.49,23.98,7.45,1429.47,2.0,749661257.42,4541932.0,6145854.0,554017465.15,,,11126.0,17.88,,,,0.06,100150.0,1960.0,,,17.88,11126.0,,,,724.13,,,,33.62,33.62,8966957.0,1093774804.92,,1381.91,34.38,18.12,0.1258,19.21,0.6642
2006-08-28,8922437.0,1096436107.24,7.44,23.32,7.41,1434.34,2.0,750782936.51,4510323.0,6109625.0,554252273.51,,,5329.0,4.22,,,,5.48,11468.0,36938.0,,,4.22,5329.0,,,47697.0,726.89,7.27,,,33.42,33.42,8985683.0,1104208109.22,,1393.18,34.29,18.54,0.1264,18.82,0.6611
2006-08-29,8904211.0,1098234025.35,7.43,23.56,7.39,1438.58,2.0,749885382.93,4521270.0,6079886.0,557647673.87,,,1096.0,,,,,2.96,,21702.0,,,,1096.0,,31553.0,29739.0,731.84,2.67,,,33.49,33.49,8979535.0,1107524391.41,,1396.2,34.39,18.3,0.1251,18.6,0.6595
2006-08-30,8865404.0,1103497689.51,7.4,23.5,7.36,1439.87,2.0,746063007.26,4589298.0,5993805.0,571240717.23,,300.0,74815.0,2.63,0.05,,,1.05,15221.0,7088.0,,300.0,2.63,74815.0,,,101302.0,746.57,14.67,,,34.07,34.07,8882874.0,1105672221.5,,1452.5,33.95,17.52,0.1234,18.76,0.6581
