,SEFER FP Equity_DX_SI_QTY,SEFER FP Equity_DX_SHORT_INTEREST_VALUE,SEFER FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SEFER FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SEFER FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SEFER FP Equity_DX_SI_MV,SEFER FP Equity_DX_DSS,SEFER FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SEFER FP Equity_DX_SUPPLY_SI_QTY,SEFER FP Equity_DX_BROKER_SI_QTY,SEFER FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SEFER FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SEFER FP Equity_DX_SUPPLY_SI_QTY_INC_x,SEFER FP Equity_DX_BROKER_SI_MV_INC_x,SEFER FP Equity_DX_SUPPLY_SI_MV_NEW,SEFER FP Equity_DX_BROKER_SI_QTY_ADD,SEFER FP Equity_DX_SUPPLY_SI_MV_DEC,SEFER FP Equity_DX_BROKER_SI_QTY_INC,SEFER FP Equity_DX_SUPPLY_SI_QTY_DEC,SEFER FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SEFER FP Equity_DX_BROKER_SI_MV_INC_y,SEFER FP Equity_DX_SUPPLY_SI_QTY_INC_y,SEFER FP Equity_DX_BROKER_SI_MV_ADD,SEFER FP Equity_DX_SUPPLY_SI_QTY_ADD,SEFER FP Equity_DX_BROKER_SI_QTY_DEC,SEFER FP Equity_DX_SUPPLY_SI_MV,SEFER FP Equity_DX_BROKER_SI_MV_DEC,SEFER FP Equity_DX_SUPPLY_SI_MV_RMV,SEFER FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SEFER FP Equity_DX_UTILIZATION_QUANTITY,SEFER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SEFER FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SEFER FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SEFER FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SEFER FP Equity_DX_ACTIVE_UTILIZATION_MV,SEFER FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SEFER FP Equity_DX_BROKER_SI_CON_RATIO,SEFER FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SEFER FP Equity_DX_DEMAND_SUPPLY_RATIO,SEFER FP Equity_PX_LAST
2014-09-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,122995.0,1494557.5,,1.54,0.0,,0.0,,0.0,12.56
2014-09-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,122995.0,1494557.5,,1.54,0.0,,0.0,,0.0,12.56
2014-09-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,122995.0,1494557.5,,1.54,0.0,,0.0,,0.0,12.56
2014-09-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124867.0,1518512.91,,1.57,0.0,,0.0,,0.0,12.57
2014-09-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124867.0,1510056.59,,1.57,0.0,,0.0,,0.0,12.5
2014-09-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124267.0,1502800.6,,1.55,0.0,,0.0,,0.0,12.5
2014-09-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,130111.0,1573473.96,,1.63,0.0,,0.0,,0.0,12.5
2014-09-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131110.0,1585555.19,,1.64,0.0,,0.0,,0.0,12.5
2014-09-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1597837.36,,1.64,0.0,,0.0,,0.0,12.6
2014-09-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1599105.49,,1.65,0.0,,0.0,,0.0,12.61
2014-09-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1606714.23,,1.65,0.0,,0.0,,0.0,12.67
2014-09-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1616859.23,,1.66,0.0,,0.0,,0.0,12.75
2014-09-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1610518.61,,1.67,0.0,,0.0,,0.0,12.7
2014-09-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1610518.61,,1.66,0.0,,0.0,,0.0,12.7
2014-09-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1624467.98,,1.67,0.0,,0.0,,0.0,12.81
2014-09-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1624467.98,,1.68,0.0,,0.0,,0.0,12.81
2014-09-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1627004.23,,1.68,0.0,,0.0,,0.0,12.83
2014-09-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131077.0,1623199.86,,1.68,0.0,,0.0,,0.0,12.8
2014-09-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1633369.78,,1.68,0.0,,0.0,,0.0,12.88
2014-09-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1629565.35,,1.69,0.0,,0.0,,0.0,12.85
2014-09-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1621956.48,,1.68,0.0,,0.0,,0.0,12.79
2014-10-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1610543.18,,1.68,0.0,,0.0,,0.0,12.7
2014-10-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1610543.18,,1.66,0.0,,0.0,,0.0,12.7
2014-10-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1585180.3,,1.65,0.0,,0.0,,0.0,12.5
2014-10-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1578839.58,,1.65,0.0,,0.0,,0.0,12.45
2014-10-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1572498.86,,1.64,0.0,,0.0,,0.0,12.4
2014-10-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1534454.53,,1.63,0.0,,0.0,,0.0,12.1
2014-10-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,131079.0,1544599.68,,1.61,0.0,,0.0,,0.0,12.18
2014-10-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,126079.0,1402736.6,,1.49,0.0,,0.0,,0.0,11.5
2014-10-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124886.0,1378589.4,,1.43,0.0,,0.0,,0.0,11.41
2014-10-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124972.0,1377120.61,,1.43,0.0,,0.0,,0.0,11.39
2014-10-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,123779.0,1351999.23,,1.41,0.0,,0.0,,0.0,11.29
2014-10-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,123779.0,1389122.33,,1.4,0.0,,0.0,,0.0,11.6
2014-10-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,123779.0,1387924.81,,1.44,0.0,,0.0,,0.0,11.59
2014-10-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,123779.0,1407085.12,,1.43,0.0,,0.0,,0.0,11.75
2014-10-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124475.0,1414997.05,,1.46,0.0,,0.0,,0.0,11.75
2014-10-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124475.0,1440286.36,,1.48,0.0,,0.0,,0.0,11.96
2014-10-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,124475.0,1445103.37,,1.49,0.0,,0.0,,0.0,12.0
2014-10-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,125784.0,1442046.57,,1.5,0.0,,0.0,,0.0,11.85
2014-10-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,125784.0,1435961.98,,1.49,0.0,,0.0,,0.0,11.8
2014-10-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1471462.33,,1.52,0.0,,0.0,,0.0,11.79
2014-10-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1496423.52,,1.52,0.0,,0.0,,0.0,11.99
2014-10-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1485190.99,,1.55,0.0,,0.0,,0.0,11.9
2014-10-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1492679.34,,1.54,0.0,,0.0,,0.0,11.96
2014-11-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1492679.34,,1.54,0.0,,0.0,,0.0,11.96
2014-11-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1491431.29,,1.54,0.0,,0.0,,0.0,11.95
2014-11-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1483942.93,,1.54,0.0,,0.0,,0.0,11.89
2014-11-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1427780.24,,1.53,0.0,,0.0,,0.0,11.44
2014-11-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1395330.69,,1.46,0.0,,0.0,,0.0,11.18
2014-11-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,129003.0,1372865.62,,1.44,0.0,,0.0,,0.0,11.0
2014-11-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,123346.0,1309083.15,,1.36,0.0,,0.0,,0.0,10.97
2014-11-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,122633.0,1287278.82,,1.35,0.0,,0.0,,0.0,10.85
2014-11-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,121326.0,1268864.09,,1.32,0.0,,0.0,,0.0,10.81
2014-11-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,121326.0,1291166.05,,1.32,0.0,,0.0,,0.0,11.0
2014-11-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,121326.0,1291166.05,,1.33,0.0,,0.0,,0.0,11.0
2014-11-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,121326.0,1291166.05,,1.33,0.0,,0.0,,0.0,11.0
2014-11-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,114720.0,1187567.9,,1.26,0.0,,0.0,,0.0,10.7
2014-11-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,110165.0,1108440.82,,1.18,0.0,,0.0,,0.0,10.4
2014-11-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,85563.0,836070.52,,0.88,0.0,,0.0,,0.0,10.1
2014-11-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,88261.0,862433.76,,0.89,0.0,,0.0,,0.0,10.1
2014-11-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,0.0,0.0,82059.0,805007.1,,0.83,0.0,,0.0,,0.0,10.14
