,DFND FP Equity_DX_SI_QTY,DFND FP Equity_DX_SHORT_INTEREST_VALUE,DFND FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,DFND FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,DFND FP Equity_DX_SI_MV,DFND FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,DFND FP Equity_DX_SUPPLY_SI_QTY,DFND FP Equity_DX_BROKER_SI_QTY,DFND FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,DFND FP Equity_DX_SUPPLY_SI_QTY_INC_x,DFND FP Equity_DX_BROKER_SI_MV_INC_x,DFND FP Equity_DX_BROKER_SI_QTY_ADD,DFND FP Equity_DX_SUPPLY_SI_MV_DEC,DFND FP Equity_DX_BROKER_SI_QTY_INC,DFND FP Equity_DX_SUPPLY_SI_QTY_DEC,DFND FP Equity_DX_BROKER_SI_MV_INC_y,DFND FP Equity_DX_SUPPLY_SI_QTY_INC_y,DFND FP Equity_DX_BROKER_SI_MV_ADD,DFND FP Equity_DX_SUPPLY_SI_QTY_ADD,DFND FP Equity_DX_BROKER_SI_QTY_DEC,DFND FP Equity_DX_SUPPLY_SI_MV,DFND FP Equity_DX_BROKER_SI_MV_DEC,DFND FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,DFND FP Equity_DX_UTILIZATION_QUANTITY,DFND FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,DFND FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,DFND FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,DFND FP Equity_DX_ACTIVE_UTILIZATION_MV,DFND FP Equity_DX_BROKER_SI_MARKET_SHARE_2,DFND FP Equity_DX_BROKER_SI_CON_RATIO,DFND FP Equity_DX_BROKER_SI_MARKET_SHARE_1,DFND FP Equity_DX_DEMAND_SUPPLY_RATIO,DFND FP Equity_PX_LAST
2024-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.262
2024-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27
2024-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.282
2024-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.309
2024-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.378
2024-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.392
2024-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.383
2024-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2024-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.327
2024-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.345
2024-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.359
2024-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.339
2024-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.339
2024-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.417
2024-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.467
2024-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.462
2024-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.433
2024-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.351
2024-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.352
2024-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.294
2024-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.225
2024-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.311
2024-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.32
2024-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.262
2024-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.352
2024-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.374
2024-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.334
2024-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31
2024-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.31
2024-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.359
2024-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.368
2024-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.424
2024-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.412
2024-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42
2024-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.408
2024-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.392
2024-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.398
2024-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2024-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.516
2024-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
2024-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51
2024-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.539
2024-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.517
2024-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.532
2024-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.502
2024-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.553
2024-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.614
2024-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.624
2024-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.655
2024-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.753
2024-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72
2024-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.728
2024-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.652
2024-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.648
2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.628
2024-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.599
2024-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.579
2024-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.541
2024-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.519
2024-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.42
2024-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.455
2024-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.425
2024-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.458
2024-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.659
2024-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.666
2024-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.762
2024-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.904
2024-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83
2024-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.864
2024-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.731
2024-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.645
2024-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2024-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.663
2024-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.648
2024-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.773
2024-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.825
2024-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.734
2024-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.784
2024-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.742
2024-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.758
2024-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.794
2024-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.821
2024-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.814
2024-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.859
2024-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.777
2024-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2024-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.665
2024-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.693
2024-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.719
2024-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.69
2024-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.677
2024-12-16,30000.0,171450.0,1.88,0.11,0.17,0.0,30000.0,0.0,171450.0,,,,,,,,,,30000.0,,0.17,,19.11,19.11,126948.0,725507.82,0.72,19.11,,0.0,,0.1911,5.715
2024-12-17,30000.0,170370.0,1.77,0.11,0.17,0.0,30000.0,0.0,170370.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,720937.69,0.73,19.11,,0.0,,0.1911,5.679
2024-12-18,30000.0,170580.0,1.67,0.11,0.17,0.0,30000.0,0.0,170580.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,721826.33,0.73,19.11,,0.0,,0.1911,5.686
2024-12-19,30000.0,169530.0,1.83,0.11,0.17,0.0,30000.0,0.0,169530.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,717383.15,0.73,19.11,,0.0,,0.1911,5.651
2024-12-20,30000.0,170310.0,1.82,0.11,0.17,0.0,30000.0,0.0,170310.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,720683.8,0.72,19.11,,0.0,,0.1911,5.677
2024-12-23,30000.0,169740.0,1.67,0.11,0.17,0.0,30000.0,0.0,169740.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,718271.78,0.71,19.11,,0.0,,0.1911,5.658
2024-12-24,30000.0,170700.0,1.65,0.11,0.17,0.0,30000.0,0.0,170700.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,722334.12,0.72,19.11,,0.0,,0.1911,5.69
2024-12-25,30000.0,170700.0,1.62,0.11,0.17,0.0,30000.0,0.0,170700.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,722334.12,0.72,19.11,,0.0,,0.1911,
2024-12-26,30000.0,170700.0,1.62,0.11,0.17,0.0,30000.0,0.0,170700.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,722334.12,0.72,19.11,,0.0,,0.1911,
2024-12-27,30000.0,171330.0,1.62,0.11,0.17,0.0,30000.0,0.0,171330.0,,,,,,,,,,,,0.17,,19.11,19.11,126948.0,725000.03,0.72,19.11,,0.0,,0.1911,5.711
2024-12-30,140000.0,793520.0,7.37,0.5,0.8,0.0,140000.0,0.0,793520.0,110000.0,,,,,,,110000.0,,,,0.8,,100.0,89.2,0.0,0.0,0.0,100.0,,0.0,,0.892,5.668
2024-12-31,140000.0,794360.0,7.39,0.5,0.8,0.0,140000.0,0.0,794360.0,,,,,,,,,,,,0.8,,100.0,89.2,0.0,0.0,0.0,100.0,,0.0,,0.892,5.674
2025-01-01,140000.0,794360.0,7.37,0.5,0.81,0.0,140000.0,0.0,794360.0,,,,,,,,,,,,0.81,,100.0,89.2,0.0,0.0,0.0,100.0,,0.0,,0.892,
2025-01-02,140000.0,803320.0,7.37,0.5,0.8,0.0,140000.0,0.0,803320.0,,,,,,,,,,,,0.8,,100.0,89.2,0.0,0.0,0.0,100.0,,0.0,,0.892,5.738
2025-01-03,140000.0,803880.0,6.95,0.5,0.8,0.0,140000.0,0.0,803880.0,,,,,,,,,,,,0.8,,100.0,89.2,0.0,0.0,0.0,100.0,,0.0,,0.892,5.742
2025-01-06,149000.0,842893.0,7.2,0.53,0.85,0.0,149000.0,0.0,842893.0,9000.0,,,,,,,9000.0,,,,0.85,,100.0,94.94,0.0,0.0,0.0,100.0,,0.0,,0.9494,5.657
2025-01-07,149000.0,846171.0,7.13,0.53,0.85,0.0,149000.0,0.0,846171.0,,,,,,,,,,,,0.85,,100.0,94.94,0.0,0.0,0.0,100.0,,0.0,,0.9494,5.679
2025-01-08,149000.0,854515.0,7.3,0.53,0.85,0.0,149000.0,0.0,854515.0,,,,,,,,,,,,0.85,,100.0,94.94,0.0,0.0,0.0,100.0,,0.0,,0.9494,5.735
2025-01-09,149000.0,858687.0,7.34,0.53,0.86,0.0,149000.0,0.0,858687.0,,,,,,,,,,,,0.86,,100.0,94.94,0.0,0.0,0.0,100.0,,0.0,,0.9494,5.763
2025-01-10,149000.0,855558.0,7.47,0.53,0.86,0.0,149000.0,0.0,855558.0,,,,,,,,,,,,0.86,,100.0,94.94,0.0,0.0,0.0,100.0,,0.0,,0.9494,5.742
2025-01-13,149000.0,860177.0,6.64,0.51,0.85,0.0,149000.0,0.0,860177.0,,,,,,,,,,,,0.85,,100.0,94.94,0.0,0.0,0.0,100.0,,0.0,,0.9494,5.773
2025-01-14,30000.0,173520.0,0.7,0.1,0.17,0.0,30000.0,0.0,173520.0,,,,0.68,,119000.0,,,,,,0.17,,19.11,19.11,126948.0,734267.23,0.74,19.02,,0.0,,0.1911,5.784
2025-01-15,30000.0,174630.0,0.61,0.1,0.17,0.0,30000.0,0.0,174630.0,,,,,,,,,,,,0.17,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,5.821
2025-01-16,30000.0,176520.0,0.54,0.1,0.17,0.0,30000.0,0.0,176520.0,,,,,,,,,,,,0.17,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,5.884
2025-01-17,30000.0,178680.0,0.51,0.1,0.18,0.0,30000.0,0.0,178680.0,,,,,,,,,,,,0.18,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,5.956
2025-01-20,30000.0,178020.0,0.44,0.1,0.18,0.0,30000.0,0.0,178020.0,,,,,,,,,,,,0.18,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,5.934
2025-01-21,30000.0,181050.0,0.36,0.1,0.18,0.0,30000.0,0.0,181050.0,,,,,,,,,,,,0.18,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,6.035
2025-01-22,30000.0,181050.0,0.35,0.1,0.18,0.0,30000.0,0.0,181050.0,,,,,,,,,,,,0.18,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,6.035
2025-01-23,30000.0,184050.0,0.34,0.09,0.18,0.0,30000.0,0.0,184050.0,,,,,,,,,,,,0.18,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,6.135
2025-01-24,30000.0,181800.0,0.3,0.09,0.18,0.0,30000.0,0.0,181800.0,,,,,,,,,,,,0.18,,100.0,19.11,0.0,0.0,0.0,100.0,,0.0,,0.1911,6.06
2025-01-27,30000.0,179730.0,0.28,0.09,0.18,0.0,30000.0,0.0,179730.0,,,,,,,,,,,,0.18,,100.0,18.83,0.0,0.0,0.0,100.0,,0.0,,0.1883,5.991
2025-01-28,30000.0,180990.0,0.26,0.09,0.18,0.0,30000.0,0.0,180990.0,,,,,,,,,,,,0.18,,100.0,18.38,0.0,0.0,0.0,100.0,,0.0,,0.1838,6.033
2025-01-29,30000.0,179820.0,0.24,0.09,0.18,0.0,30000.0,0.0,179820.0,,,,,,,,,,,,0.18,,100.0,17.68,0.0,0.0,0.0,100.0,,0.0,,0.1768,5.994
2025-01-30,30000.0,181440.0,0.23,0.09,0.18,0.0,30000.0,0.0,181440.0,,,,,,,,,,,,0.18,,100.0,17.68,0.0,0.0,0.0,100.0,,0.0,,0.1768,6.048
2025-01-31,30000.0,184140.0,0.22,0.09,0.18,0.0,30000.0,0.0,184140.0,,,,,,,,,,,,0.18,,100.0,17.27,0.0,0.0,0.0,100.0,,0.0,,0.1727,6.138
2025-02-03,30000.0,184500.0,0.22,0.09,0.18,0.0,30000.0,0.0,184500.0,,,,,,,,,,,,0.18,,100.0,17.27,0.0,0.0,0.0,100.0,,0.0,,0.1727,6.15
2025-02-04,30000.0,182310.0,0.21,0.09,0.18,0.0,30000.0,0.0,182310.0,,,,,,,,,,,,0.18,,100.0,17.27,0.0,0.0,0.0,100.0,,0.0,,0.1727,6.077
2025-02-05,30000.0,182190.0,0.2,0.09,0.18,0.0,30000.0,0.0,182190.0,,,,,,,,,,,,0.18,,100.0,17.27,0.0,0.0,0.0,100.0,,0.0,,0.1727,6.073
2025-02-06,170000.0,1033940.0,1.12,0.49,1.04,0.0,170000.0,0.0,1033940.0,140000.0,,,,,,,140000.0,,,,1.04,,100.0,97.87,0.0,0.0,0.0,100.0,,0.0,,0.9787,6.082
2025-02-07,30000.0,183690.0,0.19,0.08,0.18,0.0,30000.0,0.0,183690.0,,,,0.86,,140000.0,,,,,,0.18,,100.0,16.89,0.0,0.0,0.0,100.0,,0.0,,0.1689,6.123
2025-02-10,3800.0,23252.2,0.02,0.01,0.02,0.0,3800.0,0.0,23252.2,,,,0.16,,26200.0,,,,,,0.02,,100.0,2.14,0.0,0.0,0.0,100.0,,0.0,,0.0214,6.119
2025-02-11,3800.0,23305.4,0.02,0.01,0.02,0.0,3800.0,0.0,23305.4,,,,,,,,,,,,0.02,,100.0,2.14,0.0,0.0,0.0,100.0,,0.0,,0.0214,6.133
2025-02-12,3800.0,23278.8,0.02,0.01,0.02,0.0,3800.0,0.0,23278.8,,,,,,,,,,,,0.02,,100.0,2.14,0.0,0.0,0.0,100.0,,0.0,,0.0214,6.126
2025-02-13,343800.0,2092710.6,2.01,0.95,2.1,1034790.0,173800.0,170000.0,1057920.6,170000.0,,170000.0,,,,,170000.0,1.04,,,1.06,,100.0,97.84,0.0,0.0,0.0,100.0,,1.0,100.0,1.9354,6.087
2025-02-14,343800.0,2066581.8,2.0,0.95,2.1,1021870.0,173800.0,170000.0,1044711.8,,,,,,,,,,,,1.06,,100.0,97.84,0.0,0.0,0.0,100.0,,1.0,100.0,1.9354,6.011
2025-02-17,343800.0,2112994.8,1.94,0.95,2.07,1044820.0,173800.0,170000.0,1068174.8,,,,,,,,,,,,1.05,,100.0,97.84,0.0,0.0,0.0,100.0,,1.0,100.0,1.9354,6.146
2025-02-18,343800.0,2132935.2,1.79,0.94,2.12,1054680.0,173800.0,170000.0,1078255.2,,,,,,,,,,,,1.07,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.9781,6.204
2025-02-19,353840.0,2196638.72,1.59,0.91,2.18,1129856.0,171840.0,182000.0,1066782.72,,0.08,,0.0,12000.0,1960.0,0.08,,,,,1.06,,100.0,99.16,0.0,0.0,0.0,100.0,,1.0,100.0,2.0418,6.208
2025-02-20,353840.0,2138962.8,1.55,0.86,2.19,1100190.0,171840.0,182000.0,1038772.8,,,,,,,,,,,,1.07,,100.0,99.16,0.0,0.0,0.0,100.0,,1.0,100.0,2.0418,6.045
2025-02-21,353840.0,2135778.24,1.51,0.86,2.14,1098552.0,171840.0,182000.0,1037226.24,,,,,,,,,,,,1.04,,100.0,99.16,0.0,0.0,0.0,100.0,,1.0,100.0,2.0418,6.036
2025-02-24,1840.0,11093.36,0.01,0.0,0.01,0.0,1840.0,0.0,11093.36,,,,1.02,,170000.0,,,,,182000.0,0.01,1.1,100.0,1.06,0.0,0.0,0.0,100.0,,0.0,,0.0106,6.029
2025-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.01,,1840.0,,,,,,0.0,,0.0,0.0,173298.0,1044293.75,1.05,0.0,,0.0,,0.0,6.026
2025-02-26,160000.0,978720.0,0.71,0.37,0.97,0.0,160000.0,0.0,978720.0,,,,,,,,,,160000.0,,0.97,,100.0,92.33,0.0,0.0,0.0,100.0,,0.0,,0.9233,6.117
2025-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.97,,160000.0,,,,,,0.0,,0.0,0.0,173298.0,1081726.12,1.06,0.0,,0.0,,0.0,6.242
2025-02-28,160000.0,997920.0,0.68,0.37,0.99,0.0,160000.0,0.0,997920.0,,,,,,,,,,160000.0,,0.99,,100.0,81.43,0.0,0.0,0.0,100.0,,0.0,,0.8143,6.237
2025-03-03,160000.0,1024160.0,0.69,0.36,0.99,0.0,160000.0,0.0,1024160.0,,,,,,,,,,,,0.99,,100.0,81.43,0.0,0.0,0.0,100.0,,0.0,,0.8143,6.401
2025-03-04,32000.0,198368.0,0.14,0.07,0.2,0.0,32000.0,0.0,198368.0,,,,0.77,,128000.0,,,,,,0.2,,16.29,16.29,164483.0,1019630.12,1.04,16.3,,0.0,,0.1629,6.199
2025-03-05,32000.0,199840.0,0.13,0.06,0.2,0.0,32000.0,0.0,199840.0,,,,,,,,,,,,0.2,,16.29,16.29,164483.0,1027196.34,1.01,16.29,,0.0,,0.1629,6.245
2025-03-06,32000.0,197888.0,0.12,0.06,0.2,0.0,32000.0,0.0,197888.0,,,,,,,,,,,,0.2,,16.29,16.29,164483.0,1017162.87,1.02,16.29,,0.0,,0.1629,6.184
2025-03-07,154000.0,934010.0,0.58,0.3,0.95,739930.0,32000.0,122000.0,194080.0,,,122000.0,,,,,,0.75,,,0.2,,16.29,16.29,164483.0,997589.4,1.02,16.29,,1.0,100.0,0.7838,6.065
2025-03-10,122000.0,736880.0,0.44,0.23,0.74,736880.0,0.0,122000.0,0.0,,,,0.2,,32000.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.6209,6.04
2025-03-11,122000.0,728706.0,0.45,0.23,0.74,728706.0,0.0,122000.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.6209,5.973
2025-03-12,160400.0,975552.8,0.61,0.29,0.96,858778.4,19200.0,141200.0,116774.4,,,19200.0,,,,,,0.12,19200.0,,0.12,,9.77,9.77,177283.0,1078235.21,1.06,9.8,13.6,0.765,86.4,0.8164,6.082
2025-03-13,160400.0,977798.4,0.59,0.27,0.97,860755.2,19200.0,141200.0,117043.2,,,,,,,,,,,,0.12,,9.77,9.77,177283.0,1080717.17,1.08,9.8,13.6,0.765,86.4,0.8164,6.096
2025-03-14,38400.0,238848.0,0.14,0.06,0.23,119424.0,19200.0,19200.0,119424.0,,,,,,,,,,,122000.0,0.12,0.74,9.77,9.77,177283.0,1102700.26,1.08,9.75,,1.0,100.0,0.1954,6.22
2025-03-17,38400.0,240576.0,0.14,0.06,0.24,120288.0,19200.0,19200.0,120288.0,,,,,,,,,,,,0.12,,9.77,9.77,177283.0,1110678.0,1.1,9.74,,1.0,100.0,0.1954,6.265
2025-03-18,38400.0,241305.6,0.14,0.06,0.24,120652.8,19200.0,19200.0,120652.8,,,,,,,,,,,,0.12,,9.77,9.77,177283.0,1114046.37,1.11,9.75,,1.0,100.0,0.1954,6.284
