,URW FP Equity_DX_SI_QTY,URW FP Equity_DX_SHORT_INTEREST_VALUE,URW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,URW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,URW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,URW FP Equity_DX_SI_MV,URW FP Equity_DX_DSS,URW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,URW FP Equity_DX_SUPPLY_SI_QTY,URW FP Equity_DX_BROKER_SI_QTY,URW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,URW FP Equity_DX_BROKER_SI_MV_NEW_x,URW FP Equity_DX_SUPPLY_SI_QTY_NEW_x,URW FP Equity_DX_SUPPLY_SI_QTY_INC_x,URW FP Equity_DX_BROKER_SI_MV_INC_x,URW FP Equity_DX_SUPPLY_SI_MV_NEW,URW FP Equity_DX_BROKER_SI_QTY_ADD,URW FP Equity_DX_BROKER_SI_QTY_NEW,URW FP Equity_DX_SUPPLY_SI_MV_DEC,URW FP Equity_DX_BROKER_SI_QTY_INC,URW FP Equity_DX_SUPPLY_SI_QTY_DEC,URW FP Equity_DX_BROKER_SI_MV_NEW_y,URW FP Equity_DX_SUPPLY_SI_QTY_NEW_y,URW FP Equity_DX_BROKER_SI_MV_INC_y,URW FP Equity_DX_SUPPLY_SI_QTY_INC_y,URW FP Equity_DX_BROKER_SI_MV_ADD,URW FP Equity_DX_SUPPLY_SI_QTY_ADD,URW FP Equity_DX_BROKER_SI_QTY_DEC,URW FP Equity_DX_SUPPLY_SI_MV,URW FP Equity_DX_BROKER_SI_MV_DEC,URW FP Equity_DX_SUPPLY_SI_MV_RMV,URW FP Equity_DX_BROKER_SI_MV_RMV,URW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,URW FP Equity_DX_UTILIZATION_QUANTITY,URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,URW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,URW FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,URW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,URW FP Equity_DX_ACTIVE_UTILIZATION_MV,URW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,URW FP Equity_DX_BROKER_SI_CON_RATIO,URW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,URW FP Equity_DX_DEMAND_SUPPLY_RATIO,URW FP Equity_PX_LAST
2007-07-06,577590.0,55608593.52,0.78,27.7,0.78,111.23,0.0,3295559.4,543360.0,34230.0,52313034.12,,1013775.0,475.0,62.11,186.3,,,0.69,387570.0,3624.0,,1013775.0,62.11,475.0,,157284.0,20062.0,101.61,3.32,187.7,,24.21,24.21,1701074.0,163774186.92,967981.0,317.13,24.27,26.54,0.2654,39.45,0.2573,187.58
2007-07-09,574138.0,54692777.35,0.77,26.06,0.77,111.34,0.0,3260773.14,539908.0,34230.0,51432004.21,,,379.0,35.88,,,,0.71,173900.0,3831.0,,,35.88,379.0,,32924.0,320534.0,101.69,61.45,,,24.16,24.16,1694608.0,161429513.52,,318.95,24.18,26.5,0.2673,39.84,0.2569,185.6
2007-07-10,607135.0,58365842.77,0.82,25.65,0.82,115.49,0.0,3290640.13,572905.0,34230.0,55075202.64,,,398.0,117.9,,,,31.73,659600.0,169267.0,,,117.9,398.0,,201866.0,180465.0,105.87,41.62,,,97.9,29.81,12293.0,1181765.68,,2.31,97.87,28.22,0.255,36.11,0.3159,187.3
2007-07-11,581340.0,55289331.56,0.78,20.88,0.78,108.66,0.0,148461.57,579779.0,1561.0,55140869.99,,,1646.0,37.85,,,,43.08,172966.0,240131.0,,,37.85,1646.0,,5229.0,32669.0,108.37,9.33,,,92.43,30.24,47512.0,4518709.74,,8.88,92.42,30.48,0.2962,39.86,0.3032,185.3
2007-07-12,616433.0,58927480.84,0.83,20.82,0.83,114.14,0.0,3495023.18,579872.0,36561.0,55432457.65,,,93.0,43.14,,35000.0,,28.74,264686.0,141419.0,,,43.14,93.0,6.49,54900.0,1100.0,107.36,0.21,,,92.43,30.37,47512.0,4541876.36,,8.8,92.43,28.73,0.2667,37.6,0.3229,186.25
2007-07-13,592419.0,57650493.0,0.8,18.15,0.8,110.3,0.0,3557886.69,555858.0,36561.0,54092606.31,,2900.0,641.0,110.17,0.55,,,10.8,536872.0,58506.0,,2900.0,110.17,641.0,,33851.0,353510.0,103.48,64.75,,,86.49,27.77,86830.0,8449749.77,,16.18,86.48,27.86,0.2741,39.09,0.296,189.6
2007-07-16,634546.0,61750026.37,0.78,18.78,0.78,120.18,0.0,3557886.61,599546.0,36561.0,58344046.47,,,11298.0,35.63,,,,0.04,142874.0,649.0,,,35.63,11298.0,,33039.0,362228.0,113.54,65.06,,,83.99,25.9,114299.0,11122859.91,,21.59,84.02,26.06,0.2415,36.51,0.2741,187.6
2007-07-17,612624.0,59219482.28,0.75,17.24,0.75,114.79,0.0,3534180.01,577624.0,36561.0,55836196.8,,,273.0,42.33,,,,4.67,231877.0,24641.0,,,42.33,273.0,,2446.0,,108.22,,6.07,,80.5,24.81,139899.0,13523378.7,32372.0,26.17,80.53,26.98,0.2577,37.84,0.2631,186.35
2007-07-18,833508.0,80960429.13,1.02,22.83,1.02,157.1,1.0,6087855.01,798508.0,62676.0,77560803.67,,,76946.0,29.75,,26115.0,,0.0,156111.0,0.0,,,29.75,76946.0,6.71,220884.0,314156.0,148.73,61.81,,,51.44,30.26,753661.0,73204717.86,,140.44,51.43,23.35,0.1973,27.46,0.3159,187.25
2007-07-19,642725.0,63656179.26,0.79,16.77,0.79,122.3,0.0,6207498.84,607725.0,62676.0,60189741.4,,,1000.0,5.98,,,,35.55,31226.0,190783.0,,,5.98,1000.0,,193483.0,203366.0,113.89,33.1,,,71.81,31.54,238524.0,23623674.98,,44.83,71.75,27.13,0.2388,35.53,0.3336,190.93
2007-07-20,657553.0,64094661.55,0.81,16.42,0.81,126.52,0.0,7712281.32,612107.0,79121.0,59664834.62,,,5000.0,39.33,,16445.0,,0.02,200674.0,618.0,,,39.33,5000.0,3.23,14730.0,33974.0,115.88,0.0,,,72.34,31.62,234099.0,22818687.13,,44.51,72.25,26.73,0.228,34.38,0.3397,187.91
2007-07-23,798925.0,76594252.09,0.98,19.06,0.98,151.57,0.0,7585460.24,753479.0,79121.0,72237269.42,,,0.0,52.83,,,,2.74,269609.0,14281.0,,,52.83,0.0,,155653.0,562033.0,141.05,110.59,,,67.6,34.07,361173.0,34626248.78,,67.77,67.55,22.0,0.1859,26.67,0.3612,184.82
2007-07-24,582230.0,54466296.64,0.71,13.4,0.71,109.02,0.0,9923449.98,509826.0,106079.0,47693066.58,,,14638.0,5.26,,,,46.16,26958.0,243653.0,,,5.26,14638.0,,161753.0,196422.0,93.25,45.19,,,26.34,26.34,1425846.0,133384661.05,,262.38,26.22,16.95,0.2056,36.15,0.3008,180.34
2007-07-25,582230.0,53632721.29,0.71,12.95,0.71,107.12,0.0,9771577.28,509826.0,106079.0,46963151.62,,,10261.0,4.13,,,,0.0,22642.0,0.0,,,4.13,10261.0,,,840976.0,91.62,170.64,,,26.51,26.51,1413649.0,130219746.19,,255.32,26.41,16.96,0.2059,36.19,0.3027,177.58
2007-07-26,295914.0,26016615.28,0.36,6.22,0.36,55.43,0.0,13214127.22,191291.0,150298.0,16818211.89,,,13330.0,195.1,,44219.0,,56.93,1071698.0,318535.0,,,195.1,13330.0,8.25,57189.0,19080.0,33.8,8.62,,,57.55,9.99,141128.0,12407905.27,,25.02,57.46,22.66,0.2406,39.52,0.1545,169.49
2007-07-27,262961.0,22560140.1,0.32,5.21,0.32,48.37,0.0,12948180.85,191290.0,150924.0,16411289.89,,,14853.0,0.0,,,,0.0,626.0,1.0,,,0.0,14853.0,,,413052.0,32.77,97.59,,,57.55,10.05,141128.0,12107755.34,,24.13,57.59,13.35,0.2513,43.65,0.1382,165.39
2007-07-30,359882.0,30850987.96,0.44,6.74,0.44,64.04,0.0,17009697.3,240714.0,198421.0,20635276.89,,,55174.0,2.7,,47497.0,,56.29,53582.0,312668.0,,,2.7,55174.0,8.27,49424.0,83449.0,39.96,26.47,,,12.88,12.88,1628033.0,139563597.2,,271.66,12.82,13.84,0.1737,32.27,0.1926,165.26
2007-07-31,371062.0,33686085.64,0.45,6.75,0.45,65.05,0.0,15046993.86,278569.0,165747.0,25289302.57,,,27214.0,0.0,,,,2.17,283.0,13145.0,,,0.0,27214.0,,51000.0,32957.0,46.22,6.35,,,14.98,14.98,1580440.0,143476931.59,,269.61,14.63,12.7,0.2549,44.79,0.1996,175.01
2007-08-01,471254.0,41928663.58,0.58,8.12,0.58,85.54,0.0,23750506.76,405715.0,266942.0,36097492.53,5.62,,61133.0,18.71,,,32000.0,56.76,101195.0,357674.0,5.62,,18.71,61133.0,,66013.0,244883.0,70.76,23.6,,,21.89,21.89,1447439.0,128782318.85,,254.19,21.77,20.46,0.1808,26.91,0.2543,171.52
2007-08-02,421951.0,36769409.31,0.52,6.91,0.52,75.83,0.0,18965371.51,405715.0,217639.0,35354581.22,,,266439.0,33.27,,10785.0,,38.72,194000.0,205888.0,,,33.27,266439.0,1.98,20369.0,49303.0,69.52,8.93,42.3,,24.39,24.39,1257516.0,109581729.92,240817.0,215.49,24.39,22.98,0.1846,29.64,0.2537,167.99
2007-08-03,423716.0,36538574.21,0.52,6.66,0.52,74.82,0.0,18751936.8,407664.0,217455.0,35154351.78,,50000.0,131235.0,8.62,8.35,,,8.24,71764.0,48051.0,,50000.0,8.62,131235.0,,5522.0,185.0,68.18,0.18,,,25.62,25.62,1183739.0,102078126.15,,198.41,25.58,23.21,0.2066,29.28,0.2662,166.24
2007-08-06,423088.0,35409024.54,0.52,6.72,0.52,74.2,0.0,18189674.02,407150.0,217341.0,34075143.57,,14300.0,61277.0,8.02,2.32,,,0.09,54059.0,514.0,,14300.0,8.02,61277.0,,,114.0,67.64,0.09,,,25.5,25.5,1189321.0,99536494.71,,195.87,25.67,23.26,0.2068,29.26,0.265,161.34
2007-08-07,508926.0,44324774.76,0.62,8.23,0.62,86.55,0.0,18635660.3,496359.0,213970.0,43230255.23,,,4800.0,,,26958.0,,1.15,,7146.0,,,,4800.0,5.28,96355.0,30329.0,80.6,6.46,,,24.46,24.46,1532852.0,133503337.69,,252.26,24.22,24.07,0.1808,24.49,0.2508,167.9
2007-08-08,441494.0,41197705.63,0.54,7.29,0.54,77.83,0.0,27331106.64,400004.0,292893.0,37326095.13,,,23125.0,14.05,,,,15.55,78923.0,96355.0,,,14.05,23125.0,,524886.0,51439.0,66.99,2.42,,,22.84,22.84,1351521.0,126116242.39,,233.69,22.28,21.57,0.1893,28.16,0.2521,179.89
2007-08-09,474297.0,43311471.61,0.58,7.78,0.58,86.03,0.0,24523232.7,407150.0,268550.0,37179795.92,182.34,,18851.0,1.2,,,1049251.0,0.05,2615.0,309.0,182.34,,1.2,18851.0,,7455.0,26958.0,73.41,5.28,0.0,,25.72,25.72,1175639.0,107356055.74,8.0,210.22,25.88,27.64,0.2243,31.46,0.2997,176.04
2007-08-10,480777.0,43524129.12,0.59,7.71,0.59,87.09,0.0,24898115.41,407150.0,275030.0,36858770.64,,,87034.0,38.5,,8000.0,,27.75,219219.0,145973.0,,,38.5,87034.0,1.41,,1520.0,71.73,0.39,,,73.34,25.74,147971.0,13395626.06,,25.93,73.45,26.47,0.2141,30.31,0.3039,174.52
2007-08-13,431601.0,38273021.55,0.53,6.81,0.53,77.92,0.0,20028023.59,407150.0,225854.0,36104783.64,,,205404.0,42.34,,,,6.37,245000.0,31387.0,,,42.34,205404.0,,37212.0,49176.0,71.29,8.88,,,25.73,25.73,1175170.0,104210385.83,,204.95,25.81,22.47,0.2018,29.45,0.2728,170.95
2007-08-14,431218.0,38386690.83,0.53,6.66,0.53,76.95,0.0,20071252.98,407150.0,225471.0,36244176.2,,,4573.0,36.61,,,,0.48,221532.0,1578.0,,,36.61,4573.0,,1578.0,383.0,70.04,0.18,0.23,,25.75,25.75,1173900.0,104499664.59,1296.0,203.56,25.6,22.29,0.2009,29.25,0.2727,171.61
2007-08-15,462303.0,41149057.13,0.57,7.3,0.57,82.94,0.0,23254095.41,336676.0,261256.0,29967142.67,,,2542.0,5.43,,6000.0,,12.11,30000.0,70474.0,,,5.43,2542.0,1.03,2312.0,214.0,58.25,0.0,,,21.24,21.24,1248689.0,111144368.53,,217.28,21.14,27.2,0.206,27.33,0.2916,171.59
2007-08-16,364263.0,30563321.65,0.45,5.61,0.45,64.54,0.0,11467569.92,288843.0,136674.0,24235240.79,,,7745.0,0.0,,,,10.9,637.0,63000.0,,,0.0,7745.0,,15167.0,125219.0,49.51,22.56,,,18.21,18.21,1297476.0,108864134.75,,220.89,18.31,27.76,0.2358,36.4,0.2296,161.75
2007-08-17,362834.0,31975474.33,0.44,5.59,0.44,61.55,0.0,11948523.94,288505.0,135583.0,25425082.05,,,30240.0,,,,,0.15,,338.0,,,,30240.0,,,1091.0,46.98,0.49,,,18.17,18.17,1299356.0,114508354.83,,218.44,17.7,27.32,0.2293,35.67,0.2285,169.89
2007-08-20,345627.0,30636567.08,0.42,4.36,0.42,61.14,0.0,12081972.77,270578.0,136303.0,23984182.51,,,223.0,0.41,,,,2.73,720.0,18150.0,,,0.41,223.0,,314000.0,173115.0,45.88,25.85,,,17.05,17.05,1316697.0,116712745.13,,226.46,16.85,29.04,0.2431,36.14,0.2177,170.88
2007-08-21,323467.0,28910557.11,0.4,4.09,0.4,57.89,0.0,10252094.85,243900.0,114706.0,21799085.78,,,53486.0,10.65,,26958.0,,4.22,46526.0,26678.0,,,10.65,53486.0,5.28,5423.0,48555.0,41.68,8.49,,,16.88,16.88,1200949.0,107337393.47,,207.17,16.75,15.48,0.2097,38.06,0.2239,172.3
2007-08-22,344318.0,32815649.52,0.42,4.55,0.42,59.37,0.0,13185521.22,241109.0,138349.0,22979189.12,,,514.0,71.21,,49758.0,,0.57,400467.0,3305.0,,,71.21,514.0,8.62,13663.0,26115.0,41.24,6.05,,,20.25,20.25,949655.0,90508035.14,,165.88,19.91,30.31,0.2521,36.82,0.2892,183.73
2007-08-23,228699.0,21804743.15,0.28,2.99,0.28,41.56,0.0,12978503.02,127713.0,136125.0,12176481.58,,,211.0,15.21,,,,20.17,53714.0,120092.0,,,15.21,211.0,,6485.0,2223.0,23.27,0.0,,,10.9,10.9,1044044.0,99541804.98,,189.55,10.93,17.97,0.2718,46.04,0.1952,183.8
2007-08-24,201658.0,19509021.81,0.25,2.68,0.25,36.92,0.0,10521587.02,128040.0,108758.0,12386987.64,,,10965.0,7.31,,,,0.05,18302.0,223.0,,,7.31,10965.0,,550.0,27368.0,23.23,4.61,,,11.15,11.15,1020281.0,98705155.69,,187.17,11.04,20.41,0.3297,52.03,0.1756,186.5
2007-08-27,205347.0,19480306.16,0.25,2.71,0.25,37.91,0.0,10651286.92,128208.0,112278.0,12162491.25,,,168.0,0.7,,,,2.35,3520.0,14528.0,,,0.7,168.0,,,697132.0,23.31,121.39,,,12.63,12.63,886803.0,84126838.67,,165.21,12.37,20.16,0.3347,52.67,0.2023,182.88
2007-08-28,201723.0,18581923.7,0.25,2.68,0.25,37.17,0.0,10268359.08,125389.0,111472.0,11550337.99,,,7878.0,15.71,,,,0.5,87314.0,2819.0,,,15.71,7878.0,,4200.0,805.0,22.96,0.18,,,12.49,12.49,878450.0,80919334.32,,160.09,12.54,20.17,0.3425,53.36,0.201,177.58
2007-08-29,151069.0,14003645.54,0.19,1.99,0.19,27.34,0.0,10286958.68,75235.0,110974.0,6974060.02,,,39495.0,8.75,,,,9.26,49128.0,50155.0,,,8.75,39495.0,,15615.0,499.0,13.39,0.27,,,7.89,7.89,877911.0,81379730.21,,157.08,7.86,27.35,0.238,36.12,0.1585,178.7
2007-08-30,150914.0,13753643.9,0.18,2.0,0.18,27.33,0.0,10141118.29,74778.0,111275.0,6814940.85,,,93.0,0.06,,350000.0,,0.1,301.0,550.0,,,0.06,93.0,65.46,5089.0,54498.0,13.34,10.13,0.86,,7.83,7.83,880515.0,80246297.62,4574.0,156.58,7.85,27.55,0.2408,36.38,0.158,175.69
2007-08-31,151342.0,13781659.17,0.19,2.02,0.19,27.15,0.0,10182302.35,74665.0,111816.0,6799220.19,,,260740.0,0.01,,,,0.05,541.0,113.0,,,0.01,260740.0,,142601.0,5000.0,13.17,0.89,,,7.62,7.62,904935.0,82406111.59,,159.29,7.63,27.24,0.2411,36.62,0.1545,175.55
2007-09-03,141571.0,13037287.88,0.17,1.86,0.17,25.08,0.0,9386191.59,74787.0,101924.0,6887142.48,,,122.0,0.02,,,,0.11,554.0,795.0,,,0.02,122.0,,480.0,10446.0,13.16,2.09,,,7.63,7.63,905632.0,83399743.57,,159.75,7.61,29.73,0.2687,40.1,0.1444,177.53
2007-09-04,174329.0,16792785.68,0.21,2.29,0.21,31.77,0.0,9628959.36,109509.0,99960.0,10548796.62,,,74609.0,13.61,,,,0.0,72970.0,278.0,,,13.61,74609.0,,35000.0,1964.0,19.95,0.09,,,11.2,11.2,868535.0,83664347.92,,156.96,11.28,23.17,0.2096,30.59,0.1782,185.7
2007-09-05,168185.0,15721983.96,0.21,2.22,0.21,30.85,0.0,9520314.01,101481.0,101843.0,9486474.14,,12054.0,264.0,0.41,2.23,,,1.51,1884.0,8291.0,,12054.0,0.41,264.0,,77033.0,158717.0,18.5,26.88,,,10.35,10.35,878572.0,82129172.57,,160.8,10.32,23.79,0.2126,31.42,0.1716,180.21
2007-09-06,282908.0,26276090.95,0.35,3.8,0.35,51.28,0.0,9379621.19,215498.0,100988.0,20015146.43,,,98791.0,3.57,,,,1.07,1958.0,5720.0,,,3.57,98791.0,,119737.0,856.0,38.75,0.27,,,17.52,17.52,1014234.0,94200605.24,,182.27,17.53,18.01,0.2454,41.65,0.2301,179.05
2007-09-07,160578.0,14052135.52,0.2,2.2,0.2,28.67,0.0,8899913.36,92454.0,101702.0,8090623.48,,,100.0,0.0,,,,22.17,714.0,123144.0,,,0.0,100.0,,116673.0,73930.0,16.37,15.79,25.44,,9.55,9.55,875456.0,76610907.83,141695.0,153.99,9.61,24.73,0.2304,32.66,0.1659,168.7
2007-09-10,144794.0,12530428.37,0.18,1.99,0.18,24.27,0.0,7437653.95,92427.0,85945.0,7998604.24,,,20315.0,0.0,,,,0.07,1738.0,27.0,,,0.0,20315.0,,,15756.0,15.48,3.46,,,9.52,9.52,878183.0,75997687.6,,147.38,9.5,27.66,0.2804,36.53,0.1492,166.83
2007-09-11,224983.0,19956621.31,0.28,3.07,0.28,37.56,0.0,7584000.42,173062.0,85499.0,15351083.41,,,39144.0,0.0,,,,5.85,28317.0,35062.0,,,0.0,39144.0,,115698.0,446.0,28.86,0.09,,,13.93,13.93,1069374.0,94856464.54,,179.52,13.85,22.92,0.3667,53.05,0.1811,171.0
2007-09-12,109408.0,9909107.07,0.13,1.54,0.13,18.66,0.0,7753445.17,57379.0,85607.0,5196828.88,,,15.0,0.21,,,,19.3,108.0,115698.0,,,0.21,15.0,,124636.0,49107.0,9.73,8.25,0.1,,5.92,5.92,911845.0,82586005.92,603.0,156.5,5.85,37.06,0.3886,48.95,0.1129,174.6
2007-09-13,110260.0,10131548.58,0.14,1.59,0.14,19.17,0.0,7944435.22,57381.0,86458.0,5272613.72,,,1.0,0.18,,841.0,,0.22,10.0,8028.0,,,0.18,1.0,0.15,,4593.0,9.95,0.48,,1.8,5.93,5.93,911045.0,83713918.68,,159.86,5.86,36.83,0.3834,48.63,0.1139,177.14
2007-09-14,117325.0,10531818.57,0.14,1.74,0.14,20.28,0.0,8379943.4,57550.0,93353.0,5166044.4,,,169.0,1.12,,31900.0,,0.94,6895.0,5282.0,,,1.12,169.0,5.73,461.0,,9.94,,,,5.93,5.93,912241.0,81888401.5,,160.39,5.83,34.51,0.349,46.53,0.121,173.05
2007-09-17,152326.0,13282595.71,0.19,2.27,0.19,26.06,0.0,10811739.57,61914.0,123990.0,5398806.71,,4449.0,5590.0,0.16,0.77,30416.0,,0.03,826.0,85.0,,4449.0,0.16,5590.0,5.12,,605.0,10.64,0.2,,,6.33,6.33,915678.0,79845730.03,,157.14,6.34,26.37,0.2427,34.82,0.1558,168.1
2007-09-18,149692.0,13631405.19,0.18,2.22,0.18,25.56,0.0,11067617.0,61732.0,121538.0,5621502.19,,,6866.0,0.31,,,,0.03,15942.0,182.0,,,0.31,6866.0,,18296.0,2452.0,10.35,0.47,,,6.32,6.32,914958.0,83318836.21,,155.53,6.24,26.1,0.2438,34.48,0.1533,175.55
2007-09-19,167045.0,15961154.79,0.2,2.45,0.2,29.9,0.0,12350223.6,71370.0,129254.0,6819405.65,1.83,,80711.0,50.91,,8000.0,7500.0,0.01,248629.0,362.0,1.83,,50.91,80711.0,1.51,10000.0,284.0,12.58,0.0,,,7.34,7.34,900408.0,86034011.55,,160.58,7.26,23.13,0.1984,30.55,0.1719,184.2
2007-09-20,184088.0,17644044.35,0.23,2.69,0.23,33.59,0.0,14648578.5,86831.0,152835.0,8322378.51,,,3113.0,0.43,,22206.0,,1.17,1376.0,6539.0,,,0.43,3113.0,4.06,18887.0,27073.0,15.73,3.17,,,8.91,8.91,887908.0,85102169.25,,163.04,8.8,20.75,0.1705,27.42,0.1889,184.77
2007-09-21,183205.0,17812202.75,0.22,2.76,0.22,33.58,0.0,14773613.34,86831.0,151952.0,8442189.77,,,91324.0,22.32,,,,0.65,115375.0,4478.0,,,22.32,91324.0,,30989.0,884.0,15.86,0.09,,,8.9,8.9,888440.0,86379047.58,,164.89,8.78,20.84,0.1714,27.52,0.1879,187.43
2007-09-24,174483.0,16312533.07,0.21,2.67,0.21,31.85,0.0,13390669.07,86831.0,143230.0,8117888.61,,,45305.0,0.02,,,,35.2,251.0,190742.0,,,0.02,45305.0,,41323.0,8973.0,15.96,1.65,,,8.89,8.89,889434.0,83153783.09,,164.36,8.85,22.28,0.1881,29.06,0.1787,180.23
