,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_x,DSY FP Equity_y,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity,DSY FP Equity
2006-04-26,8216827.0,319633090.74,14.9,26.7,7.21,380.67,2.0,169181035.17,5008751.0,4349147.0,194839512.0,,,144565.0,24.38,,120000.0,,12.64,307428.0,293993.0,,,24.38,144565.0,5.65,60912.0,113164.0,220.98,3.58,1.24,,55.4,55.4,4032609.0,156867763.97,27307.0,178.76,55.28,16.3,0.1134,16.38,0.9088
2006-05-03,8339299.0,324247668.75,15.12,23.27,7.32,386.37,2.0,170480037.59,5109169.0,4384562.0,198654123.99,,4604.0,155865.0,6.86,0.2,,,5.04,154548.0,113084.0,,4604.0,6.86,155865.0,,54991.0,119133.0,225.31,5.05,0.08,,57.16,57.16,3829909.0,148914083.16,1957.0,169.77,57.03,15.76,0.1111,16.21,0.9329
2006-05-10,8636178.0,338733700.82,15.66,20.2,7.58,406.1,2.0,186530991.46,4925205.0,4755697.0,193179542.73,,,68357.0,22.31,,,,15.3,496536.0,344531.0,,,22.31,68357.0,,92210.0,125401.0,221.9,4.77,,,56.16,56.16,3844908.0,150807442.39,,173.5,56.12,15.43,0.1155,18.67,0.9847
2006-05-17,8736998.0,317303821.66,15.84,19.6,7.67,376.78,2.0,172669392.34,5125191.0,4754472.0,186132890.38,,49901.0,112651.0,20.4,2.15,26719.0,,0.95,542321.0,17566.0,,49901.0,20.4,112651.0,1.09,55000.0,570265.0,215.87,42.75,,,56.23,56.23,3989735.0,144896240.44,,167.66,56.28,15.89,0.1068,16.8,0.9585
2006-05-24,8469632.0,307593821.31,15.36,17.78,7.44,361.61,2.0,152726459.44,5354009.0,4205341.0,194442933.02,,28987.0,274088.0,9.94,1.24,,,8.97,259508.0,208325.0,,28987.0,9.94,274088.0,,134067.0,808640.0,224.63,35.95,,,59.02,59.02,3717785.0,135019761.78,,154.95,59.18,15.54,0.1047,17.73,0.9336
2006-05-31,8927958.0,326400558.59,16.19,18.36,7.84,373.59,2.0,161861036.29,5643504.0,4427347.0,206322975.31,,,110458.0,9.18,,,,10.7,263494.0,219641.0,,,9.18,110458.0,,427665.0,41488.0,231.28,2.47,1.24,,56.49,56.49,4346036.0,158888357.01,28987.0,178.43,56.45,15.68,0.1069,17.91,0.8937
2006-06-07,9109808.0,326758774.41,16.52,19.03,8.0,376.96,2.0,159368240.07,5786738.0,4443076.0,207563915.36,,7463.0,146219.0,5.84,0.3,,,7.01,151897.0,163350.0,,7463.0,5.84,146219.0,,160365.0,136168.0,234.75,6.53,0.3,,59.96,59.96,3864000.0,138597422.07,7463.0,156.48,60.0,16.26,0.1046,16.56,0.9439
2006-06-14,9183001.0,318185066.36,16.65,20.16,8.06,367.78,2.0,159130041.11,5976389.0,4592583.0,207078027.16,,10474.0,119669.0,6.03,0.42,,,11.57,187345.0,228954.0,,10474.0,6.03,119669.0,,301609.0,37837.0,232.29,3.46,0.54,,66.59,66.59,2998391.0,103892315.74,13147.0,116.65,66.57,17.29,0.1049,17.43,1.0232
2006-06-21,10259772.0,376746875.39,18.6,24.07,9.01,425.84,2.0,211878632.1,5987604.0,5769992.0,219869515.43,,29782.0,339692.0,55.56,1.24,,,15.33,1308484.0,410951.0,,29782.0,55.56,339692.0,,52691.0,131076.0,246.67,4.27,,,62.18,62.18,3642211.0,133744844.79,,150.25,62.15,13.25,0.1198,24.33,1.0654
2006-06-28,10073331.0,375410734.69,18.26,24.93,8.85,423.14,2.0,214225253.64,5898928.0,5748269.0,219839980.87,,,235787.0,21.56,,,,16.25,483834.0,409678.0,,,21.56,235787.0,,114997.0,505557.0,247.69,21.33,1.24,,60.65,60.65,3826862.0,142618670.52,29782.0,160.63,60.66,14.85,0.1103,20.09,1.0357
2006-07-03,9883986.0,378901464.59,17.92,25.21,8.68,417.07,2.0,211170012.96,6097167.0,5508560.0,233734194.5,,28919.0,255982.0,16.88,1.22,,,5.95,386065.0,145438.0,,28919.0,16.88,255982.0,,62966.0,625774.0,256.2,25.67,0.17,,62.23,62.23,3700353.0,141852605.94,4191.0,155.83,62.18,15.22,0.1066,18.53,1.0088
2006-07-04,10305007.0,395780514.61,18.68,26.53,9.05,441.35,2.0,214966859.48,6485826.0,5597130.0,249098671.35,,,367054.0,9.82,,,,1.76,212626.0,53395.0,,,9.82,367054.0,,75000.0,124056.0,277.89,3.57,,,80.56,64.58,1565483.0,60124914.75,,0.0,133.48,16.02,0.1016,16.63,1.0261
2006-07-05,10146799.0,375828928.73,18.4,26.9,8.91,432.87,2.0,204175156.37,6370787.0,5512413.0,235968609.74,,4191.0,61283.0,0.0,0.17,,,11.02,5359.0,256736.0,,4191.0,0.0,61283.0,,76223.0,90076.0,270.94,3.44,,,79.32,65.08,1661405.0,61537048.42,,0.0,131.47,16.71,0.1038,16.73,1.0366
2006-07-06,9982672.0,371015449.49,18.1,25.92,8.77,416.22,2.0,202136066.36,6239985.0,5438744.0,231914946.17,,,16427.0,2.45,,,,6.35,107858.0,114400.0,,,2.45,16427.0,,,181527.0,256.76,9.0,1.39,,79.17,63.99,1641884.0,61022172.25,32829.0,0.0,131.72,16.39,0.1073,17.81,1.0237
2006-07-07,9898345.0,355959275.74,17.95,24.99,8.69,412.41,2.0,195332371.39,6293812.0,5431709.0,226334883.38,,,39419.0,5.75,,,,1.39,138688.0,35593.0,,,5.75,39419.0,,50000.0,145722.0,259.22,6.05,,,78.64,64.65,1709922.0,61491349.99,,0.0,128.62,16.53,0.1059,18.03,1.0168
2006-07-10,9719446.0,351550251.02,17.62,23.84,8.53,399.15,2.0,196747993.23,6200874.0,5439568.0,224284265.92,,,16834.0,4.66,,,,6.83,138003.0,109772.0,,,4.66,16834.0,,,130145.0,249.24,6.21,,,78.16,63.9,1732534.0,62665378.52,,0.0,129.5,16.54,0.1074,18.01,1.0016
2006-07-11,9619645.0,342626407.26,17.44,23.42,8.45,395.23,2.0,191804960.05,5880177.0,5385153.0,209436410.55,,,39384.0,0.74,,,,14.2,18618.0,360080.0,,,0.74,39384.0,,,73033.0,236.97,2.86,,,74.69,60.81,1992344.0,70962043.48,,0.0,123.94,16.73,0.1069,17.97,0.9947
2006-07-12,9740285.0,342689287.25,17.66,22.95,8.55,394.2,2.0,182475791.3,6211085.0,5186524.0,218522588.58,,4191.0,227321.0,,0.16,,,3.65,,80709.0,,4191.0,,227321.0,,180105.0,198629.0,246.11,9.23,,,78.78,64.42,1672970.0,58859560.77,,0.0,128.77,16.99,0.111,19.58,1.0102
2006-07-13,9589775.0,319938039.92,17.39,22.36,8.42,382.73,2.0,164862635.47,6176751.0,4941568.0,206071321.59,,,17477.0,1.06,,,,2.74,29972.0,47621.0,,,1.06,17477.0,,,274928.0,239.88,12.4,0.16,,78.43,64.06,1698852.0,56677803.08,4191.0,0.0,128.44,16.67,0.1128,19.64,0.9946
2006-07-14,9585391.0,320659834.96,17.38,21.45,8.42,372.51,2.0,162315635.83,6237690.0,4852054.0,208669280.78,,,90429.0,,,,,3.53,,54090.0,,,,90429.0,,24600.0,89514.0,234.0,6.14,,,78.96,64.31,1662275.0,55608042.19,,0.0,130.43,16.7,0.1137,20.03,0.9883
2006-07-17,9271674.0,304371514.01,16.81,20.74,8.14,358.68,2.0,150609975.0,6118494.0,4587836.0,200858580.91,,,33240.0,0.13,,,,5.88,8835.0,152436.0,,,0.13,33240.0,,,273053.0,228.61,11.44,,,78.91,63.36,1635439.0,53688367.87,,0.0,130.41,15.33,0.1135,20.42,0.9602
2006-07-18,8829722.0,284665521.46,16.01,19.47,7.75,337.55,2.0,136467821.57,5779461.0,4232943.0,186326735.92,,,18383.0,1.15,,,,14.39,39483.0,357415.0,,,1.15,18383.0,,,394376.0,212.4,16.3,,,75.55,60.04,1870030.0,60288768.45,,0.0,125.62,16.61,0.1182,20.88,0.9172
2006-07-19,8469373.0,283018918.36,15.36,18.57,7.44,320.26,2.0,132862023.05,5689938.0,3975911.0,190139234.43,,4191.0,70673.0,2.52,0.15,,,6.87,81420.0,164387.0,,4191.0,2.52,70673.0,,,338452.0,207.8,14.87,,,59.26,59.09,3912215.0,130733509.75,,144.12,59.05,17.16,0.1229,20.77,0.8796
2006-07-20,8237438.0,270344904.58,14.93,17.83,7.23,315.5,2.0,129173556.27,5488446.0,3935932.0,180125593.68,,,82208.0,1.61,,,,11.34,25803.0,346807.0,,,1.61,82208.0,,67297.0,65783.0,204.13,1.98,0.15,,57.7,57.54,4024037.0,132065078.83,4191.0,151.31,57.43,17.45,0.1292,21.47,0.8636
2006-07-21,8624503.0,279845756.89,15.64,18.52,7.57,324.56,2.0,125699259.2,5936700.0,3873897.0,192632584.73,,,437800.0,1.1,,,,1.37,54231.0,12546.0,,,1.1,437800.0,,23000.0,116265.0,217.0,5.51,,,62.06,61.89,3629470.0,117768151.89,,134.6,61.72,16.87,0.1439,25.75,0.8991
2006-07-24,8379712.0,275165976.2,15.19,18.16,7.36,314.91,2.0,126397894.83,5660452.0,3849233.0,185873189.95,,,10862.0,,,,,10.61,,287110.0,,,,10862.0,,,24664.0,206.16,1.04,,,59.27,59.11,3889809.0,127730295.59,,143.94,58.89,17.32,0.1479,26.41,0.875
2006-07-25,7938964.0,262778031.23,14.39,17.45,6.97,299.88,2.0,120193574.77,5621295.0,3631249.0,186063676.95,,,15952.0,3.61,,,,1.64,87707.0,55108.0,,,3.61,15952.0,,,305692.0,206.64,12.12,,,59.38,59.22,3845172.0,127274380.87,,143.37,59.04,18.78,0.161,27.52,0.8363
2006-07-26,7971237.0,260309060.5,14.45,18.01,7.0,299.85,2.0,122448144.89,5456670.0,3749632.0,178193251.7,,4191.0,77467.0,5.49,0.15,15000.0,,15.09,173383.0,416089.0,,4191.0,5.49,77467.0,0.54,169806.0,70000.0,200.45,2.67,,,57.42,57.42,4045595.0,132113125.43,,148.95,57.37,19.89,0.1624,27.02,0.8389
2006-07-27,7721447.0,277534919.76,14.0,17.63,6.78,293.29,2.0,135636162.29,5265783.0,3773606.0,189270050.34,,,71339.0,2.13,,,,10.07,60000.0,278042.0,,,2.13,71339.0,,20008.0,36026.0,195.99,1.06,0.15,,54.4,54.4,4413483.0,158635505.79,4191.0,166.32,54.09,21.12,0.1574,24.78,0.7977
2006-07-28,7463884.0,272332823.77,13.53,14.97,6.55,297.94,2.0,133225689.79,5102140.0,3651345.0,186160475.36,,,80839.0,6.88,,,,7.68,107507.0,265631.0,,,6.88,80839.0,,21148.0,229768.0,202.83,7.86,,,53.29,53.29,4471525.0,163151387.38,,178.18,53.23,20.85,0.1725,26.88,0.7796
2006-07-31,6724291.0,246687181.76,12.19,13.44,5.9,270.8,2.0,125958328.83,4478054.0,3433419.0,164281783.91,,,10638.0,1.44,,,,24.75,34573.0,634724.0,,,1.44,10638.0,,,252500.0,179.87,9.51,,,46.82,46.82,5086895.0,186617710.55,,204.32,46.82,21.74,0.1571,22.48,0.703
2006-08-01,6443002.0,232808591.02,11.68,13.0,5.66,259.4,2.0,115678552.99,4379296.0,3201416.0,158239549.12,,,3518.0,0.25,,,,4.04,6150.0,102276.0,,,0.25,3518.0,,,238153.0,175.98,9.63,,,45.98,45.98,5145215.0,185914928.27,,206.07,46.06,22.0,0.162,22.34,0.6765
2006-08-02,6040795.0,220682468.02,10.95,12.15,5.3,242.88,2.0,116806105.38,4011327.0,3197362.0,146541894.31,,4191.0,42312.0,3.14,0.17,,,18.61,80128.0,467954.0,,4191.0,3.14,42312.0,,53482.0,84182.0,160.64,3.49,,,41.85,41.85,5574169.0,203635675.78,,223.6,41.81,19.39,0.157,24.73,0.6302
2006-08-03,5957184.0,211747609.49,10.8,12.05,5.23,239.68,2.0,112948238.44,4048231.0,3177620.0,143894033.98,,,76590.0,2.18,,,,2.45,54771.0,61562.0,,,2.18,76590.0,,26068.0,74513.0,162.04,2.65,0.17,,42.65,42.65,5443827.0,193500377.65,4191.0,217.65,42.68,19.89,0.1578,24.16,0.6276
2006-08-04,5748902.0,207988599.06,10.42,11.55,5.05,229.34,1.0,118071666.62,3742554.0,3263556.0,135401258.08,,,4443.0,2.56,,,,13.84,85935.0,310121.0,,,2.56,4443.0,,,,148.07,,,,38.74,38.74,5918817.0,214135926.47,,234.74,38.68,21.39,0.1617,25.19,0.595
2006-08-07,5849746.0,208617415.88,10.61,11.65,5.14,233.88,2.0,118890806.92,3784415.0,3333763.0,134962249.29,,,32999.0,3.1,,,,0.43,70686.0,11938.0,,,3.1,32999.0,,20800.0,479.0,149.93,0.0,,,38.81,38.81,5966409.0,212777927.05,,237.06,38.74,21.35,0.1601,25.15,0.5999
2006-08-08,5640464.0,198804176.53,10.23,11.29,4.95,224.73,1.0,115641291.05,3621058.0,3280970.0,127628055.75,,,31959.0,0.0,,,,8.17,2654.0,200741.0,,,0.0,31959.0,,5424.0,55447.0,142.97,2.43,,,37.62,37.62,6004990.0,211652284.63,,237.2,37.61,21.94,0.1626,25.85,0.586
2006-08-09,5695540.0,197341176.3,10.33,11.56,5.0,225.07,1.0,113649875.34,3640387.0,3280093.0,126133475.1,,4191.0,2385.0,1.94,0.16,,,5.89,50000.0,134684.0,,4191.0,1.94,2385.0,,147437.0,50877.0,142.63,2.66,,,37.98,37.98,5945780.0,206011584.36,,231.66,38.11,21.32,0.1637,26.28,0.5941
2006-08-10,5801581.0,202276267.04,10.52,11.59,5.09,227.02,2.0,114485931.92,3744469.0,3283625.0,130553587.27,,,150920.0,0.4,,,,2.21,10448.0,39687.0,,,0.4,150920.0,,6127.0,6916.0,144.58,0.74,0.52,,39.62,39.62,5707297.0,198988988.01,13278.0,219.87,39.67,20.74,0.1605,26.14,0.6138
2006-08-11,5825410.0,205111775.43,10.56,11.63,5.12,228.59,2.0,116234771.15,3756544.0,3301201.0,132267326.99,,,15895.0,1.24,,,,0.14,28453.0,3820.0,,,1.24,15895.0,,,10877.0,145.43,0.29,,,39.59,39.59,5731927.0,201820253.62,,222.03,39.58,20.6,0.1593,26.03,0.6139
2006-08-14,5734706.0,204203183.17,10.4,11.64,5.04,226.44,1.0,116605105.09,3569636.0,3274660.0,127108701.64,,,25717.0,2.11,,,,8.05,51226.0,212625.0,,,2.11,25717.0,,,77767.0,139.49,2.74,,,37.9,37.9,5847796.0,208230126.84,,228.93,37.86,20.83,0.1505,23.4,0.6089
2006-08-15,5770503.0,207933972.61,10.46,11.79,5.07,229.23,2.0,119328814.47,3569546.0,3311567.0,128624814.89,,,2990.0,2.45,,,,0.03,52385.0,3080.0,,,2.45,2990.0,,,15478.0,140.74,0.58,,,37.9,37.9,5849832.0,210792509.23,,231.11,37.85,20.77,0.1508,23.56,0.6126
2006-08-16,5784299.0,216969490.65,10.49,11.79,5.08,232.87,2.0,124492113.66,3553478.0,3318898.0,133291227.11,,4191.0,50960.0,1.4,0.17,,,2.37,35119.0,71220.0,,4191.0,1.4,50960.0,,,27787.0,142.5,0.41,,,37.28,37.28,5978198.0,224242656.72,,243.11,36.95,20.69,0.1519,23.82,0.6069
2006-08-17,5791201.0,224256053.85,10.5,11.97,5.09,239.31,2.0,129298121.81,3542507.0,3339002.0,137178564.61,,,4926.0,2.91,,,,0.06,31723.0,11705.0,,,2.91,4926.0,,,11619.0,147.45,0.43,0.17,,37.26,37.26,5965094.0,230989813.91,4191.0,250.54,37.05,20.96,0.1514,23.38,0.6091
2006-08-18,5877950.0,227987902.2,10.66,12.02,5.16,246.86,2.0,136076927.69,3463814.0,3508315.0,134350868.5,,,8762.0,11.98,,,,1.71,259312.0,87456.0,,,11.98,8762.0,,,90000.0,147.68,3.63,,,36.01,36.01,6155597.0,238756989.57,,262.23,36.03,21.12,0.156,24.79,0.6111
2006-08-21,5665631.0,219957922.86,10.27,11.69,4.97,238.03,1.0,128484214.2,3441491.0,3309470.0,133609691.82,,,789.0,1.0,,,,1.05,23752.0,24613.0,,,1.0,789.0,,1500.0,222597.0,146.73,9.32,,,35.42,35.42,6276066.0,243656962.67,,267.57,35.42,21.76,0.1486,21.83,0.583
2006-08-22,5537842.0,213542370.02,10.04,11.28,4.86,233.85,1.0,130733767.25,3521867.0,3390348.0,135805215.47,,,19020.0,6.81,,,,3.56,147829.0,86473.0,,,6.81,19020.0,,147829.0,66951.0,150.69,2.26,,,36.27,36.27,6187038.0,238575740.86,,263.56,36.38,21.48,0.1493,22.26,0.5704
2006-08-23,5570017.0,213320231.56,10.1,11.52,4.89,230.41,1.0,131213563.32,3535736.0,3426125.0,135411439.9,,4191.0,45335.0,0.72,0.18,,,3.57,37608.0,82631.0,,4191.0,0.72,45335.0,,46974.0,1831.0,147.2,0.07,,,35.92,35.92,6306415.0,241522765.21,,263.71,35.82,22.06,0.1478,22.49,0.5659
2006-08-24,5715554.0,217599994.6,10.36,11.73,5.02,236.15,1.0,136388621.48,3527393.0,3582429.0,134293315.71,,,815.0,6.84,,,,0.23,162194.0,4967.0,,,6.84,815.0,,,5890.0,146.46,0.32,0.18,,35.88,35.88,6302735.0,239954884.86,4191.0,262.45,35.82,21.49,0.1433,21.77,0.5814
2006-08-25,5917417.0,225981879.67,10.73,12.48,5.2,244.0,2.0,144604004.62,3547045.0,3786508.0,135459085.67,,,23691.0,8.91,,,,0.21,220080.0,4039.0,,,8.91,23691.0,,,16000.0,147.12,0.9,,,36.16,36.16,6262822.0,239172647.05,,261.07,36.04,20.38,0.1485,24.57,0.6032
2006-08-28,6125117.0,238351331.94,11.11,13.23,5.38,252.44,2.0,149227186.69,3693505.0,3834818.0,143728166.55,,,162199.0,1.93,,,,0.81,48309.0,15739.0,,,1.93,162199.0,,,,152.41,,,,38.17,38.17,5981837.0,232775768.43,,250.12,37.86,19.9,0.1477,23.79,0.6331
2006-08-29,6155808.0,241998510.08,11.16,13.48,5.41,255.07,2.0,151939588.04,3688792.0,3864945.0,145014621.64,,,4793.0,1.79,,,,0.44,35110.0,11664.0,,,1.79,4793.0,,2158.0,4983.0,153.04,0.22,,,38.12,38.12,5988752.0,235431167.0,,252.27,37.76,19.69,0.1469,23.9,0.6361
2006-08-30,6134223.0,242316541.53,11.12,13.69,5.39,259.94,2.0,149024074.78,3822656.0,3772532.0,151004093.16,,4191.0,67267.0,0.14,0.18,,,0.03,1350.0,11118.0,,4191.0,0.14,67267.0,,73524.0,93763.0,163.61,2.8,,,38.63,38.63,6073149.0,239903971.84,,261.93,38.45,19.38,0.1436,22.73,0.6199
2006-08-31,5985550.0,234275388.19,10.85,13.51,5.26,255.17,2.0,141958231.23,3631677.0,3626920.0,142144420.98,,,5218.0,,,,,6.68,,192005.0,,,,5218.0,,,145612.0,157.67,6.01,0.18,,36.83,36.83,6227676.0,243752238.72,4191.0,269.91,36.87,19.78,0.1479,23.31,0.6071
