,ALI2S FP Equity_DX_SI_QTY,ALI2S FP Equity_DX_SHORT_INTEREST_VALUE,ALI2S FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALI2S FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALI2S FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALI2S FP Equity_DX_SI_MV,ALI2S FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALI2S FP Equity_DX_SUPPLY_SI_QTY,ALI2S FP Equity_DX_BROKER_SI_QTY,ALI2S FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALI2S FP Equity_DX_SUPPLY_SI_MV,ALI2S FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALI2S FP Equity_DX_UTILIZATION_QUANTITY,ALI2S FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALI2S FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALI2S FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALI2S FP Equity_DX_ACTIVE_UTILIZATION_MV,ALI2S FP Equity_DX_BROKER_SI_CON_RATIO,ALI2S FP Equity_DX_DEMAND_SUPPLY_RATIO,ALI2S FP Equity_PX_LAST
2007-12-28,,,,,,,,,,,,,,,,,,,,11.4
2007-12-31,,,,,,,,,,,,,,,,,,,,11.45
2008-01-02,,,,,,,,,,,,,,,,,,,,11.55
2008-01-03,,,,,,,,,,,,,,,,,,,,11.25
2008-01-04,,,,,,,,,,,,,,,,,,,,11.12
2008-01-07,,,,,,,,,,,,,,,,,,,,11.1
2008-01-08,,,,,,,,,,,,,,,,,,,,11.1
2008-01-09,,,,,,,,,,,,,,,,,,,,11.1
2008-01-10,,,,,,,,,,,,,,,,,,,,11.0
2008-01-11,,,,,,,,,,,,,,,,,,,,8.94
2008-01-14,,,,,,,,,,,,,,,,,,,,9.34
2008-01-15,,,,,,,,,,,,,,,,,,,,9.35
2008-01-16,,,,,,,,,,,,,,,,,,,,8.5
2008-01-17,,,,,,,,,,,,,,,,,,,,8.65
2008-01-18,,,,,,,,,,,,,,,,,,,,8.06
2008-01-21,,,,,,,,,,,,,,,,,,,,7.11
2008-01-22,,,,,,,,,,,,,,,,,,,,7.25
2008-01-23,,,,,,,,,,,,,,,,,,,,7.7
2008-01-24,,,,,,,,,,,,,,,,,,,,7.7
2008-01-25,,,,,,,,,,,,,,,,,,,,7.5
2008-01-29,,,,,,,,,,,,,,,,,,,,7.8
2008-01-30,,,,,,,,,,,,,,,,,,,,8.0
2008-01-31,,,,,,,,,,,,,,,,,,,,8.0
2008-02-01,,,,,,,,,,,,,,,,,,,,8.0
2008-02-04,,,,,,,,,,,,,,,,,,,,8.1
2008-02-05,,,,,,,,,,,,,,,,,,,,8.5
2008-02-08,,,,,,,,,,,,,,,,,,,,8.5
2008-02-11,,,,,,,,,,,,,,,,,,,,8.5
2008-02-12,,,,,,,,,,,,,,,,,,,,8.0
2008-02-13,,,,,,,,,,,,,,,,,,,,8.25
2008-02-14,,,,,,,,,,,,,,,,,,,,8.25
2008-02-15,,,,,,,,,,,,,,,,,,,,8.6
2008-02-18,,,,,,,,,,,,,,,,,,,,8.26
2008-02-19,,,,,,,,,,,,,,,,,,,,8.26
2008-02-21,,,,,,,,,,,,,,,,,,,,8.26
2008-02-22,,,,,,,,,,,,,,,,,,,,8.39
2008-02-25,,,,,,,,,,,,,,,,,,,,8.0
2008-02-26,,,,,,,,,,,,,,,,,,,,8.0
2008-02-27,,,,,,,,,,,,,,,,,,,,8.0
2008-02-29,,,,,,,,,,,,,,,,,,,,8.0
2008-03-04,,,,,,,,,,,,,,,,,,,,8.0
2008-03-05,,,,,,,,,,,,,,,,,,,,7.9
2008-03-06,,,,,,,,,,,,,,,,,,,,7.91
2008-03-07,,,,,,,,,,,,,,,,,,,,7.54
2008-03-10,,,,,,,,,,,,,,,,,,,,8.0
2008-03-11,,,,,,,,,,,,,,,,,,,,8.0
2008-03-12,,,,,,,,,,,,,,,,,,,,7.61
2008-03-17,,,,,,,,,,,,,,,,,,,,7.5
2008-03-18,,,,,,,,,,,,,,,,,,,,7.04
2008-03-19,,,,,,,,,,,,,,,,,,,,7.51
2008-03-20,,,,,,,,,,,,,,,,,,,,7.51
2008-03-27,,,,,,,,,,,,,,,,,,,,7.08
2008-03-28,,,,,,,,,,,,,,,,,,,,7.1
2008-04-01,,,,,,,,,,,,,,,,,,,,6.99
2008-04-02,,,,,,,,,,,,,,,,,,,,7.1
2008-04-03,,,,,,,,,,,,,,,,,,,,7.21
2008-04-04,,,,,,,,,,,,,,,,,,,,7.5
2008-04-07,,,,,,,,,,,,,,,,,,,,7.9
2008-04-09,,,,,,,,,,,,,,,,,,,,7.9
2008-04-10,,,,,,,,,,,,,,,,,,,,8.49
2008-04-14,,,,,,,,,,,,,,,,,,,,8.5
2008-04-15,,,,,,,,,,,,,,,,,,,,7.7
2008-04-16,,,,,,,,,,,,,,,,,,,,8.5
2008-04-17,,,,,,,,,,,,,,,,,,,,7.8
2008-04-21,,,,,,,,,,,,,,,,,,,,7.8
2008-04-22,,,,,,,,,,,,,,,,,,,,7.86
2008-04-25,,,,,,,,,,,,,,,,,,,,8.38
2008-04-28,,,,,,,,,,,,,,,,,,,,8.4
2008-04-29,,,,,,,,,,,,,,,,,,,,7.8
2008-04-30,,,,,,,,,,,,,,,,,,,,7.7
2008-05-02,,,,,,,,,,,,,,,,,,,,7.5
2008-05-05,,,,,,,,,,,,,,,,,,,,6.79
2008-05-06,,,,,,,,,,,,,,,,,,,,6.0
2008-05-07,,,,,,,,,,,,,,,,,,,,5.7
2008-05-08,,,,,,,,,,,,,,,,,,,,6.59
2008-05-09,,,,,,,,,,,,,,,,,,,,7.14
2008-05-14,,,,,,,,,,,,,,,,,,,,7.0
2008-05-15,,,,,,,,,,,,,,,,,,,,6.6
2008-05-19,,,,,,,,,,,,,,,,,,,,6.5
2008-05-21,,,,,,,,,,,,,,,,,,,,6.5
2008-05-22,,,,,,,,,,,,,,,,,,,,7.06
2008-05-23,,,,,,,,,,,,,,,,,,,,6.8
2008-05-26,,,,,,,,,,,,,,,,,,,,6.8
2008-05-27,,,,,,,,,,,,,,,,,,,,6.9
2008-05-28,,,,,,,,,,,,,,,,,,,,6.89
2008-05-29,,,,,,,,,,,,,,,,,,,,6.8
2008-05-30,,,,,,,,,,,,,,,,,,,,6.3
2008-06-02,,,,,,,,,,,,,,,,,,,,6.65
2008-06-03,,,,,,,,,,,,,,,,,,,,6.6
2008-06-05,,,,,,,,,,,,,,,,,,,,6.45
2008-06-06,,,,,,,,,,,,,,,,,,,,7.29
2008-06-09,,,,,,,,,,,,,,,,,,,,7.5
2008-06-10,,,,,,,,,,,,,,,,,,,,7.5
2008-06-12,,,,,,,,,,,,,,,,,,,,7.5
2008-06-16,,,,,,,,,,,,,,,,,,,,7.5
2008-06-18,,,,,,,,,,,,,,,,,,,,7.5
2008-06-19,,,,,,,,,,,,,,,,,,,,7.5
2008-06-20,,,,,,,,,,,,,,,,,,,,7.5
2008-06-23,,,,,,,,,,,,,,,,,,,,7.6
2008-06-24,,,,,,,,,,,,,,,,,,,,7.5
2008-06-27,,,,,,,,,,,,,,,,,,,,7.4
2008-06-30,,,,,,,,,,,,,,,,,,,,7.45
2008-07-01,,,,,,,,,,,,,,,,,,,,7.45
2008-07-03,,,,,,,,,,,,,,,,,,,,7.11
2008-07-04,,,,,,,,,,,,,,,,,,,,7.1
2008-07-07,,,,,,,,,,,,,,,,,,,,7.3
2008-07-09,,,,,,,,,,,,,,,,,,,,7.1
2008-07-11,,,,,,,,,,,,,,,,,,,,7.0
2008-07-15,,,,,,,,,,,,,,,,,,,,7.1
2008-07-16,,,,,,,,,,,,,,,,,,,,7.0
2008-07-18,,,,,,,,,,,,,,,,,,,,7.0
2008-07-21,,,,,,,,,,,,,,,,,,,,6.55
2008-07-22,,,,,,,,,,,,,,,,,,,,6.55
2008-07-25,,,,,,,,,,,,,,,,,,,,6.55
2008-07-28,,,,,,,,,,,,,,,,,,,,6.6
2008-07-29,,,,,,,,,,,,,,,,,,,,6.6
2008-07-31,,,,,,,,,,,,,,,,,,,,6.55
2008-08-01,,,,,,,,,,,,,,,,,,,,6.55
2008-08-04,,,,,,,,,,,,,,,,,,,,6.6
2008-08-05,,,,,,,,,,,,,,,,,,,,6.55
2008-08-07,,,,,,,,,,,,,,,,,,,,6.55
2008-08-08,,,,,,,,,,,,,,,,,,,,6.55
2008-08-11,,,,,,,,,,,,,,,,,,,,6.45
2008-08-12,,,,,,,,,,,,,,,,,,,,6.45
2008-08-13,,,,,,,,,,,,,,,,,,,,6.45
2008-08-15,,,,,,,,,,,,,,,,,,,,6.5
2008-08-18,,,,,,,,,,,,,,,,,,,,6.5
2008-08-22,,,,,,,,,,,,,,,,,,,,6.5
2008-08-28,,,,,,,,,,,,,,,,,,,,6.5
2008-08-29,,,,,,,,,,,,,,,,,,,,6.5
2008-09-01,,,,,,,,,,,,,,,,,,,,6.5
2008-09-02,,,,,,,,,,,,,,,,,,,,6.5
2008-09-03,,,,,,,,,,,,,,,,,,,,6.45
2008-09-04,,,,,,,,,,,,,,,,,,,,6.36
2008-09-05,,,,,,,,,,,,,,,,,,,,6.35
2008-09-08,,,,,,,,,,,,,,,,,,,,6.35
2008-09-09,,,,,,,,,,,,,,,,,,,,6.35
2008-09-10,,,,,,,,,,,,,,,,,,,,6.35
2008-09-11,,,,,,,,,,,,,,,,,,,,6.35
2008-09-12,,,,,,,,,,,,,,,,,,,,6.06
2008-09-15,,,,,,,,,,,,,,,,,,,,5.81
2008-09-16,,,,,,,,,,,,,,,,,,,,5.3
2008-09-17,,,,,,,,,,,,,,,,,,,,5.3
2008-09-18,,,,,,,,,,,,,,,,,,,,4.02
2008-09-19,,,,,,,,,,,,,,,,,,,,5.0
2008-09-22,,,,,,,,,,,,,,,,,,,,5.18
2008-09-23,,,,,,,,,,,,,,,,,,,,5.1
2008-09-24,,,,,,,,,,,,,,,,,,,,5.0
2008-09-29,,,,,,,,,,,,,,,,,,,,5.0
2008-09-30,,,,,,,,,,,,,,,,,,,,4.4
2008-10-01,,,,,,,,,,,,,,,,,,,,4.1
2008-10-02,,,,,,,,,,,,,,,,,,,,3.99
2008-10-06,,,,,,,,,,,,,,,,,,,,3.75
2008-10-07,,,,,,,,,,,,,,,,,,,,3.7
2008-10-08,,,,,,,,,,,,,,,,,,,,3.5
2008-10-09,,,,,,,,,,,,,,,,,,,,5.0
2008-10-10,,,,,,,,,,,,,,,,,,,,4.5
2008-10-13,,,,,,,,,,,,,,,,,,,,4.49
2008-10-14,,,,,,,,,,,,,,,,,,,,4.5
2008-10-15,,,,,,,,,,,,,,,,,,,,4.85
2008-10-16,,,,,,,,,,,,,,,,,,,,3.7
2008-10-17,,,,,,,,,,,,,,,,,,,,5.0
2008-10-21,,,,,,,,,,,,,,,,,,,,4.0
2008-10-22,,,,,,,,,,,,,,,,,,,,4.01
2008-10-23,,,,,,,,,,,,,,,,,,,,3.8
2008-10-24,,,,,,,,,,,,,,,,,,,,4.0
2008-10-27,,,,,,,,,,,,,,,,,,,,3.66
2008-10-29,,,,,,,,,,,,,,,,,,,,3.6
2008-10-30,,,,,,,,,,,,,,,,,,,,3.95
2008-11-03,,,,,,,,,,,,,,,,,,,,4.0
2008-11-04,,,,,,,,,,,,,,,,,,,,4.0
2008-11-05,,,,,,,,,,,,,,,,,,,,4.0
2008-11-10,,,,,,,,,,,,,,,,,,,,3.8
2008-11-13,,,,,,,,,,,,,,,,,,,,3.8
2008-11-14,,,,,,,,,,,,,,,,,,,,4.0
2008-11-17,,,,,,,,,,,,,,,,,,,,3.81
2008-11-18,,,,,,,,,,,,,,,,,,,,3.81
2008-11-19,,,,,,,,,,,,,,,,,,,,3.81
2008-11-20,,,,,,,,,,,,,,,,,,,,3.8
2008-11-21,,,,,,,,,,,,,,,,,,,,3.5
2008-11-25,,,,,,,,,,,,,,,,,,,,3.5
2008-11-26,,,,,,,,,,,,,,,,,,,,3.5
2008-11-27,,,,,,,,,,,,,,,,,,,,3.0
2008-12-02,,,,,,,,,,,,,,,,,,,,2.99
2008-12-04,,,,,,,,,,,,,,,,,,,,2.77
2008-12-05,,,,,,,,,,,,,,,,,,,,2.55
2008-12-08,,,,,,,,,,,,,,,,,,,,2.4
2008-12-09,,,,,,,,,,,,,,,,,,,,2.64
2008-12-10,,,,,,,,,,,,,,,,,,,,2.85
2008-12-12,,,,,,,,,,,,,,,,,,,,2.8
2008-12-16,,,,,,,,,,,,,,,,,,,,2.25
2008-12-17,,,,,,,,,,,,,,,,,,,,1.99
2008-12-18,,,,,,,,,,,,,,,,,,,,2.0
2008-12-19,,,,,,,,,,,,,,,,,,,,2.25
2008-12-22,,,,,,,,,,,,,,,,,,,,2.15
2008-12-23,,,,,,,,,,,,,,,,,,,,2.1
2008-12-24,,,,,,,,,,,,,,,,,,,,2.02
2008-12-30,,,,,,,,,,,,,,,,,,,,2.25
2008-12-31,,,,,,,,,,,,,,,,,,,,2.25
2009-01-05,,,,,,,,,,,,,,,,,,,,2.75
2009-01-06,,,,,,,,,,,,,,,,,,,,2.75
2009-01-07,,,,,,,,,,,,,,,,,,,,2.3
2009-01-08,,,,,,,,,,,,,,,,,,,,2.25
2009-01-12,,,,,,,,,,,,,,,,,,,,2.5
2009-01-13,,,,,,,,,,,,,,,,,,,,2.25
2009-01-14,,,,,,,,,,,,,,,,,,,,2.15
2009-01-15,,,,,,,,,,,,,,,,,,,,2.1
2009-01-21,,,,,,,,,,,,,,,,,,,,2.2
2009-01-22,,,,,,,,,,,,,,,,,,,,1.91
2009-01-23,,,,,,,,,,,,,,,,,,,,1.91
2009-01-26,,,,,,,,,,,,,,,,,,,,1.85
2009-01-28,,,,,,,,,,,,,,,,,,,,1.9
2009-01-30,,,,,,,,,,,,,,,,,,,,1.9
2009-02-05,,,,,,,,,,,,,,,,,,,,2.0
2009-02-06,,,,,,,,,,,,,,,,,,,,2.0
2009-02-09,,,,,,,,,,,,,,,,,,,,2.1
2009-02-10,,,,,,,,,,,,,,,,,,,,2.15
2009-02-17,,,,,,,,,,,,,,,,,,,,2.45
2009-02-18,,,,,,,,,,,,,,,,,,,,1.5
2009-02-19,,,,,,,,,,,,,,,,,,,,1.6
2009-02-23,,,,,,,,,,,,,,,,,,,,2.5
2009-02-24,,,,,,,,,,,,,,,,,,,,1.75
2009-02-27,,,,,,,,,,,,,,,,,,,,2.5
2009-03-02,,,,,,,,,,,,,,,,,,,,2.5
2009-03-03,,,,,,,,,,,,,,,,,,,,2.5
2009-03-04,,,,,,,,,,,,,,,,,,,,2.0
2009-03-06,,,,,,,,,,,,,,,,,,,,2.0
2009-03-11,,,,,,,,,,,,,,,,,,,,2.0
2009-03-12,,,,,,,,,,,,,,,,,,,,2.0
2009-03-13,,,,,,,,,,,,,,,,,,,,2.0
2009-03-16,,,,,,,,,,,,,,,,,,,,2.61
2009-03-17,,,,,,,,,,,,,,,,,,,,2.01
2009-03-18,,,,,,,,,,,,,,,,,,,,2.6
2009-03-20,,,,,,,,,,,,,,,,,,,,2.5
2009-03-24,,,,,,,,,,,,,,,,,,,,2.6
2009-03-31,,,,,,,,,,,,,,,,,,,,2.6
2009-04-03,,,,,,,,,,,,,,,,,,,,2.7
2009-04-06,,,,,,,,,,,,,,,,,,,,2.6
2009-04-07,,,,,,,,,,,,,,,,,,,,2.6
2009-04-09,,,,,,,,,,,,,,,,,,,,2.5
2009-04-14,,,,,,,,,,,,,,,,,,,,2.15
2009-04-22,,,,,,,,,,,,,,,,,,,,2.25
2009-04-23,,,,,,,,,,,,,,,,,,,,2.2
2009-04-24,,,,,,,,,,,,,,,,,,,,2.22
2009-04-27,,,,,,,,,,,,,,,,,,,,2.5
2009-04-28,,,,,,,,,,,,,,,,,,,,2.23
2009-04-29,,,,,,,,,,,,,,,,,,,,2.24
2009-05-05,,,,,,,,,,,,,,,,,,,,2.25
2009-05-06,,,,,,,,,,,,,,,,,,,,2.3
2009-05-07,,,,,,,,,,,,,,,,,,,,2.33
2009-05-11,,,,,,,,,,,,,,,,,,,,2.5
2009-05-12,,,,,,,,,,,,,,,,,,,,2.6
2009-05-13,,,,,,,,,,,,,,,,,,,,2.6
2009-05-18,,,,,,,,,,,,,,,,,,,,2.65
2009-05-21,,,,,,,,,,,,,,,,,,,,3.0
2009-05-22,,,,,,,,,,,,,,,,,,,,3.0
2009-05-25,,,,,,,,,,,,,,,,,,,,2.76
2009-05-26,,,,,,,,,,,,,,,,,,,,3.0
2009-05-27,,,,,,,,,,,,,,,,,,,,2.8
2009-05-29,,,,,,,,,,,,,,,,,,,,3.36
2009-06-01,,,,,,,,,,,,,,,,,,,,3.0
2009-06-05,,,,,,,,,,,,,,,,,,,,3.25
2009-06-08,,,,,,,,,,,,,,,,,,,,2.91
2009-06-09,,,,,,,,,,,,,,,,,,,,3.0
2009-06-10,,,,,,,,,,,,,,,,,,,,2.9
2009-06-15,,,,,,,,,,,,,,,,,,,,3.34
2009-06-17,,,,,,,,,,,,,,,,,,,,3.34
2009-06-18,,,,,,,,,,,,,,,,,,,,3.33
2009-06-26,,,,,,,,,,,,,,,,,,,,3.3
2009-06-30,,,,,,,,,,,,,,,,,,,,2.9
2009-07-01,,,,,,,,,,,,,,,,,,,,2.33
2009-07-02,,,,,,,,,,,,,,,,,,,,2.0
2009-07-06,,,,,,,,,,,,,,,,,,,,2.05
2009-07-14,,,,,,,,,,,,,,,,,,,,2.08
2009-07-24,,,,,,,,,,,,,,,,,,,,2.08
2009-07-28,,,,,,,,,,,,,,,,,,,,2.03
2009-07-30,,,,,,,,,,,,,,,,,,,,2.03
2009-08-03,,,,,,,,,,,,,,,,,,,,2.09
2009-08-10,,,,,,,,,,,,,,,,,,,,3.0
2009-08-11,,,,,,,,,,,,,,,,,,,,2.9
2009-08-12,,,,,,,,,,,,,,,,,,,,2.9
2009-08-24,,,,,,,,,,,,,,,,,,,,2.68
2009-08-25,,,,,,,,,,,,,,,,,,,,2.7
2009-08-27,,,,,,,,,,,,,,,,,,,,2.7
2009-08-28,,,,,,,,,,,,,,,,,,,,3.04
2009-08-31,,,,,,,,,,,,,,,,,,,,3.04
2009-09-07,,,,,,,,,,,,,,,,,,,,2.99
2009-09-09,,,,,,,,,,,,,,,,,,,,2.99
2009-09-21,,,,,,,,,,,,,,,,,,,,2.75
2009-09-22,,,,,,,,,,,,,,,,,,,,2.75
2009-09-23,,,,,,,,,,,,,,,,,,,,2.75
2009-09-24,,,,,,,,,,,,,,,,,,,,2.8
2009-09-25,,,,,,,,,,,,,,,,,,,,2.99
2009-09-28,,,,,,,,,,,,,,,,,,,,2.99
2009-09-29,,,,,,,,,,,,,,,,,,,,2.56
2009-09-30,,,,,,,,,,,,,,,,,,,,2.57
2009-10-01,,,,,,,,,,,,,,,,,,,,2.5
2009-10-02,,,,,,,,,,,,,,,,,,,,2.5
2009-10-05,,,,,,,,,,,,,,,,,,,,2.88
2009-10-06,,,,,,,,,,,,,,,,,,,,2.31
2009-10-07,,,,,,,,,,,,,,,,,,,,2.26
2009-10-08,,,,,,,,,,,,,,,,,,,,2.35
2009-10-09,,,,,,,,,,,,,,,,,,,,2.45
2009-10-12,,,,,,,,,,,,,,,,,,,,2.5
2009-10-14,,,,,,,,,,,,,,,,,,,,2.45
2009-10-15,,,,,,,,,,,,,,,,,,,,2.5
2009-10-16,,,,,,,,,,,,,,,,,,,,2.65
2009-10-19,,,,,,,,,,,,,,,,,,,,2.88
2009-10-20,,,,,,,,,,,,,,,,,,,,2.99
2009-10-22,,,,,,,,,,,,,,,,,,,,2.99
2009-10-23,,,,,,,,,,,,,,,,,,,,2.99
2009-10-29,,,,,,,,,,,,,,,,,,,,2.61
2009-11-03,,,,,,,,,,,,,,,,,,,,2.61
2009-11-04,,,,,,,,,,,,,,,,,,,,2.98
2009-11-05,,,,,,,,,,,,,,,,,,,,2.97
2009-11-06,,,,,,,,,,,,,,,,,,,,2.97
2009-11-10,,,,,,,,,,,,,,,,,,,,2.97
2009-11-11,,,,,,,,,,,,,,,,,,,,2.77
2009-11-12,,,,,,,,,,,,,,,,,,,,2.65
2009-11-13,,,,,,,,,,,,,,,,,,,,2.61
2009-11-18,,,,,,,,,,,,,,,,,,,,2.57
2009-11-19,,,,,,,,,,,,,,,,,,,,2.57
2009-11-25,,,,,,,,,,,,,,,,,,,,2.5
2009-11-27,,,,,,,,,,,,,,,,,,,,2.5
2009-11-30,,,,,,,,,,,,,,,,,,,,2.5
2009-12-01,,,,,,,,,,,,,,,,,,,,2.5
2009-12-02,,,,,,,,,,,,,,,,,,,,2.55
2009-12-07,,,,,,,,,,,,,,,,,,,,2.49
2009-12-08,,,,,,,,,,,,,,,,,,,,2.4
2009-12-09,,,,,,,,,,,,,,,,,,,,2.26
2009-12-10,,,,,,,,,,,,,,,,,,,,2.26
2009-12-11,,,,,,,,,,,,,,,,,,,,1.98
2009-12-14,,,,,,,,,,,,,,,,,,,,2.0
2009-12-15,,,,,,,,,,,,,,,,,,,,2.0
2009-12-17,,,,,,,,,,,,,,,,,,,,1.98
2009-12-21,,,,,,,,,,,,,,,,,,,,2.0
2009-12-22,,,,,,,,,,,,,,,,,,,,2.0
2009-12-23,,,,,,,,,,,,,,,,,,,,2.01
2009-12-24,,,,,,,,,,,,,,,,,,,,2.02
2009-12-29,,,,,,,,,,,,,,,,,,,,2.0
2010-01-05,,,,,,,,,,,,,,,,,,,,2.12
2010-01-06,,,,,,,,,,,,,,,,,,,,2.3
2010-01-07,,,,,,,,,,,,,,,,,,,,2.76
2010-01-11,,,,,,,,,,,,,,,,,,,,2.31
2010-01-12,,,,,,,,,,,,,,,,,,,,2.35
2010-01-13,,,,,,,,,,,,,,,,,,,,2.82
2010-01-14,,,,,,,,,,,,,,,,,,,,2.95
2010-01-15,,,,,,,,,,,,,,,,,,,,2.95
2010-01-18,,,,,,,,,,,,,,,,,,,,2.94
2010-01-20,,,,,,,,,,,,,,,,,,,,3.28
2010-01-21,,,,,,,,,,,,,,,,,,,,3.29
2010-01-22,,,,,,,,,,,,,,,,,,,,3.4
2010-01-25,,,,,,,,,,,,,,,,,,,,3.4
2010-01-26,,,,,,,,,,,,,,,,,,,,3.04
2010-01-27,,,,,,,,,,,,,,,,,,,,3.03
2010-01-29,,,,,,,,,,,,,,,,,,,,3.0
2010-02-01,,,,,,,,,,,,,,,,,,,,2.4
2010-02-02,,,,,,,,,,,,,,,,,,,,2.88
2010-02-04,,,,,,,,,,,,,,,,,,,,2.36
2010-02-05,,,,,,,,,,,,,,,,,,,,2.41
2010-02-08,,,,,,,,,,,,,,,,,,,,2.8
2010-02-17,,,,,,,,,,,,,,,,,,,,2.28
2010-02-18,,,,,,,,,,,,,,,,,,,,2.13
2010-02-19,,,,,,,,,,,,,,,,,,,,2.12
2010-02-22,,,,,,,,,,,,,,,,,,,,2.2
2010-02-23,,,,,,,,,,,,,,,,,,,,2.2
2010-02-25,,,,,,,,,,,,,,,,,,,,2.35
2010-02-26,,,,,,,,,,,,,,,,,,,,2.36
2010-03-01,,,,,,,,,,,,,,,,,,,,2.35
2010-03-05,,,,,,,,,,,,,,,,,,,,2.35
2010-03-09,,,,,,,,,,,,,,,,,,,,2.35
2010-03-10,,,,,,,,,,,,,,,,,,,,2.35
2010-03-12,,,,,,,,,,,,,,,,,,,,2.35
2010-03-17,,,,,,,,,,,,,,,,,,,,2.5
2010-03-19,,,,,,,,,,,,,,,,,,,,2.46
2010-03-23,,,,,,,,,,,,,,,,,,,,2.42
2010-03-25,,,,,,,,,,,,,,,,,,,,2.36
2010-03-26,,,,,,,,,,,,,,,,,,,,2.5
2010-03-29,,,,,,,,,,,,,,,,,,,,2.4
2010-04-01,,,,,,,,,,,,,,,,,,,,2.36
2010-04-07,,,,,,,,,,,,,,,,,,,,2.37
2010-04-08,,,,,,,,,,,,,,,,,,,,2.04
2010-04-09,,,,,,,,,,,,,,,,,,,,2.09
