,USHY FP Equity_DX_DSS,USHY FP Equity_PX_LAST
2017-03-14,1.0,101.56
2017-03-15,1.0,101.82
2017-03-16,1.0,101.63
2017-03-17,1.0,101.62
2017-03-20,1.0,101.57
2017-03-21,2.0,100.66
2017-03-22,2.0,100.25
2017-03-23,2.0,100.43
2017-03-24,2.0,100.54
2017-03-27,2.0,99.8
2017-03-28,2.0,100.06
2017-03-29,2.0,101.36
2017-03-30,2.0,102.04
2017-03-31,1.0,102.49
2017-04-03,1.0,103.02
2017-04-04,1.0,102.9
2017-04-05,1.0,103.16
2017-04-06,1.0,102.95
2017-04-07,,103.55
2017-04-10,,103.75
2017-04-11,,103.5
2017-04-12,,103.68
2017-04-13,,103.53
2017-04-18,,102.76
2017-04-19,,102.7
2017-04-20,,102.11
2017-04-21,,102.99
2017-04-24,,101.76
2017-04-25,,101.16
2017-04-26,,101.9
2017-04-27,,102.06
2017-04-28,,101.85
2017-05-02,,102.5
2017-05-03,,101.93
2017-05-04,,101.71
2017-05-05,,101.0
2017-05-08,,101.44
2017-05-09,,101.92
2017-05-10,,102.29
2017-05-11,,102.21
2017-05-12,,101.85
2017-05-15,,101.4
2017-05-16,,100.55
2017-05-17,,99.76
2017-05-18,,99.79
2017-05-19,,99.52
2017-05-22,,99.27
2017-05-23,,99.21
2017-05-24,,99.96
2017-05-25,,99.53
2017-05-26,,100.0
2017-05-29,,100.3
2017-05-30,,99.84
2017-05-31,,99.63
2017-06-01,,99.75
2017-06-02,,99.73
2017-06-05,,99.64
2017-06-06,,99.65
2017-06-07,,99.43
2017-06-08,,99.87
2017-06-09,,100.04
2017-06-12,,100.07
2017-06-13,,99.98
2017-06-14,,99.58
2017-06-15,,100.63
2017-06-16,,100.11
2017-06-19,,100.88
2017-06-20,,100.79
2017-06-21,,100.53
2017-06-22,,99.88
2017-06-23,,99.52
2017-06-26,,99.74
2017-06-27,,98.95
2017-06-28,,98.49
2017-06-29,,98.07
2017-06-30,,98.28
2017-07-03,,98.75
2017-07-04,,99.02
2017-07-05,,99.21
2017-07-06,,98.26
2017-07-07,,98.21
2017-07-10,,98.13
2017-07-11,,97.8
2017-07-12,,94.35
2017-07-13,,94.7
2017-07-14,,94.02
2017-07-17,,94.22
2017-07-18,,93.47
2017-07-19,,93.82
2017-07-20,,93.32
2017-07-21,,93.18
2017-07-24,,93.23
2017-07-25,,93.1
2017-07-26,,93.27
2017-07-27,,93.18
2017-07-28,,92.54
2017-07-31,,92.1
2017-08-01,,92.12
2017-08-02,,91.89
2017-08-03,,91.24
2017-08-04,,92.61
2017-08-07,,92.39
2017-08-08,,92.74
2017-08-09,,92.37
2017-08-10,,92.08
2017-08-11,,91.2
2017-08-14,,91.61
2017-08-15,,91.82
2017-08-16,,92.1
2017-08-17,,92.2
2017-08-18,,92.08
2017-08-21,,91.4
2017-08-22,,91.67
2017-08-23,,91.63
2017-08-24,,91.79
2017-08-25,,91.26
2017-08-28,,90.63
2017-08-29,,90.11
2017-08-30,,91.06
2017-08-31,,91.45
2017-09-01,,91.75
2017-09-04,,91.37
2017-09-05,,91.33
2017-09-06,,91.24
2017-09-07,,90.81
2017-09-08,,90.74
2017-09-11,,91.11
2017-09-12,,91.05
2017-09-13,,91.61
2017-09-14,,91.69
2017-09-15,,91.1
2017-09-18,,91.37
2017-09-19,,91.21
2017-09-20,,91.43
2017-09-21,,91.66
2017-09-22,,91.39
2017-09-25,,92.27
2017-09-26,,93.0
2017-09-27,,93.15
2017-09-28,,92.86
2017-09-29,,92.78
2017-10-02,,93.43
2017-10-03,,93.16
2017-10-04,,93.3
2017-10-05,,93.6
2017-10-06,,93.68
2017-10-09,,93.37
2017-10-10,,92.8
2017-10-11,,92.71
2017-10-12,,92.39
2017-10-13,,92.5
2017-10-16,,92.9
2017-10-17,,93.28
2017-10-18,,93.44
2017-10-19,,92.75
2017-10-20,,93.93
2017-10-23,,93.68
2017-10-24,,93.71
2017-10-25,,93.2
2017-10-26,,94.05
2017-10-27,,95.08
2017-10-30,,94.51
2017-10-31,,94.41
2017-11-01,,94.55
2017-11-02,,94.46
2017-11-03,,94.87
2017-11-06,,94.8
2017-11-07,,94.99
2017-11-08,,94.55
2017-11-09,,93.75
2017-11-10,,93.94
2017-11-13,,93.71
2017-11-14,,92.3
2017-11-15,,91.85
2017-11-16,,92.74
2017-11-17,,92.6
2017-11-20,,92.95
2017-11-21,,93.11
2017-11-22,,92.82
2017-11-23,,92.42
2017-11-24,,92.06
2017-11-27,,92.2
2017-11-28,,92.4
2017-11-29,,92.58
2017-11-30,,92.19
2017-12-01,,91.91
2017-12-04,,92.68
2017-12-05,,92.89
2017-12-06,,93.22
2017-12-07,,93.13
2017-12-08,,93.85
2017-12-11,,93.08
2017-12-12,,93.66
2017-12-13,,93.16
2017-12-14,,93.25
2017-12-15,,93.26
2017-12-18,,92.95
2017-12-19,,92.78
2017-12-20,,92.91
2017-12-21,,92.41
2017-12-22,,92.67
2017-12-27,,92.21
2017-12-28,,91.86
2017-12-29,,91.43
2018-01-02,,91.25
2018-01-03,,91.8
2018-01-04,,91.71
2018-01-05,,92.29
2018-01-08,,92.87
2018-01-09,,93.1
2018-01-10,,92.37
2018-01-11,,91.96
2018-01-12,,91.73
2018-01-15,,90.42
2018-01-16,,91.3
2018-01-17,,91.3
2018-01-18,,90.47
2018-01-19,,90.43
2018-01-22,,90.36
2018-01-23,,90.2
2018-01-24,,89.36
2018-01-25,,88.76
2018-01-26,,89.26
2018-01-29,,89.77
2018-01-30,,89.13
2018-01-31,,88.68
2018-02-01,,88.53
2018-02-02,,88.31
2018-02-05,,88.21
2018-02-06,,88.73
2018-02-07,,89.45
2018-02-08,,89.74
2018-02-09,,87.96
2018-02-12,,89.32
2018-02-13,,87.72
2018-02-14,,87.0
2018-02-15,,87.17
2018-02-16,,87.93
2018-02-19,,88.29
2018-02-20,,88.78
2018-02-21,,88.69
2018-02-22,,88.52
2018-02-23,,88.74
2018-02-26,,88.9
2018-02-27,,89.4
2018-02-28,,89.46
2018-03-01,,89.66
2018-03-02,,88.1
2018-03-05,,88.35
2018-03-06,,88.06
2018-03-07,,88.05
2018-03-08,,88.41
2018-03-09,,88.66
2018-03-12,,88.94
2018-03-13,,88.16
2018-03-14,,88.21
2018-03-15,,88.61
2018-03-16,,88.76
2018-03-19,,88.33
2018-03-20,,88.68
2018-03-21,,88.86
2018-03-22,,88.3
2018-03-23,,87.82
2018-03-26,,86.98
2018-03-27,,87.73
2018-03-28,,87.78
2018-03-29,,88.52
2018-04-03,,88.54
2018-04-04,,88.21
2018-04-05,,89.29
2018-04-06,,88.91
2018-04-09,,88.7
2018-04-10,,88.9
2018-04-11,,88.36
2018-04-12,,89.29
2018-04-13,,89.28
2018-04-16,,89.06
2018-04-17,,89.24
2018-04-18,,89.06
2018-04-19,,88.92
2018-04-20,,89.44
2018-04-23,,90.27
2018-04-24,,89.37
2018-04-25,,89.36
2018-04-26,,90.04
2018-04-27,,90.36
2018-04-30,,90.29
2018-05-02,,91.25
2018-05-03,,91.45
2018-05-04,,91.56
2018-05-07,,91.71
2018-05-08,,92.21
2018-05-09,,92.25
2018-05-10,,92.03
2018-05-11,,91.85
2018-05-14,,91.56
2018-05-15,,92.39
2018-05-16,,92.86
2018-05-17,,92.68
2018-05-18,,92.9
2018-05-21,,92.97
2018-05-22,,92.68
2018-05-23,,93.38
2018-05-24,,93.42
2018-05-25,,93.83
2018-05-28,,94.51
2018-05-29,,94.58
2018-05-30,,93.01
2018-05-31,,93.67
2018-06-01,,93.82
2018-06-04,,93.55
2018-06-05,,93.61
2018-06-06,,93.16
2018-06-07,,93.12
2018-06-08,,93.5
2018-06-11,,93.08
2018-06-12,,93.31
2018-06-13,,93.44
2018-06-14,,94.92
2018-06-15,,95.05
2018-06-18,,95.13
2018-06-19,,95.54
2018-06-20,,95.33
2018-06-21,,95.06
2018-06-22,,94.83
2018-06-25,,94.04
2018-06-26,,94.16
2018-06-27,,94.91
2018-06-28,,94.79
2018-06-29,,94.3
2018-07-02,,94.3
2018-07-03,,93.88
2018-07-04,,94.03
2018-07-05,,93.6
2018-07-06,,93.16
2018-07-09,,93.75
2018-07-10,,93.82
2018-07-11,,89.11
2018-07-12,,89.55
2018-07-13,,89.74
2018-07-16,,89.23
2018-07-17,,89.37
2018-07-18,,89.87
2018-07-19,,90.22
2018-07-20,,89.42
2018-07-23,,89.37
2018-07-24,,89.44
2018-07-25,,89.79
2018-07-26,,89.99
2018-07-27,,90.06
2018-07-30,,89.65
2018-07-31,,89.88
2018-08-01,,90.09
2018-08-02,,90.63
2018-08-03,,90.9
2018-08-06,,91.25
2018-08-07,,91.03
2018-08-08,,91.07
2018-08-09,,91.25
2018-08-10,,92.23
2018-08-13,,92.37
2018-08-14,,92.93
2018-08-15,,92.93
2018-08-16,,92.64
2018-08-17,,92.49
2018-08-20,,92.35
2018-08-21,,91.68
2018-08-22,,91.12
2018-08-23,,91.39
2018-08-24,,91.04
2018-08-27,,90.46
2018-08-28,,90.47
2018-08-29,,90.58
2018-08-30,,90.82
2018-08-31,,91.14
2018-09-03,,91.17
2018-09-04,,91.64
2018-09-05,,90.85
2018-09-06,,90.93
2018-09-07,,91.32
2018-09-10,,91.22
2018-09-11,,91.41
2018-09-12,,91.03
2018-09-13,,90.89
2018-09-14,,91.08
2018-09-17,,90.59
2018-09-18,,90.93
2018-09-19,,90.72
2018-09-20,,90.35
2018-09-21,,90.41
2018-09-24,,89.94
2018-09-25,,90.07
2018-09-26,,90.34
2018-09-27,,91.15
2018-09-28,,91.67
2018-10-01,,92.1
2018-10-02,,92.24
2018-10-03,,92.58
2018-10-04,,92.08
2018-10-05,,92.04
2018-10-08,,91.97
2018-10-09,,91.79
2018-10-10,,91.3
2018-10-11,,91.25
2018-10-12,,91.58
2018-10-15,,90.68
2018-10-16,,91.05
2018-10-17,,91.98
2018-10-18,,91.44
2018-10-19,,91.43
2018-10-22,,91.76
2018-10-23,,91.44
2018-10-24,,91.85
2018-10-25,,92.25
2018-10-26,,91.66
2018-10-29,,91.67
2018-10-30,,91.76
2018-10-31,,91.99
2018-11-01,,91.72
2018-11-02,,91.87
2018-11-05,,91.58
2018-11-06,,91.93
2018-11-07,,91.76
2018-11-08,,92.4
2018-11-09,,92.46
2018-11-12,,92.77
2018-11-13,,92.41
2018-11-14,,91.86
2018-11-15,,91.03
2018-11-16,,90.61
2018-11-19,,90.02
2018-11-20,,90.24
2018-11-21,,90.58
2018-11-22,,90.32
2018-11-23,,90.83
2018-11-26,,90.81
2018-11-28,,91.29
2018-11-29,,90.91
2018-11-30,,91.6
2018-12-03,,91.85
2018-12-04,,91.62
2018-12-05,,91.53
2018-12-06,,90.88
2018-12-07,,90.99
2018-12-10,,90.67
2018-12-11,,91.59
2018-12-12,,91.3
2018-12-13,,91.86
2018-12-14,,92.12
2018-12-17,,91.17
2018-12-18,,90.44
2018-12-19,,89.83
2018-12-20,,88.55
2018-12-21,,88.88
2018-12-24,,88.24
2018-12-27,,88.3
2018-12-28,,88.55
2018-12-31,,88.77
2019-01-02,,89.16
2019-01-03,,88.53
2019-01-04,,89.59
2019-01-07,,89.89
2019-01-08,,90.51
2019-01-09,,90.53
2019-01-10,,90.69
2019-01-11,,91.12
2019-01-14,,90.81
2019-01-15,,91.67
2019-01-16,,91.94
2019-01-17,,92.02
2019-01-18,,92.7
2019-01-21,,92.53
2019-01-22,,92.38
2019-01-23,,92.07
2019-01-24,,92.48
2019-01-25,,92.32
2019-01-28,,91.75
2019-01-29,,91.72
2019-01-30,,91.99
2019-01-31,,92.52
2019-02-01,,92.24
2019-02-04,,92.65
2019-02-05,,93.6
2019-02-06,,93.66
2019-02-07,,93.49
2019-02-08,,93.74
2019-02-11,,94.16
2019-02-12,,94.47
2019-02-13,,94.67
2019-02-14,,94.44
2019-02-15,,94.84
2019-02-18,,94.6
2019-02-19,,95.02
2019-02-20,,94.3
2019-02-21,,94.46
2019-02-22,,94.58
2019-02-25,,94.53
2019-02-26,,94.64
2019-02-27,,94.65
2019-02-28,,95.11
2019-03-01,,94.82
2019-03-04,,95.27
2019-03-05,,95.48
2019-03-06,,95.27
2019-03-07,,95.27
2019-03-08,,95.53
2019-03-11,,95.73
2019-03-12,,95.49
2019-03-13,,95.47
2019-03-14,,95.77
2019-03-15,,95.79
2019-03-18,,95.95
2019-03-19,,95.48
2019-03-20,,95.3
2019-03-21,,95.8
2019-03-22,,95.82
2019-03-25,,95.67
2019-03-26,,96.23
2019-03-27,,96.52
2019-03-28,,96.93
2019-03-29,,96.68
2019-04-01,,97.52
2019-04-02,,97.44
2019-04-03,,97.14
2019-04-04,,97.33
2019-04-05,,97.66
2019-04-08,,97.47
2019-04-09,,97.03
2019-04-10,,96.97
2019-04-11,,97.89
2019-04-12,,97.17
2019-04-15,,97.7
2019-04-16,,97.62
2019-04-17,,97.53
2019-04-18,,98.35
2019-04-23,,98.06
2019-04-24,,98.4
2019-04-25,,98.46
2019-04-26,,98.3
2019-04-29,,98.43
2019-04-30,,98.03
2019-05-02,,98.32
2019-05-03,,98.25
2019-05-06,,98.2
2019-05-07,,97.97
2019-05-08,,97.64
2019-05-09,,97.35
2019-05-10,,97.38
2019-05-13,,97.31
2019-05-14,,97.4
2019-05-15,,97.37
2019-05-16,,98.1
2019-05-17,,98.09
2019-05-20,,98.03
2019-05-21,,98.1
2019-05-22,,98.28
2019-05-23,,97.88
2019-05-24,,97.69
2019-05-27,,97.74
2019-05-28,,97.73
2019-05-29,,97.53
2019-05-30,,97.97
2019-05-31,,97.29
2019-06-03,,96.32
2019-06-04,,97.0
2019-06-05,,97.05
2019-06-06,,96.94
2019-06-07,,96.89
2019-06-10,,97.38
2019-06-11,,97.39
2019-06-12,,97.43
2019-06-13,,97.89
2019-06-14,,98.22
2019-06-17,,98.08
2019-06-18,,98.81
2019-06-19,,98.64
2019-06-20,,98.89
2019-06-21,,98.42
2019-06-24,,97.66
2019-06-25,,97.72
2019-06-26,,97.51
2019-06-27,,97.68
2019-06-28,,97.76
2019-07-01,,98.93
2019-07-02,,98.63
2019-07-03,,99.05
2019-07-04,,99.3
2019-07-05,,99.44
2019-07-08,,99.3
2019-07-09,,99.18
2019-07-10,,93.32
2019-07-11,,93.06
2019-07-12,,92.89
2019-07-15,,93.2
2019-07-16,,93.21
2019-07-17,,93.31
2019-07-18,,93.02
2019-07-19,,93.31
2019-07-22,,93.19
2019-07-23,,93.93
2019-07-24,,94.24
2019-07-25,,94.0
2019-07-26,,94.42
2019-07-29,,94.15
2019-07-30,,93.92
2019-07-31,,94.21
2019-08-01,,94.85
2019-08-02,,94.11
2019-08-05,,92.78
2019-08-06,,92.78
2019-08-07,,92.42
2019-08-08,,93.77
2019-08-09,,93.0
2019-08-12,,92.78
2019-08-13,,93.19
2019-08-14,,93.19
2019-08-15,,93.41
2019-08-16,,93.93
2019-08-19,,94.03
2019-08-20,,94.04
2019-08-21,,94.34
2019-08-22,,94.48
2019-08-23,,94.06
2019-08-26,,94.48
2019-08-27,,94.62
2019-08-28,,94.87
2019-08-29,,95.31
2019-08-30,,95.84
2019-09-02,,96.0
2019-09-03,,95.83
2019-09-04,,96.06
2019-09-05,,95.62
2019-09-06,,95.74
2019-09-09,,95.62
2019-09-10,,95.74
2019-09-11,,96.08
2019-09-12,,96.06
2019-09-13,,95.54
2019-09-16,,96.47
2019-09-17,,96.01
2019-09-18,,95.99
2019-09-19,,96.28
2019-09-20,,96.49
2019-09-23,,96.59
2019-09-24,,96.51
2019-09-25,,96.71
2019-09-26,,96.71
2019-09-27,,96.56
2019-09-30,,97.0
2019-10-01,,96.84
2019-10-02,,96.15
2019-10-03,,95.39
2019-10-04,,95.96
2019-10-07,,95.63
2019-10-08,,95.98
2019-10-09,,95.72
2019-10-10,,95.49
2019-10-11,,95.54
2019-10-14,,95.72
2019-10-15,,95.76
2019-10-16,,95.62
2019-10-17,,95.08
2019-10-18,,95.02
2019-10-21,,95.12
2019-10-22,,94.87
2019-10-23,,95.11
2019-10-24,,95.58
2019-10-25,,95.56
2019-10-28,,95.8
2019-10-29,,95.6
2019-10-30,,95.27
2019-10-31,,94.88
2019-11-01,,94.78
2019-11-04,,95.29
2019-11-05,,95.58
2019-11-06,,95.78
2019-11-07,,95.99
2019-11-08,,95.94
2019-11-11,,95.83
2019-11-12,,96.11
2019-11-13,,96.38
2019-11-14,,96.17
2019-11-15,,96.01
2019-11-18,,95.52
2019-11-19,,95.7
2019-11-20,,95.48
2019-11-21,,95.33
2019-11-22,,95.82
2019-11-25,,96.15
2019-11-26,,96.27
2019-11-27,,96.42
2019-11-28,,96.41
2019-11-29,,96.3
2019-12-02,,95.88
2019-12-03,,95.36
2019-12-04,,95.92
2019-12-05,,95.99
2019-12-06,,96.28
2019-12-09,,96.3
2019-12-10,,96.1
2019-12-11,,96.22
2019-12-12,,96.29
2019-12-13,,96.43
2019-12-16,,96.62
2019-12-17,,96.71
2019-12-18,,96.58
2019-12-19,,97.26
2019-12-20,,98.12
2019-12-23,,97.27
2019-12-24,,97.47
2019-12-27,,97.16
2019-12-30,,96.5
2019-12-31,,96.26
2020-01-02,,97.0
2020-01-03,,97.11
2020-01-06,,96.93
2020-01-07,,97.46
2020-01-08,,97.68
2020-01-09,,98.38
2020-01-10,,97.95
2020-01-13,,97.85
2020-01-14,,97.85
2020-01-15,,97.46
2020-01-16,,97.79
2020-01-17,,98.16
2020-01-20,,98.59
2020-01-21,,98.29
2020-01-22,,98.22
2020-01-23,,98.43
2020-01-24,,98.51
2020-01-27,,98.04
2020-01-28,,98.2
2020-01-29,,98.5
2020-01-30,,98.0
2020-01-31,,97.83
2020-02-03,,97.93
2020-02-04,,98.62
2020-02-05,,98.89
2020-02-06,,99.09
2020-02-07,,99.52
2020-02-10,,100.11
2020-02-11,,100.39
2020-02-12,,100.21
2020-02-13,,100.85
2020-02-14,,101.09
2020-02-17,,101.58
2020-02-18,,101.24
2020-02-19,,101.41
2020-02-20,,101.77
2020-02-21,,100.65
2020-02-24,,100.27
2020-02-25,,99.94
2020-02-26,,98.77
2020-02-27,,96.56
2020-02-28,,96.37
2020-03-02,,95.38
2020-03-03,,95.79
2020-03-04,,97.98
2020-03-05,,96.22
2020-03-06,,92.54
2020-03-09,,88.89
2020-03-10,,88.49
2020-03-11,,89.27
2020-03-12,,86.19
2020-03-13,,85.61
2020-03-16,,81.63
2020-03-17,,86.23
2020-03-18,,84.88
2020-03-19,,80.29
2020-03-20,,82.5
2020-03-23,,80.0
2020-03-24,,82.57
2020-03-25,,83.19
2020-03-26,,85.49
2020-03-27,,84.77
2020-03-30,,86.18
2020-03-31,,85.36
2020-04-01,,84.04
2020-04-02,,85.84
2020-04-03,,85.3
2020-04-06,,85.97
2020-04-07,,85.44
2020-04-08,,85.62
2020-04-09,,90.61
2020-04-14,,91.73
2020-04-15,,91.38
2020-04-16,,90.79
2020-04-17,,92.95
2020-04-20,,91.89
2020-04-21,,89.16
2020-04-22,,89.79
2020-04-23,,91.04
2020-04-24,,90.17
2020-04-27,,89.63
2020-04-28,,89.37
2020-04-29,,89.92
2020-04-30,,90.37
2020-05-04,,89.45
2020-05-05,,90.11
2020-05-06,,91.26
2020-05-07,,91.48
2020-05-08,,90.56
2020-05-12,,90.98
2020-05-13,,89.84
2020-05-14,,90.12
2020-05-15,,89.32
2020-05-18,,91.46
2020-05-19,,90.99
2020-05-20,,90.92
2020-05-21,,91.39
2020-05-22,,91.96
2020-05-25,,92.86
2020-05-26,,92.53
2020-05-27,,92.81
2020-05-28,,92.71
2020-05-29,,92.6
2020-06-02,,92.78
2020-06-03,,93.73
2020-06-04,,92.73
2020-06-05,,93.53
2020-06-08,,93.94
2020-06-09,,93.05
2020-06-10,,92.28
2020-06-11,,90.84
2020-06-12,,92.65
2020-06-15,,91.89
2020-06-16,,93.54
2020-06-17,,93.72
2020-06-18,,93.34
2020-06-19,,93.85
2020-06-22,,92.53
2020-06-23,,92.36
2020-06-24,,92.25
2020-06-25,,91.9
2020-06-26,,91.94
2020-06-29,,91.47
2020-06-30,,91.44
2020-07-01,,91.74
2020-07-02,,92.25
2020-07-03,,92.44
2020-07-06,,92.26
2020-07-07,,92.39
2020-07-08,,85.99
2020-07-09,,85.67
2020-07-10,,85.57
2020-07-13,,85.97
2020-07-14,,85.34
2020-07-15,,86.54
2020-07-16,,86.23
2020-07-17,,86.05
2020-07-20,,86.22
2020-07-21,,86.97
2020-07-22,,86.32
2020-07-23,,86.2
2020-07-24,,85.7
2020-07-27,,85.17
2020-07-28,,85.4
2020-07-29,,85.17
2020-07-30,,85.33
2020-07-31,,84.97
2020-08-03,,86.04
2020-08-04,,85.88
2020-08-05,,85.09
2020-08-06,,85.55
2020-08-07,,86.05
2020-08-10,,86.11
2020-08-11,,86.09
2020-08-12,,85.67
2020-08-13,,85.1
2020-08-14,,84.75
2020-08-17,,84.51
2020-08-18,,84.36
2020-08-19,,84.72
2020-08-20,,84.71
2020-08-21,,85.7
2020-08-24,,85.78
2020-08-25,,85.73
2020-08-26,,85.68
2020-08-27,,85.95
2020-08-28,,85.19
2020-08-31,,84.89
2020-09-01,,84.86
2020-09-02,,85.91
2020-09-03,,85.67
2020-09-04,,85.17
2020-09-07,,85.38
2020-09-08,,85.39
2020-09-09,,85.42
2020-09-10,,85.85
2020-09-11,,84.51
2020-09-14,,84.94
2020-09-15,,85.21
2020-09-16,,85.43
2020-09-17,,85.54
2020-09-18,,85.08
2020-09-22,,85.25
2020-09-23,,85.93
2020-09-24,,85.04
2020-09-25,,85.49
2020-09-29,,85.5
2020-09-30,,85.36
2020-10-01,,85.14
2020-10-02,,85.51
2020-10-05,,85.79
2020-10-06,,85.96
2020-10-07,,86.3
2020-10-08,,86.32
2020-10-09,,86.0
2020-10-12,,87.08
2020-10-13,,87.01
2020-10-14,,86.69
2020-10-15,,88.65
2020-10-16,,87.51
2020-10-19,,86.24
2020-10-20,,85.89
2020-10-21,,85.61
2020-10-22,,85.94
2020-10-23,,85.95
2020-10-26,,85.88
2020-10-27,,85.66
2020-10-28,,85.54
2020-10-29,,86.09
2020-10-30,,86.38
2020-11-02,,86.77
2020-11-03,,86.52
2020-11-04,,88.26
2020-11-05,,87.75
2020-11-06,,86.67
2020-11-09,,87.9
2020-11-10,,87.64
2020-11-11,,88.05
2020-11-12,,87.32
2020-11-13,,87.32
2020-11-16,,87.62
2020-11-17,,87.33
2020-11-18,,87.6
2020-11-19,,87.66
2020-11-20,,87.57
2020-11-23,,87.89
2020-11-24,,88.07
2020-11-25,,87.79
2020-11-26,,88.02
2020-11-27,,87.56
2020-11-30,,87.29
2020-12-01,,87.14
2020-12-02,,86.88
2020-12-03,,86.67
2020-12-04,,86.94
2020-12-07,,87.02
2020-12-08,,87.16
2020-12-09,,87.28
2020-12-10,,87.31
2020-12-11,,87.18
2020-12-14,,87.19
2020-12-15,,86.9
2020-12-16,,87.03
2020-12-17,,86.56
2020-12-18,,86.64
2020-12-21,,86.5
2020-12-22,,86.88
2020-12-23,,87.14
2020-12-24,,87.05
2020-12-28,,87.35
2020-12-29,,87.12
2020-12-30,,86.8
2021-01-04,,87.01
2021-01-05,,86.69
2021-01-06,,87.03
2021-01-07,,86.91
2021-01-08,,87.14
2021-01-11,,87.75
2021-01-12,,87.6
2021-01-13,,87.75
2021-01-14,,87.96
2021-01-15,,88.33
2021-01-18,,88.5
2021-01-19,,88.26
2021-01-20,,88.61
2021-01-21,,88.35
2021-01-22,,87.88
2021-01-25,,87.97
2021-01-26,,87.94
2021-01-27,,88.16
2021-01-28,,88.47
2021-01-29,,88.02
2021-02-01,,88.45
2021-02-02,,89.18
2021-02-03,,89.28
2021-02-04,,90.03
2021-02-05,,89.53
2021-02-08,,89.57
2021-02-09,,89.05
2021-02-10,,88.93
2021-02-11,,88.7
2021-02-12,,89.06
2021-02-15,,88.97
2021-02-16,,88.73
2021-02-17,,89.2
2021-02-18,,88.85
2021-02-19,,88.56
2021-02-22,,88.29
2021-02-23,,88.03
2021-02-24,,88.28
2021-02-25,,87.4
2021-02-26,,88.16
2021-03-01,,88.93
2021-03-02,,88.81
2021-03-03,,88.22
2021-03-04,,88.5
2021-03-05,,88.8
2021-03-08,,89.84
2021-03-09,,89.13
2021-03-10,,88.96
2021-03-11,,89.06
2021-03-12,,88.84
2021-03-15,,88.82
2021-03-16,,89.07
2021-03-17,,88.85
2021-03-18,,88.42
2021-03-19,,88.58
2021-03-22,,88.77
2021-03-23,,89.26
2021-03-24,,89.78
2021-03-25,,90.07
2021-03-26,,90.1
2021-03-29,,90.29
2021-03-30,,91.08
2021-03-31,,90.9
2021-04-01,,90.78
2021-04-06,,90.45
2021-04-07,,90.07
2021-04-08,,90.09
2021-04-09,,89.98
2021-04-12,,89.78
2021-04-13,,89.7
2021-04-14,,89.34
2021-04-15,,89.83
2021-04-16,,89.7
2021-04-19,,89.04
2021-04-20,,88.84
2021-04-21,,89.02
2021-04-22,,89.28
2021-04-23,,89.05
2021-04-26,,89.05
2021-04-27,,88.83
2021-04-28,,88.79
2021-04-29,,88.64
2021-04-30,,89.18
2021-05-03,,89.25
2021-05-04,,89.1
2021-05-05,,89.53
2021-05-06,,88.82
2021-05-07,,88.61
2021-05-10,,88.78
2021-05-11,,88.2
