,CU9 FP Equity_DX_SI_QTY,CU9 FP Equity_DX_SHORT_INTEREST_VALUE,CU9 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CU9 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CU9 FP Equity_DX_SI_MV,CU9 FP Equity_DX_DSS,CU9 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CU9 FP Equity_DX_SUPPLY_SI_QTY,CU9 FP Equity_DX_BROKER_SI_QTY,CU9 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CU9 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CU9 FP Equity_DX_BROKER_SI_MV_INC_x,CU9 FP Equity_DX_BROKER_SI_QTY_ADD,CU9 FP Equity_DX_SUPPLY_SI_MV_DEC,CU9 FP Equity_DX_BROKER_SI_QTY_INC,CU9 FP Equity_DX_SUPPLY_SI_QTY_DEC,CU9 FP Equity_DX_BROKER_SI_MV_INC_y,CU9 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CU9 FP Equity_DX_BROKER_SI_MV_ADD,CU9 FP Equity_DX_SUPPLY_SI_QTY_ADD,CU9 FP Equity_DX_BROKER_SI_QTY_DEC,CU9 FP Equity_DX_SUPPLY_SI_MV,CU9 FP Equity_DX_BROKER_SI_MV_DEC,CU9 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CU9 FP Equity_DX_UTILIZATION_QUANTITY,CU9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CU9 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CU9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CU9 FP Equity_DX_ACTIVE_UTILIZATION_MV,CU9 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CU9 FP Equity_DX_BROKER_SI_CON_RATIO,CU9 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CU9 FP Equity_DX_DEMAND_SUPPLY_RATIO,CU9 FP Equity_PX_LAST
2010-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.92
2010-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.8
2010-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.78
2010-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.25
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.54
2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.52
2010-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.32
2010-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.07
2010-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.47
2010-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.35
2010-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.84
2010-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.55
2010-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.45
2010-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.98
2010-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.3
2010-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.34
2010-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.15
2010-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.61
2010-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.72
2010-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.99
2010-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.67
2010-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.9
2010-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.27
2010-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.36
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.8
2010-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.89
2010-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.62
2010-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.33
2010-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.24
2010-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.47
2010-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.1
2010-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.03
2010-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.39
2010-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.53
2010-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.58
2010-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.57
2010-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.07
2010-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.33
2010-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.86
2010-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.04
2010-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.84
2010-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.12
2010-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.55
2010-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.47
2010-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.12
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.05
2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.76
2010-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.9
2010-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.79
2010-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.76
2010-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.06
2010-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.16
2010-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.35
2010-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.68
2010-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.52
2010-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.62
2010-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.14
2010-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.51
2010-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.61
2010-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.64
2010-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.88
2010-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.65
2010-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.76
2010-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.57
2010-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.86
2010-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.33
2010-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.66
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.66
2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.27
2010-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.11
2010-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.98
2010-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.79
2010-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.14
2010-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.09
2010-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.04
2010-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.79
2010-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.95
2010-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.95
2010-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.68
2010-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.14
2010-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.09
2010-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.53
2010-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.47
2010-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.44
2010-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.31
2010-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.37
2010-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.71
2010-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.19
2010-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.71
2010-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.41
2010-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.72
2010-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.54
2010-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.64
2010-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.36
2010-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.15
2010-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.85
2010-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.98
2010-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.2
2010-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.62
2010-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.64
2010-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.89
2010-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.7
2010-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.27
2010-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.77
2010-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.5
2010-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.56
2010-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.47
2010-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.54
2010-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.81
2010-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.39
2010-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124.86
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.47
2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.95
2010-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.35
2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.34
2010-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.45
2010-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.63
2010-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.04
2010-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.37
2010-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.01
2010-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.71
2010-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.49
2010-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.15
2010-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.83
2010-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.81
2010-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.28
2010-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.34
2010-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.14
2010-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.66
2010-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.43
2010-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.85
2010-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.2
2010-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.5
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.76
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.53
2010-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.31
2010-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.64
2010-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.85
2010-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.49
2010-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.52
2010-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.06
2010-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.77
2010-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.17
2010-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.69
2010-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.68
2010-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.95
2010-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.27
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.55
2010-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.77
2010-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.09
2010-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.49
2010-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.52
2010-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.74
2010-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.06
2010-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.47
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.98
2010-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.32
2010-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.47
2010-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.62
2010-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.95
2010-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.18
2010-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.57
2010-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.33
2010-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.88
2010-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.19
2010-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.98
2010-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.62
2010-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.44
2010-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.04
2010-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.68
2010-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.99
2010-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.8
2010-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.47
2010-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.13
2010-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.8
2010-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.45
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.76
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.83
2010-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.32
2010-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.66
2010-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.55
2010-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.62
2010-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.15
2010-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.41
2010-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.81
2010-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.01
2010-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.42
2010-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.19
2010-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.9
2010-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.7
2010-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.41
2010-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.64
2010-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.09
2010-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.14
2010-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.72
2010-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.22
2010-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.2
2010-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.32
2011-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.18
2011-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.84
2011-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.59
2011-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.69
2011-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.85
2011-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.01
2011-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.61
2011-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.46
2011-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.93
2011-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.68
2011-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.13
2011-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.08
2011-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.99
2011-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.01
2011-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.63
2011-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.89
2011-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.87
2011-01-26,1320.0,183678.0,0.75,0.24,0.18,,183678.0,0.0,1320.0,0.0,,,1320.0,,,,,,0.18,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,139.15
2011-01-27,1320.0,183282.0,0.81,0.24,0.18,,183282.0,0.0,1320.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,138.85
2011-01-28,1320.0,181579.2,0.81,0.24,0.18,,181579.2,0.0,1320.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,137.56
