,TPXH FP Equity_DX_SI_QTY,TPXH FP Equity_DX_SHORT_INTEREST_VALUE,TPXH FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TPXH FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TPXH FP Equity_DX_SI_MV,TPXH FP Equity_DX_DSS,TPXH FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TPXH FP Equity_DX_SUPPLY_SI_QTY,TPXH FP Equity_DX_BROKER_SI_QTY,TPXH FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TPXH FP Equity_DX_BROKER_SI_MV_NEW_x,TPXH FP Equity_DX_SUPPLY_SI_QTY_INC_x,TPXH FP Equity_DX_BROKER_SI_MV_INC_x,TPXH FP Equity_DX_BROKER_SI_QTY_ADD,TPXH FP Equity_DX_BROKER_SI_QTY_NEW,TPXH FP Equity_DX_SUPPLY_SI_MV_DEC,TPXH FP Equity_DX_BROKER_SI_QTY_INC,TPXH FP Equity_DX_SUPPLY_SI_QTY_DEC,TPXH FP Equity_DX_BROKER_SI_MV_NEW_y,TPXH FP Equity_DX_BROKER_SI_MV_INC_y,TPXH FP Equity_DX_SUPPLY_SI_QTY_INC_y,TPXH FP Equity_DX_BROKER_SI_MV_ADD,TPXH FP Equity_DX_SUPPLY_SI_QTY_ADD,TPXH FP Equity_DX_BROKER_SI_QTY_DEC,TPXH FP Equity_DX_SUPPLY_SI_MV,TPXH FP Equity_DX_BROKER_SI_MV_DEC,TPXH FP Equity_DX_SUPPLY_SI_MV_RMV,TPXH FP Equity_DX_BROKER_SI_MV_RMV,TPXH FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TPXH FP Equity_DX_UTILIZATION_QUANTITY,TPXH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TPXH FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TPXH FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,TPXH FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TPXH FP Equity_DX_ACTIVE_UTILIZATION_MV,TPXH FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TPXH FP Equity_DX_BROKER_SI_CON_RATIO,TPXH FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TPXH FP Equity_DX_DEMAND_SUPPLY_RATIO
2013-01-28,11200.0,1317120.0,0.86,0.45,1.32,0.0,1317120.0,0.0,11200.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-01-29,9500.0,1132495.0,0.7,0.35,1.13,0.0,1132495.0,0.0,9500.0,0.0,,,,,,,,,,,,,,1700.0,0.0,0.18,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-01-30,9500.0,1146080.0,0.71,0.35,1.15,0.0,1146080.0,0.0,9500.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-02-19,10000.0,1243900.0,0.64,0.37,1.24,0.0,1243900.0,0.0,10000.0,0.0,,,,10000.0,,,,,,,,1.24,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-02-20,10000.0,1256500.0,0.65,0.37,1.26,0.0,1256500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-02-21,10000.0,1227400.0,0.66,0.37,1.23,0.0,1227400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-02-22,10000.0,1247400.0,0.68,0.37,1.25,0.0,1247400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-02-25,10000.0,1255300.0,0.69,0.37,1.26,0.0,1255300.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2013-03-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,174070.0,,0.17,0.0,,0.0,,0.0
2013-03-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,174005.0,,0.17,0.0,,0.0,,0.0
2013-03-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,173615.0,,0.17,0.0,,0.0,,0.0
2013-03-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,176007.0,,0.17,0.0,,0.0,,0.0
2013-03-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,176111.0,,0.18,0.0,,0.0,,0.0
2013-03-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,174369.0,,0.18,0.0,,0.0,,0.0
2013-03-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,173381.0,,0.17,0.0,,0.0,,0.0
2013-03-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,173953.0,,0.17,0.0,,0.0,,0.0
2013-03-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,175383.0,,0.17,0.0,,0.0,,0.0
2013-03-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,174499.0,,0.18,0.0,,0.0,,0.0
2013-03-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,174499.0,,0.17,0.0,,0.0,,0.0
2013-04-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,174499.0,,0.17,0.0,,0.0,,0.0
2013-04-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,168337.0,,0.17,0.0,,0.0,,0.0
2013-04-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,168337.0,,0.17,0.0,,0.0,,0.0
2013-04-04,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,179712.0,,0.17,0.0,,0.0,,0.0
2013-04-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,182663.0,,0.18,0.0,,0.0,,0.0
2013-04-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,186836.0,,0.18,0.0,,0.0,,0.0
2013-04-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,185484.0,,0.19,0.0,,0.0,,0.0
2013-04-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,190554.0,,0.19,0.0,,0.0,,0.0
2013-04-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,193115.0,,0.19,0.0,,0.0,,0.0
2013-04-12,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,1300.0,190294.0,,0.19,0.0,,0.0,,0.0
2013-04-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4018953.28,,4.07,0.0,,0.0,,0.0
2013-04-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4027815.36,,4.0,0.0,,0.0,,0.0
2013-04-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,3999844.42,,4.01,0.0,,0.0,,0.0
2013-04-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,3999013.6,,4.05,0.0,,0.0,,0.0
2013-04-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4063817.56,,4.02,0.0,,0.0,,0.0
2013-04-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4075449.04,,4.06,0.0,,0.0,,0.0
2013-04-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4125575.18,,4.09,0.0,,0.0,,0.0
2013-04-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4184563.4,,4.07,0.0,,0.0,,0.0
2013-04-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4184009.52,,4.12,0.0,,0.0,,0.0
2013-04-26,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4108127.96,,4.18,0.0,,0.0,,0.0
2013-04-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4130283.16,,4.13,0.0,,0.0,,0.0
2013-04-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4134991.14,,4.11,0.0,,0.0,,0.0
2013-05-01,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4134991.14,,4.1,0.0,,0.0,,0.0
2013-05-02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4159084.92,,4.14,0.0,,0.0,,0.0
2013-05-03,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4241613.04,,4.13,0.0,,0.0,,0.0
2013-05-06,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4248813.48,,4.17,0.0,,0.0,,0.0
2013-05-07,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4242443.86,,4.24,0.0,,0.0,,0.0
2013-05-08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4240505.28,,4.24,0.0,,0.0,,0.0
2013-05-09,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4239674.46,,4.23,0.0,,0.0,,0.0
2013-05-10,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4346573.3,,4.25,0.0,,0.0,,0.0
2013-05-13,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4398361.08,,4.32,0.0,,0.0,,0.0
2013-05-14,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,27694.0,4432424.7,,4.36,0.0,,0.0,,0.0
2013-05-15,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,8906655.78,,8.72,0.0,,0.0,,0.0
2013-05-16,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,8797371.66,,8.92,0.0,,0.0,,0.0
2013-05-17,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,8959642.02,,8.82,0.0,,0.0,,0.0
2013-05-20,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,8983375.44,,8.83,0.0,,0.0,,0.0
2013-05-21,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,9006004.98,,8.98,0.0,,0.0,,0.0
2013-05-22,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,9194216.52,,9.0,0.0,,0.0,,0.0
2013-05-23,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,8319943.56,,9.11,0.0,,0.0,,0.0
2013-05-24,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,8215074.96,,8.39,0.0,,0.0,,0.0
2013-05-27,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,55194.0,8058875.94,,8.24,0.0,,0.0,,0.0
2013-05-28,50000.0,7607500.0,2.38,1.73,7.66,,7607500.0,0.0,50000.0,0.0,,,,50000.0,,,,,,,,7.66,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.9059
2013-05-29,63900.0,9317898.0,2.83,2.21,10.02,,9317898.0,0.0,63900.0,0.0,,,,13900.0,,,,,,,,2.03,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.26,0.6769,79.74,1.1577
2013-05-30,127800.0,18693306.0,4.92,4.42,19.01,,18693306.0,0.0,127800.0,0.0,,,,63900.0,,,,,,,,9.32,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,40.29,0.4141,49.03,2.3155
2013-05-31,92800.0,13411456.0,3.48,3.16,13.59,,13411456.0,25000.0,92800.0,3613000.0,,,6.58,,,,45000.0,,,6.58,,,25000.0,80000.0,3.67,12.11,,,84.89,44.8,4450.0,643114.0,,0.65,84.89,36.56,0.5361,63.44,1.6629
2013-06-03,92800.0,12775776.0,3.43,3.11,13.45,,12775776.0,25000.0,92800.0,3441750.0,,,,,,,,,,,,,,,3.61,,,,84.89,44.8,4450.0,612631.5,,0.64,84.89,36.4,0.537,63.6,1.6629
2013-06-04,92800.0,13428160.0,3.32,3.11,13.07,,13428160.0,25000.0,92800.0,3617500.0,,,,,,,,,,,,,,,3.44,,,,84.89,44.8,4450.0,643915.0,,0.61,84.89,35.75,0.5406,64.25,1.6629
2013-06-05,65000.0,8943350.0,2.32,2.18,9.27,,8943350.0,25000.0,65000.0,3439750.0,,,,,,,,,,,,,,27800.0,3.62,3.78,,,84.89,44.8,4450.0,612275.5,,0.64,84.89,31.24,0.5704,68.76,1.1647
2013-06-06,65000.0,8775650.0,2.29,2.18,8.94,,8775650.0,25000.0,65000.0,3375250.0,,,,,,,,,,,,,,,3.44,,,,84.89,44.8,4450.0,600794.5,,0.61,84.89,30.76,0.574,69.24,1.1647
2013-06-07,65000.0,9002500.0,2.68,2.18,8.83,,9002500.0,25000.0,65000.0,3462500.0,,,,,,,,,,,,,,,3.38,,,,84.89,44.68,4450.0,616325.0,,0.6,84.89,30.58,0.5754,69.42,1.1616
2013-06-10,65000.0,9351550.0,2.55,2.18,9.0,,9351550.0,25000.0,65000.0,3596750.0,,,,,,,,,,,,,,,3.47,,,,84.89,44.68,4450.0,640221.5,,0.62,84.89,30.83,0.5735,69.17,1.1616
2013-06-11,65000.0,9066850.0,2.53,2.18,9.25,,9066850.0,25000.0,65000.0,3487250.0,,,,,,,,,,,,,,,3.61,,,,84.89,44.68,4450.0,620730.5,,0.64,84.89,31.18,0.5708,68.82,1.1616
2013-06-12,65000.0,9010950.0,2.43,2.19,9.03,,9010950.0,25000.0,65000.0,3465750.0,,,,,,,,,,,,,,,3.49,,,,84.89,45.74,4450.0,616903.5,,0.62,84.89,30.89,0.573,69.11,1.1892
2013-06-13,65000.0,8843900.0,2.43,2.15,9.02,,8843900.0,25000.0,65000.0,3401500.0,,,,,,,,,,,,,,,3.48,,,,84.89,45.74,4450.0,605467.0,,0.62,84.89,30.83,0.5735,69.17,1.1892
2013-06-14,65000.0,8751600.0,2.11,2.15,8.89,,8751600.0,25000.0,65000.0,3366000.0,,,,,,,,,,,,,,,3.41,,,,84.89,45.74,4450.0,599148.0,,0.61,84.89,30.66,0.5748,69.34,1.1892
2013-06-17,90000.0,12617100.0,2.88,3.07,12.24,,9112350.0,25000.0,65000.0,3504750.0,,,,,,,,,,,,,,,3.37,,,,84.89,45.74,4450.0,623845.5,,0.6,84.89,22.05,0.6563,77.95,1.6466
2013-06-18,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,3.36,,25000.0,,,,,,65000.0,0.0,8.83,,,0.0,0.0,54657.0,7755281.73,,7.66,0.0,,0.0,,0.0
2013-06-19,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,54857.0,7779271.17,,7.69,0.0,,0.0,,0.0
2013-06-20,15000.0,2086500.0,0.49,0.5,2.12,,2086500.0,0.0,15000.0,0.0,,,,15000.0,,,,,,,,2.12,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.2734
2013-06-21,20400.0,2852532.0,0.67,0.68,2.83,,2852532.0,0.0,20400.0,0.0,,,0.69,,,,5400.0,,,0.69,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.3719
2013-06-24,20400.0,2795004.0,0.67,0.68,2.86,,2795004.0,0.0,20400.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.3719
2013-06-25,27600.0,3857652.0,0.89,0.93,3.78,,3857652.0,0.0,27600.0,0.0,,,0.92,,,,7200.0,,,0.92,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.5031
2013-06-26,27600.0,3821220.0,0.92,0.88,3.86,,3821220.0,0.0,27600.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.5031
2013-06-27,27600.0,3960324.0,0.87,0.88,3.82,,3960324.0,0.0,27600.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.5031
2013-06-28,27600.0,4040640.0,0.89,0.88,3.96,,4040640.0,0.0,27600.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.5031
2013-07-01,27600.0,4106052.0,0.84,0.88,4.04,,4106052.0,0.0,27600.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.5031
2013-07-02,43600.0,6625020.0,1.29,1.39,6.53,,6625020.0,0.0,43600.0,0.0,,,1.23,8000.0,,,8000.0,,,1.23,,1.25,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,19.09,0.6911,80.91,0.7862
2013-07-03,43600.0,6499016.0,1.27,1.39,6.67,,6499016.0,0.0,43600.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,18.86,0.694,81.14,0.7862
2013-07-04,80400.0,12200700.0,2.39,2.48,12.09,,12200700.0,0.0,80400.0,0.0,,,2.6,18400.0,,,18400.0,,,2.6,,2.79,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,23.12,0.507,66.55,1.3989
2013-07-05,110400.0,16776384.0,3.42,3.29,16.82,,16776384.0,0.0,110400.0,0.0,,,4.65,,,,30000.0,,,4.65,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.62,0.6079,75.8,1.9209
2013-07-08,110400.0,16876848.0,3.49,3.29,16.84,,16876848.0,0.0,110400.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,16.61,0.6081,75.81,1.9209
2013-07-09,90000.0,13848300.0,2.95,2.69,13.79,,13848300.0,0.0,90000.0,0.0,,,,,,,,,,,,,,20400.0,0.0,3.13,,,0.0,0.0,0.0,0.0,,0.0,0.0,20.26,0.5459,70.44,1.566
2013-07-10,82800.0,12566556.0,2.76,2.46,12.9,,12566556.0,0.0,82800.0,0.0,,,,,,,,,,,,,,7200.0,0.0,0.9,,,0.0,0.0,0.0,0.0,,0.0,0.0,21.9,0.5203,67.98,1.4407
2013-07-11,82800.0,12658464.0,3.07,2.43,12.71,,12658464.0,0.0,82800.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,22.14,0.5185,67.77,1.4407
2013-07-12,55800.0,8592642.0,1.99,1.64,8.57,,8592642.0,0.0,55800.0,0.0,,,,,,,,,,,,,,27000.0,0.0,4.08,,,0.0,0.0,0.0,0.0,,0.0,0.0,32.61,0.4035,52.42,0.9709
2013-07-15,55800.0,8716518.0,1.94,1.63,8.62,,8716518.0,0.0,55800.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,32.45,0.4039,52.54,0.9709
2013-07-16,55800.0,8654022.0,2.03,1.63,8.71,,8654022.0,0.0,55800.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,32.13,0.4046,52.78,0.9709
