,EGRI FP Equity_DX_SI_QTY,EGRI FP Equity_DX_SHORT_INTEREST_VALUE,EGRI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EGRI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EGRI FP Equity_DX_SI_MV,EGRI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EGRI FP Equity_DX_SUPPLY_SI_QTY,EGRI FP Equity_DX_BROKER_SI_QTY,EGRI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EGRI FP Equity_DX_SUPPLY_SI_QTY_INC_x,EGRI FP Equity_DX_BROKER_SI_MV_INC_x,EGRI FP Equity_DX_BROKER_SI_QTY_ADD,EGRI FP Equity_DX_SUPPLY_SI_MV_DEC,EGRI FP Equity_DX_BROKER_SI_QTY_INC,EGRI FP Equity_DX_SUPPLY_SI_QTY_DEC,EGRI FP Equity_DX_BROKER_SI_MV_INC_y,EGRI FP Equity_DX_SUPPLY_SI_QTY_INC_y,EGRI FP Equity_DX_BROKER_SI_MV_ADD,EGRI FP Equity_DX_SUPPLY_SI_QTY_ADD,EGRI FP Equity_DX_BROKER_SI_QTY_DEC,EGRI FP Equity_DX_SUPPLY_SI_MV,EGRI FP Equity_DX_BROKER_SI_MV_DEC,EGRI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EGRI FP Equity_DX_UTILIZATION_QUANTITY,EGRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EGRI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EGRI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EGRI FP Equity_DX_ACTIVE_UTILIZATION_MV,EGRI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EGRI FP Equity_DX_BROKER_SI_CON_RATIO,EGRI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EGRI FP Equity_DX_DEMAND_SUPPLY_RATIO
2021-04-09,36200.0,1821222.0,15.87,1.03,1.82,910611.0,18100.0,18100.0,910611.0,,,18100.0,,,,,,0.91,18100.0,,0.91,,8.58,8.58,192899.0,9704748.69,9.71,8.58,,1.0,100.0,0.1716
2021-04-12,36200.0,1820136.0,16.41,1.03,1.82,910068.0,18100.0,18100.0,910068.0,,,,,,,,,,,,0.91,,9.67,9.67,169099.0,8502297.72,8.51,9.67,,1.0,100.0,0.1934
2021-04-13,36200.0,1819050.0,18.13,1.03,1.82,909525.0,18100.0,18100.0,909525.0,,,,,,,,,,,,0.91,,9.67,9.67,169099.0,8497224.75,8.51,9.67,,1.0,100.0,0.1934
2021-04-14,36200.0,1816154.0,15.27,1.03,1.82,908077.0,18100.0,18100.0,908077.0,,,,,,,,,,,,0.91,,9.67,9.67,169099.0,8483696.83,8.48,9.67,,1.0,100.0,0.1934
2021-04-15,27700.0,1392756.0,11.7,0.79,1.39,910068.0,9600.0,18100.0,482688.0,,,,0.43,,8500.0,,,,,,0.48,,5.13,5.13,177599.0,8929677.72,8.91,5.13,,1.0,100.0,0.148
2021-04-16,19200.0,964032.0,8.35,0.54,0.96,482016.0,9600.0,9600.0,482016.0,,,,,,,,,,,8500.0,0.48,0.42,5.13,5.13,177599.0,8917245.79,8.91,5.13,,1.0,100.0,0.1026
2021-04-19,19200.0,962304.0,7.99,0.54,0.96,481152.0,9600.0,9600.0,481152.0,,,,,,,,,,,,0.48,,5.13,5.13,177599.0,8901261.88,8.92,5.13,,1.0,100.0,0.1026
2021-04-20,19200.0,963456.0,7.97,0.54,0.96,481728.0,9600.0,9600.0,481728.0,,,,,,,,,,,,0.48,,5.13,5.13,177599.0,8911917.82,8.91,5.13,,1.0,100.0,0.1026
2021-04-21,32400.0,1627128.0,12.8,0.92,1.63,813564.0,16200.0,16200.0,813564.0,6600.0,0.33,,,6600.0,,0.33,6600.0,,,,0.81,,8.65,8.65,170999.0,8587569.78,8.59,8.65,,1.0,100.0,0.1731
2021-04-22,22800.0,1145016.0,9.12,0.63,1.15,813564.0,6600.0,16200.0,331452.0,,,,0.48,,9600.0,,,,,,0.33,,3.53,3.53,180599.0,9069681.78,9.07,3.53,,1.0,100.0,0.1218
2021-04-23,13200.0,662640.0,5.42,0.36,0.66,331320.0,6600.0,6600.0,331320.0,,,,,,,,,,,9600.0,0.33,0.48,3.53,3.53,180599.0,9066069.8,9.08,3.53,,1.0,100.0,0.0705
2021-04-26,13200.0,662376.0,5.54,0.36,0.66,331188.0,6600.0,6600.0,331188.0,,,,,,,,,,,,0.33,,3.53,3.53,180599.0,9062457.82,9.06,3.53,,1.0,100.0,0.0705
2021-04-27,6600.0,330792.0,2.81,0.18,0.33,330792.0,0.0,6600.0,0.0,,,,0.33,,6600.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0353
2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,6600.0,0.0,0.33,0.0,0.0,187199.0,9371181.94,9.41,0.0,,0.0,,0.0
2021-04-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9351526.05,9.37,0.0,,0.0,,0.0
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9353398.04,9.35,0.0,,0.0,,0.0
2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9357142.02,9.36,0.0,,0.0,,0.0
2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9376797.91,9.36,0.0,,0.0,,0.0
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9369309.95,9.38,0.0,,0.0,,0.0
2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9365565.97,9.38,0.0,,0.0,,0.0
2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9349654.06,9.35,0.0,,0.0,,0.0
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9350590.05,9.33,0.0,,0.0,,0.0
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9321574.21,9.34,0.0,,0.0,,0.0
2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9300046.32,9.33,0.0,,0.0,,0.0
2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9292558.36,9.3,0.0,,0.0,,0.0
2021-05-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9291622.37,9.3,0.0,,0.0,,0.0
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9282262.41,9.29,0.0,,0.0,,0.0
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9275710.45,9.29,0.0,,0.0,,0.0
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9275710.45,9.25,0.0,,0.0,,0.0
2021-05-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9281326.42,9.28,0.0,,0.0,,0.0
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9298174.33,9.31,0.0,,0.0,,0.0
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9306598.29,9.31,0.0,,0.0,,0.0
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9323446.2,9.32,0.0,,0.0,,0.0
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9346846.07,9.32,0.0,,0.0,,0.0
2021-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9329998.16,9.36,0.0,,0.0,,0.0
2021-05-28,6400.0,319296.0,4.06,0.16,0.32,109758.0,4200.0,2200.0,209538.0,,,2200.0,,,,,,0.11,4200.0,,0.21,,2.24,2.24,182999.0,9129820.11,9.12,2.24,,1.0,100.0,0.0342
2021-05-31,9600.0,478944.0,6.57,0.25,0.48,239472.0,4800.0,4800.0,239472.0,600.0,0.13,,,2600.0,,0.13,600.0,,,,0.24,,2.56,2.56,182399.0,9099886.11,9.1,2.56,,1.0,100.0,0.0513
2021-06-01,13800.0,688482.0,9.02,0.35,0.69,344241.0,6900.0,6900.0,344241.0,2100.0,0.1,,,2100.0,,0.1,2100.0,,,,0.34,,3.69,3.69,180299.0,8995117.11,8.98,3.69,,1.0,100.0,0.0737
2021-06-02,18000.0,899190.0,11.4,0.46,0.9,449595.0,9000.0,9000.0,449595.0,2100.0,0.1,,,2100.0,,0.1,2100.0,,,,0.45,,4.81,4.81,178199.0,8901931.05,8.89,4.81,,1.0,100.0,0.0962
2021-06-03,15800.0,788736.0,10.07,0.4,0.79,449280.0,6800.0,9000.0,339456.0,,,,0.11,,2200.0,,,,,,0.34,,3.63,3.63,180399.0,9005518.08,9.02,3.63,,1.0,100.0,0.0844
2021-06-04,13600.0,679864.0,8.68,0.35,0.68,339932.0,6800.0,6800.0,339932.0,,,,,,,,,,,2200.0,0.34,0.11,3.63,3.63,180399.0,9018146.01,9.02,3.63,,1.0,100.0,0.0727
2021-06-07,13600.0,679116.0,8.78,0.35,0.68,339558.0,6800.0,6800.0,339558.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9008224.07,9.02,3.63,,1.0,100.0,0.0727
2021-06-08,13600.0,680544.0,10.06,0.35,0.68,340272.0,6800.0,6800.0,340272.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9027165.96,9.01,3.63,,1.0,100.0,0.0727
2021-06-09,13600.0,681768.0,10.11,0.35,0.68,340884.0,6800.0,6800.0,340884.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9043401.87,9.03,3.63,,1.0,100.0,0.0727
2021-06-10,13600.0,681496.0,10.3,0.35,0.68,340748.0,6800.0,6800.0,340748.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9039793.89,9.04,3.63,,1.0,100.0,0.0727
2021-06-11,13600.0,682992.0,10.31,0.35,0.68,341496.0,6800.0,6800.0,341496.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9059637.78,9.07,3.63,,1.0,100.0,0.0727
2021-06-14,13600.0,681904.0,10.3,0.35,0.68,340952.0,6800.0,6800.0,340952.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9045205.86,9.06,3.63,,1.0,100.0,0.0727
2021-06-15,13600.0,681088.0,10.44,0.43,0.68,340544.0,6800.0,6800.0,340544.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9034381.92,9.05,3.63,,1.0,100.0,0.0727
2021-06-16,13600.0,681768.0,10.61,0.43,0.67,340884.0,6800.0,6800.0,340884.0,,,,,,,,,,,,0.34,,3.63,3.63,180399.0,9043401.87,8.95,3.63,,1.0,100.0,0.0727
2021-06-17,19600.0,981176.0,15.26,0.62,0.98,540648.0,10800.0,10800.0,540648.0,2000.0,0.1,2000.0,,2000.0,,0.1,2000.0,0.1,2000.0,,0.54,,5.71,5.65,178399.0,8930653.94,8.95,5.71,18.52,0.6982,81.48,0.1025
2021-06-18,19600.0,981960.0,15.26,0.62,0.98,541080.0,10800.0,10800.0,541080.0,,,,,,,,,,,,0.54,,5.71,5.65,178399.0,8937789.9,8.93,5.7,18.52,0.6982,81.48,0.1025
2021-06-21,19600.0,980000.0,14.73,0.62,0.98,540000.0,10800.0,10800.0,540000.0,,,,,,,,,,,,0.54,,5.71,5.65,178399.0,8919950.0,8.94,5.71,18.52,0.6982,81.48,0.1025
2021-06-22,19600.0,979118.0,15.04,0.62,0.98,539514.0,10800.0,10800.0,539514.0,,,,,,,,,,,,0.54,,5.71,5.65,178399.0,8911922.05,8.92,5.71,18.52,0.6982,81.48,0.1025
2021-06-23,19600.0,979510.0,14.75,0.6,0.98,539730.0,10800.0,10800.0,539730.0,,,,,,,,,,,,0.54,,5.71,5.65,178399.0,8915490.03,8.91,5.71,18.52,0.6982,81.48,0.1025
2021-06-24,19600.0,980000.0,15.55,0.6,0.98,540000.0,10800.0,10800.0,540000.0,,,,,,,,,,,,0.54,,5.71,5.65,178399.0,8919950.0,8.92,5.71,18.52,0.6982,81.48,0.1025
2021-06-25,15600.0,778206.0,12.34,0.48,0.78,438988.0,8800.0,8800.0,438988.0,,,,0.1,,2000.0,,,,,2000.0,0.44,0.1,4.65,4.6,180399.0,8999204.12,9.0,4.65,22.73,0.6488,77.27,0.0816
2021-06-28,11000.0,549945.0,8.25,0.34,0.55,339966.0,4200.0,6800.0,209979.0,,,,0.23,,4600.0,,,,,2000.0,0.21,0.1,2.24,2.24,182999.0,9149035.01,9.14,2.24,,1.0,100.0,0.0588
2021-06-29,8400.0,419454.0,7.1,0.26,0.42,209727.0,4200.0,4200.0,209727.0,,,,,,,,,,,2600.0,0.21,0.13,2.24,2.24,182999.0,9138055.07,9.15,2.24,,1.0,100.0,0.0449
2021-06-30,8400.0,420588.0,7.23,0.26,0.42,210294.0,4200.0,4200.0,210294.0,,,,,,,,,,,,0.21,,2.24,2.24,182999.0,9162759.93,9.14,2.24,,1.0,100.0,0.0449
2021-07-01,4200.0,210294.0,3.66,0.13,0.21,210294.0,0.0,4200.0,0.0,,,,0.21,,4200.0,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0224
2021-07-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,4200.0,0.0,0.21,0.0,0.0,187199.0,9393645.82,9.41,0.0,,0.0,,0.0
2021-07-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9373053.93,9.39,0.0,,0.0,,0.0
2021-07-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9410493.73,9.38,0.0,,0.0,,0.0
2021-07-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9434829.6,9.41,0.0,,0.0,,0.0
2021-07-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,187199.0,9434829.6,9.44,0.0,,0.0,,0.0
2021-07-09,9200.0,463036.0,8.65,0.27,0.46,231518.0,4600.0,4600.0,231518.0,,,4600.0,,,,,,0.23,4600.0,,0.23,,2.46,2.46,182599.0,9190207.67,9.21,2.46,,1.0,100.0,0.0491
2021-07-12,9200.0,463312.0,8.86,0.27,0.46,231656.0,4600.0,4600.0,231656.0,,,,,,,,,,,,0.23,,2.46,2.46,182599.0,9195685.64,9.19,2.46,,1.0,100.0,0.0491
2021-07-13,9200.0,463588.0,8.78,0.27,0.46,231794.0,4600.0,4600.0,231794.0,,,,,,,,,,,,0.23,,2.46,2.46,182599.0,9201163.61,9.18,2.46,,1.0,100.0,0.0491
2021-07-14,9200.0,463864.0,10.42,0.27,0.46,231932.0,4600.0,4600.0,231932.0,,,,,,,,,,,,0.23,,2.46,2.46,182599.0,9206641.58,9.2,2.46,,1.0,100.0,0.0491
2021-07-15,6200.0,312914.0,6.97,0.18,0.31,232162.0,1600.0,4600.0,80752.0,,,,0.15,,3000.0,,,,,,0.08,,0.85,0.85,185599.0,9367181.53,9.37,0.85,,1.0,100.0,0.0331
2021-07-16,3200.0,161792.0,3.47,0.1,0.16,80896.0,1600.0,1600.0,80896.0,,,,,,,,,,,3000.0,0.08,0.15,0.85,0.85,185599.0,9383885.44,9.38,0.85,,1.0,100.0,0.0171
2021-07-19,3200.0,161984.0,3.38,0.1,0.16,80992.0,1600.0,1600.0,80992.0,,,,,,,,,,,,0.08,,0.85,0.85,185599.0,9395021.38,9.38,0.85,,1.0,100.0,0.0171
2021-07-20,3200.0,162272.0,3.4,0.1,0.16,81136.0,1600.0,1600.0,81136.0,,,,,,,,,,,,0.08,,0.85,0.85,185599.0,9411725.29,9.4,0.85,,1.0,100.0,0.0171
2021-07-21,3200.0,162048.0,3.33,0.09,0.16,81024.0,1600.0,1600.0,81024.0,,,,,,,,,,,,0.08,,0.85,0.85,185599.0,9398733.36,9.41,0.85,,1.0,100.0,0.0171
2021-07-22,3200.0,162336.0,3.33,0.09,0.16,81168.0,1600.0,1600.0,81168.0,,,,,,,,,,,,0.08,,0.85,0.85,185599.0,9415437.27,9.4,0.85,,1.0,100.0,0.0171
2021-07-23,3200.0,162464.0,3.2,0.09,0.16,81232.0,1600.0,1600.0,81232.0,,,,,,,,,,,,0.08,,0.85,0.85,185599.0,9422861.23,9.42,0.85,,1.0,100.0,0.0171
2021-07-26,3200.0,162400.0,3.22,0.09,0.16,81200.0,1600.0,1600.0,81200.0,,,,,,,,,,,,0.08,,0.85,0.85,185599.0,9419149.25,9.42,0.85,,1.0,100.0,0.0171
2021-07-27,7200.0,365904.0,6.87,0.2,0.36,182952.0,3600.0,3600.0,182952.0,2000.0,0.1,,,2000.0,,0.1,2000.0,,,,0.18,,1.92,1.92,183599.0,9330501.18,9.3,1.92,,1.0,100.0,0.0385
2021-07-28,11200.0,569184.0,7.43,0.31,0.57,284592.0,5600.0,5600.0,284592.0,2000.0,0.1,,,2000.0,,0.1,2000.0,,,,0.29,,2.99,2.99,181599.0,9228861.18,9.25,2.99,,1.0,100.0,0.0598
2021-07-29,19400.0,986102.0,12.5,0.54,0.99,493051.0,9700.0,9700.0,493051.0,4100.0,0.21,,,4100.0,,0.21,4100.0,,,,0.49,,5.18,5.18,177499.0,9022274.17,9.02,5.18,,1.0,100.0,0.1036
2021-07-30,19400.0,986684.0,12.41,0.49,0.99,493342.0,9700.0,9700.0,493342.0,,,,,,,,,,,,0.49,,5.18,5.18,177499.0,9027599.14,9.03,5.18,,1.0,100.0,0.1036
2021-08-02,21800.0,1109838.0,11.73,0.55,1.11,697467.0,10100.0,13700.0,514191.0,,0.1,2000.0,0.08,2000.0,1600.0,0.1,,0.1,2000.0,,0.51,,5.34,5.28,179099.0,9117930.09,9.11,5.34,14.6,0.7507,85.4,0.114
2021-08-03,29200.0,1488616.0,14.93,0.74,1.49,795288.0,15600.0,15600.0,795288.0,5500.0,0.1,,,1900.0,,0.1,5500.0,,,,0.79,,8.25,8.16,173599.0,8850077.02,8.84,8.25,12.82,0.7765,87.18,0.1527
2021-08-04,23100.0,1178562.0,12.0,0.59,1.18,795912.0,9500.0,15600.0,484690.0,,,,0.31,,6100.0,,,,,,0.48,,5.02,4.97,179699.0,9168242.98,9.16,5.02,12.82,0.7765,87.18,0.1208
2021-08-05,15000.0,765750.0,7.77,0.38,0.77,382875.0,7500.0,7500.0,382875.0,,,,0.1,,2000.0,,,,,8100.0,0.38,0.41,4.01,4.01,179699.0,9173633.95,9.17,4.01,,1.0,100.0,0.0801
2021-08-06,11000.0,560120.0,5.7,0.28,0.56,280060.0,5500.0,5500.0,280060.0,,,,0.1,,2000.0,,,,,2000.0,0.28,0.1,2.94,2.94,181699.0,9252113.08,9.26,2.94,,1.0,100.0,0.0588
2021-08-09,11000.0,560450.0,5.99,0.28,0.56,280225.0,5500.0,5500.0,280225.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9257564.05,9.25,2.94,,1.0,100.0,0.0588
2021-08-10,11000.0,560670.0,6.28,0.28,0.56,280335.0,5500.0,5500.0,280335.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9261198.03,9.27,2.94,,1.0,100.0,0.0588
2021-08-11,11000.0,560340.0,6.26,0.28,0.56,280170.0,5500.0,5500.0,280170.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9255747.06,9.26,2.94,,1.0,100.0,0.0588
2021-08-12,11000.0,560670.0,6.21,0.28,0.56,280335.0,5500.0,5500.0,280335.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9261198.03,9.25,2.94,,1.0,100.0,0.0588
2021-08-13,11000.0,560670.0,6.23,0.28,0.56,280335.0,5500.0,5500.0,280335.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9261198.03,9.25,2.94,,1.0,100.0,0.0588
2021-08-16,11000.0,560340.0,6.79,0.28,0.56,280170.0,5500.0,5500.0,280170.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9255747.06,9.27,2.94,,1.0,100.0,0.0588
2021-08-17,11000.0,560560.0,6.77,0.28,0.56,280280.0,5500.0,5500.0,280280.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9259381.04,9.26,2.94,,1.0,100.0,0.0588
2021-08-18,11000.0,561000.0,6.2,0.28,0.56,280500.0,5500.0,5500.0,280500.0,,,,,,,,,,,,0.28,,2.94,2.94,181699.0,9266649.0,9.28,2.94,,1.0,100.0,0.0588
2021-08-19,5500.0,280555.0,3.31,0.14,0.28,0.0,5500.0,0.0,280555.0,,,,,,,,,,,5500.0,0.28,0.28,2.94,2.94,181699.0,9268465.99,9.21,2.94,,0.0,,0.0294
2021-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.28,,5500.0,,,,,,0.0,,0.0,0.0,187199.0,9554636.96,9.55,0.0,,0.0,,0.0
2021-08-23,6000.0,305820.0,3.63,0.15,0.31,203880.0,4000.0,4000.0,203880.0,,,4000.0,,,,,,0.2,4000.0,,0.2,,2.11,2.09,185199.0,9439593.03,9.46,2.11,50.0,0.5,50.0,0.0314
2021-08-24,6000.0,305880.0,3.83,0.15,0.31,203920.0,4000.0,4000.0,203920.0,,,,,,,,,,,,0.2,,2.11,2.09,185199.0,9441445.02,9.45,2.11,50.0,0.5,50.0,0.0314
2021-08-25,6000.0,304440.0,3.82,0.15,0.31,202960.0,4000.0,4000.0,202960.0,,,,,,,,,,,,0.2,,2.11,2.09,185199.0,9396997.26,9.45,2.11,50.0,0.5,50.0,0.0314
2021-08-26,6000.0,304320.0,3.86,0.15,0.3,202880.0,4000.0,4000.0,202880.0,,,,,,,,,,,,0.2,,2.11,2.09,185199.0,9393293.28,9.4,2.11,50.0,0.5,50.0,0.0314
2021-08-27,6000.0,304500.0,3.96,0.15,0.3,203000.0,4000.0,4000.0,203000.0,,,,,,,,,,,,0.2,,2.11,2.09,185199.0,9398849.25,9.4,2.11,50.0,0.5,50.0,0.0314
2021-08-30,6000.0,304800.0,3.94,0.15,0.3,203200.0,4000.0,4000.0,203200.0,,,,,,,,,,,,0.2,,2.11,2.09,185199.0,9408109.2,9.4,2.11,50.0,0.5,50.0,0.0314
