,TKTT FP Equity_DX_SI_QTY,TKTT FP Equity_DX_SHORT_INTEREST_VALUE,TKTT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,TKTT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,TKTT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,TKTT FP Equity_DX_SI_MV,TKTT FP Equity_DX_DSS,TKTT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,TKTT FP Equity_DX_SUPPLY_SI_QTY,TKTT FP Equity_DX_BROKER_SI_QTY,TKTT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,TKTT FP Equity_DX_BROKER_SI_MV_NEW_x,TKTT FP Equity_DX_SUPPLY_SI_QTY_NEW_x,TKTT FP Equity_DX_SUPPLY_SI_QTY_INC_x,TKTT FP Equity_DX_BROKER_SI_MV_INC_x,TKTT FP Equity_DX_SUPPLY_SI_MV_NEW,TKTT FP Equity_DX_BROKER_SI_QTY_ADD,TKTT FP Equity_DX_BROKER_SI_QTY_NEW,TKTT FP Equity_DX_SUPPLY_SI_MV_DEC,TKTT FP Equity_DX_BROKER_SI_QTY_INC,TKTT FP Equity_DX_SUPPLY_SI_QTY_DEC,TKTT FP Equity_DX_BROKER_SI_MV_NEW_y,TKTT FP Equity_DX_SUPPLY_SI_QTY_NEW_y,TKTT FP Equity_DX_BROKER_SI_MV_INC_y,TKTT FP Equity_DX_SUPPLY_SI_QTY_INC_y,TKTT FP Equity_DX_BROKER_SI_MV_ADD,TKTT FP Equity_DX_SUPPLY_SI_QTY_ADD,TKTT FP Equity_DX_BROKER_SI_QTY_DEC,TKTT FP Equity_DX_SUPPLY_SI_MV,TKTT FP Equity_DX_BROKER_SI_MV_DEC,TKTT FP Equity_DX_SUPPLY_SI_MV_RMV,TKTT FP Equity_DX_BROKER_SI_MV_RMV,TKTT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,TKTT FP Equity_DX_UTILIZATION_QUANTITY,TKTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,TKTT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,TKTT FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,TKTT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,TKTT FP Equity_DX_ACTIVE_UTILIZATION_MV,TKTT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,TKTT FP Equity_DX_BROKER_SI_CON_RATIO,TKTT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,TKTT FP Equity_DX_DEMAND_SUPPLY_RATIO
2013-12-13,23500.0,610296.58,0.04,0.08,0.04,0.69,0.0,610296.58,23500.0,23500.0,610296.58,,,,,,23500.0,,,,,,,,,0.69,23500.0,,0.65,,,,26.64,0.82,64700.0,1680263.35,,1.8,26.64,,1.0,100.0,0.0082
2013-12-16,23500.0,600488.24,0.04,0.08,0.04,0.69,0.0,600488.24,23500.0,23500.0,600488.24,,,,,,,,,,,,,,,,,,0.66,,,,26.64,0.82,64700.0,1653259.12,,1.81,26.64,,1.0,100.0,0.0082
2013-12-17,23500.0,588500.27,0.04,0.08,0.04,0.68,0.0,588500.27,23500.0,23500.0,588500.27,,,,,,,,,,,,,,,,,,0.65,,,,26.64,0.82,64700.0,1620253.95,,1.78,26.64,,1.0,100.0,0.0082
2013-12-18,23500.0,579999.71,0.04,0.08,0.04,0.67,0.0,579999.71,23500.0,23500.0,579999.71,,,,,,,,,,,,,,,,,,0.64,,,,26.64,0.61,64700.0,1596850.28,,1.75,26.64,,1.0,100.0,0.0061
2013-12-19,23500.0,584358.98,0.04,0.08,0.04,0.66,0.0,584358.98,23500.0,23500.0,584358.98,,,,,,,,,,,,,,,,,,0.63,,,,26.64,0.61,64700.0,1608852.16,,1.73,26.64,,1.0,100.0,0.0061
2013-12-20,23500.0,593949.35,0.04,0.08,0.04,0.66,0.0,593949.35,23500.0,23500.0,593949.35,,,,,,,,,,,,,,,,,,0.63,,,,26.64,0.61,64700.0,1635256.3,,1.73,26.64,,1.0,100.0,0.0061
2013-12-23,23500.0,609860.65,0.04,0.08,0.04,0.67,0.0,609860.65,23500.0,23500.0,609860.65,,,,,,,,,,,,,,,,,,0.64,,,,26.64,0.82,64700.0,1679063.16,,1.76,26.64,,1.0,100.0,0.0082
2013-12-24,23500.0,611168.43,0.04,0.08,0.04,0.64,0.0,0.0,23500.0,0.0,611168.43,,,,,,,,,,,,,,,,,23500.0,0.64,0.67,,,26.64,0.82,64700.0,1682663.73,,1.76,26.64,,1.0,100.0,0.0082
2013-12-25,23500.0,611168.43,0.04,0.08,0.04,0.64,0.0,0.0,23500.0,0.0,611168.43,,,,,,,,,,,,,,,,,,0.64,,,,26.64,0.82,64700.0,1682663.73,,1.75,26.64,,1.0,100.0,0.0082
2013-12-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.64,,23500.0,,,,,,,,0.0,,,,0.0,0.0,2853637.0,74215015.0,,78.17,0.0,,0.0,,0.0
2013-12-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,2853637.0,74373820.31,,78.31,0.0,,0.0,,0.0
2013-12-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,754285.0,19763732.46,,19.38,0.0,,0.0,,0.0
2013-12-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,853640.0,22580799.84,,22.38,0.0,,0.0,,0.0
2014-01-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,852173.0,22541994.22,,22.34,0.0,,0.0,,0.0
2014-01-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,852375.0,22112518.67,,22.36,0.0,,0.0,,0.0
2014-01-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,851353.0,22409754.8,,22.14,0.0,,0.0,,0.0
2014-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,849113.0,22996586.93,,22.46,0.0,,0.0,,0.0
2014-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,850023.0,23139492.28,,22.94,0.0,,0.0,,0.0
2014-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,859421.0,23235903.46,,23.26,0.0,,0.0,,0.0
2014-01-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,856210.0,23037909.48,,22.97,0.0,,0.0,,0.0
2014-01-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,859850.0,23151800.65,,22.97,0.0,,0.0,,0.0
2014-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,847283.0,22947024.91,,22.7,0.0,,0.0,,0.0
2014-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,850182.0,22934855.96,,22.76,0.0,,0.0,,0.0
2014-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,874087.0,23762138.48,,23.14,0.0,,0.0,,0.0
2014-01-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,875026.0,23820128.83,,23.24,0.0,,0.0,,0.0
2014-01-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,904368.0,24820195.33,,24.25,0.0,,0.0,,0.0
2014-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,978350.0,27222659.24,,26.64,0.0,,0.0,,0.0
2014-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,976936.0,27545758.78,,26.95,0.0,,0.0,,0.0
2014-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,977011.0,27819727.5,,27.28,0.0,,0.0,,0.0
2014-01-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,983055.0,27809469.14,,27.51,0.0,,0.0,,0.0
2014-01-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,974466.0,26766616.13,,27.0,0.0,,0.0,,0.0
2014-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,969995.0,26351413.15,,26.22,0.0,,0.0,,0.0
2014-01-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,927571.0,25259122.34,,24.78,0.0,,0.0,,0.0
2014-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,919984.0,23636060.14,,24.2,0.0,,0.0,,0.0
2014-01-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,945550.0,23705307.19,,23.81,0.0,,0.0,,0.0
2014-01-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,938000.0,23124526.98,,23.07,0.0,,0.0,,0.0
2014-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,915937.0,22223803.35,,22.07,0.0,,0.0,,0.0
2014-02-04,13958.0,338539.95,0.02,0.16,0.02,0.37,0.0,0.0,13958.0,0.0,338539.95,,,,,,,,,,,,,,,,13958.0,,0.37,,,,1.6,1.6,859307.0,20841793.36,,20.36,1.76,,1.0,100.0,0.016
2014-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.37,,13958.0,,,,,,,,0.0,,,,0.0,0.0,893649.0,21699596.53,,21.26,0.0,,0.0,,0.0
2014-02-06,4000.0,101580.06,0.01,0.05,0.01,0.11,0.0,101580.06,4000.0,4000.0,101580.06,,,,,,4000.0,,,,,,,,,0.11,4000.0,,0.1,,,,0.45,0.45,886247.0,22506256.53,,21.35,0.49,,1.0,100.0,0.0045
2014-02-07,4000.0,100541.26,0.01,0.05,0.01,0.11,0.0,100541.26,4000.0,4000.0,100541.26,,,,,,,,,,,,,,,,,,0.11,,,,0.46,0.46,873771.0,21962509.4,,21.63,0.5,,1.0,100.0,0.0046
2014-02-10,4000.0,104251.27,0.01,0.05,0.01,0.11,0.0,104251.27,4000.0,4000.0,104251.27,,,,,,,,,,,,,,,,,,0.11,,,,0.47,0.47,850837.0,22175209.44,,21.06,0.51,,1.0,100.0,0.0047
2014-02-11,4000.0,105252.97,0.01,0.05,0.01,0.11,0.0,105252.97,4000.0,4000.0,105252.97,,,,,,,,,,,,,,,,,,0.11,,,,0.47,0.47,852936.0,22443512.35,,21.76,0.51,,1.0,100.0,0.0047
2014-02-12,4000.0,104622.27,0.01,0.04,0.01,0.11,0.0,104622.27,4000.0,4000.0,104622.27,,,,,,,,,,,,,,,,,,0.11,,,,0.46,0.46,874235.0,22866112.75,,22.51,0.5,,1.0,100.0,0.0046
2014-02-13,4000.0,105735.27,0.01,0.04,0.01,0.11,0.0,105735.27,4000.0,4000.0,105735.27,,,,,,,,,,,,,,,,,,0.11,,,,0.45,0.45,880880.0,23285021.99,,24.84,0.45,,1.0,100.0,0.0045
2014-02-14,4000.0,109259.78,0.01,0.04,0.01,0.12,0.0,109259.78,4000.0,4000.0,109259.78,,,,,,,,,,,,,,,,,,0.11,,,,0.41,0.41,980880.0,26792683.97,,28.22,0.4,,1.0,100.0,0.0041
2014-02-17,4000.0,106811.18,0.01,0.04,0.01,0.12,0.0,106811.18,4000.0,4000.0,106811.18,,,,,,,,,,,,,,,,,,0.12,,,,0.41,0.41,979421.0,26153277.34,,28.63,0.41,,1.0,100.0,0.0041
2014-02-18,6480.0,183011.06,0.01,0.08,0.01,0.19,0.0,183011.06,6480.0,6480.0,183011.06,,,,,,2480.0,,,,,,,,,0.07,2480.0,,0.19,,,,0.66,0.66,975451.0,27549124.27,,28.54,0.65,37.36,0.532,62.64,0.0066
2014-02-19,9015.0,257448.56,0.01,0.1,0.01,0.27,0.0,257448.56,9015.0,9015.0,257448.56,,,2535.0,0.08,,,,,2535.0,,,,0.08,2535.0,,,,0.27,,,,0.92,0.92,972916.0,27784339.52,,29.75,0.91,45.38,0.5043,54.62,0.0092
2014-02-20,15403.0,439447.19,0.02,0.17,0.02,0.47,0.0,439447.19,15403.0,15403.0,439447.19,,,6388.0,0.2,,,,,6388.0,,,,0.2,6388.0,,,,0.47,,,,1.55,1.55,979177.0,27935894.23,,30.16,1.55,48.0,0.5008,52.0,0.0155
2014-02-21,33336.0,998690.81,0.05,0.35,0.05,1.04,0.0,532269.61,33336.0,17767.0,998690.81,,,17933.0,0.07,,,,,2364.0,,,,0.07,17933.0,,,,1.02,,,,3.39,3.39,950515.0,28475839.73,,29.69,3.33,28.91,0.3589,46.18,0.0339
2014-02-24,33336.0,1004874.65,0.05,0.34,0.05,1.08,0.0,535565.39,33336.0,17767.0,1004874.65,,,,,,,,,,,,,,,,,,1.08,,,,3.45,3.45,932295.0,28102940.18,,30.16,3.45,29.28,0.3612,46.63,0.0345
2014-02-25,33482.0,1018592.04,0.05,0.33,0.05,1.12,0.0,1018592.04,33482.0,33482.0,1018592.04,,,146.0,,,15715.0,,,,,,,,146.0,0.54,,,1.09,,,,3.41,3.41,949786.0,28894464.51,,30.89,3.39,28.45,0.3629,47.6,0.0341
2014-02-26,38376.0,1157333.45,0.06,0.37,0.06,1.28,0.0,1157333.45,38376.0,38376.0,1157333.45,,,4894.0,0.24,,,,,7374.0,,,,0.24,4894.0,,,2480.0,1.26,0.08,,,3.86,3.86,955843.0,28826065.24,,31.29,3.88,20.36,0.288,41.85,0.0386
2014-02-27,39841.0,1154399.95,0.06,0.39,0.06,1.3,0.0,1154399.95,39841.0,39841.0,1154399.95,,,4000.0,0.11,,,,0.09,4000.0,2535.0,,,0.11,4000.0,,,2535.0,1.29,0.09,,,4.08,4.08,936171.0,27125718.58,,30.07,4.12,28.64,0.2974,40.77,0.0408
2014-02-28,39015.0,1129018.99,0.06,0.37,0.06,1.24,0.0,1129018.99,39015.0,39015.0,1129018.99,,,,,,,,0.04,,826.0,,,,,,,826.0,1.21,0.03,,,4.0,4.0,936997.0,27114889.4,,29.18,3.98,30.12,0.3048,41.07,0.04
2014-03-03,56832.0,1524952.85,0.09,0.55,0.09,1.77,0.0,1107195.41,41263.0,41263.0,1107195.41,,,2248.0,0.07,,,,,2248.0,,,,0.07,2248.0,,,,1.29,,,,4.23,4.23,934074.0,25063675.56,,28.61,4.32,19.62,0.3847,56.29,0.0583
2014-03-04,40860.0,1081412.24,0.06,0.38,0.06,1.2,0.0,1081412.24,40860.0,40860.0,1081412.24,,,,,,,,0.04,,403.0,,,,,,,403.0,1.18,0.03,,,4.21,4.21,929159.0,24591383.22,,26.79,4.23,28.58,0.2891,39.41,0.0421
2014-03-05,85860.0,2289516.49,0.14,0.82,0.13,2.48,0.0,1089560.26,85860.0,40860.0,2289516.49,,,,,,,,,,,,,,,,45000.0,,2.45,,,,8.8,8.8,890184.0,23737374.19,,25.47,8.78,13.93,0.5315,70.71,0.088
2014-03-06,78337.0,2102715.45,0.12,0.74,0.12,2.33,0.0,2102715.45,78337.0,78337.0,2102715.45,,,,,,45000.0,,0.21,,7523.0,,,,,1.35,,7523.0,2.23,0.22,,,7.6,7.6,952991.0,25580107.71,,27.38,7.55,9.87,0.6297,78.15,0.076
2014-03-07,120337.0,3203288.98,0.19,1.14,0.19,3.57,0.0,3203288.98,120337.0,120337.0,3203288.98,,,42000.0,1.45,,,,,50000.0,,,,1.45,42000.0,,,8000.0,3.48,0.23,,,11.67,11.67,910991.0,24249959.97,,26.29,11.68,42.37,0.4489,51.54,0.1167
2014-03-10,132735.0,3496381.69,0.21,1.36,0.21,3.93,0.0,3496381.69,124410.0,132735.0,3277092.3,,,,0.6,,,,0.23,19918.0,7520.0,,,0.6,,,11593.0,7520.0,3.56,0.22,,,12.06,12.06,906918.0,23889188.9,,25.95,12.08,38.29,0.5274,61.71,0.1287
2014-03-11,147600.0,3798957.09,0.23,1.55,0.23,4.33,0.0,3798957.09,122162.0,147600.0,3144228.97,,,,0.49,,,,0.06,17113.0,2248.0,,,0.49,,,,2248.0,3.47,0.08,,,11.7,11.7,921540.0,23718773.13,,26.02,11.76,32.77,0.5594,67.23,0.1414
2014-03-12,150394.0,3771831.13,0.24,1.57,0.24,4.31,0.0,3771831.13,122162.0,150394.0,3063782.03,,,,0.05,,,,,2794.0,,,,0.05,,,,,3.37,,,,11.74,11.74,918777.0,23042619.32,,25.3,11.76,32.19,0.5634,67.81,0.1445
2014-03-13,150394.0,3761369.32,0.24,1.58,0.24,4.21,0.0,3761369.32,122162.0,150394.0,3055284.11,,,,,,,,,,,,,,,,,,3.31,,,,11.74,11.74,918777.0,22978706.73,,24.85,11.76,32.14,0.5638,67.86,0.1445
2014-03-14,150394.0,3738353.34,0.24,1.71,0.24,4.19,0.0,3738353.34,122162.0,150394.0,3036588.7,,,,,,,,,,,,,,,,,,3.3,,,,11.74,11.74,918778.0,22838123.88,,24.74,11.76,32.15,0.5637,67.85,0.1445
2014-03-17,146070.0,3655257.84,0.23,1.68,0.23,4.05,0.0,3655257.84,117838.0,146070.0,2948779.86,,,,,,,,0.13,,4324.0,,,,,,,4324.0,3.16,0.12,,,11.51,11.51,906250.0,22678013.41,,24.33,11.5,30.23,0.5782,69.77,0.1426
2014-03-18,146070.0,3610549.35,0.23,1.67,0.23,4.08,0.0,3610549.35,117838.0,146070.0,2912712.5,,,,,,,,,,,,,,,,,,3.17,,,,12.21,12.21,847574.0,20950282.43,,22.78,12.23,30.22,0.5782,69.78,0.1513
2014-03-19,146070.0,3656612.64,0.23,1.63,0.23,4.04,0.0,3656612.64,117838.0,146070.0,2949872.81,,,,,,,,,,,,,,,,,,3.16,,,,12.23,12.23,845787.0,21172831.1,,22.67,12.24,30.16,0.5787,69.84,0.1516
2014-03-20,146070.0,3657967.45,0.23,1.47,0.23,4.09,0.0,3657967.45,117838.0,146070.0,2950965.76,,,,,,,,,,,,,,,,,,3.21,,,,12.16,12.16,851609.0,21326473.61,,23.04,12.22,30.11,0.5791,69.89,0.1507
2014-03-21,153834.0,3816727.57,0.24,1.53,0.24,4.29,0.0,3624097.38,125602.0,146070.0,3116272.19,,,7764.0,,,,,,,,,,,7764.0,,,,3.39,,,,12.96,12.96,843845.0,20936376.07,,22.71,12.97,28.76,0.5254,66.36,0.1587
2014-03-24,132976.0,3232008.33,0.21,1.32,0.21,3.69,0.0,3232008.33,104744.0,132976.0,2545823.91,,,,,,,,0.58,,20858.0,,,,,,,13094.0,2.78,0.36,,,10.9,10.9,855965.0,20804400.89,,22.73,10.91,23.64,0.6389,76.36,0.1384
2014-03-25,132976.0,3185757.5,0.21,1.33,0.21,3.61,0.0,3185757.5,104744.0,132976.0,2509392.55,,,,,,,,,,,,,,,,,,2.73,,,,10.82,10.82,863459.0,20686221.45,,22.51,10.82,23.64,0.639,76.36,0.1373
2014-03-26,132976.0,3219058.1,0.21,1.34,0.21,3.56,0.0,3219058.1,104744.0,132976.0,2535623.13,,,,,,,,,,,,,,,,,,2.71,,,,10.93,10.93,853605.0,20663909.95,,22.12,10.91,23.61,0.6393,76.39,0.1388
2014-03-27,132976.0,3101889.32,0.21,1.32,0.21,3.61,0.0,3101889.32,104744.0,132976.0,2443330.34,,,,,,,,,,,,,,,,,,2.73,,,,10.78,10.78,866488.0,20212292.98,,22.4,10.87,23.57,0.6397,76.43,0.1369
