,ALTXC FP Equity_DX_SI_QTY,ALTXC FP Equity_DX_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALTXC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALTXC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALTXC FP Equity_DX_SI_MV,ALTXC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALTXC FP Equity_DX_SUPPLY_SI_QTY,ALTXC FP Equity_DX_BROKER_SI_QTY,ALTXC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALTXC FP Equity_DX_SUPPLY_SI_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_UTILIZATION_QUANTITY,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALTXC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALTXC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALTXC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALTXC FP Equity_DX_BROKER_SI_CON_RATIO,ALTXC FP Equity_DX_DEMAND_SUPPLY_RATIO,ALTXC FP Equity_PX_LAST
2011-02-16,,,,,,,,,,,,,,,,,,,,8.01
2011-02-17,,,,,,,,,,,,,,,,,,,,8.01
2011-02-18,,,,,,,,,,,,,,,,,,,,8.01
2011-02-21,,,,,,,,,,,,,,,,,,,,8.01
2011-02-22,,,,,,,,,,,,,,,,,,,,8.01
2011-02-23,,,,,,,,,,,,,,,,,,,,8.01
2011-02-24,,,,,,,,,,,,,,,,,,,,8.01
2011-02-25,,,,,,,,,,,,,,,,,,,,8.01
2011-02-28,,,,,,,,,,,,,,,,,,,,8.01
2011-03-01,,,,,,,,,,,,,,,,,,,,8.01
2011-03-02,,,,,,,,,,,,,,,,,,,,8.01
2011-03-03,,,,,,,,,,,,,,,,,,,,8.01
2011-03-04,,,,,,,,,,,,,,,,,,,,8.01
2011-03-07,,,,,,,,,,,,,,,,,,,,8.01
2011-03-08,,,,,,,,,,,,,,,,,,,,8.01
2011-03-09,,,,,,,,,,,,,,,,,,,,8.01
2011-03-10,,,,,,,,,,,,,,,,,,,,8.01
2011-03-11,,,,,,,,,,,,,,,,,,,,8.01
2011-03-14,,,,,,,,,,,,,,,,,,,,8.01
2011-03-15,,,,,,,,,,,,,,,,,,,,8.01
2011-03-16,,,,,,,,,,,,,,,,,,,,8.01
2011-03-17,,,,,,,,,,,,,,,,,,,,8.01
2011-03-18,,,,,,,,,,,,,,,,,,,,8.01
2011-03-21,,,,,,,,,,,,,,,,,,,,8.01
2011-03-22,,,,,,,,,,,,,,,,,,,,8.01
2011-03-23,,,,,,,,,,,,,,,,,,,,8.01
2011-03-24,,,,,,,,,,,,,,,,,,,,8.01
2011-03-25,,,,,,,,,,,,,,,,,,,,8.01
2011-03-28,,,,,,,,,,,,,,,,,,,,8.01
2011-03-29,,,,,,,,,,,,,,,,,,,,8.01
2011-03-30,,,,,,,,,,,,,,,,,,,,8.01
2011-03-31,,,,,,,,,,,,,,,,,,,,8.01
2011-04-01,,,,,,,,,,,,,,,,,,,,8.01
2011-04-04,,,,,,,,,,,,,,,,,,,,8.01
2011-04-05,,,,,,,,,,,,,,,,,,,,8.01
2011-04-06,,,,,,,,,,,,,,,,,,,,8.01
2011-04-07,,,,,,,,,,,,,,,,,,,,8.01
2011-04-08,,,,,,,,,,,,,,,,,,,,8.01
2011-04-11,,,,,,,,,,,,,,,,,,,,8.01
2011-04-12,,,,,,,,,,,,,,,,,,,,8.01
2011-04-13,,,,,,,,,,,,,,,,,,,,8.01
2011-04-14,,,,,,,,,,,,,,,,,,,,8.01
2011-04-18,,,,,,,,,,,,,,,,,,,,8.01
2011-04-19,,,,,,,,,,,,,,,,,,,,8.01
2011-04-20,,,,,,,,,,,,,,,,,,,,8.01
2011-04-21,,,,,,,,,,,,,,,,,,,,8.01
2011-04-26,,,,,,,,,,,,,,,,,,,,8.01
2011-04-27,,,,,,,,,,,,,,,,,,,,8.01
2011-04-28,,,,,,,,,,,,,,,,,,,,8.01
2011-04-29,,,,,,,,,,,,,,,,,,,,8.01
2011-05-02,,,,,,,,,,,,,,,,,,,,8.01
2011-05-03,,,,,,,,,,,,,,,,,,,,8.01
2011-05-04,,,,,,,,,,,,,,,,,,,,8.01
2011-05-05,,,,,,,,,,,,,,,,,,,,8.16
2011-05-06,,,,,,,,,,,,,,,,,,,,8.16
2011-05-09,,,,,,,,,,,,,,,,,,,,8.16
2011-05-10,,,,,,,,,,,,,,,,,,,,8.16
2011-05-11,,,,,,,,,,,,,,,,,,,,8.16
2011-05-12,,,,,,,,,,,,,,,,,,,,8.16
2011-05-13,,,,,,,,,,,,,,,,,,,,8.16
2011-05-16,,,,,,,,,,,,,,,,,,,,8.16
2011-05-17,,,,,,,,,,,,,,,,,,,,8.16
2011-05-18,,,,,,,,,,,,,,,,,,,,8.16
2011-05-19,,,,,,,,,,,,,,,,,,,,8.16
2011-05-20,,,,,,,,,,,,,,,,,,,,8.16
2011-05-23,,,,,,,,,,,,,,,,,,,,8.16
2011-05-24,,,,,,,,,,,,,,,,,,,,8.16
2011-05-25,,,,,,,,,,,,,,,,,,,,8.16
2011-05-26,,,,,,,,,,,,,,,,,,,,8.16
2011-05-27,,,,,,,,,,,,,,,,,,,,8.16
2011-05-30,,,,,,,,,,,,,,,,,,,,8.16
2011-05-31,,,,,,,,,,,,,,,,,,,,8.16
2011-06-01,,,,,,,,,,,,,,,,,,,,8.16
2011-06-02,,,,,,,,,,,,,,,,,,,,8.16
2011-06-03,,,,,,,,,,,,,,,,,,,,8.16
2011-06-06,,,,,,,,,,,,,,,,,,,,8.16
2011-06-07,,,,,,,,,,,,,,,,,,,,8.18
2011-06-08,,,,,,,,,,,,,,,,,,,,8.18
2011-06-09,,,,,,,,,,,,,,,,,,,,8.18
2011-06-10,,,,,,,,,,,,,,,,,,,,8.18
2011-06-13,,,,,,,,,,,,,,,,,,,,8.18
2011-06-14,,,,,,,,,,,,,,,,,,,,8.18
2011-06-15,,,,,,,,,,,,,,,,,,,,8.18
2011-06-16,,,,,,,,,,,,,,,,,,,,8.18
2011-06-17,,,,,,,,,,,,,,,,,,,,8.18
2011-06-20,,,,,,,,,,,,,,,,,,,,8.18
2011-06-22,,,,,,,,,,,,,,,,,,,,8.18
2011-06-23,,,,,,,,,,,,,,,,,,,,8.18
2011-06-24,,,,,,,,,,,,,,,,,,,,8.18
2011-06-27,,,,,,,,,,,,,,,,,,,,8.18
2011-06-28,,,,,,,,,,,,,,,,,,,,8.18
2011-06-29,,,,,,,,,,,,,,,,,,,,8.18
2011-06-30,,,,,,,,,,,,,,,,,,,,8.18
2011-07-01,,,,,,,,,,,,,,,,,,,,8.18
2011-07-04,,,,,,,,,,,,,,,,,,,,8.18
2011-07-05,,,,,,,,,,,,,,,,,,,,8.18
2011-07-06,,,,,,,,,,,,,,,,,,,,8.18
2011-07-07,,,,,,,,,,,,,,,,,,,,8.18
2011-07-08,,,,,,,,,,,,,,,,,,,,8.18
2011-07-11,,,,,,,,,,,,,,,,,,,,8.18
2011-07-12,,,,,,,,,,,,,,,,,,,,8.18
2011-07-13,,,,,,,,,,,,,,,,,,,,8.18
2011-07-14,,,,,,,,,,,,,,,,,,,,8.18
2011-07-15,,,,,,,,,,,,,,,,,,,,8.18
2011-07-18,,,,,,,,,,,,,,,,,,,,8.18
2011-07-19,,,,,,,,,,,,,,,,,,,,8.18
2011-07-20,,,,,,,,,,,,,,,,,,,,8.18
2011-07-21,,,,,,,,,,,,,,,,,,,,8.18
2011-07-22,,,,,,,,,,,,,,,,,,,,8.18
2011-07-25,,,,,,,,,,,,,,,,,,,,8.18
2011-07-26,,,,,,,,,,,,,,,,,,,,8.18
2011-07-27,,,,,,,,,,,,,,,,,,,,8.18
2011-07-28,,,,,,,,,,,,,,,,,,,,8.18
2011-07-29,,,,,,,,,,,,,,,,,,,,8.18
2011-08-01,,,,,,,,,,,,,,,,,,,,8.18
2011-08-02,,,,,,,,,,,,,,,,,,,,8.18
2011-08-03,,,,,,,,,,,,,,,,,,,,8.18
2011-08-04,,,,,,,,,,,,,,,,,,,,8.18
2011-08-05,,,,,,,,,,,,,,,,,,,,8.15
2011-08-08,,,,,,,,,,,,,,,,,,,,8.16
2011-08-09,,,,,,,,,,,,,,,,,,,,8.16
2011-08-10,,,,,,,,,,,,,,,,,,,,8.16
2011-08-11,,,,,,,,,,,,,,,,,,,,8.16
2011-08-12,,,,,,,,,,,,,,,,,,,,8.16
2011-08-15,,,,,,,,,,,,,,,,,,,,8.16
2011-08-16,,,,,,,,,,,,,,,,,,,,8.16
2011-08-17,,,,,,,,,,,,,,,,,,,,8.16
2011-08-18,,,,,,,,,,,,,,,,,,,,8.16
2011-08-19,,,,,,,,,,,,,,,,,,,,8.16
2011-08-22,,,,,,,,,,,,,,,,,,,,8.16
2011-08-23,,,,,,,,,,,,,,,,,,,,8.16
2011-08-24,,,,,,,,,,,,,,,,,,,,8.16
2011-08-25,,,,,,,,,,,,,,,,,,,,8.16
2011-08-26,,,,,,,,,,,,,,,,,,,,8.16
2011-08-29,,,,,,,,,,,,,,,,,,,,8.16
2011-08-30,,,,,,,,,,,,,,,,,,,,8.16
2011-08-31,,,,,,,,,,,,,,,,,,,,8.16
2011-09-01,,,,,,,,,,,,,,,,,,,,8.16
2011-09-02,,,,,,,,,,,,,,,,,,,,8.16
2011-09-05,,,,,,,,,,,,,,,,,,,,8.16
2011-09-06,,,,,,,,,,,,,,,,,,,,8.16
2011-09-07,,,,,,,,,,,,,,,,,,,,8.16
2011-09-08,,,,,,,,,,,,,,,,,,,,8.16
2011-09-09,,,,,,,,,,,,,,,,,,,,8.16
2011-09-12,,,,,,,,,,,,,,,,,,,,8.16
2011-09-13,,,,,,,,,,,,,,,,,,,,8.16
2011-09-14,,,,,,,,,,,,,,,,,,,,8.16
2011-09-15,,,,,,,,,,,,,,,,,,,,8.16
2011-09-16,,,,,,,,,,,,,,,,,,,,8.16
2011-09-19,,,,,,,,,,,,,,,,,,,,8.16
2011-09-20,,,,,,,,,,,,,,,,,,,,8.16
2011-09-21,,,,,,,,,,,,,,,,,,,,8.16
2011-09-22,,,,,,,,,,,,,,,,,,,,8.16
2011-09-23,,,,,,,,,,,,,,,,,,,,8.16
2011-09-26,,,,,,,,,,,,,,,,,,,,8.16
2011-09-27,,,,,,,,,,,,,,,,,,,,8.16
2011-09-28,,,,,,,,,,,,,,,,,,,,8.16
2011-09-29,,,,,,,,,,,,,,,,,,,,8.16
2011-09-30,,,,,,,,,,,,,,,,,,,,8.16
2011-10-03,,,,,,,,,,,,,,,,,,,,8.16
2011-10-04,,,,,,,,,,,,,,,,,,,,8.16
2011-10-05,,,,,,,,,,,,,,,,,,,,8.16
2011-10-07,,,,,,,,,,,,,,,,,,,,8.16
2011-10-10,,,,,,,,,,,,,,,,,,,,8.16
2011-10-11,,,,,,,,,,,,,,,,,,,,8.16
2011-10-12,,,,,,,,,,,,,,,,,,,,8.16
2011-10-13,,,,,,,,,,,,,,,,,,,,8.16
2011-10-14,,,,,,,,,,,,,,,,,,,,8.16
2011-10-17,,,,,,,,,,,,,,,,,,,,8.16
2011-10-18,,,,,,,,,,,,,,,,,,,,8.16
2011-10-19,,,,,,,,,,,,,,,,,,,,8.16
2011-10-20,,,,,,,,,,,,,,,,,,,,8.16
2011-10-24,,,,,,,,,,,,,,,,,,,,8.16
2011-10-25,,,,,,,,,,,,,,,,,,,,8.16
2011-10-26,,,,,,,,,,,,,,,,,,,,8.16
2011-10-27,,,,,,,,,,,,,,,,,,,,8.16
2011-10-28,,,,,,,,,,,,,,,,,,,,8.16
2011-10-31,,,,,,,,,,,,,,,,,,,,8.16
2011-11-01,,,,,,,,,,,,,,,,,,,,8.16
2011-11-02,,,,,,,,,,,,,,,,,,,,8.16
2011-11-03,,,,,,,,,,,,,,,,,,,,8.16
2011-11-04,,,,,,,,,,,,,,,,,,,,8.16
2011-11-07,,,,,,,,,,,,,,,,,,,,8.16
2011-11-08,,,,,,,,,,,,,,,,,,,,8.16
2011-11-09,,,,,,,,,,,,,,,,,,,,8.16
2011-11-10,,,,,,,,,,,,,,,,,,,,8.16
2011-11-11,,,,,,,,,,,,,,,,,,,,8.16
2011-11-14,,,,,,,,,,,,,,,,,,,,8.16
2011-11-15,,,,,,,,,,,,,,,,,,,,8.16
2011-11-16,,,,,,,,,,,,,,,,,,,,8.16
2011-11-17,,,,,,,,,,,,,,,,,,,,8.16
2011-11-18,,,,,,,,,,,,,,,,,,,,8.16
2011-11-21,,,,,,,,,,,,,,,,,,,,8.16
2011-11-22,,,,,,,,,,,,,,,,,,,,8.16
2011-11-23,,,,,,,,,,,,,,,,,,,,8.16
2011-11-24,,,,,,,,,,,,,,,,,,,,8.16
2011-11-25,,,,,,,,,,,,,,,,,,,,8.16
2011-11-28,,,,,,,,,,,,,,,,,,,,8.16
2011-11-29,,,,,,,,,,,,,,,,,,,,8.16
2011-11-30,,,,,,,,,,,,,,,,,,,,8.16
2011-12-01,,,,,,,,,,,,,,,,,,,,8.16
2011-12-02,,,,,,,,,,,,,,,,,,,,8.16
2011-12-05,,,,,,,,,,,,,,,,,,,,8.16
2011-12-06,,,,,,,,,,,,,,,,,,,,8.16
2011-12-07,,,,,,,,,,,,,,,,,,,,8.16
2011-12-08,,,,,,,,,,,,,,,,,,,,8.16
2011-12-09,,,,,,,,,,,,,,,,,,,,8.16
2011-12-12,,,,,,,,,,,,,,,,,,,,8.16
2011-12-13,,,,,,,,,,,,,,,,,,,,8.16
2011-12-14,,,,,,,,,,,,,,,,,,,,8.16
2011-12-15,,,,,,,,,,,,,,,,,,,,8.16
2011-12-16,,,,,,,,,,,,,,,,,,,,8.16
2011-12-19,,,,,,,,,,,,,,,,,,,,8.16
2011-12-20,,,,,,,,,,,,,,,,,,,,8.16
2011-12-21,,,,,,,,,,,,,,,,,,,,8.16
2011-12-22,,,,,,,,,,,,,,,,,,,,8.16
2011-12-23,,,,,,,,,,,,,,,,,,,,8.16
2011-12-27,,,,,,,,,,,,,,,,,,,,8.16
2011-12-28,,,,,,,,,,,,,,,,,,,,8.16
2011-12-29,,,,,,,,,,,,,,,,,,,,8.16
2011-12-30,,,,,,,,,,,,,,,,,,,,8.16
2012-01-02,,,,,,,,,,,,,,,,,,,,8.16
2012-01-03,,,,,,,,,,,,,,,,,,,,8.16
2012-01-04,,,,,,,,,,,,,,,,,,,,8.16
2012-01-05,,,,,,,,,,,,,,,,,,,,8.16
2012-01-06,,,,,,,,,,,,,,,,,,,,8.16
2012-01-09,,,,,,,,,,,,,,,,,,,,8.16
2012-01-10,,,,,,,,,,,,,,,,,,,,8.16
2012-01-11,,,,,,,,,,,,,,,,,,,,8.16
2012-01-12,,,,,,,,,,,,,,,,,,,,8.16
2012-01-13,,,,,,,,,,,,,,,,,,,,8.16
2012-01-16,,,,,,,,,,,,,,,,,,,,8.16
2012-01-17,,,,,,,,,,,,,,,,,,,,8.16
2012-01-18,,,,,,,,,,,,,,,,,,,,8.16
2012-01-19,,,,,,,,,,,,,,,,,,,,8.16
2012-01-20,,,,,,,,,,,,,,,,,,,,8.16
2012-01-23,,,,,,,,,,,,,,,,,,,,8.16
2012-01-24,,,,,,,,,,,,,,,,,,,,8.16
2012-01-25,,,,,,,,,,,,,,,,,,,,8.16
2012-01-26,,,,,,,,,,,,,,,,,,,,8.16
2012-01-27,,,,,,,,,,,,,,,,,,,,8.16
2012-01-30,,,,,,,,,,,,,,,,,,,,8.16
2012-01-31,,,,,,,,,,,,,,,,,,,,8.16
2012-02-01,,,,,,,,,,,,,,,,,,,,8.16
2012-02-02,,,,,,,,,,,,,,,,,,,,8.16
2012-02-03,,,,,,,,,,,,,,,,,,,,8.16
2012-02-06,,,,,,,,,,,,,,,,,,,,8.16
2012-02-07,,,,,,,,,,,,,,,,,,,,8.16
2012-02-08,,,,,,,,,,,,,,,,,,,,8.16
2012-02-09,,,,,,,,,,,,,,,,,,,,8.16
2012-02-10,,,,,,,,,,,,,,,,,,,,8.16
2012-02-14,,,,,,,,,,,,,,,,,,,,8.16
2012-02-15,,,,,,,,,,,,,,,,,,,,8.16
2012-02-16,,,,,,,,,,,,,,,,,,,,8.16
2012-02-17,,,,,,,,,,,,,,,,,,,,8.16
2012-02-20,,,,,,,,,,,,,,,,,,,,8.16
2012-02-21,,,,,,,,,,,,,,,,,,,,8.16
2012-02-22,,,,,,,,,,,,,,,,,,,,8.16
2012-02-23,,,,,,,,,,,,,,,,,,,,8.16
2012-02-24,,,,,,,,,,,,,,,,,,,,8.16
2012-02-27,,,,,,,,,,,,,,,,,,,,8.16
2012-02-28,,,,,,,,,,,,,,,,,,,,8.16
2012-02-29,,,,,,,,,,,,,,,,,,,,8.16
2012-03-01,,,,,,,,,,,,,,,,,,,,8.16
2012-03-02,,,,,,,,,,,,,,,,,,,,8.16
2012-03-05,,,,,,,,,,,,,,,,,,,,8.16
2012-03-06,,,,,,,,,,,,,,,,,,,,8.16
2012-03-07,,,,,,,,,,,,,,,,,,,,8.16
2012-03-08,,,,,,,,,,,,,,,,,,,,8.16
2012-03-09,,,,,,,,,,,,,,,,,,,,8.16
2012-03-12,,,,,,,,,,,,,,,,,,,,8.16
2012-03-13,,,,,,,,,,,,,,,,,,,,8.16
2012-03-14,,,,,,,,,,,,,,,,,,,,8.16
2012-03-15,,,,,,,,,,,,,,,,,,,,8.16
2012-03-16,,,,,,,,,,,,,,,,,,,,8.16
2012-03-19,,,,,,,,,,,,,,,,,,,,8.16
2012-03-20,,,,,,,,,,,,,,,,,,,,8.16
2012-03-21,,,,,,,,,,,,,,,,,,,,8.16
2012-03-22,,,,,,,,,,,,,,,,,,,,8.16
2012-03-23,,,,,,,,,,,,,,,,,,,,8.16
2012-03-26,,,,,,,,,,,,,,,,,,,,8.16
2012-03-27,,,,,,,,,,,,,,,,,,,,8.16
2012-03-28,,,,,,,,,,,,,,,,,,,,8.16
2012-03-29,,,,,,,,,,,,,,,,,,,,8.16
2012-03-30,,,,,,,,,,,,,,,,,,,,8.16
2012-04-02,,,,,,,,,,,,,,,,,,,,8.16
2012-04-03,,,,,,,,,,,,,,,,,,,,8.16
2012-04-04,,,,,,,,,,,,,,,,,,,,8.16
2012-04-05,,,,,,,,,,,,,,,,,,,,8.16
2012-04-10,,,,,,,,,,,,,,,,,,,,8.16
2012-04-11,,,,,,,,,,,,,,,,,,,,8.16
2012-04-12,,,,,,,,,,,,,,,,,,,,8.16
2012-04-13,,,,,,,,,,,,,,,,,,,,8.16
2012-04-16,,,,,,,,,,,,,,,,,,,,8.16
2012-04-17,,,,,,,,,,,,,,,,,,,,8.16
2012-04-18,,,,,,,,,,,,,,,,,,,,8.16
2012-04-19,,,,,,,,,,,,,,,,,,,,8.16
2012-04-20,,,,,,,,,,,,,,,,,,,,8.16
2012-04-23,,,,,,,,,,,,,,,,,,,,8.16
2012-04-24,,,,,,,,,,,,,,,,,,,,8.16
2012-04-25,,,,,,,,,,,,,,,,,,,,8.16
2012-04-26,,,,,,,,,,,,,,,,,,,,8.16
2012-04-27,,,,,,,,,,,,,,,,,,,,8.16
2012-04-30,,,,,,,,,,,,,,,,,,,,8.16
2012-05-02,,,,,,,,,,,,,,,,,,,,8.16
2012-05-03,,,,,,,,,,,,,,,,,,,,8.16
2012-05-04,,,,,,,,,,,,,,,,,,,,8.16
2012-05-07,,,,,,,,,,,,,,,,,,,,8.16
2012-05-08,,,,,,,,,,,,,,,,,,,,8.16
2012-05-09,,,,,,,,,,,,,,,,,,,,8.16
2012-05-10,,,,,,,,,,,,,,,,,,,,8.16
2012-05-11,,,,,,,,,,,,,,,,,,,,8.16
2012-05-14,,,,,,,,,,,,,,,,,,,,8.16
2012-05-15,,,,,,,,,,,,,,,,,,,,8.16
2012-05-16,,,,,,,,,,,,,,,,,,,,8.16
2012-05-17,,,,,,,,,,,,,,,,,,,,8.16
2012-05-18,,,,,,,,,,,,,,,,,,,,8.16
2012-05-21,,,,,,,,,,,,,,,,,,,,8.16
2012-05-22,,,,,,,,,,,,,,,,,,,,8.16
2012-05-23,,,,,,,,,,,,,,,,,,,,8.16
2012-05-24,,,,,,,,,,,,,,,,,,,,8.16
2012-05-25,,,,,,,,,,,,,,,,,,,,8.16
2012-05-28,,,,,,,,,,,,,,,,,,,,8.16
2012-05-29,,,,,,,,,,,,,,,,,,,,8.16
2012-05-30,,,,,,,,,,,,,,,,,,,,8.16
2012-05-31,,,,,,,,,,,,,,,,,,,,8.16
2012-06-01,,,,,,,,,,,,,,,,,,,,8.16
2012-06-04,,,,,,,,,,,,,,,,,,,,8.16
2012-06-05,,,,,,,,,,,,,,,,,,,,8.16
2012-06-06,,,,,,,,,,,,,,,,,,,,8.16
2012-06-07,,,,,,,,,,,,,,,,,,,,8.16
2012-06-08,,,,,,,,,,,,,,,,,,,,8.16
2012-06-11,,,,,,,,,,,,,,,,,,,,8.16
2012-06-12,,,,,,,,,,,,,,,,,,,,8.16
2012-06-13,,,,,,,,,,,,,,,,,,,,8.16
2012-06-14,,,,,,,,,,,,,,,,,,,,8.16
2012-06-15,,,,,,,,,,,,,,,,,,,,8.16
2012-06-18,,,,,,,,,,,,,,,,,,,,8.16
2012-06-19,,,,,,,,,,,,,,,,,,,,8.16
2012-06-20,,,,,,,,,,,,,,,,,,,,8.16
2012-06-21,,,,,,,,,,,,,,,,,,,,8.16
2012-06-22,,,,,,,,,,,,,,,,,,,,8.16
2012-06-25,,,,,,,,,,,,,,,,,,,,8.16
2012-06-26,,,,,,,,,,,,,,,,,,,,8.16
2012-06-27,,,,,,,,,,,,,,,,,,,,8.16
2012-06-28,,,,,,,,,,,,,,,,,,,,8.16
2012-06-29,,,,,,,,,,,,,,,,,,,,8.16
2012-07-02,,,,,,,,,,,,,,,,,,,,8.16
2012-07-03,,,,,,,,,,,,,,,,,,,,8.16
2012-07-04,,,,,,,,,,,,,,,,,,,,8.16
2012-07-05,,,,,,,,,,,,,,,,,,,,8.16
2012-07-06,,,,,,,,,,,,,,,,,,,,8.16
2012-07-09,,,,,,,,,,,,,,,,,,,,8.16
2012-07-10,,,,,,,,,,,,,,,,,,,,8.16
2012-07-11,,,,,,,,,,,,,,,,,,,,8.16
2012-07-12,,,,,,,,,,,,,,,,,,,,8.16
2012-07-13,,,,,,,,,,,,,,,,,,,,7.27
2012-07-16,,,,,,,,,,,,,,,,,,,,7.27
2012-07-17,,,,,,,,,,,,,,,,,,,,7.27
2012-07-18,,,,,,,,,,,,,,,,,,,,7.27
2012-07-20,,,,,,,,,,,,,,,,,,,,7.27
2012-07-23,,,,,,,,,,,,,,,,,,,,7.27
2012-07-24,,,,,,,,,,,,,,,,,,,,7.27
2012-07-25,,,,,,,,,,,,,,,,,,,,7.27
2012-07-26,,,,,,,,,,,,,,,,,,,,7.27
2012-07-27,,,,,,,,,,,,,,,,,,,,7.27
2012-07-30,,,,,,,,,,,,,,,,,,,,7.27
2012-07-31,,,,,,,,,,,,,,,,,,,,7.27
2012-08-01,,,,,,,,,,,,,,,,,,,,7.31
2012-08-02,,,,,,,,,,,,,,,,,,,,7.31
2012-08-03,,,,,,,,,,,,,,,,,,,,7.31
