,ALCHI FP Equity_DX_SI_QTY,ALCHI FP Equity_DX_SHORT_INTEREST_VALUE,ALCHI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCHI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCHI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCHI FP Equity_DX_SI_MV,ALCHI FP Equity_DX_DSS,ALCHI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCHI FP Equity_DX_SUPPLY_SI_QTY,ALCHI FP Equity_DX_BROKER_SI_QTY,ALCHI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCHI FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCHI FP Equity_DX_BROKER_SI_MV_INC_x,ALCHI FP Equity_DX_BROKER_SI_QTY_ADD,ALCHI FP Equity_DX_SUPPLY_SI_MV_DEC,ALCHI FP Equity_DX_BROKER_SI_QTY_INC,ALCHI FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCHI FP Equity_DX_BROKER_SI_MV_INC_y,ALCHI FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCHI FP Equity_DX_BROKER_SI_MV_ADD,ALCHI FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCHI FP Equity_DX_BROKER_SI_QTY_DEC,ALCHI FP Equity_DX_SUPPLY_SI_MV,ALCHI FP Equity_DX_BROKER_SI_MV_DEC,ALCHI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCHI FP Equity_DX_UTILIZATION_QUANTITY,ALCHI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCHI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCHI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCHI FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCHI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCHI FP Equity_DX_BROKER_SI_CON_RATIO,ALCHI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCHI FP Equity_DX_DEMAND_SUPPLY_RATIO,ALCHI FP Equity_PX_LAST
2021-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2462960.5,2.49,0.0,,0.0,,0.0,13.3
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2481479.0,2.46,0.0,,0.0,,0.0,13.4
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2490738.25,2.48,0.0,,0.0,,0.0,13.45
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2499997.5,2.49,0.0,,0.0,,0.0,13.5
2021-01-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2472219.75,2.5,0.0,,0.0,,0.0,13.35
2021-01-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2490738.25,2.47,0.0,,0.0,,0.0,13.45
2021-01-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2490738.25,2.49,0.0,,0.0,,0.0,13.45
2021-01-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2462960.5,2.49,0.0,,0.0,,0.0,13.3
2021-01-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2481479.0,2.46,0.0,,0.0,,0.0,13.4
2021-01-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2462960.5,2.48,0.0,,0.0,,0.0,13.3
2021-01-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2453701.25,2.46,0.0,,0.0,,0.0,13.25
2021-01-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2462960.5,2.45,0.0,,0.0,,0.0,13.3
2021-01-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2509256.75,2.46,0.0,,0.0,,0.0,13.55
2021-01-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2453701.25,2.45,0.0,,0.0,,0.0,13.25
2021-01-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2435182.75,2.45,0.0,,0.0,,0.0,13.15
2021-01-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2407405.0,2.44,0.0,,0.0,,0.0,13.0
2021-01-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2499997.5,2.41,0.0,,0.0,,0.0,13.5
2021-01-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2490738.25,2.41,0.0,,0.0,,0.0,13.45
2021-01-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2444442.0,2.41,0.0,,0.0,,0.0,13.2
2021-02-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2462960.5,2.44,0.0,,0.0,,0.0,13.3
2021-02-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2453701.25,2.46,0.0,,0.0,,0.0,13.25
2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,2833330.5,2.46,0.0,,0.0,,0.0,15.3
2021-02-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3055552.5,2.83,0.0,,0.0,,0.0,16.5
2021-02-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3407404.0,3.06,0.0,,0.0,,0.0,18.4
2021-02-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3259256.0,3.05,0.0,,0.0,,0.0,17.6
2021-02-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3240737.5,3.26,0.0,,0.0,,0.0,17.5
2021-02-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3203700.5,3.24,0.0,,0.0,,0.0,17.3
2021-02-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3203700.5,3.2,0.0,,0.0,,0.0,17.3
2021-02-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3305552.25,3.2,0.0,,0.0,,0.0,17.85
2021-02-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3499996.5,3.22,0.0,,0.0,,0.0,18.9
2021-02-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3444441.0,3.5,0.0,,0.0,,0.0,18.6
2021-02-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3351848.5,3.44,0.0,,0.0,,0.0,18.1
2021-02-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3333330.0,3.35,0.0,,0.0,,0.0,18.0
2021-02-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3333330.0,3.33,0.0,,0.0,,0.0,18.0
2021-02-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3333330.0,3.33,0.0,,0.0,,0.0,18.0
2021-02-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3287033.75,3.33,0.0,,0.0,,0.0,17.75
2021-02-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3324070.75,3.29,0.0,,0.0,,0.0,17.95
2021-02-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3259256.0,3.32,0.0,,0.0,,0.0,17.6
2021-02-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3249996.75,3.26,0.0,,0.0,,0.0,17.55
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3249996.75,3.25,0.0,,0.0,,0.0,17.55
2021-03-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3203700.5,3.25,0.0,,0.0,,0.0,17.3
2021-03-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3185182.0,3.2,0.0,,0.0,,0.0,17.2
2021-03-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3240737.5,3.21,0.0,,0.0,,0.0,17.5
2021-03-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3194441.25,3.24,0.0,,0.0,,0.0,17.25
2021-03-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3018515.5,3.19,0.0,,0.0,,0.0,16.3
2021-03-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3324070.75,3.02,0.0,,0.0,,0.0,17.95
2021-03-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3287033.75,3.32,0.0,,0.0,,0.0,17.75
2021-03-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3481478.0,3.29,0.0,,0.0,,0.0,18.8
2021-03-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3462959.5,3.48,0.0,,0.0,,0.0,18.7
2021-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3462959.5,3.46,0.0,,0.0,,0.0,18.7
2021-03-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3416663.25,3.46,0.0,,0.0,,0.0,18.45
2021-03-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3370367.0,3.42,0.0,,0.0,,0.0,18.2
2021-03-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185185.0,3388885.5,3.42,0.0,,0.0,,0.0,18.3
2021-03-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185489.0,3385174.25,3.39,0.0,,0.0,,0.0,18.25
2021-03-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3379448.8,3.39,0.0,,0.0,,0.0,18.2
2021-03-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3370164.6,3.39,0.0,,0.0,,0.0,18.15
2021-03-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3323743.6,3.37,0.0,,0.0,,0.0,17.9
2021-03-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3268038.4,3.32,0.0,,0.0,,0.0,17.6
2021-03-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3314459.4,3.27,0.0,,0.0,,0.0,17.85
2021-03-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3342312.0,3.27,0.0,,0.0,,0.0,18.0
2021-03-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3360880.4,3.34,0.0,,0.0,,0.0,18.1
2021-03-31,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3314459.4,3.36,0.0,,0.0,,0.0,17.85
2021-04-01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3446295.04,3.31,0.0,,0.0,,0.0,18.56
2021-04-02,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3446295.04,3.32,0.0,,0.0,,0.0,
2021-04-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3446295.04,3.32,0.0,,0.0,,0.0,
2021-04-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,185684.0,3531709.68,3.28,0.0,,0.0,,0.0,19.02
2021-04-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181012.0,3540594.72,3.44,0.0,,0.0,,0.0,19.56
2021-04-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3559046.4,3.55,0.0,,0.0,,0.0,19.6
2021-04-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3555414.72,3.56,0.0,,0.0,,0.0,19.58
2021-04-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3471886.08,3.56,0.0,,0.0,,0.0,19.12
2021-04-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3537256.32,3.55,0.0,,0.0,,0.0,19.48
2021-04-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3577204.8,3.54,0.0,,0.0,,0.0,19.7
2021-04-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3577204.8,3.58,0.0,,0.0,,0.0,19.7
2021-04-16,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3577204.8,3.58,0.0,,0.0,,0.0,19.7
2021-04-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3569941.44,3.6,0.0,,0.0,,0.0,19.66
2021-04-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3548151.36,3.59,0.0,,0.0,,0.0,19.54
2021-04-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3551783.04,3.55,0.0,,0.0,,0.0,19.56
2021-04-22,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3548151.36,3.55,0.0,,0.0,,0.0,19.54
2021-04-23,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3555414.72,3.55,0.0,,0.0,,0.0,19.58
2021-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3515466.24,3.56,0.0,,0.0,,0.0,19.36
2021-04-27,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3515466.24,3.52,0.0,,0.0,,0.0,19.36
2021-04-28,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3522729.6,3.52,0.0,,0.0,,0.0,19.4
2021-04-29,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3526361.28,3.52,0.0,,0.0,,0.0,19.42
2021-04-30,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3504571.2,3.53,0.0,,0.0,,0.0,19.3
2021-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3272143.68,3.54,0.0,,0.0,,0.0,18.02
2021-05-04,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3293933.76,3.27,0.0,,0.0,,0.0,18.14
2021-05-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3297565.44,3.29,0.0,,0.0,,0.0,18.16
2021-05-06,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3301197.12,3.3,0.0,,0.0,,0.0,18.18
2021-05-07,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3322987.2,3.3,0.0,,0.0,,0.0,18.3
2021-05-10,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3261248.64,3.32,0.0,,0.0,,0.0,17.96
2021-05-11,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3054242.88,3.26,0.0,,0.0,,0.0,16.82
2021-05-12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3007031.04,3.05,0.0,,0.0,,0.0,16.56
2021-05-13,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,2854500.48,3.01,0.0,,0.0,,0.0,15.72
2021-05-14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,2901712.32,2.86,0.0,,0.0,,0.0,15.98
2021-05-17,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,2901712.32,2.86,0.0,,0.0,,0.0,15.98
2021-05-18,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,2938029.12,2.9,0.0,,0.0,,0.0,16.18
2021-05-19,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,2985240.96,2.94,0.0,,0.0,,0.0,16.44
2021-05-20,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3050611.2,2.99,0.0,,0.0,,0.0,16.8
2021-05-21,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3036084.48,3.05,0.0,,0.0,,0.0,16.72
2021-05-24,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3032452.8,3.04,0.0,,0.0,,0.0,16.7
2021-05-25,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3032452.8,3.03,0.0,,0.0,,0.0,16.7
2021-05-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,181584.0,3170456.64,3.03,0.0,,0.0,,0.0,17.46
