,ITP FP Equity_DX_SI_QTY,ITP FP Equity_DX_SHORT_INTEREST_VALUE,ITP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ITP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ITP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ITP FP Equity_DX_SI_MV,ITP FP Equity_DX_DSS,ITP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ITP FP Equity_DX_SUPPLY_SI_QTY,ITP FP Equity_DX_BROKER_SI_QTY,ITP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ITP FP Equity_DX_BROKER_SI_MV_NEW_x,ITP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ITP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ITP FP Equity_DX_BROKER_SI_MV_INC_x,ITP FP Equity_DX_SUPPLY_SI_MV_NEW,ITP FP Equity_DX_BROKER_SI_QTY_ADD,ITP FP Equity_DX_BROKER_SI_QTY_NEW,ITP FP Equity_DX_SUPPLY_SI_MV_DEC,ITP FP Equity_DX_BROKER_SI_QTY_INC,ITP FP Equity_DX_SUPPLY_SI_QTY_DEC,ITP FP Equity_DX_BROKER_SI_MV_NEW_y,ITP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ITP FP Equity_DX_BROKER_SI_MV_INC_y,ITP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ITP FP Equity_DX_BROKER_SI_MV_ADD,ITP FP Equity_DX_SUPPLY_SI_QTY_ADD,ITP FP Equity_DX_BROKER_SI_QTY_DEC,ITP FP Equity_DX_SUPPLY_SI_MV,ITP FP Equity_DX_BROKER_SI_MV_DEC,ITP FP Equity_DX_SUPPLY_SI_MV_RMV,ITP FP Equity_DX_BROKER_SI_MV_RMV,ITP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ITP FP Equity_DX_UTILIZATION_QUANTITY,ITP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ITP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ITP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ITP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ITP FP Equity_DX_ACTIVE_UTILIZATION_MV,ITP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ITP FP Equity_DX_BROKER_SI_CON_RATIO,ITP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ITP FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-03-15,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,4.21,0.61,,0.0,,0.0
2006-03-22,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,4.93,0.57,,0.0,,0.0
2006-03-29,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,5.12,0.57,,0.0,,0.0
2006-04-05,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,4.93,0.57,,0.0,,0.0
2006-04-12,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,0.06,34.28,,0.0,,0.0
2006-04-19,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.03,,,,0.0,0.0,0.0,0.0,,0.06,33.91,,0.0,,0.0
2006-04-26,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.03,,0.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.08,0.0,,0.0,,0.0
2006-05-03,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.08,0.0,,0.0,,0.0
2006-05-10,731.0,22806.84,0.03,0.08,0.01,0.03,0.0,22806.84,741.0,731.0,23118.83,,,,,,731.0,,,,,,,,,0.03,741.0,,0.03,,,,34.68,34.68,1397.0,43585.71,,0.05,34.68,,1.0,100.0,0.3419
2006-05-17,731.0,21776.85,0.03,0.1,0.01,0.03,0.0,21776.85,724.0,731.0,21568.32,,,,,,,,0.0,,17.0,,,,,,,,0.03,,,,34.68,34.68,1364.0,40634.23,,0.05,34.68,,1.0,100.0,0.3501
2006-05-24,731.0,20540.87,0.03,0.11,0.01,0.03,0.0,20540.87,715.0,731.0,20091.27,,,,,,,,0.0,,10.0,,,,,,,,0.02,,,,34.68,34.68,1346.0,37822.17,,0.05,34.68,,1.0,100.0,0.3547
2006-05-31,1338.0,40107.46,0.05,0.23,0.01,0.05,0.0,40107.46,1350.0,1338.0,40467.17,,,636.0,0.02,,,,,607.0,,,,0.02,636.0,,,,0.05,,,,18.25,18.25,6050.0,181352.86,,0.22,18.25,,1.0,100.0,0.1808
2006-06-07,5775.0,174364.97,0.23,1.06,0.06,0.22,0.0,174364.97,1353.0,5775.0,40851.22,,,2.0,0.08,,2437.0,,,2000.0,,,,0.08,2.0,0.09,,,0.05,,,,8.62,8.62,14333.0,432757.26,,0.0,0.0,41.98,0.5129,58.02,0.3682
2006-06-14,50338.0,1452984.92,1.95,9.13,0.52,1.87,0.0,1452984.92,1293.0,50338.0,37321.89,,,,1.01,,17000.0,,0.0,27563.0,60.0,,,1.01,,0.64,,,0.05,,,,6.29,6.29,19273.0,556306.93,,0.0,0.0,30.43,0.4484,59.16,2.4476
2006-06-21,5338.0,143506.3,0.26,1.03,0.05,0.19,0.0,143506.3,1285.0,5338.0,34545.82,,,,,,,,0.0,,8.0,,,,,,,45000.0,0.05,1.67,,,6.32,6.32,19039.0,511842.74,,0.0,0.0,35.75,0.5406,64.25,0.2627
2006-06-28,5338.0,142947.58,0.26,1.27,0.05,0.19,0.0,142947.58,1301.0,5338.0,34839.79,,,16.0,,,,,,,,,,,16.0,,,,0.05,,,,6.4,6.4,19017.0,509260.79,,0.0,0.0,35.63,0.5413,64.37,0.2627
2006-07-03,5338.0,146128.01,0.26,1.31,0.05,0.19,0.0,146128.01,1375.0,5338.0,37640.69,,,74.0,,,,,,,,,,,74.0,,,,0.05,,,,6.75,6.75,18987.0,519770.06,,0.0,0.0,36.07,0.5388,63.93,0.2622
2006-07-04,5338.0,146772.69,0.26,1.39,0.05,0.19,0.0,146772.69,1412.0,5338.0,38824.1,,,37.0,,,,,,,,,,,37.0,,,,0.05,,,,6.45,6.45,20471.0,562866.96,,0.0,0.0,36.12,0.5385,63.88,0.2439
2006-07-05,5338.0,147847.17,0.26,1.36,0.05,0.19,0.0,147847.17,1414.0,5338.0,39163.71,,,2.0,,,,,,,,,,,2.0,,,,0.05,,,,0.92,0.92,152602.0,4226634.16,,0.0,0.0,36.27,0.5377,63.73,0.0347
2006-07-06,5338.0,145053.54,0.26,1.35,0.05,0.19,0.0,145053.54,1431.0,5338.0,38885.65,,,18.0,,,,,,,,,,,18.0,,,,0.05,,,,0.93,0.93,152907.0,4155058.43,,0.0,0.0,35.77,0.5405,64.23,0.0346
2006-07-07,5338.0,143162.47,0.26,1.31,0.05,0.19,0.0,143162.47,1417.0,5338.0,38003.23,,,,,,,,0.0,,14.0,,,,,,,,0.05,,,,0.91,0.91,154799.0,4151631.27,,0.0,0.0,35.63,0.5413,64.37,0.0342
2006-07-10,5338.0,145655.25,0.26,1.27,0.05,0.19,0.0,145655.25,1395.0,5338.0,38064.64,,,,,,,,0.0,,23.0,,,,,,,,0.05,,,,0.89,0.89,154713.0,4221573.62,,0.0,0.0,36.14,0.5384,63.86,0.0342
2006-07-11,5338.0,144022.05,0.26,1.31,0.05,0.19,0.0,144022.05,1419.0,5338.0,38285.37,,,24.0,,,,,,,,,,,24.0,,,,0.05,,,,0.91,0.91,154485.0,4168086.62,,0.0,0.0,35.73,0.5407,64.27,0.0342
2006-07-12,5338.0,143979.07,0.26,1.32,0.05,0.19,0.0,143979.07,1407.0,5338.0,37950.27,,,,,,,,0.0,,12.0,,,,,,,,0.05,,,,0.91,0.91,153115.0,4129890.5,,0.0,0.0,35.82,0.5402,64.18,0.0345
2006-07-13,5338.0,143119.49,0.26,1.42,0.05,0.19,0.0,143119.49,1410.0,5338.0,37804.14,,,3.0,,,,,,,,,,,3.0,,,,0.05,,,,0.91,0.91,154167.0,4133440.07,,0.0,0.0,35.69,0.541,64.31,0.0343
2006-07-14,5538.0,148348.02,0.27,1.52,0.05,0.19,0.0,148348.02,1406.0,5538.0,37662.93,,,,0.01,,,,0.0,200.0,4.0,,,0.01,,,,,0.05,,,,0.9,0.9,154686.0,4143618.86,,0.0,0.0,37.93,0.5291,62.07,0.0355
2006-07-17,5538.0,147679.18,0.27,1.57,0.05,0.19,0.0,147679.18,1407.0,5538.0,37519.79,,,1.0,,,,,,,,,,,1.0,,,,0.05,,,,0.9,0.9,154857.0,4129497.05,,0.0,0.0,37.84,0.5296,62.16,0.0354
2006-07-18,5538.0,146163.15,0.27,1.56,0.05,0.19,0.0,146163.15,1408.0,5538.0,37161.02,,,1.0,,,,,,,,,,,1.0,,,,0.05,,,,0.89,0.89,156187.0,4122207.25,,0.0,0.0,37.63,0.5306,62.37,0.0351
2006-07-19,5538.0,147144.11,0.27,1.65,0.05,0.19,0.0,147144.11,1393.0,5538.0,37011.87,,,,,,,,0.0,,15.0,,,,,,,,0.05,,,,0.91,0.91,152240.0,4045001.68,,0.0,0.0,37.88,0.5294,62.12,0.036
2006-07-20,5538.0,148481.78,0.27,1.66,0.05,0.19,0.0,148481.78,1396.0,5538.0,37428.78,,,2.0,,,,,,,,,,,2.0,,,,0.05,,,,0.91,0.91,151711.0,4067591.16,,0.0,0.0,38.03,0.5286,61.97,0.0362
2006-07-21,5538.0,147590.0,0.27,1.73,0.05,0.19,0.0,147590.0,1409.0,5538.0,37550.44,,,13.0,,,,,,,,,,,13.0,,,,0.05,,,,0.92,0.92,151652.0,4041588.81,,0.0,0.0,37.81,0.5297,62.19,0.0362
2006-07-24,5538.0,146252.33,0.27,1.9,0.05,0.19,0.0,146252.33,1407.0,5538.0,37157.28,,,,,,,,0.0,,2.0,,,,,,,,0.05,,,,0.92,0.92,152326.0,4022757.68,,0.0,0.0,37.65,0.5305,62.35,0.036
2006-07-25,5538.0,149819.46,0.27,1.94,0.05,0.19,0.0,149819.46,0.0,5538.0,0.0,,,,,,,,0.05,,1407.0,,,,,,,,0.0,,,,0.0,0.0,152450.0,4124228.29,,0.0,0.0,38.22,0.5278,61.78,0.0363
2006-07-26,5538.0,148481.78,0.27,1.93,0.05,0.19,0.0,148481.78,0.0,5538.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,154810.0,4150679.83,,0.0,0.0,38.01,0.5288,61.99,0.0358
2006-07-27,2000.0,54186.49,0.1,0.71,0.02,0.07,0.0,54186.49,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,3538.0,0.0,0.13,,,0.0,0.0,160673.0,4353153.31,,0.0,0.0,,1.0,100.0,0.0124
2006-07-28,2000.0,54025.46,0.1,0.74,0.02,0.07,0.0,54025.46,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,160926.0,4347050.96,,0.0,0.0,,1.0,100.0,0.0124
2006-07-31,2000.0,54267.01,0.1,0.76,0.02,0.07,0.0,54267.01,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,160514.0,4355307.36,,0.0,0.0,,1.0,100.0,0.0125
2006-08-01,2000.0,54589.07,0.1,0.77,0.02,0.07,0.0,54589.07,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,159679.0,4358363.95,,0.0,0.0,,1.0,100.0,0.0125
2006-08-02,2000.0,54669.58,0.1,0.79,0.02,0.07,0.0,54669.58,0.0,2000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,160754.0,4394177.11,,0.0,0.0,,1.0,100.0,0.0124
2006-08-03,2093.0,56571.35,0.1,0.82,0.02,0.07,0.0,54057.67,93.0,2000.0,2513.68,,,,,,,,,,,,,,,,93.0,,0.0,,,,0.06,0.06,162922.0,4403591.91,,5.47,0.06,4.45,0.915,95.55,0.0128
2006-08-04,2092.0,56763.29,0.1,0.76,0.02,0.07,0.0,56763.29,201.0,2092.0,5453.83,,,108.0,,,92.0,,,,,,,,108.0,0.0,,,0.01,,,,0.12,0.12,162986.0,4422381.38,,5.49,0.12,4.38,0.9162,95.62,0.0128
2006-08-07,2202.0,60634.45,0.11,0.81,0.02,0.08,0.0,60634.45,264.0,2202.0,7269.52,,,63.0,0.0,,,,,110.0,,,,0.0,63.0,,,,0.01,,,,0.16,0.16,161281.0,4441046.34,,5.51,0.16,9.05,0.8354,90.95,0.0136
2006-08-08,2268.0,62451.83,0.11,0.84,0.02,0.08,0.0,62451.83,268.0,2268.0,7379.67,,,4.0,0.0,,,,,66.0,,,,0.0,4.0,,,,0.01,,,,0.17,0.17,161230.0,4439642.0,,5.51,0.17,11.82,0.7916,88.18,0.014
2006-08-09,2268.0,62177.92,0.11,0.87,0.02,0.08,0.0,62177.92,269.0,2268.0,7374.72,,,1.0,,,,,,,,,,,1.0,,,,0.01,,,,0.17,0.17,160768.0,4407504.01,,5.48,0.17,11.86,0.7909,88.14,0.0141
2006-08-10,2268.0,62086.61,0.11,0.87,0.02,0.08,0.0,62086.61,268.0,2268.0,7336.51,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,0.17,0.17,160816.0,4402345.91,,5.47,0.17,11.82,0.7915,88.18,0.0141
2006-08-11,2268.0,62543.13,0.11,0.88,0.02,0.08,0.0,62543.13,266.0,2268.0,7335.31,,,,,,,,0.0,,2.0,,,,,,,,0.01,,,,0.17,0.17,160583.0,4428290.81,,5.5,0.17,11.74,0.7928,88.26,0.0141
2006-08-14,2268.0,62451.83,0.11,0.93,0.02,0.08,0.0,62451.83,268.0,2268.0,7379.67,,,2.0,,,,,,,,,,,2.0,,,,0.01,,,,0.17,0.17,160557.0,4421110.21,,5.49,0.17,11.83,0.7914,88.17,0.0141
2006-08-15,2268.0,61995.31,0.11,0.98,0.02,0.08,0.0,61995.31,270.0,2268.0,7380.39,,,1.0,,,,,,,,,,,1.0,,,,0.01,,,,0.17,0.17,161194.0,4406204.42,,5.48,0.17,11.89,0.7904,88.11,0.014
2006-08-16,2268.0,61904.0,0.11,1.07,0.02,0.08,0.0,61904.0,268.0,2268.0,7314.94,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,0.17,0.17,160068.0,4368981.52,,5.43,0.17,11.83,0.7914,88.17,0.0141
2006-08-17,2268.0,62086.61,0.11,1.14,0.02,0.08,0.0,62086.61,267.0,2268.0,7309.14,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,0.17,0.17,159099.0,4355342.95,,5.41,0.17,11.79,0.7921,88.21,0.0142
2006-08-18,2268.0,62086.61,0.11,1.25,0.02,0.08,0.0,62086.61,268.0,2268.0,7336.51,,,1.0,,,,,,,,,,,1.0,,,,0.01,,,,0.17,0.17,158794.0,4346993.56,,5.4,0.17,11.82,0.7916,88.18,0.0143
2006-08-21,2268.0,62999.65,0.11,1.48,0.02,0.08,0.0,62999.65,265.0,2268.0,7361.07,,,,,,,,0.0,,3.0,,,,,,,,0.01,,,,0.17,0.17,157209.0,4366892.4,,5.42,0.17,11.67,0.7939,88.33,0.0144
2006-08-22,2268.0,62908.35,0.11,1.3,0.02,0.08,0.0,62908.35,268.0,2268.0,7433.61,,,4.0,,,,,,,,,,,4.0,,,,0.01,,,,0.17,0.17,157675.0,4373489.18,,5.43,0.17,11.83,0.7914,88.17,0.0144
2006-08-23,2268.0,63182.26,0.11,1.31,0.02,0.08,0.0,63182.26,267.0,2268.0,7438.12,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,0.17,0.17,160392.0,4468222.51,,3.97,0.23,11.77,0.7923,88.23,0.0141
2006-08-24,2268.0,62817.04,0.11,1.29,0.02,0.08,0.0,62817.04,269.0,2268.0,7450.52,,,2.0,,,,,,,,,,,2.0,,,,0.01,,,,0.17,0.17,160415.0,4443031.67,,3.96,0.23,11.88,0.7907,88.12,0.0141
2006-08-25,2268.0,62579.65,0.11,1.28,0.02,0.08,0.0,62579.65,278.0,2268.0,7670.7,,,9.0,,,,,,,,,,,9.0,,,,0.01,,,,0.17,0.17,160402.0,4425882.44,,3.96,0.24,11.86,0.791,88.14,0.0141
2006-08-28,2277.0,62516.32,0.11,1.24,0.02,0.08,0.0,62516.32,278.0,2277.0,7632.65,,,0.0,0.0,,,,,9.0,,,,0.0,0.0,,,,0.01,,,,0.17,0.17,160404.0,4403982.29,,3.96,0.24,12.22,0.7855,87.78,0.0142
2006-08-29,2277.0,62057.99,0.08,1.19,0.02,0.08,0.0,62057.99,279.0,2277.0,7603.94,,,1.0,,,,,,,,,,,1.0,,,,0.01,,,,0.17,0.17,160410.0,4371858.56,,3.96,0.24,12.24,0.7851,87.76,0.0142
2006-08-30,2277.0,61801.32,0.08,1.1,0.02,0.08,0.0,61801.32,278.0,2277.0,7545.35,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,0.17,0.17,160402.0,4353559.88,,5.42,0.17,12.21,0.7856,87.79,0.0142
2006-08-31,2277.0,62351.32,0.08,0.96,0.02,0.08,0.0,62351.32,275.0,2277.0,7530.35,,,,,,,,0.0,,3.0,,,,,,,,0.01,,,,0.17,0.17,160373.0,4391510.0,,5.43,0.17,12.07,0.7877,87.93,0.0142
2006-09-01,2277.0,62681.32,0.08,0.63,0.02,0.08,0.0,62681.32,276.0,2277.0,7597.74,,,1.0,,,,,,,,,,,1.0,,,,0.01,,,,0.17,0.17,160381.0,4414972.56,,5.43,0.17,12.11,0.7871,87.89,0.0142
2006-09-04,2762.0,76944.18,0.1,0.75,0.03,0.1,0.0,63432.98,760.0,2277.0,21172.19,,,484.0,,,,,,,,,,,484.0,,,,0.03,,,,0.47,0.47,159882.0,4454014.86,,5.41,0.48,17.57,0.567,72.55,0.0172
2006-09-05,2786.0,76266.89,0.1,0.75,0.03,0.09,0.0,62332.99,791.0,2277.0,21653.66,,,31.0,,,,,,,,,,,31.0,,,,0.03,,,,0.49,0.49,159924.0,4377927.36,,5.39,0.5,18.28,0.5566,71.62,0.0173
2006-09-06,2777.0,76579.49,0.1,0.74,0.03,0.09,0.0,76579.49,774.0,2777.0,21344.08,,,,,,500.0,,0.0,,17.0,,,,,0.02,,,0.03,,,,0.49,0.49,156471.0,4314896.92,,5.36,0.49,17.91,0.5627,72.17,0.0177
2006-09-07,2777.0,76288.82,0.1,0.71,0.03,0.09,0.0,76288.82,278.0,2777.0,7637.12,,,,,,,,0.02,,496.0,,,,,,,,0.01,,,,0.18,0.18,156990.0,4312777.0,,5.38,0.18,18.05,0.5602,71.94,0.0177
2006-09-08,2277.0,62332.99,0.08,0.53,0.02,0.08,0.0,62332.99,278.0,2277.0,7610.26,,,0.0,,,,,,,,,,,0.0,,,500.0,0.01,0.02,,,0.18,0.18,156991.0,4297636.34,,5.38,0.18,12.2,0.7857,87.8,0.0145
2006-09-11,2277.0,62332.99,0.08,0.53,0.02,0.08,0.0,62332.99,277.0,2277.0,7582.89,,,,,,,,0.0,,1.0,,,,,,,,0.01,,,,0.18,0.18,156983.0,4297417.34,,5.37,0.18,12.17,0.7863,87.83,0.0145
2006-09-12,2779.0,76075.26,0.1,0.65,0.03,0.09,0.0,62332.99,779.0,2277.0,21325.16,,,502.0,,,,,,,,,,,502.0,,,,0.03,,,,0.5,0.5,156481.0,4283675.07,,5.38,0.49,18.07,0.5605,71.96,0.0177
2006-09-13,2779.0,77171.64,0.1,0.63,0.03,0.1,0.0,77171.64,771.0,2779.0,21410.34,,,,,,502.0,,0.0,,8.0,,,,,0.02,,,0.03,,,,0.49,0.49,156459.0,4344799.46,,5.34,0.49,17.88,0.5638,72.26,0.0177
2006-09-14,2779.0,79431.52,0.1,0.6,0.03,0.1,0.0,79431.52,762.0,2779.0,21780.07,,,,,,,,0.0,,9.0,,,,,,,,0.03,,,,0.48,0.48,156439.0,4471460.26,,5.38,0.5,17.69,0.5671,72.55,0.0177
2006-09-15,2779.0,79207.77,0.1,0.46,0.03,0.1,0.0,79207.77,785.0,2779.0,22374.27,,,23.0,,,,,,,,,,,23.0,,,,0.03,,,,0.5,0.5,156489.0,4460289.71,,5.38,0.51,18.15,0.5625,72.12,0.0177
2006-09-18,2779.0,79386.77,0.1,0.46,0.03,0.1,0.0,79386.77,500.0,2779.0,14283.33,,,,,,,,0.01,,284.0,,,,,,,,0.02,,,,0.32,0.32,156762.0,4478168.16,,5.38,0.33,18.08,0.5634,72.2,0.0177
2006-09-19,2502.0,71373.08,0.09,0.41,0.02,0.09,0.0,71373.08,503.0,2502.0,14348.78,,,3.0,,,,,,,,,,,3.0,,,277.0,0.02,0.01,,,0.32,0.32,156760.0,4471800.27,,5.39,0.33,20.09,0.679,79.91,0.0159
2006-09-20,2502.0,70688.16,0.09,0.41,0.02,0.09,0.0,70688.16,505.0,2502.0,14267.59,,,2.0,,,,,,,,,,,2.0,,,,0.02,,,,0.33,0.33,153777.0,4344609.46,,5.45,0.32,20.22,0.6774,79.78,0.0162
2006-09-21,2502.0,70426.28,0.09,0.36,0.02,0.09,0.0,70426.28,500.0,2502.0,14074.0,,,,,,,,0.0,,6.0,,,,,,,,0.02,,,,0.32,0.32,154440.0,4347175.84,,5.46,0.32,20.12,0.6785,79.88,0.0161
2006-09-22,2502.0,69600.34,0.09,0.36,0.02,0.09,0.0,69600.34,506.0,2502.0,14075.85,,,7.0,,,,,,,,,,,7.0,,,,0.02,,,,0.33,0.33,154456.0,4296638.6,,5.46,0.32,20.25,0.677,79.75,0.0161
2006-09-25,502.0,13972.66,0.02,0.07,0.0,0.02,0.0,13972.66,503.0,502.0,14000.49,,,,,,,,0.0,,3.0,,,,,,,2000.0,0.02,0.07,,,0.32,0.32,154426.0,4298290.78,,5.47,0.32,,1.0,100.0,0.0032
2006-09-26,502.0,13968.62,0.02,0.07,0.0,0.02,0.0,13968.62,504.0,502.0,14024.27,,,1.0,,,,,,,,,,,1.0,,,,0.02,,,,0.33,0.33,154425.0,4297019.6,,5.48,0.32,,1.0,100.0,0.0032
