,QCEU FP Equity_DX_SI_QTY,QCEU FP Equity_DX_SHORT_INTEREST_VALUE,QCEU FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,QCEU FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,QCEU FP Equity_DX_SI_MV,QCEU FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,QCEU FP Equity_DX_SUPPLY_SI_QTY,QCEU FP Equity_DX_BROKER_SI_QTY,QCEU FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,QCEU FP Equity_DX_SUPPLY_SI_QTY_NEW_x,QCEU FP Equity_DX_SUPPLY_SI_QTY_INC_x,QCEU FP Equity_DX_BROKER_SI_MV_INC_x,QCEU FP Equity_DX_SUPPLY_SI_MV_NEW,QCEU FP Equity_DX_BROKER_SI_QTY_ADD,QCEU FP Equity_DX_SUPPLY_SI_MV_DEC,QCEU FP Equity_DX_BROKER_SI_QTY_INC,QCEU FP Equity_DX_SUPPLY_SI_QTY_DEC,QCEU FP Equity_DX_SUPPLY_SI_QTY_NEW_y,QCEU FP Equity_DX_BROKER_SI_MV_INC_y,QCEU FP Equity_DX_SUPPLY_SI_QTY_INC_y,QCEU FP Equity_DX_BROKER_SI_MV_ADD,QCEU FP Equity_DX_SUPPLY_SI_QTY_ADD,QCEU FP Equity_DX_BROKER_SI_QTY_DEC,QCEU FP Equity_DX_SUPPLY_SI_MV,QCEU FP Equity_DX_BROKER_SI_MV_DEC,QCEU FP Equity_DX_SUPPLY_SI_MV_RMV,QCEU FP Equity_DX_BROKER_SI_MV_RMV,QCEU FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,QCEU FP Equity_DX_UTILIZATION_QUANTITY,QCEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,QCEU FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,QCEU FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,QCEU FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,QCEU FP Equity_DX_ACTIVE_UTILIZATION_MV,QCEU FP Equity_DX_BROKER_SI_MARKET_SHARE_2,QCEU FP Equity_DX_BROKER_SI_CON_RATIO,QCEU FP Equity_DX_BROKER_SI_MARKET_SHARE_1,QCEU FP Equity_DX_DEMAND_SUPPLY_RATIO
2018-11-05,2000.0,122800.0,9.79,0.09,0.12,0.0,2000.0,0.0,122800.0,,,,,,,,,,,,,,2000.0,0.12,0.12,,,0.76,0.76,260000.0,15964000.0,,16.02,0.76,,1.0,100.0,0.0076
2018-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.12,,2000.0,,,,,,,0.0,,,,0.0,0.0,262000.0,16057980.0,,16.11,0.0,,0.0,,0.0
2018-11-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,262000.0,16202080.0,,16.0,0.0,,0.0,,0.0
2018-11-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,21183480.0,,21.1,0.0,,0.0,,0.0
2018-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,21197160.0,,21.19,0.0,,0.0,,0.0
2018-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,21039840.0,,21.15,0.0,,0.0,,0.0
2018-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,21251880.0,,21.06,0.0,,0.0,,0.0
2018-11-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,21132180.0,,21.29,0.0,,0.0,,0.0
2018-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20909880.0,,21.16,0.0,,0.0,,0.0
2018-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20896200.0,,20.94,0.0,,0.0,,0.0
2018-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20660220.0,,20.88,0.0,,0.0,,0.0
2018-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20509740.0,,20.65,0.0,,0.0,,0.0
2018-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20725200.0,,20.48,0.0,,0.0,,0.0
2018-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20608920.0,,20.72,0.0,,0.0,,0.0
2018-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20797020.0,,20.62,0.0,,0.0,,0.0
2018-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20899620.0,,20.83,0.0,,0.0,,0.0
2018-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20844900.0,,20.92,0.0,,0.0,,0.0
2018-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20865420.0,,20.89,0.0,,0.0,,0.0
2018-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20909880.0,,20.9,0.0,,0.0,,0.0
2018-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20862000.0,,20.94,0.0,,0.0,,0.0
2018-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,21012480.0,,20.87,0.0,,0.0,,0.0
2018-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20896200.0,,21.01,0.0,,0.0,,0.0
2018-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20615760.0,,20.88,0.0,,0.0,,0.0
2018-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20085660.0,,20.6,0.0,,0.0,,0.0
2018-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20205360.0,,20.07,0.0,,0.0,,0.0
2018-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19911240.0,,20.2,0.0,,0.0,,0.0
2018-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20229300.0,,20.15,0.0,,0.0,,0.0
2018-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20496060.0,,20.22,0.0,,0.0,,0.0
2018-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20475540.0,,20.51,0.0,,0.0,,0.0
2018-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20318220.0,,20.48,0.0,,0.0,,0.0
2018-12-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,20058300.0,,20.46,0.0,,0.0,,0.0
2018-12-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19938600.0,,20.07,0.0,,0.0,,0.0
2018-12-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19969380.0,,19.9,0.0,,0.0,,0.0
2018-12-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19753920.0,,19.92,0.0,,0.0,,0.0
2018-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19812060.0,,19.94,0.0,,0.0,,0.0
2018-12-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19812060.0,,19.84,0.0,,0.0,,0.0
2018-12-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19812060.0,,19.76,0.0,,0.0,,0.0
2018-12-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19812060.0,,19.8,0.0,,0.0,,0.0
2018-12-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,342000.0,19442700.0,,19.8,0.0,,0.0,,0.0
2018-12-28,100000.0,5782000.0,74.46,4.22,5.69,0.0,100000.0,0.0,5782000.0,,,,,,,,,,,,,100000.0,,5.69,,,,29.24,29.24,242000.0,13992440.0,,13.77,29.24,,1.0,100.0,0.2924
2018-12-31,100000.0,5839000.0,73.52,4.22,5.71,0.0,100000.0,0.0,5839000.0,,,,,,,,,,,,,,,5.71,,,,29.24,29.24,242000.0,14130380.0,,13.82,29.24,,1.0,100.0,0.2924
2019-01-01,100000.0,5839000.0,73.52,4.22,5.84,0.0,100000.0,0.0,5839000.0,,,,,,,,,,,,,,,5.84,,,,29.24,29.24,242000.0,14130380.0,,14.13,29.24,,1.0,100.0,0.2924
2019-01-02,100000.0,5808000.0,73.52,4.22,5.84,0.0,100000.0,0.0,5808000.0,,,,,,,,,,,,,,,5.84,,,,29.24,29.24,242000.0,14055360.0,,14.14,29.24,,1.0,100.0,0.2924
2019-01-03,100000.0,5744000.0,73.52,3.53,5.81,0.0,100000.0,0.0,5744000.0,,,,,,,,,,,,,,,5.81,,,,29.24,29.24,242000.0,13900480.0,,14.05,29.24,,1.0,100.0,0.2924
2019-01-04,100000.0,5887000.0,79.8,3.53,5.8,0.0,100000.0,0.0,5887000.0,,,,,,,,,,,,,,,5.8,,,,29.24,29.24,242000.0,14246540.0,,14.05,29.24,,1.0,100.0,0.2924
2019-01-07,100000.0,5871000.0,86.37,3.71,5.8,0.0,100000.0,0.0,5871000.0,,,,,,,,,,,,,,,5.8,,,,29.24,29.24,242000.0,14207820.0,,14.03,29.24,,1.0,100.0,0.2924
2019-01-08,100000.0,5925000.0,86.37,3.69,5.88,0.0,100000.0,0.0,5925000.0,,,,,,,,,,,,,,,5.88,,,,30.3,30.3,230000.0,13627500.0,,13.52,30.3,,1.0,100.0,0.303
2019-01-09,100000.0,5964000.0,86.38,3.69,5.87,0.0,100000.0,0.0,5964000.0,,,,,,,,,,,,,,,5.87,,,,30.3,30.3,230000.0,13717200.0,,13.51,30.3,,1.0,100.0,0.303
2019-01-10,100000.0,5971000.0,86.38,3.69,5.92,0.0,100000.0,0.0,5971000.0,,,,,,,,,,,,,,,5.92,,,,30.3,30.3,230000.0,13733300.0,,13.62,30.3,,1.0,100.0,0.303
2019-01-11,100000.0,5980000.0,86.38,3.69,5.96,0.0,100000.0,0.0,5980000.0,,,,,,,,,,,,,,,5.96,,,,30.3,30.3,230000.0,13754000.0,,13.71,30.3,,1.0,100.0,0.303
2019-01-14,100000.0,5915000.0,86.38,3.6,5.98,0.0,100000.0,0.0,5915000.0,,,,,,,,,,,,,,,5.98,,,,30.3,30.3,230000.0,13604500.0,,13.75,30.3,,1.0,100.0,0.303
2019-01-15,100000.0,5952000.0,86.38,3.6,5.99,0.0,100000.0,0.0,5952000.0,,,,,,,,,,,,,,,5.99,,,,30.3,30.3,230000.0,13689600.0,,13.78,30.3,,1.0,100.0,0.303
2019-01-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,5.99,,100000.0,,,,,,,0.0,,,,0.0,0.0,330000.0,19651500.0,,19.51,0.0,,0.0,,0.0
2019-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,19763700.0,,19.65,0.0,,0.0,,0.0
2019-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20116800.0,,19.66,0.0,,0.0,,0.0
2019-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20100300.0,,20.12,0.0,,0.0,,0.0
2019-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20054100.0,,20.08,0.0,,0.0,,0.0
2019-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20047500.0,,20.04,0.0,,0.0,,0.0
2019-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20050800.0,,20.07,0.0,,0.0,,0.0
2019-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20064000.0,,20.05,0.0,,0.0,,0.0
2019-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,19915500.0,,19.94,0.0,,0.0,,0.0
2019-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20080500.0,,20.07,0.0,,0.0,,0.0
2019-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20235600.0,,20.03,0.0,,0.0,,0.0
2019-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20331300.0,,20.22,0.0,,0.0,,0.0
2019-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,20403900.0,,20.31,0.0,,0.0,,0.0
2019-02-04,1700.0,105349.0,1.07,0.07,0.11,105349.0,0.0,1700.0,0.0,,,,,1700.0,,,,,,,0.11,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0052
2019-02-05,3400.0,214472.0,2.15,0.13,0.21,214472.0,0.0,3400.0,0.0,,,,,1700.0,,,,,,,0.11,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.52,0.5,50.48,0.0103
2019-02-06,3400.0,214166.0,2.15,0.13,0.21,214166.0,0.0,3400.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,49.99,0.5,50.01,0.0103
2019-02-07,5100.0,318444.0,3.55,0.2,0.32,212296.0,1700.0,3400.0,106148.0,,,,,,,,,,,,,1700.0,,0.11,,,,0.52,0.52,328300.0,20499052.0,,20.67,0.52,33.41,0.555,66.59,0.0155
2019-02-08,5100.0,318342.0,3.55,0.2,0.32,212228.0,1700.0,3400.0,106114.0,,,,,,,,,,,,,,,0.11,,,,0.52,0.52,328300.0,20492486.0,,20.67,0.52,33.27,0.556,66.73,0.0155
2019-02-11,5100.0,320739.0,3.54,0.2,0.32,213826.0,1700.0,3400.0,106913.0,,,,,,,,,,,,,,,0.11,,,,0.52,0.52,328300.0,20646787.0,,20.49,0.52,33.26,0.5561,66.74,0.0155
2019-02-12,3400.0,214778.0,2.39,0.13,0.21,107389.0,1700.0,1700.0,107389.0,,,,,,,,,,,,,,1700.0,0.11,0.11,,,0.52,0.52,328300.0,20738711.0,,20.66,0.52,50.0,0.5,50.0,0.0103
2019-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.11,,1700.0,,,,,,1700.0,0.0,0.11,,,0.0,0.0,330000.0,20948400.0,,20.82,0.0,,0.0,,0.0
2019-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21011100.0,,20.97,0.0,,0.0,,0.0
2019-02-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21242100.0,,21.06,0.0,,0.0,,0.0
2019-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21265200.0,,21.24,0.0,,0.0,,0.0
2019-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21235500.0,,21.25,0.0,,0.0,,0.0
2019-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21367500.0,,21.19,0.0,,0.0,,0.0
2019-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21380700.0,,21.4,0.0,,0.0,,0.0
2019-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21420300.0,,21.36,0.0,,0.0,,0.0
2019-02-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21450000.0,,21.44,0.0,,0.0,,0.0
2019-02-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21539100.0,,21.63,0.0,,0.0,,0.0
2019-02-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,330000.0,21351000.0,,21.53,0.0,,0.0,,0.0
2019-02-28,57600.0,3722112.0,22.58,2.65,3.72,2481408.0,19200.0,38400.0,1240704.0,,,,,38400.0,,,,,,,2.48,19200.0,,1.24,,,,5.82,5.82,310800.0,20083896.0,,20.1,5.82,33.32,0.5556,66.68,0.1745
2019-03-01,57600.0,3736512.0,22.49,2.65,3.73,2491008.0,19200.0,38400.0,1245504.0,,,,,,,,,,,,,,,1.24,,,,5.82,5.82,310800.0,20161596.0,,20.09,5.82,33.32,0.5556,66.68,0.1745
2019-03-04,57600.0,3753216.0,33.97,2.65,3.75,2502144.0,19200.0,38400.0,1251072.0,,,,,,,,,,,,,,,1.25,,,,5.82,5.82,310800.0,20251728.0,,20.19,5.82,33.28,0.5559,66.72,0.1745
2019-03-05,57600.0,3772800.0,31.97,2.65,3.77,2515200.0,19200.0,38400.0,1257600.0,,,,,,,,,,,,,,,1.25,,,,5.82,5.82,310800.0,20357400.0,,20.28,5.82,33.29,0.5559,66.71,0.1745
2019-03-06,57600.0,3756096.0,31.9,2.62,3.77,2504064.0,19200.0,38400.0,1252032.0,,,,,,,,,,,,,,,1.26,,,,5.82,5.82,310800.0,20267268.0,,20.36,5.82,33.38,0.5553,66.62,0.1745
2019-03-07,57600.0,3756672.0,31.78,2.55,3.75,2504448.0,19200.0,38400.0,1252224.0,,,,,,,,,,,,,,,1.25,,,,5.82,5.82,310800.0,20270376.0,,20.22,5.82,33.34,0.5555,66.66,0.1745
2019-03-08,57600.0,3734208.0,31.78,2.64,3.75,2489472.0,19200.0,38400.0,1244736.0,,,,,,,,,,,,,,,1.25,,,,5.82,5.82,310800.0,20149164.0,,20.26,5.82,33.38,0.5553,66.62,0.1745
2019-03-11,57600.0,3751488.0,31.78,2.64,3.74,2500992.0,19200.0,38400.0,1250496.0,,,,,,,,,,,,,,,1.25,,,,5.82,5.82,310800.0,20242404.0,,20.16,5.82,33.29,0.5558,66.71,0.1745
2019-03-12,57600.0,3745152.0,31.78,2.64,3.75,2496768.0,19200.0,38400.0,1248384.0,,,,,,,,,,,,,,,1.25,,,,5.82,5.82,310800.0,20208216.0,,20.24,5.82,33.36,0.5554,66.64,0.1745
2019-03-13,57600.0,3764160.0,31.5,2.64,3.76,2509440.0,19200.0,38400.0,1254720.0,,,,,,,,,,,,,,,1.25,,,,5.82,5.82,310800.0,20310780.0,,20.25,5.82,33.31,0.5557,66.69,0.1745
2019-03-14,57600.0,3802176.0,33.07,2.76,3.78,2534784.0,19200.0,38400.0,1267392.0,,,,,,,,,,,,,,,1.26,,,,5.82,5.82,310800.0,20515908.0,,20.32,5.82,33.22,0.5563,66.78,0.1745
2019-03-15,38400.0,2553984.0,23.17,1.84,2.54,1276992.0,19200.0,19200.0,1276992.0,,,,,,,,,,,,,,19200.0,1.27,1.27,,,7.59,7.59,233800.0,15550038.0,,15.44,7.59,49.99,0.5,50.01,0.1518
2019-03-18,19200.0,1276608.0,12.9,0.92,1.28,1276608.0,0.0,19200.0,0.0,,,,,,1.27,,19200.0,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0759
2019-03-19,4000.0,267520.0,2.47,0.19,0.27,267520.0,0.0,4000.0,0.0,,,,,4000.0,,,,,,,0.27,,19200.0,0.0,1.28,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0158
2019-03-20,4000.0,265920.0,2.47,0.19,0.27,265920.0,0.0,4000.0,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0158
