,SFPI FP Equity_DX_SI_QTY,SFPI FP Equity_DX_SHORT_INTEREST_VALUE,SFPI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SFPI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SFPI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SFPI FP Equity_DX_SI_MV,SFPI FP Equity_DX_DSS,SFPI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SFPI FP Equity_DX_SUPPLY_SI_QTY,SFPI FP Equity_DX_BROKER_SI_QTY,SFPI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SFPI FP Equity_DX_BROKER_SI_MV_NEW_x,SFPI FP Equity_DX_SUPPLY_SI_QTY_INC_x,SFPI FP Equity_DX_BROKER_SI_MV_INC_x,SFPI FP Equity_DX_BROKER_SI_QTY_ADD,SFPI FP Equity_DX_BROKER_SI_QTY_NEW,SFPI FP Equity_DX_SUPPLY_SI_MV_DEC,SFPI FP Equity_DX_BROKER_SI_QTY_INC,SFPI FP Equity_DX_SUPPLY_SI_QTY_DEC,SFPI FP Equity_DX_BROKER_SI_MV_NEW_y,SFPI FP Equity_DX_BROKER_SI_MV_INC_y,SFPI FP Equity_DX_SUPPLY_SI_QTY_INC_y,SFPI FP Equity_DX_BROKER_SI_MV_ADD,SFPI FP Equity_DX_SUPPLY_SI_QTY_ADD,SFPI FP Equity_DX_BROKER_SI_QTY_DEC,SFPI FP Equity_DX_SUPPLY_SI_MV,SFPI FP Equity_DX_BROKER_SI_MV_DEC,SFPI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SFPI FP Equity_DX_UTILIZATION_QUANTITY,SFPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SFPI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SFPI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SFPI FP Equity_DX_ACTIVE_UTILIZATION_MV,SFPI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SFPI FP Equity_DX_BROKER_SI_CON_RATIO,SFPI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SFPI FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-05-03,39200.0,74872.0,0.16,1.07,0.04,0.07,0.0,37436.0,19600.0,19600.0,37436.0,,,,,,,,,,,,,,,0.04,,100.0,5.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.1171
2024-05-06,39200.0,80360.0,0.19,1.07,0.04,0.08,0.0,40180.0,19600.0,19600.0,40180.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-05-07,39200.0,78008.0,0.19,1.03,0.04,0.08,0.0,39004.0,19600.0,19600.0,39004.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-05-08,39200.0,77616.0,0.19,1.03,0.04,0.08,0.0,38808.0,19600.0,19600.0,38808.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-05-09,39200.0,78204.0,0.19,1.03,0.04,0.08,0.0,39102.0,19600.0,19600.0,39102.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-05-10,39200.0,78008.0,0.19,1.03,0.04,0.08,0.0,39004.0,19600.0,19600.0,39004.0,,,,,,,,,,,,,,,0.04,,100.0,5.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.1129
2024-05-13,39200.0,78400.0,0.19,1.03,0.04,0.08,0.0,39200.0,19600.0,19600.0,39200.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-14,39200.0,79576.0,0.19,1.03,0.04,0.08,0.0,39788.0,19600.0,19600.0,39788.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-15,39200.0,79576.0,0.19,0.96,0.04,0.08,0.0,39788.0,19600.0,19600.0,39788.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-16,39200.0,78400.0,0.19,0.97,0.04,0.08,0.0,39200.0,19600.0,19600.0,39200.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-17,39200.0,78400.0,0.19,0.97,0.04,0.08,0.0,39200.0,19600.0,19600.0,39200.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-20,39200.0,76832.0,0.19,0.97,0.04,0.08,0.0,38416.0,19600.0,19600.0,38416.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-21,39200.0,77812.0,0.19,0.97,0.04,0.08,0.0,38906.0,19600.0,19600.0,38906.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-22,39200.0,77420.0,0.19,0.97,0.04,0.08,0.0,38710.0,19600.0,19600.0,38710.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-23,39200.0,78400.0,0.19,0.97,0.04,0.08,0.0,39200.0,19600.0,19600.0,39200.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-24,39200.0,79576.0,0.19,0.97,0.04,0.08,0.0,39788.0,19600.0,19600.0,39788.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-27,39200.0,81536.0,0.19,0.96,0.04,0.08,0.0,40768.0,19600.0,19600.0,40768.0,,,,,,,,,,,,,,,0.04,,100.0,5.62,0.0,0.0,0.0,100.0,,1.0,100.0,0.1125
2024-05-28,39200.0,82712.0,0.19,0.95,0.04,0.08,0.0,41356.0,19600.0,19600.0,41356.0,,,,,,,,,,,,,,,0.04,,100.0,5.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.1149
2024-05-29,39200.0,83888.0,0.19,0.94,0.04,0.08,0.0,41944.0,19600.0,19600.0,41944.0,,,,,,,,,,,,,,,0.04,,100.0,5.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.1149
2024-05-30,39200.0,83888.0,0.19,0.92,0.04,0.08,0.0,41944.0,19600.0,19600.0,41944.0,,,,,,,,,,,,,,,0.04,,100.0,5.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.1149
2024-05-31,39200.0,84672.0,0.19,0.94,0.04,0.08,0.0,42336.0,19600.0,19600.0,42336.0,,,,,,,,,,,,,,,0.04,,100.0,5.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.1149
2024-06-03,39200.0,86632.0,0.19,0.94,0.04,0.09,0.0,43316.0,19600.0,19600.0,43316.0,,,,,,,,,,,,,,,0.04,,100.0,5.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.1149
2024-06-04,39200.0,87808.0,0.19,0.92,0.04,0.09,0.0,43904.0,19600.0,19600.0,43904.0,,,,,,,,,,,,,,,0.04,,100.0,5.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.1149
2024-06-05,39200.0,87024.0,0.19,0.92,0.04,0.09,0.0,43512.0,19600.0,19600.0,43512.0,,,,,,,,,,,,,,,0.04,,100.0,5.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.1152
2024-06-06,39200.0,85456.0,0.19,0.98,0.04,0.09,0.0,42728.0,19600.0,19600.0,42728.0,,,,,,,,,,,,,,,0.04,,100.0,5.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.1152
2024-06-07,39200.0,86240.0,0.19,2.4,0.04,0.09,0.0,43120.0,19600.0,19600.0,43120.0,,,,,,,,,,,,,,,0.04,,100.0,5.76,0.0,0.0,0.0,100.0,,1.0,100.0,0.1152
2024-06-10,39200.0,83104.0,0.19,2.44,0.04,0.08,0.0,41552.0,19600.0,19600.0,41552.0,,,,,,,,,,,,,,,0.04,,100.0,5.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.118
2024-06-11,39200.0,82320.0,0.19,2.41,0.04,0.08,0.0,41160.0,19600.0,19600.0,41160.0,,,,,,,,,,,,,,,0.04,,100.0,5.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.118
2024-06-12,39200.0,81928.0,0.19,2.99,0.04,0.08,0.0,40964.0,19600.0,19600.0,40964.0,,,,,,,,,,,,,,,0.04,,100.0,5.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.118
2024-06-13,39200.0,80360.0,0.19,2.94,0.04,0.08,0.0,40180.0,19600.0,19600.0,40180.0,,,,,,,,,,,,,,,0.04,,100.0,5.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.118
2024-06-14,39200.0,79184.0,0.19,2.83,0.04,0.08,0.0,39592.0,19600.0,19600.0,39592.0,,,,,,,,,,,,,,,0.04,,100.0,5.9,0.0,0.0,0.0,100.0,,1.0,100.0,0.118
2024-06-17,39200.0,76636.0,0.19,2.78,0.04,0.08,0.0,38318.0,19600.0,19600.0,38318.0,,,,,,,,,,,,,,,0.04,,100.0,5.91,0.0,0.0,0.0,100.0,,1.0,100.0,0.1182
2024-06-18,39200.0,76636.0,0.19,2.97,0.04,0.08,0.0,38318.0,19600.0,19600.0,38318.0,,,,,,,,,,,,,,,0.04,,100.0,5.78,0.0,0.0,0.0,100.0,,1.0,100.0,0.1156
2024-06-19,28295.0,52628.7,0.14,2.19,0.03,0.05,0.0,16172.7,19600.0,8695.0,36456.0,,,,,,,,,,,,,,10905.0,0.04,0.02,100.0,5.78,0.0,0.0,0.0,100.0,,1.0,100.0,0.0835
2024-06-20,17390.0,31736.77,0.09,1.33,0.02,0.03,0.0,15868.38,8695.0,8695.0,15868.38,,,,,,0.02,,10905.0,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-06-21,17390.0,30780.3,0.09,1.3,0.02,0.03,0.0,15390.15,8695.0,8695.0,15390.15,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-06-24,17390.0,30780.3,0.09,1.28,0.02,0.03,0.0,15390.15,8695.0,8695.0,15390.15,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-06-25,17390.0,30780.3,0.09,1.26,0.02,0.03,0.0,15390.15,8695.0,8695.0,15390.15,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-06-26,17390.0,30606.4,0.09,1.58,0.02,0.03,0.0,15303.2,8695.0,8695.0,15303.2,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-06-27,17390.0,30780.3,0.09,1.61,0.02,0.03,0.0,15390.15,8695.0,8695.0,15390.15,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-06-28,17390.0,30345.55,0.09,1.63,0.02,0.03,0.0,15172.78,8695.0,8695.0,15172.78,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-01,17390.0,31388.95,0.09,1.62,0.02,0.03,0.0,15694.48,8695.0,8695.0,15694.48,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-02,17390.0,31388.95,0.09,1.64,0.02,0.03,0.0,15694.48,8695.0,8695.0,15694.48,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-03,17390.0,31562.85,0.09,1.64,0.02,0.03,0.0,15781.43,8695.0,8695.0,15781.43,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-04,17390.0,31128.1,0.09,1.62,0.02,0.03,0.0,15564.05,8695.0,8695.0,15564.05,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-05,17390.0,31215.05,0.09,1.68,0.02,0.03,0.0,15607.53,8695.0,8695.0,15607.53,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-08,17390.0,31215.05,0.09,1.76,0.02,0.03,0.0,15607.53,8695.0,8695.0,15607.53,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-09,17390.0,31215.05,0.09,1.8,0.02,0.03,0.0,15607.53,8695.0,8695.0,15607.53,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-10,17390.0,31215.05,0.09,1.98,0.02,0.03,0.0,15607.53,8695.0,8695.0,15607.53,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-11,17390.0,31128.1,0.09,2.11,0.02,0.03,0.0,15564.05,8695.0,8695.0,15564.05,,,,,,,,,,,,,,,0.02,,100.0,2.65,0.0,0.0,0.0,100.0,,1.0,100.0,0.053
2024-07-12,17390.0,31302.0,0.09,2.17,0.02,0.03,0.0,15651.0,8695.0,8695.0,15651.0,,,,,,,,,,,,,,,0.02,,100.0,2.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2024-07-15,17390.0,31302.0,0.09,2.21,0.02,0.03,0.0,15651.0,8695.0,8695.0,15651.0,,,,,,,,,,,,,,,0.02,,100.0,2.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2024-07-16,17390.0,33214.9,0.09,2.94,0.02,0.03,0.0,16607.45,8695.0,8695.0,16607.45,,,,,,,,,,,,,,,0.02,,100.0,2.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.0517
2024-07-17,17390.0,33301.85,0.09,3.18,0.02,0.03,0.0,16650.93,8695.0,8695.0,16650.93,,,,,,,,,,,,,,,0.02,,100.0,2.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.0517
2024-07-18,17390.0,33736.6,0.09,3.2,0.02,0.03,0.0,16868.3,8695.0,8695.0,16868.3,,,,,,,,,,,,,,,0.02,,100.0,2.58,0.0,0.0,0.0,100.0,,1.0,100.0,0.0517
2024-07-19,17390.0,33910.5,0.09,3.23,0.02,0.03,0.0,16955.25,8695.0,8695.0,16955.25,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-22,17390.0,34171.35,0.09,3.11,0.02,0.03,0.0,17085.68,8695.0,8695.0,17085.68,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-23,17390.0,34084.4,0.09,3.25,0.02,0.03,0.0,17042.2,8695.0,8695.0,17042.2,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-24,17390.0,33736.6,0.09,3.51,0.02,0.03,0.0,16868.3,8695.0,8695.0,16868.3,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-25,17390.0,33388.8,0.09,3.62,0.02,0.03,0.0,16694.4,8695.0,8695.0,16694.4,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-26,17390.0,33562.7,0.09,3.85,0.02,0.03,0.0,16781.35,8695.0,8695.0,16781.35,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-29,17390.0,33562.7,0.09,4.16,0.02,0.03,0.0,16781.35,8695.0,8695.0,16781.35,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-30,17390.0,33910.5,0.09,4.45,0.02,0.03,0.0,16955.25,8695.0,8695.0,16955.25,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-07-31,17390.0,33910.5,0.09,3.99,0.02,0.03,0.0,16955.25,8695.0,8695.0,16955.25,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-08-01,17390.0,33214.9,0.09,4.09,0.02,0.03,0.0,16607.45,8695.0,8695.0,16607.45,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-08-02,17390.0,30693.35,0.09,4.27,0.02,0.03,0.0,15346.68,8695.0,8695.0,15346.68,,,,,,,,,,,,,,,0.02,,100.0,2.86,0.0,0.0,0.0,100.0,,1.0,100.0,0.0572
2024-08-05,17390.0,29128.25,0.09,4.26,0.02,0.03,0.0,14564.13,8695.0,8695.0,14564.13,,,,,,,,,,,,,,,0.02,,100.0,2.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.0588
2024-08-06,17390.0,31475.9,0.09,4.2,0.02,0.03,0.0,15737.95,8695.0,8695.0,15737.95,,,,,,,,,,,,,,,0.01,,100.0,2.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.0588
2024-08-07,17390.0,31562.85,0.09,3.77,0.02,0.03,0.0,15781.43,8695.0,8695.0,15781.43,,,,,,,,,,,,,,,0.02,,100.0,2.94,0.0,0.0,0.0,100.0,,1.0,100.0,0.0588
2024-08-08,17390.0,31562.85,0.09,3.73,0.02,0.03,0.0,15781.43,8695.0,8695.0,15781.43,,,,,,,,,,,,,,,0.02,,100.0,2.93,0.0,0.0,0.0,100.0,,1.0,100.0,0.0586
2024-08-09,17390.0,31562.85,0.09,3.7,0.02,0.03,0.0,15781.43,8695.0,8695.0,15781.43,,,,,,,,,,,,,,,0.02,,100.0,2.93,0.0,0.0,0.0,100.0,,1.0,100.0,0.0586
2024-08-12,17390.0,31736.75,0.09,3.8,0.02,0.03,0.0,15868.38,8695.0,8695.0,15868.38,,,,,,,,,,,,,,,0.02,,100.0,2.93,0.0,0.0,0.0,100.0,,1.0,100.0,0.0586
2024-08-13,17390.0,31736.75,0.09,3.86,0.02,0.03,0.0,15868.38,8695.0,8695.0,15868.38,,,,,,,,,,,,,,,0.02,,100.0,2.93,0.0,0.0,0.0,100.0,,1.0,100.0,0.0586
2024-08-14,17390.0,31910.65,0.09,3.75,0.02,0.03,0.0,15955.33,8695.0,8695.0,15955.33,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-15,17390.0,31997.6,0.09,3.68,0.02,0.03,0.0,15998.8,8695.0,8695.0,15998.8,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-16,17390.0,32084.55,0.09,3.81,0.02,0.03,0.0,16042.28,8695.0,8695.0,16042.28,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-19,17390.0,32258.45,0.09,3.77,0.02,0.03,0.0,16129.23,8695.0,8695.0,16129.23,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-20,17390.0,33649.65,0.09,3.78,0.02,0.03,0.0,16824.83,8695.0,8695.0,16824.83,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-21,17390.0,34953.9,0.09,3.74,0.02,0.03,0.0,17476.95,8695.0,8695.0,17476.95,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-22,17390.0,35127.8,0.09,3.55,0.02,0.04,0.0,17563.9,8695.0,8695.0,17563.9,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-23,17390.0,35127.8,0.09,3.41,0.02,0.04,0.0,17563.9,8695.0,8695.0,17563.9,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-26,17390.0,34780.0,0.09,2.93,0.02,0.04,0.0,17390.0,8695.0,8695.0,17390.0,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-27,17390.0,34780.0,0.09,2.88,0.02,0.03,0.0,17390.0,8695.0,8695.0,17390.0,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-28,17390.0,34953.9,0.09,2.81,0.02,0.03,0.0,17476.95,8695.0,8695.0,17476.95,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-29,17390.0,34953.9,0.09,2.76,0.02,0.04,0.0,17476.95,8695.0,8695.0,17476.95,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-08-30,17390.0,34780.0,0.09,1.15,0.02,0.03,0.0,17390.0,8695.0,8695.0,17390.0,,,,,,,,,,,,,,,0.02,,100.0,2.85,0.0,0.0,0.0,100.0,,1.0,100.0,0.057
2024-09-02,17390.0,34780.0,0.09,1.17,0.02,0.03,0.0,17390.0,8695.0,8695.0,17390.0,,,,,,,,,,,,,,,0.02,,100.0,2.89,0.0,0.0,0.0,100.0,,1.0,100.0,0.0577
2024-09-03,17390.0,34953.9,0.09,1.15,0.02,0.03,0.0,17476.95,8695.0,8695.0,17476.95,,,,,,,,,,,,,,,0.02,,100.0,2.89,0.0,0.0,0.0,100.0,,1.0,100.0,0.0577
2024-09-04,17390.0,34953.9,0.09,1.11,0.02,0.04,0.0,17476.95,8695.0,8695.0,17476.95,,,,,,,,,,,,,,,0.02,,100.0,2.89,0.0,0.0,0.0,100.0,,1.0,100.0,0.0577
2024-09-05,17390.0,34606.1,0.09,1.09,0.02,0.03,0.0,17303.05,8695.0,8695.0,17303.05,,,,,,,,,,,,,,,0.02,,100.0,2.89,0.0,0.0,0.0,100.0,,1.0,100.0,0.0577
2024-09-06,17390.0,33997.45,0.09,1.11,0.02,0.03,0.0,16998.72,8695.0,8695.0,16998.72,,,,,,,,,,,,,,,0.02,,100.0,2.89,0.0,0.0,0.0,100.0,,1.0,100.0,0.0577
2024-09-09,17390.0,33823.55,0.09,1.12,0.02,0.03,0.0,16911.78,8695.0,8695.0,16911.78,,,,,,,,,,,,,,,0.02,,100.0,2.89,0.0,0.0,0.0,100.0,,1.0,100.0,0.0577
2024-09-10,17390.0,33736.6,0.09,1.12,0.02,0.03,0.0,16868.3,8695.0,8695.0,16868.3,,,,,,,,,,,,,,,0.02,,100.0,2.89,0.0,0.0,0.0,100.0,,1.0,100.0,0.0577
