,NK FP Equity_DX_SI_QTY,NK FP Equity_DX_SHORT_INTEREST_VALUE,NK FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,NK FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,NK FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,NK FP Equity_DX_SI_MV,NK FP Equity_DX_DSS,NK FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY,NK FP Equity_DX_BROKER_SI_QTY,NK FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,NK FP Equity_DX_BROKER_SI_MV_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_x,NK FP Equity_DX_SUPPLY_SI_QTY_INC_x,NK FP Equity_DX_BROKER_SI_MV_INC_x,NK FP Equity_DX_SUPPLY_SI_MV_NEW,NK FP Equity_DX_BROKER_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_NEW,NK FP Equity_DX_SUPPLY_SI_MV_DEC,NK FP Equity_DX_BROKER_SI_QTY_INC,NK FP Equity_DX_SUPPLY_SI_QTY_DEC,NK FP Equity_DX_BROKER_SI_MV_NEW_y,NK FP Equity_DX_SUPPLY_SI_QTY_NEW_y,NK FP Equity_DX_BROKER_SI_MV_INC_y,NK FP Equity_DX_SUPPLY_SI_QTY_INC_y,NK FP Equity_DX_BROKER_SI_MV_ADD,NK FP Equity_DX_SUPPLY_SI_QTY_ADD,NK FP Equity_DX_BROKER_SI_QTY_DEC,NK FP Equity_DX_SUPPLY_SI_MV,NK FP Equity_DX_BROKER_SI_MV_DEC,NK FP Equity_DX_SUPPLY_SI_MV_RMV,NK FP Equity_DX_BROKER_SI_MV_RMV,NK FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,NK FP Equity_DX_UTILIZATION_QUANTITY,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,NK FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,NK FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,NK FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,NK FP Equity_DX_ACTIVE_UTILIZATION_MV,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_2,NK FP Equity_DX_BROKER_SI_CON_RATIO,NK FP Equity_DX_BROKER_SI_MARKET_SHARE_1,NK FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-24,5339527.0,236758926.87,8.41,37.45,8.41,368.43,2.0,138513935.82,3226876.0,3123848.0,143082280.3,,39806.0,,0.0,2.7,1157.0,,44.16,39944.0,565394.0,,39806.0,0.0,,0.08,89288.0,664450.0,231.75,49.4,,,82.76,65.28,672291.0,29809924.31,,0.0,130.9,11.88,0.1089,20.97,1.0802
2006-05-31,5148880.0,236425531.58,8.11,33.94,8.11,359.18,2.0,141195571.19,3081451.0,3074960.0,141493623.99,,,57529.0,4.53,,,,12.06,68091.0,200100.0,,,4.53,57529.0,,35113.0,116980.0,222.99,6.23,2.59,,72.02,56.76,1197408.0,54982408.39,37966.0,0.0,134.7,12.16,0.1157,21.94,0.9485
2006-06-07,5337291.0,237638522.68,8.4,33.93,8.4,363.89,2.0,127120149.71,3090851.0,2855081.0,137617616.4,,14537.0,56419.0,0.0,0.88,,,10.73,847.0,156906.0,,14537.0,0.0,56419.0,,109887.0,220726.0,220.81,16.94,0.91,,76.65,56.67,941819.0,41933721.77,14537.0,0.0,150.09,16.1,0.1219,20.91,0.9785
2006-06-14,5004639.0,212181670.89,7.88,31.6,7.88,331.79,2.0,118970428.76,2529655.0,2806105.0,107249778.59,,80000.0,47251.0,45.96,4.63,30154.0,,51.3,769616.0,708740.0,,80000.0,45.96,47251.0,1.74,86469.0,848746.0,176.84,54.8,4.49,,45.97,45.97,2972895.0,126041824.09,66176.0,158.64,52.71,16.33,0.1337,20.88,0.9095
2006-06-21,3737250.0,165301476.74,5.88,23.35,5.88,263.37,2.0,66357446.51,2502546.0,1500255.0,110689557.67,,36942.0,17874.0,0.85,2.59,,,3.56,9611.0,114816.0,,36942.0,0.85,17874.0,,32891.0,1315461.0,182.57,79.96,,,46.1,46.1,2925601.0,129401609.65,,165.04,52.52,19.43,0.1433,20.41,0.6885
2006-06-28,3550707.0,157180758.96,5.59,27.09,5.59,252.05,2.0,61192406.82,2442290.0,1382334.0,108113960.35,,,11061.0,,,,,2.3,,39590.0,,,,11061.0,,5216.0,117920.0,178.7,6.85,2.59,,46.48,46.48,2812409.0,124498186.17,36942.0,158.82,52.95,20.43,0.152,21.43,0.6757
2006-07-03,3674789.0,168603657.87,5.79,29.82,5.79,259.59,2.0,66263069.26,2479985.0,1444232.0,113784639.73,,36318.0,14224.0,0.59,2.56,,,0.83,61898.0,10515.0,,36318.0,0.59,14224.0,,,,183.35,,0.14,,46.45,46.45,2858613.0,131156539.39,2332.0,164.57,52.7,20.19,0.1479,20.86,0.6883
2006-07-04,3108121.0,142490268.79,4.89,25.96,4.89,227.07,1.0,53080234.94,2196064.0,1157832.0,100677467.07,,,519.0,,,,,15.93,,285876.0,,,,519.0,,1436.0,286401.0,168.14,17.27,,,41.53,41.53,3092299.0,141764917.03,,181.3,48.12,18.37,0.1479,23.64,0.5877
2006-07-05,3156635.0,143672425.65,4.97,27.52,4.97,231.34,1.0,52822584.71,2242256.0,1160568.0,102054991.61,,2332.0,58182.0,0.24,0.14,,,0.65,3535.0,14322.0,,2332.0,0.24,58182.0,,,799.0,172.16,0.0,,,41.99,41.99,3097124.0,140963816.73,,183.4,48.42,18.1,0.1514,24.87,0.5912
2006-07-06,3099759.0,139946891.9,4.88,27.84,4.88,225.16,1.0,51708392.29,2200163.0,1145317.0,99332229.87,,,2695.0,0.0,,2200.0,,0.85,2229.0,7326.0,,,0.0,2695.0,0.14,,19679.0,167.65,1.33,2.7,,41.5,41.5,3101463.0,140023823.53,37462.0,182.1,47.93,18.4,0.154,25.31,0.5847
2006-07-07,3068314.0,137176836.23,4.83,27.93,4.83,221.95,1.0,49662500.31,2202651.0,1110830.0,98475154.6,,,4452.0,0.01,,3690.0,,0.3,200.0,1964.0,,,0.01,4452.0,0.23,,38377.0,167.23,2.85,,,41.49,41.49,3106237.0,138872281.08,,181.53,47.95,18.57,0.1555,25.62,0.578
2006-07-10,3059636.0,134993440.04,4.82,29.88,4.82,220.42,1.0,48458836.29,2206986.0,1098323.0,97373881.16,,,4346.0,0.01,,,,0.0,200.0,11.0,,,0.01,4346.0,,,12708.0,166.91,0.95,,,41.58,41.58,3101085.0,136822201.08,,180.14,48.09,18.56,0.1565,25.72,0.5764
2006-07-11,3062097.0,132855936.07,4.82,29.87,4.82,217.64,1.0,47691297.1,2207760.0,1099201.0,95788611.99,,,6023.0,0.0,,,,0.86,878.0,5249.0,,,0.0,6023.0,,,,164.9,,,,41.52,41.52,3109461.0,134910929.28,,178.41,48.03,18.49,0.1563,25.64,0.5759
2006-07-12,3058445.0,133931359.37,4.82,29.74,4.82,216.17,1.0,49558340.5,2154736.0,1131710.0,94357335.69,,2332.0,,3.01,0.14,,,4.29,46345.0,55356.0,,2332.0,3.01,,,,13835.0,159.88,0.98,,,40.76,40.76,3131504.0,137130662.01,,176.09,47.59,18.62,0.1539,24.8,0.5786
2006-07-13,3017623.0,129376907.93,4.75,29.55,4.75,213.36,1.0,46733921.98,2156125.0,1090035.0,92441231.26,,,4484.0,,,,,0.05,,763.0,,,,4484.0,,,41676.0,160.25,3.17,0.14,,40.85,40.85,3121701.0,133839125.32,2332.0,175.65,47.71,18.21,0.1559,25.11,0.5718
2006-07-14,2989505.0,125539977.32,4.71,29.44,4.71,208.75,1.0,45097479.08,2144045.0,1073914.0,90036096.5,,,5560.0,0.0,,,,1.66,23.0,17640.0,,,0.0,5560.0,,,16144.0,157.4,1.43,,,40.57,40.57,3140182.0,131867441.95,,174.31,47.45,18.03,0.1561,25.32,0.5657
2006-07-17,3216633.0,133662228.61,5.06,31.48,5.06,218.7,2.0,53420213.17,2160423.0,1285578.0,89773049.31,,,16652.0,15.02,,,,0.05,271341.0,273.0,,,15.02,16652.0,,,59677.0,156.01,3.64,,,40.6,40.6,3160300.0,131321397.59,,172.43,47.5,16.96,0.1504,23.8,0.6045
2006-07-18,3135142.0,129586096.3,4.94,31.11,4.94,212.55,1.0,49888387.38,2156538.0,1206975.0,89137060.12,,,3828.0,,,,,0.62,,7714.0,,,,3828.0,,,78603.0,155.03,5.21,,,40.5,40.5,3168680.0,130972336.06,,171.96,47.41,17.46,0.1539,24.32,0.5887
2006-07-19,2970328.0,126913438.16,4.68,29.93,4.68,207.23,1.0,50132664.14,2020971.0,1173323.0,86350186.93,,2332.0,,,0.14,,,4.41,,137899.0,,2332.0,,,,,33652.0,150.73,1.72,,,38.39,38.39,3243876.0,138601345.08,,173.71,46.46,18.14,0.1589,24.76,0.5642
2006-07-20,2976470.0,126957540.21,4.69,29.92,4.69,210.01,1.0,50238583.91,2024720.0,1177824.0,86361855.09,,,11946.0,0.49,,,,0.08,4525.0,5864.0,,,0.49,11946.0,,,24.0,153.21,0.0,0.14,,38.6,38.6,3220012.0,137345514.3,2332.0,175.42,46.62,17.97,0.1588,24.89,0.5675
2006-07-21,2975662.0,126813941.79,4.69,30.3,4.69,209.72,1.0,50191764.05,2023786.0,1177739.0,86247792.93,,,448.0,0.0,,,,0.14,38.0,1383.0,,,0.0,448.0,,,123.0,152.99,0.03,,,38.58,38.58,3222281.0,137324116.51,,175.45,46.58,17.96,0.1587,24.86,0.5672
2006-07-24,2909691.0,124109166.94,4.58,31.16,4.58,207.07,1.0,47488655.44,2021835.0,1113353.0,86238799.08,,,9.0,,,,,0.0,,4113.0,,,,9.0,,2153.0,64386.0,153.59,3.26,,,38.66,38.66,3208111.0,136837892.29,,175.16,46.72,18.24,0.1607,25.32,0.5564
2006-07-25,2903158.0,124043460.28,4.57,31.25,4.57,206.98,1.0,47370187.59,2019852.0,1108669.0,86302375.32,,,,0.0,,,,0.03,5.0,1983.0,,,0.0,,,,4689.0,153.6,0.25,,,38.68,38.68,3202286.0,136824325.88,,174.86,46.76,18.33,0.161,25.37,0.5559
2006-07-26,2810827.0,118552094.71,4.43,30.13,4.43,199.75,1.0,46852638.52,1924208.0,1110859.0,81157214.25,,2332.0,8482.0,0.0,0.13,,,6.83,2202.0,107079.0,,2332.0,0.0,8482.0,,621.0,13.0,146.89,0.0,,,37.1,37.1,3262597.0,137606372.98,,178.23,45.18,18.38,0.1572,24.01,0.5419
2006-07-27,2782947.0,117376201.5,4.38,28.83,4.38,197.92,1.0,46390632.27,1907411.0,1099905.0,80448768.11,,,1111.0,0.06,,,,1.09,870.0,15576.0,,,0.06,1111.0,,,11824.0,145.44,0.82,0.13,,36.75,36.75,3283398.0,138483695.61,2332.0,178.88,44.84,18.64,0.1583,24.15,0.5361
2006-07-28,2945122.0,124540289.88,4.64,31.59,4.64,206.42,1.0,53865228.78,1896670.0,1273802.0,80204430.1,,,7860.0,9.85,,,,1.07,173906.0,18600.0,,,9.85,7860.0,,,9.0,144.25,0.0,,,36.36,36.36,3319510.0,140372024.54,,180.34,44.44,17.71,0.1534,23.01,0.5646
2006-07-31,3180735.0,132637164.04,5.01,34.94,5.01,218.96,1.0,62342992.85,1913284.0,1495030.0,79784252.31,,,16613.0,12.59,,,,,221228.0,,,,12.59,16613.0,,,,144.46,,,,36.52,36.52,3325646.0,138679976.18,,177.46,44.88,18.01,0.1518,21.56,0.6071
2006-08-01,3053245.0,125193197.93,4.81,32.92,4.81,210.09,1.0,55226886.79,1932563.0,1346888.0,79241509.33,,,9175.0,,,,,0.82,,10749.0,,,,9175.0,,20853.0,148142.0,144.77,8.75,,,36.98,36.98,3293908.0,135061181.2,,173.84,45.44,16.99,0.1513,22.25,0.5842
2006-08-02,3549202.0,144878238.49,5.59,37.88,5.59,233.16,2.0,76667902.5,2486376.0,1878197.0,101493737.21,,2332.0,556630.0,28.85,0.13,,,0.46,533982.0,5148.0,,2332.0,28.85,556630.0,,,2673.0,171.68,0.18,,,46.94,46.94,2810882.0,114740055.02,,139.4,55.19,19.6,0.1513,20.08,0.67
2006-08-03,3668548.0,148269927.57,5.78,37.82,5.78,205.62,2.0,77180469.49,2588623.0,1909627.0,104623121.93,,,118989.0,0.0,,,,,31430.0,,,,0.0,118989.0,,,,144.38,,26.91,,51.51,51.51,2437178.0,98502242.72,16743.0,136.02,51.49,22.32,0.172,23.02,0.7299
2006-08-04,3195352.0,127973079.39,5.03,31.25,5.03,211.22,2.0,61028624.65,2484867.0,1523820.0,99518325.95,,14411.0,9339.0,,27.04,,,0.7,,127506.0,,14411.0,,9339.0,,,385807.0,170.68,20.82,,,46.56,46.56,2852115.0,114226520.06,,140.87,54.78,18.64,0.1549,21.38,0.5987
2006-08-07,3189094.0,130295610.87,5.02,28.16,5.02,212.27,2.0,62133975.79,2480939.0,1520781.0,101362789.1,,,,,,,,0.0,,3928.0,,,,,,,3039.0,170.78,0.13,,,46.4,46.4,2865807.0,117087195.83,,142.41,54.53,18.57,0.1552,21.4,0.5965
2006-08-08,3096854.0,126413416.98,4.88,26.08,4.88,208.52,1.0,60079614.79,2434748.0,1471820.0,99386284.98,,,5488.0,0.29,,,,2.1,1768.0,51679.0,,,0.29,5488.0,,,50729.0,169.7,2.33,,,45.98,45.98,2860712.0,116774113.0,,143.7,54.15,18.78,0.1568,22.02,0.5848
2006-08-09,3019327.0,124245389.71,4.75,24.72,4.75,169.37,1.0,62046917.08,2337800.0,1507822.0,96200534.77,,2332.0,108782.0,0.0,0.13,,,39.7,36002.0,208062.0,,2332.0,0.0,108782.0,,,,130.49,,,,43.16,43.16,3078574.0,126683405.4,,172.27,43.1,21.98,0.1852,25.99,0.5574
2006-08-10,2922444.0,122509481.95,4.6,23.5,4.6,165.61,1.0,59296899.23,2241750.0,1414518.0,93974642.85,,,57973.0,,,,,8.39,,157512.0,,,,57973.0,,5822.0,93305.0,126.51,4.57,0.13,,41.93,41.93,3105284.0,130174174.13,2332.0,175.19,41.93,20.67,0.1842,26.95,0.5466
2006-08-11,2901747.0,121535435.93,4.57,22.31,4.57,166.79,1.0,58286055.41,2244229.0,1391622.0,93996254.61,,,3136.0,1.78,,,,0.0,27305.0,1657.0,,,1.78,3136.0,,1000.0,50200.0,128.32,2.35,,,42.21,42.21,3072245.0,128676495.69,,174.79,42.34,20.91,0.182,27.08,0.5458
2006-08-14,2833553.0,119406685.69,4.46,21.07,4.46,162.91,1.0,58821705.21,2171773.0,1395855.0,91519098.46,,,3904.0,0.21,,,,4.39,4500.0,76360.0,,,0.21,3904.0,,,268.0,124.17,0.01,,,40.91,40.91,3136273.0,132163387.93,,178.76,40.99,21.52,0.188,27.76,0.5338
2006-08-15,2819298.0,118805976.15,4.44,20.66,4.44,161.94,1.0,58619684.76,2162403.0,1391061.0,91124244.14,,,1318.0,0.09,,,,0.76,1506.0,13288.0,,,0.09,1318.0,,2600.0,6300.0,123.83,0.35,,,40.73,40.73,3146209.0,132582093.64,,179.65,40.8,21.57,0.1886,27.72,0.5311
2006-08-16,2923255.0,123830024.96,4.6,21.25,4.6,168.49,1.0,63229050.87,2164972.0,1492648.0,91708912.43,,2332.0,1950.0,5.86,0.13,,,1.26,102325.0,22031.0,,2332.0,5.86,1950.0,,101737.0,738.0,124.33,0.0,4.68,,40.09,40.09,3235295.0,137048140.03,81420.0,186.79,39.96,20.87,0.1798,26.11,0.5413
2006-08-17,2904493.0,125272265.32,4.57,21.04,4.57,169.49,1.0,64648063.14,2157365.0,1498894.0,93048253.4,,,1747.0,,,7770.0,,0.28,,7023.0,,,,1747.0,0.46,,1525.0,125.01,0.0,0.13,,40.03,40.03,3232547.0,139421401.76,2332.0,188.25,39.91,21.18,0.1823,26.25,0.5389
2006-08-18,3051703.0,132069199.95,4.81,22.07,4.81,179.95,1.0,68920259.6,2194134.0,1592530.0,94956003.9,,,2347.0,6.1,,6951.0,,0.02,90488.0,2354.0,,,6.1,2347.0,0.4,36777.0,3802.0,128.96,0.23,,,40.77,40.77,3187667.0,137953342.9,,186.56,40.87,19.88,0.1715,24.91,0.567
2006-08-21,3083717.0,132776093.54,4.86,21.95,4.86,181.51,1.0,70683106.03,2195147.0,1641611.0,94516793.66,,,1012.0,5.05,,,,,87118.0,,,,5.05,1012.0,,,38037.0,128.93,2.26,,,40.59,40.59,3213000.0,138342652.24,,187.74,40.72,19.67,0.1709,24.63,0.5702
2006-08-22,3061135.0,133712349.35,4.82,21.79,4.82,181.61,1.0,70799117.24,2192798.0,1620835.0,95782829.64,,,870.0,0.53,,,,0.11,8967.0,3219.0,,,0.53,870.0,,,29744.0,129.32,1.36,,,40.63,40.63,3203844.0,139945970.43,,188.61,40.68,19.91,0.1708,24.85,0.5672
2006-08-23,3022912.0,131044939.96,4.76,21.32,4.76,180.18,1.0,72225941.09,2110246.0,1666090.0,91480354.17,,2332.0,902.0,3.07,0.14,,,7.15,45255.0,121130.0,,2332.0,3.07,902.0,,35344.0,,125.46,,,,39.3,39.3,3259144.0,141285730.39,,180.87,40.96,19.32,0.1641,23.8,0.563
2006-08-24,3061267.0,132034007.95,4.82,21.55,4.82,181.83,1.0,73614292.41,2107901.0,1706780.0,90914845.84,,,115.0,2.35,,,,0.02,43802.0,128.0,,,2.35,115.0,,,3112.0,124.84,0.25,0.14,,39.25,39.25,3262707.0,140722217.95,2332.0,180.2,40.93,19.33,0.1639,23.48,0.57
2006-08-25,3126205.0,133917573.37,4.92,21.91,4.92,184.58,1.0,75929155.02,2107314.0,1772509.0,90271232.12,,,489.0,4.16,,,,0.08,70728.0,1076.0,,,4.16,489.0,,,5000.0,123.98,0.3,,,39.02,39.02,3293190.0,141070727.43,,181.7,40.56,18.96,0.1591,22.97,0.5789
2006-08-28,3143326.0,134996837.6,4.95,22.23,4.95,184.66,1.0,76894048.83,2094923.0,1790435.0,89970935.25,,,317.0,1.47,,,,0.77,24351.0,12709.0,,,1.47,317.0,,,6424.0,122.41,0.47,,,38.66,38.66,3323619.0,142739904.92,,183.52,40.01,18.74,0.1574,22.87,0.5801
