,SRP FP Equity_DX_SI_QTY,SRP FP Equity_DX_SHORT_INTEREST_VALUE,SRP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,SRP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRP FP Equity_DX_SI_MV,SRP FP Equity_DX_DSS,SRP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRP FP Equity_DX_SUPPLY_SI_QTY,SRP FP Equity_DX_BROKER_SI_QTY,SRP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRP FP Equity_DX_BROKER_SI_MV_NEW_x,SRP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SRP FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRP FP Equity_DX_BROKER_SI_MV_INC_x,SRP FP Equity_DX_SUPPLY_SI_MV_NEW,SRP FP Equity_DX_BROKER_SI_QTY_ADD,SRP FP Equity_DX_BROKER_SI_QTY_NEW,SRP FP Equity_DX_SUPPLY_SI_MV_DEC,SRP FP Equity_DX_BROKER_SI_QTY_INC,SRP FP Equity_DX_SUPPLY_SI_QTY_DEC,SRP FP Equity_DX_BROKER_SI_MV_NEW_y,SRP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SRP FP Equity_DX_BROKER_SI_MV_INC_y,SRP FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRP FP Equity_DX_BROKER_SI_MV_ADD,SRP FP Equity_DX_SUPPLY_SI_QTY_ADD,SRP FP Equity_DX_BROKER_SI_QTY_DEC,SRP FP Equity_DX_SUPPLY_SI_MV,SRP FP Equity_DX_BROKER_SI_MV_DEC,SRP FP Equity_DX_SUPPLY_SI_MV_RMV,SRP FP Equity_DX_BROKER_SI_MV_RMV,SRP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRP FP Equity_DX_UTILIZATION_QUANTITY,SRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,SRP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRP FP Equity_DX_ACTIVE_UTILIZATION_MV,SRP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRP FP Equity_DX_BROKER_SI_CON_RATIO,SRP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRP FP Equity_DX_DEMAND_SUPPLY_RATIO
2015-11-16,155000.0,2945000.0,1.1,1.01,0.47,3.02,0.0,2945000.0,50000.0,155000.0,950000.0,,,,,,50000.0,,,,,,,,,0.97,50000.0,,0.94,,,,36.31,18.28,87700.0,1666300.0,,1.65,36.31,32.08,0.5235,64.77,0.5666
2015-11-17,5039.0,96597.63,0.04,0.03,0.02,0.1,0.0,96597.63,39.0,5039.0,747.63,,,,,,,,0.94,,49961.0,,,,,,,149961.0,0.0,2.92,,,0.03,0.01,137661.0,2638961.37,,2.62,0.03,0.77,0.9848,99.23,0.0184
2015-11-18,5039.0,96950.36,0.04,0.03,0.02,0.1,0.0,96950.36,39.0,5039.0,750.36,,,,,,,,,,,,,,,,,,0.0,,,,0.03,0.01,137661.0,2648597.64,,2.64,0.03,0.77,0.9847,99.23,0.0184
2015-11-19,5039.0,95741.0,0.04,0.03,0.02,0.1,0.0,95741.0,39.0,5039.0,741.0,,,,,,,,,,,,,,,,,,0.0,,,,0.03,0.01,137661.0,2615559.0,,2.65,0.03,0.78,0.9844,99.22,0.0184
2015-11-20,5039.0,94985.15,0.04,0.03,0.02,0.1,0.0,94985.15,39.0,5039.0,735.15,,,,,,,,,,,,,,,,,,0.0,,,,0.03,0.01,137661.0,2594909.85,,2.62,0.03,0.78,0.9845,99.22,0.0184
2015-11-23,5039.0,94733.2,0.04,0.03,0.02,0.09,0.0,94000.0,39.0,5000.0,733.2,,,,,,,,,,,,,,,,,39.0,0.0,0.0,,,0.03,0.01,137661.0,2588026.8,,2.59,0.03,0.78,0.9846,99.22,0.0184
2015-11-24,5000.0,92500.0,0.04,0.03,0.02,0.09,0.0,92500.0,0.0,5000.0,0.0,,,,,,,,0.0,,39.0,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0183
2015-11-25,5000.0,94000.0,0.04,0.03,0.02,0.09,0.0,94000.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0183
2015-11-26,5000.0,94000.0,0.04,0.03,0.02,0.09,0.0,94000.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0183
2015-11-27,5000.0,94500.0,0.04,0.03,0.02,0.09,0.0,94500.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0183
2015-11-30,5000.0,90000.0,0.04,0.03,0.02,0.09,0.0,90000.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0183
2015-12-01,5000.0,89750.0,0.04,0.03,0.02,0.09,0.0,89750.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0183
2015-12-02,5000.0,90500.0,0.04,0.03,0.02,0.09,0.0,90500.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0183
2015-12-03,5000.0,90000.0,0.04,0.03,0.02,0.09,0.0,90000.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0141
2015-12-04,5000.0,90000.0,0.04,0.03,0.02,0.09,0.0,90000.0,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0141
2015-12-07,10380.0,186736.2,0.07,0.06,0.03,0.19,0.0,89950.0,5380.0,5000.0,96786.2,,,,,,,,,,,,,,,,5380.0,,0.1,,,,100.0,1.51,0.0,0.0,,0.0,100.0,48.39,0.5005,51.61,0.0292
2015-12-08,1997.0,35746.3,0.01,0.01,0.01,0.04,0.0,35746.3,1997.0,1997.0,35746.3,,,,,,1997.0,,0.06,,3383.0,,,,,0.04,,5000.0,0.04,0.09,,,100.0,0.56,0.0,0.0,,0.0,100.0,29.35,1.0,100.0,0.0056
2015-12-09,1997.0,36744.8,0.01,0.01,0.01,0.04,0.0,36744.8,1997.0,1997.0,36744.8,,,,,,,,,,,,,,,,,,0.04,,,,100.0,0.57,0.0,0.0,,0.0,100.0,,1.0,100.0,0.0057
2015-12-10,6997.0,125946.0,0.05,0.04,0.02,0.14,0.0,125946.0,1997.0,6997.0,35946.0,,,,0.1,,,,,5000.0,,,,0.1,,,,,0.04,,,,100.0,0.57,0.0,0.0,,0.0,100.0,,1.0,100.0,0.02
2015-12-11,13149.0,236682.0,0.09,0.07,0.04,0.25,0.0,236682.0,7638.0,13149.0,137484.0,,,,,,6641.0,,,,,,,,,0.12,5641.0,489.0,0.14,0.01,,,5.47,2.45,132059.0,2377062.0,,2.38,5.47,42.33,0.435,49.99,0.0422
2015-12-14,13149.0,239706.27,0.09,0.2,0.04,0.24,0.0,239706.27,7638.0,13149.0,139240.74,,,,,,,,,,,,,,,,,,0.14,,,,5.47,2.47,132059.0,2407435.57,,2.38,5.47,41.74,0.4353,50.5,0.0425
2015-12-15,23319.0,430235.55,0.17,0.48,0.07,0.43,0.0,337985.55,12638.0,18319.0,233171.1,,,5000.0,0.09,,,,,5170.0,,,,0.09,5000.0,,,,0.23,,,,9.05,4.09,127059.0,2344238.55,,2.32,9.05,29.05,0.3368,45.37,0.0754
2015-12-16,28319.0,530414.87,0.2,0.6,0.09,0.53,0.0,436764.87,12638.0,23319.0,236709.74,,,,0.09,,,,,5000.0,,,,0.09,,,,,0.23,,,,9.05,4.32,127059.0,2379815.07,,2.34,9.05,23.86,0.3914,55.01,0.0968
2015-12-17,32319.0,611475.48,0.23,0.68,0.1,0.61,0.0,516875.48,12638.0,27319.0,239110.96,,,,,,4000.0,,,,,,,,,0.07,,,0.24,,,,9.05,4.36,127059.0,2403956.28,,2.38,9.05,21.04,0.309,48.26,0.1114
2015-12-18,32319.0,606304.44,0.23,0.7,0.1,0.62,0.0,512504.44,12638.0,27319.0,237088.88,,,,,,,,,,,,,,,,,,0.24,,,,9.05,4.46,127059.0,2383626.84,,2.4,9.05,20.88,0.3098,48.41,0.114
2015-12-21,32300.0,604010.0,0.23,0.71,0.1,0.61,0.0,510510.0,12638.0,27300.0,236330.6,,,,,,,,,,,,,,,,,19.0,0.24,0.0,,,9.05,4.46,127059.0,2376003.3,,2.38,9.05,20.81,0.3097,48.41,0.1139
2015-12-22,46824.0,866244.0,0.33,0.98,0.14,0.88,0.0,773744.0,12162.0,41824.0,224997.0,,,,0.27,,,,0.01,14524.0,476.0,,,0.27,,,,,0.23,,,,8.71,4.29,127535.0,2359397.5,,2.38,8.71,14.41,0.4501,64.34,0.1651
2015-12-23,63851.0,1219554.1,0.45,1.34,0.19,1.2,0.0,1047654.1,16162.0,54851.0,308694.2,,,4000.0,0.43,,,,,23000.0,,,,0.43,4000.0,,,9973.0,0.3,0.19,,,5.77,5.77,263861.0,5039745.1,,4.81,5.86,22.35,0.215,31.46,0.228
2015-12-24,63851.0,1236793.87,0.45,1.35,0.19,1.22,0.0,1062463.87,16162.0,54851.0,313057.94,,,,,,,,,,,,,,,,,,0.31,,,,5.77,5.77,263861.0,5110987.57,,4.89,5.93,21.83,0.2152,31.72,0.228
2015-12-25,63851.0,1236793.87,0.45,1.34,0.19,1.23,0.0,1062463.87,16162.0,54851.0,313057.94,,,,,,,,,,,,,,,,,,0.31,,,,5.77,5.77,263861.0,5110987.57,,4.91,5.94,21.97,0.2151,31.6,0.228
2015-12-28,63851.0,1245094.5,0.45,1.34,0.19,1.24,0.0,1069594.5,16162.0,54851.0,315159.0,,,,,,,,,,,,,,,,,,0.31,,,,5.77,5.77,263861.0,5145289.5,,4.93,5.97,22.08,0.2146,31.54,0.228
2015-12-29,63851.0,1251479.6,0.45,1.34,0.19,1.25,0.0,1075079.6,16162.0,54851.0,316775.2,,,,,,,,,,,,,,,,,,0.32,,,,5.77,5.77,263861.0,5171675.6,,4.95,5.99,21.99,0.2152,31.8,0.228
2015-12-30,63220.0,1266296.6,0.45,1.29,0.19,1.25,0.0,1086026.6,21162.0,54220.0,423874.86,,,5000.0,0.1,,,,,5000.0,,,,0.1,5000.0,,,5631.0,0.41,0.1,,,7.56,7.56,258861.0,5184985.83,,4.87,7.85,22.42,0.2499,39.67,0.2258
2015-12-31,63042.0,1260209.58,0.45,1.26,0.19,1.27,0.0,1080299.58,21162.0,54042.0,423028.38,,,,,,,,,,,,,,,,,178.0,0.42,0.0,,,7.56,7.56,258861.0,5174631.39,,4.93,7.92,22.09,0.2493,39.7,0.2251
2016-01-01,63042.0,1260209.58,0.45,1.29,0.19,1.27,0.0,1080299.58,21162.0,54042.0,423028.38,,,,,,,,,,,,,,,,,,0.42,,,,7.56,7.56,258861.0,5174631.39,,4.95,7.88,22.07,0.2494,39.71,0.2251
2016-01-04,116042.0,2269781.52,0.82,2.37,0.35,2.3,0.0,2093741.52,21162.0,107042.0,413928.72,,,,0.58,,23000.0,,,30000.0,,,,0.58,,0.45,,,0.42,,,,7.56,7.56,258861.0,5063321.16,,4.95,7.87,25.55,0.2779,43.71,0.4144
2016-01-05,115098.0,2344546.26,0.82,2.22,0.35,2.31,0.0,2161216.26,21162.0,106098.0,431069.94,,,,,,,,,,,,,,,,,944.0,0.41,0.02,,,7.56,7.56,258861.0,5272998.57,,4.91,7.78,25.11,0.2916,45.72,0.411
2016-01-06,115098.0,2415907.02,0.82,2.12,0.35,2.39,0.0,2226997.02,21162.0,106098.0,444190.38,,,,,,,,,,,,,,,,,,0.43,,,,7.56,7.56,258861.0,5433492.39,,5.01,7.92,25.24,0.2903,45.48,0.411
2016-01-07,115098.0,2367565.86,0.82,2.08,0.35,2.39,0.0,2182435.86,21162.0,106098.0,435302.34,,,,,,,,,,,,,,,,,,0.44,,,,7.56,7.56,258861.0,5324770.77,,5.07,8.05,25.83,0.2832,44.26,0.411
2016-01-08,115098.0,2342244.3,0.82,2.0,0.35,2.36,0.0,2159094.3,21162.0,106098.0,430646.7,,,,,,,,,,,,,,,,,,0.44,,,,7.56,7.56,258861.0,5267821.35,,5.0,8.01,25.71,0.2844,44.48,0.411
2016-01-11,114937.0,2298740.0,0.81,2.01,0.35,2.32,0.0,2098740.0,22162.0,104937.0,443240.0,,,1000.0,,,,,,,,,,,1000.0,,,1161.0,0.45,0.03,,,7.91,7.91,257861.0,5157220.0,,4.96,8.34,24.62,0.28,44.36,0.4105
2016-01-12,113597.0,2328738.5,0.81,1.94,0.35,2.31,0.0,2123738.5,26162.0,103597.0,536321.0,,,,0.08,,,,,4000.0,,,,0.08,,,4000.0,5340.0,0.53,0.12,,,9.34,9.34,253861.0,5204150.5,,4.82,9.83,19.05,0.2776,46.04,0.4057
2016-01-13,114569.0,2320022.25,0.81,1.88,0.35,2.34,0.0,2117522.25,26162.0,104569.0,529780.5,,,,0.02,,,,,972.0,,,,0.02,,,,,0.54,,,,9.34,9.34,253861.0,5140685.25,,4.88,9.89,19.18,0.2672,44.66,0.4091
2016-01-14,212920.0,4288208.8,1.51,3.29,0.65,4.3,0.0,4105357.74,40241.0,203841.0,810453.74,,,15000.0,1.99,,,,0.02,99272.0,921.0,,,1.99,15000.0,,,,0.81,,,,14.37,14.37,239782.0,4829209.48,,4.56,15.15,12.95,0.4562,65.26,0.7604
2016-01-15,295525.0,5833663.5,2.1,4.52,0.9,5.9,0.0,5667334.26,36507.0,287099.0,720648.18,,,,2.01,,,,0.08,100258.0,3734.0,,,2.01,,,,17000.0,0.73,0.34,,,13.04,13.04,243516.0,4807005.84,,4.66,13.61,31.73,0.3073,42.89,1.0554
2016-01-18,289525.0,5651528.0,2.05,4.34,0.88,5.7,0.0,5487052.48,27846.0,281099.0,543553.92,,,,,,,,0.18,,8661.0,,,,,,,6000.0,0.55,0.16,,,9.94,9.94,252177.0,4922495.04,,4.78,10.31,30.15,0.3078,43.96,1.0339
2016-01-19,292700.0,5854000.0,2.08,4.56,0.89,5.78,0.0,5704520.0,26894.0,285226.0,537880.0,,,,0.06,,,,0.02,4127.0,952.0,,,0.06,,,,,0.53,,,,9.6,9.6,253129.0,5062580.0,,4.77,9.92,30.78,0.3139,44.39,1.0453
2016-01-20,294319.0,5803970.68,2.09,4.67,0.9,5.86,0.0,5803970.68,29093.0,294319.0,573713.96,,,9673.0,0.21,,,,0.14,9673.0,7474.0,,,0.21,9673.0,,,580.0,0.58,0.0,,,10.39,10.39,250930.0,4948339.6,,4.79,10.82,31.11,0.3149,43.18,1.0511
2016-01-21,294319.0,5750993.26,2.09,4.57,0.9,5.79,0.0,5750993.26,29093.0,294319.0,568477.22,,,,,,,,,,,,,,,,,,0.57,,,,10.39,10.39,250930.0,4903172.2,,4.94,10.4,31.04,0.3154,43.3,1.0511
2016-01-22,294319.0,5904039.14,2.09,4.58,0.9,5.83,0.0,5904039.14,29093.0,294319.0,583605.58,,,,,,,,,,,,,,,,,,0.57,,,,10.43,10.43,249964.0,5014277.84,,4.88,10.44,30.55,0.3189,44.14,1.0547
2016-01-25,299319.0,6103114.41,2.12,5.41,0.91,6.05,0.0,6103114.41,34093.0,299319.0,695156.27,,,5000.0,0.12,,,,,5000.0,,,,0.12,5000.0,,,,0.68,,,,12.27,12.27,243660.0,4968227.4,,4.88,12.29,30.22,0.3134,43.23,1.0776
2016-01-26,305968.0,6330477.92,2.17,5.12,0.93,6.29,0.0,6330477.92,34093.0,305968.0,705384.17,,,,0.17,,,,,6649.0,,,,0.17,,,,,0.7,,,,12.27,12.27,243660.0,5041325.4,,4.96,12.29,30.53,0.3059,42.2,1.1016
2016-01-27,311812.0,6510634.56,2.21,5.3,0.95,6.48,0.0,6510634.56,39093.0,311812.0,816261.84,,,5000.0,0.16,,,,,7000.0,,,,0.16,5000.0,,,1156.0,0.81,0.02,,,14.21,14.21,236036.0,4928431.68,,4.88,14.22,30.04,0.3019,41.31,1.1333
2016-01-28,311557.0,6533350.29,2.21,5.12,0.95,6.52,0.0,6533350.29,39093.0,311557.0,819780.21,,,,,,,,,,,,,,,,,255.0,0.82,0.0,,,14.21,14.21,236036.0,4949674.92,,4.92,14.22,30.17,0.3013,41.08,1.1324
2016-01-29,321557.0,6752697.0,2.28,5.39,0.98,6.76,0.0,6752697.0,44093.0,321557.0,925953.0,,,5000.0,0.22,,,,,10000.0,,,,0.22,5000.0,,,,0.92,,,,16.03,16.03,231036.0,4851756.0,,4.84,16.04,29.18,0.2858,39.82,1.1688
2016-02-01,356995.0,7496895.0,2.53,5.96,1.09,7.62,1.0,7496895.0,79093.0,356995.0,1660953.0,,,,0.76,,,,,35438.0,,,,0.76,,,35000.0,,1.66,,,,30.35,28.75,181489.0,3811269.0,,3.81,30.35,26.34,0.2765,36.61,1.2976
2016-02-02,333376.0,7030899.84,2.36,5.37,1.02,7.03,1.0,7030899.84,82866.0,333376.0,1747643.94,,,3773.0,0.13,,,,,6179.0,,,,0.13,3773.0,,,29798.0,1.74,0.63,,,31.8,29.69,177716.0,3748030.44,,3.73,31.8,28.11,0.2748,38.46,1.1944
2016-02-03,354230.0,7438830.0,2.51,5.68,1.08,7.48,1.0,7438830.0,82720.0,354230.0,1737120.0,,,,0.25,,9000.0,,0.0,12000.0,146.0,,,0.25,,0.19,,146.0,1.74,0.0,,,29.64,29.64,196388.0,4124148.0,,4.14,29.67,28.69,0.279,38.98,1.2692
2016-02-04,356039.0,7152823.51,2.52,6.13,1.09,7.36,1.0,7152823.51,84529.0,356039.0,1698187.61,,,1809.0,0.03,,,,,1809.0,,,,0.03,1809.0,,,,1.77,,,,30.29,30.29,194579.0,3909092.11,,4.07,30.35,29.01,0.2739,37.86,1.2756
2016-02-05,358039.0,7013984.01,2.54,5.94,1.09,7.18,1.0,6974804.01,86529.0,356039.0,1695103.11,,,2000.0,,,,,,,,,,,2000.0,,,,1.74,,,,33.21,31.0,174053.0,3409698.27,,3.5,33.2,28.45,0.2733,38.4,1.2828
2016-02-08,356178.0,6867111.84,2.53,5.8,1.09,6.93,1.0,6828551.84,131817.0,354178.0,2541431.76,,,45288.0,0.29,,,,,19913.0,,,,0.29,45288.0,,,21774.0,2.58,0.53,,,49.14,47.23,136406.0,2629907.68,,2.67,49.14,30.19,0.2498,31.98,1.2761
2016-02-09,346518.0,6587307.18,2.46,5.67,1.06,6.69,1.0,6549287.18,128782.0,344518.0,2448145.82,,,,0.02,,,,0.07,2000.0,3035.0,,,0.02,,,,11660.0,2.48,0.24,,,48.01,46.14,139441.0,2650773.41,,2.69,48.01,30.0,0.2526,32.64,1.2415
2016-02-10,358247.0,7125532.83,2.54,5.8,1.09,6.93,1.0,7085752.83,139744.0,356247.0,2779508.16,,,10962.0,0.19,,,,,11767.0,,,,0.19,10962.0,,,38.0,2.66,0.01,,,52.1,50.07,128479.0,2555447.31,,2.44,52.11,31.58,0.2571,32.57,1.2835
2016-02-11,358406.0,6859890.84,2.54,5.91,1.09,7.06,1.0,6821610.84,139295.0,356406.0,2666106.3,,,,0.15,,,,0.0,5159.0,449.0,,,0.15,,,,5000.0,2.77,0.0,,,52.17,50.04,127724.0,2444637.36,,2.54,52.16,30.79,0.2477,31.05,1.2876
2016-02-12,387401.0,7407107.12,2.75,6.49,1.18,7.46,1.0,7368867.12,168290.0,385401.0,3217704.8,,,30000.0,0.56,,,,0.04,30000.0,1005.0,,,0.56,30000.0,,,1005.0,3.22,0.03,,,65.28,60.46,89525.0,1711718.0,,1.71,65.28,28.26,0.2469,29.08,1.3918
2016-02-15,362552.0,7077015.04,2.57,6.02,1.11,7.0,1.0,7037975.04,143441.0,360552.0,2799968.32,,,,,,,,0.48,,24849.0,,,,,,,24849.0,2.74,0.51,,,61.02,51.93,91612.0,1788266.24,,1.75,61.02,30.09,0.2496,31.65,1.3126
2016-02-16,368643.0,7243834.95,2.61,6.48,1.12,7.23,1.0,7204534.95,142550.0,366643.0,2801107.5,,,,0.2,,,,0.02,6982.0,891.0,,,0.2,,,,891.0,2.78,0.0,,,51.63,51.63,133559.0,2624434.35,,2.6,51.68,30.28,0.2466,30.85,1.3351
2016-02-17,378643.0,7447907.81,2.68,6.98,1.15,7.47,1.0,7408567.81,144450.0,376643.0,2841331.5,,,1900.0,0.22,,,,,10000.0,,,,0.22,1900.0,,,,2.84,,,,52.32,52.32,131659.0,2589732.53,,2.58,52.37,29.48,0.2445,29.87,1.3714
2016-02-18,377433.0,6763599.36,2.68,6.56,1.15,7.41,1.0,6727759.36,141622.0,375433.0,2537866.24,,,,0.04,,,,0.05,1900.0,2828.0,,,0.04,,,,3110.0,2.78,0.06,,,51.34,51.34,134203.0,2404917.76,,2.62,51.48,29.53,0.2438,29.76,1.3684
2016-02-19,380334.0,6621614.94,2.7,6.64,1.16,6.83,1.0,6586794.94,149517.0,378334.0,2603090.97,,,7895.0,0.01,,,,,10525.0,,,,0.01,7895.0,,,7624.0,2.68,0.38,,,54.34,54.34,125651.0,2187583.91,,2.25,54.38,27.64,0.2417,29.42,1.3822
2016-02-22,375619.0,6761142.0,2.66,6.54,1.15,6.65,1.0,6725142.0,145456.0,373619.0,2618208.0,,,,,,,,0.15,,4061.0,,,,,,,4715.0,2.53,0.12,,,63.07,52.86,85170.0,1533060.0,,1.48,63.08,28.84,0.245,29.22,1.3651
2016-02-23,388602.0,7344577.8,2.76,6.79,1.18,7.11,1.0,7306777.8,144875.0,386602.0,2738137.5,,,,0.31,,,,0.0,12983.0,581.0,,,0.31,,,,,2.61,,,,62.82,52.65,85751.0,1620693.9,,1.54,62.83,28.05,0.2399,28.26,1.4122
2016-02-24,388602.0,7134732.72,2.76,7.0,1.18,7.32,1.0,7098012.72,149875.0,386602.0,2751705.0,,,5000.0,,,,,,,,,,,5000.0,,,,2.83,,,,63.61,54.47,85751.0,1574388.36,,1.62,63.6,26.48,0.2384,28.84,1.4122
2016-02-25,392876.0,7228918.4,2.79,7.45,1.2,7.25,1.0,7192118.4,151725.0,390876.0,2791740.0,,,3000.0,0.0,,3000.0,,0.07,1274.0,1150.0,,,0.0,3000.0,0.06,,,2.79,,,,63.89,55.14,85751.0,1577818.4,,1.57,63.89,26.78,0.2344,28.27,1.4278
