,CG9 FP Equity_DX_SI_QTY,CG9 FP Equity_DX_SHORT_INTEREST_VALUE,CG9 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CG9 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CG9 FP Equity_DX_SI_MV,CG9 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CG9 FP Equity_DX_SUPPLY_SI_QTY,CG9 FP Equity_DX_BROKER_SI_QTY,CG9 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CG9 FP Equity_DX_SUPPLY_SI_QTY_INC_x,CG9 FP Equity_DX_BROKER_SI_MV_INC_x,CG9 FP Equity_DX_BROKER_SI_QTY_ADD,CG9 FP Equity_DX_SUPPLY_SI_MV_DEC,CG9 FP Equity_DX_BROKER_SI_QTY_INC,CG9 FP Equity_DX_SUPPLY_SI_QTY_DEC,CG9 FP Equity_DX_BROKER_SI_MV_INC_y,CG9 FP Equity_DX_SUPPLY_SI_QTY_INC_y,CG9 FP Equity_DX_BROKER_SI_MV_ADD,CG9 FP Equity_DX_SUPPLY_SI_QTY_ADD,CG9 FP Equity_DX_BROKER_SI_QTY_DEC,CG9 FP Equity_DX_SUPPLY_SI_MV,CG9 FP Equity_DX_BROKER_SI_MV_DEC,CG9 FP Equity_DX_BROKER_SI_MV_RMV,CG9 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CG9 FP Equity_DX_UTILIZATION_QUANTITY,CG9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CG9 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CG9 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CG9 FP Equity_DX_ACTIVE_UTILIZATION_MV,CG9 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CG9 FP Equity_DX_BROKER_SI_CON_RATIO,CG9 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CG9 FP Equity_DX_DEMAND_SUPPLY_RATIO,CG9 FP Equity_PX_LAST
2013-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.52
2013-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.44
2013-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.63
2013-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.15
2013-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.68
2013-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.19
2013-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.49
2013-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.72
2013-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.23
2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.73
2013-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.25
2013-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.61
2013-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.65
2013-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.17
2013-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.18
2013-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.84
2013-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.88
2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.64
2013-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.24
2013-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.64
2013-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.81
2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.45
2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.61
2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.03
2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.1
2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.52
2013-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.54
2013-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.43
2013-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.3
2013-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.2
2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.94
2013-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.33
2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.63
2013-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.8
2013-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.27
2013-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.77
2013-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.45
2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.19
2013-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.44
2013-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.3
2013-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.74
2013-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.75
2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.22
2013-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.82
2013-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.0
2013-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.76
2013-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.23
2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.09
2013-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.81
2013-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.77
2013-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.43
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.97
2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.47
2013-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.02
2013-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.41
2013-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.31
2013-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.85
2013-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.78
2013-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.55
2013-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.57
2013-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.37
2013-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.35
2013-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.21
2013-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.1
2013-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.63
2013-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.06
2013-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.64
2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.51
2013-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.05
2013-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.51
2013-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4
2013-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.54
2013-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.55
2013-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.34
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.07
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.47
2013-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.89
2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.82
2013-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.31
2013-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.47
2013-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.28
2013-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.65
2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.86
2013-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.07
2013-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.24
2013-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.54
2013-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.11
2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.46
2013-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.66
2013-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.19
2013-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.3
2013-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.14
2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.12
2013-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.78
2013-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.36
2013-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.32
2013-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.0
2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.76
2013-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.07
2013-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.13
2013-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.99
2013-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.17
2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.18
2013-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.59
2013-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.01
2013-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.97
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.54
2013-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.5
2013-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.72
2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.14
2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.71
2013-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.62
2013-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.54
2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.41
2014-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.61
2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.56
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.24
2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.01
2014-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.53
2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.53
2014-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.29
2014-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.71
2014-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.82
2014-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.91
2014-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.72
2014-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.27
2014-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.28
2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.71
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.84
2014-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.19
2014-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.64
2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.2
2014-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.1
2014-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.27
2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.4
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.31
2014-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.57
2014-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.49
2014-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.65
2014-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.68
2014-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.62
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.84
2014-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.56
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.33
2014-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.05
2014-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.92
2014-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.43
2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.28
2014-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.43
2014-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.35
2014-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.66
2014-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.79
2014-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.05
2014-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.76
2014-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.47
2014-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.84
2014-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.48
2014-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.47
2014-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.31
2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.67
2014-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.94
2014-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.41
2014-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.39
2014-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.79
2014-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.36
2014-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.44
2014-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.78
2014-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.72
2014-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.71
2014-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.81
2014-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.73
2014-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.47
2014-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.34
2014-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.21
2014-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.7
2014-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.69
2014-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.85
2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.61
2014-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.88
2014-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.16
2014-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.93
2014-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.17
2014-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.77
2014-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.24
2014-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.67
2014-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.61
2014-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.37
2014-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.14
2014-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.75
2014-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.45
2014-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.09
2014-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.61
2014-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.89
2014-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.93
2014-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.08
2014-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.44
2014-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.61
2014-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.47
2014-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.38
2014-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.79
2014-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.82
2014-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.17
2014-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.81
2014-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.11
2014-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.73
2014-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.74
2014-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.6
2014-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.01
2014-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.99
2014-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.05
2014-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.88
2014-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.33
2014-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.36
2014-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.54
2014-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.64
2014-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.59
2014-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.75
2014-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.78
2014-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.06
2014-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.46
2014-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.66
2014-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.24
2014-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.79
2014-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.22
2014-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.13
2014-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.28
2014-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.35
2014-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.77
2014-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.16
2014-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.95
2014-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.38
2014-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.23
2014-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.41
2014-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.43
2014-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.22
2014-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.71
2014-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.75
2014-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.88
2014-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.92
2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.13
2014-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.37
2014-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0
2014-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.51
2014-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.16
2014-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.11
2014-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.08
2014-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.69
2014-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.82
2014-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.1
2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.37
2014-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.06
2014-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.18
2014-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.1
2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.2
2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.07
2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.1
2014-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.74
2014-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.4
2014-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.11
2014-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.23
2014-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.84
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.49
2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.62
2014-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.25
2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.08
2014-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.03
2014-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.15
2014-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.31
2014-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.31
2014-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.14
2014-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8
2014-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.25
2014-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.56
2014-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.46
2014-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.45
2014-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.44
2014-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.19
2014-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.95
2014-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.17
2014-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.53
2014-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.71
2014-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.83
2014-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.25
2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.62
2014-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.61
2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.5
2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.23
2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.57
2014-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.12
2014-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.75
2014-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.64
2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.62
2014-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.59
2014-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.69
