,ALSIM FP Equity_PX_LAST
2008-01-08,5.59
2008-01-09,5.59
2008-01-10,5.59
2008-01-11,5.59
2008-01-17,5.4
2008-01-18,5.4
2008-01-29,5.4
2008-02-05,5.4
2008-02-07,5.0
2008-02-15,5.0
2008-02-18,5.0
2008-02-19,5.5
2008-02-20,5.5
2008-02-25,5.59
2008-03-18,5.55
2008-03-19,5.5
2008-03-28,5.51
2008-04-22,5.31
2008-04-24,5.53
2008-05-02,5.45
2008-06-13,5.3
2008-06-17,5.4
2008-06-20,5.2
2008-07-24,5.2
2008-07-25,5.4
2008-08-27,5.4
2008-09-22,5.4
2008-09-26,5.4
2008-11-10,4.9
2008-11-12,5.3
2009-02-16,4.24
2009-02-25,5.01
2009-03-18,5.2
2009-03-20,5.2
2009-03-23,5.3
2009-04-02,5.2
2009-04-08,5.1
2009-04-23,5.0
2009-04-24,5.0
2009-04-29,5.0
2009-06-16,5.0
2009-06-22,4.6
2009-08-03,4.6
2009-08-26,3.68
2009-09-01,4.41
2009-11-06,2.83
2009-11-18,3.39
2009-12-24,3.1
2009-12-30,3.72
2010-03-01,3.0
2010-03-04,3.0
2010-03-05,3.0
2010-03-18,3.0
2010-03-30,3.0
2010-03-31,3.0
2010-04-14,2.4
2010-04-30,2.88
2010-06-14,3.0
2010-08-02,3.01
2010-12-24,3.16
2011-02-17,4.5
2011-02-25,5.0
2011-04-13,4.99
2011-06-28,3.0
2011-07-01,3.6
2011-07-14,3.65
2011-07-18,4.98
2011-07-20,4.98
2011-07-22,4.98
2011-07-29,4.99
2011-08-02,5.0
2011-08-03,5.0
2011-08-05,5.0
2011-08-08,5.0
2011-08-31,5.0
2011-09-12,5.0
2011-09-19,5.0
2011-09-21,5.0
2012-01-02,3.2
2012-03-27,4.99
2012-04-23,5.0
2012-06-11,4.9
2012-06-18,4.9
2012-07-05,4.5
2012-10-30,4.0
2012-12-10,3.2
2012-12-11,3.01
2012-12-19,3.16
2013-01-15,5.0
2013-01-16,4.9
2013-01-21,4.9
2013-01-22,4.9
2013-01-23,5.0
2013-01-24,5.0
2013-01-25,5.0
2013-02-07,4.9
2013-02-25,4.9
2013-02-26,5.0
2013-03-15,5.0
2013-03-19,5.0
2013-03-27,5.0
2013-04-11,5.0
2013-04-25,5.0
2013-05-08,5.0
2013-09-12,4.1
2013-09-18,4.5
2013-09-19,4.5
2013-10-01,4.5
2013-10-08,4.5
2014-02-12,4.24
2014-02-14,4.0
2014-02-28,4.0
2014-03-13,3.5
2014-03-19,3.5
2014-03-28,4.0
2014-04-08,4.24
2014-04-09,4.24
2014-04-16,4.24
2014-04-17,4.24
2014-04-22,4.0
2014-04-24,4.0
2014-05-30,4.0
2014-08-04,3.91
2015-01-23,3.5
2015-01-26,3.0
2015-01-27,2.5
2015-01-30,3.0
2015-03-27,3.0
2015-03-30,3.0
2015-03-31,3.0
2015-05-08,3.0
2015-05-11,3.0
2015-05-12,3.0
2015-05-20,3.0
2015-06-19,3.0
2015-07-06,3.0
2015-07-15,3.0
2015-07-16,3.0
2015-07-30,2.51
2015-07-31,2.55
2015-08-18,2.51
2015-08-21,3.0
2015-08-24,3.0
2015-09-08,3.0
2015-09-10,3.0
2015-12-03,3.0
2015-12-04,3.0
2015-12-16,2.62
2015-12-17,2.6
2015-12-18,2.6
2015-12-21,2.65
2016-01-21,2.8
2016-02-08,2.95
2016-03-22,2.95
2016-04-01,3.0
2016-04-04,3.0
2016-04-21,2.7
2016-04-22,3.0
2016-04-27,3.0
2016-04-28,3.0
2016-05-09,3.0
2016-05-18,3.0
2016-05-20,3.0
2016-06-03,3.0
2016-06-07,3.0
2016-06-09,3.0
2016-10-14,3.0
2016-10-17,3.0
2016-10-20,3.0
2016-12-29,3.0
2017-01-09,3.0
2017-01-23,3.0
2017-02-20,3.0
2017-02-21,3.0
2017-02-22,2.4
2017-03-29,3.0
2017-04-26,3.0
2017-06-21,3.0
2017-08-21,3.3
2017-10-16,3.4
2018-01-30,2.42
2018-09-11,1.95
2018-11-27,1.95
2019-04-23,0.8
2019-04-30,0.575
2019-05-22,0.575
2019-05-24,0.296
2019-05-28,0.3
2019-06-03,0.515
2019-06-07,0.15
2019-06-14,0.16
2019-06-19,0.33
2019-06-26,0.32
2019-06-27,0.45
2019-07-08,0.452
2019-07-10,0.454
2019-10-04,0.364
2019-12-23,0.4
2020-01-13,0.575
2020-01-15,0.57
2020-04-24,0.28
2020-06-05,0.57
2020-06-16,0.75
2020-06-17,0.75
2020-07-01,0.9
2020-07-28,1.5
2020-07-29,1.5
2020-09-22,1.0
2020-09-24,1.0
2020-10-12,1.0
2021-01-14,0.8
2021-03-04,0.75
2021-03-05,0.755
2021-04-09,0.755
2021-05-03,0.605
2021-05-26,0.6
2021-06-15,0.6
2021-07-09,0.6
2021-11-16,0.605
2021-11-30,0.484
2021-12-28,0.484
2022-11-28,0.484
2022-11-29,0.484
2022-11-30,0.484
2022-12-01,0.484
2022-12-02,0.484
2022-12-05,0.484
2022-12-06,0.484
2022-12-07,0.484
2022-12-08,0.484
2022-12-09,0.484
2022-12-12,0.484
2022-12-13,0.484
2022-12-14,0.484
2022-12-15,0.484
2022-12-16,0.484
2022-12-19,0.484
2022-12-20,0.484
2022-12-21,0.484
2022-12-22,0.484
2022-12-23,0.484
2022-12-27,0.484
2022-12-28,0.484
2022-12-29,0.484
2022-12-30,0.484
2023-01-02,0.484
2023-01-03,0.484
2023-01-04,0.484
2023-01-05,0.484
2023-01-06,0.484
2023-01-09,0.484
2023-01-10,0.484
2023-01-11,0.484
2023-01-12,0.484
2023-01-13,0.484
2023-01-16,0.484
2023-01-17,0.484
2023-01-18,0.484
2023-01-19,0.484
2023-01-20,0.484
2023-01-23,0.484
2023-01-24,0.484
2023-01-25,0.484
2023-01-26,0.484
2023-01-27,0.484
2023-01-30,0.484
2023-01-31,0.484
2023-02-01,0.484
2023-02-02,0.484
2023-02-03,0.484
2023-02-06,0.484
2023-02-07,0.484
2023-02-08,0.484
2023-02-09,0.484
2023-02-10,0.484
2023-02-13,0.484
2023-02-14,0.484
2023-02-15,0.484
2023-02-16,0.484
2023-02-17,0.484
2023-02-20,0.484
2023-02-21,0.484
2023-02-22,0.484
2023-02-23,0.484
2023-02-24,0.484
2023-02-27,0.484
2023-02-28,0.484
2023-03-01,0.484
2023-03-02,0.484
2023-03-03,0.484
2023-03-06,0.484
2023-03-07,0.484
2023-03-08,0.484
2023-03-09,0.484
2023-03-10,0.484
2023-03-13,0.484
2023-03-14,0.484
2023-03-15,0.484
2023-03-16,0.484
2023-03-17,0.484
2023-03-20,0.484
2023-03-21,0.484
2023-03-22,0.484
2023-03-23,0.484
2023-03-24,0.484
2023-03-27,0.484
2023-03-28,0.484
2023-03-29,0.484
2023-03-30,0.484
2023-03-31,0.484
2023-04-03,0.484
2023-04-04,0.484
2023-04-05,0.484
2023-04-06,0.484
2023-04-11,0.484
2023-04-12,0.484
