,MLCVG FP Equity_DX_SI_QTY,MLCVG FP Equity_DX_SHORT_INTEREST_VALUE,MLCVG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCVG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCVG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCVG FP Equity_DX_SI_MV,MLCVG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCVG FP Equity_DX_SUPPLY_SI_QTY,MLCVG FP Equity_DX_BROKER_SI_QTY,MLCVG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCVG FP Equity_DX_SUPPLY_SI_MV,MLCVG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCVG FP Equity_DX_UTILIZATION_QUANTITY,MLCVG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCVG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCVG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCVG FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCVG FP Equity_DX_BROKER_SI_CON_RATIO,MLCVG FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCVG FP Equity_PX_LAST
1992-11-04,,,,,,,,,,,,,,,,,,,,62.504
1992-11-05,,,,,,,,,,,,,,,,,,,,62.504
1992-11-06,,,,,,,,,,,,,,,,,,,,65.553
1992-11-24,,,,,,,,,,,,,,,,,,,,70.584
1992-12-01,,,,,,,,,,,,,,,,,,,,67.078
1992-12-02,,,,,,,,,,,,,,,,,,,,61.894
1992-12-07,,,,,,,,,,,,,,,,,,,,61.132
1992-12-08,,,,,,,,,,,,,,,,,,,,58.098
1992-12-09,,,,,,,,,,,,,,,,,,,,58.236
1992-12-10,,,,,,,,,,,,,,,,,,,,59.989
1992-12-15,,,,,,,,,,,,,,,,,,,,59.912
1992-12-16,,,,,,,,,,,,,,,,,,,,59.623
1992-12-17,,,,,,,,,,,,,,,,,,,,59.455
1992-12-18,,,,,,,,,,,,,,,,,,,,59.15
1992-12-28,,,,,,,,,,,,,,,,,,,,57.931
1992-12-30,,,,,,,,,,,,,,,,,,,,59.455
1992-12-31,,,,,,,,,,,,,,,,,,,,60.995
1993-01-04,,,,,,,,,,,,,,,,,,,,58.845
1993-01-05,,,,,,,,,,,,,,,,,,,,60.217
1993-01-11,,,,,,,,,,,,,,,,,,,,60.217
1993-01-12,,,,,,,,,,,,,,,,,,,,60.37
1993-01-13,,,,,,,,,,,,,,,,,,,,61.285
1993-01-18,,,,,,,,,,,,,,,,,,,,63.266
1993-01-20,,,,,,,,,,,,,,,,,,,,64.029
1993-01-21,,,,,,,,,,,,,,,,,,,,64.029
1993-01-22,,,,,,,,,,,,,,,,,,,,67.23
1993-01-25,,,,,,,,,,,,,,,,,,,,65.553
1993-01-26,,,,,,,,,,,,,,,,,,,,67.825
1993-02-05,,,,,,,,,,,,,,,,,,,,68.907
1993-02-12,,,,,,,,,,,,,,,,,,,,70.127
1993-02-15,,,,,,,,,,,,,,,,,,,,77.292
1993-02-18,,,,,,,,,,,,,,,,,,,,77.292
1993-02-19,,,,,,,,,,,,,,,,,,,,85.067
1993-02-22,,,,,,,,,,,,,,,,,,,,77.749
1993-02-23,,,,,,,,,,,,,,,,,,,,85.524
1993-02-24,,,,,,,,,,,,,,,,,,,,81.408
1993-03-03,,,,,,,,,,,,,,,,,,,,83.999
1993-03-04,,,,,,,,,,,,,,,,,,,,84.609
1993-03-09,,,,,,,,,,,,,,,,,,,,87.048
1993-03-11,,,,,,,,,,,,,,,,,,,,89.945
1993-03-12,,,,,,,,,,,,,,,,,,,,93.299
1993-03-15,,,,,,,,,,,,,,,,,,,,84.609
1993-03-18,,,,,,,,,,,,,,,,,,,,86.134
1993-03-19,,,,,,,,,,,,,,,,,,,,91.774
1993-03-22,,,,,,,,,,,,,,,,,,,,91.317
1993-03-31,,,,,,,,,,,,,,,,,,,,90.707
1993-04-01,,,,,,,,,,,,,,,,,,,,90.707
1993-04-02,,,,,,,,,,,,,,,,,,,,93.146
1993-04-05,,,,,,,,,,,,,,,,,,,,89.945
1993-04-13,,,,,,,,,,,,,,,,,,,,92.384
1993-04-21,,,,,,,,,,,,,,,,,,,,92.994
1993-04-22,,,,,,,,,,,,,,,,,,,,83.999
1993-04-23,,,,,,,,,,,,,,,,,,,,79.883
1993-05-04,,,,,,,,,,,,,,,,,,,,87.811
1993-05-05,,,,,,,,,,,,,,,,,,,,93.146
1993-05-10,,,,,,,,,,,,,,,,,,,,83.847
1993-05-11,,,,,,,,,,,,,,,,,,,,78.511
1993-05-13,,,,,,,,,,,,,,,,,,,,77.749
1993-05-25,,,,,,,,,,,,,,,,,,,,78.816
1993-06-04,,,,,,,,,,,,,,,,,,,,79.426
1993-06-07,,,,,,,,,,,,,,,,,,,,79.731
1993-06-08,,,,,,,,,,,,,,,,,,,,80.341
1993-06-14,,,,,,,,,,,,,,,,,,,,85.371
1993-06-22,,,,,,,,,,,,,,,,,,,,92.384
1993-06-23,,,,,,,,,,,,,,,,,,,,83.237
1993-06-28,,,,,,,,,,,,,,,,,,,,78.664
1993-06-29,,,,,,,,,,,,,,,,,,,,76.377
1993-07-15,,,,,,,,,,,,,,,,,,,,79.883
1993-07-19,,,,,,,,,,,,,,,,,,,,84.152
1993-07-23,,,,,,,,,,,,,,,,,,,,88.42
1993-07-29,,,,,,,,,,,,,,,,,,,,84.152
1993-08-04,,,,,,,,,,,,,,,,,,,,83.085
1993-08-09,,,,,,,,,,,,,,,,,,,,83.085
1993-08-10,,,,,,,,,,,,,,,,,,,,83.085
1993-08-13,,,,,,,,,,,,,,,,,,,,85.981
1993-08-17,,,,,,,,,,,,,,,,,,,,85.981
1993-08-23,,,,,,,,,,,,,,,,,,,,88.42
1993-08-25,,,,,,,,,,,,,,,,,,,,96.043
1993-08-26,,,,,,,,,,,,,,,,,,,,103.665
1993-08-27,,,,,,,,,,,,,,,,,,,,108.086
1993-09-02,,,,,,,,,,,,,,,,,,,,111.288
1993-09-03,,,,,,,,,,,,,,,,,,,,121.959
1993-09-06,,,,,,,,,,,,,,,,,,,,126.838
1993-09-07,,,,,,,,,,,,,,,,,,,,127.295
1993-09-08,,,,,,,,,,,,,,,,,,,,129.429
1993-09-09,,,,,,,,,,,,,,,,,,,,142.235
1993-09-10,,,,,,,,,,,,,,,,,,,,141.625
1993-09-13,,,,,,,,,,,,,,,,,,,,127.6
1993-09-15,,,,,,,,,,,,,,,,,,,,125.008
1993-09-16,,,,,,,,,,,,,,,,,,,,124.094
1993-09-17,,,,,,,,,,,,,,,,,,,,122.417
1993-09-20,,,,,,,,,,,,,,,,,,,,124.398
1993-09-21,,,,,,,,,,,,,,,,,,,,128.362
1993-09-22,,,,,,,,,,,,,,,,,,,,137.052
1993-09-29,,,,,,,,,,,,,,,,,,,,136.442
1993-09-30,,,,,,,,,,,,,,,,,,,,136.899
1993-10-01,,,,,,,,,,,,,,,,,,,,135.68
1993-10-04,,,,,,,,,,,,,,,,,,,,133.85
1993-10-05,,,,,,,,,,,,,,,,,,,,133.698
1993-10-06,,,,,,,,,,,,,,,,,,,,121.959
1993-10-07,,,,,,,,,,,,,,,,,,,,120.435
1993-10-20,,,,,,,,,,,,,,,,,,,,120.435
1993-10-21,,,,,,,,,,,,,,,,,,,,120.587
1993-10-25,,,,,,,,,,,,,,,,,,,,120.435
1993-11-03,,,,,,,,,,,,,,,,,,,,112.202
1993-11-04,,,,,,,,,,,,,,,,,,,,101.074
1993-11-05,,,,,,,,,,,,,,,,,,,,92.232
1993-11-08,,,,,,,,,,,,,,,,,,,,101.379
1993-11-09,,,,,,,,,,,,,,,,,,,,111.44
1993-11-10,,,,,,,,,,,,,,,,,,,,122.569
1993-11-11,,,,,,,,,,,,,,,,,,,,122.569
1993-11-12,,,,,,,,,,,,,,,,,,,,134.765
1993-11-15,,,,,,,,,,,,,,,,,,,,121.349
1993-11-23,,,,,,,,,,,,,,,,,,,,110.526
1993-11-25,,,,,,,,,,,,,,,,,,,,133.545
1993-12-02,,,,,,,,,,,,,,,,,,,,120.282
1993-12-03,,,,,,,,,,,,,,,,,,,,117.386
1993-12-06,,,,,,,,,,,,,,,,,,,,107.477
1993-12-08,,,,,,,,,,,,,,,,,,,,107.629
1993-12-10,,,,,,,,,,,,,,,,,,,,108.239
1993-12-13,,,,,,,,,,,,,,,,,,,,118.758
1993-12-20,,,,,,,,,,,,,,,,,,,,118.3
1993-12-21,,,,,,,,,,,,,,,,,,,,118.3
1993-12-27,,,,,,,,,,,,,,,,,,,,118.91
1993-12-28,,,,,,,,,,,,,,,,,,,,119.215
1993-12-29,,,,,,,,,,,,,,,,,,,,131.106
1993-12-30,,,,,,,,,,,,,,,,,,,,131.868
1994-01-04,,,,,,,,,,,,,,,,,,,,134.003
1994-01-06,,,,,,,,,,,,,,,,,,,,134.155
1994-01-10,,,,,,,,,,,,,,,,,,,,137.966
1994-01-11,,,,,,,,,,,,,,,,,,,,141.015
1994-01-12,,,,,,,,,,,,,,,,,,,,147.876
1994-01-13,,,,,,,,,,,,,,,,,,,,152.449
1994-01-14,,,,,,,,,,,,,,,,,,,,151.077
1994-01-17,,,,,,,,,,,,,,,,,,,,152.449
1994-01-18,,,,,,,,,,,,,,,,,,,,155.346
1994-01-19,,,,,,,,,,,,,,,,,,,,155.65
1994-01-20,,,,,,,,,,,,,,,,,,,,160.071
1994-01-21,,,,,,,,,,,,,,,,,,,,164.645
1994-01-26,,,,,,,,,,,,,,,,,,,,164.645
1994-01-27,,,,,,,,,,,,,,,,,,,,165.865
1994-01-28,,,,,,,,,,,,,,,,,,,,164.645
1994-02-01,,,,,,,,,,,,,,,,,,,,164.645
1994-02-02,,,,,,,,,,,,,,,,,,,,164.645
1994-02-04,,,,,,,,,,,,,,,,,,,,164.645
1994-02-07,,,,,,,,,,,,,,,,,,,,163.12
1994-02-08,,,,,,,,,,,,,,,,,,,,161.596
1994-02-09,,,,,,,,,,,,,,,,,,,,160.071
1994-02-16,,,,,,,,,,,,,,,,,,,,152.449
1994-02-24,,,,,,,,,,,,,,,,,,,,152.297
1994-03-02,,,,,,,,,,,,,,,,,,,,151.382
1994-03-09,,,,,,,,,,,,,,,,,,,,150.925
1994-03-10,,,,,,,,,,,,,,,,,,,,150.925
1994-03-14,,,,,,,,,,,,,,,,,,,,151.077
1994-03-17,,,,,,,,,,,,,,,,,,,,150.925
1994-03-30,,,,,,,,,,,,,,,,,,,,135.832
1994-03-31,,,,,,,,,,,,,,,,,,,,126.685
1994-04-05,,,,,,,,,,,,,,,,,,,,126.685
1994-04-06,,,,,,,,,,,,,,,,,,,,126.838
1994-04-26,,,,,,,,,,,,,,,,,,,,126.685
1994-05-05,,,,,,,,,,,,,,,,,,,,126.533
1994-05-06,,,,,,,,,,,,,,,,,,,,125.313
1994-05-13,,,,,,,,,,,,,,,,,,,,121.197
1994-05-18,,,,,,,,,,,,,,,,,,,,121.197
1994-05-24,,,,,,,,,,,,,,,,,,,,120.74
1994-05-26,,,,,,,,,,,,,,,,,,,,120.587
1994-05-27,,,,,,,,,,,,,,,,,,,,120.587
1994-05-31,,,,,,,,,,,,,,,,,,,,120.587
1994-06-08,,,,,,,,,,,,,,,,,,,,120.587
1994-06-10,,,,,,,,,,,,,,,,,,,,120.587
1994-06-13,,,,,,,,,,,,,,,,,,,,120.587
1994-06-16,,,,,,,,,,,,,,,,,,,,120.435
1994-06-17,,,,,,,,,,,,,,,,,,,,120.435
1994-06-20,,,,,,,,,,,,,,,,,,,,117.386
1994-06-24,,,,,,,,,,,,,,,,,,,,106.867
1994-07-06,,,,,,,,,,,,,,,,,,,,114.337
1994-08-08,,,,,,,,,,,,,,,,,,,,123.026
1994-08-10,,,,,,,,,,,,,,,,,,,,121.959
1994-08-11,,,,,,,,,,,,,,,,,,,,123.484
1994-08-17,,,,,,,,,,,,,,,,,,,,125.008
1994-08-18,,,,,,,,,,,,,,,,,,,,125.008
1994-08-23,,,,,,,,,,,,,,,,,,,,125.161
1994-08-24,,,,,,,,,,,,,,,,,,,,125.008
1994-08-25,,,,,,,,,,,,,,,,,,,,125.77
1994-08-26,,,,,,,,,,,,,,,,,,,,126.533
1994-08-29,,,,,,,,,,,,,,,,,,,,126.533
1994-08-30,,,,,,,,,,,,,,,,,,,,127.295
1994-09-02,,,,,,,,,,,,,,,,,,,,126.533
1994-09-06,,,,,,,,,,,,,,,,,,,,125.008
1994-09-07,,,,,,,,,,,,,,,,,,,,125.008
1994-09-08,,,,,,,,,,,,,,,,,,,,125.313
1994-09-12,,,,,,,,,,,,,,,,,,,,125.313
1994-09-13,,,,,,,,,,,,,,,,,,,,126.533
1994-09-14,,,,,,,,,,,,,,,,,,,,128.057
1994-09-16,,,,,,,,,,,,,,,,,,,,129.582
1994-09-21,,,,,,,,,,,,,,,,,,,,125.161
1994-09-26,,,,,,,,,,,,,,,,,,,,128.819
1994-10-06,,,,,,,,,,,,,,,,,,,,126.533
1994-10-07,,,,,,,,,,,,,,,,,,,,126.533
1994-10-12,,,,,,,,,,,,,,,,,,,,127.295
1994-10-14,,,,,,,,,,,,,,,,,,,,126.533
1994-10-17,,,,,,,,,,,,,,,,,,,,127.295
1994-10-18,,,,,,,,,,,,,,,,,,,,126.533
1994-10-21,,,,,,,,,,,,,,,,,,,,126.533
1994-10-26,,,,,,,,,,,,,,,,,,,,126.38
1994-10-27,,,,,,,,,,,,,,,,,,,,126.533
1994-10-28,,,,,,,,,,,,,,,,,,,,127.295
1994-11-04,,,,,,,,,,,,,,,,,,,,115.099
1994-11-09,,,,,,,,,,,,,,,,,,,,116.166
1994-11-14,,,,,,,,,,,,,,,,,,,,125.008
1994-11-15,,,,,,,,,,,,,,,,,,,,125.008
1994-11-16,,,,,,,,,,,,,,,,,,,,125.008
1994-11-17,,,,,,,,,,,,,,,,,,,,125.008
1994-11-18,,,,,,,,,,,,,,,,,,,,125.008
1994-11-21,,,,,,,,,,,,,,,,,,,,127.447
1994-11-22,,,,,,,,,,,,,,,,,,,,127.447
1994-11-25,,,,,,,,,,,,,,,,,,,,127.295
1994-11-28,,,,,,,,,,,,,,,,,,,,127.447
1994-11-29,,,,,,,,,,,,,,,,,,,,127.447
1994-11-30,,,,,,,,,,,,,,,,,,,,128.057
1994-12-01,,,,,,,,,,,,,,,,,,,,127.905
1994-12-02,,,,,,,,,,,,,,,,,,,,127.905
1994-12-05,,,,,,,,,,,,,,,,,,,,127.905
1994-12-06,,,,,,,,,,,,,,,,,,,,127.295
1994-12-07,,,,,,,,,,,,,,,,,,,,128.057
1994-12-08,,,,,,,,,,,,,,,,,,,,127.295
1994-12-09,,,,,,,,,,,,,,,,,,,,127.295
1994-12-12,,,,,,,,,,,,,,,,,,,,127.6
1994-12-13,,,,,,,,,,,,,,,,,,,,127.6
1994-12-14,,,,,,,,,,,,,,,,,,,,126.838
1994-12-15,,,,,,,,,,,,,,,,,,,,127.6
1994-12-16,,,,,,,,,,,,,,,,,,,,127.447
1994-12-19,,,,,,,,,,,,,,,,,,,,127.295
1994-12-20,,,,,,,,,,,,,,,,,,,,127.295
1994-12-23,,,,,,,,,,,,,,,,,,,,124.398
1994-12-26,,,,,,,,,,,,,,,,,,,,124.551
1994-12-27,,,,,,,,,,,,,,,,,,,,124.246
1994-12-29,,,,,,,,,,,,,,,,,,,,126.533
1995-01-03,,,,,,,,,,,,,,,,,,,,121.959
1995-02-15,,,,,,,,,,,,,,,,,,,,109.763
1995-02-16,,,,,,,,,,,,,,,,,,,,101.531
1995-02-17,,,,,,,,,,,,,,,,,,,,102.141
1995-02-20,,,,,,,,,,,,,,,,,,,,112.355
1995-02-21,,,,,,,,,,,,,,,,,,,,103.97
1995-02-23,,,,,,,,,,,,,,,,,,,,103.056
1995-02-28,,,,,,,,,,,,,,,,,,,,112.812
1995-03-03,,,,,,,,,,,,,,,,,,,,114.337
1995-03-23,,,,,,,,,,,,,,,,,,,,102.903
1995-03-30,,,,,,,,,,,,,,,,,,,,109.763
1995-03-31,,,,,,,,,,,,,,,,,,,,109.763
1995-04-04,,,,,,,,,,,,,,,,,,,,107.172
1995-04-07,,,,,,,,,,,,,,,,,,,,113.575
1995-04-12,,,,,,,,,,,,,,,,,,,,115.861
1995-04-13,,,,,,,,,,,,,,,,,,,,114.642
1995-05-03,,,,,,,,,,,,,,,,,,,,114.642
1995-05-04,,,,,,,,,,,,,,,,,,,,114.337
1995-05-05,,,,,,,,,,,,,,,,,,,,115.861
1995-05-19,,,,,,,,,,,,,,,,,,,,117.081
1995-05-22,,,,,,,,,,,,,,,,,,,,117.538
1995-05-23,,,,,,,,,,,,,,,,,,,,118.148
1995-05-24,,,,,,,,,,,,,,,,,,,,118.148
1995-05-29,,,,,,,,,,,,,,,,,,,,117.843
1995-05-30,,,,,,,,,,,,,,,,,,,,117.843
1995-05-31,,,,,,,,,,,,,,,,,,,,117.691
1995-06-16,,,,,,,,,,,,,,,,,,,,121.959
1995-06-19,,,,,,,,,,,,,,,,,,,,121.959
1995-06-21,,,,,,,,,,,,,,,,,,,,121.045
1995-07-11,,,,,,,,,,,,,,,,,,,,120.282
1995-07-17,,,,,,,,,,,,,,,,,,,,120.435
1995-07-20,,,,,,,,,,,,,,,,,,,,108.391
1995-09-14,,,,,,,,,,,,,,,,,,,,95.433
1995-09-15,,,,,,,,,,,,,,,,,,,,104.885
1995-09-18,,,,,,,,,,,,,,,,,,,,95.281
1995-09-20,,,,,,,,,,,,,,,,,,,,86.591
1995-09-29,,,,,,,,,,,,,,,,,,,,87.963
1995-10-06,,,,,,,,,,,,,,,,,,,,89.183
1995-10-09,,,,,,,,,,,,,,,,,,,,86.591
1995-10-10,,,,,,,,,,,,,,,,,,,,87.048
1995-10-11,,,,,,,,,,,,,,,,,,,,86.439
1995-10-12,,,,,,,,,,,,,,,,,,,,86.286
1995-10-16,,,,,,,,,,,,,,,,,,,,86.286
1995-10-18,,,,,,,,,,,,,,,,,,,,86.134
1995-10-19,,,,,,,,,,,,,,,,,,,,86.439
1995-10-20,,,,,,,,,,,,,,,,,,,,86.743
1995-10-23,,,,,,,,,,,,,,,,,,,,87.048
1995-10-24,,,,,,,,,,,,,,,,,,,,88.878
1995-10-26,,,,,,,,,,,,,,,,,,,,90.25
1995-11-02,,,,,,,,,,,,,,,,,,,,95.281
1995-11-06,,,,,,,,,,,,,,,,,,,,91.317
1995-11-08,,,,,,,,,,,,,,,,,,,,91.469
1995-11-09,,,,,,,,,,,,,,,,,,,,91.165
1995-11-10,,,,,,,,,,,,,,,,,,,,90.402
1995-11-17,,,,,,,,,,,,,,,,,,,,90.097
1995-11-22,,,,,,,,,,,,,,,,,,,,90.25
1995-11-23,,,,,,,,,,,,,,,,,,,,90.097
1995-11-28,,,,,,,,,,,,,,,,,,,,88.42
1995-11-29,,,,,,,,,,,,,,,,,,,,88.42
1995-11-30,,,,,,,,,,,,,,,,,,,,88.42
1995-12-06,,,,,,,,,,,,,,,,,,,,88.725
1995-12-11,,,,,,,,,,,,,,,,,,,,79.883
1995-12-20,,,,,,,,,,,,,,,,,,,,81.408
1995-12-22,,,,,,,,,,,,,,,,,,,,89.488
1995-12-26,,,,,,,,,,,,,,,,,,,,98.177
1996-01-02,,,,,,,,,,,,,,,,,,,,97.567
1996-01-08,,,,,,,,,,,,,,,,,,,,89.945
1996-01-10,,,,,,,,,,,,,,,,,,,,97.567
1996-01-11,,,,,,,,,,,,,,,,,,,,107.324
1996-01-12,,,,,,,,,,,,,,,,,,,,99.092
1996-01-15,,,,,,,,,,,,,,,,,,,,109.001
1996-01-16,,,,,,,,,,,,,,,,,,,,115.709
1996-01-17,,,,,,,,,,,,,,,,,,,,104.275
1996-01-18,,,,,,,,,,,,,,,,,,,,93.909
1996-01-24,,,,,,,,,,,,,,,,,,,,102.293
1996-01-29,,,,,,,,,,,,,,,,,,,,112.507
1996-01-30,,,,,,,,,,,,,,,,,,,,108.391
1996-02-01,,,,,,,,,,,,,,,,,,,,108.239
1996-02-02,,,,,,,,,,,,,,,,,,,,114.184
1996-02-05,,,,,,,,,,,,,,,,,,,,114.337
1996-02-09,,,,,,,,,,,,,,,,,,,,114.337
1996-02-13,,,,,,,,,,,,,,,,,,,,125.77
1996-02-14,,,,,,,,,,,,,,,,,,,,129.277
1996-02-16,,,,,,,,,,,,,,,,,,,,129.582
1996-02-19,,,,,,,,,,,,,,,,,,,,129.582
1996-02-29,,,,,,,,,,,,,,,,,,,,121.959
1996-03-01,,,,,,,,,,,,,,,,,,,,134.155
1996-03-04,,,,,,,,,,,,,,,,,,,,137.204
1996-03-05,,,,,,,,,,,,,,,,,,,,150.925
1996-03-06,,,,,,,,,,,,,,,,,,,,152.297
1996-03-08,,,,,,,,,,,,,,,,,,,,140.253
1996-03-11,,,,,,,,,,,,,,,,,,,,137.357
1996-03-13,,,,,,,,,,,,,,,,,,,,147.113
1996-03-26,,,,,,,,,,,,,,,,,,,,146.351
1996-03-29,,,,,,,,,,,,,,,,,,,,146.961
1996-04-02,,,,,,,,,,,,,,,,,,,,132.021
1996-04-03,,,,,,,,,,,,,,,,,,,,129.582
1996-04-04,,,,,,,,,,,,,,,,,,,,141.778
1996-04-09,,,,,,,,,,,,,,,,,,,,141.93
1996-04-11,,,,,,,,,,,,,,,,,,,,152.144
1996-04-12,,,,,,,,,,,,,,,,,,,,158.547
1996-04-15,,,,,,,,,,,,,,,,,,,,160.071
1996-04-23,,,,,,,,,,,,,,,,,,,,159.919
1996-04-25,,,,,,,,,,,,,,,,,,,,163.12
1996-04-26,,,,,,,,,,,,,,,,,,,,160.071
1996-04-29,,,,,,,,,,,,,,,,,,,,160.071
1996-04-30,,,,,,,,,,,,,,,,,,,,159.767
1996-05-06,,,,,,,,,,,,,,,,,,,,159.614
1996-05-07,,,,,,,,,,,,,,,,,,,,175.469
1996-05-09,,,,,,,,,,,,,,,,,,,,193.0
1996-05-10,,,,,,,,,,,,,,,,,,,,212.209
1996-05-13,,,,,,,,,,,,,,,,,,,,191.019
1996-05-14,,,,,,,,,,,,,,,,,,,,171.962
1996-05-15,,,,,,,,,,,,,,,,,,,,155.041
1996-05-20,,,,,,,,,,,,,,,,,,,,163.273
1996-05-23,,,,,,,,,,,,,,,,,,,,164.797
1996-05-24,,,,,,,,,,,,,,,,,,,,159.157
1996-05-28,,,,,,,,,,,,,,,,,,,,159.004
