,GAGG FP Equity_DX_SI_QTY,GAGG FP Equity_DX_SHORT_INTEREST_VALUE,GAGG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GAGG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GAGG FP Equity_DX_SI_MV,GAGG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GAGG FP Equity_DX_SUPPLY_SI_QTY,GAGG FP Equity_DX_BROKER_SI_QTY,GAGG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GAGG FP Equity_DX_BROKER_SI_QTY_ADD,GAGG FP Equity_DX_BROKER_SI_MV_ADD,GAGG FP Equity_DX_SUPPLY_SI_MV,GAGG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GAGG FP Equity_DX_UTILIZATION_QUANTITY,GAGG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GAGG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GAGG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GAGG FP Equity_DX_ACTIVE_UTILIZATION_MV,GAGG FP Equity_DX_BROKER_SI_CON_RATIO,GAGG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GAGG FP Equity_DX_DEMAND_SUPPLY_RATIO,GAGG FP Equity_PX_LAST
2017-03-29,,,,,,,,,,,,,,,,,,,,,,49.092
2017-03-30,,,,,,,,,,,,,,,,,,,,,,49.171
2017-03-31,,,,,,,,,,,,,,,,,,,,,,49.242
2017-04-03,,,,,,,,,,,,,,,,,,,,,,49.527
2017-04-04,,,,,,,,,,,,,,,,,,,,,,49.502
2017-04-05,,,,,,,,,,,,,,,,,,,,,,49.471
2017-04-06,,,,,,,,,,,,,,,,,,,,,,49.584
2017-04-07,,,,,,,,,,,,,,,,,,,,,,49.749
2017-04-10,,,,,,,,,,,,,,,,,,,,,,49.742
2017-04-11,,,,,,,,,,,,,,,,,,,,,,49.87
2017-04-12,,,,,,,,,,,,,,,,,,,,,,49.817
2017-04-13,,,,,,,,,,,,,,,,,,,,,,49.874
2017-04-18,,,,,,,,,,,,,,,,,,,,,,49.927
2017-04-19,,,,,,,,,,,,,,,,,,,,,,49.823
2017-04-20,,,,,,,,,,,,,,,,,,,,,,49.571
2017-04-21,,,,,,,,,,,,,,,,,,,,,,49.814
2017-04-24,,,,,,,,,,,,,,,,,,,,,,49.15
2017-04-25,,,,,,,,,,,,,,,,,,,,,,48.736
2017-04-26,,,,,,,,,,,,,,,,,,,,,,48.882
2017-04-27,,,,,,,,,,,,,,,,,,,,,,49.034
2017-04-28,,,,,,,,,,,,,,,,,,,,,,48.886
2017-05-02,,,,,,,,,,,,,,,,,,,,,,48.79
2017-05-03,,,,,,,,,,,,,,,,,,,,,,48.621
2017-05-04,,,,,,,,,,,,,,,,,,,,,,48.604
2017-05-05,,,,,,,,,,,,,,,,,,,,,,48.389
2017-05-08,,,,,,,,,,,,,,,,,,,,,,48.572
2017-05-09,,,,,,,,,,,,,,,,,,,,,,48.532
2017-05-10,,,,,,,,,,,,,,,,,,,,,,48.636
2017-05-11,,,,,,,,,,,,,,,,,,,,,,48.674
2017-05-12,,,,,,,,,,,,,,,,,,,,,,48.577
2017-05-15,,,,,,,,,,,,,,,,,,,,,,48.358
2017-05-16,,,,,,,,,,,,,,,,,,,,,,48.149
2017-05-17,,,,,,,,,,,,,,,,,,,,,,48.19
2017-05-18,,,,,,,,,,,,,,,,,,,,,,48.186
2017-05-19,,,,,,,,,,,,,,,,,,,,,,48.08
2017-05-22,,,,,,,,,,,,,,,,,,,,,,47.959
2017-05-23,,,,,,,,,,,,,,,,,,,,,,48.003
2017-05-24,,,,,,,,,,,,,,,,,,,,,,47.997
2017-05-25,,,,,,,,,,,,,,,,,,,,,,48.052
2017-05-26,,,,,,,,,,,,,,,,,,,,,,48.231
2017-05-29,,,,,,,,,,,,,,,,,,,,,,48.246
2017-05-30,,,,,,,,,,,,,,,,,,,,,,48.223
2017-05-31,,,,,,,,,,,,,,,,,,,,,,48.096
2017-06-01,,,,,,,,,,,,,,,,,,,,,,48.065
2017-06-02,,,,,,,,,,,,,,,,,,,,,,48.041
2017-06-05,,,,,,,,,,,,,,,,,,,,,,48.084
2017-06-06,,,,,,,,,,,,,,,,,,,,,,48.21
2017-06-07,,,,,,,,,,,,,,,,,,,,,,48.249
2017-06-08,,,,,,,,,,,,,,,,,,,,,,48.213
2017-06-09,,,,,,,,,,,,,,,,,,,,,,48.23
2017-06-12,,,,,,,,,,,,,,,,,,,,,,48.271
2017-06-13,,,,,,,,,,,,,,,,,,,,,,48.25
2017-06-14,,,,,,,,,,,,,,,,,,,,,,48.407
2017-06-15,,,,,,,,,,,,,,,,,,,,,,48.438
2017-06-16,,,,,,,,,,,,,,,,,,,,,,48.351
2017-06-19,,,,,,,,,,,,,,,,,,,,,,48.37
2017-06-20,,,,,,,,,,,,,,,,,,,,,,48.485
2017-06-21,,,,,,,,,,,,,,,,,,,,,,48.454
2017-06-22,,,,,,,,,,,,,,,,,,,,,,48.567
2017-06-23,,,,,,,,,,,,,,,,,,,,,,48.331
2017-06-26,,,,,,,,,,,,,,,,,,,,,,48.348
2017-06-27,,,,,,,,,,,,,,,,,,,,,,47.83
2017-06-28,,,,,,,,,,,,,,,,,,,,,,47.714
2017-06-29,,,,,,,,,,,,,,,,,,,,,,47.303
2017-06-30,,,,,,,,,,,,,,,,,,,,,,47.346
2017-07-03,,,,,,,,,,,,,,,,,,,,,,47.316
2017-07-04,,,,,,,,,,,,,,,,,,,,,,47.372
2017-07-05,,,,,,,,,,,,,,,,,,,,,,47.414
2017-07-06,,,,,,,,,,,,,,,,,,,,,,47.071
2017-07-07,,,,,,,,,,,,,,,,,,,,,,47.036
2017-07-10,,,,,,,,,,,,,,,,,,,,,,47.097
2017-07-11,,,,,,,,,,,,,,,,,,,,,,46.943
2017-07-12,,,,,,,,,,,,,,,,,,,,,,47.196
2017-07-13,,,,,,,,,,,,,,,,,,,,,,47.212
2017-07-14,,,,,,,,,,,,,,,,,,,,,,47.162
2017-07-17,,,,,,,,,,,,,,,,,,,,,,47.157
2017-07-18,,,,,,,,,,,,,,,,,,,,,,47.004
2017-07-19,,,,,,,,,,,,,,,,,,,,,,47.219
2017-07-20,,,,,,,,,,,,,,,,,,,,,,46.969
2017-07-21,,,,,,,,,,,,,,,,,,,,,,46.947
2017-07-24,,,,,,,,,,,,,,,,,,,,,,46.968
2017-07-25,,,,,,,,,,,,,,,,,,,,,,46.797
2017-07-26,,,,,,,,,,,,,,,,,,,,,,46.797
2017-07-27,,,,,,,,,,,,,,,,,,,,,,46.792
2017-07-28,,,,,,,,,,,,,,,,,,,,,,46.731
2017-07-31,,,,,,,,,,,,,,,,,,,,,,46.538
2017-08-01,,,,,,,,,,,,,,,,,,,,,,46.632
2017-08-02,,,,,,,,,,,,,,,,,,,,,,46.458
2017-08-03,,,,,,,,,,,,,,,,,,,,,,46.459
2017-08-04,,,,,,,,,,,,,,,,,,,,,,46.725
2017-08-07,,,,,,,,,,,,,,,,,,,,,,46.592
2017-08-08,,,,,,,,,,,,,,,,,,,,,,46.673
2017-08-09,,,,,,,,,,,,,,,,,,,,,,46.853
2017-08-10,,,,,,,,,,,,,,,,,,,,,,46.789
2017-08-11,,,,,,,,,,,,,,,,,,,,,,46.808
2017-08-14,,,,,,,,,,,,,,,,,,,,,,46.806
2017-08-15,,,,,,,,,,,,,,,,,,,,,,46.751
2017-08-16,,,,,,,,,,,,,,,,,,,,,,46.865
2017-08-17,,,,,,,,,,,,,,,,,,,,,,46.857
2017-08-18,,,,,,,,,,,,,,,,,,,,,,46.935
2017-08-21,,,,,,,,,,,,,,,,,,,,,,46.754
2017-08-22,,,,,,,,,,,,,,,,,,,,,,46.84
2017-08-23,,,,,,,,,,,,,,,,,,,,,,46.735
2017-08-24,,,,,,,,,,,,,,,,,,,,,,46.743
2017-08-25,,,,,,,,,,,,,,,,,,,,,,46.583
2017-08-28,,,,,,,,,,,,,,,,,,,,,,46.397
2017-08-29,,,,,,,,,,,,,,,,,,,,,,46.323
2017-08-30,,,,,,,,,,,,,,,,,,,,,,46.497
2017-08-31,,,,,,,,,,,,,,,,,,,,,,46.632
2017-09-01,,,,,,,,,,,,,,,,,,,,,,46.639
2017-09-04,,,,,,,,,,,,,,,,,,,,,,46.558
2017-09-05,,,,,,,,,,,,,,,,,,,,,,46.751
2017-09-06,,,,,,,,,,,,,,,,,,,,,,46.576
2017-09-07,,,,,,,,,,,,,,,,,,,,,,46.484
2017-09-08,,,,,,,,,,,,,,,,,,,,,,46.482
2017-09-11,,,,,,,,,,,,,,,,,,,,,,46.455
2017-09-12,,,,,,,,,,,,,,,,,,,,,,46.313
2017-09-13,,,,,,,,,,,,,,,,,,,,,,46.544
2017-09-14,,,,,,,,,,,,,,,,,,,,,,46.581
2017-09-15,,,,,,,,,,,,,,,,,,,,,,46.339
2017-09-18,,,,,,,,,,,,,,,,,,,,,,46.279
2017-09-19,,,,,,,,,,,,,,,,,,,,,,46.229
2017-09-20,,,,,,,,,,,,,,,,,,,,,,46.155
2017-09-21,,,,,,,,,,,,,,,,,,,,,,46.239
2017-09-22,,,,,,,,,,,,,,,,,,,,,,46.227
2017-09-25,,,,,,,,,,,,,,,,,,,,,,46.578
2017-09-26,,,,,,,,,,,,,,,,,,,,,,46.749
2017-09-27,,,,,,,,,,,,,,,,,,,,,,46.622
2017-09-28,,,,,,,,,,,,,,,,,,,,,,46.605
2017-09-29,,,,,,,,,,,,,,,,,,,,,,46.497
2017-10-02,,,,,,,,,,,,,,,,,,,,,,46.655
2017-10-03,,,,,,,,,,,,,,,,,,,,,,46.575
2017-10-04,,,,,,,,,,,,,,,,,,,,,,46.623
2017-10-05,,,,,,,,,,,,,,,,,,,,,,46.7
2017-10-06,,,,,,,,,,,,,,,,,,,,,,46.617
2017-10-09,,,,,,,,,,,,,,,,,,,,,,46.606
2017-10-10,,,,,,,,,,,,,,,,,,,,,,46.498
2017-10-11,,,,,,,,,,,,,,,,,,,,,,46.357
2017-10-12,,,,,,,,,,,,,,,,,,,,,,46.241
2017-10-13,,,,,,,,,,,,,,,,,,,,,,46.552
2017-10-16,,,,,,,,,,,,,,,,,,,,,,46.656
2017-10-17,,,,,,,,,,,,,,,,,,,,,,46.773
2017-10-18,,,,,,,,,,,,,,,,,,,,,,46.607
2017-10-19,,,,,,,,,,,,,,,,,,,,,,46.524
2017-10-20,,,,,,,,,,,,,,,,,,,,,,46.409
2017-10-23,,,,,,,,,,,,,,,,,,,,,,46.536
2017-10-24,,,,,,,,,,,,,,,,,,,,,,46.369
2017-10-25,,,,,,,,,,,,,,,,,,,,,,46.22
2017-10-26,,,,,,,,,,,,,,,,,,,,,,46.546
2017-10-27,,,,,,,,,,,,,,,,,,,,,,46.95
2017-10-30,,,,,,,,,,,,,,,,,,,,,,47.007
2017-10-31,,,,,,,,,,,,,,,,,,,,,,47.052
2017-11-01,,,,,,,,,,,,,,,,,,,,,,47.082
2017-11-02,,,,,,,,,,,,,,,,,,,,,,46.795
2017-11-03,,,,,,,,,,,,,,,,,,,,,,46.992
2017-11-06,,,,,,,,,,,,,,,,,,,,,,47.081
2017-11-07,,,,,,,,,,,,,,,,,,,,,,47.288
2017-11-08,,,,,,,,,,,,,,,,,,,,,,47.279
2017-11-09,,,,,,,,,,,,,,,,,,,,,,46.98
2017-11-10,,,,,,,,,,,,,,,,,,,,,,46.832
2017-11-13,,,,,,,,,,,,,,,,,,,,,,46.836
2017-11-14,,,,,,,,,,,,,,,,,,,,,,46.533
2017-11-15,,,,,,,,,,,,,,,,,,,,,,46.53
2017-11-16,,,,,,,,,,,,,,,,,,,,,,46.648
2017-11-17,,,,,,,,,,,,,,,,,,,,,,46.668
2017-11-20,,,,,,,,,,,,,,,,,,,,,,46.785
2017-11-21,,,,,,,,,,,,,,,,,,,,,,46.839
2017-11-22,,,,,,,,,,,,,,,,,,,,,,46.815
2017-11-23,,,,,,,,,,,,,,,,,,,,,,46.733
2017-11-24,,,,,,,,,,,,,,,,,,,,,,46.401
2017-11-27,,,,,,,,,,,,,,,,,,,,,,46.519
2017-11-28,,,,,,,,,,,,,,,,,,,,,,46.611
2017-11-29,,,,,,,,,,,,,,,,,,,,,,46.547
2017-11-30,,,,,,,,,,,,,,,,,,,,,,46.393
2017-12-01,,,,,,,,,,,,,,,,,,,,,,46.543
2017-12-04,,,,,,,,,,,,,,,,,,,,,,46.55
2017-12-05,,,,,,,,,,,,,,,,,,,,,,46.663
2017-12-06,,,,,,,,,,,,,,,,,,,,,,46.874
2017-12-07,,,,,,,,,,,,,,,,,,,,,,46.808
2017-12-08,,,,,,,,,,,,,,,,,,,,,,46.802
2017-12-11,,,,,,,,,,,,,,,,,,,,,,46.693
2017-12-12,,,,,,,,,,,,,,,,,,,,,,46.84
2017-12-13,,,,,,,,,,,,,,,,,,,,,,46.776
2017-12-14,,,,,,,,,,,,,,,,,,,,,,46.827
2017-12-15,,,,,,,,,,,,,,,,,,,,,,46.86
2017-12-18,,,,,,,,,,,,,,,,,,,,,,46.871
2017-12-19,,,,,,,,,,,,,,,,,,,,,,46.618
2017-12-20,,,,,,,,,,,,,,,,,,,,,,46.328
2017-12-21,,,,,,,,,,,,,,,,,,,,,,46.348
2017-12-22,,,,,,,,,,,,,,,,,,,,,,46.45
2017-12-27,,,,,,,,,,,,,,,,,,,,,,46.442
2017-12-28,,,,,,,,,,,,,,,,,,,,,,46.3
2017-12-29,,,,,,,,,,,,,,,,,,,,,,46.17
2018-01-02,,,,,,,,,,,,,,,,,,,,,,46.016
2018-01-03,,,,,,,,,,,,,,,,,,,,,,46.108
2018-01-04,,,,,,,,,,,,,,,,,,,,,,45.951
2018-01-05,,,,,,,,,,,,,,,,,,,,,,46.024
2018-01-08,,,,,,,,,,,,,,,,,,,,,,46.192
2018-01-09,,,,,,,,,,,,,,,,,,,,,,46.281
2018-01-10,,,,,,,,,,,,,,,,,,,,,,46.161
2018-01-11,,,,,,,,,,,,,,,,,,,,,,45.945
2018-01-12,,,,,,,,,,,,,,,,,,,,,,45.904
2018-01-15,,,,,,,,,,,,,,,,,,,,,,45.67
2018-01-16,,,,,,,,,,,,,,,,,,,,,,45.698
2018-01-17,,,,,,,,,,,,,,,,,,,,,,45.755
2018-01-18,,,,,,,,,,,,,,,,,,,,,,45.676
2018-01-19,,,,,,,,,,,,,,,,,,,,,,45.561
2018-01-22,,,,,,,,,,,,,,,,,,,,,,45.517
2018-01-23,,,,,,,,,,,,,,,,,,,,,,45.501
2018-01-24,,,,,,,,,,,,,,,,,,,,,,45.299
2018-01-25,,,,,,,,,,,,,,,,,,,,,,45.082
2018-01-26,,,,,,,,,,,,,,,,,,,,,,45.263
2018-01-29,,,,,,,,,,,,,,,,,,,,,,45.289
2018-01-30,,,,,,,,,,,,,,,,,,,,,,45.203
2018-01-31,,,,,,,,,,,,,,,,,,,,,,45.05
2018-02-01,,,,,,,,,,,,,,,,,,,,,,44.928
2018-02-02,,,,,,,,,,,,,,,,,,,,,,44.792
2018-02-05,,,,,,,,,,,,,,,,,,,,,,44.849
2018-02-06,,,,,,,,,,,,,,,,,,,,,,45.166
2018-02-07,,,,,,,,,,,,,,,,,,,,,,45.33
2018-02-08,,,,,,,,,,,,,,,,,,,,,,45.278
2018-02-09,,,,,,,,,,,,,,,,,,,,,,45.32
2018-02-12,,,,,,,,,,,,,,,,,,,,,,45.228
2018-02-13,,,,,,,,,,,,,,,,,,,,,,45.058
2018-02-14,,,,,,,,,,,,,,,,,,,,,,44.942
2018-02-15,,,,,,,,,,,,,,,,,,,,,,44.815
2018-02-16,,,,,,,,,,,,,,,,,,,,,,45.036
2018-02-19,,,,,,,,,,,,,,,,,,,,,,45.046
2018-02-20,,,,,,,,,,,,,,,,,,,,,,45.08
2018-02-21,,,,,,,,,,,,,,,,,,,,,,45.161
2018-02-22,,,,,,,,,,,,,,,,,,,,,,45.183
2018-02-23,,,,,,,,,,,,,,,,,,,,,,45.34
2018-02-26,,,,,,,,,,,,,,,,,,,,,,45.317
2018-02-27,,,,,,,,,,,,,,,,,,,,,,45.355
2018-02-28,,,,,,,,,,,,,,,,,,,,,,45.472
2018-03-01,,,,,,,,,,,,,,,,,,,,,,45.547
2018-03-02,,,,,,,,,,,,,,,,,,,,,,45.316
2018-03-05,,,,,,,,,,,,,,,,,,,,,,45.254
2018-03-06,,,,,,,,,,,,,,,,,,,,,,45.051
2018-03-07,,,,,,,,,,,,,,,,,,,,,,45.116
2018-03-08,,,,,,,,,,,,,,,,,,,,,,45.321
2018-03-09,,,,,,,,,,,,,,,,,,,,,,45.242
2018-03-12,,,,,,,,,,,,,,,,,,,,,,45.327
2018-03-13,,,,,,,,,,,,,,,,,,,,,,45.163
2018-03-14,,,,,,,,,,,,,,,,,,,,,,45.315
2018-03-15,,,,,,,,,,,,,,,,,,,,,,45.445
2018-03-16,,,,,,,,,,,,,,,,,,,,,,45.512
2018-03-19,,,,,,,,,,,,,,,,,,,,,,45.459
2018-03-20,,,,,,,,,,,,,,,,,,,,,,45.525
2018-03-21,,,,,,,,,,,,,,,,,,,,,,45.496
2018-03-22,,,,,,,,,,,,,,,,,,,,,,45.548
2018-03-23,,,,,,,,,,,,,,,,,,,,,,45.524
2018-03-26,,,,,,,,,,,,,,,,,,,,,,45.31
2018-03-27,,,,,,,,,,,,,,,,,,,,,,45.371
2018-03-28,,,,,,,,,,,,,,,,,,,,,,45.574
2018-03-29,,,,,,,,,,,,,,,,,,,,,,45.706
2018-04-03,,,,,,,,,,,,,,,,,,,,,,45.749
2018-04-04,,,,,,,,,,,,,,,,,,,,,,45.658
2018-04-05,,,,,,,,,,,,,,,,,,,,,,45.706
2018-04-06,,,,,,,,,,,,,,,,,,,,,,45.697
2018-04-09,,,,,,,,,,,,,,,,,,,,,,45.559
2018-04-10,,,,,,,,,,,,,,,,,,,,,,45.525
2018-04-11,,,,,,,,,,,,,,,,,,,,,,45.502
2018-04-12,,,,,,,,,,,,,,,,,,,,,,45.553
2018-04-13,,,,,,,,,,,,,,,,,,,,,,45.543
2018-04-16,,,,,,,,,,,,,,,,,,,,,,45.415
2018-04-17,,,,,,,,,,,,,,,,,,,,,,45.521
2018-04-18,,,,,,,,,,,,,,,,,,,,,,45.396
2018-04-19,,,,,,,,,,,,,,,,,,,,,,45.307
2018-04-20,,,,,,,,,,,,,,,,,,,,,,45.41
2018-04-23,,,,,,,,,,,,,,,,,,,,,,45.374
2018-04-24,,,,,,,,,,,,,,,,,,,,,,45.324
2018-04-25,,,,,,,,,,,,,,,,,,,,,,45.35
2018-04-26,,,,,,,,,,,,,,,,,,,,,,45.612
2018-04-27,,,,,,,,,,,,,,,,,,,,,,45.679
2018-04-30,,,,,,,,,,,,,,,,,,,,,,45.777
2018-05-02,,,,,,,,,,,,,,,,,,,,,,45.91
2018-05-03,,,,,,,,,,,,,,,,,,,,,,46.096
2018-05-04,,,,,,,,,,,,,,,,,,,,,,46.086
2018-05-07,,,,,,,,,,,,,,,,,,,,,,46.15
2018-05-08,,,,,,,,,,,,,,,,,,,,,,46.208
2018-05-09,,,,,,,,,,,,,,,,,,,,,,46.189
2018-05-10,,,,,,,,,,,,,,,,,,,,,,46.138
2018-05-11,,,,,,,,,,,,,,,,,,,,,,46.076
2018-05-14,,,,,,,,,,,,,,,,,,,,,,45.878
2018-05-15,,,,,,,,,,,,,,,,,,,,,,45.995
2018-05-16,,,,,,,,,,,,,,,,,,,,,,46.006
2018-05-17,,,,,,,,,,,,,,,,,,,,,,46.075
2018-05-18,,,,,,,,,,,,,,,,,,,,,,46.201
2018-05-21,,,,,,,,,,,,,,,,,,,,,,46.202
2018-05-22,,,,,,,,,,,,,,,,,,,,,,46.131
2018-05-23,,,,,,,,,,,,,,,,,,,,,,46.495
2018-05-24,,,,,,,,,,,,,,,,,,,,,,46.591
2018-05-25,,,,,,,,,,,,,,,,,,,,,,46.819
2018-05-28,,,,,,,,,,,,,,,,,,,,,,46.921
2018-05-29,,,,,,,,,,,,,,,,,,,,,,47.184
2018-05-30,,,,,,,,,,,,,,,,,,,,,,46.849
2018-05-31,,,,,,,,,,,,,,,,,,,,,,46.961
2018-06-01,,,,,,,,,,,,,,,,,,,,,,46.863
2018-06-04,,,,,,,,,,,,,,,,,,,,,,46.775
2018-06-05,,,,,,,,,,,,,,,,,,,,,,46.814
2018-06-06,,,,,,,,,,,,,,,,,,,,,,46.418
2018-06-07,,,,,,,,,,,,,,,,,,,,,,46.208
2018-06-08,,,,,,,,,,,,,,,,,,,,,,46.418
2018-06-11,,,,,,,,,,,,,,,,,,,,,,46.249
2018-06-12,,,,,,,,,,,,,,,,,,,,,,46.281
2018-06-13,,,,,,,,,,,,,,,,,,,,,,46.347
2018-06-14,,,,,,,,,,,,,,,,,,,,,,46.779
2018-06-15,,,,,,,,,,,,,,,,,,,,,,46.869
2018-06-18,,,,,,,,,,,,,,,,,,,,,,46.894
2018-06-19,,,,,,,,,,,,,,,,,,,,,,47.031
2018-06-20,,,,,,,,,,,,,,,,,,,,,,46.96
2018-06-21,,,,,,,,,,,,,,,,,,,,,,46.892
2018-06-22,,,,,,,,,,,,,,,,,,,,,,46.861
2018-06-25,,,,,,,,,,,,,,,,,,,,,,46.759
2018-06-26,,,,,,,,,,,,,,,,,,,,,,46.728
2018-06-27,,,,,,,,,,,,,,,,,,,,,,46.96
2018-06-28,,,,,,,,,,,,,,,,,,,,,,47.021
2018-06-29,,,,,,,,,,,,,,,,,,,,,,46.761
2018-07-02,,,,,,,,,,,,,,,,,,,,,,46.957
2018-07-03,,,,,,,,,,,,,,,,,,,,,,46.897
2018-07-04,,,,,,,,,,,,,,,,,,,,,,46.948
2018-07-05,,,,,,,,,,,,,,,,,,,,,,46.784
2018-07-06,,,,,,,,,,,,,,,,,,,,,,46.676
2018-07-09,,,,,,,,,,,,,,,,,,,,,,46.655
2018-07-10,,,,,,,,,,,,,,,,,,,,,,46.657
2018-07-11,,,,,,,,,,,,,,,,,,,,,,46.653
2018-07-12,,,,,,,,,,,,,,,,,,,,,,46.715
2018-07-13,,,,,,,,,,,,,,,,,,,,,,46.789
2018-07-16,,,,,,,,,,,,,,,,,,,,,,46.657
2018-07-17,,,,,,,,,,,,,,,,,,,,,,46.718
2018-07-18,,,,,,,,,,,,,,,,,,,,,,46.814
2018-07-19,,,,,,,,,,,,,,,,,,,,,,46.927
2018-07-20,,,,,,,,,,,,,,,,,,,,,,46.678
2018-07-23,,,,,,,,,,,,,,,,,,,,,,46.568
2018-07-24,,,,,,,,,,,,,,,,,,,,,,46.608
2018-07-25,,,,,,,,,,,,,,,,,,,,,,46.765
2018-07-26,,,,,,,,,,,,,,,,,,,,,,46.736
2018-07-27,,,,,,,,,,,,,,,,,,,,,,46.772
2018-07-30,,,,,,,,,,,,,,,,,,,,,,46.51
2018-07-31,,,,,,,,,,,,,,,,,,,,,,46.582
2018-08-01,,,,,,,,,,,,,,,,,,,,,,46.56
2018-08-02,,,,,,,,,,,,,,,,,,,,,,46.743
2018-08-03,,,,,,,,,,,,,,,,,,,,,,46.863
2018-08-06,,,,,,,,,,,,,,,,,,,,,,46.981
2018-08-07,,,,,,,,,,,,,,,,,,,,,,46.893
2018-08-08,,,,,,,,,,,,,,,,,,,,,,46.822
2018-08-09,,,,,,,,,,,,,,,,,,,,,,46.976
2018-08-10,,,,,,,,,,,,,,,,,,,,,,47.548
