,WLN FP Equity_DX_SI_QTY,WLN FP Equity_DX_SHORT_INTEREST_VALUE,WLN FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,WLN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WLN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WLN FP Equity_DX_SI_MV,WLN FP Equity_DX_DSS,WLN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WLN FP Equity_DX_SUPPLY_SI_QTY,WLN FP Equity_DX_BROKER_SI_QTY,WLN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WLN FP Equity_DX_BROKER_SI_MV_NEW_x,WLN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,WLN FP Equity_DX_SUPPLY_SI_QTY_INC_x,WLN FP Equity_DX_BROKER_SI_MV_INC_x,WLN FP Equity_DX_SUPPLY_SI_MV_NEW,WLN FP Equity_DX_BROKER_SI_QTY_ADD,WLN FP Equity_DX_BROKER_SI_QTY_NEW,WLN FP Equity_DX_SUPPLY_SI_MV_DEC,WLN FP Equity_DX_BROKER_SI_QTY_INC,WLN FP Equity_DX_SUPPLY_SI_QTY_DEC,WLN FP Equity_DX_BROKER_SI_MV_NEW_y,WLN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,WLN FP Equity_DX_BROKER_SI_MV_INC_y,WLN FP Equity_DX_SUPPLY_SI_QTY_INC_y,WLN FP Equity_DX_BROKER_SI_MV_ADD,WLN FP Equity_DX_SUPPLY_SI_QTY_ADD,WLN FP Equity_DX_BROKER_SI_QTY_DEC,WLN FP Equity_DX_SUPPLY_SI_MV,WLN FP Equity_DX_BROKER_SI_MV_DEC,WLN FP Equity_DX_SUPPLY_SI_MV_RMV,WLN FP Equity_DX_BROKER_SI_MV_RMV,WLN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WLN FP Equity_DX_UTILIZATION_QUANTITY,WLN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WLN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WLN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,WLN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WLN FP Equity_DX_ACTIVE_UTILIZATION_MV,WLN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WLN FP Equity_DX_BROKER_SI_CON_RATIO,WLN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WLN FP Equity_DX_DEMAND_SUPPLY_RATIO,WLN FP Equity_PX_LAST
2014-07-11,78652.0,1288319.76,0.22,0.52,0.06,1.29,0.0,1288319.76,78652.0,78652.0,1288319.76,,,,,,71707.0,,,,,,,,,1.18,71707.0,,1.29,,,,0.52,0.52,14952027.0,244914202.26,,244.72,0.52,8.82,0.8392,91.18,0.0052,16.38
2014-07-14,78652.0,1285960.2,0.22,0.52,0.06,1.29,0.0,1285960.2,78652.0,78652.0,1285960.2,,,,,,,,,,,,,,,,,,1.28,,,,0.46,0.46,17078712.0,279236941.2,,279.37,0.46,8.82,0.8391,91.18,0.0046,16.35
2014-07-15,78652.0,1279668.04,0.22,0.51,0.06,1.29,0.0,1279668.04,78652.0,78652.0,1279668.04,,,,,,,,,,,,,,,,,,1.29,,,,0.45,0.45,17421980.0,283455614.6,,284.44,0.45,8.86,0.8385,91.14,0.0045,16.27
2014-07-16,78652.0,1289892.8,0.22,0.51,0.06,1.28,0.0,1289892.8,78652.0,78652.0,1289892.8,,,,,,,,,,,,,,,,,,1.28,,,,0.45,0.45,17365980.0,284802072.0,,283.72,0.45,8.85,0.8386,91.15,0.0045,16.4
2014-07-17,88652.0,1442368.04,0.25,0.57,0.07,1.45,0.0,1279668.04,88652.0,78652.0,1442368.04,,,,,,,,,,,,,,,,10000.0,,1.45,,,,0.51,0.51,17345166.0,282205850.82,,283.31,0.51,8.83,0.839,91.17,0.0051,16.27
2014-07-18,98652.0,1569553.32,0.28,0.63,0.07,1.6,0.0,1410453.32,88652.0,88652.0,1410453.32,,,,,,10000.0,,,,,,,,,0.16,,,1.44,,,,0.51,0.51,17345166.0,275961591.06,,277.68,0.51,11.06,0.6759,81.09,0.0057,15.91
2014-07-21,108652.0,1702576.84,0.31,0.69,0.08,1.75,0.0,1545876.84,88652.0,98652.0,1389176.84,,,,,,10000.0,,,,,,,,,0.16,,,1.41,,,,0.51,0.51,17361522.0,272055049.74,,275.35,0.51,9.99,0.5608,73.24,0.0062,15.67
2014-07-22,36945.0,594814.5,0.11,0.23,0.03,0.58,0.0,433814.5,16945.0,26945.0,272814.5,,,,,,,,1.14,,71707.0,,,,,,,71707.0,0.27,1.17,,,0.1,0.1,17433228.0,280674970.8,,277.59,0.1,36.7,0.3424,37.71,0.0021,16.1
2014-07-23,39269.0,640084.7,0.11,0.25,0.03,0.63,0.0,477084.7,21945.0,29269.0,357703.5,,,5000.0,0.04,,,,,2324.0,,,,0.04,5000.0,,,,0.35,,,,16.5,0.13,111055.0,1810196.5,,1.79,16.5,34.02,0.3338,34.44,0.0023,16.3
2014-07-24,39269.0,640870.08,0.11,0.24,0.03,0.64,0.0,477670.08,19269.0,29269.0,314470.08,,,,,,,,0.04,,2676.0,,,,,,,,0.31,,,,14.49,0.11,113731.0,1856089.92,,1.83,14.57,34.16,0.3338,34.2,0.0023,16.32
2014-07-25,39269.0,644011.6,0.11,0.24,0.03,0.64,0.0,480011.6,19269.0,29269.0,316011.6,,,,,,,,,,,,,,,,,,0.31,,,,14.49,0.11,113731.0,1865188.4,,1.86,14.49,34.09,0.3338,34.25,0.0023,16.4
2014-07-28,41251.0,676516.4,0.12,0.25,0.03,0.68,0.0,512516.4,19269.0,31251.0,316011.6,,,,0.03,,,,,1982.0,,,,0.03,,,,,0.32,,,,0.11,0.11,17413424.0,285580153.6,,285.32,0.11,31.99,0.3344,36.03,0.0024,16.4
2014-07-29,41251.0,688891.7,0.12,0.25,0.03,0.68,0.0,521891.7,21251.0,31251.0,354891.7,,,,,,,,0.13,,8018.0,,,,,,10000.0,,0.35,,,,0.12,0.12,17411444.0,290771114.8,,287.44,0.12,32.39,0.3343,35.8,0.0024,16.7
2014-07-30,41251.0,689716.72,0.12,0.25,0.03,0.69,0.0,522516.72,21251.0,31251.0,355316.72,,,,,,,,,,,,,,,,,,0.35,,,,0.12,0.12,17463252.0,291985573.44,,290.87,0.12,32.04,0.3344,35.96,0.0024,16.72
2014-07-31,105851.0,1808993.59,0.3,0.63,0.08,1.8,0.0,1638093.59,85851.0,95851.0,1467193.59,,,,1.11,,,,,64600.0,,,,1.11,,,64600.0,,1.41,,,,0.53,0.53,15987900.0,273233211.0,,269.0,0.52,16.27,0.5766,73.46,0.0066,17.09
2014-08-01,105851.0,1770887.23,0.3,0.62,0.08,1.78,0.0,1603587.23,85851.0,95851.0,1436287.23,,,,,,,,,,,,,,,,,,1.46,,,,0.53,0.53,16041726.0,268378075.98,,271.57,0.53,16.76,0.5667,72.61,0.0066,16.73
2014-08-04,105851.0,1749717.03,0.3,0.59,0.08,1.76,0.0,1584417.03,85851.0,95851.0,1419117.03,,,,,,,,,,,,,,,,,,1.43,,,,0.53,0.53,16047127.0,265259009.31,,266.79,0.53,16.7,0.5688,72.79,0.0066,16.53
2014-08-05,134798.0,2221471.04,0.38,0.74,0.1,2.23,0.0,1694111.04,116049.0,102798.0,1912487.52,,,32000.0,0.12,,,,0.03,6947.0,1802.0,,,0.12,32000.0,,,,1.93,,,,0.72,0.72,16043528.0,264397341.44,,264.98,0.72,22.49,0.5198,67.81,0.0083,16.48
2014-08-06,155553.0,2555735.79,0.44,0.86,0.12,2.56,0.0,2194275.79,113553.0,133553.0,1865675.79,,,,,,30755.0,,0.19,,11251.0,,,,,0.51,8755.0,,1.87,,,,0.7,0.7,16172343.0,265711595.49,,266.03,0.7,23.17,0.3617,52.28,0.0096,16.43
2014-08-07,143397.0,2337371.1,0.41,0.79,0.11,2.35,0.0,1978771.1,111397.0,121397.0,1815771.1,,,,,,,,0.04,,2156.0,,,,,,,12156.0,1.83,0.21,,,0.68,0.68,16186949.0,263847268.7,,264.87,0.69,25.58,0.3426,49.12,0.0088,16.3
2014-08-08,143397.0,2308691.7,0.41,0.79,0.11,2.32,0.0,1954491.7,111397.0,121397.0,1793491.7,,,,,,,,,,,,,,,,,,1.81,,,,0.68,0.68,16187622.0,260620714.2,,262.54,0.68,25.49,0.3424,49.13,0.0088,16.1
2014-08-11,133397.0,2147691.7,0.38,2.11,0.1,2.15,0.0,1793491.7,91397.0,111397.0,1471491.7,,,,,,,,0.33,,20000.0,,,,,,,10000.0,1.47,0.16,,,0.56,0.56,16207622.0,260942714.2,,261.04,0.56,27.63,0.4004,53.82,0.0082,16.1
2014-08-12,135074.0,2182795.84,0.39,2.3,0.1,2.18,0.0,1827275.84,113974.0,113074.0,1841819.84,,,,0.03,,,,0.01,1677.0,642.0,,,0.03,,,23219.0,,1.84,,,,0.7,0.7,16185045.0,261550327.2,,260.92,0.7,27.22,0.3946,53.07,0.0083,16.16
2014-08-13,118803.0,1919856.48,0.34,2.09,0.09,1.91,0.0,1819438.24,97288.0,112589.0,1572174.08,,,,,,,,0.27,,16686.0,,,,,,,485.0,1.57,0.01,,,0.6,0.6,16201731.0,261819972.96,,262.04,0.59,27.46,0.3958,53.19,0.0073,16.16
2014-08-14,27282.0,440877.12,0.08,0.55,0.02,0.44,0.0,440877.12,21834.0,27282.0,352837.44,,,,,,,,1.21,,75454.0,,,,,,,85307.0,0.35,1.37,,,0.13,0.13,16277185.0,263039309.6,,263.23,0.13,22.78,0.6481,77.22,0.0017,16.16
2014-08-15,32689.0,532176.92,0.09,0.75,0.02,0.53,0.0,438843.68,26801.0,26956.0,436320.28,,,,,,,,0.01,,766.0,,,,,,5733.0,326.0,0.43,0.01,,,0.16,0.16,16272218.0,264911709.04,,263.7,0.16,23.05,0.6453,76.95,0.002,16.28
2014-08-18,32208.0,520481.28,0.09,0.8,0.02,0.53,0.0,427836.0,26475.0,26475.0,427836.0,,,,,,,,0.0,,326.0,,,,,,,481.0,0.43,0.01,,,0.16,0.16,16272544.0,262964311.04,,263.29,0.16,21.46,0.6629,78.54,0.002,16.16
2014-08-19,29384.0,473670.08,0.08,0.73,0.02,0.47,0.0,381254.12,23651.0,23651.0,381254.12,,,,,,,,0.05,,2824.0,,,,,,,2824.0,0.38,0.05,,,0.15,0.15,16275368.0,262358932.16,,262.84,0.15,24.37,0.6314,75.63,0.0018,16.12
2014-08-20,29384.0,472200.88,0.08,0.81,0.02,0.48,0.0,380071.57,23651.0,23651.0,380071.57,,,,,,,,,,,,,,,,,,0.38,,,,0.15,0.15,16275368.0,261545163.76,,262.43,0.15,24.38,0.6313,75.62,0.0018,16.07
2014-08-21,29384.0,472200.88,0.08,0.81,0.02,0.47,0.0,380071.57,23651.0,23651.0,380071.57,,,,,,,,,,,,,,,,,,0.38,,,,0.15,0.15,16275368.0,261545163.76,,261.81,0.14,24.49,0.6301,75.51,0.0018,16.07
2014-08-22,33651.0,543800.16,0.1,0.97,0.03,0.54,0.0,382200.16,27918.0,23651.0,451154.88,,,4267.0,,,,,,,,,,,4267.0,,,,0.45,,,,0.17,0.17,16271101.0,262940992.16,,262.31,0.17,24.48,0.6303,75.52,0.0021,16.16
2014-08-25,37918.0,621855.2,0.11,1.11,0.03,0.61,0.0,457855.2,27918.0,27918.0,457855.2,,,,0.07,,,,,4267.0,,,,0.07,,,,,0.45,,,,0.17,0.17,16271101.0,266846056.4,,264.9,0.17,35.71,0.5408,64.29,0.0023,16.4
2014-08-26,37918.0,625647.0,0.11,1.11,0.03,0.62,0.0,460647.0,27918.0,27918.0,460647.0,,,,,,,,,,,,,,,,,,0.46,,,,0.17,0.17,16271101.0,268473166.5,,267.42,0.17,35.53,0.5419,64.47,0.0023,16.5
2014-08-27,37918.0,624509.46,0.11,1.11,0.03,0.62,0.0,459809.46,27918.0,27918.0,459809.46,,,,,,,,,,,,,,,,,,0.46,,,,0.17,0.17,16262589.0,267844840.83,,267.62,0.17,35.32,0.5431,64.68,0.0023,16.47
2014-08-28,37918.0,613892.42,0.11,1.16,0.03,0.62,0.0,451992.42,27918.0,27918.0,451992.42,,,,,,,,,,,,,,,,,,0.46,,,,0.17,0.17,16262589.0,263291315.91,,265.34,0.17,35.36,0.5428,64.64,0.0023,16.19
2014-08-29,39350.0,637470.0,0.11,1.2,0.03,0.64,0.0,475470.0,29350.0,29350.0,475470.0,,,,0.02,,,,0.06,1432.0,3568.0,,,0.02,,,5000.0,,0.48,,,,2.63,0.18,1087650.0,17619930.0,,17.66,2.63,34.05,0.5509,65.95,0.0024,16.2
2014-09-01,36349.0,587036.35,0.1,1.11,0.03,0.59,0.0,475779.0,26239.0,29460.0,423759.85,,,,,,110.0,,0.05,,3111.0,,,,,0.0,,,0.43,,,,2.36,0.16,1087650.0,17565547.5,,17.67,2.35,33.98,0.5465,65.65,0.0022,16.15
2014-09-02,33062.0,536596.26,0.09,1.08,0.03,0.53,0.0,427644.27,26063.0,26349.0,423002.49,,,,,,,,0.02,,1176.0,,,,,,1000.0,3111.0,0.42,0.05,,,1.01,0.16,2560285.0,41553425.55,,41.39,1.01,25.4,0.5636,70.55,0.002,16.23
2014-09-03,32399.0,536203.45,0.09,1.03,0.02,0.53,0.0,425103.3,26063.0,25686.0,431342.65,,,,,,,,,,,,,,,,,663.0,0.42,0.01,,,1.01,0.16,2560285.0,42372716.75,,41.63,1.01,25.81,0.5583,70.02,0.002,16.55
2014-09-04,35486.0,585519.0,0.1,1.13,0.03,0.59,0.0,404019.0,29687.0,24486.0,489835.5,,,4287.0,,,,,0.01,,663.0,,,,4287.0,,,1200.0,0.49,0.01,,,0.18,0.18,16250049.0,268125808.5,,268.89,0.18,22.23,0.5901,73.42,0.0022,16.5
2014-09-05,38206.0,629634.88,0.11,1.27,0.03,0.63,0.0,448354.88,28263.0,27206.0,465774.24,,,,0.07,,,,0.02,4287.0,1424.0,,,0.07,,,,1567.0,0.47,0.03,,,0.17,0.17,16215662.0,267234109.76,,267.57,0.17,35.41,0.4948,60.68,0.0024,16.48
2014-09-08,38206.0,622757.8,0.11,1.33,0.03,0.63,0.0,443457.8,28096.0,27206.0,457964.8,,,,,,,,0.0,,167.0,,,,,,,,0.46,,,,0.17,0.17,16213256.0,264276072.8,,265.89,0.17,35.7,0.4934,60.39,0.0024,16.3
2014-09-09,65527.0,1066779.56,0.19,2.28,0.05,1.08,0.0,887699.56,55417.0,54527.0,902188.76,,,,,,27321.0,,,,,,,,,0.45,27321.0,,0.9,,,,0.34,0.34,16185935.0,263507021.8,,263.79,0.34,30.47,0.3708,49.51,0.004,16.28
2014-09-10,65527.0,1066779.56,0.19,2.42,0.05,1.07,0.0,887699.56,55417.0,54527.0,902188.76,,,,,,,,,,,,,,,,,,0.9,,,,0.34,0.34,16215935.0,263995421.8,,264.93,0.34,30.85,0.3686,49.0,0.004,16.28
2014-09-11,65527.0,1073332.26,0.19,2.34,0.05,1.07,0.0,893152.26,55417.0,54527.0,907730.46,,,,,,,,,,,,,,,,,,0.91,,,,0.34,0.34,16215935.0,265617015.3,,265.97,0.34,30.76,0.3687,49.06,0.004,16.38
2014-09-12,37478.0,613140.08,0.11,1.47,0.03,0.61,0.0,449540.08,27368.0,27478.0,447740.48,,,,,,,,0.46,,28049.0,,,,,,,27049.0,0.45,0.44,,,0.17,0.17,16243984.0,265751578.24,,266.05,0.17,36.53,0.5189,62.08,0.0023,16.36
2014-09-15,28730.0,470022.8,0.08,1.75,0.02,0.47,0.0,470022.8,18622.0,28730.0,304655.92,,,1254.0,,,1254.0,,0.16,,10000.0,,,,1254.0,0.02,,2.0,0.3,0.0,,,1.9,0.11,960616.0,15715677.76,,15.71,1.9,34.97,0.4767,59.36,0.0018,16.36
2014-09-16,28406.0,460177.2,0.08,1.79,0.02,0.46,0.0,268677.0,17425.0,16585.0,282285.0,,,,,,,,0.02,,1197.0,,,,,,,12145.0,0.28,0.2,,,1.78,0.11,961813.0,15581370.6,,15.7,1.78,4.38,0.8733,93.33,0.0017,16.2
2014-09-17,16585.0,265360.0,0.05,1.05,0.01,0.27,0.0,265360.0,16475.0,16585.0,263600.0,,,,,,,,0.02,,950.0,,,,,,,,0.27,,,,0.1,0.1,16273817.0,260381072.0,,263.38,0.1,7.55,0.8189,90.16,0.001,16.0
2014-09-18,16585.0,263701.5,0.05,1.08,0.01,0.27,0.0,263701.5,16475.0,16585.0,261952.5,,,,,,,,,,,,,,,,,,0.26,,,,0.1,0.1,16273817.0,258753690.3,,260.41,0.1,7.56,0.8186,90.14,0.001,15.9
2014-09-19,15180.0,242880.0,0.04,0.89,0.01,0.24,0.0,242880.0,15070.0,15180.0,241120.0,,,,,,,,0.02,,1405.0,,,,,,,1405.0,0.24,0.03,,,0.09,0.09,16275222.0,260403552.0,,260.57,0.09,8.33,0.8018,89.13,0.0009,16.0
2014-09-22,14360.0,230765.2,0.04,0.77,0.01,0.23,0.0,230765.2,14250.0,14360.0,228997.5,,,,,,,,0.01,,820.0,,,,,,,820.0,0.23,0.01,,,0.09,0.09,16276042.0,261555994.94,,261.34,0.09,8.7,0.7936,88.63,0.0009,16.07
2014-09-23,114360.0,1829760.0,0.33,6.09,0.09,1.83,0.0,229760.0,114250.0,14360.0,1828000.0,,,,,,,,,,,,,,,,100000.0,,1.83,,,,9.63,0.7,1071778.0,17148448.0,,17.19,9.64,11.16,0.7767,87.41,0.007,16.0
2014-09-24,124632.0,1981648.8,0.36,6.52,0.09,1.99,0.0,1818324.0,114250.0,114360.0,1816575.0,,,,,,100000.0,,,,,,,,,1.6,,,1.84,,,,9.63,0.7,1071778.0,17041270.2,,17.25,9.63,18.25,0.6769,80.22,0.0076,15.9
2014-09-25,124632.0,1967939.28,0.36,6.57,0.09,1.98,0.0,1805744.4,114250.0,114360.0,1804007.5,,,,,,,,,,,,,,,,,,1.82,,,,9.63,0.7,1071778.0,16923374.62,,17.09,9.63,18.24,0.677,80.23,0.0076,15.79
2014-09-26,124632.0,1975417.2,0.36,6.46,0.09,1.97,0.0,1812606.0,114250.0,114360.0,1810862.5,,,,,,,,,,,,,,,,,,1.81,,,,9.63,0.7,1071778.0,16987681.3,,17.0,9.63,18.24,0.677,80.22,0.0077,15.85
2014-09-29,114360.0,1795452.0,0.33,5.93,0.09,1.81,0.0,1795452.0,114250.0,114360.0,1793725.0,,,,,,,,,,,,,,,,,,1.81,,,,9.63,0.7,1071778.0,16826914.6,,16.99,9.64,11.12,0.7773,87.45,0.007,15.7
2014-09-30,124632.0,1994112.0,0.36,6.01,0.09,1.96,0.0,1829760.0,114250.0,114360.0,1828000.0,,,,,,,,,,,,,,,,,,1.8,,,,9.63,0.7,1071778.0,17148448.0,,16.91,9.62,18.25,0.6767,80.2,0.0077,16.0
2014-10-01,114360.0,1829760.0,0.33,5.22,0.09,1.83,0.0,1829760.0,114250.0,114360.0,1828000.0,,,,,,,,,,,,,,,,,,1.83,,,,9.63,0.7,1071778.0,17148448.0,,17.16,9.63,11.11,0.7774,87.46,0.007,16.0
2014-10-02,212913.0,3385316.7,0.61,8.79,0.16,3.4,0.0,1795316.7,114195.0,112913.0,1815700.5,,,,,,,,0.0,,55.0,,,,,,,1447.0,1.82,0.02,,,9.63,0.7,1071833.0,17042144.7,,17.05,9.63,5.3,0.8856,93.96,0.0131,15.9
2014-10-03,212913.0,3432157.56,0.61,8.66,0.16,3.4,0.0,1820157.56,112803.0,112913.0,1818384.36,,,,,,,,0.02,,1392.0,,,,,,,,1.81,,,,9.52,0.69,1071833.0,17277947.96,,17.23,9.51,5.3,0.8856,93.95,0.0131,16.12
2014-10-06,112443.0,1787843.7,0.32,4.32,0.09,1.81,0.0,1787843.7,12333.0,112443.0,196094.7,,,,,,,,1.61,,100470.0,,,,,,,470.0,0.2,0.01,,,0.08,0.08,16289088.0,258996499.2,,260.57,0.08,9.63,0.8011,88.98,0.0069,15.9
2014-10-07,12443.0,196226.11,0.04,0.48,0.01,0.2,0.0,196226.11,12333.0,12443.0,194491.41,,,,,,,,,,,,,,,,,100000.0,0.2,1.61,,,0.08,0.08,16289088.0,256878917.76,,258.47,0.08,10.01,0.7739,87.38,0.0008,15.77
2014-10-08,12443.0,194110.8,0.04,0.45,0.01,0.2,0.0,194110.8,12333.0,12443.0,192394.8,,,,,,,,,,,,,,,,,,0.19,,,,0.08,0.08,16293588.0,254179972.8,,256.35,0.08,10.02,0.7738,87.37,0.0008,15.6
2014-10-09,12443.0,192244.35,0.04,0.46,0.01,0.19,0.0,172870.05,12333.0,11189.0,190544.85,,,,,,,,,,,,,,,,,1254.0,0.19,0.02,,,1.26,0.08,963417.0,14884792.65,,15.02,1.26,10.07,0.7728,87.31,0.0008,15.45
2014-10-10,11189.0,172981.94,0.03,0.37,0.01,0.17,0.0,172981.94,11079.0,11189.0,171281.34,,,,,,,,0.02,,1254.0,,,,,,,,0.17,,,,0.07,0.07,16312565.0,252192254.9,,253.97,0.07,1.95,0.9428,97.07,0.0007,15.46
2014-10-13,11189.0,172086.82,0.03,0.35,0.01,0.17,0.0,172086.82,11079.0,11189.0,170395.02,,,,,,,,,,,,,,,,,,0.17,,,,0.07,0.07,16361321.0,251637116.98,,253.36,0.07,1.95,0.9426,97.06,0.0007,15.38
2014-10-14,20791.0,319973.49,0.06,0.64,0.02,0.32,0.0,162733.86,11079.0,10574.0,170505.81,,,,,,,,,,,,,,,,,615.0,0.17,0.01,,,0.07,0.07,16365599.0,251866568.61,,253.76,0.07,2.1,0.9486,97.37,0.0013,15.39
2014-10-15,10574.0,160724.8,0.03,0.28,0.01,0.16,0.0,160724.8,10464.0,10574.0,159052.8,,,,,,,,0.01,,615.0,,,,,,,,0.16,,,,0.06,0.06,16554391.0,251626743.2,,254.48,0.06,2.04,0.9399,96.92,0.0006,15.2
2014-10-16,9844.0,149038.16,0.03,0.26,0.01,0.15,0.0,149038.16,9734.0,9844.0,147372.76,,,,,,,,0.01,,730.0,,,,,,,730.0,0.15,0.01,,,0.06,0.06,16633084.0,251824891.76,,254.33,0.06,2.18,0.9359,96.71,0.0006,15.14
2014-10-17,8650.0,132345.0,0.02,0.23,0.01,0.13,0.0,132345.0,8540.0,8650.0,130662.0,,,,,,,,0.02,,1194.0,,,,,,,1194.0,0.13,0.02,,,0.05,0.05,16761484.0,256450705.2,,255.01,0.05,1.28,0.95,97.45,0.0005,15.3
2014-10-20,8650.0,131912.5,0.02,0.22,0.01,0.13,0.0,131912.5,8540.0,8650.0,130235.0,,,,,,,,,,,,,,,,,,0.13,,,,0.05,0.05,16766717.0,255692434.25,,255.77,0.05,1.27,0.9502,97.46,0.0005,15.25
