,C40 FP Equity_DX_DSS,C40 FP Equity_PX_LAST
2005-12-30,,47.15
2006-01-02,,47.6
2006-01-03,,47.8
2006-01-04,,48.46
2006-01-05,,48.44
2006-01-06,,48.66
2006-01-09,,48.88
2006-01-10,,48.75
2006-01-11,,48.84
2006-01-12,,48.92
2006-01-13,,48.65
2006-01-16,,48.7
2006-01-17,,48.25
2006-01-18,,48.01
2006-01-19,,48.36
2006-01-20,,48.05
2006-01-23,,47.42
2006-01-24,,47.55
2006-01-25,,47.83
2006-01-26,,48.69
2006-01-27,,49.6
2006-01-30,,49.57
2006-01-31,,49.5
2006-02-01,,50.0
2006-02-02,,49.43
2006-02-03,,49.26
2006-02-06,,49.47
2006-02-07,,49.4
2006-02-08,,48.98
2006-02-09,,49.64
2006-02-10,,49.2
2006-02-13,,49.34
2006-02-14,,49.63
2006-02-15,,49.45
2006-02-16,,49.66
2006-02-17,,49.95
2006-02-20,,49.82
2006-02-21,,50.04
2006-02-22,,50.4
2006-02-23,,50.38
2006-02-24,,50.75
2006-02-27,,50.75
2006-02-28,,50.15
2006-03-01,,50.63
2006-03-02,,50.16
2006-03-03,,49.99
2006-03-06,,50.25
2006-03-07,,49.83
2006-03-08,,49.7
2006-03-09,,50.06
2006-03-10,,50.75
2006-03-13,,51.22
2006-03-14,,51.3
2006-03-15,,51.3
2006-03-16,,51.37
2006-03-17,,51.46
2006-03-20,,51.49
2006-03-21,,51.6
2006-03-22,,52.04
2006-03-23,,51.9
2006-03-24,,52.25
2006-03-27,,51.73
2006-03-28,,51.56
2006-03-29,,51.78
2006-03-30,,52.5
2006-03-31,,52.3
2006-04-03,,52.46
2006-04-04,,52.22
2006-04-05,,52.3
2006-04-06,,52.17
2006-04-07,,51.76
2006-04-10,,51.9
2006-04-11,,51.2
2006-04-12,,51.03
2006-04-13,,51.13
2006-04-18,,51.07
2006-04-19,,51.63
2006-04-20,,51.99
2006-04-21,,52.47
2006-04-24,,52.37
2006-04-25,,52.56
2006-04-26,,52.5
2006-04-27,,52.04
2006-04-28,,51.96
2006-05-02,,52.5
2006-05-03,,52.15
2006-05-04,,52.54
2006-05-05,,53.02
2006-05-08,,53.1
2006-05-09,,53.38
2006-05-10,,53.3
2006-05-11,,53.39
2006-05-12,,52.1
2006-05-15,,51.5
2006-05-16,,51.34
2006-05-17,,50.04
2006-05-18,,49.6
2006-05-19,,49.71
2006-05-22,,49.38
2006-05-23,,50.28
2006-05-24,,49.5
2006-05-25,,50.02
2006-05-26,,51.39
2006-05-29,,50.97
2006-05-30,,49.8
2006-05-31,,50.27
2006-06-01,,50.32
2006-06-02,,51.17
2006-06-05,,50.32
2006-06-06,,49.18
2006-06-07,,49.5
2006-06-08,,47.96
2006-06-09,,48.95
2006-06-12,,48.5
2006-06-13,,47.47
2006-06-14,,47.14
2006-06-15,,48.4
2006-06-16,,48.16
2006-06-19,,49.0
2006-06-20,,48.66
2006-06-21,,48.83
2006-06-22,,49.35
2006-06-23,,49.25
2006-06-26,,49.44
2006-06-27,,49.18
2006-06-28,,49.11
2006-06-29,,50.0
2006-06-30,,50.95
2006-07-03,,51.07
2006-07-04,,51.01
2006-07-05,,50.73
2006-07-06,,50.87
2006-07-07,,50.8
2006-07-10,,51.05
2006-07-11,,50.89
2006-07-12,,51.05
2006-07-13,,49.72
2006-07-14,,49.45
2006-07-17,,48.75
2006-07-18,,48.53
2006-07-19,,48.73
2006-07-20,,49.91
2006-07-21,,49.38
2006-07-24,,50.33
2006-07-25,,50.76
2006-07-26,,50.79
2006-07-27,,51.3
2006-07-28,,51.5
2006-07-31,,51.41
2006-08-01,,50.82
2006-08-02,,51.5
2006-08-03,,51.5
2006-08-04,,51.59
2006-08-07,,51.0
2006-08-08,,50.96
2006-08-09,,51.6
2006-08-10,,50.62
2006-08-11,,51.06
2006-08-14,,51.52
2006-08-15,,52.47
2006-08-16,,51.48
2006-08-17,,51.55
2006-08-18,,51.52
2006-08-21,,51.19
2006-08-22,,51.38
2006-08-23,,50.9
2006-08-24,,51.28
2006-08-25,,51.2
2006-08-28,,51.65
2006-08-29,,51.61
2006-08-30,,52.03
2006-08-31,,51.75
2006-09-01,,51.91
2006-09-04,,52.16
2006-09-05,,51.76
2006-09-06,,51.17
2006-09-07,,50.5
2006-09-08,,50.8
2006-09-11,,50.4
2006-09-12,,51.24
2006-09-13,,51.34
2006-09-14,,51.35
2006-09-15,,51.77
2006-09-18,,51.61
2006-09-19,,51.44
2006-09-20,,51.97
2006-09-21,,52.25
2006-09-22,,51.67
2006-09-25,,51.45
2006-09-26,,52.22
2006-09-27,,52.51
2006-09-28,,52.65
2006-09-29,,52.68
2006-10-02,,52.5
2006-10-03,,52.11
2006-10-04,,52.57
2006-10-05,,52.92
2006-10-06,,52.9
2006-10-09,,52.88
2006-10-10,,53.1
2006-10-11,,53.2
2006-10-12,,53.69
2006-10-13,,53.67
2006-10-16,,53.62
2006-10-17,,53.11
2006-10-18,,53.58
2006-10-19,,53.74
2006-10-20,,53.77
2006-10-23,,54.16
2006-10-24,,54.05
2006-10-25,,54.23
2006-10-26,,54.4
2006-10-27,,53.79
2006-10-30,,53.5
2006-10-31,,53.54
2006-11-01,,53.69
2006-11-02,,53.1
2006-11-03,,53.4
2006-11-06,,53.99
2006-11-07,,54.39
2006-11-08,,54.41
2006-11-09,,54.47
2006-11-10,,54.48
2006-11-13,,54.92
2006-11-14,,54.7
2006-11-15,,55.1
2006-11-16,,54.95
2006-11-17,,54.51
2006-11-20,,54.7
2006-11-21,,54.84
2006-11-22,,54.6
2006-11-23,,54.31
2006-11-24,,54.03
2006-11-27,,53.64
2006-11-28,,52.99
2006-11-29,,53.86
2006-11-30,,53.46
2006-12-01,,52.77
2006-12-04,,53.15
2006-12-05,,53.9
2006-12-06,,53.69
2006-12-07,,54.07
2006-12-08,,53.77
2006-12-11,,54.44
2006-12-12,,54.39
2006-12-13,,54.89
2006-12-14,,55.3
2006-12-15,,55.6
2006-12-18,,55.6
2006-12-19,,55.06
2006-12-20,,55.32
2006-12-21,,55.22
2006-12-22,,54.76
2006-12-27,,55.41
2006-12-28,,55.65
2006-12-29,,55.62
2007-01-02,,56.35
2007-01-03,,56.28
2007-01-04,,55.92
2007-01-05,,55.47
2007-01-08,,55.39
2007-01-09,,55.6
2007-01-10,,55.25
2007-01-11,,56.25
2007-01-12,,56.4
2007-01-15,,56.48
2007-01-16,,56.09
2007-01-17,,55.76
2007-01-18,,55.82
2007-01-19,,56.13
2007-01-22,,56.09
2007-01-23,,55.92
2007-01-24,,56.3
2007-01-25,,56.1
2007-01-26,,56.06
2007-01-29,,56.4
2007-01-30,,56.5
2007-01-31,,56.35
2007-02-01,,56.77
2007-02-02,,56.95
2007-02-05,,57.06
2007-02-06,,57.06
2007-02-07,,57.24
2007-02-08,,56.92
2007-02-09,,57.12
2007-02-12,,56.47
2007-02-13,,56.81
2007-02-14,,57.3
2007-02-15,,57.3
2007-02-16,,57.33
2007-02-19,,57.48
2007-02-20,,57.0
2007-02-21,,57.0
2007-02-22,,57.39
2007-02-23,,57.2
2007-02-26,,57.72
2007-02-27,,55.99
2007-02-28,,55.55
2007-03-01,,54.33
2007-03-02,,54.5
2007-03-05,,54.13
2007-03-06,,54.42
2007-03-07,,54.65
2007-03-08,,55.27
2007-03-09,,55.41
2007-03-12,,55.13
2007-03-13,,54.5
2007-03-14,,53.28
2007-03-15,,53.87
2007-03-16,,53.86
2007-03-19,,54.61
2007-03-20,,55.15
2007-03-21,,55.19
2007-03-22,,56.13
2007-03-23,,56.5
2007-03-26,,56.0
2007-03-27,,56.03
2007-03-28,,55.5
2007-03-29,,56.36
2007-03-30,,56.8
2007-04-02,,56.6
2007-04-03,,57.22
2007-04-04,,57.49
2007-04-05,,57.6
2007-04-10,,57.74
2007-04-11,,57.76
2007-04-12,,57.36
2007-04-13,,57.96
2007-04-16,,58.63
2007-04-17,,58.6
2007-04-18,,58.52
2007-04-19,,58.16
2007-04-20,,59.47
2007-04-23,,59.35
2007-04-24,,58.88
2007-04-25,,59.57
2007-04-26,,59.64
2007-04-27,,59.45
2007-04-30,,59.87
2007-05-02,,60.18
2007-05-03,,60.35
2007-05-04,0.0,61.1
2007-05-07,0.0,61.17
2007-05-08,0.0,60.74
2007-05-09,0.0,60.91
2007-05-10,0.0,60.89
2007-05-11,0.0,60.9
2007-05-14,0.0,60.9
2007-05-15,0.0,61.05
2007-05-16,0.0,61.0
2007-05-17,0.0,60.73
2007-05-18,0.0,61.8
2007-05-21,0.0,61.99
2007-05-22,0.0,62.02
2007-05-23,,62.11
2007-05-24,,62.1
2007-05-25,,61.61
2007-05-28,,61.93
2007-05-29,,61.84
2007-05-30,,61.55
2007-05-31,,62.29
2007-06-01,,62.8
2007-06-04,,62.6
2007-06-05,,61.98
2007-06-06,,61.2
2007-06-07,,60.54
2007-06-08,,60.52
2007-06-11,,60.85
2007-06-12,,60.8
2007-06-13,,60.92
2007-06-14,,61.87
2007-06-15,,62.59
2007-06-18,,62.51
2007-06-19,,62.24
2007-06-20,0.0,62.46
2007-06-21,0.0,61.93
2007-06-22,0.0,61.82
2007-06-25,0.0,61.58
2007-06-26,0.0,61.15
2007-06-27,0.0,60.75
2007-06-28,0.0,61.41
2007-06-29,0.0,61.99
2007-07-02,0.0,61.82
2007-07-03,0.0,62.4
2007-07-04,0.0,62.47
2007-07-05,0.0,62.16
2007-07-06,0.0,62.56
2007-07-09,0.0,62.66
2007-07-10,0.0,61.82
2007-07-11,0.0,61.7
2007-07-12,0.0,62.49
2007-07-13,0.0,62.93
2007-07-16,0.0,62.86
2007-07-17,0.0,62.45
2007-07-18,0.0,61.75
2007-07-19,0.0,62.29
2007-07-20,0.0,61.17
2007-07-23,0.0,61.27
2007-07-24,0.0,60.79
2007-07-25,0.0,59.86
2007-07-26,0.0,58.5
2007-07-27,0.0,58.07
2007-07-30,0.0,58.02
2007-07-31,0.0,59.12
2007-08-01,0.0,58.02
2007-08-02,0.0,58.2
2007-08-03,0.0,57.6
2007-08-06,0.0,56.84
2007-08-07,,56.11
2007-08-08,,57.39
2007-08-09,,56.15
2007-08-10,,54.37
2007-08-13,,55.42
2007-08-14,,54.64
2007-08-15,,54.12
2007-08-16,,52.65
2007-08-17,,53.75
2007-08-20,,53.99
2007-08-21,,54.08
2007-08-22,,55.15
2007-08-23,,55.25
2007-08-24,,55.64
2007-08-27,,55.98
2007-08-28,,54.69
2007-08-29,0.0,55.28
2007-08-30,0.0,55.67
2007-08-31,0.0,56.38
2007-09-03,0.0,56.5
2007-09-04,0.0,56.71
2007-09-05,0.0,55.5
2007-09-06,0.0,55.6
2007-09-07,0.0,54.38
2007-09-10,0.0,53.8
2007-09-11,,54.8
2007-09-12,,55.03
2007-09-13,,55.7
2007-09-14,,55.5
2007-09-17,,54.33
2007-09-18,,55.54
2007-09-19,,57.2
2007-09-20,,56.84
2007-09-21,,56.96
2007-09-24,,56.78
2007-09-25,,56.62
2007-09-26,0.0,56.92
2007-09-27,0.0,57.39
2007-09-28,0.0,56.86
2007-10-01,0.0,57.4
2007-10-02,0.0,57.93
2007-10-03,0.0,57.87
2007-10-04,0.0,58.15
2007-10-05,0.0,58.3
2007-10-08,0.0,58.21
2007-10-09,0.0,58.6
2007-10-10,0.0,58.34
2007-10-11,0.0,58.66
2007-10-12,,57.75
2007-10-15,0.0,57.92
2007-10-16,0.0,57.45
2007-10-17,0.0,58.2
2007-10-18,0.0,57.73
2007-10-19,0.0,57.26
2007-10-22,0.0,56.53
2007-10-23,0.0,57.0
2007-10-24,,56.53
2007-10-25,,57.42
2007-10-26,,58.06
2007-10-29,,58.39
2007-10-30,,58.0
2007-10-31,,58.43
2007-11-01,,57.22
2007-11-02,,57.19
2007-11-05,,56.73
2007-11-06,,57.22
2007-11-07,,56.7
2007-11-08,,56.2
2007-11-09,,55.02
2007-11-12,,55.26
2007-11-13,,55.33
2007-11-14,,56.06
2007-11-15,,55.26
2007-11-16,,55.29
2007-11-19,,54.46
2007-11-20,,54.94
2007-11-21,,53.92
2007-11-22,,54.23
2007-11-23,,55.0
2007-11-26,,54.79
2007-11-27,,54.0
2007-11-28,,55.62
2007-11-29,,55.82
2007-11-30,,56.6
2007-12-03,,56.34
2007-12-04,,55.64
2007-12-05,,56.46
2007-12-06,,56.76
2007-12-07,,57.23
2007-12-10,,57.74
2007-12-11,,57.28
2007-12-12,,57.53
2007-12-13,,56.03
2007-12-14,,55.78
2007-12-17,,55.28
2007-12-18,,55.42
2007-12-19,,55.43
2007-12-20,,55.42
2007-12-21,,56.0
2007-12-24,,56.17
2007-12-27,,56.29
2007-12-28,,56.41
2007-12-31,,56.12
2008-01-02,,55.68
2008-01-03,,55.6
2008-01-04,,54.62
2008-01-07,,54.6
2008-01-08,,55.05
2008-01-09,,54.43
2008-01-10,,53.98
2008-01-11,,53.65
2008-01-14,,54.26
2008-01-15,,52.63
2008-01-16,,52.32
2008-01-17,,52.0
2008-01-18,,50.9
2008-01-21,,47.59
2008-01-22,,48.98
2008-01-23,,46.64
2008-01-24,,49.03
2008-01-25,,48.73
2008-01-28,,48.24
2008-01-29,,49.06
2008-01-30,,48.76
2008-01-31,0.0,48.13
2008-02-01,0.0,49.67
2008-02-04,0.0,49.83
2008-02-05,1.0,47.97
2008-02-06,1.0,48.15
2008-02-07,1.0,47.38
2008-02-08,1.0,47.33
2008-02-11,1.0,46.88
2008-02-12,1.0,48.22
2008-02-13,1.0,48.55
2008-02-14,1.0,48.5
2008-02-15,1.0,47.71
2008-02-18,1.0,48.77
2008-02-19,1.0,49.08
2008-02-20,1.0,48.21
2008-02-21,1.0,48.59
2008-02-22,1.0,48.04
2008-02-25,1.0,49.23
2008-02-26,1.0,49.73
2008-02-27,1.0,49.65
2008-02-28,1.0,48.76
2008-02-29,1.0,47.82
2008-03-03,1.0,47.48
2008-03-04,1.0,46.79
2008-03-05,1.0,47.62
2008-03-06,1.0,46.86
2008-03-07,1.0,46.29
2008-03-10,2.0,45.75
2008-03-11,2.0,46.33
2008-03-12,2.0,46.91
2008-03-13,2.0,46.23
2008-03-14,2.0,45.93
2008-03-17,2.0,44.87
2008-03-18,2.0,45.86
2008-03-19,2.0,45.62
2008-03-20,2.0,45.28
2008-03-21,2.0,
2008-03-24,2.0,
2008-03-25,2.0,46.82
2008-03-26,2.0,46.75
2008-03-27,1.0,47.06
2008-03-28,1.0,47.02
2008-03-31,1.0,47.1
2008-04-01,1.0,48.68
2008-04-02,1.0,49.09
2008-04-03,1.0,48.95
2008-04-04,1.0,49.15
2008-04-07,1.0,49.46
2008-04-08,1.0,49.06
2008-04-09,,49.0
2008-04-10,,48.6
2008-04-11,,48.0
2008-04-14,,47.8
2008-04-15,,47.83
2008-04-16,,48.61
2008-04-17,,48.68
2008-04-18,,49.84
2008-04-21,,49.15
2008-04-22,,48.75
2008-04-23,,49.39
2008-04-24,,49.3
2008-04-25,,49.7
2008-04-28,,50.54
2008-04-29,,50.13
2008-04-30,,50.31
2008-05-02,,51.02
2008-05-05,,50.86
2008-05-06,,50.45
2008-05-07,,51.12
2008-05-08,,50.61
2008-05-09,,50.13
2008-05-12,,50.3
2008-05-13,,50.44
2008-05-14,,51.25
2008-05-15,,50.98
2008-05-16,,51.42
2008-05-19,,52.06
2008-05-20,,51.4
2008-05-21,,51.26
2008-05-22,,51.36
2008-05-23,,50.42
2008-05-26,,50.61
2008-05-27,,50.48
2008-05-28,,51.0
2008-05-29,,51.28
2008-05-30,,51.48
2008-06-02,,50.71
2008-06-03,,51.18
2008-06-04,,50.51
2008-06-05,,50.43
2008-06-06,,49.75
2008-06-09,,49.53
2008-06-10,,49.03
2008-06-11,,48.12
2008-06-12,,48.17
2008-06-13,,48.28
2008-06-16,,47.7
2008-06-17,,48.44
2008-06-18,,47.55
2008-06-19,,47.58
2008-06-20,,46.27
2008-06-23,,46.56
2008-06-24,0.0,46.23
2008-06-25,0.0,46.66
2008-06-26,0.0,45.73
2008-06-27,0.0,45.42
2008-06-30,0.0,45.51
2008-07-01,0.0,44.64
2008-07-02,0.0,44.4
2008-07-03,0.0,44.8
2008-07-04,0.0,44.03
2008-07-07,0.0,44.74
2008-07-08,0.0,44.0
2008-07-09,0.0,44.59
2008-07-10,0.0,43.6
2008-07-11,0.0,42.39
2008-07-14,0.0,42.76
2008-07-15,0.0,41.91
2008-07-16,0.0,42.3
2008-07-17,0.0,43.3
2008-07-18,0.0,44.26
2008-07-21,0.0,44.59
2008-07-22,0.0,44.62
2008-07-23,0.0,45.39
2008-07-24,0.0,44.87
2008-07-25,0.0,45.07
2008-07-28,0.0,44.69
2008-07-29,0.0,44.65
2008-07-30,,45.36
2008-07-31,,45.29
2008-08-01,,44.37
2008-08-04,,44.05
2008-08-05,,43.91
2008-08-06,,44.48
2008-08-07,,44.64
2008-08-08,,44.86
2008-08-11,,45.31
2008-08-12,,45.02
2008-08-13,,44.0
2008-08-14,,43.9
2008-08-15,,44.48
2008-08-18,,44.46
2008-08-19,,43.42
2008-08-20,,43.56
2008-08-21,,43.15
2008-08-22,,43.76
2008-08-25,,43.55
2008-08-26,,43.79
2008-08-27,,43.84
2008-08-28,,44.69
2008-08-29,,44.89
2008-09-01,,44.74
2008-09-02,,45.39
2008-09-03,,44.49
2008-09-04,,43.07
2008-09-05,,41.91
2008-09-08,,43.33
2008-09-09,,43.11
2008-09-10,,43.0
2008-09-11,,42.14
2008-09-12,,42.86
2008-09-15,,41.7
2008-09-16,,40.96
2008-09-17,,39.91
2008-09-18,,39.4
2008-09-19,,43.34
2008-09-22,,42.59
2008-09-23,,41.37
2008-09-24,,41.31
2008-09-25,,42.36
2008-09-26,,41.88
2008-09-29,,39.73
2008-09-30,,40.46
2008-10-01,,40.45
2008-10-02,,39.87
2008-10-03,,40.99
2008-10-06,,37.52
2008-10-07,,37.44
2008-10-08,,35.17
2008-10-09,,34.1
2008-10-10,,31.47
2008-10-13,,35.37
2008-10-14,,36.31
2008-10-15,,33.88
2008-10-16,,31.66
2008-10-17,,33.35
2008-10-20,,34.51
2008-10-21,,34.82
2008-10-22,,33.13
2008-10-23,,33.39
2008-10-24,,32.385
2008-10-27,,30.65
2008-10-28,,30.88
2008-10-29,,34.07
2008-10-30,,33.79
2008-10-31,,34.6
2008-11-03,,35.19
2008-11-04,,36.84
2008-11-05,,36.235
2008-11-06,,33.87
2008-11-07,,34.925
2008-11-10,,35.15
2008-11-11,,33.575
2008-11-12,,32.4
2008-11-13,,32.67
2008-11-14,,32.97
2008-11-17,,32.135
2008-11-18,,32.275
2008-11-19,,31.065
2008-11-20,,29.98
2008-11-21,,28.965
2008-11-24,,31.815
2008-11-25,,32.29
2008-11-26,,32.235
2008-11-27,,32.735
2008-11-28,,32.87
2008-12-01,,31.0
2008-12-02,,31.785
2008-12-03,,32.0
2008-12-04,,31.985
2008-12-05,,30.085
2008-12-08,,32.625
2008-12-09,,33.5
2008-12-10,,33.375
2008-12-11,,33.64
2008-12-12,,32.34
2008-12-15,,32.0
2008-12-16,,32.575
2008-12-17,,32.775
2008-12-18,,32.385
2008-12-19,,32.395
2008-12-22,,31.72
2008-12-23,,32.04
2008-12-24,,31.5
2008-12-29,,31.4
2008-12-30,,32.095
2009-01-02,,33.56
2009-01-05,,33.815
2009-01-06,,34.28
2009-01-07,,33.61
2009-01-08,,33.63
2009-01-09,,33.22
2009-01-12,,32.775
2009-01-13,,32.1
2009-01-14,,30.73
2009-01-15,,30.215
2009-01-16,,30.57
2009-01-19,,29.94
2009-01-20,,29.425
2009-01-21,,29.2
2009-01-22,,28.795
2009-01-23,,28.795
2009-01-26,,29.7
2009-01-27,,29.515
2009-01-28,,30.94
2009-01-29,,30.455
2009-01-30,,29.885
2009-02-02,,29.43
2009-02-03,,30.02
2009-02-04,,30.84
2009-02-05,,30.9
2009-02-06,,31.49
2009-02-09,,31.63
2009-02-10,,30.27
2009-02-11,,30.42
2009-02-12,,29.825
2009-02-13,,30.23
2009-02-16,,30.03
2009-02-17,,29.085
2009-02-18,,29.035
2009-02-19,,29.07
2009-02-20,,27.885
2009-02-23,,27.565
2009-02-24,,27.34
2009-02-25,,27.2
2009-02-26,,27.815
2009-02-27,,27.28
2009-03-02,,26.055
2009-03-03,,25.705
2009-03-04,,26.95
2009-03-05,,25.92
2009-03-06,,25.51
2009-03-09,,25.265
2009-03-10,,26.775
2009-03-11,,26.93
2009-03-12,,27.17
2009-03-13,,27.32
2009-03-16,,28.14
2009-03-17,,27.97
2009-03-18,,27.88
2009-03-19,,27.945
2009-03-20,,28.09
2009-03-23,,28.955
2009-03-24,,28.955
2009-03-25,,29.23
2009-03-26,,29.16
2009-03-27,,28.605
2009-03-30,,27.465
2009-03-31,,28.31
2009-04-01,0.0,28.625
2009-04-02,0.0,30.17
2009-04-03,0.0,29.87
2009-04-06,0.0,29.5
2009-04-07,0.0,29.16
2009-04-08,0.0,29.57
2009-04-09,0.0,30.015
2009-04-10,0.0,
2009-04-13,0.0,
2009-04-14,0.0,30.29
2009-04-15,0.0,30.165
2009-04-16,0.0,30.625
2009-04-17,0.0,31.185
2009-04-20,0.0,29.96
2009-04-21,0.0,30.04
2009-04-22,0.0,30.62
2009-04-23,0.0,30.465
2009-04-24,0.0,31.445
2009-04-27,0.0,31.465
2009-04-28,0.0,30.99
2009-04-29,0.0,31.62
2009-04-30,0.0,32.0
2009-05-01,0.0,
2009-05-04,0.0,32.93
2009-05-05,0.0,32.885
2009-05-06,0.0,33.56
2009-05-07,0.0,33.26
2009-05-08,0.0,33.8
2009-05-11,0.0,33.175
2009-05-12,0.0,33.155
2009-05-13,0.0,32.33
2009-05-14,0.0,32.395
2009-05-15,0.0,32.485
2009-05-18,0.0,33.335
2009-05-19,0.0,33.835
2009-05-20,0.0,34.13
2009-05-21,0.0,33.3
2009-05-22,0.0,33.395
2009-05-25,0.0,33.565
2009-05-26,0.0,33.87
2009-05-27,0.0,34.175
2009-05-28,0.0,33.91
2009-05-29,0.0,33.995
2009-06-01,0.0,35.01
2009-06-02,0.0,35.12
2009-06-03,0.0,34.465
2009-06-04,0.0,34.465
2009-06-05,0.0,34.76
2009-06-08,0.0,34.305
2009-06-09,0.0,34.305
2009-06-10,0.0,34.605
2009-06-11,0.0,34.77
2009-06-12,0.0,34.65
2009-06-15,0.0,33.555
2009-06-16,0.0,33.53
2009-06-17,0.0,32.925
2009-06-18,0.0,33.285
2009-06-19,0.0,33.645
2009-06-22,0.0,32.505
2009-06-23,0.0,32.535
2009-06-24,0.0,33.205
2009-06-25,0.0,33.04
2009-06-26,0.0,32.63
2009-06-29,0.0,33.24
