,SRIE FP Equity_DX_SI_QTY,SRIE FP Equity_DX_SHORT_INTEREST_VALUE,SRIE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SRIE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SRIE FP Equity_DX_SI_MV,SRIE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SRIE FP Equity_DX_SUPPLY_SI_QTY,SRIE FP Equity_DX_BROKER_SI_QTY,SRIE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SRIE FP Equity_DX_SUPPLY_SI_QTY_INC_x,SRIE FP Equity_DX_BROKER_SI_MV_INC_x,SRIE FP Equity_DX_BROKER_SI_QTY_ADD,SRIE FP Equity_DX_SUPPLY_SI_MV_DEC,SRIE FP Equity_DX_BROKER_SI_QTY_INC,SRIE FP Equity_DX_SUPPLY_SI_QTY_DEC,SRIE FP Equity_DX_BROKER_SI_MV_INC_y,SRIE FP Equity_DX_SUPPLY_SI_QTY_INC_y,SRIE FP Equity_DX_BROKER_SI_MV_ADD,SRIE FP Equity_DX_SUPPLY_SI_QTY_ADD,SRIE FP Equity_DX_BROKER_SI_QTY_DEC,SRIE FP Equity_DX_SUPPLY_SI_MV,SRIE FP Equity_DX_BROKER_SI_MV_DEC,SRIE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SRIE FP Equity_DX_UTILIZATION_QUANTITY,SRIE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SRIE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SRIE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SRIE FP Equity_DX_ACTIVE_UTILIZATION_MV,SRIE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SRIE FP Equity_DX_BROKER_SI_CON_RATIO,SRIE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SRIE FP Equity_DX_DEMAND_SUPPLY_RATIO,SRIE FP Equity_PX_LAST
2019-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8764
2019-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9156
2019-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9449
2019-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8884
2019-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.957
2019-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0273
2019-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.115
2019-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2069
2019-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2075
2019-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2582
2019-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2321
2019-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2837
2019-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2818
2019-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3788
2019-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2237
2019-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.3231
2019-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1146
2019-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8593
2019-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.9328
2019-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.6768
2019-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7237
2019-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.455
2019-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7303
