,ACE27 FP Equity_PX_LAST
2024-12-30,10.3057
2024-12-31,10.3097
2025-01-02,10.3073
2025-01-03,10.2851
2025-01-06,10.282
2025-01-07,10.277
2025-01-08,10.2734
2025-01-09,10.2757
2025-01-10,10.2606
2025-01-13,10.2568
2025-01-14,10.2559
2025-01-15,10.2768
2025-01-16,10.2814
2025-01-17,10.2898
2025-01-20,10.2839
2025-01-21,10.2888
2025-01-22,10.2945
2025-01-23,10.2919
2025-01-24,10.2844
2025-01-27,10.2844
2025-01-28,10.2954
2025-01-29,10.2983
2025-01-30,10.3207
2025-01-31,10.3419
2025-02-03,10.3455
2025-02-04,10.3508
2025-02-05,10.3576
2025-02-06,10.3572
2025-02-07,10.3506
2025-02-10,10.3594
2025-02-11,10.3498
2025-02-12,10.3426
2025-02-13,10.3664
2025-02-14,10.3577
2025-02-17,10.3483
2025-02-18,10.3583
2025-02-19,10.3478
2025-02-20,10.3504
2025-02-21,10.3647
2025-02-24,10.3712
2025-02-25,10.3696
2025-02-26,10.3824
2025-02-27,10.3828
2025-02-28,10.3837
2025-03-03,10.3656
2025-03-04,10.3819
2025-03-05,10.3473
2025-03-06,10.3312
2025-03-07,10.347
2025-03-10,10.3535
2025-03-11,10.3444
2025-03-12,10.3475
2025-03-13,10.3446
2025-03-14,10.3503
2025-03-17,10.3518
2025-03-18,10.3515
2025-03-19,10.3543
2025-03-20,10.3571
2025-03-21,10.3635
2025-03-24,10.3705
2025-03-25,10.3715
2025-03-26,10.3773
2025-03-27,10.3835
2025-03-28,10.3871
2025-03-31,10.3804
2025-04-01,10.3966
2025-04-02,10.3991
2025-04-03,10.399
2025-04-04,10.3955
2025-04-07,10.4053
2025-04-08,10.3972
2025-04-09,10.3941
2025-04-10,10.3993
2025-04-11,10.4063
2025-04-14,10.41
2025-04-15,10.422
2025-04-16,10.4283
2025-04-17,10.4474
2025-04-22,10.447
2025-04-23,10.4461
2025-04-24,10.4574
2025-04-25,10.4519
2025-04-28,10.446
2025-04-29,10.4468
2025-04-30,10.451
2025-05-02,10.4408
2025-05-05,10.4494
2025-05-06,10.4493
2025-05-07,10.4565
2025-05-08,10.4592
2025-05-09,10.458
2025-05-12,10.4365
2025-05-13,10.4436
2025-05-14,10.4359
2025-05-15,10.4468
2025-05-16,10.4498
2025-05-19,10.4593
2025-05-20,10.4654
2025-05-21,10.4573
2025-05-22,10.4617
2025-05-23,10.4712
2025-05-26,10.4716
2025-05-27,10.4779
2025-05-28,10.478
2025-05-29,10.4812
2025-05-30,10.4799
2025-06-02,10.4783
2025-06-03,10.4866
2025-06-04,10.4878
2025-06-05,10.4726
2025-06-06,10.4767
2025-06-09,10.4786
2025-06-10,10.4867
2025-06-11,10.4875
2025-06-12,10.4925
2025-06-13,10.4883
2025-06-16,10.4895
2025-06-17,10.4952
2025-06-18,10.4956
2025-06-19,10.4905
2025-06-20,10.4967
2025-06-23,10.4957
2025-06-24,10.5062
2025-06-25,10.5024
2025-06-26,10.5101
2025-06-27,10.5044
2025-06-30,10.509
2025-07-01,10.5214
2025-07-02,10.5213
2025-07-03,10.5263
2025-07-04,10.535
2025-07-07,10.5284
2025-07-08,10.5286
2025-07-09,10.5178
2025-07-10,10.5182
2025-07-11,10.5149
2025-07-14,10.5225
2025-07-15,10.5343
2025-07-16,10.519
2025-07-17,10.5348
2025-07-18,10.5282
2025-07-21,10.5387
2025-07-22,10.5424
2025-07-23,10.548
2025-07-24,10.5356
2025-07-25,10.5303
2025-07-28,10.5322
2025-07-29,10.5352
2025-07-30,10.5363
2025-07-31,10.5351
2025-08-01,10.5367
2025-08-04,10.5406
2025-08-05,10.5501
2025-08-06,10.5421
2025-08-07,10.543
2025-08-08,10.5428
2025-08-11,10.5377
2025-08-12,10.5403
2025-08-13,10.549
2025-08-14,10.5451
2025-08-15,10.5398
2025-08-18,10.5392
2025-08-19,10.5434
2025-08-20,10.5476
2025-08-21,10.5389
2025-08-22,10.5443
2025-08-25,10.5401
2025-08-26,10.5448
2025-08-27,10.5484
2025-08-28,10.5426
2025-08-29,10.544
