,PSP5 FP Equity_DX_SI_QTY,PSP5 FP Equity_DX_SHORT_INTEREST_VALUE,PSP5 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PSP5 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PSP5 FP Equity_DX_SI_MV,PSP5 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PSP5 FP Equity_DX_SUPPLY_SI_QTY,PSP5 FP Equity_DX_BROKER_SI_QTY,PSP5 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PSP5 FP Equity_DX_BROKER_SI_MV_NEW_x,PSP5 FP Equity_DX_SUPPLY_SI_QTY_INC_x,PSP5 FP Equity_DX_BROKER_SI_MV_INC_x,PSP5 FP Equity_DX_BROKER_SI_QTY_ADD,PSP5 FP Equity_DX_BROKER_SI_QTY_NEW,PSP5 FP Equity_DX_SUPPLY_SI_MV_DEC,PSP5 FP Equity_DX_BROKER_SI_QTY_INC,PSP5 FP Equity_DX_SUPPLY_SI_QTY_DEC,PSP5 FP Equity_DX_BROKER_SI_MV_NEW_y,PSP5 FP Equity_DX_BROKER_SI_MV_INC_y,PSP5 FP Equity_DX_SUPPLY_SI_QTY_INC_y,PSP5 FP Equity_DX_BROKER_SI_MV_ADD,PSP5 FP Equity_DX_SUPPLY_SI_QTY_ADD,PSP5 FP Equity_DX_BROKER_SI_QTY_DEC,PSP5 FP Equity_DX_SUPPLY_SI_MV,PSP5 FP Equity_DX_BROKER_SI_MV_DEC,PSP5 FP Equity_DX_BROKER_SI_MV_RMV,PSP5 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PSP5 FP Equity_DX_UTILIZATION_QUANTITY,PSP5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PSP5 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PSP5 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PSP5 FP Equity_DX_ACTIVE_UTILIZATION_MV,PSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PSP5 FP Equity_DX_BROKER_SI_CON_RATIO,PSP5 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PSP5 FP Equity_DX_DEMAND_SUPPLY_RATIO,PSP5 FP Equity_PX_LAST
2014-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.58
2014-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.58
2014-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.59
2014-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2014-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2014-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71
2014-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2014-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.69
2014-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.68
2014-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8
2014-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82
2014-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.84
2014-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79
2014-07-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.78
2014-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79
2014-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.79
2014-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.65
2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.52
2014-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.54
2014-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6
2014-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.57
2014-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.55
2014-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5
2014-08-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.66
2014-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.62
2014-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
2014-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.71
2014-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.67
2014-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83
2014-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91
2014-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.96
2014-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.02
2014-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2014-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14
2014-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.16
2014-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14
2014-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.13
2014-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.21
2014-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.22
2014-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2
2014-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38
2014-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31
2014-09-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39
2014-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.36
2014-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.32
2014-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.33
2014-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31
2014-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.27
2014-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34
2014-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38
2014-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.49
2014-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.56
2014-09-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.48
2014-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38
2014-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.47
2014-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41
2014-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41
2014-09-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.46
2014-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.57
2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.43
2014-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26
2014-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.55
2014-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.54
2014-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.37
2014-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.25
2014-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34
2014-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.19
2014-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.05
2014-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.26
2014-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.66
2014-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.73
2014-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.95
2014-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.91
2014-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.18
2014-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.34
2014-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.39
2014-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.38
2014-10-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.35
2014-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.41
2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.45
2014-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.6
2014-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.84
2014-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
2014-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.76
2014-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91
2014-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02
2014-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.08
2014-11-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07
2014-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.07
2014-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04
2014-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04
2014-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04
2014-11-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04
2014-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.05
2014-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.02
2014-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.09
2014-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.29
2014-11-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25
2014-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.22
2014-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
2014-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26
2014-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.3
2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14
2014-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.28
2014-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.41
2014-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23
2014-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45
2014-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.44
2014-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.15
2014-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.14
2014-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.23
2014-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.93
2014-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8
2014-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.91
2014-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82
2014-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.25
2014-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.48
2014-12-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5
2014-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.63
2014-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62
2014-12-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.69
2014-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62
2014-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68
2015-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62
2015-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.55
2015-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.43
2015-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.62
2015-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.9
2015-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.77
2015-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.71
2015-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2015-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.52
2015-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.78
2015-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.84
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.83
2015-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.85
2015-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.97
2015-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.24
2015-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.5
2015-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.43
2015-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2
2015-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.23
2015-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.07
2015-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.13
2015-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09
2015-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09
2015-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.28
2015-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.33
2015-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2015-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4
2015-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.44
2015-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.53
2015-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.51
2015-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.57
2015-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.62
2015-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.61
2015-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66
2015-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65
2015-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.65
2015-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.76
2015-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.82
2015-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79
2015-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.96
2015-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94
2015-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2015-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89
2015-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04
2015-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12
2015-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2
2015-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.18
2015-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.17
2015-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.33
2015-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.39
2015-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43
2015-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5
2015-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48
2015-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2015-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55
2015-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.43
2015-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.31
2015-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.28
2015-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.99
2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98
2015-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.98
2015-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.27
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.35
2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.16
2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.12
2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.28
2015-04-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2015-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.44
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7
2015-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76
2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.56
2015-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.71
2015-04-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6
2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34
2015-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.52
2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.48
2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.55
2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.49
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47
2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.29
2015-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.08
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.94
2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.09
2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.89
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.66
2015-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.75
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0
2015-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.07
2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.88
2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.74
2015-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.83
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.77
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.93
2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.21
2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.25
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.34
2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4
2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.47
2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.45
