,MLLAB FP Equity_PX_LAST
2021-08-23,1.69
2021-08-24,1.77
2021-08-26,1.83
2021-08-30,1.69
2021-08-31,1.79
2021-09-02,1.52
2021-09-03,1.74
2021-09-08,1.84
2021-09-13,1.74
2021-09-14,1.5
2021-09-15,1.52
2021-09-16,1.52
2021-09-17,1.64
2021-09-28,1.67
2021-10-08,1.46
2021-10-11,1.41
2021-10-18,1.35
2021-10-19,1.5
2021-10-20,1.5
2021-10-25,1.55
2021-10-26,1.6
2021-10-27,1.37
2021-10-28,1.5
2021-11-01,1.55
2021-11-11,1.25
2021-11-15,1.23
2021-11-30,1.05
2021-12-29,0.91
2021-12-30,0.975
2022-01-05,0.97
2022-01-10,0.975
2022-01-21,1.0
2022-01-24,1.0
2022-01-28,1.0
2022-02-01,1.07
2022-02-08,1.07
2022-03-09,0.9
2022-03-10,0.95
2022-03-11,0.965
2022-03-29,1.06
2022-03-30,1.1
2022-04-07,1.2
2022-05-23,1.3
2022-06-27,1.46
2022-06-28,1.46
2022-07-20,1.39
2022-08-11,1.52
2022-11-02,1.52
2022-11-25,1.51
2022-11-28,1.51
2022-11-29,1.51
2022-11-30,1.51
2022-12-01,1.51
2022-12-02,1.51
2022-12-05,1.51
2022-12-06,1.51
2022-12-07,1.51
2022-12-08,1.51
2022-12-09,1.51
2022-12-12,1.51
2022-12-13,1.51
2022-12-14,1.51
2022-12-15,1.51
2022-12-16,1.51
2022-12-19,1.51
2022-12-20,1.51
2022-12-21,1.51
2022-12-22,1.51
2022-12-23,1.51
2022-12-27,1.51
2022-12-28,1.51
2022-12-29,1.51
2022-12-30,1.51
2023-01-02,1.51
2023-01-03,1.51
2023-01-04,1.51
2023-01-05,1.51
2023-01-06,1.51
2023-01-09,1.51
2023-01-10,1.51
2023-01-11,1.51
2023-01-12,1.51
2023-01-13,1.51
2023-01-16,1.51
2023-01-17,1.51
2023-01-18,1.51
2023-01-19,1.51
2023-01-20,1.51
2023-01-23,1.51
2023-01-24,1.51
2023-01-25,1.51
2023-01-26,1.51
2023-01-27,1.51
2023-01-30,1.51
2023-01-31,1.51
2023-02-01,1.51
2023-02-02,1.51
2023-02-03,1.51
2023-02-06,1.51
2023-02-07,1.51
2023-02-08,1.51
2023-02-09,1.51
2023-02-10,1.51
2023-02-13,1.51
2023-02-14,1.51
2023-02-15,1.51
2023-02-16,1.51
2023-02-17,1.51
2023-02-20,1.51
2023-02-21,1.51
2023-02-22,1.51
2023-02-23,1.51
2023-02-24,1.51
2023-02-27,1.51
2023-02-28,1.51
2023-03-01,1.51
2023-03-02,1.51
2023-03-03,1.51
2023-03-06,1.51
2023-03-07,1.51
2023-03-08,1.51
2023-03-09,1.51
2023-03-10,1.51
2023-03-13,1.51
2023-03-14,1.51
2023-03-15,1.51
2023-03-16,1.51
2023-03-17,1.51
2023-03-20,1.39
2023-03-21,1.39
2023-03-22,1.39
2023-03-23,1.39
2023-03-24,1.39
2023-03-27,1.39
2023-03-28,1.39
2023-03-29,1.39
2023-03-30,1.39
2023-03-31,1.39
2023-04-03,1.39
2023-04-04,1.39
2023-04-05,1.39
2023-04-06,1.39
2023-04-11,1.39
2023-04-12,1.39
2023-04-13,1.39
2023-04-14,1.39
2023-04-17,1.39
2023-04-18,1.39
2023-04-19,1.39
2023-04-20,1.39
2023-04-21,1.39
2023-04-24,1.39
2023-04-25,1.39
2023-04-26,1.39
2023-04-27,1.39
2023-04-28,1.39
2023-05-02,1.39
2023-05-03,1.39
2023-05-04,1.39
2023-05-05,1.39
2023-05-08,1.39
2023-05-09,1.39
2023-05-10,1.39
2023-05-11,1.39
2023-05-12,1.39
2023-05-15,1.39
2023-05-16,1.39
2023-05-17,1.39
2023-05-18,1.39
2023-05-19,1.39
2023-05-22,1.39
2023-05-23,1.39
2023-05-24,1.34
2023-05-25,1.34
2023-05-26,1.34
2023-05-29,1.34
2023-05-30,1.34
2023-05-31,1.34
2023-06-01,1.34
2023-06-02,1.34
2023-06-05,1.34
2023-06-06,1.34
2023-06-07,1.34
2023-06-08,1.34
2023-06-09,1.34
2023-06-12,1.34
2023-06-13,1.34
2023-06-14,1.34
2023-06-15,1.34
2023-06-16,1.26
2023-06-19,1.26
2023-06-20,1.26
2023-06-21,1.26
2023-06-22,1.26
2023-06-23,1.26
2023-06-26,1.26
2023-06-27,1.26
2023-06-28,1.26
2023-06-29,1.26
2023-06-30,1.2
2023-07-03,1.2
2023-07-04,1.2
2023-07-05,1.2
2023-07-06,1.2
2023-07-07,1.2
2023-07-10,1.2
2023-07-11,1.2
2023-07-12,1.2
2023-07-13,1.2
2023-07-14,1.2
2023-07-17,1.2
2023-07-18,1.2
2023-07-19,1.2
2023-07-20,1.2
2023-07-21,1.2
2023-07-24,1.2
2023-07-25,1.2
2023-07-26,1.2
2023-07-27,1.2
2023-07-28,1.2
2023-07-31,1.2
2023-08-01,1.2
2023-08-02,1.2
2023-08-03,1.2
2023-08-04,1.2
2023-08-07,1.2
2023-08-08,1.2
2023-08-09,1.2
2023-08-10,1.2
2023-08-11,1.2
2023-08-14,1.2
2023-08-15,1.2
2023-08-16,1.2
2023-08-17,1.2
2023-08-18,1.2
2023-08-21,1.2
2023-08-22,1.2
2023-08-23,1.2
2023-08-24,1.2
2023-08-25,1.2
2023-08-28,1.2
2023-08-29,1.2
2023-08-30,1.2
2023-08-31,1.2
2023-09-01,1.2
2023-09-04,1.2
2023-09-05,1.2
2023-09-06,1.2
2023-09-07,1.2
2023-09-08,1.2
2023-09-11,1.2
2023-09-12,1.2
2023-09-13,1.2
2023-09-14,1.2
2023-09-15,1.2
2023-09-18,1.2
2023-09-19,1.2
2023-09-20,1.2
2023-09-21,1.2
2023-09-22,1.2
2023-09-25,1.2
2023-09-26,1.2
2023-09-27,1.2
2023-09-28,1.2
2023-09-29,1.2
2023-10-02,1.2
2023-10-03,1.2
2023-10-04,1.2
2023-10-05,1.2
2023-10-06,1.2
2023-10-09,1.2
2023-10-10,1.2
2023-10-11,1.2
2023-10-12,1.2
2023-10-13,1.2
2023-10-16,1.2
2023-10-17,1.2
2023-10-18,1.2
2023-10-19,1.2
2023-10-20,1.2
2023-10-23,1.2
2023-10-24,1.2
2023-10-25,1.2
2023-10-26,1.2
2023-10-27,1.2
2023-10-30,1.2
2023-10-31,1.2
2023-11-01,1.2
2023-11-02,1.2
2023-11-03,1.2
2023-11-06,1.2
2023-11-07,1.2
2023-11-08,1.2
2023-11-09,1.2
2023-11-10,1.2
2023-11-13,1.2
2023-11-14,1.2
2023-11-15,1.2
2023-11-16,1.2
2023-11-17,1.2
2023-11-20,1.2
2023-11-21,1.2
2023-11-22,1.2
2023-11-23,1.2
2023-11-24,1.2
2023-11-27,1.2
2023-11-28,1.2
2023-11-29,1.2
2023-11-30,1.2
2023-12-01,1.2
2023-12-04,1.2
2023-12-05,1.2
2023-12-06,1.2
2023-12-07,1.2
2023-12-08,1.2
2023-12-11,1.2
2023-12-12,1.2
2023-12-13,1.2
2023-12-14,1.2
2023-12-15,1.2
2023-12-18,1.2
2023-12-19,1.2
2023-12-20,1.2
2023-12-21,1.2
2023-12-22,1.2
2023-12-27,1.2
2023-12-28,1.2
2023-12-29,1.2
2024-01-02,1.2
2024-01-03,1.2
2024-01-04,1.2
2024-01-05,1.2
2024-01-08,1.2
2024-01-09,1.2
2024-01-10,1.2
2024-01-11,1.2
2024-01-12,1.18
2024-01-15,1.07
2024-01-16,1.07
2024-01-17,1.05
2024-01-18,1.04
2024-01-19,1.04
2024-01-22,1.04
2024-01-23,1.04
2024-01-24,1.04
2024-01-25,1.04
2024-01-26,1.04
2024-01-29,1.04
2024-01-30,1.04
2024-01-31,1.04
2024-02-01,1.04
2024-02-02,1.04
2024-02-05,1.04
2024-02-06,1.04
2024-02-07,1.04
2024-02-08,1.04
2024-02-09,1.04
2024-02-12,1.04
2024-02-13,1.04
2024-02-14,1.04
2024-02-15,1.04
2024-02-16,1.04
2024-02-19,1.04
2024-02-20,1.04
2024-02-21,1.04
2024-02-22,1.04
2024-02-23,1.04
2024-02-26,1.04
2024-02-27,1.04
2024-02-28,1.04
2024-02-29,1.04
2024-03-01,1.04
2024-03-04,1.04
2024-03-05,1.04
2024-03-06,1.04
2024-03-07,1.04
2024-03-08,1.04
2024-03-11,1.04
2024-03-12,1.04
2024-03-13,1.04
2024-03-14,1.04
2024-03-15,1.04
2024-03-18,1.04
2024-03-19,1.04
2024-03-20,1.04
2024-03-21,1.04
2024-03-22,1.04
2024-03-25,1.04
2024-03-26,1.04
2024-03-27,1.04
2024-03-28,1.04
2024-04-02,1.04
2024-04-03,1.04
2024-04-04,1.04
2024-04-05,1.04
2024-04-08,1.04
2024-04-09,1.04
2024-04-10,1.04
2024-04-11,1.04
2024-04-12,1.04
2024-04-15,1.04
2024-04-16,1.04
2024-04-17,1.04
2024-04-18,1.04
2024-04-19,1.04
2024-04-22,1.04
2024-04-23,1.04
2024-04-24,1.04
2024-04-25,1.04
2024-04-26,1.04
2024-04-29,1.04
2024-04-30,1.04
2024-05-02,1.04
2024-05-03,1.04
2024-05-06,1.04
2024-05-07,1.04
2024-05-08,1.04
2024-05-09,1.04
2024-05-10,1.04
2024-05-13,1.04
2024-05-14,1.04
2024-05-15,1.04
2024-05-16,1.04
2024-05-17,1.04
2024-05-20,1.04
2024-05-21,1.04
2024-05-22,1.04
2024-05-23,1.04
2024-05-24,1.04
2024-05-27,1.04
2024-05-28,1.04
2024-05-29,1.04
2024-05-30,1.04
2024-05-31,1.04
2024-06-03,1.04
2024-06-04,1.04
2024-06-05,1.04
2024-06-06,1.04
2024-06-07,1.04
2024-06-10,1.04
2024-06-11,1.04
2024-06-12,1.04
2024-06-13,1.04
2024-06-14,1.04
2024-06-17,1.04
2024-06-18,1.04
2024-06-19,1.04
2024-06-20,1.04
2024-06-21,1.04
2024-06-24,1.04
2024-06-25,1.1
2024-06-26,1.1
2024-06-27,1.1
2024-06-28,1.1
2024-07-01,1.1
2024-07-02,1.1
2024-07-03,1.1
2024-07-04,1.1
2024-07-05,1.1
2024-07-08,1.1
2024-07-09,1.1
2024-07-10,1.1
2024-07-11,1.1
2024-07-12,1.04
2024-07-15,1.04
2024-07-16,1.04
2024-07-17,1.04
2024-07-18,1.04
2024-07-19,1.1
2024-07-22,1.1
2024-07-23,1.1
2024-07-24,1.1
2024-07-25,1.1
2024-07-26,1.1
2024-07-29,1.1
2024-07-30,1.1
2024-07-31,1.1
2024-08-01,1.1
2024-08-02,1.1
2024-08-05,1.1
2024-08-06,1.1
2024-08-07,1.1
2024-08-08,1.1
2024-08-09,1.1
2024-08-12,1.1
2024-08-13,1.1
2024-08-14,1.1
2024-08-15,1.1
2024-08-16,1.1
2024-08-19,1.1
2024-08-20,1.1
2024-08-21,1.1
2024-08-22,1.1
2024-08-23,1.1
2024-08-26,1.1
2024-08-27,1.1
2024-08-28,1.1
2024-08-29,1.1
2024-08-30,1.1
2024-09-02,1.1
2024-09-03,1.1
2024-09-04,1.1
2024-09-05,1.1
2024-09-06,1.1
2024-09-09,1.1
2024-09-10,1.1
2024-09-11,1.1
2024-09-12,1.1
2024-09-13,1.1
2024-09-16,1.1
2024-09-17,1.1
2024-09-18,1.1
2024-09-19,1.1
2024-09-20,1.1
2024-09-23,1.1
2024-09-24,1.1
2024-09-25,1.1
2024-09-26,1.1
2024-09-27,1.1
2024-09-30,1.1
2024-10-01,1.1
2024-10-02,1.1
2024-10-03,1.1
2024-10-04,1.1
2024-10-07,1.1
2024-10-08,1.1
2024-10-09,1.1
2024-10-10,1.1
2024-10-11,0.96
2024-10-14,0.96
2024-10-15,0.96
2024-10-16,0.925
2024-10-17,0.925
2024-10-18,0.96
2024-10-21,1.01
2024-10-22,1.01
2024-10-23,1.01
2024-10-24,1.01
2024-10-25,1.11
2024-10-28,1.2
2024-10-29,1.34
2024-10-30,1.46
2024-10-31,1.6
2024-11-01,1.71
2024-11-04,1.71
2024-11-05,1.71
2024-11-06,1.71
2024-11-07,2.22
2024-11-08,2.22
2024-11-11,2.22
2024-11-12,2.22
2024-11-13,2.22
2024-11-14,2.22
2024-11-15,2.22
2024-11-18,2.2
2024-11-19,2.2
2024-11-20,2.2
2024-11-21,2.2
2024-11-22,2.2
2024-11-25,2.2
2024-11-26,2.2
2024-11-27,2.2
2024-11-28,2.22
2024-11-29,2.22
2024-12-02,2.22
2024-12-03,2.22
2024-12-04,2.22
2024-12-05,2.22
2024-12-06,2.22
2024-12-09,2.22
2024-12-10,2.22
2024-12-11,2.22
2024-12-12,2.22
2024-12-13,2.22
2024-12-16,2.22
2024-12-17,2.22
2024-12-18,2.22
2024-12-19,2.22
2024-12-20,2.22
2024-12-23,2.22
2024-12-24,2.22
2024-12-27,2.22
2024-12-30,2.22
2024-12-31,2.22
2025-01-02,2.22
2025-01-03,2.22
2025-01-06,2.22
2025-01-07,2.22
2025-01-08,2.22
2025-01-09,2.22
2025-01-10,2.22
2025-01-13,2.22
2025-01-14,2.22
2025-01-15,2.22
2025-01-16,2.22
2025-01-17,2.22
2025-01-20,2.22
2025-01-21,2.22
2025-01-22,2.22
2025-01-23,2.22
2025-01-24,2.22
2025-01-27,2.22
2025-01-28,2.22
2025-01-29,2.22
2025-01-30,2.22
2025-01-31,2.22
2025-02-03,2.22
2025-02-04,2.22
2025-02-05,2.22
2025-02-06,2.22
2025-02-07,2.22
2025-02-10,2.22
2025-02-11,2.22
2025-02-12,2.22
2025-02-13,2.22
2025-02-14,2.22
2025-02-17,2.22
2025-02-18,2.22
2025-02-19,2.22
2025-02-20,2.22
2025-02-21,2.22
2025-02-24,2.22
2025-02-25,2.22
2025-02-26,2.22
2025-02-27,2.22
2025-02-28,2.22
2025-03-03,2.22
2025-03-04,2.22
2025-03-05,2.22
2025-03-06,2.22
2025-03-07,2.22
2025-03-10,2.22
2025-03-11,2.22
2025-03-12,2.22
2025-03-13,2.22
2025-03-14,2.22
2025-03-17,2.22
2025-03-18,2.22
2025-03-19,2.22
2025-03-20,2.22
2025-03-21,2.22
2025-03-24,2.22
2025-03-25,2.22
2025-03-26,2.22
2025-03-27,2.22
2025-03-28,2.22
2025-03-31,2.22
2025-04-01,2.16
2025-04-02,2.16
2025-04-03,2.16
2025-04-04,2.16
2025-04-07,2.16
2025-04-08,1.99
2025-04-09,1.99
2025-04-10,2.22
2025-04-11,2.22
2025-04-14,2.22
2025-04-15,2.22
2025-04-16,2.22
2025-04-17,2.22
2025-04-22,2.22
2025-04-23,2.18
2025-04-24,2.18
2025-04-25,2.18
2025-04-28,2.18
2025-04-29,2.18
2025-04-30,2.18
2025-05-02,2.22
2025-05-05,2.2
2025-05-06,2.2
2025-05-07,2.2
2025-05-08,2.2
2025-05-09,2.2
2025-05-12,2.2
2025-05-13,2.2
2025-05-14,2.2
2025-05-15,2.2
2025-05-16,2.22
2025-05-19,2.22
2025-05-20,2.22
2025-05-21,2.22
2025-05-22,2.2
2025-05-23,2.2
2025-05-26,2.2
2025-05-27,2.2
2025-05-28,2.2
2025-05-29,2.2
2025-05-30,2.2
2025-06-02,2.2
2025-06-03,2.2
2025-06-04,2.0
2025-06-05,2.0
2025-06-06,2.0
2025-06-09,2.0
2025-06-10,2.0
2025-06-11,2.0
2025-06-12,2.0
2025-06-13,2.0
2025-06-16,2.2
2025-06-17,2.2
2025-06-18,2.2
2025-06-19,2.2
2025-06-20,2.2
2025-06-23,2.2
2025-06-24,2.2
2025-06-25,2.2
2025-06-26,2.2
2025-06-27,2.2
2025-06-30,2.2
2025-07-01,2.2
2025-07-02,2.3
2025-07-03,2.38
2025-07-04,2.6
2025-07-07,2.84
2025-07-08,3.12
2025-07-09,3.12
2025-07-10,3.12
2025-07-11,3.12
2025-07-14,3.42
2025-07-15,3.42
2025-07-16,3.42
2025-07-17,3.42
2025-07-18,3.42
2025-07-21,3.38
2025-07-22,3.38
2025-07-23,3.38
2025-07-24,3.38
2025-07-25,3.38
2025-07-28,3.38
2025-07-29,3.38
2025-07-30,3.38
2025-07-31,3.38
2025-08-01,3.38
2025-08-04,3.38
2025-08-05,2.86
2025-08-06,3.38
2025-08-07,3.38
2025-08-08,3.14
2025-08-11,3.14
2025-08-12,3.14
2025-08-13,3.36
2025-08-14,3.36
2025-08-15,3.36
2025-08-18,3.36
2025-08-19,3.36
2025-08-20,3.36
2025-08-21,3.36
2025-08-22,3.36
2025-08-25,3.36
2025-08-26,3.36
2025-08-27,3.36
2025-08-28,3.36
2025-08-29,3.36
