,MLPLC FP Equity_PX_LAST
1995-04-28,384.934
1995-05-02,347.584
1995-05-04,356.731
1995-06-02,384.934
1995-06-15,367.402
1995-06-19,385.086
1995-06-20,388.745
1995-06-21,393.623
1995-06-22,399.569
1995-06-23,411.307
1995-06-26,394.843
1995-06-28,410.088
1995-06-29,381.123
1995-06-30,381.275
1995-07-05,366.64
1995-07-10,402.465
1995-07-19,381.123
1995-08-21,402.465
1995-08-24,362.219
1995-08-25,398.349
1995-08-28,358.56
1995-08-29,322.735
1995-08-30,354.901
1995-09-01,390.269
1995-09-04,396.367
1995-09-05,356.731
1995-09-22,356.731
1995-09-27,392.251
1995-09-29,366.03
1995-10-04,381.123
1995-10-12,381.123
1995-10-18,367.402
1995-10-23,367.402
1995-11-02,373.5
1995-11-03,388.745
1995-11-09,389.05
1995-11-13,389.05
1995-11-14,375.025
1995-11-15,362.066
1995-11-17,362.066
1995-11-23,362.981
1995-12-01,365.878
1995-12-07,353.682
1995-12-20,359.78
1996-01-09,395.758
1996-01-10,419.235
1996-01-15,440.273
1996-01-26,396.367
1996-01-31,428.382
1996-02-02,396.52
1996-02-08,425.333
1996-02-13,425.18
1996-02-14,403.99
1996-02-15,425.18
1996-02-27,408.563
1996-02-28,423.808
1996-03-01,423.808
1996-03-04,422.284
1996-03-05,423.808
1996-03-07,424.571
1996-03-11,426.095
1996-03-13,426.857
1996-03-21,384.476
1996-03-25,396.367
1996-03-27,410.85
1996-04-01,411.612
1996-04-11,426.095
1996-04-15,431.278
1996-04-17,434.48
1996-04-19,434.632
1996-04-25,434.632
1996-05-06,434.632
1996-05-09,434.632
1996-05-17,437.681
1996-05-20,437.681
1996-05-24,437.681
1996-05-29,434.48
1996-05-30,419.235
1996-05-31,419.387
1996-06-04,437.681
1996-06-06,437.529
1996-06-10,434.48
1996-06-11,434.48
1996-06-12,419.387
1996-06-18,437.681
1996-06-21,481.434
1996-07-05,454.298
1996-08-21,423.961
1996-08-22,423.808
1996-09-19,396.367
1996-09-23,396.367
1996-09-24,396.367
1996-10-02,396.367
1996-10-03,396.367
1996-10-14,396.52
1996-10-17,397.892
1996-10-31,397.892
1996-11-04,403.99
1996-11-06,404.142
1996-11-08,413.137
1996-11-26,421.979
1996-11-28,414.661
1996-12-02,419.235
1996-12-10,434.48
1996-12-17,443.627
1996-12-31,445.761
1997-01-03,401.246
1997-01-06,361.762
1997-01-07,381.275
1997-01-09,384.324
1997-01-10,396.367
1997-01-13,399.416
1997-01-15,439.358
1997-01-16,427.619
1997-01-20,435.242
1997-01-21,434.937
1997-01-22,435.089
1997-01-24,434.327
1997-01-28,434.48
1997-01-30,429.906
1997-01-31,430.821
1997-02-04,431.126
1997-02-05,430.973
1997-02-06,438.748
1997-02-10,434.48
1997-02-13,434.48
1997-02-20,440.578
1997-02-24,434.632
1997-03-10,432.955
1997-03-11,434.632
1997-03-12,477.165
1997-03-17,472.592
1997-03-25,470.915
1997-04-01,472.592
1997-04-04,464.97
1997-04-08,464.97
1997-04-17,472.592
1997-04-21,472.592
1997-05-05,464.97
1997-05-12,465.732
1997-05-15,465.732
1997-05-23,465.732
1997-06-09,419.235
1997-06-11,461.158
1997-06-16,478.69
1997-06-17,478.69
1997-06-18,541.804
1997-06-19,526.559
1997-06-27,522.9
1997-06-30,528.541
1997-07-04,540.432
1997-07-07,548.664
1997-07-11,539.517
1997-07-21,528.541
1997-07-30,528.541
1997-07-31,531.742
1997-08-01,531.742
1997-08-12,533.572
1997-08-18,533.572
1997-08-19,586.929
1997-09-02,586.929
1997-09-05,586.929
1997-09-12,586.929
1997-09-26,645.622
1997-10-06,645.622
1997-10-10,588.453
1997-10-13,589.978
1997-10-15,647.908
1997-11-05,650.957
1997-11-07,714.986
1997-11-12,710.412
1997-11-13,710.412
1997-11-18,692.119
1997-11-20,692.119
1997-11-21,692.119
1997-11-26,676.874
1997-12-01,658.58
1997-12-02,658.58
1997-12-10,655.378
1997-12-19,609.796
1997-12-22,609.796
1997-12-30,551.103
1997-12-31,550.341
1998-01-06,593.027
1998-01-16,532.657
1998-01-20,585.404
1998-01-23,548.816
1998-01-27,564.061
1998-02-10,579.306
1998-02-13,565.586
1998-02-17,564.061
1998-02-20,564.214
1998-02-24,564.061
1998-02-26,564.061
1998-03-02,507.655
1998-03-03,457.347
1998-03-04,458.262
1998-03-10,458.262
1998-03-11,487.837
1998-03-13,459.024
1998-03-17,487.837
1998-03-23,459.634
1998-03-24,496.984
1998-03-26,545.767
1998-03-30,548.816
1998-03-31,548.664
1998-04-01,594.551
1998-04-02,579.306
1998-04-03,579.306
1998-04-06,577.782
1998-04-07,564.061
1998-04-08,507.655
1998-04-09,501.557
1998-04-14,532.047
1998-04-15,533.572
1998-04-16,518.327
1998-04-17,518.174
1998-04-20,502.32
1998-04-21,502.32
1998-04-24,503.234
1998-04-27,501.557
1998-04-29,500.033
1998-05-04,461.921
1998-05-05,457.347
1998-05-06,442.102
1998-05-07,434.48
1998-05-11,442.102
1998-05-12,442.102
1998-05-13,442.255
1998-05-14,455.823
1998-05-15,455.823
1998-05-19,434.48
1998-05-20,457.347
1998-05-25,457.347
1998-05-27,457.347
1998-05-28,472.592
1998-06-02,451.249
1998-06-03,434.48
1998-06-04,457.347
1998-06-08,472.592
1998-06-09,434.48
1998-06-11,472.592
1998-06-15,457.347
1998-06-16,442.864
1998-06-17,457.347
1998-06-18,458.567
1998-06-22,458.109
1998-06-23,472.592
1998-06-25,472.592
1998-06-26,472.592
1998-07-15,505.521
1998-07-16,555.982
1998-07-20,609.796
1998-07-21,609.796
1998-07-22,670.776
1998-07-23,682.972
1998-07-27,614.674
1998-07-28,611.321
1998-07-29,609.796
1998-08-03,609.796
1998-08-04,558.726
1998-08-07,609.796
1998-08-10,579.306
1998-08-17,560.25
1998-08-19,576.257
1998-08-21,579.306
1998-08-27,579.306
1998-08-28,558.726
1998-08-31,556.439
1998-09-01,556.439
1998-09-02,556.439
1998-09-11,527.474
1998-09-14,556.439
1998-09-16,556.439
1998-09-21,518.327
1998-09-22,518.479
1998-09-23,532.047
1998-09-28,556.439
1998-10-01,548.816
1998-10-07,533.572
1998-10-13,533.572
1998-10-20,548.816
1998-10-22,548.816
1998-10-28,556.439
1998-11-02,564.061
1998-11-06,608.272
1998-11-12,640.286
1998-11-13,609.796
1998-11-16,594.551
1998-11-24,534.639
1998-12-02,577.782
1998-12-07,577.629
1998-12-09,532.809
1998-12-11,520.004
1998-12-14,571.684
1998-12-23,594.551
1998-12-28,535.096
1998-12-30,640.286
1999-01-06,536.0
1999-01-11,576.5
1999-01-12,537.0
1999-02-05,530.0
1999-02-08,531.5
1999-02-09,541.5
1999-02-22,532.0
1999-02-24,585.0
1999-02-25,532.0
1999-03-01,585.0
1999-03-02,583.5
1999-03-03,589.0
1999-03-16,593.0
1999-03-25,593.0
1999-04-09,560.0
1999-04-20,540.0
1999-04-21,540.0
1999-05-06,540.0
1999-05-07,540.0
1999-05-12,594.0
1999-05-13,600.0
1999-05-14,600.0
1999-05-17,600.0
1999-05-18,608.0
1999-05-25,600.0
1999-06-04,600.0
1999-06-08,600.0
1999-06-15,610.0
1999-06-17,630.0
1999-06-18,639.5
1999-06-22,625.0
1999-06-29,611.0
1999-06-30,630.0
1999-07-07,604.0
1999-07-20,580.0
1999-07-28,522.0
1999-07-29,638.0
1999-07-30,580.0
1999-09-07,590.0
1999-09-16,592.0
1999-09-20,591.0
1999-10-01,591.0
1999-10-28,592.0
1999-11-08,628.0
1999-11-09,592.0
1999-11-16,592.0
1999-11-18,629.5
1999-12-06,630.0
1999-12-07,642.0
1999-12-09,650.0
1999-12-10,650.0
1999-12-16,650.0
1999-12-17,714.0
1999-12-20,643.0
1999-12-21,612.0
1999-12-22,650.5
1999-12-29,701.0
2000-01-17,769.0
2000-02-09,701.0
2000-02-16,735.0
2000-02-25,661.5
2000-02-28,735.0
2000-02-29,735.0
2000-03-08,729.0
2000-03-13,656.5
2000-03-14,641.0
2000-03-17,641.5
2000-04-27,705.5
2000-04-28,739.0
2000-05-15,665.5
2000-05-16,644.0
2000-05-19,613.5
2000-05-22,580.0
2000-05-24,580.0
2000-06-20,580.0
2000-06-23,580.0
2000-06-30,630.0
2000-07-05,693.0
2000-07-06,693.0
2000-07-28,648.5
2000-08-11,584.0
2000-08-14,581.0
2000-09-06,586.5
2000-09-21,586.5
2000-09-27,585.0
2000-10-10,619.0
2000-10-17,585.0
2000-10-25,585.0
2000-10-26,585.5
2000-11-06,585.5
2000-12-07,585.5
2000-12-19,586.0
2001-01-04,586.0
2001-01-11,528.0
2001-01-15,530.5
2001-03-06,530.5
2001-05-07,478.0
2001-05-14,525.0
2001-05-17,525.0
2001-05-23,549.0
2001-05-28,575.0
2001-05-29,571.5
2001-06-11,571.0
2001-06-12,571.0
2001-06-15,571.0
2001-06-18,571.0
2001-07-05,620.0
2001-07-06,571.0
2001-07-12,604.0
2001-07-19,616.0
2001-07-27,624.0
2001-08-13,598.0
2001-08-14,589.0
2001-08-20,589.0
2001-08-21,599.0
2001-08-27,590.0
2001-08-31,537.0
2001-09-03,536.5
2001-09-28,590.0
2001-10-01,590.0
2001-10-23,590.0
2001-10-26,588.5
2001-11-20,551.0
2002-01-10,561.0
2002-01-18,589.0
2002-02-05,588.0
2002-02-06,565.0
2002-02-12,565.0
2002-02-13,565.0
2002-02-15,589.0
2002-02-19,589.0
2002-02-26,589.0
2002-03-08,605.0
2002-03-13,625.0
2002-03-28,592.0
2002-04-02,605.0
2002-04-10,601.0
2002-04-18,601.0
2002-05-27,606.0
2002-05-30,606.0
2002-06-20,606.0
2002-06-25,605.0
2002-07-12,605.0
2002-07-15,620.0
2002-07-16,620.0
2002-07-17,615.0
2002-07-19,615.0
2002-07-23,615.0
2002-07-24,600.0
2002-07-25,603.0
2002-07-29,600.0
2002-07-30,600.0
2002-07-31,619.0
2002-08-01,570.0
2002-08-06,689.0
2002-08-08,641.0
2002-08-22,641.0
2002-08-30,542.0
2002-09-04,596.0
2002-09-06,580.0
2002-09-09,614.0
2002-09-17,600.0
2002-09-20,625.0
2002-09-23,625.0
2002-10-02,595.0
2002-10-03,595.0
2002-10-04,595.0
2002-10-07,594.0
2002-10-09,590.0
2002-10-16,590.0
2002-10-17,590.0
2002-10-21,600.0
2002-10-22,600.0
2002-10-23,600.0
2002-11-06,600.5
2002-11-14,600.0
2002-11-27,609.0
2002-12-02,607.0
2002-12-03,607.0
2002-12-09,605.0
2002-12-10,620.0
2002-12-23,619.0
2002-12-27,619.0
2003-01-02,619.0
2003-01-06,618.0
2003-02-10,615.0
2003-02-11,602.0
2003-02-13,601.0
2003-02-19,620.0
2003-02-21,620.0
2003-03-04,645.0
2003-03-19,620.0
2003-03-31,613.0
2003-04-07,613.0
2003-04-08,610.0
2003-04-09,613.0
2003-04-16,614.0
2003-04-28,654.0
2003-04-29,688.0
2003-04-30,688.0
2003-05-08,685.0
2003-05-22,620.0
2003-06-04,682.0
2003-06-10,700.0
2003-06-18,641.0
2003-06-20,640.0
2003-06-25,650.0
2003-06-27,680.0
2003-07-09,655.0
2003-07-11,670.0
2003-07-16,656.0
2003-07-17,690.0
2003-07-18,690.0
2003-07-22,709.0
2003-07-23,700.0
2003-07-24,702.0
2003-07-25,715.0
2003-07-28,717.0
2003-07-31,720.0
2003-08-01,712.0
2003-08-04,710.0
2003-08-08,759.0
2003-08-13,700.5
2003-08-14,754.0
2003-09-03,699.5
2003-09-04,699.0
2003-09-09,679.0
2003-09-10,680.0
2003-09-16,690.0
2003-09-23,675.0
2003-10-03,742.0
2003-10-08,670.0
2003-10-16,728.0
2003-10-23,670.0
2003-10-24,690.0
2003-10-27,690.0
2003-10-30,688.0
2003-11-06,688.0
2003-11-07,688.0
2003-11-20,661.0
2003-11-21,662.0
2003-11-24,700.0
2003-11-25,676.0
2003-12-01,680.5
2003-12-03,690.0
2003-12-04,689.5
2003-12-08,690.0
2003-12-10,685.0
2003-12-15,662.0
2003-12-16,670.0
2003-12-19,700.0
2004-01-13,698.0
2004-01-14,698.0
2004-01-15,697.0
2004-01-16,698.0
2004-01-20,697.5
2004-01-21,700.0
2004-01-22,700.0
2004-01-23,710.0
2004-01-29,700.0
2004-02-02,700.0
2004-02-03,725.0
2004-02-11,719.5
2004-02-12,720.0
2004-02-13,720.0
2004-02-18,720.5
2004-02-19,721.0
2004-02-23,754.0
2004-02-26,740.0
2004-03-01,785.0
2004-03-09,781.0
2004-03-29,785.0
2004-03-30,780.0
2004-04-22,800.5
2004-04-29,711.0
2004-04-30,710.0
2004-05-14,720.0
2004-05-18,748.0
2004-05-26,725.0
2004-06-02,752.0
2004-06-07,828.0
2004-06-11,724.0
2004-06-21,729.0
2004-07-02,730.0
2004-07-05,732.5
2004-07-13,805.5
2004-07-20,807.0
2004-07-26,826.0
2004-07-28,813.0
2004-08-06,813.0
2004-08-09,815.0
2004-08-10,815.0
2004-08-11,814.0
2004-08-12,772.0
2004-08-13,770.0
2004-08-16,770.0
2004-08-31,786.0
2004-09-02,830.0
2004-09-06,755.0
2004-09-17,725.0
2004-09-27,778.0
2004-10-08,771.0
2004-10-11,735.0
2004-10-19,769.5
2004-10-20,742.0
2004-11-05,749.0
2004-11-08,742.0
2004-11-09,760.0
2004-11-15,742.0
2004-11-23,750.0
2004-12-02,683.0
2004-12-06,729.0
2004-12-08,735.0
2004-12-10,700.0
2004-12-13,702.0
2004-12-14,702.0
2004-12-16,710.0
2004-12-17,706.0
2004-12-27,708.5
2004-12-31,715.0
2005-01-05,768.5
2005-01-07,779.5
2005-01-11,732.0
2005-01-17,730.0
2005-01-19,749.5
2005-01-24,749.0
2005-01-31,768.0
2005-02-02,701.0
2005-02-11,720.0
2005-02-22,740.0
2005-02-24,785.0
2005-02-25,782.0
2005-02-28,782.0
2005-03-01,830.0
2005-03-23,800.0
2005-03-30,758.0
2005-03-31,758.0
2005-04-04,771.5
2005-04-05,800.0
2005-04-12,776.0
2005-04-19,771.0
2005-04-21,788.0
2005-04-29,771.0
2005-05-03,789.0
2005-05-09,790.0
2005-05-16,799.0
2005-05-18,800.0
2005-06-07,856.0
2005-06-13,849.0
2005-06-24,845.0
2005-07-05,830.0
2005-07-07,800.0
2005-07-08,800.5
2005-07-12,793.5
2005-07-13,793.0
2005-07-14,793.0
2005-07-22,860.0
2005-07-25,831.5
2005-07-26,900.0
2005-07-27,920.0
2005-08-01,918.5
2005-08-03,920.0
2005-08-08,918.0
2005-08-10,920.0
2005-08-11,918.0
2005-08-12,920.0
2005-08-15,918.0
2005-08-16,910.0
2005-08-19,910.0
2005-08-23,906.0
2005-08-26,905.5
2005-09-13,825.5
2005-09-19,860.0
2005-09-20,910.0
2005-09-21,910.0
2005-09-22,934.0
2005-09-23,900.0
2005-09-26,900.0
2005-09-27,900.0
2005-10-04,900.0
2005-10-05,909.0
2005-10-14,889.5
2005-10-18,850.0
2005-10-19,850.0
2005-10-21,850.0
2005-10-26,860.0
2005-10-28,849.5
2005-11-07,840.0
2005-11-14,840.0
2005-11-15,840.0
2005-11-17,840.0
2005-11-18,850.0
2005-11-21,925.0
2005-11-22,950.0
2005-11-24,925.0
2005-11-25,934.0
2005-11-28,925.0
2005-11-29,900.0
2005-11-30,900.0
2005-12-02,944.0
2005-12-06,901.0
2005-12-07,901.0
2005-12-08,932.5
2005-12-13,932.0
2005-12-14,892.0
2005-12-16,902.0
2005-12-19,903.0
2005-12-20,933.0
2005-12-21,929.5
2005-12-27,890.0
2006-01-03,890.0
2006-01-06,924.0
2006-01-11,913.0
2006-01-19,925.0
2006-01-20,925.0
2006-01-27,913.0
2006-01-31,903.0
2006-02-01,930.0
2006-02-15,920.0
2006-02-20,920.0
2006-02-24,930.0
2006-03-02,930.0
2006-03-03,930.0
2006-03-07,895.0
2006-03-17,925.0
2006-04-28,877.0
2006-05-15,884.5
2006-05-16,880.0
2006-05-23,900.0
2006-05-25,899.5
2006-06-19,898.5
2006-06-21,898.5
2006-06-28,898.5
2006-07-21,898.5
2006-08-17,818.0
2006-08-18,889.0
2006-08-21,839.5
2006-08-22,840.5
2006-08-23,855.0
2006-09-04,850.0
2006-09-05,888.0
2006-09-19,871.0
2006-09-29,871.0
2006-10-02,850.0
2006-10-03,840.0
2006-10-06,894.0
2006-10-19,870.0
2006-10-20,871.0
2006-10-23,870.0
2006-10-24,888.0
2006-10-26,880.0
2006-10-27,860.0
2006-11-06,860.0
2006-11-10,863.5
2006-11-21,863.5
2006-11-23,870.0
2006-11-27,870.0
2006-11-30,870.0
2006-12-07,870.0
2006-12-14,860.0
2006-12-20,889.0
2006-12-21,891.0
2007-01-04,892.0
2007-01-05,886.0
2007-01-12,880.0
2007-01-15,871.0
2007-01-19,880.0
2007-01-22,887.0
2007-01-24,871.0
2007-01-26,871.0
2007-02-07,899.5
2007-02-09,899.5
2007-02-16,905.0
2007-02-28,890.0
2007-03-05,900.0
2007-03-19,900.0
2007-03-20,914.0
2007-03-22,890.0
2007-03-23,914.0
2007-04-11,936.0
2007-04-16,935.0
2007-05-14,934.9
2007-05-22,900.0
2007-05-25,900.01
2007-05-30,899.0
2007-05-31,895.0
2007-06-01,905.01
2007-06-05,902.0
2007-06-06,880.0
2007-06-07,880.0
2007-06-08,892.0
2007-06-11,892.0
2007-06-14,892.0
2007-06-15,892.0
2007-06-18,892.0
2007-07-05,819.0
2007-07-06,855.0
2007-07-09,864.0
2007-07-11,865.0
2007-07-12,860.0
2007-07-13,900.01
2007-07-16,873.0
2007-07-17,903.0
2007-07-30,875.1
2007-08-01,943.0
2007-08-02,895.0
2007-08-27,895.0
2007-09-24,874.0
2007-09-28,881.0
2007-10-02,884.0
2007-10-04,875.0
2007-10-11,884.0
2007-10-18,850.01
2007-10-26,855.01
2007-11-09,860.0
2007-11-21,820.0
2007-11-27,830.0
2007-11-28,820.0
2007-12-03,825.0
2007-12-17,850.0
2008-01-17,781.01
2008-01-18,781.0
2008-01-23,781.0
2008-02-05,785.0
2008-03-19,733.0
2008-03-25,733.0
2008-03-27,750.01
2008-04-07,690.0
2008-04-23,794.99
2008-05-07,840.0
2008-05-15,840.0
2008-08-01,724.5
2008-08-04,724.0
2008-08-07,724.0
2008-08-11,724.0
2008-08-21,724.0
2008-08-29,724.0
2008-09-05,710.0
2008-09-23,710.0
2008-10-13,575.1
2008-10-16,600.0
2008-11-18,501.01
2008-11-25,500.0
2008-12-09,406.0
2008-12-10,433.33
2008-12-12,448.0
2008-12-18,444.0
2009-01-08,490.05
2009-01-09,503.02
2009-01-13,519.99
2009-01-14,500.0
2009-01-15,500.0
2009-01-19,500.0
2009-01-20,500.0
2009-01-30,497.99
2009-02-03,497.97
2009-02-11,477.01
2009-02-16,488.0
2009-02-19,470.1
2009-02-23,440.0
2009-03-04,450.0
2009-03-10,479.0
2009-03-16,474.0
2009-03-18,484.0
2009-03-24,487.0
2009-03-25,487.0
2009-03-26,488.0
2009-04-03,487.48
2009-04-06,488.0
2009-04-07,488.0
2009-04-30,477.0
2009-05-06,478.99
2009-05-08,485.0
2009-05-11,488.0
2009-05-12,485.0
2009-05-13,488.0
2009-05-14,488.0
2009-05-15,487.0
2009-05-18,487.99
2009-05-19,535.0
2009-05-29,462.01
2009-06-04,474.9
2009-06-05,471.0
2009-06-12,465.0
2009-06-15,456.0
2009-06-16,456.01
2009-06-17,456.0
2009-06-18,455.0
2009-06-19,455.0
2009-07-08,440.11
2009-07-24,454.9
2009-07-27,455.0
2009-07-28,500.5
2009-08-12,477.0
2009-08-19,436.0
2009-08-21,445.0
2009-08-25,444.01
2009-08-26,439.0
2009-08-27,450.0
2009-09-01,452.0
2009-09-02,440.0
2009-09-04,453.0
2009-09-08,455.0
2009-09-10,455.0
2009-09-11,455.0
2009-09-14,455.0
2009-09-15,498.9
2009-09-16,466.0
2009-09-17,466.0
2009-09-18,466.0
2009-09-21,472.0
2009-09-22,468.0
2009-09-23,471.0
2009-09-25,471.0
2009-10-02,465.9
2009-10-05,455.0
2009-10-06,455.0
2009-10-09,441.0
2009-10-13,444.0
2009-10-14,466.0
2009-10-16,470.01
2009-10-20,510.0
2009-10-27,470.0
2009-11-02,500.0
2009-11-24,457.0
2009-11-27,494.9
2009-12-03,489.0
2009-12-07,455.25
2009-12-14,470.0
2009-12-17,470.0
2009-12-18,488.9
2009-12-22,475.0
2010-01-04,480.0
2010-01-06,487.9
2010-01-08,489.0
2010-01-13,504.0
2010-01-14,503.9
2010-02-08,456.0
2010-02-09,485.0
2010-03-09,471.0
2010-03-11,472.0
2010-03-12,472.0
2010-03-31,485.0
2010-04-01,485.0
2010-04-09,485.0
2010-04-12,485.0
2010-04-16,500.0
2010-04-20,518.5
2010-04-23,518.99
2010-05-04,500.0
2010-05-05,500.0
2010-05-07,450.0
2010-05-17,495.0
2010-05-25,480.0
2010-06-02,475.01
2010-06-09,499.0
2010-06-23,480.0
2010-06-24,500.0
2010-06-25,502.0
2010-07-12,500.0
2010-08-04,501.0
2010-08-11,519.0
2010-08-27,468.51
2010-09-03,491.0
2010-09-23,491.0
2010-10-01,496.01
2010-10-05,497.01
2010-10-14,525.0
2010-10-22,525.0
2010-10-25,535.0
2010-10-29,537.0
2010-11-01,536.0
2010-11-04,501.0
2010-11-26,505.0
2010-12-13,504.99
2010-12-15,500.0
2010-12-20,500.0
2010-12-21,492.01
2011-01-04,491.0
2011-01-11,517.99
2011-01-12,518.01
2011-01-13,518.0
2011-01-20,519.0
2011-01-21,519.0
2011-03-04,537.12
2011-03-08,542.1
2011-03-09,542.2
2011-03-11,542.2
2011-03-14,542.1
2011-04-12,547.07
2011-04-29,547.07
2011-05-02,547.07
2011-05-03,547.07
2011-05-05,547.0
2011-05-11,505.01
2011-05-23,515.0
2011-05-24,500.0
2011-05-26,498.65
2011-06-22,515.0
2011-07-06,490.0
2011-07-08,535.0
2011-07-25,520.0
2011-08-18,500.0
2011-08-24,425.01
2011-08-25,446.01
2011-08-26,450.0
2011-09-23,450.0
2011-09-29,421.0
2011-09-30,378.9
2011-10-04,416.79
2011-10-12,455.0
2011-10-31,435.0
2011-11-08,435.0
2011-11-23,433.99
2011-11-30,434.0
2011-12-06,434.0
2011-12-09,434.0
2011-12-15,459.89
2011-12-22,459.88
2011-12-27,459.88
2012-01-11,459.88
2012-01-17,459.9
2012-01-27,459.9
2012-02-08,470.0
2012-02-17,465.0
2012-02-29,459.0
2012-03-02,459.0
2012-03-14,450.0
2012-03-20,450.01
2012-03-29,450.0
2012-05-03,450.0
2012-05-16,490.0
2012-05-17,451.01
2012-06-07,444.88
2012-06-27,449.0
2012-08-29,493.9
2012-09-06,515.67
2012-09-12,515.67
2012-09-14,524.0
2012-09-19,540.0
2012-09-20,555.0
2012-09-24,555.0
2012-09-26,556.0
2012-10-03,540.0
2012-10-05,556.0
2012-10-12,556.0
2012-10-15,556.0
2012-10-29,556.0
2012-11-06,545.0
2012-11-07,550.0
2012-11-14,551.0
2012-11-15,550.0
2012-11-16,550.0
2012-11-22,545.0
2012-11-27,550.0
2012-12-03,550.0
2012-12-11,545.0
2013-01-10,558.0
2013-02-01,561.0
2013-02-04,561.0
2013-02-05,561.0
2013-03-14,480.0
2013-03-15,490.0
2013-03-20,499.9
2013-05-30,451.01
2013-06-10,406.11
2013-06-12,388.79
2013-06-14,398.0
2013-08-05,400.0
2013-08-06,404.0
2013-08-07,408.0
2013-08-09,413.0
2013-09-10,454.3
