,ALHYP FP Equity_DX_SI_QTY,ALHYP FP Equity_DX_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHYP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHYP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHYP FP Equity_DX_SI_MV,ALHYP FP Equity_DX_DSS,ALHYP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY,ALHYP FP Equity_DX_BROKER_SI_QTY,ALHYP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHYP FP Equity_DX_BROKER_SI_MV_INC_x,ALHYP FP Equity_DX_SUPPLY_SI_MV_NEW,ALHYP FP Equity_DX_BROKER_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_NEW,ALHYP FP Equity_DX_SUPPLY_SI_MV_DEC,ALHYP FP Equity_DX_BROKER_SI_QTY_INC,ALHYP FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHYP FP Equity_DX_BROKER_SI_MV_NEW_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,ALHYP FP Equity_DX_BROKER_SI_MV_INC_y,ALHYP FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHYP FP Equity_DX_BROKER_SI_MV_ADD,ALHYP FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHYP FP Equity_DX_BROKER_SI_QTY_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV,ALHYP FP Equity_DX_BROKER_SI_MV_DEC,ALHYP FP Equity_DX_SUPPLY_SI_MV_RMV,ALHYP FP Equity_DX_BROKER_SI_MV_RMV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_UTILIZATION_QUANTITY,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHYP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHYP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,ALHYP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHYP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHYP FP Equity_DX_BROKER_SI_CON_RATIO,ALHYP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHYP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHYP FP Equity_PX_LAST
2015-07-13,863986.0,1218220.26,1.71,9.92,1.59,1.19,0.0,717343.14,520232.0,508754.0,733527.12,,,,0.0,,,,,2000.0,,,,0.0,,,,34000.0,0.7,0.04,,,100.0,47.21,0.0,0.0,,0.0,100.0,39.02,0.3269,39.23,0.784,1.41
2015-07-14,888893.0,1253339.13,1.76,9.94,1.63,1.28,0.0,1237502.01,520232.0,877661.0,733527.12,,,,0.04,,344000.0,,,24907.0,,,,0.04,,0.51,,,0.73,,,,100.0,47.21,0.0,0.0,,0.0,100.0,38.92,0.3299,39.8,0.8066,1.41
2015-07-15,896930.0,1327456.4,1.77,9.85,1.65,1.32,0.0,1310833.04,520232.0,885698.0,769943.36,,,,0.01,,,,,8500.0,,,,0.01,,,,463.0,0.73,0.0,,,100.0,47.21,0.0,0.0,,0.0,100.0,38.8,0.3273,39.71,0.8139,1.48
2015-07-16,2884477.0,4326715.5,5.71,29.81,5.29,4.31,0.0,4315045.5,476780.0,2876697.0,715170.0,,,,0.02,,2000000.0,,0.03,10000.0,43452.0,,,0.02,,2.96,,19001.0,0.71,0.03,,,100.0,43.26,0.0,0.0,,0.0,100.0,12.49,0.5042,68.72,2.6175,1.5
2015-07-17,2874477.0,4311715.5,5.69,29.06,5.27,4.34,0.0,4300045.5,476780.0,2866697.0,715170.0,,,,,,,,,,,,,,,,,10000.0,0.72,0.02,,,100.0,43.26,0.0,0.0,,0.0,100.0,12.51,0.508,69.06,2.6084,1.5
2015-07-20,2932700.0,4311069.0,5.8,29.16,5.38,4.42,0.0,4311069.0,476780.0,2932700.0,700866.6,,,,0.31,,7780.0,,,210000.0,,,,0.31,,0.01,,151777.0,0.72,0.23,,,100.0,42.68,0.0,0.0,,0.0,100.0,13.06,0.4952,67.9,2.6252,1.47
2015-07-21,2727969.0,3928275.36,5.4,26.22,5.01,4.01,0.0,3928275.36,326780.0,2727969.0,470563.2,,,,0.0,,,,0.23,500.0,150000.0,,,0.0,,,,205231.0,0.48,0.33,,,100.0,29.25,0.0,0.0,,0.0,100.0,12.46,0.5601,73.27,2.442,1.44
2015-07-22,2723212.0,3839728.92,5.39,25.47,5.0,3.93,0.0,3839728.92,326780.0,2723212.0,460759.8,,,,,,,,,,,,,,,,,4757.0,0.47,0.01,,,100.0,29.25,0.0,0.0,,0.0,100.0,12.48,0.5609,73.31,2.4377,1.41
2015-07-23,280418.0,395389.38,0.55,2.53,0.51,3.85,0.0,395389.38,148933.0,280418.0,209995.53,,,,,,,,0.01,,179847.0,,,,,,2000.0,2442794.0,0.46,0.08,,,100.0,13.67,0.0,0.0,,0.0,100.0,12.75,0.5598,73.2,0.2574,1.41
2015-07-24,2694085.0,42431838.75,58.62,22.99,54.37,3.97,0.0,42431838.75,211292.0,2694085.0,3327849.0,,,62731.0,0.12,,,,0.0,2418480.0,4666.0,,,0.12,62731.0,,4294.0,4813.0,0.54,0.0,,,100.0,64.82,0.0,0.0,,0.0,100.0,13.06,0.5311,71.02,8.2644,15.75
2015-07-27,2693904.0,40058352.48,58.62,22.94,54.37,33.06,0.0,40058352.48,264665.0,2693904.0,3935568.55,,,53554.0,,,,,0.0,,181.0,,,,53554.0,,,181.0,1.37,0.0,,,100.0,80.53,0.0,0.0,,0.0,100.0,1.56,0.9086,95.29,8.1963,14.87
2015-07-28,281910.0,4158172.5,6.13,2.39,5.69,4.02,0.0,4158172.5,5745.0,281910.0,84738.75,,,,,,,,1.29,,258920.0,,,,,,,2411994.0,0.09,29.01,,,100.0,8.43,0.0,0.0,,0.0,100.0,11.8,0.4816,67.33,4.1352,14.75
2015-07-29,114065.0,1676755.5,2.48,0.97,2.3,4.16,0.0,1676755.5,34744.0,114065.0,510736.8,,,,,,13974.0,,,,,,,,,0.21,28999.0,181819.0,0.51,0.03,,,100.0,33.49,0.0,0.0,,0.0,100.0,11.31,0.4499,64.54,1.0995,14.7
2015-07-30,85080.0,1180059.6,1.85,0.72,1.72,3.68,0.0,1180059.6,34744.0,85080.0,481899.28,,,,,,109.0,,,,,,,,,0.0,,29094.0,0.51,0.43,,,100.0,33.46,0.0,0.0,,0.0,100.0,11.95,0.5522,72.68,0.8194,13.87
2015-07-31,87076.0,1140695.6,1.89,0.73,1.76,3.49,0.0,1140695.6,31440.0,87076.0,411864.0,,,,0.07,,,,0.05,5300.0,3304.0,,,0.07,,,,3304.0,0.44,0.06,,,100.0,31.25,0.0,0.0,,0.0,100.0,11.88,0.5452,72.3,0.8654,13.1
2015-08-03,84443.0,958428.05,1.84,0.71,1.7,3.24,0.0,958428.05,30450.0,84443.0,345607.5,,,,,,,,0.01,,990.0,,,,,,,2633.0,0.4,0.04,,,100.0,30.43,0.0,0.0,,0.0,100.0,11.1,0.563,73.62,0.8438,11.35
2015-08-04,79143.0,869781.57,1.72,0.66,1.6,0.9,0.0,869781.57,30450.0,79143.0,334645.5,,,,,,,,,,,,,,,,,5300.0,0.35,0.07,,,100.0,30.43,0.0,0.0,,0.0,100.0,23.59,0.2729,38.9,0.7908,10.99
2015-08-05,80880.0,926884.8,1.76,0.67,1.63,0.93,0.0,914725.74,30450.0,79819.0,348957.0,,,,,,2727.0,,,,,,,,,0.03,,2051.0,0.34,0.03,,,100.0,30.43,0.0,0.0,,0.0,100.0,22.69,0.2627,38.84,0.8082,11.46
2015-08-06,79819.0,909936.6,1.74,0.66,1.61,0.99,0.0,909936.6,29389.0,79819.0,335034.6,,,,,,,,,,,,,,,,,,0.34,,,,100.0,29.37,0.0,0.0,,0.0,100.0,21.37,0.2365,36.47,0.7976,11.4
2015-08-07,245109.0,2801595.87,5.33,2.03,4.95,2.8,0.0,2801595.87,29389.0,245109.0,335916.27,,,,1.88,,,,,165290.0,,,,1.88,,,,,0.34,,,,100.0,26.57,0.0,0.0,,0.0,100.0,12.89,0.5706,73.92,2.2157,11.43
2015-08-10,249609.0,2853030.87,5.43,2.06,5.04,2.86,0.0,2795880.87,34389.0,244609.0,393066.27,,,5000.0,,,,,,,,,,,5000.0,,,500.0,0.39,0.01,,,100.0,31.09,0.0,0.0,,0.0,100.0,12.62,0.5512,72.64,2.2564,11.43
2015-08-11,249172.0,2865478.0,5.42,2.22,5.03,2.86,0.0,2807978.0,34061.0,244172.0,391701.5,,,,,,,,0.0,,328.0,,,,,,,437.0,0.39,0.01,,,100.0,30.79,0.0,0.0,,0.0,100.0,12.74,0.552,72.67,2.2524,11.5
2015-08-12,248789.0,2803852.03,5.41,2.25,5.02,2.86,0.0,2747502.03,34061.0,243789.0,383867.47,,,,,,,,,,,,,,,,,383.0,0.39,0.0,,,100.0,30.79,0.0,0.0,,0.0,100.0,12.47,0.5575,73.11,2.2489,11.27
2015-08-13,248741.0,2860521.5,5.41,2.35,5.02,2.82,0.0,2860521.5,34061.0,248741.0,391701.5,,,,,,5000.0,,,,,,,,,0.06,,48.0,0.38,0.0,,,100.0,30.79,0.0,0.0,,0.0,100.0,12.87,0.5506,72.55,2.2485,11.5
2015-08-14,248741.0,2785899.2,5.41,2.88,5.02,2.86,0.0,2785899.2,34061.0,248741.0,381483.2,,,,,,,,,,,,,,,,,,0.39,,,,100.0,30.79,0.0,0.0,,0.0,100.0,12.4,0.5557,72.99,2.2485,11.2
2015-08-17,248741.0,2741125.82,5.41,3.42,5.02,2.79,0.0,2741125.82,34061.0,248741.0,375352.22,,,,,,,,,,,,,,,,,,0.38,,,,100.0,30.79,0.0,0.0,,0.0,100.0,12.49,0.5542,72.86,2.2485,11.02
2015-08-18,243822.0,2679603.78,5.31,4.14,4.92,2.7,0.0,2679603.78,29142.0,243822.0,320270.58,,,,,,,,0.06,,4919.0,,,,,,,4919.0,0.32,0.06,,,100.0,26.34,0.0,0.0,,0.0,100.0,12.91,0.5757,74.27,2.204,10.99
2015-08-19,225641.0,2391794.6,4.91,4.46,4.55,2.48,0.0,2391794.6,29142.0,225641.0,308905.2,,,,,,,,,,,,,,,,,18181.0,0.32,0.2,,,100.0,26.34,0.0,0.0,,0.0,100.0,8.19,0.6592,80.45,2.0397,10.6
2015-08-20,225641.0,2265435.64,4.91,4.72,4.55,2.44,0.0,2265435.64,29142.0,225641.0,292585.68,,,,,,,,,,,,,,,,,,0.31,,,,100.0,26.34,0.0,0.0,,0.0,100.0,7.91,0.6675,81.01,2.0397,10.04
2015-08-21,225641.0,2256410.0,4.91,4.99,4.55,2.27,1.0,2256410.0,29142.0,225641.0,291420.0,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.34,0.0,0.0,,0.0,100.0,8.05,0.6577,80.35,2.0397,10.0
2015-08-24,225641.0,2209025.39,4.91,6.15,4.55,2.26,1.0,2209025.39,29142.0,225641.0,285300.18,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.68,0.0,0.0,,0.0,100.0,8.01,0.6598,80.5,2.0655,9.79
2015-08-25,225641.0,2166153.6,4.91,6.51,4.55,2.22,1.0,2166153.6,29142.0,225641.0,279763.2,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.68,0.0,0.0,,0.0,100.0,8.18,0.6563,80.26,2.0655,9.6
2015-08-26,225641.0,2199999.75,4.91,6.79,4.55,2.18,1.0,2199999.75,29142.0,225641.0,284134.5,,,,,,,,,,,,,,,,,,0.28,,,,100.0,26.68,0.0,0.0,,0.0,100.0,8.22,0.6517,79.95,2.0656,9.75
2015-08-27,224991.0,2229660.81,4.9,8.15,4.54,2.21,1.0,2229660.81,29142.0,224991.0,288797.22,,,,,,,,,,,,,,,,,650.0,0.28,0.0,,,100.0,26.68,0.0,0.0,,0.0,100.0,8.27,0.6554,80.19,2.0596,9.91
2015-08-28,224939.0,2249390.0,4.89,8.45,4.54,2.24,1.0,2249390.0,29090.0,224939.0,290900.0,,,,,,,,0.0,,52.0,,,,,,,52.0,0.29,0.0,,,100.0,26.63,0.0,0.0,,0.0,100.0,8.19,0.6572,80.31,2.0591,10.0
2015-08-31,224939.0,2229145.49,4.89,8.99,4.54,2.26,1.0,2229145.49,29090.0,224939.0,288281.9,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.63,0.0,0.0,,0.0,100.0,8.17,0.6595,80.47,2.0591,9.91
2015-09-01,224939.0,2204402.2,4.89,10.4,4.54,2.24,1.0,2204402.2,29090.0,224939.0,285082.0,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.63,0.0,0.0,,0.0,100.0,8.12,0.6609,80.56,2.0591,9.8
2015-09-02,224939.0,2204402.2,4.89,11.95,4.54,2.22,1.0,2204402.2,29090.0,224939.0,285082.0,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.63,0.0,0.0,,0.0,100.0,8.21,0.6578,80.35,2.0591,9.8
2015-09-03,234939.0,2323546.71,5.11,15.49,4.74,2.32,1.0,2323546.71,29090.0,234939.0,287700.1,,,,0.1,,,,,10000.0,,,,0.1,,,,,0.29,,,,100.0,26.64,0.0,0.0,,0.0,100.0,7.93,0.6032,76.81,2.1511,9.89
2015-09-04,234939.0,2302402.2,5.11,26.88,4.74,2.33,1.0,2302402.2,29090.0,234939.0,285082.0,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.64,0.0,0.0,,0.0,100.0,7.82,0.6066,77.06,2.1511,9.8
2015-09-07,234939.0,2290655.25,5.11,25.14,4.74,2.34,1.0,2290655.25,29090.0,234939.0,283627.5,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.64,0.0,0.0,,0.0,100.0,7.79,0.6091,77.23,2.1513,9.75
2015-09-08,234939.0,2323546.71,5.11,26.26,4.74,2.31,1.0,2323546.71,29090.0,234939.0,287700.1,,,,,,,,,,,,,,,,,,0.28,,,,100.0,26.64,0.0,0.0,,0.0,100.0,7.78,0.6064,77.04,2.1513,9.89
2015-09-09,234939.0,2314149.15,5.11,26.37,4.74,2.33,1.0,2314149.15,29090.0,234939.0,286536.5,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.64,0.0,0.0,,0.0,100.0,7.83,0.6065,77.05,2.1513,9.85
2015-09-10,234939.0,2384630.85,5.11,25.65,4.74,2.34,1.0,2384630.85,29090.0,234939.0,295263.5,,,,,,,,,,,,,,,,,,0.29,,,,100.0,26.64,0.0,0.0,,0.0,100.0,7.79,0.5975,76.41,2.1513,10.15
2015-09-11,225002.0,2250020.0,4.9,25.15,4.54,2.29,1.0,2250020.0,29061.0,225002.0,290610.0,,,,,,,,0.0,,29.0,,,,,,,9937.0,0.3,0.1,,,100.0,26.61,0.0,0.0,,0.0,100.0,8.15,0.6609,80.56,2.0603,10.0
2015-09-14,225002.0,2227519.8,4.9,25.15,4.54,2.26,1.0,2227519.8,29061.0,225002.0,287703.9,,,,,,,,,,,,,,,,,,0.29,,,,100.0,27.94,0.0,0.0,,0.0,100.0,8.21,0.659,80.43,2.1636,9.9
2015-09-15,225002.0,2184769.42,4.9,27.64,4.54,2.24,1.0,2184769.42,29061.0,225002.0,282182.31,,,,,,,,,,,,,,,,,,0.29,,,,100.0,28.07,0.0,0.0,,0.0,100.0,8.23,0.6588,80.42,2.1736,9.71
2015-09-16,227002.0,2122468.7,4.94,29.63,4.58,2.22,1.0,2122468.7,29061.0,227002.0,271720.35,,,,,,2000.0,,,,,,,,,0.02,,,0.28,,,,100.0,28.15,0.0,0.0,,0.0,100.0,8.28,0.6449,79.54,2.1986,9.35
2015-09-17,225520.0,1962024.0,4.91,31.02,4.55,2.11,1.0,1962024.0,29499.0,225520.0,256641.3,,,,0.0,,,,0.0,500.0,62.0,,,0.0,,,500.0,1982.0,0.28,0.02,,,100.0,28.62,0.0,0.0,,0.0,100.0,8.12,0.6606,80.6,2.1877,8.7
2015-09-18,225520.0,1761311.2,4.91,30.82,4.55,1.98,1.0,1761311.2,29499.0,225520.0,230387.19,,,,,,,,,,,,,,,,,,0.26,,,,100.0,30.25,0.0,0.0,,0.0,100.0,8.76,0.652,80.0,2.3128,7.81
2015-09-21,225520.0,1657572.0,4.91,28.85,4.55,1.79,1.0,1657572.0,29499.0,225520.0,216817.65,,,,,,,,,,,,,,,,,,0.23,,,,100.0,30.25,0.0,0.0,,0.0,100.0,9.09,0.6419,79.32,2.3128,7.35
2015-09-22,225520.0,1592171.2,4.91,28.34,4.55,1.67,1.0,1592171.2,29499.0,225520.0,208262.94,,,,,,,,,,,,,,,,,,0.22,,,,100.0,30.25,0.0,0.0,,0.0,100.0,8.21,0.6502,79.93,2.3128,7.06
2015-09-23,225520.0,1632764.8,4.91,28.05,4.55,1.61,1.0,1632764.8,29499.0,225520.0,213572.76,,,,,,,,,,,,,,,,,,0.21,,,,100.0,30.25,0.0,0.0,,0.0,100.0,8.07,0.6467,79.69,2.3128,7.24
2015-09-24,225520.0,1556088.0,4.91,27.7,4.55,1.64,1.0,1556088.0,29499.0,225520.0,203543.1,,,,,,,,,,,,,,,,,,0.21,,,,100.0,30.25,0.0,0.0,,0.0,100.0,8.11,0.6521,80.05,2.3128,6.9
2015-09-25,225520.0,1576384.8,4.91,28.47,4.55,1.58,1.0,1576384.8,29499.0,225520.0,206198.01,,,,,,,,,,,,,,,,,,0.2,,,,100.0,30.25,0.0,0.0,,0.0,100.0,8.15,0.6462,79.66,2.3128,6.99
2015-09-28,225520.0,1562853.6,4.91,28.53,4.55,1.59,1.0,1562853.6,29499.0,225520.0,204428.07,,,,,,,,,,,,,,,,,,0.21,,,,100.0,30.56,0.0,0.0,,0.0,100.0,8.03,0.6498,79.91,2.3362,6.93
2015-09-29,225520.0,1562853.6,4.91,28.31,4.55,1.58,1.0,1562853.6,29499.0,225520.0,204428.07,,,,,,,,,,,,,,,,,,0.2,,,,100.0,30.25,0.0,0.0,,0.0,100.0,8.11,0.6477,79.76,2.3128,6.93
2015-09-30,225520.0,1585405.6,4.91,27.79,4.55,1.58,1.0,1585405.6,29499.0,225520.0,207377.97,,,,,,,,,,,,,,,,,,0.2,,,,100.0,30.25,0.0,0.0,,0.0,100.0,8.17,0.6454,79.6,2.3128,7.03
2015-10-01,214158.0,1509813.9,4.66,25.81,4.32,1.52,1.0,1509813.9,18137.0,214158.0,127865.85,,,,,,,,0.08,,11362.0,,,,,,,11362.0,0.13,0.08,,,100.0,18.6,0.0,0.0,,0.0,100.0,8.54,0.7137,83.95,2.1963,7.05
2015-10-02,214158.0,1520521.8,4.66,26.81,4.32,1.53,1.0,1520521.8,18137.0,214158.0,128772.7,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.6,0.0,0.0,,0.0,100.0,8.53,0.7139,83.96,2.1963,7.1
2015-10-05,214158.0,1499106.0,4.66,30.68,4.32,1.54,1.0,1499106.0,18137.0,214158.0,126959.0,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.54,0.0,0.0,,0.0,100.0,8.59,0.7134,83.92,2.1894,7.0
2015-10-06,214158.0,1484114.94,4.66,30.63,4.32,1.52,1.0,1484114.94,18137.0,214158.0,125689.41,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.49,0.7146,84.01,2.2204,6.93
2015-10-07,214158.0,1520521.8,4.66,31.0,4.32,1.5,1.0,1520521.8,18137.0,214158.0,128772.7,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.56,0.7126,83.88,2.2204,7.1
2015-10-08,214158.0,1531229.7,4.66,30.59,4.32,1.54,1.0,1531229.7,18137.0,214158.0,129679.55,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.53,0.7143,83.98,2.2204,7.15
2015-10-09,214158.0,1574061.3,4.66,26.29,4.32,1.55,1.0,1574061.3,18137.0,214158.0,133306.95,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.51,0.7146,84.0,2.2204,7.35
2015-10-12,212047.0,1569147.8,4.61,19.83,4.28,1.57,1.0,1569147.8,18137.0,212047.0,134213.8,,,,,,,,,,,,,,,,,2111.0,0.13,0.02,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.37,0.733,85.11,2.1985,7.4
2015-10-13,210047.0,1529142.16,4.57,19.29,4.24,1.57,1.0,1529142.16,18137.0,210047.0,132037.36,,,,,,,,,,,,,,,,,2000.0,0.13,0.01,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.72,0.7431,85.67,2.1778,7.28
2015-10-14,210047.0,1550146.86,4.57,18.68,4.24,1.54,1.0,1550146.86,18137.0,210047.0,133851.06,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.67,0.7438,85.72,2.1778,7.38
2015-10-15,210047.0,1707682.11,4.57,18.88,4.24,1.57,1.0,1707682.11,18137.0,210047.0,147453.81,,,,,,,,,,,,,,,,,,0.13,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.78,0.7423,85.62,2.1778,8.13
2015-10-16,210047.0,1730787.28,4.57,16.72,4.24,1.72,1.0,1730787.28,18137.0,210047.0,149448.88,,,,,,,,,,,,,,,,,,0.15,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.78,0.7454,85.8,2.1778,8.24
2015-10-19,210047.0,1711883.05,4.57,17.6,4.24,1.75,1.0,1711883.05,18137.0,210047.0,147816.55,,,,,,,,,,,,,,,,,,0.15,,,,100.0,18.8,0.0,0.0,,0.0,100.0,8.78,0.7453,85.8,2.1778,8.15
2015-10-20,210046.0,1737080.42,4.57,17.58,4.24,1.73,1.0,1737080.42,18136.0,210046.0,149984.72,,,,,,,,0.0,,1.0,,,,,,,1.0,0.15,0.0,,,100.0,18.7,0.0,0.0,,0.0,100.0,8.72,0.7459,85.83,2.1657,8.27
