,ALHAF FP Equity_DX_SI_QTY,ALHAF FP Equity_DX_SHORT_INTEREST_VALUE,ALHAF FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALHAF FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALHAF FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALHAF FP Equity_DX_SI_MV,ALHAF FP Equity_DX_DSS,ALHAF FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALHAF FP Equity_DX_SUPPLY_SI_QTY,ALHAF FP Equity_DX_BROKER_SI_QTY,ALHAF FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALHAF FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALHAF FP Equity_DX_BROKER_SI_MV_INC_x,ALHAF FP Equity_DX_BROKER_SI_QTY_ADD,ALHAF FP Equity_DX_SUPPLY_SI_MV_DEC,ALHAF FP Equity_DX_BROKER_SI_QTY_INC,ALHAF FP Equity_DX_SUPPLY_SI_QTY_DEC,ALHAF FP Equity_DX_BROKER_SI_MV_INC_y,ALHAF FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALHAF FP Equity_DX_BROKER_SI_MV_ADD,ALHAF FP Equity_DX_SUPPLY_SI_QTY_ADD,ALHAF FP Equity_DX_BROKER_SI_QTY_DEC,ALHAF FP Equity_DX_SUPPLY_SI_MV,ALHAF FP Equity_DX_BROKER_SI_MV_DEC,ALHAF FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALHAF FP Equity_DX_UTILIZATION_QUANTITY,ALHAF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALHAF FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALHAF FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALHAF FP Equity_DX_ACTIVE_UTILIZATION_MV,ALHAF FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALHAF FP Equity_DX_BROKER_SI_CON_RATIO,ALHAF FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALHAF FP Equity_DX_DEMAND_SUPPLY_RATIO,ALHAF FP Equity_PX_LAST
2022-03-31,29472.0,234302.4,0.07,0.92,0.07,0.24,0.0,234302.4,28972.0,29472.0,230327.4,11000.0,0.1,,,11000.0,,0.1,11000.0,,,,0.23,,2.89,2.89,974622.0,7748244.9,7.77,2.88,45.04,0.5049,54.96,0.0293,7.95
2022-04-01,29472.0,244175.52,0.07,0.97,0.07,0.23,0.0,244175.52,28972.0,29472.0,240033.02,,,,,,,,,,,,0.23,,2.89,2.89,974622.0,8074743.27,7.8,2.88,46.95,0.5019,53.05,0.0293,8.285
2022-04-04,29472.0,257496.86,0.07,0.88,0.07,0.24,0.0,257496.86,28972.0,29472.0,253128.36,,,,,,,,,,,,0.24,,2.89,2.89,974622.0,8515272.41,8.12,2.87,46.93,0.5019,53.07,0.0293,8.737
2022-04-05,23546.0,201318.3,0.05,0.69,0.05,0.21,0.0,201318.3,23046.0,23546.0,197043.3,,,,0.04,,5926.0,,,,,5926.0,0.2,0.04,2.3,2.3,980548.0,8383685.4,8.64,2.29,41.24,0.5153,58.76,0.0235,8.55
2022-04-06,19609.0,163539.06,0.04,0.58,0.04,0.17,0.0,163539.06,19109.0,19609.0,159369.06,,,,0.04,,3937.0,,,,,3937.0,0.16,0.04,1.9,1.9,984485.0,8210604.9,8.44,1.9,29.45,0.5845,70.55,0.0195,8.34
2022-04-07,19609.0,165676.44,0.04,0.59,0.04,0.16,0.0,165676.44,19109.0,19609.0,161451.94,,,,,,,,,,,,0.16,,1.9,1.9,984485.0,8317913.77,8.24,1.9,29.45,0.5845,70.55,0.0195,8.449
2022-04-08,25955.0,223213.0,0.06,0.8,0.06,0.22,0.0,223213.0,25455.0,25955.0,218913.0,6346.0,0.06,,,6346.0,,0.06,6346.0,,,,0.22,,2.54,2.53,978139.0,8411995.4,8.29,2.53,47.83,0.5009,52.17,0.0258,8.6
2022-04-11,30255.0,259285.35,0.07,0.94,0.07,0.26,0.0,259285.35,29755.0,30255.0,255000.35,4300.0,0.03,,,4300.0,,0.03,4300.0,,,,0.26,,2.95,2.95,978139.0,8382651.23,8.4,2.95,45.72,0.5037,54.28,0.03,8.57
2022-04-12,25056.0,209217.6,0.06,0.77,0.06,0.21,0.0,209217.6,24556.0,25056.0,205042.6,,,,0.04,,5199.0,,,,,5199.0,0.21,0.05,2.42,2.42,988314.0,8252421.9,8.52,2.42,44.78,0.5054,55.22,0.0247,8.35
2022-04-13,25056.0,209217.6,0.06,0.77,0.06,0.21,0.0,209217.6,24556.0,25056.0,205042.6,,,,,,,,,,,,0.2,,2.39,2.39,1002425.0,8370248.75,8.36,2.39,44.79,0.5054,55.21,0.0244,8.35
2022-04-14,26028.0,216032.4,0.06,0.82,0.06,0.22,0.0,150512.2,21228.0,18134.0,176192.4,,,,0.03,,3328.0,,,,,6922.0,0.18,0.06,100.0,2.07,0.0,0.0,0.0,100.0,46.83,0.502,53.17,0.0253,8.3
2022-04-15,26028.0,216032.4,0.06,0.83,0.06,0.22,0.0,150512.2,21228.0,18134.0,176192.4,,,,,,,,,,,,0.18,,100.0,2.07,0.0,0.0,0.0,100.0,46.77,0.5021,53.23,0.0253,
2022-04-18,22434.0,186202.2,0.05,0.71,0.05,0.19,0.0,150512.2,17634.0,18134.0,146362.2,,,,0.03,,3594.0,,,,,,0.15,,100.0,1.72,0.0,0.0,0.0,100.0,38.4,0.5269,61.6,0.0219,
2022-04-19,22434.0,180818.04,0.05,0.71,0.05,0.19,0.0,146160.04,17634.0,18134.0,142130.04,,,,,,,,,,,,0.15,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,8.06
2022-04-20,22434.0,186202.2,0.05,0.72,0.05,0.18,0.0,150512.2,17634.0,18134.0,146362.2,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,8.3
2022-04-21,22434.0,183981.23,0.05,0.75,0.05,0.19,0.0,148716.93,17634.0,18134.0,144616.43,,,,,,,,,,,,0.15,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,8.201
2022-04-22,22434.0,182164.08,0.05,0.76,0.05,0.18,0.0,147248.08,17634.0,18134.0,143188.08,,,,,,,,,,,,0.15,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,8.12
2022-04-25,22434.0,183913.93,0.05,0.83,0.05,0.18,0.0,148662.53,17634.0,18134.0,144563.53,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,8.198
2022-04-26,22434.0,179472.0,0.05,0.87,0.05,0.18,0.0,145072.0,17634.0,18134.0,141072.0,,,,,,,,,,,,0.15,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,8.0
2022-04-27,22434.0,179696.34,0.05,0.95,0.05,0.18,0.0,145253.34,17634.0,18134.0,141248.34,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5273,61.67,0.0219,8.01
2022-04-28,22434.0,180840.47,0.05,1.09,0.05,0.18,0.0,146178.17,17634.0,18134.0,142147.67,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,8.061
2022-04-29,25934.0,210065.4,0.06,1.41,0.06,0.21,0.0,175235.4,17634.0,21634.0,142835.4,,0.03,,,3500.0,,0.03,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,46.64,0.5023,53.36,0.0253,8.1
2022-05-02,25934.0,205137.94,0.06,1.53,0.06,0.21,0.0,171124.94,17634.0,21634.0,139484.94,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,46.57,0.5023,53.43,0.0253,7.91
2022-05-03,20834.0,166672.0,0.05,1.22,0.05,0.16,0.0,138672.0,16834.0,17334.0,134672.0,,,,0.01,,800.0,,,,,4300.0,0.13,0.04,100.0,1.65,0.0,0.0,0.0,100.0,33.6,0.5538,66.4,0.0204,8.0
2022-05-04,20834.0,163755.24,0.05,1.21,0.05,0.17,0.0,136245.24,16834.0,17334.0,132315.24,,,,,,,,,,,,0.13,,100.0,1.65,0.0,0.0,0.0,100.0,33.6,0.5538,66.4,0.0204,7.86
2022-05-05,20834.0,163755.24,0.05,1.22,0.05,0.16,0.0,136245.24,16834.0,17334.0,132315.24,,,,,,,,,,,,0.13,,100.0,1.65,0.0,0.0,0.0,100.0,33.63,0.5536,66.37,0.0204,7.86
2022-05-06,25134.0,196045.2,0.06,1.48,0.06,0.2,0.0,168745.2,16834.0,21634.0,131305.2,,0.03,,,4300.0,,0.03,,,,,0.13,,100.0,1.65,0.0,0.0,0.0,100.0,44.96,0.5051,55.04,0.0246,7.8
2022-05-09,22434.0,171507.93,0.05,1.32,0.05,0.18,0.0,138634.43,17634.0,18134.0,134811.93,800.0,,,,,,,800.0,,,3500.0,0.14,0.03,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.645
2022-05-10,23134.0,180676.54,0.05,1.35,0.05,0.18,0.0,180676.54,22634.0,23134.0,176771.54,5000.0,0.04,,,5000.0,,0.04,5000.0,,,,0.17,,2.21,2.21,1000753.0,7815880.93,7.64,2.21,41.53,0.5143,58.47,0.0226,7.81
2022-05-11,23134.0,178154.93,0.05,1.37,0.05,0.18,0.0,178154.93,22634.0,23134.0,174304.43,,,,,,,,,,,,0.18,,2.21,2.21,1000753.0,7706798.85,7.84,2.21,40.2,0.5192,59.8,0.0226,7.701
2022-05-12,22434.0,174850.6,0.05,1.35,0.05,0.17,0.0,141336.4,17634.0,18134.0,137439.4,,,,0.04,,5000.0,,,,,5000.0,0.14,0.04,100.0,1.72,0.0,0.0,0.0,100.0,38.59,0.526,61.41,0.0219,7.794
2022-05-13,22434.0,174760.86,0.05,1.34,0.05,0.18,0.0,141263.86,17634.0,18134.0,137368.86,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.48,0.5265,61.52,0.0219,7.79
2022-05-16,22434.0,173661.59,0.05,1.36,0.05,0.18,0.0,140375.29,17634.0,18134.0,136504.79,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.52,0.5263,61.48,0.0219,7.741
2022-05-17,22434.0,173863.5,0.05,1.37,0.05,0.17,0.0,140538.5,17634.0,18134.0,136663.5,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.75
2022-05-18,22434.0,173325.08,0.05,1.75,0.05,0.17,0.0,140103.28,17634.0,18134.0,136240.28,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.726
2022-05-19,22434.0,172988.57,0.05,2.25,0.05,0.17,0.0,139831.27,17634.0,18134.0,135975.77,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.711
2022-05-20,22434.0,172741.8,0.05,2.61,0.05,0.17,0.0,139631.8,17634.0,18134.0,135781.8,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.4,0.5269,61.6,0.0219,7.7
2022-05-23,22434.0,170969.51,0.05,2.75,0.05,0.17,0.0,138199.21,17634.0,18134.0,134388.71,,,,,,,,,,,,0.13,,100.0,1.72,0.0,0.0,0.0,100.0,38.35,0.5272,61.65,0.0219,7.621
2022-05-24,22434.0,171395.76,0.05,2.95,0.05,0.17,0.0,138543.76,17634.0,18134.0,134723.76,,,,,,,,,,,,0.13,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.64
2022-05-25,22434.0,172741.8,0.05,3.13,0.05,0.17,0.0,139631.8,17634.0,18134.0,135781.8,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.7
2022-05-26,22434.0,172293.12,0.05,3.71,0.05,0.17,0.0,139269.12,17634.0,18134.0,135429.12,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.68
2022-05-27,22434.0,172517.46,0.05,3.85,0.05,0.17,0.0,139450.46,17634.0,18134.0,135605.46,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.28,0.5275,61.72,0.0219,7.69
2022-05-30,22434.0,174985.2,0.05,3.84,0.05,0.17,0.0,141445.2,17634.0,18134.0,137545.2,,,,,,,,,,,,0.13,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5273,61.67,0.0219,7.8
2022-05-31,22434.0,177901.62,0.05,3.85,0.05,0.18,0.0,143802.62,17634.0,18134.0,139837.62,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.93
2022-06-01,22434.0,180167.45,0.05,4.22,0.05,0.18,0.0,145634.15,17634.0,18134.0,141618.65,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.12,0.5282,61.88,0.0219,8.031
2022-06-02,22434.0,177677.28,0.05,4.17,0.05,0.18,0.0,143621.28,17634.0,18134.0,139661.28,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,37.97,0.5289,62.03,0.0219,7.92
2022-06-03,22434.0,179023.32,0.05,4.29,0.05,0.18,0.0,144709.32,17634.0,18134.0,140719.32,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.07,0.5284,61.93,0.0219,7.98
2022-06-06,22434.0,179202.79,0.05,4.39,0.05,0.18,0.0,144854.39,17634.0,18134.0,140860.39,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.988
2022-06-07,22434.0,176331.24,0.05,4.89,0.05,0.18,0.0,142533.24,17634.0,18134.0,138603.24,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.36,0.5271,61.64,0.0219,7.86
2022-06-08,22434.0,177228.6,0.05,4.92,0.05,0.18,0.0,143258.6,17634.0,18134.0,139308.6,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.9
2022-06-09,22434.0,179472.0,0.05,4.9,0.05,0.18,0.0,145072.0,17634.0,18134.0,141072.0,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.32,0.5273,61.68,0.0219,8.0
2022-06-10,22434.0,177901.62,0.05,4.43,0.05,0.18,0.0,143802.62,17634.0,18134.0,139837.62,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.11,0.5283,61.89,0.0219,7.93
2022-06-13,22434.0,175433.88,0.05,4.32,0.05,0.18,0.0,141807.88,17634.0,18134.0,137897.88,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.22,0.5278,61.78,0.0219,7.82
2022-06-14,22434.0,174312.18,0.05,4.4,0.05,0.18,0.0,140901.18,17634.0,18134.0,137016.18,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.77
2022-06-15,22434.0,176779.92,0.05,4.42,0.05,0.17,0.0,142895.92,17634.0,18134.0,138955.92,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.88
2022-06-16,22434.0,173302.65,0.05,4.54,0.05,0.18,0.0,140085.15,17634.0,18134.0,136222.65,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.23,0.5277,61.77,0.0219,7.725
2022-06-17,22434.0,176331.24,0.05,4.38,0.05,0.18,0.0,142533.24,17634.0,18134.0,138603.24,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.06,0.5285,61.94,0.0219,7.86
2022-06-20,22434.0,174985.2,0.05,4.42,0.05,0.18,0.0,141445.2,17634.0,18134.0,137545.2,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.39,0.5269,61.61,0.0219,7.8
2022-06-21,22434.0,177452.94,0.05,4.56,0.05,0.18,0.0,143439.94,17634.0,18134.0,139484.94,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.91
2022-06-22,22434.0,178125.96,0.05,4.41,0.05,0.18,0.0,143983.96,17634.0,18134.0,140013.96,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.94
2022-06-23,22434.0,179247.66,0.05,4.45,0.05,0.18,0.0,144890.66,17634.0,18134.0,140895.66,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.33,0.5272,61.67,0.0219,7.99
2022-06-24,22434.0,177677.28,0.05,4.65,0.05,0.18,0.0,143621.28,17634.0,18134.0,139661.28,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.24,0.5277,61.76,0.0219,7.92
2022-06-27,22434.0,179000.89,0.05,4.6,0.05,0.18,0.0,144691.19,17634.0,18134.0,140701.69,,,,,,,,,,,,0.14,,100.0,1.72,0.0,0.0,0.0,100.0,38.34,0.5272,61.66,0.0219,7.979
