,COMO FP Equity_DX_SI_QTY,COMO FP Equity_DX_SHORT_INTEREST_VALUE,COMO FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,COMO FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,COMO FP Equity_DX_SI_MV,COMO FP Equity_DX_DSS,COMO FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,COMO FP Equity_DX_SUPPLY_SI_QTY,COMO FP Equity_DX_BROKER_SI_QTY,COMO FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,COMO FP Equity_DX_BROKER_SI_MV_NEW_x,COMO FP Equity_DX_SUPPLY_SI_QTY_NEW_x,COMO FP Equity_DX_SUPPLY_SI_QTY_INC_x,COMO FP Equity_DX_BROKER_SI_MV_INC_x,COMO FP Equity_DX_SUPPLY_SI_MV_NEW,COMO FP Equity_DX_BROKER_SI_QTY_ADD,COMO FP Equity_DX_BROKER_SI_QTY_NEW,COMO FP Equity_DX_SUPPLY_SI_MV_DEC,COMO FP Equity_DX_BROKER_SI_QTY_INC,COMO FP Equity_DX_SUPPLY_SI_QTY_DEC,COMO FP Equity_DX_BROKER_SI_MV_NEW_y,COMO FP Equity_DX_SUPPLY_SI_QTY_NEW_y,COMO FP Equity_DX_BROKER_SI_MV_INC_y,COMO FP Equity_DX_SUPPLY_SI_QTY_INC_y,COMO FP Equity_DX_BROKER_SI_MV_ADD,COMO FP Equity_DX_SUPPLY_SI_QTY_ADD,COMO FP Equity_DX_BROKER_SI_QTY_DEC,COMO FP Equity_DX_SUPPLY_SI_MV,COMO FP Equity_DX_BROKER_SI_MV_DEC,COMO FP Equity_DX_SUPPLY_SI_MV_RMV,COMO FP Equity_DX_BROKER_SI_MV_RMV,COMO FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,COMO FP Equity_DX_UTILIZATION_QUANTITY,COMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,COMO FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,COMO FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,COMO FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,COMO FP Equity_DX_ACTIVE_UTILIZATION_MV,COMO FP Equity_DX_BROKER_SI_MARKET_SHARE_2,COMO FP Equity_DX_BROKER_SI_CON_RATIO,COMO FP Equity_DX_BROKER_SI_MARKET_SHARE_1,COMO FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-06-28,20217.0,501381.6,0.54,0.2,0.5,,501381.6,215.0,20217.0,5332.0,,,,,,,,0.0,,2.0,,,,,,,2001.0,0.01,0.05,,,9.87,9.87,1962.0,48657.6,,0.0,0.0,1.07,0.9788,98.93,9.2866
2006-07-03,5217.0,130111.98,0.17,0.05,0.13,,130111.98,219.0,5217.0,5461.86,,,5.0,0.0,,,,,0.0,,,,0.0,5.0,,,15000.0,0.01,0.36,,,9.82,9.82,2015.0,50254.1,,0.0,0.0,4.18,0.92,95.82,2.3353
2006-07-04,5217.0,130111.98,0.2,0.05,0.13,,130111.98,217.0,5217.0,5411.98,,,,,,,,0.0,,2.0,,,,,,,,0.01,,,,9.86,9.86,1984.0,49480.96,,0.0,0.0,4.17,0.9201,95.83,2.3703
2006-07-05,5217.0,130946.7,0.21,0.05,0.13,,130946.7,0.0,5217.0,0.0,,,,,,,,0.01,,217.0,,,,,,,,0.0,,,,0.0,0.0,2220.0,55722.0,,0.0,0.0,4.17,0.9201,95.83,2.35
2006-07-06,35000.0,881300.0,1.27,0.35,0.88,,881300.0,0.0,35000.0,0.0,,,,0.74,,,,,29783.0,,,,0.74,,,,,0.0,,,,0.0,0.0,8751.0,220350.18,,0.0,0.0,14.36,0.754,85.64,3.9995
2006-07-07,115000.0,2886500.0,4.07,1.15,2.88,,2886500.0,0.0,115000.0,0.0,,,,2.01,,,,,80000.0,,,,2.01,,,,,0.0,,,,0.0,0.0,8765.0,220001.5,,0.0,0.0,4.37,0.9164,95.63,13.1204
2006-07-10,115000.0,2853150.0,3.24,1.15,2.88,,2853150.0,0.0,115000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,8739.0,216814.59,,0.0,0.0,4.36,0.9167,95.64,13.1594
2006-07-11,161000.0,4057200.0,4.26,1.61,4.03,,4057200.0,0.0,161000.0,0.0,,,,1.15,,,,,46000.0,,,,1.15,,,,,0.0,,,,0.0,0.0,8725.0,219870.0,,0.0,0.0,3.12,0.9396,96.88,18.4527
2006-07-12,166000.0,4213080.0,4.51,1.66,4.15,,4213080.0,0.0,166000.0,0.0,,,,0.13,,,,,5000.0,,,,0.13,,,,,0.0,,,,0.0,0.0,8795.0,223217.1,,0.0,0.0,6.07,0.8859,93.93,18.8744
2006-07-13,147000.0,3741150.0,4.07,1.47,3.68,,3741150.0,0.0,147000.0,0.0,,,,,,,,,,,,,,,,,19000.0,0.0,0.48,,,0.0,0.0,14035.0,357190.75,,0.0,0.0,6.9,0.8715,93.1,10.4738
2006-07-14,147000.0,3786720.0,4.17,1.47,3.68,,3786720.0,0.0,147000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15430.0,397476.8,,0.0,0.0,6.92,0.8712,93.08,9.5269
2006-07-17,147000.0,3801420.0,4.31,1.47,3.68,,3801420.0,0.0,147000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15727.0,406700.22,,0.0,0.0,7.0,0.8698,93.0,9.347
2006-07-18,147000.0,3767610.0,4.28,1.47,3.69,,3767610.0,0.0,147000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15619.0,400314.97,,0.0,0.0,7.02,0.8694,92.98,9.4116
2006-07-19,147000.0,3617670.0,4.44,1.47,3.68,,3617670.0,0.0,147000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15508.0,381651.88,,0.0,0.0,6.96,0.8704,93.04,9.479
2006-07-20,147000.0,3652950.0,4.35,1.47,3.67,,3652950.0,0.0,147000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15215.0,378092.75,,0.0,0.0,6.7,0.8749,93.3,9.6615
2006-07-21,147000.0,3601500.0,4.41,1.47,3.68,,3601500.0,0.0,147000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15223.0,372963.5,,0.0,0.0,6.76,0.8739,93.24,9.6564
2006-07-24,11591.0,286181.79,0.35,0.12,0.28,,286181.79,0.0,11591.0,0.0,,,,,,,,,,,,,,,,,135409.0,0.0,3.4,,,0.0,0.0,15236.0,376176.84,,0.0,0.0,13.88,0.761,86.12,0.7608
2006-07-25,10000.0,249900.0,0.31,0.1,0.25,,249900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,1591.0,0.0,0.04,,,0.0,0.0,15200.0,379848.0,,0.0,0.0,,1.0,100.0,0.6579
2006-07-26,10000.0,248900.0,0.39,0.1,0.25,,248900.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15115.0,376212.35,,0.0,0.0,,1.0,100.0,0.6616
2006-07-27,10000.0,248700.0,0.39,0.1,0.25,,248700.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,15200.0,378024.0,,0.0,0.0,,1.0,100.0,0.6579
2006-07-28,10000.0,247400.0,0.39,0.1,0.25,,247400.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-07-31,10000.0,250500.0,0.37,0.1,0.25,,250500.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-08-01,40000.0,1012800.0,1.52,0.4,0.99,,1012800.0,0.0,40000.0,0.0,,,,,,30000.0,,,,,,,,,0.74,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.23,0.6227,74.77,0.0
2006-08-02,40000.0,1024400.0,1.49,0.4,0.99,,1024400.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.44,0.6207,74.56,0.0
2006-08-03,40000.0,998400.0,1.48,0.4,1.0,,998400.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.65,0.6185,74.35,0.0
2006-08-04,40000.0,1004800.0,1.44,0.4,0.99,,1004800.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,36585.0,919015.2,,0.0,0.0,25.17,0.6233,74.83,1.0933
2006-08-07,40000.0,1005600.0,1.54,0.4,0.99,,1005600.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.29,0.6221,74.71,0.0
2006-08-08,40000.0,1010000.0,1.52,0.4,0.99,,1010000.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.3,0.622,74.7,0.0
2006-08-09,40000.0,1015200.0,1.49,0.4,0.99,,1015200.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.38,0.6212,74.62,0.0
2006-08-10,40000.0,1009200.0,1.41,0.4,1.0,,1009200.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.48,0.6202,74.52,0.0
2006-08-11,40000.0,990400.0,1.36,0.4,0.99,,990400.0,0.0,40000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,25.37,0.6213,74.63,0.0
2006-08-14,91000.0,2211300.0,3.1,0.91,2.28,,2211300.0,0.0,91000.0,0.0,,,,1.51,,,,,60000.0,,,,1.51,,,,9000.0,0.0,0.23,,,0.0,0.0,35878.0,871835.4,,0.0,0.0,1.09,0.9785,98.91,2.5364
2006-08-15,111000.0,2707290.0,3.66,1.11,2.77,,2707290.0,19501.0,111000.0,475629.39,,,,0.49,,,,,20000.0,,,,0.49,,,19501.0,,0.49,,,,55.01,55.01,15946.0,388922.94,,0.0,0.0,18.45,0.6991,81.55,3.1314
2006-08-16,111000.0,2706180.0,3.66,1.11,2.76,,2706180.0,19560.0,111000.0,476872.8,,,59.0,,,,,,,,,,,59.0,,,,0.49,,,,55.49,55.49,15690.0,382522.2,,0.0,0.0,18.5,0.6984,81.5,3.1489
2006-08-17,61000.0,1454240.0,2.36,0.61,1.5,,1454240.0,19744.0,61000.0,470696.96,,,184.0,,,,,,,,,,,184.0,,,50000.0,0.49,1.26,,,55.92,55.92,15561.0,370974.24,,0.0,0.0,33.99,0.5513,66.01,1.7278
2006-08-18,61000.0,1457900.0,2.37,0.61,1.51,,1457900.0,19306.0,61000.0,461413.4,,,,,,,,0.01,,437.0,,,,,,,,0.48,,,,55.46,55.46,15504.0,370545.6,,0.0,0.0,33.99,0.5513,66.01,1.7524
2006-08-21,61000.0,1454850.0,3.22,0.61,1.49,,1454850.0,19485.0,61000.0,464717.25,,,179.0,,,,,,,,,,,179.0,,,,0.48,,,,55.88,55.88,15383.0,366884.55,,0.0,0.0,33.54,0.5542,66.46,1.7494
2006-08-22,61000.0,1465830.0,3.46,0.61,1.5,,1465830.0,19458.0,61000.0,467575.74,,,,,,,,0.0,,27.0,,,,,,,,0.48,,,,55.56,55.56,15567.0,374075.01,,0.0,0.0,33.49,0.5545,66.51,1.7416
2006-08-23,61000.0,1482910.0,3.17,0.61,1.5,,1482910.0,19556.0,61000.0,475406.36,,,97.0,,,,,,,,,,,97.0,,,,0.48,,,,55.01,55.01,15994.0,388814.14,,0.0,0.0,33.66,0.5534,66.34,1.7159
2006-08-24,61000.0,1469490.0,3.05,0.61,1.5,,1469490.0,0.0,61000.0,0.0,,,,,,,,0.48,,19556.0,,,,,,,,0.0,,,,0.0,0.0,35589.0,857339.01,,0.0,0.0,33.92,0.5517,66.08,1.714
2006-08-25,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,61000.0,0.0,1.51,,,0.0,0.0,0.0,0.0,,0.88,0.0,,0.0,,0.0
2006-08-28,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.89,0.0,,0.0,,0.0
2006-08-29,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.88,0.0,,0.0,,0.0
2006-08-30,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.87,0.0,,0.0,,0.0
2006-08-31,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.86,0.0,,0.0,,0.0
2006-09-01,100000.0,2347000.0,5.14,1.0,2.34,,2347000.0,0.0,100000.0,0.0,,,,,,100000.0,,,,,,,,,2.34,,,0.0,,,,0.0,0.0,36696.0,861255.12,,0.0,0.0,,1.0,100.0,2.7251
2006-09-04,100000.0,2316000.0,4.76,1.0,2.35,,2316000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,36665.0,849161.4,,0.0,0.0,,1.0,100.0,2.7274
2006-09-05,100000.0,2339000.0,4.88,1.0,2.35,,2339000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,35824.0,837923.36,,0.0,0.0,,1.0,100.0,2.7914
2006-09-06,100000.0,2371000.0,4.8,1.0,2.35,,2371000.0,0.0,100000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,36291.0,860459.61,,0.0,0.0,,1.0,100.0,2.7555
2006-09-07,116638.0,2726996.44,5.54,1.17,2.73,,2338000.0,16638.0,100000.0,388996.44,,,,,,,,,,,,,,,,16638.0,,0.39,,,,45.81,45.81,19684.0,460211.92,,0.0,0.0,,1.0,100.0,3.2112
2006-09-08,100000.0,2343000.0,4.78,1.0,2.35,,2343000.0,0.0,100000.0,0.0,,,,,,,,0.39,,16638.0,,,,,,,,0.0,,,,0.0,0.0,36306.0,850649.58,,0.0,0.0,,1.0,100.0,2.7544
2006-09-11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,100000.0,0.0,2.34,,,0.0,0.0,0.0,0.0,,0.83,0.0,,0.0,,0.0
2006-09-12,100000.0,2289000.0,4.71,1.0,2.35,,2289000.0,0.0,100000.0,0.0,,,,,,100000.0,,,,,,,,,2.35,,,0.0,,,,0.0,0.0,34334.0,785905.26,,0.0,0.0,,1.0,100.0,2.9126
2006-09-13,100243.0,2265491.8,4.77,1.0,2.35,,2262712.0,123.0,100120.0,2779.8,,,,,,120.0,,,,,,,,,0.0,123.0,,0.0,,,,0.36,0.36,34319.0,775609.4,,0.0,0.0,0.12,0.9977,99.88,2.9105
2006-09-14,100241.0,2217330.92,4.59,1.0,2.35,,2214654.4,121.0,100120.0,2676.52,,,,,,,,0.0,,2.0,,,,,,,,0.0,,,,0.35,0.35,34078.0,753805.36,,0.0,0.0,0.12,0.9977,99.88,2.9311
2006-09-15,100239.0,2222298.63,4.7,1.0,2.36,,2219660.4,119.0,100120.0,2638.23,,,,,,,,0.0,,3.0,,,,,,,,0.0,,,,0.35,0.35,33822.0,749833.74,,0.0,0.0,0.11,0.9977,99.89,2.9534
2006-09-18,100239.0,2230317.75,4.57,0.87,2.36,,2227670.0,119.0,100120.0,2647.75,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.35,0.35,33592.0,747422.0,,0.0,0.0,0.11,0.9977,99.89,2.9735
2006-09-19,100239.0,2247358.38,4.65,0.87,2.36,,2244690.4,119.0,100120.0,2667.98,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.35,0.35,33698.0,755509.16,,0.0,0.0,0.11,0.9977,99.89,2.9641
2006-09-20,100240.0,2189241.6,3.77,0.87,2.35,,2186620.8,120.0,100120.0,2620.8,,,1.0,,,,,,,,,,,1.0,,,,0.0,,,,0.35,0.35,33943.0,741315.12,,0.0,0.0,0.11,0.9978,99.89,2.9428
2006-09-21,40237.0,879580.82,1.59,0.35,0.94,,877023.2,117.0,40120.0,2557.62,,,,,,,,0.0,,3.0,,,,,,,60000.0,0.0,1.39,,,0.35,0.35,33385.0,729796.1,,0.0,0.0,0.28,0.9944,99.72,1.201
2006-09-22,40246.0,877362.8,1.64,0.35,0.88,,874616.0,126.0,40120.0,2746.8,,,9.0,,,,,,,,,,,9.0,,,,0.0,,,,0.35,0.35,35591.0,775883.8,,0.0,0.0,0.3,0.9941,99.7,1.1268
2006-09-25,40246.0,870520.98,1.32,0.35,0.88,,867795.6,126.0,40120.0,2725.38,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.35,0.35,35838.0,775175.94,,0.0,0.0,0.3,0.9941,99.7,1.1191
2006-09-26,40245.0,883780.2,1.26,0.35,0.88,,881035.2,125.0,40120.0,2745.0,,,,,,,,0.0,,1.0,,,,,,,,0.0,,,,0.35,0.35,35100.0,770796.0,,0.77,0.35,0.3,0.994,99.7,1.1425
2006-09-27,46247.0,1013734.24,1.19,0.4,1.01,,1010950.4,127.0,46120.0,2783.84,,,2.0,,,6000.0,,,,,,,,2.0,0.13,,,0.0,,,,0.36,0.36,35467.0,777436.64,,0.78,0.36,13.03,0.7688,86.71,1.2993
2006-09-28,46246.0,1027586.12,1.13,0.4,1.01,,1024786.4,126.0,46120.0,2799.72,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,0.35,0.35,35986.0,799608.92,,0.79,0.35,13.04,0.7686,86.7,1.2806
2006-09-29,46248.0,1017456.0,1.03,0.4,1.01,,1014640.0,128.0,46120.0,2816.0,,,1.0,,,,,,,,,,,1.0,,,,0.0,,,,0.35,0.35,35986.0,791692.0,,0.79,0.35,13.2,0.7664,86.54,1.2806
2006-10-02,31246.0,687412.0,0.7,0.27,0.69,,684640.0,25163.0,31120.0,553586.0,,,25035.0,0.55,,,,,25000.0,,,,0.55,25035.0,,,40000.0,0.55,0.87,,,70.54,70.54,10509.0,231198.0,,0.23,70.54,0.39,0.9923,99.61,0.8759
2006-10-03,31246.0,672726.38,0.7,0.27,0.69,,670013.6,25128.0,31120.0,541005.84,,,,,,,,0.0,,35.0,,,,,,,,0.55,,,,70.57,70.57,10478.0,225591.34,,0.23,70.57,0.38,0.9925,99.62,0.8775
2006-10-04,31246.0,664289.96,0.68,0.27,0.67,,661611.2,25127.0,31120.0,534200.02,,,,,,,,0.01,,1.0,,,,,,,,0.54,,,,70.02,70.02,10756.0,228672.56,,0.23,70.02,0.38,0.9924,99.62,0.8708
2006-10-05,31246.0,681475.26,0.66,0.27,0.66,,678727.2,25123.0,31120.0,547932.63,,,,,,,,0.01,,4.0,,,,,,,,0.53,,,,67.61,67.61,12036.0,262505.16,,0.26,67.61,0.4,0.9921,99.6,0.8409
2006-10-06,31246.0,682725.1,0.63,0.27,0.68,,679972.0,25126.0,31120.0,549003.1,,,2.0,,,,,,,,,,,2.0,,,,0.55,,,,69.01,69.01,11285.0,246577.25,,0.25,69.01,0.39,0.9923,99.61,0.8581
2006-10-09,25246.0,563490.72,0.5,0.22,0.55,,560678.4,25123.0,25120.0,560745.36,,,,,,,,0.0,,2.0,,,,,,,6000.0,0.55,0.13,,,68.5,68.5,11554.0,257885.28,,0.25,68.5,0.49,0.9903,99.51,0.6883
2006-10-10,25246.0,560966.12,0.5,0.22,0.56,,558166.4,25127.0,25120.0,558321.94,,,3.0,,,,,,,,,,,3.0,,,,0.56,,,,69.05,69.05,11260.0,250197.2,,0.25,69.05,0.48,0.9905,99.52,0.6938
2006-10-11,25246.0,560208.74,0.51,0.22,0.56,,557412.8,25126.0,25120.0,557545.94,,,,,,,,0.0,,0.0,,,,,,,,0.56,,,,68.34,68.34,11639.0,258269.41,,0.26,68.34,0.48,0.9905,99.52,0.6867
2006-10-12,25246.0,557684.14,0.51,0.22,0.56,,554900.8,126.0,25120.0,2783.34,,,,,,,,0.55,,25000.0,,,,,,,,0.0,,,,0.35,0.35,36226.0,800232.34,,0.8,0.35,0.48,0.9905,99.52,0.6945
2006-10-13,3740.0,83963.0,0.07,0.03,0.08,,81134.3,3618.0,3614.0,81224.1,,,3492.0,,,,,,,,,,,3492.0,,,21506.0,0.08,0.48,,,9.97,9.97,32678.0,733621.1,,0.72,9.97,3.37,0.9348,96.63,0.103
2006-10-16,3740.0,84037.8,0.07,0.03,0.08,,81206.58,3620.0,3614.0,81341.4,,,2.0,,,,,,,,,,,2.0,,,,0.08,,,,10.02,10.02,32522.0,730769.34,,0.73,10.02,3.32,0.9358,96.68,0.1035
2006-10-17,3740.0,85533.8,0.07,0.03,0.08,,82652.18,3618.0,3614.0,82743.66,,,,,,,,0.0,,2.0,,,,,,,,0.08,,,,9.87,9.87,33027.0,755327.49,,0.74,9.87,3.38,0.9347,96.62,0.1021
2006-10-18,3740.0,84187.4,0.05,0.03,0.09,,81351.14,3622.0,3614.0,81531.22,,,4.0,,,,,,,,,,,4.0,,,,0.08,,,,10.34,10.34,31393.0,706656.43,,0.72,10.34,3.27,0.9367,96.73,0.1068
2006-10-19,3740.0,83589.0,0.05,0.03,0.08,,80772.9,3621.0,3614.0,80929.35,,,,,,,,0.0,,1.0,,,,,,,,0.08,,,,9.75,9.75,33529.0,749373.15,,0.76,9.75,3.3,0.9362,96.7,0.1007
2006-10-20,3740.0,84150.0,0.05,0.03,0.08,,81315.0,3619.0,3614.0,81427.5,,,,,,,,0.0,,2.0,,,,,,,,0.08,,,,9.61,9.61,34042.0,765945.0,,0.76,9.61,3.34,0.9354,96.66,0.0993
2006-10-23,3740.0,84000.4,0.05,0.03,0.08,,81170.44,3620.0,3614.0,81305.2,,,1.0,,,,,,,,,,,1.0,,,,0.08,,,,10.18,10.18,31954.0,717686.84,,0.72,10.18,3.31,0.9359,96.69,0.1051
2006-10-24,3740.0,84598.8,0.05,0.03,0.08,,81748.68,3619.0,3614.0,81861.78,,,,,,,,0.0,,1.0,,,,,,,,0.08,,,,9.73,9.73,33596.0,759941.52,,0.75,9.73,3.34,0.9354,96.66,0.1005
