,ALCOG FP Equity_DX_SI_QTY,ALCOG FP Equity_DX_SHORT_INTEREST_VALUE,ALCOG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALCOG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALCOG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALCOG FP Equity_DX_SI_MV,ALCOG FP Equity_DX_DSS,ALCOG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALCOG FP Equity_DX_SUPPLY_SI_QTY,ALCOG FP Equity_DX_BROKER_SI_QTY,ALCOG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALCOG FP Equity_DX_BROKER_SI_MV_NEW_x,ALCOG FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALCOG FP Equity_DX_BROKER_SI_MV_INC_x,ALCOG FP Equity_DX_BROKER_SI_QTY_ADD,ALCOG FP Equity_DX_BROKER_SI_QTY_NEW,ALCOG FP Equity_DX_SUPPLY_SI_MV_DEC,ALCOG FP Equity_DX_BROKER_SI_QTY_INC,ALCOG FP Equity_DX_SUPPLY_SI_QTY_DEC,ALCOG FP Equity_DX_BROKER_SI_MV_NEW_y,ALCOG FP Equity_DX_BROKER_SI_MV_INC_y,ALCOG FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALCOG FP Equity_DX_BROKER_SI_MV_ADD,ALCOG FP Equity_DX_SUPPLY_SI_QTY_ADD,ALCOG FP Equity_DX_BROKER_SI_QTY_DEC,ALCOG FP Equity_DX_SUPPLY_SI_MV,ALCOG FP Equity_DX_BROKER_SI_MV_DEC,ALCOG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALCOG FP Equity_DX_UTILIZATION_QUANTITY,ALCOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALCOG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALCOG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALCOG FP Equity_DX_ACTIVE_UTILIZATION_MV,ALCOG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALCOG FP Equity_DX_BROKER_SI_CON_RATIO,ALCOG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALCOG FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-08-18,420.0,7182.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7182.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-19,420.0,7161.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7161.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-22,420.0,7392.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7392.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-23,420.0,7392.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7392.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-24,420.0,7371.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7371.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-25,420.0,7287.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7287.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-26,420.0,7392.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7392.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-29,420.0,7749.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7749.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-30,420.0,8001.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,8001.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-08-31,420.0,7707.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7707.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-01,420.0,7476.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,7476.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-02,420.0,7434.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,7434.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-05,420.0,7308.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,7308.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-06,420.0,7140.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,7140.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-07,420.0,7056.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,7056.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-08,420.0,6720.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6720.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-09,420.0,6825.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6825.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-12,420.0,7119.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,7119.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-13,420.0,6384.0,0.03,0.04,0.01,0.01,0.0,0.0,420.0,0.0,6384.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-14,420.0,6363.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6363.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0
2022-09-15,520.0,8164.0,0.03,0.04,0.02,0.01,0.0,1570.0,520.0,100.0,8164.0,,100.0,,100.0,,,,,,,100.0,0.0,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,19.28,0.6887,80.72,1.0
2022-09-16,620.0,9424.0,0.04,0.05,0.02,0.01,0.0,3040.0,620.0,200.0,9424.0,,100.0,0.0,,,,100.0,,,0.0,100.0,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,32.26,0.563,67.74,1.0
2022-09-19,720.0,9720.0,0.04,0.06,0.02,0.01,0.0,4050.0,720.0,300.0,9720.0,,100.0,0.0,,,,100.0,,,0.0,100.0,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,41.67,0.5139,58.33,1.0
2022-09-20,720.0,9216.0,0.04,0.05,0.02,0.01,0.0,3840.0,720.0,300.0,9216.0,,,,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,41.67,0.5139,58.33,1.0
2022-09-21,720.0,9720.0,0.04,0.05,0.02,0.01,0.0,4050.0,720.0,300.0,9720.0,,,,,,,,,,,,,,,0.01,,100.0,87.8,0.0,0.0,0.0,100.0,41.67,0.5139,58.33,0.878
2022-09-22,720.0,9360.0,0.04,0.05,0.02,0.01,0.0,3900.0,720.0,300.0,9360.0,,,,,,,,,,,,,,,0.01,,100.0,87.8,0.0,0.0,0.0,100.0,41.67,0.5139,58.33,0.878
2022-09-23,420.0,5292.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,5292.0,,,,,,0.0,,300.0,,,,,,300.0,0.01,0.0,100.0,43.3,0.0,0.0,0.0,100.0,41.67,1.0,100.0,0.433
2022-09-26,420.0,5670.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,5670.0,,,,,,,,,,,,,,,0.01,,100.0,62.69,0.0,0.0,0.0,100.0,,1.0,100.0,0.6269
2022-09-27,420.0,6069.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6069.0,,,,,,,,,,,,,,,0.01,,100.0,62.69,0.0,0.0,0.0,100.0,,1.0,100.0,0.6269
2022-09-28,420.0,6300.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6300.0,,,,,,,,,,,,,,,0.01,,100.0,62.69,0.0,0.0,0.0,100.0,,1.0,100.0,0.6269
2022-09-29,420.0,6510.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6510.0,,,,,,,,,,,,,,,0.01,,100.0,62.69,0.0,0.0,0.0,100.0,,1.0,100.0,0.6269
2022-09-30,420.0,6783.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6783.0,,,,,,,,,,,,,,,0.01,,100.0,80.77,0.0,0.0,0.0,100.0,,1.0,100.0,0.8077
2022-10-03,420.0,6741.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6741.0,,,,,,,,,,,,,,,0.01,,100.0,15.5,0.0,0.0,0.0,100.0,,1.0,100.0,0.155
2022-10-04,420.0,6510.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6510.0,,,,,,,,,,,,,,,0.01,,100.0,13.5,0.0,0.0,0.0,100.0,,1.0,100.0,0.135
2022-10-05,420.0,6006.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6006.0,,,,,,,,,,,,,,,0.01,,100.0,11.63,0.0,0.0,0.0,100.0,,1.0,100.0,0.1163
2022-10-06,420.0,6090.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6090.0,,,,,,,,,,,,,,,0.01,,100.0,22.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.2223
2022-10-07,420.0,6195.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6195.0,,,,,,,,,,,,,,,0.01,,100.0,22.23,0.0,0.0,0.0,100.0,,1.0,100.0,0.2223
2022-10-10,420.0,6006.0,0.03,0.03,0.01,0.01,0.0,0.0,420.0,0.0,6006.0,,,,,,,,,,,,,,,0.01,,100.0,20.11,0.0,0.0,0.0,100.0,,1.0,100.0,0.2011
2022-10-11,420.0,5796.0,0.02,0.03,0.01,0.01,0.0,0.0,420.0,0.0,5796.0,,,,,,,,,,,,,,,0.01,,100.0,20.11,0.0,0.0,0.0,100.0,,1.0,100.0,0.2011
2022-10-12,850.0,11772.5,0.05,0.06,0.02,0.01,0.0,2977.75,635.0,215.0,8794.75,,215.0,,215.0,,,,,,,215.0,0.0,,,0.01,,100.0,52.74,0.0,0.0,0.0,100.0,49.41,0.5001,50.59,0.706
2022-10-13,1386.0,19750.5,0.08,0.1,0.04,0.02,0.0,6882.75,903.0,483.0,12867.75,,268.0,0.0,,,,268.0,,,0.0,268.0,,,,0.01,,100.0,61.35,0.0,0.0,0.0,100.0,30.3,0.5776,69.7,0.9416
2022-10-14,1386.0,19681.2,0.08,0.1,0.04,0.02,0.0,6858.6,903.0,483.0,12822.6,,,,,,,,,,,,,,,0.01,,100.0,61.35,0.0,0.0,0.0,100.0,30.3,0.5776,69.7,0.9416
2022-10-17,1386.0,20512.8,0.08,0.11,0.04,0.02,0.0,7148.4,903.0,483.0,13364.4,,,,,,,,,,,,,,,0.01,,100.0,61.35,0.0,0.0,0.0,100.0,30.3,0.5776,69.7,0.9416
2022-10-18,1386.0,20651.4,0.08,0.11,0.04,0.02,0.0,7196.7,903.0,483.0,13454.7,,,,,,,,,,,,,,,0.01,,100.0,61.35,0.0,0.0,0.0,100.0,30.3,0.5776,69.7,0.9416
2022-10-19,1386.0,19681.2,0.08,0.11,0.04,0.02,0.0,6858.6,903.0,483.0,12822.6,,,,,,,,,,,,,,,0.01,,100.0,61.35,0.0,0.0,0.0,100.0,30.3,0.5776,69.7,0.9416
2022-10-20,956.0,13479.6,0.06,0.07,0.03,0.01,0.0,3778.8,688.0,268.0,9700.8,,,,,,0.0,,215.0,,,,,,215.0,0.01,0.0,100.0,54.73,0.0,0.0,0.0,100.0,43.93,0.5074,56.07,0.7605
2022-10-21,420.0,5964.0,0.02,0.03,0.01,0.01,0.0,0.0,420.0,0.0,5964.0,,,,,,0.0,,268.0,,,,,,268.0,0.01,0.0,100.0,33.41,0.0,0.0,0.0,100.0,,1.0,100.0,0.3341
2022-10-24,1620.0,23004.0,0.1,0.14,0.05,0.02,0.0,8520.0,1020.0,600.0,14484.0,,600.0,,600.0,,,,,,,600.0,0.01,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-10-25,1620.0,22923.0,0.1,0.15,0.05,0.02,0.0,8490.0,1020.0,600.0,14433.0,,,,,,,,,,,,,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-10-26,1620.0,22842.0,0.1,0.17,0.05,0.02,0.0,8460.0,1020.0,600.0,14382.0,,,,,,,,,,,,,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-10-27,1620.0,22599.0,0.1,0.18,0.05,0.02,0.0,8370.0,1020.0,600.0,14229.0,,,,,,,,,,,,,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-10-28,1620.0,22194.0,0.1,0.18,0.05,0.02,0.0,8220.0,1020.0,600.0,13974.0,,,,,,,,,,,,,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-10-31,1620.0,22842.0,0.1,0.18,0.05,0.02,0.0,8460.0,1020.0,600.0,14382.0,,,,,,,,,,,,,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-11-01,1620.0,22437.0,0.1,0.21,0.05,0.02,0.0,8310.0,1020.0,600.0,14127.0,,,,,,,,,,,,,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-11-02,1620.0,22275.0,0.1,0.22,0.05,0.02,0.0,8250.0,1020.0,600.0,14025.0,,,,,,,,,,,,,,,0.01,,100.0,64.19,0.0,0.0,0.0,100.0,25.93,0.6159,74.07,1.0195
2022-11-03,1250.0,16875.0,0.07,0.18,0.04,0.02,0.0,8100.0,650.0,600.0,8775.0,,,,,,0.01,,370.0,,,,,,,0.01,,100.0,53.32,0.0,0.0,0.0,100.0,4.0,0.9232,96.0,1.0254
2022-11-04,50.0,670.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,670.0,,,,,,0.01,,600.0,,,,,,600.0,0.0,0.01,100.0,4.1,0.0,0.0,0.0,100.0,7.69,1.0,100.0,0.041
2022-11-07,50.0,662.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,662.5,,,,,,,,,,,,,,,0.0,,100.0,5.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.0516
2022-11-08,50.0,712.5,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,712.5,,,,,,,,,,,,,,,0.0,,100.0,8.08,0.0,0.0,0.0,100.0,,1.0,100.0,0.0808
2022-11-09,2050.0,28905.0,0.12,0.31,0.06,0.03,0.0,14100.0,1050.0,1000.0,14805.0,,1000.0,,1000.0,,,,,,,1000.0,0.01,,,0.02,,100.0,64.85,0.0,0.0,0.0,100.0,2.44,0.9524,97.56,1.2662
2022-11-10,2050.0,28700.0,0.12,0.33,0.06,0.03,0.0,14000.0,1050.0,1000.0,14700.0,,,,,,,,,,,,,,,0.01,,100.0,64.85,0.0,0.0,0.0,100.0,2.44,0.9524,97.56,1.2662
2022-11-11,2050.0,28187.5,0.12,0.36,0.06,0.03,0.0,13750.0,1050.0,1000.0,14437.5,,,,,,,,,,,,,,,0.01,,100.0,64.85,0.0,0.0,0.0,100.0,2.44,0.9524,97.56,1.2662
2022-11-14,2050.0,27777.5,0.12,0.36,0.06,0.03,0.0,13550.0,1050.0,1000.0,14227.5,,,,,,,,,,,,,,,0.01,,100.0,64.85,0.0,0.0,0.0,100.0,2.44,0.9524,97.56,1.2662
2022-11-15,2050.0,28085.0,0.12,0.37,0.06,0.03,0.0,13700.0,1050.0,1000.0,14385.0,,,,,,,,,,,,,,,0.01,,100.0,64.85,0.0,0.0,0.0,100.0,2.44,0.9524,97.56,1.2662
2022-11-16,50.0,680.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,680.0,,,,,,0.01,,1000.0,,,,,,1000.0,0.0,0.01,100.0,7.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.0747
2022-11-17,50.0,690.0,0.0,0.01,0.0,0.0,0.0,0.0,50.0,0.0,690.0,,,,,,,,,,,,,,,0.0,,100.0,7.47,0.0,0.0,0.0,100.0,,1.0,100.0,0.0747
2022-11-18,269.0,3658.4,0.02,0.06,0.01,0.0,0.0,2978.4,195.0,219.0,2652.0,,,,219.0,,,,,,,,0.0,145.0,,0.0,,100.0,23.96,0.0,0.0,0.0,100.0,18.54,0.698,81.46,0.3305
2022-11-21,358.0,4833.0,0.02,0.08,0.01,0.0,0.0,4158.0,358.0,308.0,4833.0,,95.0,0.0,,,,89.0,,,0.0,95.0,,68.0,,0.0,,100.0,41.68,0.0,0.0,0.0,100.0,13.83,0.7616,86.17,0.4168
2022-11-22,358.0,5208.9,0.02,0.08,0.01,0.0,0.0,4481.4,358.0,308.0,5208.9,,,,,,,,,,,,,,,0.0,,100.0,41.68,0.0,0.0,0.0,100.0,13.96,0.7597,86.04,0.4168
2022-11-23,358.0,5155.2,0.02,0.09,0.01,0.01,0.0,4435.2,358.0,308.0,5155.2,,,,,,,,,,,,,,,0.01,,100.0,41.68,0.0,0.0,0.0,100.0,13.96,0.7597,86.04,0.4168
2022-11-24,504.0,7106.4,0.03,0.12,0.01,0.01,0.0,4356.9,359.0,309.0,5061.9,,1.0,0.0,,,,1.0,,,0.0,1.0,,,,0.01,,100.0,41.74,0.0,0.0,0.0,100.0,9.92,0.8213,90.08,0.586
2022-11-25,2442.0,34065.9,0.15,0.58,0.07,0.03,0.0,16684.2,1246.0,1196.0,17381.7,,1100.0,0.01,,,0.0,887.0,213.0,,0.01,1100.0,,,,0.02,,100.0,68.65,0.0,0.0,0.0,100.0,2.05,0.9599,97.95,1.3455
2022-11-28,2294.0,32460.1,0.14,0.56,0.07,0.03,0.0,15876.3,1172.0,1122.0,16583.8,,,,,,0.0,,74.0,,,,,,74.0,0.02,0.0,100.0,67.32,0.0,0.0,0.0,100.0,2.18,0.9574,97.82,1.3176
2022-11-29,2252.0,31865.8,0.13,0.58,0.07,0.03,0.0,15579.15,1151.0,1101.0,16286.65,,,,,,0.0,,21.0,,,,,,21.0,0.02,0.0,100.0,66.92,0.0,0.0,0.0,100.0,2.22,0.9566,97.78,1.3093
2022-11-30,2252.0,31415.4,0.13,0.6,0.07,0.03,0.0,15358.95,1151.0,1101.0,16056.45,,,,,,,,,,,,,,,0.02,,100.0,66.92,0.0,0.0,0.0,100.0,2.22,0.9566,97.78,1.3093
2022-12-01,2252.0,30852.4,0.13,0.64,0.07,0.03,0.0,15083.7,1151.0,1101.0,15768.7,,,,,,,,,,,,,,,0.02,,100.0,66.92,0.0,0.0,0.0,100.0,2.22,0.9566,97.78,1.3093
2022-12-02,2250.0,30937.5,0.13,0.62,0.07,0.03,0.0,15125.0,1150.0,1100.0,15812.5,,,,,,0.0,,1.0,,,,,,1.0,0.02,0.0,100.0,66.86,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3081
2022-12-05,2250.0,30937.5,0.13,0.62,0.07,0.03,0.0,15125.0,1150.0,1100.0,15812.5,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-06,2250.0,30600.0,0.13,0.62,0.07,0.03,0.0,14960.0,1150.0,1100.0,15640.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-07,2250.0,30487.5,0.13,0.64,0.07,0.03,0.0,14905.0,1150.0,1100.0,15582.5,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-08,2250.0,30600.0,0.13,0.64,0.07,0.03,0.0,14960.0,1150.0,1100.0,15640.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-09,2250.0,29475.0,0.13,0.64,0.07,0.03,0.0,14410.0,1150.0,1100.0,15065.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-12,2250.0,29025.0,0.13,0.61,0.07,0.03,0.0,14190.0,1150.0,1100.0,14835.0,,,,,,,,,,,,,,,0.02,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
2022-12-13,2250.0,29362.5,0.13,0.63,0.07,0.03,0.0,14355.0,1150.0,1100.0,15007.5,,,,,,,,,,,,,,,0.01,,100.0,66.9,0.0,0.0,0.0,100.0,2.22,0.9565,97.78,1.3089
