,ALFPC FP Equity_DX_SI_QTY,ALFPC FP Equity_DX_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALFPC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALFPC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALFPC FP Equity_DX_SI_MV,ALFPC FP Equity_DX_DSS,ALFPC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALFPC FP Equity_DX_SUPPLY_SI_QTY,ALFPC FP Equity_DX_BROKER_SI_QTY,ALFPC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALFPC FP Equity_DX_BROKER_SI_MV_INC_x,ALFPC FP Equity_DX_BROKER_SI_QTY_ADD,ALFPC FP Equity_DX_SUPPLY_SI_MV_DEC,ALFPC FP Equity_DX_BROKER_SI_QTY_INC,ALFPC FP Equity_DX_SUPPLY_SI_QTY_DEC,ALFPC FP Equity_DX_BROKER_SI_MV_INC_y,ALFPC FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALFPC FP Equity_DX_BROKER_SI_MV_ADD,ALFPC FP Equity_DX_SUPPLY_SI_QTY_ADD,ALFPC FP Equity_DX_BROKER_SI_QTY_DEC,ALFPC FP Equity_DX_SUPPLY_SI_MV,ALFPC FP Equity_DX_BROKER_SI_MV_DEC,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_UTILIZATION_QUANTITY,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALFPC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALFPC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALFPC FP Equity_DX_ACTIVE_UTILIZATION_MV,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALFPC FP Equity_DX_BROKER_SI_CON_RATIO,ALFPC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALFPC FP Equity_DX_DEMAND_SUPPLY_RATIO
2024-08-05,1087.0,106308.6,0.08,0.36,0.07,0.11,0.0,57408.6,500.0,587.0,48900.0,,,87.0,,,,,,0.01,,,0.05,,3.29,3.02,14691.0,1436779.8,1.48,3.29,45.9,0.4299,46.13,0.0656
2024-08-06,1068.0,104236.8,0.08,0.36,0.06,0.11,0.0,72419.2,555.0,742.0,54168.0,,0.03,,0.02,329.0,174.0,0.03,,,229.0,174.0,0.05,0.02,3.6,3.37,14865.0,1450824.0,1.45,3.6,31.13,0.3377,38.73,0.0649
2024-08-07,1498.0,145306.0,0.11,0.51,0.09,0.15,0.0,110677.0,954.0,1141.0,92538.0,458.0,0.04,,0.01,399.0,59.0,0.04,458.0,,,,0.09,,6.01,5.91,14924.0,1447628.0,1.46,6.01,30.28,0.3935,52.01,0.0928
2024-08-08,3012.0,284935.2,0.22,1.1,0.18,0.29,0.0,190335.2,1825.0,2012.0,172645.0,961.0,0.08,,0.01,871.0,90.0,0.08,961.0,,,,0.18,,11.39,11.21,14191.0,1342468.6,1.38,11.4,33.34,0.3333,33.53,0.185
2024-08-09,3858.0,378084.0,0.28,1.43,0.23,0.37,0.0,203742.0,1779.0,2079.0,174342.0,,,100.0,0.0,,46.0,,,0.01,,33.0,0.17,0.01,11.14,10.93,14191.0,1390718.0,1.34,11.14,26.49,0.3406,45.13,0.2369
2024-08-12,3600.0,350640.0,0.26,1.39,0.22,0.35,0.0,177365.4,1779.0,1821.0,173274.6,,,,,,,,,,,258.0,0.17,0.02,11.14,10.93,14191.0,1382203.4,1.39,11.14,27.79,0.3415,43.3,0.2211
2024-08-13,3600.0,355680.0,0.26,1.52,0.22,0.35,0.0,179914.8,1779.0,1821.0,175765.2,,,,,,,,,,,,0.17,,11.14,10.93,14191.0,1402070.8,1.38,11.14,27.8,0.3413,43.23,0.2211
2024-08-14,5600.0,555520.0,0.4,2.44,0.34,0.55,0.0,279843.2,2779.0,2821.0,275676.8,1000.0,,1000.0,,,,,1000.0,0.1,,,0.27,,16.38,16.08,14191.0,1407747.2,1.4,16.38,27.87,0.269,35.78,0.324
2024-08-15,8600.0,881500.0,0.62,4.04,0.52,0.85,0.0,442902.5,4279.0,4321.0,438597.5,1500.0,0.15,,,1500.0,,0.15,1500.0,,,,0.42,,23.17,22.78,14191.0,1454577.5,1.41,23.17,23.29,0.3628,53.09,0.4579
2024-08-16,7142.0,724913.0,0.51,3.55,0.43,0.73,0.0,369663.0,3600.0,3642.0,365400.0,,,100.0,0.06,,679.0,,,0.01,,779.0,0.37,0.07,20.23,19.17,14191.0,1440386.5,1.45,20.23,28.18,0.2963,42.28,0.3803
