,ALVAP FP Equity_DX_SI_QTY,ALVAP FP Equity_DX_SHORT_INTEREST_VALUE,ALVAP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALVAP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALVAP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALVAP FP Equity_DX_SI_MV,ALVAP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALVAP FP Equity_DX_SUPPLY_SI_QTY,ALVAP FP Equity_DX_BROKER_SI_QTY,ALVAP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALVAP FP Equity_DX_SUPPLY_SI_MV,ALVAP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALVAP FP Equity_DX_UTILIZATION_QUANTITY,ALVAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALVAP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALVAP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALVAP FP Equity_DX_ACTIVE_UTILIZATION_MV,ALVAP FP Equity_DX_BROKER_SI_CON_RATIO,ALVAP FP Equity_DX_DEMAND_SUPPLY_RATIO,ALVAP FP Equity_PX_LAST
2020-01-13,,,,,,,,,,,,,,,,,,,,4.1
2020-01-14,,,,,,,,,,,,,,,,,,,,4.0
2020-01-31,,,,,,,,,,,,,,,,,,,,4.0
2020-02-17,,,,,,,,,,,,,,,,,,,,4.05
2020-02-20,,,,,,,,,,,,,,,,,,,,3.79
2020-04-21,,,,,,,,,,,,,,,,,,,,2.06
2020-04-23,,,,,,,,,,,,,,,,,,,,3.08
2020-04-24,,,,,,,,,,,,,,,,,,,,3.5
2020-04-27,,,,,,,,,,,,,,,,,,,,3.5
2020-05-06,,,,,,,,,,,,,,,,,,,,3.54
2020-05-08,,,,,,,,,,,,,,,,,,,,4.14
2020-05-11,,,,,,,,,,,,,,,,,,,,4.14
2020-05-12,,,,,,,,,,,,,,,,,,,,4.16
2020-05-20,,,,,,,,,,,,,,,,,,,,4.12
2020-05-21,,,,,,,,,,,,,,,,,,,,4.12
2020-05-25,,,,,,,,,,,,,,,,,,,,3.36
2020-05-27,,,,,,,,,,,,,,,,,,,,4.12
2020-06-02,,,,,,,,,,,,,,,,,,,,4.12
2020-06-05,,,,,,,,,,,,,,,,,,,,4.1
2020-06-08,,,,,,,,,,,,,,,,,,,,4.1
2020-06-11,,,,,,,,,,,,,,,,,,,,4.1
2020-06-12,,,,,,,,,,,,,,,,,,,,4.1
2020-06-16,,,,,,,,,,,,,,,,,,,,4.12
2020-06-19,,,,,,,,,,,,,,,,,,,,4.12
2020-06-23,,,,,,,,,,,,,,,,,,,,4.64
2020-06-24,,,,,,,,,,,,,,,,,,,,4.64
2020-06-26,,,,,,,,,,,,,,,,,,,,4.16
2020-06-29,,,,,,,,,,,,,,,,,,,,4.16
2020-07-01,,,,,,,,,,,,,,,,,,,,3.74
2020-07-03,,,,,,,,,,,,,,,,,,,,3.78
2020-07-06,,,,,,,,,,,,,,,,,,,,4.0
2020-07-13,,,,,,,,,,,,,,,,,,,,4.5
2020-07-15,,,,,,,,,,,,,,,,,,,,5.2
2020-07-17,,,,,,,,,,,,,,,,,,,,5.0
2020-07-20,,,,,,,,,,,,,,,,,,,,4.98
2020-07-21,,,,,,,,,,,,,,,,,,,,4.94
2020-07-28,,,,,,,,,,,,,,,,,,,,5.0
2020-07-29,,,,,,,,,,,,,,,,,,,,5.0
2020-07-30,,,,,,,,,,,,,,,,,,,,5.0
2020-07-31,,,,,,,,,,,,,,,,,,,,5.4
2020-08-07,,,,,,,,,,,,,,,,,,,,5.4
2020-08-11,,,,,,,,,,,,,,,,,,,,5.4
2020-08-14,,,,,,,,,,,,,,,,,,,,5.5
2020-08-17,,,,,,,,,,,,,,,,,,,,5.7
2020-08-18,,,,,,,,,,,,,,,,,,,,5.7
2020-08-19,,,,,,,,,,,,,,,,,,,,5.5
2020-08-20,,,,,,,,,,,,,,,,,,,,5.5
2020-08-24,,,,,,,,,,,,,,,,,,,,5.9
2020-08-25,,,,,,,,,,,,,,,,,,,,5.9
2020-09-02,,,,,,,,,,,,,,,,,,,,5.8
2020-09-11,,,,,,,,,,,,,,,,,,,,5.7
2020-09-14,,,,,,,,,,,,,,,,,,,,5.1
2020-09-17,,,,,,,,,,,,,,,,,,,,4.98
2020-09-24,,,,,,,,,,,,,,,,,,,,5.9
2020-09-25,,,,,,,,,,,,,,,,,,,,5.95
2020-09-28,,,,,,,,,,,,,,,,,,,,5.6
2020-10-07,,,,,,,,,,,,,,,,,,,,4.12
2020-10-08,,,,,,,,,,,,,,,,,,,,4.12
2020-10-14,,,,,,,,,,,,,,,,,,,,4.34
2020-10-19,,,,,,,,,,,,,,,,,,,,4.34
2020-10-21,,,,,,,,,,,,,,,,,,,,4.34
2020-10-22,,,,,,,,,,,,,,,,,,,,4.04
2020-11-04,,,,,,,,,,,,,,,,,,,,5.85
2020-11-05,,,,,,,,,,,,,,,,,,,,5.85
2020-11-06,,,,,,,,,,,,,,,,,,,,4.78
2020-11-09,,,,,,,,,,,,,,,,,,,,5.75
2020-11-10,,,,,,,,,,,,,,,,,,,,5.65
2020-11-11,,,,,,,,,,,,,,,,,,,,5.65
2020-11-16,,,,,,,,,,,,,,,,,,,,5.25
2020-11-17,,,,,,,,,,,,,,,,,,,,5.75
2020-11-18,,,,,,,,,,,,,,,,,,,,5.75
2020-11-20,,,,,,,,,,,,,,,,,,,,5.75
2020-11-23,,,,,,,,,,,,,,,,,,,,5.25
2020-11-24,,,,,,,,,,,,,,,,,,,,5.75
2020-11-27,,,,,,,,,,,,,,,,,,,,5.3
2020-12-04,,,,,,,,,,,,,,,,,,,,5.7
2020-12-08,,,,,,,,,,,,,,,,,,,,5.25
2020-12-10,,,,,,,,,,,,,,,,,,,,5.75
2020-12-11,,,,,,,,,,,,,,,,,,,,5.25
2020-12-14,,,,,,,,,,,,,,,,,,,,5.25
2020-12-21,,,,,,,,,,,,,,,,,,,,6.3
2020-12-28,,,,,,,,,,,,,,,,,,,,5.05
2020-12-29,,,,,,,,,,,,,,,,,,,,6.3
2020-12-30,,,,,,,,,,,,,,,,,,,,6.3
2021-01-04,,,,,,,,,,,,,,,,,,,,6.25
2021-01-05,,,,,,,,,,,,,,,,,,,,6.25
2021-01-06,,,,,,,,,,,,,,,,,,,,6.9
2021-01-07,,,,,,,,,,,,,,,,,,,,6.55
2021-01-08,,,,,,,,,,,,,,,,,,,,6.55
2021-01-11,,,,,,,,,,,,,,,,,,,,6.8
2021-01-14,,,,,,,,,,,,,,,,,,,,6.8
2021-01-15,,,,,,,,,,,,,,,,,,,,6.8
2021-01-18,,,,,,,,,,,,,,,,,,,,6.75
2021-01-19,,,,,,,,,,,,,,,,,,,,6.6
2021-01-20,,,,,,,,,,,,,,,,,,,,6.9
2021-01-21,,,,,,,,,,,,,,,,,,,,6.9
2021-01-22,,,,,,,,,,,,,,,,,,,,6.95
2021-01-25,,,,,,,,,,,,,,,,,,,,6.75
2021-02-02,,,,,,,,,,,,,,,,,,,,6.75
2021-02-08,,,,,,,,,,,,,,,,,,,,5.4
2021-02-09,,,,,,,,,,,,,,,,,,,,6.75
2021-02-10,,,,,,,,,,,,,,,,,,,,6.75
2021-02-11,,,,,,,,,,,,,,,,,,,,7.3
2021-02-15,,,,,,,,,,,,,,,,,,,,9.6
2021-02-16,,,,,,,,,,,,,,,,,,,,9.45
2021-02-17,,,,,,,,,,,,,,,,,,,,9.45
2021-02-18,,,,,,,,,,,,,,,,,,,,9.4
2021-02-23,,,,,,,,,,,,,,,,,,,,7.15
2021-02-24,,,,,,,,,,,,,,,,,,,,8.5
2021-02-25,,,,,,,,,,,,,,,,,,,,8.45
2021-02-26,,,,,,,,,,,,,,,,,,,,7.15
2021-03-01,,,,,,,,,,,,,,,,,,,,7.2
2021-03-02,,,,,,,,,,,,,,,,,,,,8.5
2021-03-03,,,,,,,,,,,,,,,,,,,,7.25
2021-03-08,,,,,,,,,,,,,,,,,,,,9.3
2021-03-09,,,,,,,,,,,,,,,,,,,,9.25
2021-03-10,,,,,,,,,,,,,,,,,,,,7.9
2021-03-11,,,,,,,,,,,,,,,,,,,,7.85
2021-03-12,,,,,,,,,,,,,,,,,,,,9.15
2021-03-15,,,,,,,,,,,,,,,,,,,,7.9
2021-03-16,,,,,,,,,,,,,,,,,,,,8.3
2021-03-17,,,,,,,,,,,,,,,,,,,,8.5
2021-03-18,,,,,,,,,,,,,,,,,,,,9.0
2021-03-19,,,,,,,,,,,,,,,,,,,,8.3
2021-03-22,,,,,,,,,,,,,,,,,,,,8.4
2021-03-26,,,,,,,,,,,,,,,,,,,,8.4
2021-03-29,,,,,,,,,,,,,,,,,,,,8.3
2021-03-30,,,,,,,,,,,,,,,,,,,,8.3
2021-03-31,,,,,,,,,,,,,,,,,,,,8.4
2021-04-01,,,,,,,,,,,,,,,,,,,,8.4
2021-04-06,,,,,,,,,,,,,,,,,,,,8.35
2021-04-07,,,,,,,,,,,,,,,,,,,,8.35
2021-04-08,,,,,,,,,,,,,,,,,,,,8.0
2021-04-09,,,,,,,,,,,,,,,,,,,,8.0
2021-04-12,,,,,,,,,,,,,,,,,,,,7.8
2021-04-13,,,,,,,,,,,,,,,,,,,,8.4
2021-04-14,,,,,,,,,,,,,,,,,,,,8.4
2021-04-16,,,,,,,,,,,,,,,,,,,,8.65
2021-04-19,,,,,,,,,,,,,,,,,,,,9.1
2021-04-20,,,,,,,,,,,,,,,,,,,,9.15
2021-04-21,,,,,,,,,,,,,,,,,,,,9.5
2021-04-22,,,,,,,,,,,,,,,,,,,,9.5
2021-04-23,,,,,,,,,,,,,,,,,,,,9.0
2021-04-26,,,,,,,,,,,,,,,,,,,,9.75
2021-04-27,,,,,,,,,,,,,,,,,,,,9.8
2021-04-28,,,,,,,,,,,,,,,,,,,,10.5
2021-04-29,,,,,,,,,,,,,,,,,,,,10.4
2021-04-30,,,,,,,,,,,,,,,,,,,,10.4
2021-05-04,,,,,,,,,,,,,,,,,,,,12.5
2021-05-05,,,,,,,,,,,,,,,,,,,,13.5
2021-05-06,,,,,,,,,,,,,,,,,,,,15.0
2021-05-07,,,,,,,,,,,,,,,,,,,,14.6
2021-05-10,,,,,,,,,,,,,,,,,,,,15.9
2021-05-11,,,,,,,,,,,,,,,,,,,,14.8
2021-05-12,,,,,,,,,,,,,,,,,,,,15.9
2021-05-13,,,,,,,,,,,,,,,,,,,,14.2
2021-05-14,,,,,,,,,,,,,,,,,,,,15.0
2021-06-01,,,,,,,,,,,,,,,,,,,,10.6
2021-06-02,,,,,,,,,,,,,,,,,,,,10.4
2021-06-03,,,,,,,,,,,,,,,,,,,,9.65
2021-06-04,,,,,,,,,,,,,,,,,,,,9.75
2021-06-07,,,,,,,,,,,,,,,,,,,,10.2
2021-06-08,,,,,,,,,,,,,,,,,,,,10.0
2021-06-09,,,,,,,,,,,,,,,,,,,,9.9
2021-06-10,,,,,,,,,,,,,,,,,,,,9.9
2021-06-11,,,,,,,,,,,,,,,,,,,,9.65
2021-06-14,,,,,,,,,,,,,,,,,,,,9.45
2021-06-15,,,,,,,,,,,,,,,,,,,,9.1
2021-06-16,,,,,,,,,,,,,,,,,,,,9.6
2021-06-17,,,,,,,,,,,,,,,,,,,,9.8
2021-06-18,,,,,,,,,,,,,,,,,,,,10.0
2021-06-21,,,,,,,,,,,,,,,,,,,,9.95
2021-06-22,,,,,,,,,,,,,,,,,,,,10.3
2021-06-23,,,,,,,,,,,,,,,,,,,,10.2
2021-06-24,,,,,,,,,,,,,,,,,,,,10.3
2021-06-25,,,,,,,,,,,,,,,,,,,,10.4
2021-06-28,,,,,,,,,,,,,,,,,,,,10.1
2021-06-29,,,,,,,,,,,,,,,,,,,,10.1
2021-06-30,,,,,,,,,,,,,,,,,,,,10.0
2021-07-01,,,,,,,,,,,,,,,,,,,,10.2
2021-07-02,,,,,,,,,,,,,,,,,,,,10.3
2021-07-05,,,,,,,,,,,,,,,,,,,,10.8
2021-07-06,,,,,,,,,,,,,,,,,,,,10.9
2021-07-07,,,,,,,,,,,,,,,,,,,,11.3
2021-07-08,,,,,,,,,,,,,,,,,,,,11.0
2021-07-09,,,,,,,,,,,,,,,,,,,,10.9
2021-07-12,,,,,,,,,,,,,,,,,,,,11.2
2021-07-13,,,,,,,,,,,,,,,,,,,,11.0
2021-07-14,,,,,,,,,,,,,,,,,,,,10.8
2021-07-15,,,,,,,,,,,,,,,,,,,,10.6
2021-07-16,,,,,,,,,,,,,,,,,,,,10.7
2021-07-19,,,,,,,,,,,,,,,,,,,,10.5
2021-07-20,,,,,,,,,,,,,,,,,,,,10.4
2021-07-21,,,,,,,,,,,,,,,,,,,,10.8
2021-07-22,,,,,,,,,,,,,,,,,,,,11.2
2021-07-23,,,,,,,,,,,,,,,,,,,,11.1
2021-07-26,,,,,,,,,,,,,,,,,,,,10.9
2021-07-27,,,,,,,,,,,,,,,,,,,,11.2
2021-07-28,,,,,,,,,,,,,,,,,,,,11.3
2021-07-29,,,,,,,,,,,,,,,,,,,,12.0
2021-07-30,,,,,,,,,,,,,,,,,,,,12.4
2021-08-02,,,,,,,,,,,,,,,,,,,,11.8
2021-08-03,,,,,,,,,,,,,,,,,,,,12.1
2021-08-04,,,,,,,,,,,,,,,,,,,,12.1
2021-08-05,,,,,,,,,,,,,,,,,,,,11.9
2021-08-06,,,,,,,,,,,,,,,,,,,,11.8
2021-08-09,,,,,,,,,,,,,,,,,,,,12.1
2021-08-10,,,,,,,,,,,,,,,,,,,,12.1
2021-08-11,,,,,,,,,,,,,,,,,,,,12.4
2021-08-12,,,,,,,,,,,,,,,,,,,,12.6
2021-08-13,,,,,,,,,,,,,,,,,,,,14.5
2021-08-16,,,,,,,,,,,,,,,,,,,,14.0
2021-08-17,,,,,,,,,,,,,,,,,,,,13.8
2021-08-18,,,,,,,,,,,,,,,,,,,,13.1
2021-08-19,,,,,,,,,,,,,,,,,,,,12.9
2021-08-20,,,,,,,,,,,,,,,,,,,,13.0
2021-08-23,,,,,,,,,,,,,,,,,,,,13.0
2021-08-24,,,,,,,,,,,,,,,,,,,,13.2
2021-08-25,,,,,,,,,,,,,,,,,,,,13.5
2021-08-26,,,,,,,,,,,,,,,,,,,,13.4
2021-08-27,,,,,,,,,,,,,,,,,,,,13.3
2021-08-30,,,,,,,,,,,,,,,,,,,,13.3
2021-08-31,,,,,,,,,,,,,,,,,,,,13.1
2021-09-01,,,,,,,,,,,,,,,,,,,,13.9
2021-09-02,,,,,,,,,,,,,,,,,,,,14.3
2021-09-03,,,,,,,,,,,,,,,,,,,,14.6
2021-09-06,,,,,,,,,,,,,,,,,,,,14.3
2021-09-07,,,,,,,,,,,,,,,,,,,,14.1
2021-09-08,,,,,,,,,,,,,,,,,,,,14.0
2021-09-09,,,,,,,,,,,,,,,,,,,,14.1
2021-09-10,,,,,,,,,,,,,,,,,,,,14.0
2021-09-13,,,,,,,,,,,,,,,,,,,,14.0
2021-09-14,,,,,,,,,,,,,,,,,,,,14.0
2021-09-15,,,,,,,,,,,,,,,,,,,,13.9
2021-09-16,,,,,,,,,,,,,,,,,,,,14.0
2021-09-17,,,,,,,,,,,,,,,,,,,,13.9
2021-09-20,,,,,,,,,,,,,,,,,,,,13.7
2021-09-21,,,,,,,,,,,,,,,,,,,,13.9
2021-09-22,,,,,,,,,,,,,,,,,,,,14.0
2021-09-23,,,,,,,,,,,,,,,,,,,,14.6
2021-09-24,,,,,,,,,,,,,,,,,,,,14.0
2021-09-27,,,,,,,,,,,,,,,,,,,,14.0
2021-09-28,,,,,,,,,,,,,,,,,,,,13.7
2021-09-29,,,,,,,,,,,,,,,,,,,,13.7
2021-09-30,,,,,,,,,,,,,,,,,,,,13.6
2021-10-01,,,,,,,,,,,,,,,,,,,,13.1
2021-10-04,,,,,,,,,,,,,,,,,,,,12.7
2021-10-05,,,,,,,,,,,,,,,,,,,,12.9
2021-10-06,,,,,,,,,,,,,,,,,,,,12.8
2021-10-07,,,,,,,,,,,,,,,,,,,,12.8
2021-10-08,,,,,,,,,,,,,,,,,,,,12.9
2021-10-11,,,,,,,,,,,,,,,,,,,,12.8
2021-10-12,,,,,,,,,,,,,,,,,,,,13.0
2021-10-13,,,,,,,,,,,,,,,,,,,,13.3
2021-10-14,,,,,,,,,,,,,,,,,,,,13.5
2021-10-15,,,,,,,,,,,,,,,,,,,,13.6
2021-10-18,,,,,,,,,,,,,,,,,,,,13.6
2021-10-19,,,,,,,,,,,,,,,,,,,,13.6
2021-10-20,,,,,,,,,,,,,,,,,,,,13.5
2021-10-21,,,,,,,,,,,,,,,,,,,,13.4
2021-10-22,,,,,,,,,,,,,,,,,,,,13.2
2021-10-25,,,,,,,,,,,,,,,,,,,,13.0
2021-10-26,,,,,,,,,,,,,,,,,,,,12.8
2021-10-27,,,,,,,,,,,,,,,,,,,,12.7
2021-10-28,,,,,,,,,,,,,,,,,,,,12.9
2021-10-29,,,,,,,,,,,,,,,,,,,,13.0
2021-11-01,,,,,,,,,,,,,,,,,,,,13.2
2021-11-02,,,,,,,,,,,,,,,,,,,,13.3
2021-11-03,,,,,,,,,,,,,,,,,,,,13.6
2021-11-04,,,,,,,,,,,,,,,,,,,,13.8
2021-11-05,,,,,,,,,,,,,,,,,,,,13.2
2021-11-08,,,,,,,,,,,,,,,,,,,,12.9
2021-11-09,,,,,,,,,,,,,,,,,,,,12.9
2021-11-10,,,,,,,,,,,,,,,,,,,,12.9
2021-11-11,,,,,,,,,,,,,,,,,,,,12.5
2021-11-12,,,,,,,,,,,,,,,,,,,,12.0
2021-11-15,,,,,,,,,,,,,,,,,,,,11.7
2021-11-16,,,,,,,,,,,,,,,,,,,,12.0
2021-11-17,,,,,,,,,,,,,,,,,,,,12.0
2021-11-18,,,,,,,,,,,,,,,,,,,,11.9
2021-11-19,,,,,,,,,,,,,,,,,,,,11.9
2021-11-22,,,,,,,,,,,,,,,,,,,,11.9
2021-11-23,,,,,,,,,,,,,,,,,,,,11.5
2021-11-24,,,,,,,,,,,,,,,,,,,,11.9
2021-11-25,,,,,,,,,,,,,,,,,,,,12.0
2021-11-26,,,,,,,,,,,,,,,,,,,,11.9
2021-11-29,,,,,,,,,,,,,,,,,,,,11.7
2021-11-30,,,,,,,,,,,,,,,,,,,,11.7
2021-12-01,,,,,,,,,,,,,,,,,,,,11.9
2021-12-02,,,,,,,,,,,,,,,,,,,,11.4
2021-12-03,,,,,,,,,,,,,,,,,,,,11.5
2021-12-06,,,,,,,,,,,,,,,,,,,,11.5
2021-12-07,,,,,,,,,,,,,,,,,,,,11.6
2021-12-08,,,,,,,,,,,,,,,,,,,,11.6
2021-12-09,,,,,,,,,,,,,,,,,,,,11.5
2021-12-10,,,,,,,,,,,,,,,,,,,,11.6
2021-12-13,,,,,,,,,,,,,,,,,,,,11.4
2021-12-14,,,,,,,,,,,,,,,,,,,,11.5
2021-12-15,,,,,,,,,,,,,,,,,,,,11.0
2021-12-16,,,,,,,,,,,,,,,,,,,,11.0
2021-12-17,,,,,,,,,,,,,,,,,,,,10.5
2021-12-20,,,,,,,,,,,,,,,,,,,,10.3
2021-12-21,,,,,,,,,,,,,,,,,,,,10.6
2021-12-22,,,,,,,,,,,,,,,,,,,,10.6
2021-12-23,,,,,,,,,,,,,,,,,,,,10.6
2021-12-24,,,,,,,,,,,,,,,,,,,,10.3
2021-12-27,,,,,,,,,,,,,,,,,,,,10.7
2021-12-28,,,,,,,,,,,,,,,,,,,,10.5
2021-12-29,,,,,,,,,,,,,,,,,,,,10.5
2021-12-30,,,,,,,,,,,,,,,,,,,,10.6
2021-12-31,,,,,,,,,,,,,,,,,,,,10.8
2022-01-03,,,,,,,,,,,,,,,,,,,,11.0
2022-01-04,,,,,,,,,,,,,,,,,,,,11.0
2022-01-05,,,,,,,,,,,,,,,,,,,,11.6
2022-01-06,,,,,,,,,,,,,,,,,,,,11.4
2022-01-07,,,,,,,,,,,,,,,,,,,,11.6
2022-01-10,,,,,,,,,,,,,,,,,,,,11.3
2022-01-11,,,,,,,,,,,,,,,,,,,,11.7
2022-01-12,,,,,,,,,,,,,,,,,,,,11.7
2022-01-13,,,,,,,,,,,,,,,,,,,,11.6
2022-01-14,,,,,,,,,,,,,,,,,,,,11.6
2022-01-17,,,,,,,,,,,,,,,,,,,,11.6
2022-01-18,,,,,,,,,,,,,,,,,,,,11.9
2022-01-19,,,,,,,,,,,,,,,,,,,,11.7
2022-01-20,,,,,,,,,,,,,,,,,,,,12.5
2022-01-21,,,,,,,,,,,,,,,,,,,,12.0
2022-01-24,,,,,,,,,,,,,,,,,,,,11.7
2022-01-25,,,,,,,,,,,,,,,,,,,,11.5
2022-01-26,,,,,,,,,,,,,,,,,,,,11.7
2022-01-27,,,,,,,,,,,,,,,,,,,,11.6
2022-01-28,,,,,,,,,,,,,,,,,,,,11.8
2022-01-31,,,,,,,,,,,,,,,,,,,,11.7
2022-02-01,,,,,,,,,,,,,,,,,,,,11.9
2022-02-02,,,,,,,,,,,,,,,,,,,,11.9
2022-02-03,,,,,,,,,,,,,,,,,,,,12.2
2022-02-04,,,,,,,,,,,,,,,,,,,,12.0
2022-02-07,,,,,,,,,,,,,,,,,,,,12.3
2022-02-08,,,,,,,,,,,,,,,,,,,,12.2
2022-02-09,,,,,,,,,,,,,,,,,,,,12.6
2022-02-10,,,,,,,,,,,,,,,,,,,,12.5
2022-02-11,,,,,,,,,,,,,,,,,,,,12.1
2022-02-14,,,,,,,,,,,,,,,,,,,,11.8
2022-02-15,,,,,,,,,,,,,,,,,,,,12.5
2022-02-16,,,,,,,,,,,,,,,,,,,,12.5
2022-02-17,,,,,,,,,,,,,,,,,,,,12.3
2022-02-18,,,,,,,,,,,,,,,,,,,,12.0
2022-02-21,,,,,,,,,,,,,,,,,,,,11.2
