,BVI FP Equity_DX_SI_QTY,BVI FP Equity_DX_SHORT_INTEREST_VALUE,BVI FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,BVI FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BVI FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BVI FP Equity_DX_SI_MV,BVI FP Equity_DX_DSS,BVI FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BVI FP Equity_DX_SUPPLY_SI_QTY,BVI FP Equity_DX_BROKER_SI_QTY,BVI FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BVI FP Equity_DX_BROKER_SI_MV_NEW_x,BVI FP Equity_DX_SUPPLY_SI_QTY_NEW_x,BVI FP Equity_DX_SUPPLY_SI_QTY_INC_x,BVI FP Equity_DX_BROKER_SI_MV_INC_x,BVI FP Equity_DX_SUPPLY_SI_MV_NEW,BVI FP Equity_DX_BROKER_SI_QTY_ADD,BVI FP Equity_DX_BROKER_SI_QTY_NEW,BVI FP Equity_DX_SUPPLY_SI_MV_DEC,BVI FP Equity_DX_BROKER_SI_QTY_INC,BVI FP Equity_DX_SUPPLY_SI_QTY_DEC,BVI FP Equity_DX_BROKER_SI_MV_NEW_y,BVI FP Equity_DX_SUPPLY_SI_QTY_NEW_y,BVI FP Equity_DX_BROKER_SI_MV_INC_y,BVI FP Equity_DX_SUPPLY_SI_QTY_INC_y,BVI FP Equity_DX_BROKER_SI_MV_ADD,BVI FP Equity_DX_SUPPLY_SI_QTY_ADD,BVI FP Equity_DX_BROKER_SI_QTY_DEC,BVI FP Equity_DX_SUPPLY_SI_MV,BVI FP Equity_DX_BROKER_SI_MV_DEC,BVI FP Equity_DX_SUPPLY_SI_MV_RMV,BVI FP Equity_DX_BROKER_SI_MV_RMV,BVI FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BVI FP Equity_DX_UTILIZATION_QUANTITY,BVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BVI FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BVI FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,BVI FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BVI FP Equity_DX_ACTIVE_UTILIZATION_MV,BVI FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BVI FP Equity_DX_BROKER_SI_CON_RATIO,BVI FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BVI FP Equity_DX_DEMAND_SUPPLY_RATIO,BVI FP Equity_PX_LAST
2007-12-18,232802.0,7618107.49,0.2,1.11,0.2,9.21,0.0,4345752.66,114283.0,132802.0,3739745.27,,,,1.66,,,,,41692.0,,,,1.66,,,,442.0,4.56,0.02,,,2.46,2.46,4527817.0,148166238.31,,181.16,2.46,34.91,0.3261,43.41,0.0502,40.49
2007-12-19,259802.0,8096403.2,0.23,1.26,0.23,10.33,0.0,4980028.73,114283.0,159802.0,3561486.23,,,,1.07,,,,,27000.0,,,,1.07,,,,,4.63,,,,2.44,2.44,4560201.0,142112939.71,,182.06,2.48,39.19,0.3385,41.51,0.0556,38.56
2007-12-20,300946.0,9269154.83,0.26,1.6,0.26,11.75,0.0,6189148.84,114283.0,200946.0,3519923.25,,,,1.6,,,,,41144.0,,,,1.6,,,,,4.41,,,,2.41,2.41,4634778.0,142751440.09,,178.35,2.41,32.82,0.3272,44.79,0.0634,38.11
2007-12-21,285155.0,9255231.96,0.25,1.56,0.25,11.13,0.0,6009547.35,114283.0,185155.0,3709265.75,,,,,,,,,,,,,,,,,15791.0,4.39,0.6,,,2.39,2.39,4659799.0,151242379.15,,180.65,2.37,34.55,0.3156,41.88,0.0597,40.16
2007-12-24,282878.0,8852116.77,0.25,1.55,0.25,11.0,0.0,5722811.28,114283.0,182878.0,3576264.19,,,,,,,,,,,,,,,,,2277.0,4.39,0.09,,,2.39,2.39,4659799.0,145819345.64,,180.17,2.38,34.73,0.3143,41.54,0.0593,38.72
2007-12-25,282878.0,8852116.77,0.25,1.62,0.25,11.05,0.0,5722811.28,114283.0,182878.0,3576264.19,,,,,,,,,,,,,,,,,,4.42,,,,2.82,2.82,3932377.0,123056089.1,,151.27,2.84,35.03,0.3146,41.35,0.0699,
2007-12-26,281029.0,8794255.91,0.24,1.61,0.24,10.97,0.0,5664950.42,114283.0,181029.0,3576264.19,,,,,,,,,,,,,,,,,1849.0,4.44,0.05,,,2.39,2.39,4668577.0,146094036.07,,180.05,2.41,35.29,0.3179,41.66,0.0588,
2007-12-27,278657.0,9021806.64,0.24,1.59,0.24,10.86,0.0,5784203.91,114283.0,178657.0,3700029.53,,,,,,,,,,,,,,,,,2372.0,4.41,0.1,,,2.39,2.39,4668577.0,151149976.37,,182.34,2.36,35.56,0.3164,41.2,0.0583,40.06
2007-12-28,252457.0,8216401.61,0.21,1.44,0.21,9.99,0.0,4961826.93,114283.0,152457.0,3719425.59,,,,,,,,,,,,,,,,,26200.0,4.57,1.03,,,2.4,2.4,4653327.0,151446002.58,,186.04,2.4,34.47,0.3039,40.09,0.053,40.27
2007-12-31,248115.0,8121208.42,0.2,1.45,0.2,9.87,0.0,4848045.41,114283.0,148115.0,3740668.89,,,,,,,,,,,,,,,,,4342.0,4.6,0.17,,,2.4,2.4,4651209.0,152241652.92,,187.5,2.39,34.01,0.3052,40.79,0.0521,40.5
2008-01-01,248115.0,8121208.42,0.2,1.47,0.2,9.9,0.0,4848045.41,114283.0,148115.0,3740668.89,,,,,,,,,,,,,,,,,,4.63,,,,2.51,2.51,4437311.0,145240422.68,,179.55,2.51,33.93,0.3057,40.93,0.0545,
2008-01-02,280025.0,9052518.27,0.23,1.66,0.23,11.24,0.0,5819764.67,114283.0,180025.0,3694487.8,,,,1.54,,,,,37910.0,,,,1.54,,,,6000.0,4.62,0.21,,,2.51,2.51,4438408.0,143482794.35,,178.7,2.52,36.04,0.3345,43.61,0.0615,40.0
2008-01-03,509625.0,15758261.49,0.42,3.18,0.42,20.35,0.0,10223350.9,193283.0,330625.0,5976559.34,,,,6.01,,,,,150600.0,,,,6.01,,,79000.0,,7.73,,,,4.2,4.2,4410808.0,136387865.25,,173.84,4.25,19.66,0.278,43.82,0.1107,38.26
2008-01-04,471901.0,14702388.44,0.39,3.04,0.39,18.6,0.0,9125524.79,193283.0,292901.0,6021859.97,,,,,,,,,,,,,,,,,37724.0,7.56,1.61,,,4.2,4.2,4412630.0,137478412.38,,171.26,4.23,21.51,0.2803,43.85,0.1025,38.55
2008-01-07,320701.0,9558810.22,0.26,2.31,0.26,12.67,0.0,6578211.4,114283.0,220701.0,3406317.75,,,,,,,,3.02,,79000.0,,,,,,,72200.0,4.56,2.9,,,2.47,2.47,4520407.0,134735197.62,,174.1,2.55,31.65,0.3055,41.49,0.0692,36.88
2008-01-08,322471.0,9582898.91,0.27,2.31,0.27,12.74,0.0,6558590.92,116053.0,220701.0,3448757.15,,,,,,,,,,,,,,,,1770.0,,4.61,,,,2.51,2.51,4499350.0,133707577.45,,169.61,2.64,31.65,0.3053,41.48,0.0699,36.77
2008-01-09,316587.0,9016574.8,0.26,2.41,0.26,12.13,0.0,6118108.29,116053.0,214817.0,3305254.34,,,,0.01,,,,,808.0,,,,0.01,,,,6692.0,4.27,0.26,,,2.49,2.49,4536815.0,129211028.21,,165.54,2.51,30.47,0.3125,43.62,0.068,35.24
2008-01-10,242677.0,6805667.15,0.2,1.83,0.2,9.0,0.0,3881504.93,118553.0,138407.0,3324716.63,,,2500.0,,,,,,,,,,,2500.0,,,76410.0,4.17,3.06,,,2.55,2.55,4527750.0,126976843.43,,159.47,2.55,38.12,0.3205,39.83,0.0522,34.7
2008-01-11,269447.0,7460592.58,0.22,1.92,0.22,9.84,0.0,4573509.08,118553.0,165177.0,3282558.84,,,,0.9,,,,,26770.0,,,,0.9,,,,,4.11,,,,2.57,2.57,4493433.0,124416574.98,,155.24,2.58,34.8,0.284,35.81,0.0584,34.26
2008-01-14,243885.0,6701570.95,0.21,1.6,0.21,8.85,0.0,3836397.6,118553.0,139615.0,3257647.42,,,,,,,,,,,,,,,,,25562.0,4.06,0.93,,,2.53,2.53,4564596.0,125427820.24,,155.74,2.54,35.96,0.305,39.34,0.0521,34.0
2008-01-15,174765.0,4610173.01,0.15,1.08,0.15,6.09,0.0,1859606.59,118553.0,70495.0,3127341.52,,,,0.09,,,,,2721.0,,,,0.09,,,,71841.0,4.03,2.82,,,2.53,2.53,4571635.0,120596391.11,,153.77,2.56,17.71,0.3922,57.19,0.0373,32.64
2008-01-16,174765.0,4494353.71,0.15,0.99,0.15,5.92,0.0,1812888.54,118553.0,70495.0,3048774.73,,,,,,,,,,,,,,,,,,3.88,,,,2.51,2.51,4598693.0,118262540.91,,149.46,2.53,18.23,0.3864,56.52,0.037,31.82
2008-01-17,177026.0,4644063.87,0.15,0.92,0.15,5.88,0.0,1908666.02,126053.0,72756.0,3306848.62,,,,,,12200.0,,,,,,,,,0.4,7500.0,9939.0,4.02,0.33,,,2.66,2.66,4611940.0,120988690.61,,147.7,2.65,18.33,0.3615,55.38,0.0374,32.46
2008-01-18,199026.0,5066790.89,0.17,0.99,0.17,6.63,0.0,2412292.05,126053.0,94756.0,3209049.03,,,,0.39,,10000.0,,,12000.0,,,,0.39,,0.32,,,4.09,,,,2.7,2.7,4546120.0,115734825.6,,146.84,2.71,22.21,0.3213,49.99,0.0426,31.5
2008-01-21,204944.0,4988876.91,0.18,1.0,0.18,6.75,0.0,2450670.4,126053.0,100674.0,3068462.12,,,,0.43,,,,,11900.0,,,,0.43,,,,5982.0,3.97,0.21,,,2.7,2.7,4535499.0,110405994.88,,141.42,2.73,28.28,0.3236,47.66,0.044,30.12
2008-01-22,207798.0,5390871.85,0.18,0.99,0.18,6.66,0.0,2685811.13,126053.0,103528.0,3270173.77,,,,0.16,,,,,5575.0,,,,0.16,,,,2721.0,3.79,0.11,,,2.71,2.71,4527994.0,117469058.42,,137.98,2.67,26.93,0.3041,46.1,0.0446,32.1
2008-01-23,207798.0,5458047.83,0.18,0.99,0.18,6.87,0.0,2719279.18,126053.0,103528.0,3310923.6,,,,,,,,,,,,,,,,,,4.03,,,,2.71,2.71,4531237.0,119018028.34,,144.35,2.72,26.15,0.3139,47.71,0.0446,32.5
2008-01-24,166096.0,4565395.62,0.14,0.8,0.14,5.53,0.0,1699379.57,126053.0,61826.0,3464754.21,,,,,,,,,,,,,,,,,41702.0,4.1,1.43,,,2.69,2.69,4552327.0,125127479.07,,149.31,2.67,13.01,0.4054,60.3,0.0355,34.01
2008-01-25,171396.0,4686140.36,0.15,0.81,0.15,5.88,0.0,1561882.74,136053.0,57126.0,3719826.92,,,10000.0,,,,,,,,,,,10000.0,,,4700.0,4.63,0.16,,,2.89,2.89,4569148.0,124925137.44,,155.16,2.9,12.23,0.3902,59.32,0.0364,33.83
2008-01-28,182764.0,4874355.57,0.16,0.86,0.16,6.3,0.0,1826749.86,136053.0,68494.0,3628563.06,,,,0.23,,5684.0,,,5684.0,,,,0.23,,0.19,,,4.59,,,,2.89,2.89,4569147.0,121860142.87,,153.15,2.91,15.1,0.3463,54.91,0.0388,33.0
2008-01-29,186563.0,4953059.02,0.16,0.89,0.16,6.34,0.0,1919306.06,136053.0,72293.0,3612069.59,,,,0.26,,,,,7538.0,,,,0.26,,,,3739.0,4.49,0.12,,,2.89,2.89,4578006.0,121541430.62,,150.9,2.89,17.46,0.3358,53.26,0.0396,32.85
2008-01-30,220829.0,5711085.96,0.19,1.06,0.19,7.46,0.0,2755831.93,136053.0,106559.0,3518606.6,,,,1.21,,,,,36100.0,,,,1.21,,,,1834.0,4.45,0.06,,,2.88,2.88,4589647.0,118697582.85,,149.63,2.89,31.32,0.3144,44.84,0.0467,32.0
2008-01-31,164899.0,4369905.56,0.14,0.78,0.14,5.32,0.0,1341693.69,136053.0,50629.0,3605472.2,,,,0.24,,,,,7623.0,,,,0.24,,,,63553.0,4.35,2.29,,,2.81,2.81,4699206.0,124531297.45,,150.86,2.81,11.07,0.4193,61.73,0.0341,32.79
2008-02-01,246075.0,7002387.36,0.21,1.18,0.21,8.32,0.0,3750684.41,136053.0,131805.0,3871566.83,,,,,,81176.0,,,,,,,,,2.86,,,4.46,,,,2.87,2.87,4611592.0,131228907.94,,151.8,2.85,34.94,0.2992,40.1,0.0518,35.21
2008-02-04,230731.0,6713068.24,0.2,1.13,0.2,8.04,0.0,3284771.84,139615.0,112899.0,4062068.04,,,,,,,,,,,,,,,,3562.0,18906.0,4.89,0.67,,,2.92,2.92,4643491.0,135101360.17,,161.94,2.93,31.39,0.3138,44.63,0.0482,36.0
2008-02-05,226461.0,6469868.47,0.2,1.11,0.2,8.03,0.0,3327227.87,127845.0,116461.0,3652462.6,,,,0.18,,,,0.39,3562.0,11770.0,,,0.18,,,,,4.61,,,,2.7,2.7,4600095.0,131422229.78,,165.38,2.71,30.72,0.3121,44.81,0.0479,35.35
2008-02-06,212235.0,6161209.07,0.18,1.01,0.18,7.44,0.0,2843936.42,132115.0,97965.0,3835315.27,,,,,,,,,,,,,,,,4270.0,18496.0,4.67,0.69,,,2.8,2.8,4579523.0,132944135.75,,162.84,2.79,30.8,0.3446,48.48,0.045,35.92
2008-02-07,218155.0,6223755.01,0.19,1.04,0.19,7.78,0.0,2963740.41,132115.0,103885.0,3769115.51,,,,,,15920.0,,,,,,,,,0.61,,10000.0,4.76,0.32,,,2.79,2.79,4604021.0,131348347.66,,165.19,2.8,25.26,0.3067,47.1,0.0461,35.3
2008-02-08,232161.0,6865375.37,0.2,1.09,0.2,8.21,0.0,3781943.23,139315.0,127891.0,4119769.34,,2500.0,,0.15,0.09,20000.0,,0.09,4006.0,2500.0,,2500.0,0.15,,0.72,7200.0,,4.93,,,,2.93,2.93,4609041.0,136296779.27,,164.29,2.91,24.91,0.2761,43.82,0.0489,36.59
2008-02-11,245380.0,7238434.34,0.58,1.14,0.21,8.89,0.0,3867597.71,149315.0,131110.0,4404624.76,,,10000.0,0.13,,,,,3219.0,,,,0.13,10000.0,,,,5.46,,,,3.14,3.14,4612690.0,136069173.06,,168.41,3.14,24.37,0.2563,41.91,0.0515,36.5
