,WAGA FP Equity_DX_SI_QTY,WAGA FP Equity_DX_SHORT_INTEREST_VALUE,WAGA FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,WAGA FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,WAGA FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,WAGA FP Equity_DX_SI_MV,WAGA FP Equity_DX_DSS,WAGA FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,WAGA FP Equity_DX_SUPPLY_SI_QTY,WAGA FP Equity_DX_BROKER_SI_QTY,WAGA FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,WAGA FP Equity_DX_SUPPLY_SI_QTY_NEW_x,WAGA FP Equity_DX_SUPPLY_SI_QTY_INC_x,WAGA FP Equity_DX_BROKER_SI_MV_INC_x,WAGA FP Equity_DX_SUPPLY_SI_MV_NEW,WAGA FP Equity_DX_BROKER_SI_QTY_ADD,WAGA FP Equity_DX_SUPPLY_SI_MV_DEC,WAGA FP Equity_DX_BROKER_SI_QTY_INC,WAGA FP Equity_DX_SUPPLY_SI_QTY_DEC,WAGA FP Equity_DX_SUPPLY_SI_QTY_NEW_y,WAGA FP Equity_DX_BROKER_SI_MV_INC_y,WAGA FP Equity_DX_SUPPLY_SI_QTY_INC_y,WAGA FP Equity_DX_BROKER_SI_MV_ADD,WAGA FP Equity_DX_SUPPLY_SI_QTY_ADD,WAGA FP Equity_DX_BROKER_SI_QTY_DEC,WAGA FP Equity_DX_SUPPLY_SI_MV,WAGA FP Equity_DX_BROKER_SI_MV_DEC,WAGA FP Equity_DX_SUPPLY_SI_MV_RMV,WAGA FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,WAGA FP Equity_DX_UTILIZATION_QUANTITY,WAGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,WAGA FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,WAGA FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,WAGA FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,WAGA FP Equity_DX_ACTIVE_UTILIZATION_MV,WAGA FP Equity_DX_BROKER_SI_MARKET_SHARE_2,WAGA FP Equity_DX_BROKER_SI_CON_RATIO,WAGA FP Equity_DX_BROKER_SI_MARKET_SHARE_1,WAGA FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-01-17,1636.0,47771.2,0.02,0.2,0.01,0.05,0.0,47771.2,636.0,1636.0,18571.2,,,0.0,,,,82.0,,,0.0,,,82.0,,0.02,,,0.08,0.08,805392.0,23517446.4,,22.88,0.08,37.87,0.5294,62.13,0.002
2022-01-18,5315.0,151477.5,0.05,0.64,0.03,0.16,0.0,151477.5,4315.0,5315.0,122977.5,,,,,3800.0,0.0,,121.0,,,,0.11,3800.0,121.0,0.13,0.0,,0.54,0.54,801713.0,22848820.5,,23.43,0.54,18.87,0.5584,71.69,0.0066
2022-01-19,5315.0,150414.5,0.05,0.63,0.03,0.15,0.0,150414.5,4315.0,5315.0,122114.5,,,,,,,,,,,,,,,0.12,,,0.54,0.54,801713.0,22688477.9,,22.82,0.54,18.81,0.5558,71.49,0.0066
2022-01-20,5700.0,160740.0,0.05,0.68,0.03,0.16,0.0,160740.0,4700.0,5700.0,132540.0,,385.0,0.01,,,,385.0,,,0.01,385.0,,,,0.13,,,0.58,0.58,802098.0,22619163.6,,22.74,0.58,17.55,0.5004,66.69,0.0071
2022-01-21,5700.0,159600.0,0.05,0.67,0.03,0.16,0.0,159600.0,4700.0,5700.0,131600.0,,,,,,,,,,,,,,,0.13,,,0.58,0.58,802098.0,22458744.0,,22.59,0.58,17.54,0.4998,66.63,0.0071
2022-01-24,5700.0,152760.0,0.05,0.67,0.03,0.16,0.0,152760.0,4700.0,5700.0,125960.0,,,,,,,,,,,,,,,0.13,,,0.58,0.58,802098.0,21496226.4,,22.33,0.59,17.55,0.5002,66.67,0.0071
2022-01-25,5700.0,155040.0,0.05,0.66,0.03,0.15,0.0,155040.0,4700.0,5700.0,127840.0,,,,,,,,,,,,,,,0.13,,,0.58,0.58,802098.0,21817065.6,,21.56,0.58,17.55,0.5003,66.68,0.0071
2022-01-26,14018.0,379887.8,0.13,1.64,0.07,0.38,0.0,271487.8,12018.0,10018.0,325687.8,,22.0,0.0,,4296.0,,22.0,,,0.0,22.0,0.12,7296.0,,0.33,,,1.49,1.49,794335.0,21526478.5,,21.63,1.49,27.14,0.2249,28.57,0.0174
2022-01-27,10972.0,302827.2,0.1,1.3,0.06,0.3,0.0,192427.2,8972.0,6972.0,247627.2,,,,,,0.08,,3046.0,,,,,,3046.0,0.25,0.08,,1.11,1.11,797381.0,22007715.6,,21.86,1.11,34.66,0.2761,36.48,0.0136
2022-01-28,7828.0,219184.0,0.07,1.24,0.04,0.22,0.0,179788.0,5421.0,6421.0,151788.0,,,,,,0.1,,3551.0,,,,,,551.0,0.15,0.01,,0.67,0.67,800850.0,22423800.0,,22.14,0.67,12.79,0.296,48.52,0.0097
2022-01-31,7632.0,219038.4,0.07,1.22,0.04,0.21,0.0,178657.5,5225.0,6225.0,149957.5,,,,,,0.01,,196.0,,,,,,196.0,0.15,0.01,,0.65,0.65,801046.0,22990020.2,,22.43,0.64,13.18,0.31,49.69,0.0095
2022-02-01,7644.0,224733.6,0.07,1.24,0.04,0.22,0.0,183191.4,5231.0,6231.0,153791.4,,6.0,0.0,,,,6.0,,,0.0,6.0,,,,0.15,,,0.65,0.65,801046.0,23550752.4,,23.0,0.65,13.09,0.3104,49.74,0.0095
2022-02-02,7644.0,220911.6,0.07,1.24,0.04,0.22,0.0,180075.9,5231.0,6231.0,151175.9,,,,,,,,,,,,,,,0.15,,,0.65,0.65,801046.0,23150229.4,,23.39,0.65,13.1,0.3106,49.78,0.0095
2022-02-03,13628.0,417016.8,0.13,2.19,0.07,0.39,0.0,281948.4,8214.0,9214.0,251348.4,,3023.0,0.09,,,0.0,3005.0,40.0,,0.09,3023.0,,,22.0,0.23,0.0,,1.02,1.02,797571.0,24405672.6,,23.07,1.01,28.09,0.2933,44.16,0.0169
2022-02-04,13243.0,402587.2,0.12,2.26,0.07,0.4,0.0,268401.6,8214.0,8829.0,249705.6,,,,,,,,,,,,,,385.0,0.25,0.01,,1.02,1.02,796717.0,24220196.8,,24.3,1.02,28.79,0.3096,45.69,0.0165
2022-02-07,7600.0,229520.0,0.07,1.25,0.04,0.23,0.0,187240.0,5200.0,6200.0,157040.0,,,0.01,,,0.09,206.0,3014.0,,0.01,,,,2835.0,0.16,0.09,,0.65,0.65,799552.0,24146470.4,,24.28,0.65,13.16,0.3074,49.99,0.0094
2022-02-08,12908.0,394984.8,0.12,2.14,0.07,0.4,0.0,283906.8,10435.0,9278.0,319311.0,,106.0,0.0,,3005.0,0.0,106.0,33.0,,0.0,106.0,0.1,5162.0,33.0,0.32,0.0,,1.3,1.3,794423.0,24309343.8,,24.1,1.29,29.05,0.2143,29.06,0.016
2022-02-09,9891.0,299697.3,0.09,1.66,0.05,0.3,0.0,189890.1,7424.0,6267.0,224947.2,,,,,,0.09,,3011.0,,,,,,3011.0,0.23,0.1,,0.92,0.92,797428.0,24162068.4,,24.35,0.92,21.8,0.2309,38.43,0.0123
2022-02-10,7749.0,236344.5,0.07,1.41,0.04,0.23,0.0,191143.5,5282.0,6267.0,161101.0,,,,,,0.07,,2142.0,,,,,,,0.16,,,0.66,0.66,799570.0,24386885.0,,24.26,0.66,12.91,0.2984,49.03,0.0096
2022-02-11,7703.0,234171.2,0.07,1.4,0.04,0.24,0.0,189817.6,5259.0,6244.0,159873.6,,,,,,0.0,,23.0,,,,,,23.0,0.16,0.0,,0.65,0.65,799593.0,24307627.2,,24.54,0.66,13.06,0.3007,49.21,0.0096
2022-02-14,7687.0,230610.0,0.07,1.39,0.04,0.23,0.0,187080.0,5251.0,6236.0,157530.0,,,,,,0.0,,8.0,,,,,,8.0,0.16,0.0,,0.65,0.65,799601.0,23988030.0,,24.4,0.65,13.09,0.3022,49.36,0.0096
2022-02-15,10375.0,311250.0,0.1,1.84,0.05,0.31,0.0,270930.0,8046.0,9031.0,241380.0,,17.0,0.08,,,0.01,2795.0,124.0,,0.08,17.0,,2902.0,,0.24,,,1.0,1.0,796823.0,23904690.0,,23.83,1.0,27.91,0.2445,36.71,0.0129
2022-02-16,8218.0,249005.4,0.08,1.68,0.04,0.25,0.0,199586.1,5602.0,6587.0,169740.6,,287.0,0.01,,,0.08,287.0,2731.0,,0.01,287.0,,,2731.0,0.17,0.08,,0.7,0.7,799554.0,24226486.2,,23.99,0.69,14.98,0.2816,46.31,0.0102
2022-02-17,4191.0,128244.6,0.04,0.91,0.02,0.13,0.0,82038.6,1681.0,2681.0,51438.6,,,,,,0.12,,3921.0,,,,,,3906.0,0.05,0.12,,0.21,0.21,803369.0,24583091.4,,24.39,0.21,23.91,0.2317,24.32,0.0052
2022-02-18,5672.0,170727.2,0.05,1.2,0.03,0.17,0.0,80698.1,3162.0,2681.0,95176.2,,,,,,,,,,,,,1481.0,,0.1,,,0.39,0.39,801888.0,24136828.8,,24.54,0.39,17.92,0.1948,26.22,0.007
2022-02-21,4655.0,134995.0,0.04,0.99,0.02,0.14,0.0,71775.0,2351.0,2475.0,68179.0,,,,,,0.03,,811.0,,,,,,206.0,0.07,0.01,,0.29,0.29,802493.0,23272297.0,,24.05,0.29,21.45,0.1923,21.62,0.0058
2022-02-22,8738.0,246411.6,0.08,1.83,0.05,0.25,0.0,184935.6,6451.0,6558.0,181918.2,,,,,4100.0,,,,,,,0.12,4100.0,17.0,0.19,0.0,,0.8,0.8,798393.0,22514682.6,,23.06,0.81,11.46,0.2744,46.91,0.0109
2022-02-23,10695.0,322989.0,0.1,2.16,0.06,0.31,0.0,223721.6,8408.0,7408.0,253921.6,,,,,850.0,0.03,,893.0,,,,0.03,2850.0,,0.24,,,1.04,1.04,796419.0,24051853.8,,22.77,1.03,18.16,0.2337,39.75,0.0133
2022-02-24,9620.0,272246.0,0.09,1.87,0.05,0.29,0.0,187346.0,7620.0,6620.0,215646.0,,,,,,0.02,,788.0,,,,,,788.0,0.23,0.02,,0.95,0.95,796920.0,22552836.0,,24.01,0.96,20.86,0.257,42.34,0.012
2022-02-25,11213.0,336390.0,0.11,2.03,0.06,0.32,0.0,278790.0,9213.0,9293.0,276390.0,,,,,3193.0,0.05,,1600.0,,,,0.09,3193.0,520.0,0.26,0.02,,1.15,1.15,795327.0,23859810.0,,22.53,1.13,28.59,0.246,36.59,0.0139
