,AINJ FP Equity_DX_SI_QTY,AINJ FP Equity_DX_SHORT_INTEREST_VALUE,AINJ FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AINJ FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AINJ FP Equity_DX_SI_MV,AINJ FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AINJ FP Equity_DX_SUPPLY_SI_QTY,AINJ FP Equity_DX_BROKER_SI_QTY,AINJ FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AINJ FP Equity_DX_SUPPLY_SI_MV,AINJ FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AINJ FP Equity_DX_UTILIZATION_QUANTITY,AINJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AINJ FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AINJ FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AINJ FP Equity_DX_ACTIVE_UTILIZATION_MV,AINJ FP Equity_DX_BROKER_SI_CON_RATIO,AINJ FP Equity_DX_DEMAND_SUPPLY_RATIO,AINJ FP Equity_PX_LAST
2024-08-29,,,,,,,,,,,,,,,,,,,16.46
2024-08-30,,,,,,,,,,,,,,,,,,,15.07
2024-09-02,,,,,,,,,,,,,,,,,,,15.11
2024-09-03,,,,,,,,,,,,,,,,,,,14.54
2024-09-04,,,,,,,,,,,,,,,,,,,15.02
2024-09-05,,,,,,,,,,,,,,,,,,,14.98
2024-09-06,,,,,,,,,,,,,,,,,,,14.81
2024-09-09,,,,,,,,,,,,,,,,,,,14.65
2024-09-10,,,,,,,,,,,,,,,,,,,16.02
2024-09-11,,,,,,,,,,,,,,,,,,,16.2
2024-09-12,,,,,,,,,,,,,,,,,,,16.97
2024-09-13,,,,,,,,,,,,,,,,,,,17.05
2024-09-16,,,,,,,,,,,,,,,,,,,16.25
2024-09-17,,,,,,,,,,,,,,,,,,,17.55
2024-09-18,,,,,,,,,,,,,,,,,,,16.4
2024-09-19,,,,,,,,,,,,,,,,,,,18.36
2024-09-20,,,,,,,,,,,,,,,,,,,18.33
2024-09-23,,,,,,,,,,,,,,,,,,,19.9
2024-09-24,,,,,,,,,,,,,,,,,,,19.34
2024-09-25,,,,,,,,,,,,,,,,,,,19.63
2024-09-26,,,,,,,,,,,,,,,,,,,20.64
2024-09-27,,,,,,,,,,,,,,,,,,,20.62
2024-09-30,,,,,,,,,,,,,,,,,,,20.8
2024-10-01,,,,,,,,,,,,,,,,,,,19.86
2024-10-02,,,,,,,,,,,,,,,,,,,19.71
2024-10-03,,,,,,,,,,,,,,,,,,,16.79
2024-10-04,,,,,,,,,,,,,,,,,,,18.17
2024-10-07,,,,,,,,,,,,,,,,,,,19.11
2024-10-08,,,,,,,,,,,,,,,,,,,17.32
2024-10-09,,,,,,,,,,,,,,,,,,,17.99
2024-10-10,,,,,,,,,,,,,,,,,,,17.06
2024-10-11,,,,,,,,,,,,,,,,,,,18.23
2024-10-14,,,,,,,,,,,,,,,,,,,19.86
2024-10-15,,,,,,,,,,,,,,,,,,,18.92
2024-10-16,,,,,,,,,,,,,,,,,,,18.77
2024-10-17,,,,,,,,,,,,,,,,,,,19.86
2024-10-18,,,,,,,,,,,,,,,,,,,19.98
2024-10-21,,,,,,,,,,,,,,,,,,,19.44
2024-10-22,,,,,,,,,,,,,,,,,,,19.02
2024-10-23,,,,,,,,,,,,,,,,,,,18.24
2024-10-24,,,,,,,,,,,,,,,,,,,18.5
2024-10-25,,,,,,,,,,,,,,,,,,,18.31
2024-10-28,,,,,,,,,,,,,,,,,,,16.97
2024-10-29,,,,,,,,,,,,,,,,,,,18.55
2024-10-30,,,,,,,,,,,,,,,,,,,17.92
2024-10-31,,,,,,,,,,,,,,,,,,,17.46
2024-11-01,,,,,,,,,,,,,,,,,,,17.24
2024-11-04,,,,,,,,,,,,,,,,,,,14.9
2024-11-05,,,,,,,,,,,,,,,,,,,15.68
2024-11-06,,,,,,,,,,,,,,,,,,,19.13
2024-11-07,,,,,,,,,,,,,,,,,,,19.54
2024-11-08,,,,,,,,,,,,,,,,,,,20.94
2024-11-11,,,,,,,,,,,,,,,,,,,24.24
2024-11-12,,,,,,,,,,,,,,,,,,,22.09
2024-11-13,,,,,,,,,,,,,,,,,,,23.64
2024-11-14,,,,,,,,,,,,,,,,,,,22.61
2024-11-15,,,,,,,,,,,,,,,,,,,21.84
2024-11-18,,,,,,,,,,,,,,,,,,,23.93
2024-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,20781.0,0.02,0.0,0.0,0.0,23.09
2024-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,19890.0,0.02,0.0,0.0,0.0,22.1
2024-11-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,20583.0,0.02,0.0,0.0,0.0,22.87
2024-11-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,20844.0,0.02,0.0,0.0,0.0,23.16
2024-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900.0,24714.0,0.02,0.0,0.0,0.0,27.46
2024-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.55,0.0,0.0,0.0,0.0,27.55
2024-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.68,0.0,0.0,0.0,0.0,27.68
2024-11-28,,,,,,,,,,,,,,,,,,,26.41
2024-11-29,,,,,,,,,,,,,,,,,,,27.96
2024-12-02,,,,,,,,,,,,,,,,,,,28.08
2024-12-03,,,,,,,,,,,,,,,,,,,29.52
2024-12-04,,,,,,,,,,,,,,,,,,,30.34
2024-12-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,35112.0,0.03,0.0,0.0,0.0,31.92
2024-12-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100.0,35431.0,0.04,0.0,0.0,0.0,32.21
2024-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,75843.0,0.09,0.0,0.0,0.0,28.09
2024-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,65097.0,0.08,0.0,0.0,0.0,24.11
2024-12-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700.0,72063.0,0.07,0.0,0.0,0.0,26.69
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,55.9,0.0,0.0,0.0,0.0,27.95
2024-12-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,52.96,0.0,0.0,0.0,0.0,26.48
2024-12-16,,,,,,,,,,,,,,,,,,,26.6
2024-12-17,,,,,,,,,,,,,,,,,,,25.79
2024-12-18,,,,,,,,,,,,,,,,,,,25.02
2024-12-19,,,,,,,,,,,,,,,,,,,21.88
2024-12-20,,,,,,,,,,,,,,,,,,,19.63
2024-12-23,,,,,,,,,,,,,,,,,,,19.53
2024-12-24,,,,,,,,,,,,,,,,,,,21.28
2024-12-27,,,,,,,,,,,,,,,,,,,19.38
2024-12-30,,,,,,,,,,,,,,,,,,,18.5
2024-12-31,,,,,,,,,,,,,,,,,,,18.61
2025-01-02,,,,,,,,,,,,,,,,,,,20.68
2025-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1450.0,31624.5,0.03,0.0,0.0,0.0,21.81
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.3,0.0,0.0,0.0,0.0,25.3
2025-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23.11,0.0,0.0,0.0,0.0,23.11
2025-01-08,,,,,,,,,,,,,,,,,,,20.61
2025-01-09,,,,,,,,,,,,,,,,,,,20.79
2025-01-10,,,,,,,,,,,,,,,,,,,19.98
2025-01-13,,,,,,,,,,,,,,,,,,,18.59
2025-01-14,,,,,,,,,,,,,,,,,,,19.72
2025-01-15,,,,,,,,,,,,,,,,,,,22.05
2025-01-16,,,,,,,,,,,,,,,,,,,21.8
2025-01-17,,,,,,,,,,,,,,,,,,,23.71
2025-01-20,,,,,,,,,,,,,,,,,,,20.81
2025-01-21,,,,,,,,,,,,,,,,,,,20.55
2025-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2042.0,0.0,0.0,0.0,0.0,20.42
2025-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,56420.0,0.06,0.0,0.0,0.0,20.15
2025-01-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,55804.0,0.06,0.0,0.0,0.0,19.93
2025-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2800.0,49084.0,0.06,0.0,0.0,0.0,17.53
2025-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.0,64356.0,0.07,0.0,0.0,0.0,17.3
2025-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3720.0,62682.0,0.06,0.0,0.0,0.0,16.85
2025-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2101.0,39162.64,0.04,0.0,0.0,0.0,18.64
2025-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,2006.34,0.0,0.0,0.0,0.0,19.67
2025-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.51,0.0,0.0,0.0,0.0,14.51
2025-02-04,,,,,,,,,,,,,,,,,,,13.82
2025-02-05,,,,,,,,,,,,,,,,,,,13.46
2025-02-06,,,,,,,,,,,,,,,,,,,12.53
2025-02-07,,,,,,,,,,,,,,,,,,,13.4
2025-02-10,,,,,,,,,,,,,,,,,,,13.65
2025-02-11,,,,,,,,,,,,,,,,,,,13.72
2025-02-12,,,,,,,,,,,,,,,,,,,13.01
2025-02-13,,,,,,,,,,,,,,,,,,,13.89
2025-02-14,,,,,,,,,,,,,,,,,,,14.18
2025-02-17,,,,,,,,,,,,,,,,,,,14.05
2025-02-18,,,,,,,,,,,,,,,,,,,12.58
2025-02-19,,,,,,,,,,,,,,,,,,,13.93
2025-02-20,,,,,,,,,,,,,,,,,,,14.66
2025-02-21,,,,,,,,,,,,,,,,,,,15.23
2025-02-24,,,,,,,,,,,,,,,,,,,13.76
2025-02-25,,,,,,,,,,,,,,,,,,,11.98
2025-02-26,,,,,,,,,,,,,,,,,,,12.25
2025-02-27,,,,,,,,,,,,,,,,,,,12.71
2025-02-28,,,,,,,,,,,,,,,,,,,12.19
2025-03-03,,,,,,,,,,,,,,,,,,,12.23
2025-03-04,,,,,,,,,,,,,,,,,,,9.45
2025-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,26910.0,0.02,0.0,0.0,0.0,10.35
2025-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2600.0,28158.0,0.03,0.0,0.0,0.0,10.83
2025-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,31440.0,0.03,0.0,0.0,0.0,10.48
2025-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,25920.0,0.03,0.0,0.0,0.0,8.64
2025-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,24840.0,0.03,0.0,0.0,0.0,8.28
2025-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,25170.0,0.02,0.0,0.0,0.0,8.39
2025-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,24450.0,0.03,0.0,0.0,0.0,8.15
2025-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,27060.0,0.03,0.0,0.0,0.0,9.02
2025-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,26310.0,0.03,0.0,0.0,0.0,8.77
2025-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,25200.0,0.03,0.0,0.0,0.0,8.4
2025-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,27180.0,0.03,0.0,0.0,0.0,9.06
2025-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,56615.0,0.06,0.0,0.0,0.0,8.71
2025-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,55770.0,0.06,0.0,0.0,0.0,8.58
2025-03-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,60970.0,0.06,0.0,0.0,0.0,9.38
2025-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6500.0,61815.0,0.06,0.0,0.0,0.0,9.51
2025-03-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0,29139.71,0.03,0.0,0.0,0.0,9.71
2025-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3001.0,28029.34,0.03,0.0,0.0,0.0,9.34
2025-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,25080.0,0.03,0.0,0.0,0.0,8.36
2025-03-31,,,,,,,,,,,,,,,,,,,7.91
2025-04-01,,,,,,,,,,,,,,,,,,,8.16
2025-04-02,,,,,,,,,,,,,,,,,,,7.95
2025-04-03,,,,,,,,,,,,,,,,,,,7.17
2025-04-04,,,,,,,,,,,,,,,,,,,7.37
2025-04-07,,,,,,,,,,,,,,,,,,,6.31
2025-04-08,,,,,,,,,,,,,,,,,,,6.423
2025-04-09,,,,,,,,,,,,,,,,,,,6.342
2025-04-10,,,,,,,,,,,,,,,,,,,6.693
2025-04-11,,,,,,,,,,,,,,,,,,,6.938
2025-04-14,,,,,,,,,,,,,,,,,,,6.994
2025-04-15,,,,,,,,,,,,,,,,,,,6.826
2025-04-16,,,,,,,,,,,,,,,,,,,6.685
2025-04-17,,,,,,,,,,,,,,,,,,,6.516
2025-04-22,,,,,,,,,,,,,,,,,,,7.573
2025-04-23,,,,,,,,,,,,,,,,,,,7.95
2025-04-24,,,,,,,,,,,,,,,,,,,8.634
2025-04-25,,,,,,,,,,,,,,,,,,,8.699
2025-04-28,,,,,,,,,,,,,,,,,,,8.332
2025-04-29,,,,,,,,,,,,,,,,,,,8.393
2025-04-30,,,,,,,,,,,,,,,,,,,8.055
2025-05-02,,,,,,,,,,,,,,,,,,,8.839
2025-05-05,,,,,,,,,,,,,,,,,,,7.963
2025-05-06,,,,,,,,,,,,,,,,,,,7.776
2025-05-07,,,,,,,,,,,,,,,,,,,8.095
2025-05-08,,,,,,,,,,,,,,,,,,,9.271
2025-05-09,,,,,,,,,,,,,,,,,,,10.088
2025-05-12,,,,,,,,,,,,,,,,,,,11.7
2025-05-13,,,,,,,,,,,,,,,,,,,11.527
2025-05-14,,,,,,,,,,,,,,,,,,,11.475
2025-05-15,,,,,,,,,,,,,,,,,,,10.746
2025-05-16,,,,,,,,,,,,,,,,,,,10.82
2025-05-19,,,,,,,,,,,,,,,,,,,10.022
2025-05-20,,,,,,,,,,,,,,,,,,,10.094
2025-05-21,,,,,,,,,,,,,,,,,,,10.55
2025-05-22,,,,,,,,,,,,,,,,,,,11.979
2025-05-23,,,,,,,,,,,,,,,,,,,11.775
2025-05-26,,,,,,,,,,,,,,,,,,,11.697
2025-05-27,,,,,,,,,,,,,,,,,,,12.536
2025-05-28,,,,,,,,,,,,,,,,,,,12.624
2025-05-29,,,,,,,,,,,,,,,,,,,12.109
2025-05-30,,,,,,,,,,,,,,,,,,,11.744
2025-06-02,,,,,,,,,,,,,,,,,,,10.01
2025-06-03,,,,,,,,,,,,,,,,,,,11.104
2025-06-04,,,,,,,,,,,,,,,,,,,10.823
2025-06-05,,,,,,,,,,,,,,,,,,,10.368
2025-06-06,,,,,,,,,,,,,,,,,,,10.317
2025-06-09,,,,,,,,,,,,,,,,,,,11.348
2025-06-10,,,,,,,,,,,,,,,,,,,11.567
2025-06-11,,,,,,,,,,,,,,,,,,,11.759
2025-06-12,,,,,,,,,,,,,,,,,,,10.938
2025-06-13,,,,,,,,,,,,,,,,,,,9.706
2025-06-16,,,,,,,,,,,,,,,,,,,9.995
2025-06-17,,,,,,,,,,,,,,,,,,,9.29
2025-06-18,,,,,,,,,,,,,,,,,,,8.996
2025-06-19,,,,,,,,,,,,,,,,,,,9.573
2025-06-20,,,,,,,,,,,,,,,,,,,9.298
2025-06-23,,,,,,,,,,,,,,,,,,,8.149
2025-06-24,,,,,,,,,,,,,,,,,,,9.728
2025-06-25,,,,,,,,,,,,,,,,,,,9.208
2025-06-26,,,,,,,,,,,,,,,,,,,8.879
2025-06-27,,,,,,,,,,,,,,,,,,,8.686
2025-06-30,,,,,,,,,,,,,,,,,,,8.92
2025-07-01,,,,,,,,,,,,,,,,,,,8.523
2025-07-02,,,,,,,,,,,,,,,,,,,8.818
2025-07-03,,,,,,,,,,,,,,,,,,,9.463
2025-07-04,,,,,,,,,,,,,,,,,,,8.915
2025-07-07,,,,,,,,,,,,,,,,,,,8.58
2025-07-08,,,,,,,,,,,,,,,,,,,8.512
2025-07-09,,,,,,,,,,,,,,,,,,,8.673
2025-07-10,,,,,,,,,,,,,,,,,,,9.027
2025-07-11,,,,,,,,,,,,,,,,,,,10.663
2025-07-14,,,,,,,,,,,,,,,,,,,10.319
2025-07-15,,,,,,,,,,,,,,,,,,,10.181
2025-07-16,,,,,,,,,,,,,,,,,,,11.061
2025-07-17,,,,,,,,,,,,,,,,,,,11.719
2025-07-18,,,,,,,,,,,,,,,,,,,11.406
2025-07-21,,,,,,,,,,,,,,,,,,,12.757
2025-07-22,,,,,,,,,,,,,,,,,,,12.316
2025-07-23,,,,,,,,,,,,,,,,,,,11.475
2025-07-24,,,,,,,,,,,,,,,,,,,11.399
2025-07-25,,,,,,,,,,,,,,,,,,,10.911
2025-07-28,,,,,,,,,,,,,,,,,,,12.651
2025-07-29,,,,,,,,,,,,,,,,,,,11.767
2025-07-30,,,,,,,,,,,,,,,,,,,11.622
2025-07-31,,,,,,,,,,,,,,,,,,,11.652
2025-08-01,,,,,,,,,,,,,,,,,,,10.805
2025-08-04,,,,,,,,,,,,,,,,,,,11.152
2025-08-05,,,,,,,,,,,,,,,,,,,10.925
2025-08-06,,,,,,,,,,,,,,,,,,,10.733
2025-08-07,,,,,,,,,,,,,,,,,,,11.346
2025-08-08,,,,,,,,,,,,,,,,,,,11.516
2025-08-11,,,,,,,,,,,,,,,,,,,11.597
2025-08-12,,,,,,,,,,,,,,,,,,,11.844
2025-08-13,,,,,,,,,,,,,,,,,,,12.746
2025-08-14,,,,,,,,,,,,,,,,,,,12.712
2025-08-15,,,,,,,,,,,,,,,,,,,11.681
2025-08-18,,,,,,,,,,,,,,,,,,,11.826
2025-08-19,,,,,,,,,,,,,,,,,,,11.362
2025-08-20,,,,,,,,,,,,,,,,,,,11.349
2025-08-21,,,,,,,,,,,,,,,,,,,11.139
2025-08-22,,,,,,,,,,,,,,,,,,,11.821
2025-08-25,,,,,,,,,,,,,,,,,,,11.122
2025-08-26,,,,,,,,,,,,,,,,,,,10.979
2025-08-27,,,,,,,,,,,,,,,,,,,11.254
2025-08-28,,,,,,,,,,,,,,,,,,,11.47
2025-08-29,,,,,,,,,,,,,,,,,,,10.749
