,CEC FP Equity_DX_SI_QTY,CEC FP Equity_DX_SHORT_INTEREST_VALUE,CEC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,CEC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,CEC FP Equity_DX_SI_MV,CEC FP Equity_DX_DSS,CEC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,CEC FP Equity_DX_SUPPLY_SI_QTY,CEC FP Equity_DX_BROKER_SI_QTY,CEC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,CEC FP Equity_DX_BROKER_SI_MV_NEW_x,CEC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,CEC FP Equity_DX_SUPPLY_SI_QTY_INC_x,CEC FP Equity_DX_BROKER_SI_MV_INC_x,CEC FP Equity_DX_SUPPLY_SI_MV_NEW,CEC FP Equity_DX_BROKER_SI_QTY_ADD,CEC FP Equity_DX_BROKER_SI_QTY_NEW,CEC FP Equity_DX_SUPPLY_SI_MV_DEC,CEC FP Equity_DX_BROKER_SI_QTY_INC,CEC FP Equity_DX_SUPPLY_SI_QTY_DEC,CEC FP Equity_DX_BROKER_SI_MV_NEW_y,CEC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,CEC FP Equity_DX_BROKER_SI_MV_INC_y,CEC FP Equity_DX_SUPPLY_SI_QTY_INC_y,CEC FP Equity_DX_BROKER_SI_MV_ADD,CEC FP Equity_DX_SUPPLY_SI_QTY_ADD,CEC FP Equity_DX_BROKER_SI_QTY_DEC,CEC FP Equity_DX_SUPPLY_SI_MV,CEC FP Equity_DX_BROKER_SI_MV_DEC,CEC FP Equity_DX_SUPPLY_SI_MV_RMV,CEC FP Equity_DX_BROKER_SI_MV_RMV,CEC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,CEC FP Equity_DX_UTILIZATION_QUANTITY,CEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,CEC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,CEC FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,CEC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,CEC FP Equity_DX_ACTIVE_UTILIZATION_MV,CEC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,CEC FP Equity_DX_BROKER_SI_CON_RATIO,CEC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,CEC FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-24,43355.0,751997.72,0.7,0.41,1.01,,751997.72,0.0,43355.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,69273.0,1201548.57,,0.0,0.0,43.04,0.5097,56.96,0.6259
2006-05-31,66378.0,1184809.85,1.0,0.63,1.5,,1184809.85,0.0,66378.0,0.0,,,,0.48,,1050.0,,,21973.0,,,,0.48,,0.02,,,0.0,,,,0.0,0.0,72934.0,1301830.75,,0.0,0.0,28.75,0.5693,69.75,0.9101
2006-06-07,73878.0,1300967.91,1.35,0.7,1.66,,1300967.91,0.0,73878.0,0.0,,,,0.15,,,,,7500.0,,,,0.15,,,,,0.0,,,,0.0,0.0,74986.0,1320479.44,,0.0,0.0,26.08,0.5949,72.57,0.9852
2006-06-14,73878.0,1137278.05,1.31,0.7,1.55,,1137278.05,0.0,73878.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,70516.0,1085523.42,,0.0,0.0,27.77,0.581,70.97,1.0477
2006-06-21,90478.0,1474352.97,1.46,0.86,1.91,,1474352.97,0.0,90478.0,0.0,,,,0.35,,,,,16600.0,,,,0.35,,,,,0.0,,,,0.0,0.0,71638.0,1167352.26,,0.0,0.0,22.68,0.6328,76.24,1.263
2006-06-28,90478.0,1548407.22,1.65,0.86,2.02,,1548407.22,0.0,90478.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,68609.0,1174149.2,,0.0,0.0,21.51,0.6456,77.41,1.3187
2006-07-03,54978.0,979053.64,1.0,0.52,1.25,,979053.64,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,35500.0,0.0,0.73,,,0.0,0.0,70272.0,1251410.7,,0.0,0.0,34.57,0.5246,63.62,0.7824
2006-07-04,54978.0,990416.85,1.04,0.52,1.25,,990416.85,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,73124.0,1317313.13,,0.0,0.0,34.54,0.5246,63.64,0.7518
2006-07-05,54978.0,968144.97,1.11,0.52,1.26,,968144.97,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,73227.0,1289504.01,,0.0,0.0,34.44,0.5257,63.78,0.7508
2006-07-06,54978.0,984053.45,1.13,0.52,1.25,,984053.45,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,72675.0,1300812.77,,0.0,0.0,34.65,0.524,63.53,0.7565
2006-07-07,54978.0,999507.41,1.18,0.52,1.25,,999507.41,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,73620.0,1338421.47,,0.0,0.0,34.48,0.5247,63.68,0.7468
2006-07-10,55253.0,1015470.19,1.27,0.52,1.27,,1010416.08,275.0,54978.0,5054.1,,,,,,,,,,,,,,,,275.0,,0.01,,,,0.37,0.37,73994.0,1359902.65,,0.0,0.0,34.33,0.5255,63.82,0.744
2006-07-11,54978.0,1006325.33,1.28,0.52,1.26,,1006325.33,0.0,54978.0,0.0,,,,,,,,0.01,,275.0,,,,,,,,0.0,,,,0.0,0.0,75574.0,1383317.52,,0.0,0.0,34.34,0.5255,63.82,0.7275
2006-07-12,54978.0,1016324.95,1.29,0.52,1.26,,1016324.95,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,74693.0,1380777.03,,0.0,0.0,34.26,0.5258,63.88,0.7361
2006-07-13,54978.0,981326.28,1.34,0.52,1.27,,981326.28,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,75294.0,1343955.42,,0.0,0.0,34.19,0.5271,64.02,0.7302
2006-07-14,54978.0,972690.25,1.4,0.52,1.25,,972690.25,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,78464.0,1388212.88,,0.0,0.0,34.53,0.5251,63.68,0.7007
2006-07-17,54978.0,964963.27,1.33,0.52,1.25,,964963.27,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,78373.0,1375587.8,,0.0,0.0,34.61,0.5247,63.6,0.7015
2006-07-18,54978.0,987235.15,1.35,0.52,1.25,,987235.15,0.0,54978.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,77561.0,1392756.11,,0.0,0.0,34.67,0.5238,63.5,0.7088
2006-07-19,55778.0,1010362.38,1.4,0.53,1.27,,1010362.38,0.0,55778.0,0.0,,,,0.03,,,,,800.0,,,,0.03,,,,,0.0,,,,0.0,0.0,78300.0,1418325.76,,0.0,0.0,33.99,0.5281,64.2,0.7124
2006-07-20,60778.0,1127061.28,1.5,0.57,1.38,,1127061.28,0.0,60778.0,0.0,,,,0.11,,,,,5000.0,,,,0.11,,,,,0.0,,,,0.0,0.0,78933.0,1463725.82,,0.0,0.0,31.26,0.5474,67.04,0.77
2006-07-21,60778.0,1119021.61,1.56,0.57,1.39,,1119021.61,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,81333.0,1497472.52,,0.0,0.0,31.08,0.549,67.25,0.7473
2006-07-24,60778.0,1133091.03,1.62,0.57,1.39,,1133091.03,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,81066.0,1511322.48,,0.0,0.0,31.13,0.5484,67.17,0.7497
2006-07-25,60778.0,1164244.75,1.7,0.57,1.4,,1164244.75,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82466.0,1579693.44,,0.0,0.0,31.01,0.5487,67.24,0.737
2006-07-26,60778.0,1168264.59,1.83,0.57,1.41,,1168264.59,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82169.0,1579438.83,,0.0,0.0,30.79,0.5503,67.47,0.7397
2006-07-27,60778.0,1192886.08,1.97,0.57,1.4,,1192886.08,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,82745.0,1624031.04,,0.0,0.0,30.75,0.5502,67.48,0.7345
2006-07-28,60778.0,1181329.05,1.93,0.57,1.42,,1181329.05,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,84227.0,1637102.28,,0.0,0.0,30.59,0.5517,67.67,0.7216
2006-07-31,60778.0,1195398.48,2.1,0.57,1.41,,1195398.48,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,78665.0,1547204.93,,0.0,0.0,30.66,0.5509,67.57,0.7726
2006-08-01,60778.0,1169772.03,2.04,0.57,1.42,,1169772.03,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,78580.0,1512400.64,,0.0,0.0,30.58,0.5521,67.7,0.7735
2006-08-02,65342.0,1256533.25,2.46,0.62,1.51,,1168767.07,4564.0,60778.0,87766.18,,,,,,,,,,,,,,,,4564.0,,0.11,,,,5.75,5.75,74839.0,1439161.52,,0.0,0.0,30.75,0.5507,67.51,0.8229
2006-08-03,60778.0,1153190.21,2.26,0.57,1.41,,1153190.21,0.0,60778.0,0.0,,,,,,,,0.11,,4564.0,,,,,,,,0.0,,,,0.0,0.0,77999.0,1479938.19,,0.0,0.0,30.77,0.5508,67.52,0.7792
2006-08-04,60778.0,1161229.88,2.28,0.57,1.4,,1161229.88,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,94066.0,1797233.37,,0.0,0.0,30.87,0.5498,67.4,0.6461
2006-08-07,60778.0,1164244.75,2.32,0.57,1.4,,1164244.75,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,95199.0,1823602.89,,0.0,0.0,30.82,0.5502,67.45,0.6384
2006-08-08,60778.0,1164244.75,2.32,0.57,1.42,,1164244.75,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,94074.0,1802052.73,,0.0,0.0,31.36,0.5465,66.92,0.6461
2006-08-09,60778.0,1173289.38,2.31,0.57,1.41,,1173289.38,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,94142.0,1817364.99,,0.0,0.0,31.36,0.5464,66.91,0.6456
2006-08-10,60778.0,1163239.8,2.12,0.57,1.42,,1163239.8,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,93832.0,1795865.55,,0.0,0.0,31.29,0.5469,66.98,0.6477
2006-08-11,60778.0,1137613.35,2.05,0.57,1.42,,1137613.35,0.0,60778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92714.0,1735376.02,,0.0,0.0,31.38,0.5469,66.94,0.6555
2006-08-14,76778.0,1448519.3,2.62,0.73,1.77,,1448519.3,0.0,76778.0,0.0,,,,0.35,,,,,16000.0,,,,0.35,,,,,0.0,,,,0.0,0.0,92865.0,1752022.0,,0.0,0.0,25.1,0.6041,73.55,0.8268
2006-08-15,76778.0,1457405.92,2.73,0.73,1.78,,1457405.92,0.0,76778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92435.0,1754608.3,,0.0,0.0,25.02,0.6049,73.63,0.8306
2006-08-16,76778.0,1460579.72,2.75,0.73,1.78,,1460579.72,0.0,76778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92363.0,1757059.63,,0.0,0.0,24.95,0.6055,73.69,0.8313
2006-08-17,76778.0,1470735.85,2.83,0.73,1.78,,1470735.85,0.0,76778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,93817.0,1797129.72,,0.0,0.0,24.93,0.6056,73.71,0.8184
2006-08-18,76778.0,1454866.89,2.72,0.73,1.78,,1454866.89,0.0,76778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92976.0,1761802.91,,0.0,0.0,24.93,0.6058,73.72,0.8258
2006-08-21,76778.0,1450423.58,2.71,0.73,1.77,,1450423.58,0.0,76778.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,93067.0,1758141.28,,0.0,0.0,24.56,0.6093,74.08,0.825
2006-08-22,156489.0,2975661.34,5.64,1.48,3.6,,2220550.84,39711.0,116778.0,755110.5,,,,0.92,,,,,40000.0,,,,0.92,,,39711.0,,0.91,,,,42.57,42.57,53581.0,1018850.59,,0.0,0.0,35.13,0.3867,48.7,1.6774
2006-08-23,156740.0,2967475.73,5.79,1.48,3.61,,2210896.27,39962.0,116778.0,756579.46,,,251.0,,,,,,,,,,,251.0,,,,0.92,,,,42.47,42.47,54127.0,1024757.94,,0.0,0.0,34.97,0.3872,48.86,1.6659
2006-08-24,116778.0,2181932.56,4.28,1.1,2.67,,2181932.56,0.0,116778.0,0.0,,,,,,,,0.92,,39962.0,,,,,,,,0.0,,,,0.0,0.0,94360.0,1763064.59,,0.0,0.0,34.73,0.3872,49.0,1.2376
2006-08-25,85850.0,1604059.93,3.23,0.81,1.97,,1604059.93,0.0,85850.0,0.0,,,,,,,,,,,,,,,,,30928.0,0.0,0.7,,,0.0,0.0,93178.0,1740979.57,,0.0,0.0,30.83,0.3656,47.1,0.9214
2006-08-28,44800.0,825581.46,1.83,0.42,1.04,,825581.46,0.0,44800.0,0.0,,,,,,,,,,,,,,,,,41050.0,0.0,0.92,,,0.0,0.0,91229.0,1681182.4,,0.0,0.0,41.72,0.5137,58.28,0.4911
2006-08-29,44800.0,834470.63,1.74,0.42,1.05,,834470.63,0.0,44800.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,90823.0,1691721.57,,0.0,0.0,41.8,0.5135,58.2,0.4933
2006-08-30,44800.0,851878.59,1.76,0.42,1.04,,851878.59,0.0,44800.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,91777.0,1745153.15,,0.0,0.0,41.57,0.5142,58.43,0.4881
2006-08-31,44800.0,844470.95,1.78,0.42,1.04,,844470.95,0.0,44800.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,93732.0,1766829.26,,0.0,0.0,41.64,0.514,58.36,0.478
2006-09-01,38800.0,737466.93,1.51,0.37,0.9,,737466.93,0.0,38800.0,0.0,,,,,,,,,,,,,,,,,6000.0,0.0,0.13,,,0.0,0.0,92517.0,1758459.48,,0.0,0.0,47.79,0.501,52.21,0.4194
2006-09-04,38800.0,750618.79,1.52,0.37,0.91,,750618.79,0.0,38800.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,92412.0,1787788.25,,0.0,0.0,48.01,0.5008,51.99,0.4199
2006-09-05,38800.0,756072.01,1.45,0.37,0.91,,756072.01,0.0,38800.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,94108.0,1833825.37,,0.0,0.0,48.01,0.5008,51.99,0.4123
2006-09-06,38800.0,752222.68,1.49,0.37,0.91,,752222.68,0.0,38800.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,94614.0,1834298.88,,0.0,0.0,48.12,0.5007,51.88,0.4101
2006-09-07,38800.0,738108.48,1.38,0.37,0.92,,738108.48,0.0,38800.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,93466.0,1778042.46,,0.0,0.0,47.26,0.5015,52.74,0.4151
2006-09-08,17200.0,326349.53,0.67,0.16,0.41,,326349.53,0.0,17200.0,0.0,,,,,,,,,,,,,,,,,21600.0,0.0,0.52,,,0.0,0.0,90989.0,1726407.97,,0.0,0.0,48.08,0.5007,51.92,0.189
2006-09-11,17200.0,324442.77,0.65,0.16,0.41,,324442.77,0.0,17200.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,91006.0,1716641.78,,0.0,0.0,48.08,0.5007,51.92,0.189
2006-09-12,17773.0,340707.41,0.66,0.17,0.42,,335282.32,283.0,17490.0,5425.09,,,,,,290.0,,,,,,,,,0.01,283.0,,0.01,,,,0.32,0.32,87198.0,1671580.75,,2.08,0.32,47.32,0.4854,51.11,0.2032
2006-09-13,55790.0,1078530.45,2.01,0.53,1.27,,1072730.86,37704.0,55490.0,728892.49,,,37421.0,0.85,,,,,38000.0,,,,0.85,37421.0,,,,0.86,,,,40.78,40.78,54759.0,1058599.19,,1.25,40.78,15.28,0.7324,84.21,0.6034
2006-09-14,55791.0,1079977.07,1.98,0.53,1.28,,1074150.44,37862.0,55490.0,732915.55,,,158.0,,,,,,,,,,,158.0,,,,0.87,,,,40.56,40.56,55489.0,1074131.09,,1.27,40.56,15.21,0.7333,84.27,0.5976
2006-09-15,38595.0,746117.28,1.37,0.36,0.88,,740221.03,38305.0,38290.0,740511.01,,,443.0,,,,,,,,,,,443.0,,,17200.0,0.87,0.41,,,39.27,39.27,59243.0,1145283.74,,1.35,39.27,0.76,0.985,99.24,0.3957
2006-09-18,38594.0,747743.51,1.4,0.36,0.88,,741853.63,38304.0,38290.0,742124.87,,,,,,,,0.0,,1.0,,,,,,,,0.87,,,,39.78,39.78,57989.0,1123513.97,,1.32,39.78,0.76,0.9849,99.24,0.4008
2006-09-19,75239.0,1442327.39,2.72,0.71,1.71,,734017.14,74952.0,38290.0,1436825.62,,,36648.0,,,,,,,,,,,36648.0,,,,1.7,,,,77.52,77.52,21736.0,416677.9,,0.49,77.52,0.75,0.9851,99.25,0.7782
2006-09-20,75631.0,1431783.48,2.72,0.71,1.7,,724874.58,75344.0,38290.0,1426350.24,,,392.0,,,,,,,,,,,392.0,,,,1.69,,,,78.07,78.07,21168.0,400735.05,,0.48,78.07,0.75,0.9852,99.25,0.7836
2006-09-21,76094.0,1443144.2,3.05,0.72,1.69,,726180.66,75803.0,38290.0,1437625.3,,,459.0,,,,,,,,,,,459.0,,,,1.68,,,,78.59,78.59,20648.0,391595.15,,0.46,78.59,0.76,0.9849,99.24,0.7889
2006-09-22,75732.0,1389780.53,3.09,0.72,1.68,,702671.22,75451.0,38290.0,1384623.82,,,,,,,,0.0,,352.0,,,,,,,,1.68,,,,78.53,78.53,20634.0,378660.69,,0.46,78.53,0.73,0.9854,99.27,0.7882
2006-09-25,76685.0,1411846.87,2.84,0.72,1.65,,699617.67,76685.0,38000.0,1411846.87,,,1234.0,,,,,,,,,,,1234.0,,,290.0,1.65,0.01,,,78.93,78.93,20470.0,376872.99,,0.0,0.0,,1.0,100.0,0.7893
2006-09-26,88957.0,1666612.81,3.17,0.84,1.92,,943459.06,50970.0,50358.0,954924.91,,,,,,12358.0,,0.56,,25715.0,,,,,0.27,,,1.1,,,,52.68,52.68,45790.0,857877.41,,0.99,52.68,24.46,0.6304,75.54,0.9194
2006-09-27,63225.0,1188296.89,2.17,0.6,1.39,,476596.8,63209.0,25358.0,1187996.17,,,12239.0,,,,,,,,,,,12239.0,,,25000.0,1.39,0.53,,,65.31,65.31,33571.0,630957.92,,0.74,65.31,48.77,0.5003,51.23,0.6533
2006-09-28,38925.0,731916.85,1.23,0.37,0.86,,731916.85,38972.0,38925.0,732800.6,,,,0.3,,,,0.53,13567.0,24236.0,,,0.3,,,,,0.86,,,,40.07,40.07,58278.0,1095816.32,,1.28,40.07,33.44,0.5549,66.56,0.4003
2006-09-29,38925.0,726605.89,1.29,0.37,0.86,,726605.89,38984.0,38925.0,727707.23,,,12.0,,,,,,,,,,,12.0,,,,0.86,,,,40.15,40.15,58119.0,1084896.79,,1.28,40.15,33.45,0.5548,66.55,0.4009
2006-10-02,38925.0,727269.76,1.29,0.37,0.85,,727269.76,12957.0,38925.0,242086.94,,,,,,,,0.57,,26027.0,,,,,,,,0.28,,,,27.49,27.49,34172.0,638465.31,,0.75,27.49,33.29,0.5559,66.71,0.8259
