,ALSPW FP Equity_DX_SI_QTY,ALSPW FP Equity_DX_SHORT_INTEREST_VALUE,ALSPW FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALSPW FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALSPW FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALSPW FP Equity_DX_SI_MV,ALSPW FP Equity_DX_DSS,ALSPW FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALSPW FP Equity_DX_SUPPLY_SI_QTY,ALSPW FP Equity_DX_BROKER_SI_QTY,ALSPW FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALSPW FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALSPW FP Equity_DX_BROKER_SI_MV_INC_x,ALSPW FP Equity_DX_BROKER_SI_QTY_ADD,ALSPW FP Equity_DX_SUPPLY_SI_MV_DEC,ALSPW FP Equity_DX_BROKER_SI_QTY_INC,ALSPW FP Equity_DX_SUPPLY_SI_QTY_DEC,ALSPW FP Equity_DX_BROKER_SI_MV_INC_y,ALSPW FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALSPW FP Equity_DX_BROKER_SI_MV_ADD,ALSPW FP Equity_DX_SUPPLY_SI_QTY_ADD,ALSPW FP Equity_DX_BROKER_SI_QTY_DEC,ALSPW FP Equity_DX_SUPPLY_SI_MV,ALSPW FP Equity_DX_BROKER_SI_MV_DEC,ALSPW FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALSPW FP Equity_DX_UTILIZATION_QUANTITY,ALSPW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALSPW FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALSPW FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALSPW FP Equity_DX_ACTIVE_UTILIZATION_MV,ALSPW FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALSPW FP Equity_DX_BROKER_SI_CON_RATIO,ALSPW FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALSPW FP Equity_DX_DEMAND_SUPPLY_RATIO,ALSPW FP Equity_PX_LAST
2013-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.85
2013-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.84
2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.95
2013-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-11-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-12-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.91
2013-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2013-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2013-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2013-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2013-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2013-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2013-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
2013-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2013-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.78
2014-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2014-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2014-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2014-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2014-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8
2014-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.56
2014-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1
2014-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
2014-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2014-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2014-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2014-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2014-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2014-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2014-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2014-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2014-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2014-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1
2014-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2014-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2014-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0
2014-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01
2014-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01
2014-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01
2014-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01
2014-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.01
2014-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02
2014-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
2014-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.43
2014-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2014-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2014-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.25
2014-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5
2014-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4
2014-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.42
