,MLHPE FP Equity_PX_LAST
2007-06-05,8.6
2007-06-07,8.6
2007-06-11,8.56
2007-06-12,9.3
2007-06-14,9.5
2007-06-20,11.0
2007-06-21,10.99
2007-06-22,11.0
2007-06-25,11.0
2007-06-27,10.9
2007-07-04,9.76
2007-07-06,9.75
2007-07-09,9.7
2007-07-10,9.51
2007-07-11,9.5
2007-07-12,10.0
2007-07-17,10.05
2007-07-24,10.05
2007-07-27,10.0
2007-08-13,8.21
2007-08-17,7.02
2007-08-24,8.0
2007-08-28,8.79
2007-09-07,9.57
2007-09-19,9.58
2007-09-20,9.58
2007-10-01,9.5
2007-10-10,9.4
2007-11-01,6.96
2007-11-16,7.0
2007-11-27,7.74
2007-12-03,7.8
2007-12-13,7.79
2007-12-18,7.74
2007-12-24,7.74
2007-12-27,7.8
2007-12-31,8.0
2008-01-10,7.5
2008-01-28,7.5
2008-02-18,6.5
2008-02-19,6.0
2008-02-22,6.0
2008-02-25,6.0
2008-02-27,6.0
2008-02-28,6.0
2008-03-04,6.0
2008-03-05,6.0
2008-03-06,6.0
2008-03-07,6.0
2008-03-14,5.55
2008-03-25,5.0
2008-04-25,6.54
2008-05-21,5.5
2008-06-10,5.3
2008-07-22,5.3
2008-07-25,5.3
2008-08-14,5.3
2008-08-15,5.4
2008-08-20,5.5
2008-08-22,5.4
2008-09-02,6.0
2008-10-13,5.3
2008-10-14,5.0
2008-10-20,5.0
2008-11-03,4.3
2008-11-12,4.3
2008-11-21,5.95
2008-12-10,6.54
2008-12-11,6.5
2008-12-12,6.5
2008-12-23,6.5
2008-12-30,6.2
2008-12-31,6.2
2009-02-03,4.99
2009-02-16,4.7
2009-07-22,3.4
2009-07-29,4.05
2009-08-05,4.02
2009-08-10,3.26
2009-08-11,3.26
2009-08-12,3.26
2009-08-13,3.26
2009-08-19,3.15
2009-08-20,3.15
2009-08-21,3.1
2009-08-31,4.05
2009-09-01,4.05
2009-09-07,4.05
2009-09-23,4.03
2009-09-28,3.8
2009-09-30,3.8
2009-10-06,3.6
2009-10-07,3.6
2009-10-12,3.6
2009-10-16,3.6
2009-11-05,3.79
2009-11-10,3.79
2009-12-14,3.92
2009-12-15,3.92
2009-12-16,3.91
2009-12-17,3.91
2009-12-21,3.91
2009-12-23,3.91
2010-01-04,3.82
2010-03-03,2.49
2010-03-04,2.7
2010-03-05,2.9
2010-03-08,2.8
2010-03-09,2.9
2010-03-11,2.8
2010-03-12,2.8
2010-03-15,2.8
2010-03-16,2.8
2010-03-17,2.8
2010-03-19,2.79
2010-03-22,2.7
2010-03-24,2.69
2010-03-25,2.64
2010-03-26,2.64
2010-03-29,2.64
2010-03-30,2.64
2010-03-31,2.38
2010-04-01,2.38
2010-04-06,2.38
2010-04-07,2.5
2010-04-08,2.5
2010-04-09,2.5
2010-04-12,2.5
2010-04-13,2.5
2010-04-14,2.5
2010-04-15,2.5
2010-04-16,2.5
2010-04-19,2.59
2010-04-20,2.59
2010-04-21,2.59
2010-04-22,2.59
2010-04-23,2.59
2010-04-26,2.59
2010-04-27,2.59
2010-04-28,2.59
2010-04-29,2.59
2010-04-30,2.59
2010-05-03,2.59
2010-05-04,2.59
2010-05-17,2.48
2010-05-18,2.47
2010-05-19,2.47
2010-05-20,2.47
2010-05-21,2.47
2010-05-25,2.47
2010-05-26,2.47
2010-05-27,2.47
2010-05-28,2.47
2010-05-31,2.47
2010-06-01,2.47
2010-06-02,2.47
2010-06-03,2.47
2010-06-04,2.47
2010-06-07,2.47
2010-06-08,2.47
2010-06-09,2.47
2010-06-10,2.47
2010-06-11,2.47
2010-06-14,2.47
2010-06-15,2.47
2010-06-16,2.47
2010-06-17,2.47
2010-06-18,2.47
2010-06-21,2.47
2010-06-22,2.47
2010-06-23,2.47
2010-06-24,2.47
2010-06-25,2.47
2010-06-28,2.47
2010-06-29,2.47
2010-06-30,2.47
2010-07-01,2.47
2010-07-02,2.47
2010-07-05,2.47
2010-07-06,2.47
2010-08-04,2.47
2010-08-05,2.47
2010-08-06,2.47
2010-08-10,2.47
2010-08-11,2.47
2010-08-12,2.47
2010-08-13,2.47
2010-08-16,2.47
2010-08-17,2.47
2010-08-18,2.47
2010-08-19,2.47
2010-08-20,2.47
2010-08-23,2.47
2010-08-25,2.47
2010-08-26,2.47
2010-08-27,2.47
2010-09-01,2.44
2010-09-02,2.44
2010-09-06,2.42
2010-09-07,2.42
2010-09-08,2.42
2010-09-10,2.42
2010-09-13,2.42
2010-09-14,2.42
2010-09-15,2.42
2010-09-16,2.42
2010-09-17,2.42
2010-09-20,2.38
2010-09-22,2.38
2010-09-23,2.38
2010-09-24,2.38
2010-09-27,2.16
2010-09-28,2.37
2010-09-29,2.37
2010-09-30,2.37
2010-10-01,2.37
2010-10-04,2.37
2010-10-05,2.37
2010-10-06,2.37
2010-10-07,2.37
2010-10-08,2.37
2010-10-11,2.17
2010-10-12,2.37
2010-10-13,2.37
2010-10-14,2.37
2010-10-15,2.37
2010-10-18,2.37
2010-10-19,2.37
2010-10-20,2.37
2010-10-21,2.37
2010-10-22,2.37
2010-10-25,2.37
2010-10-26,2.37
2010-10-27,2.37
2010-10-28,2.37
2010-10-29,2.37
2010-11-01,2.33
2010-11-02,2.33
2010-11-03,2.33
2010-11-04,2.33
2010-11-05,2.33
2010-11-08,2.33
2010-11-09,2.33
2010-11-10,2.1
2010-11-11,2.31
2010-11-12,2.31
2010-11-15,2.31
2010-11-16,2.3
2010-11-17,2.3
2010-11-18,2.3
2010-11-19,2.3
2010-11-22,2.3
2010-11-23,2.3
2010-11-24,2.3
2010-11-25,2.3
2010-11-26,2.3
2010-11-29,2.25
2010-11-30,2.25
2010-12-01,2.2
2010-12-02,2.2
2010-12-03,2.41
2010-12-06,2.38
2010-12-08,2.3
2010-12-09,2.3
2010-12-10,2.38
2010-12-13,2.38
2010-12-14,2.38
2010-12-15,2.38
2010-12-20,2.39
2010-12-21,2.39
2010-12-22,2.47
2010-12-23,2.47
2010-12-24,2.46
2010-12-27,2.46
2010-12-28,2.46
2010-12-29,2.43
2010-12-30,2.43
2010-12-31,2.43
2011-01-03,2.43
2011-01-04,2.43
2011-01-05,2.43
2011-01-13,2.4
2011-01-14,2.4
2011-01-17,2.39
2011-01-19,2.37
2011-01-20,2.33
2011-01-21,2.33
2011-01-24,2.3
2011-01-25,2.16
2011-01-26,2.16
2011-01-27,2.16
2011-01-28,2.16
2011-01-31,2.29
2011-02-01,2.28
2011-02-02,2.28
2011-02-03,2.28
2011-02-04,2.28
2011-02-07,2.28
2011-02-08,2.28
2011-02-09,2.27
2011-02-10,2.27
2011-02-11,2.06
2011-02-15,2.0
2011-02-16,2.0
2011-02-17,1.99
2011-02-18,2.1
2011-02-21,2.3
2011-02-22,2.35
2011-02-23,2.4
2011-02-24,2.64
2011-02-25,2.64
2011-02-28,2.8
2011-03-01,3.0
2011-03-02,3.3
2011-03-03,3.5
2011-03-04,3.8
2011-03-07,3.79
2011-03-08,3.8
2011-03-09,3.79
2011-03-11,3.9
2011-03-14,3.9
2011-03-15,3.9
2011-03-16,3.9
2011-03-17,3.99
2011-03-18,4.1
2011-03-21,4.04
2011-03-22,4.04
2011-03-23,4.1
2011-03-24,4.1
2011-03-25,4.1
2011-03-28,4.1
2011-03-29,4.1
2011-03-30,4.1
2011-03-31,4.0
2011-04-01,3.95
2011-04-04,3.95
2011-04-05,3.95
2011-04-06,3.95
2011-04-07,3.95
2011-04-08,3.95
2011-04-11,3.95
2011-04-12,3.95
2011-04-13,3.95
2011-04-15,3.96
2011-04-19,3.96
2011-04-21,3.96
2011-04-26,3.96
2011-04-27,4.0
2011-04-29,3.99
2011-05-02,3.99
2011-05-03,3.95
2011-05-04,3.95
2011-05-05,3.95
2011-05-06,3.6
2011-05-10,3.59
2011-05-13,3.59
2011-05-17,3.58
2011-05-19,3.5
2011-05-20,3.5
2011-05-24,3.55
2011-05-27,3.55
2011-05-31,3.55
2011-06-06,3.55
2011-06-09,3.49
2011-06-10,3.49
2011-06-14,3.49
2011-06-17,3.44
2011-06-22,3.29
2011-06-23,3.31
2011-06-24,3.31
2011-06-28,3.31
2011-06-29,3.38
2011-07-01,3.38
2011-07-05,3.38
2011-07-12,3.38
2011-07-13,3.7
2011-07-15,3.69
2011-07-20,4.45
2011-07-22,4.44
2011-07-25,4.6
2011-07-26,4.6
2011-07-27,4.45
2011-07-28,4.12
2011-08-01,4.36
2011-08-10,4.3
2011-08-24,4.19
2011-08-26,4.15
2011-08-29,4.3
2011-08-30,4.5
2011-09-01,4.3
2011-09-02,4.3
2011-09-05,4.5
2011-09-08,4.02
2011-09-09,4.3
2011-09-12,4.1
2011-09-13,3.9
2011-09-14,4.07
2011-09-15,4.07
2011-09-16,4.07
2011-09-19,4.0
2011-09-20,4.0
2011-09-21,4.0
2011-09-22,4.0
2011-09-23,4.0
2011-09-26,4.0
2011-09-27,4.0
2011-09-28,4.0
2011-09-29,4.0
2011-09-30,4.0
2011-10-03,4.0
2011-10-04,4.0
2011-10-05,4.0
2011-10-06,3.99
2011-10-07,3.99
2011-10-10,3.99
2011-10-11,3.98
2011-10-12,3.98
2011-10-13,3.98
2011-10-14,3.98
2011-10-17,3.98
2011-10-18,3.98
2011-10-19,3.98
2011-10-20,3.98
2011-10-21,3.98
2011-10-24,3.98
2011-10-25,3.98
2011-10-26,3.98
2011-10-27,3.98
2011-10-28,3.98
2011-10-31,3.98
2011-11-01,3.98
2011-11-02,3.98
2011-11-03,3.98
2011-11-04,3.98
2011-11-07,3.98
2011-11-08,3.98
2011-11-09,3.98
2011-11-10,3.99
2011-11-11,3.98
2011-11-14,3.98
2011-11-15,3.98
2011-11-16,3.59
2011-11-17,3.93
2011-11-18,3.99
2011-11-21,3.98
2011-11-22,3.98
2011-11-23,3.98
2011-11-24,3.98
2011-11-25,3.98
2011-11-28,3.98
2011-11-29,3.98
2011-11-30,3.98
2011-12-01,3.98
2011-12-02,3.98
2011-12-05,3.98
2011-12-06,3.98
2011-12-07,3.98
2011-12-08,3.98
2011-12-09,3.98
2011-12-12,3.98
2011-12-13,3.98
2011-12-14,3.98
2011-12-15,3.98
2011-12-16,3.98
2011-12-19,3.98
2011-12-20,3.98
2011-12-21,3.99
2011-12-22,3.98
2011-12-23,4.01
2011-12-27,4.4
2011-12-28,4.8
2011-12-29,4.9
2011-12-30,4.9
2012-01-02,4.9
2012-01-03,4.9
2012-01-04,4.9
2012-01-05,4.9
2012-01-06,4.9
2012-01-09,4.9
2012-01-10,4.9
2012-01-11,4.9
2012-01-12,5.01
2012-01-13,5.01
2012-01-16,5.01
2012-01-17,5.01
2012-01-18,5.2
2012-01-19,5.19
2012-01-20,5.2
2012-01-23,5.2
2012-01-24,5.39
2012-01-25,5.36
2012-01-26,5.36
2012-01-27,5.36
2012-01-30,5.36
2012-01-31,5.36
2012-02-01,5.39
2012-02-02,5.38
2012-02-03,5.38
2012-02-06,5.38
2012-02-07,5.38
2012-02-08,5.38
2012-02-09,5.38
2012-02-10,5.38
2012-02-13,5.39
2012-02-14,5.38
2012-02-15,5.29
2012-02-16,5.29
2012-02-17,5.29
2012-02-21,5.29
2012-02-22,5.29
2012-02-23,5.29
2012-02-24,5.29
2012-02-27,5.15
2012-02-28,5.09
2012-02-29,5.39
2012-03-01,5.38
2012-03-02,5.38
2012-03-05,5.38
2012-03-06,5.38
2012-03-07,5.38
2012-03-08,5.38
2012-03-09,5.38
2012-03-12,5.05
2012-03-15,4.8
2012-03-16,5.21
2012-03-19,5.2
2012-03-20,5.2
2012-03-21,5.2
2012-03-22,5.2
2012-03-23,5.2
2012-03-26,5.2
2012-03-27,5.2
2012-03-28,5.2
2012-03-29,5.2
2012-03-30,5.3
2012-04-02,5.0
2012-04-03,5.11
2012-04-04,5.11
2012-04-05,5.08
2012-04-10,5.08
2012-04-11,5.08
2012-04-12,5.0
2012-04-13,5.0
2012-04-16,5.0
2012-04-17,5.0
2012-04-18,5.0
2012-04-19,5.0
2012-04-20,5.0
2012-04-23,5.0
2012-04-24,5.0
2012-04-25,5.0
2012-04-26,5.0
2012-04-27,5.0
2012-04-30,5.0
2012-05-02,5.0
2012-05-03,5.0
2012-05-04,5.0
2012-05-07,5.0
2012-05-09,5.0
2012-05-10,5.0
2012-05-11,5.0
2012-05-14,5.0
2012-05-15,5.0
2012-05-16,5.0
2012-05-17,5.0
2012-05-18,5.0
2012-05-21,5.0
2012-05-22,5.0
2012-05-23,5.0
2012-05-25,5.0
2012-05-28,5.0
2012-05-29,5.0
2012-05-30,5.0
2012-05-31,5.0
2012-06-04,5.0
2012-06-05,4.95
2012-06-06,4.95
2012-06-07,4.95
2012-06-08,5.4
2012-06-11,5.9
2012-06-13,5.84
2012-06-14,5.79
2012-06-15,5.79
2012-06-18,5.79
2012-06-19,5.79
2012-07-04,5.5
2012-07-06,5.5
2012-07-09,5.49
2012-07-10,5.49
2012-07-11,5.49
2012-07-12,5.49
2012-07-31,5.0
2012-08-01,5.25
2012-08-02,5.5
2012-08-03,5.5
2012-08-06,5.5
2012-08-07,5.5
2012-08-08,5.5
2012-08-09,5.0
2012-08-13,4.05
2012-08-15,4.51
2012-08-16,4.51
2012-08-17,4.81
2012-08-20,5.0
2012-08-21,4.99
2012-08-22,4.8
2012-08-23,4.81
2012-08-24,4.8
2012-08-29,4.79
2012-08-30,4.79
2012-08-31,4.79
2012-09-03,4.79
2012-09-04,4.8
2012-09-05,5.2
2012-09-07,5.7
2012-10-12,5.2
2012-10-15,5.19
2012-10-16,5.4
2012-10-17,5.39
2012-10-19,5.39
2012-10-22,5.39
2012-10-23,5.39
2012-10-24,5.39
2012-10-25,5.38
2012-10-26,5.38
2012-10-29,5.38
2012-10-30,5.38
2012-10-31,5.38
2012-11-01,5.38
2012-11-02,5.38
2012-11-05,5.38
2012-11-06,5.38
2012-11-07,5.38
2012-11-08,5.38
2012-11-09,5.38
2012-11-12,5.38
2012-11-13,5.38
2012-11-14,5.38
2012-11-15,5.34
2012-11-16,5.34
2012-11-19,5.34
2012-11-20,5.34
2012-11-21,5.34
2012-11-22,5.34
2012-11-23,5.34
2012-11-26,5.34
2012-11-27,5.34
2012-11-28,5.34
2012-11-29,5.34
2012-11-30,5.34
2012-12-03,5.34
2012-12-17,5.34
2012-12-18,5.34
2012-12-19,5.33
2012-12-20,5.33
2012-12-21,5.33
2012-12-31,4.32
2013-01-09,3.89
2013-01-10,3.89
2013-01-11,3.89
2013-01-14,4.09
2013-01-15,4.09
2013-01-16,4.29
2013-01-17,3.89
2013-01-18,3.89
2013-01-21,3.89
2013-01-22,3.89
2013-01-23,3.89
2013-01-24,3.95
2013-01-25,3.93
2013-01-28,3.93
2013-01-29,3.94
2013-01-30,3.93
2013-01-31,3.93
2013-02-01,4.14
2013-02-04,4.14
2013-02-05,4.14
2013-02-06,4.14
2013-02-07,4.25
2013-02-08,4.35
2013-02-11,4.48
2013-02-12,4.48
2013-02-13,4.48
2013-02-14,4.48
2013-02-15,4.66
2013-02-18,4.66
2013-02-19,4.74
2013-02-20,4.8
2013-02-21,4.8
2013-02-25,4.8
2013-02-26,4.8
2013-02-27,5.0
2013-02-28,5.0
2013-03-01,5.01
2013-03-04,5.51
2013-03-05,5.5
2013-03-06,5.49
2013-03-07,5.29
2013-03-08,5.29
2013-03-11,5.27
2013-03-12,5.27
2013-03-13,5.27
2013-03-14,5.24
2013-03-15,5.25
2013-03-18,5.24
2013-03-19,5.24
2013-03-20,5.24
2013-04-02,4.25
2013-04-03,4.65
2013-04-08,3.45
2013-04-09,3.7
2013-04-10,3.9
2013-04-11,4.0
2013-04-12,4.0
2013-04-15,4.2
2013-04-16,4.3
2013-04-23,2.56
2013-04-29,3.1
2013-04-30,3.4
2013-05-03,3.74
2013-05-06,3.76
2013-05-07,3.76
2013-05-08,3.75
2013-05-09,3.75
2013-05-10,3.73
2013-05-13,3.73
2013-05-14,3.73
2013-05-15,3.73
2013-05-16,3.72
2013-05-17,3.72
2013-05-20,3.72
2013-05-21,3.73
2013-05-22,3.72
2013-05-23,3.71
2013-05-24,3.71
2013-05-27,3.71
2013-05-28,3.73
2013-05-29,3.73
2013-05-30,3.73
2013-05-31,3.73
2013-06-03,3.73
2013-06-04,3.72
2013-06-05,3.72
2013-06-06,3.72
2013-06-07,3.72
2013-06-10,3.72
2013-06-11,3.72
2013-06-12,3.72
2013-06-13,3.72
2013-06-14,3.72
2013-06-17,3.72
2013-06-18,3.72
2013-06-19,3.72
2013-06-20,3.72
2013-06-21,3.72
2013-06-24,3.72
2013-06-26,3.72
2013-06-27,3.72
2013-06-28,3.72
2013-07-01,3.73
2013-07-02,4.1
2013-07-03,4.1
2013-07-04,4.2
2013-07-05,4.2
2013-07-08,4.2
2013-07-09,4.19
2013-07-10,4.14
2013-07-11,4.14
2013-07-12,4.14
2013-07-15,4.14
2013-07-16,4.14
2013-07-17,4.14
2013-07-18,4.14
2013-07-19,4.14
2013-07-22,4.09
2013-07-23,4.09
2013-07-24,4.09
2013-07-25,4.09
2013-07-26,4.09
2013-07-29,4.09
2013-07-30,4.09
2013-07-31,4.09
2013-08-01,4.09
2013-08-02,4.21
2013-08-05,4.21
2013-08-06,4.21
2013-08-07,4.2
2013-08-09,3.5
2013-08-12,3.76
2013-08-13,3.86
2013-08-14,3.9
2013-08-15,3.89
2013-08-16,3.89
2013-08-19,3.9
2013-08-20,3.89
2013-08-21,3.89
2013-08-22,3.89
2013-08-23,3.89
2013-08-26,3.8
2013-08-27,3.79
2013-08-28,3.8
2013-08-29,3.8
2013-08-30,3.89
2013-09-02,3.88
2013-09-03,3.88
2013-09-04,3.88
2013-09-05,3.88
2013-09-06,3.88
2013-09-09,3.84
2013-09-10,3.84
2013-09-11,3.84
2013-09-12,3.84
2013-09-13,3.84
2013-09-16,3.84
2013-09-17,3.84
2013-09-18,3.84
2013-09-19,3.79
2013-09-20,3.8
2013-09-23,3.79
2013-09-24,3.79
2013-09-25,3.79
2013-09-26,3.79
2013-09-27,3.79
2013-09-30,3.79
2013-10-01,3.79
2013-10-02,3.74
2013-10-03,3.74
2013-10-04,3.75
2013-10-07,3.75
2013-10-08,3.89
2013-10-09,3.89
2013-10-10,3.89
2013-10-11,3.89
2013-10-14,3.89
2013-10-15,3.89
2013-10-16,3.89
2013-10-17,3.89
2013-10-18,3.89
2013-10-21,3.89
2013-10-22,3.84
2013-10-23,3.84
2013-10-24,3.84
2013-10-25,3.84
2013-10-28,3.84
2013-10-29,3.84
2013-10-30,3.84
2013-10-31,3.84
2013-11-04,3.84
2013-11-05,3.84
2013-11-06,3.84
2013-11-07,3.84
2013-11-08,3.84
2013-11-12,3.84
2013-11-15,3.85
2013-11-18,3.85
2013-11-21,3.85
2013-11-22,3.47
2013-11-28,3.51
2013-11-29,3.85
2013-12-02,3.85
2013-12-03,3.85
2013-12-06,3.85
2013-12-10,3.85
2013-12-13,3.85
2013-12-19,3.09
2013-12-20,3.35
2013-12-24,3.85
2013-12-31,3.85
2014-01-03,3.85
2014-01-07,3.95
2014-01-13,3.47
2014-01-16,3.8
2014-01-17,3.85
2014-01-21,3.85
2014-01-22,3.98
2014-01-24,3.98
2014-01-29,3.96
2014-02-04,3.95
2014-02-07,3.95
2014-02-11,3.94
2014-02-14,3.94
2014-02-19,3.94
2014-02-21,3.94
2014-02-25,3.94
2014-02-27,3.93
2014-02-28,3.93
2014-03-04,3.93
2014-03-06,3.94
2014-03-11,3.94
2014-03-12,3.94
2014-03-17,3.94
2014-03-19,3.94
2014-03-20,3.94
2014-03-21,3.94
2014-03-24,3.93
2014-03-25,3.93
2014-03-26,3.93
2014-03-28,3.93
2014-04-01,3.93
2014-04-03,3.93
2014-04-04,3.93
2014-05-06,3.92
2014-05-09,3.89
2014-05-12,3.89
2014-05-13,3.89
2014-05-16,3.89
2014-05-20,3.89
2014-05-22,3.89
2014-05-23,3.89
2014-05-28,3.89
2014-06-02,3.89
2014-06-04,3.89
2014-06-05,3.89
2014-07-07,3.85
2014-07-08,3.85
2014-07-09,3.85
2014-07-10,3.85
2014-07-11,3.85
2014-07-15,3.85
2014-07-16,3.85
2014-07-17,3.85
2014-07-18,3.85
2014-07-21,3.86
2014-07-23,3.85
2014-07-24,3.85
2014-07-25,3.85
2014-07-29,3.85
2014-07-30,3.85
2014-08-04,3.85
2014-08-05,3.85
2014-08-06,3.85
2014-08-07,3.85
2014-08-08,3.97
2014-08-18,3.79
2014-08-21,3.8
2014-09-02,3.42
2014-09-03,3.6
2014-09-05,3.6
2014-09-09,3.59
2014-09-10,3.59
2014-09-11,3.59
2014-09-15,2.92
2014-09-16,3.2
2014-09-17,3.44
2014-09-19,3.6
2014-09-23,3.55
2014-09-24,3.55
2014-09-26,2.89
2014-09-29,3.15
2014-09-30,3.45
2014-10-02,3.44
2014-10-03,3.44
2014-10-06,3.44
2014-10-07,3.44
2014-10-08,3.44
2014-10-09,3.44
2014-10-10,3.44
2014-10-13,3.44
2014-10-14,3.44
2014-10-15,3.44
2014-10-16,3.45
2014-10-17,3.44
2014-10-21,3.44
2014-10-22,3.44
2014-10-23,3.44
2014-10-24,3.44
2014-10-27,3.44
2014-10-28,3.44
2014-10-29,3.44
2014-10-30,3.44
2014-10-31,3.44
2014-11-05,3.44
2014-11-19,3.49
2014-11-20,3.49
2014-11-21,3.49
2014-11-24,3.5
2014-11-25,3.48
2014-11-26,3.49
2014-11-28,3.49
2014-12-01,3.49
2014-12-15,3.5
2014-12-17,3.46
2014-12-24,2.79
2015-01-02,3.03
2015-01-07,3.0
2015-01-12,2.99
2015-01-13,3.0
2015-02-13,2.79
2015-02-17,2.78
2015-02-20,2.51
2015-02-26,2.79
2015-03-20,2.52
2015-03-31,2.48
2015-04-02,2.97
2015-04-07,3.0
2016-01-12,3.93
2016-02-11,2.11
2016-02-12,2.1
2016-03-08,1.8
2016-03-23,1.8
2016-03-29,1.8
2016-03-30,1.8
2016-03-31,1.8
2016-04-08,1.97
2016-06-09,2.85
2016-10-21,0.57
2016-12-14,0.5
2016-12-15,0.5
2016-12-20,0.57
2016-12-23,0.5
2016-12-28,0.57
2017-01-11,0.62
2017-01-16,0.62
2017-01-24,0.65
2017-02-23,0.65
2017-03-16,1.0
2017-03-22,1.0
2017-04-25,1.0
2017-04-26,1.0
2017-05-26,1.1
2017-06-05,1.46
2017-06-08,1.93
2017-06-12,2.32
2017-06-15,2.99
2017-06-28,2.7
2017-06-29,2.7
2017-06-30,2.43
2017-07-14,2.3
2017-09-19,2.7
2017-09-21,2.65
2017-09-25,2.88
2017-09-26,2.8
2017-10-02,2.8
2017-10-03,2.8
2017-10-20,1.2
2017-11-29,1.65
2017-12-21,2.88
2018-01-05,1.72
2018-01-08,1.65
2018-01-11,2.8
2018-01-12,2.9
2018-02-06,2.86
2018-02-22,2.72
2018-03-02,2.7
2018-03-05,2.6
2018-03-26,2.56
2018-03-27,2.56
2018-04-04,2.5
2018-04-17,2.5
2018-04-23,2.5
2018-04-30,2.4
2018-05-16,2.36
2018-05-28,2.28
2018-05-29,2.4
2018-05-31,2.4
2018-06-05,2.54
2018-06-08,3.0
2018-06-11,3.14
2018-06-12,2.84
2018-06-13,2.84
2018-06-14,2.86
2018-06-19,2.84
2018-06-21,3.1
2018-07-23,2.74
2018-07-27,2.8
2018-07-30,2.74
2018-09-28,1.55
2018-10-08,1.85
2018-10-11,2.02
2018-10-12,2.2
2019-06-11,2.0
2019-06-14,2.8
2019-06-17,2.74
2019-09-09,2.8
2019-09-12,2.8
2019-09-13,3.38
2019-10-04,0.8
2019-10-23,1.19
2019-10-28,1.57
2019-12-18,1.57
2020-01-06,3.5
2020-01-15,3.5
2020-01-23,2.84
2020-01-27,3.42
2020-02-04,2.76
2020-02-20,2.6
2020-02-27,1.54
2020-03-05,1.98
2020-03-13,2.6
2020-03-16,2.84
2020-03-25,2.4
2020-04-06,2.88
2020-05-27,3.12
2020-06-04,3.5
2020-06-08,3.5
2020-07-10,3.5
2020-08-05,2.58
2020-08-10,2.58
2020-09-15,3.5
2020-09-21,2.12
2020-09-24,2.3
2020-09-29,2.0
2020-10-12,2.7
2020-10-15,2.94
2020-10-26,2.94
2020-11-05,2.94
2020-11-10,1.95
2020-11-11,1.95
2020-11-13,1.95
2020-12-21,2.14
2021-01-08,2.36
2021-01-14,2.7
2021-02-16,3.5
2021-02-18,3.4
2021-03-22,3.4
2021-04-07,2.26
2021-04-13,3.2
2021-04-14,3.2
2021-04-21,3.46
2021-06-01,3.5
2021-06-16,3.5
2021-09-01,3.5
2021-09-23,3.4
2021-10-05,3.4
2021-10-11,3.7
2021-10-14,3.4
2021-11-04,3.4
2022-03-25,3.6
2022-05-05,3.7
2022-05-17,4.0
2022-05-25,4.9
2022-05-26,4.76
2022-06-01,4.7
2022-06-03,4.7
2022-10-05,4.0
2022-10-13,4.0
2022-11-24,5.0
2022-11-28,5.0
2022-11-29,5.0
2022-11-30,5.0
2022-12-01,5.0
2022-12-02,5.5
2022-12-05,5.0
2022-12-06,5.0
2022-12-07,5.0
2022-12-08,5.0
2022-12-09,5.0
2022-12-12,5.0
2022-12-13,5.0
2022-12-14,5.0
2022-12-15,5.0
2022-12-16,5.0
2022-12-19,5.0
2022-12-20,5.0
2022-12-21,5.0
2022-12-22,5.0
2022-12-23,5.0
2022-12-27,5.0
2022-12-28,5.0
2022-12-29,5.0
2022-12-30,5.0
2023-01-02,5.0
2023-01-03,5.0
2023-01-04,5.0
2023-01-05,5.0
2023-01-06,5.0
2023-01-09,5.0
2023-01-10,5.0
2023-01-11,5.0
2023-01-12,5.0
2023-01-13,5.0
2023-01-16,5.0
2023-01-17,5.0
2023-01-18,5.0
2023-01-19,5.0
2023-01-20,5.0
2023-01-23,5.0
2023-01-24,5.0
2023-01-25,5.0
