,ELCR FP Equity_PX_LAST
2020-09-24,10.246
2020-09-25,10.308
2020-09-28,10.554
2020-09-29,10.536
2020-09-30,10.634
2020-10-01,10.733
2020-10-02,10.76
2020-10-05,10.993
2020-10-06,11.123
2020-10-07,11.275
2020-10-08,11.402
2020-10-09,11.466
2020-10-12,11.57
2020-10-13,11.484
2020-10-14,11.63
2020-10-15,11.622
2020-10-16,11.735
2020-10-19,11.74
2020-10-20,11.79
2020-10-21,11.749
2020-10-22,11.769
2020-10-23,11.87
2020-10-26,11.626
2020-10-27,11.648
2020-10-28,11.34
2020-10-29,11.579
2020-10-30,11.503
2020-11-02,11.641
2020-11-03,11.917
2020-11-04,12.122
2020-11-05,12.345
2020-11-06,12.45
2020-11-09,13.256
2020-11-10,12.992
2020-11-11,13.168
2020-11-12,13.075
2020-11-13,13.197
2020-11-16,13.512
2020-11-17,13.437
2020-11-18,13.546
2020-11-19,13.42
2020-11-20,13.643
2020-11-23,13.996
2020-11-24,14.379
2020-11-25,14.249
2020-11-26,14.28
2020-11-27,14.26
2020-11-30,13.982
2020-12-01,14.034
2020-12-02,14.09
2020-12-03,14.15
2020-12-04,14.391
2020-12-07,14.459
2020-12-08,14.52
2020-12-09,14.667
2020-12-10,14.409
2020-12-11,14.317
2020-12-14,14.375
2020-12-15,14.507
2020-12-16,14.629
2020-12-17,14.664
2020-12-18,14.714
2020-12-21,14.569
2020-12-22,14.723
2020-12-23,14.938
2020-12-24,14.956
2020-12-28,15.145
2020-12-29,15.105
2020-12-30,15.099
2020-12-31,15.208
2021-01-04,15.327
2021-01-05,15.508
2021-01-06,15.872
2021-01-07,16.152
2021-01-08,16.231
2021-01-11,16.261
2021-01-12,16.529
2021-01-13,16.328
2021-01-14,16.45
2021-01-15,16.208
2021-01-18,16.318
2021-01-19,16.462
2021-01-20,16.76
2021-01-21,16.87
2021-01-22,16.841
2021-01-25,16.724
2021-01-26,16.809
2021-01-27,16.478
2021-01-28,16.248
2021-01-29,15.954
2021-02-01,16.174
2021-02-02,16.698
2021-02-03,16.768
2021-02-04,16.941
2021-02-05,17.011
2021-02-08,17.271
2021-02-09,17.375
2021-02-10,17.584
2021-02-11,17.81
2021-02-12,17.9
2021-02-15,17.672
2021-02-16,17.645
2021-02-17,17.308
2021-02-18,16.993
2021-02-19,17.358
2021-02-22,17.26
2021-02-23,16.876
2021-02-24,16.91
2021-02-25,16.692
2021-02-26,16.437
2021-03-01,16.95
2021-03-02,16.794
2021-03-03,16.729
2021-03-04,16.267
2021-03-05,15.889
2021-03-08,16.359
2021-03-09,16.393
2021-03-10,16.488
2021-03-11,16.789
2021-03-12,16.78
2021-03-15,16.802
2021-03-16,16.94
2021-03-17,16.786
2021-03-18,17.006
2021-03-19,16.735
2021-03-22,16.654
2021-03-23,16.37
2021-03-24,16.262
2021-03-25,16.16
2021-03-26,16.473
2021-03-29,16.395
2021-03-30,16.648
2021-03-31,16.68
2021-04-01,16.948
2021-04-06,17.135
2021-04-07,16.875
2021-04-08,16.899
2021-04-09,16.864
2021-04-12,16.733
2021-04-13,16.857
2021-04-14,16.959
2021-04-15,16.99
2021-04-16,17.117
2021-04-19,16.939
2021-04-20,16.607
2021-04-21,16.754
2021-04-22,16.956
2021-04-23,17.077
2021-04-26,17.209
2021-04-27,17.278
2021-04-28,17.246
2021-04-29,17.082
2021-04-30,17.068
2021-05-03,17.008
2021-05-04,16.666
2021-05-05,17.015
2021-05-06,16.777
2021-05-07,16.944
2021-05-10,16.922
2021-05-11,16.486
2021-05-12,16.3
2021-05-13,16.205
2021-05-14,16.616
2021-05-17,16.505
2021-05-18,16.592
2021-05-19,16.26
2021-05-20,16.535
2021-05-21,16.624
2021-05-24,16.776
2021-05-25,16.748
2021-05-26,16.723
2021-05-27,16.862
2021-05-28,17.229
2021-05-31,17.304
2021-06-01,17.431
2021-06-02,17.493
2021-06-03,17.649
2021-06-04,17.696
2021-06-07,17.634
2021-06-08,17.573
2021-06-09,17.524
2021-06-10,17.614
2021-06-11,17.725
2021-06-14,17.704
2021-06-15,17.561
2021-06-16,17.45
2021-06-17,17.683
2021-06-18,17.609
2021-06-21,17.508
2021-06-22,17.633
2021-06-23,17.778
2021-06-24,17.967
2021-06-25,17.977
2021-06-28,18.116
2021-06-29,18.113
2021-06-30,18.288
2021-07-01,18.248
2021-07-02,18.241
2021-07-05,18.369
2021-07-06,18.184
2021-07-07,18.315
2021-07-08,18.026
2021-07-09,18.268
2021-07-12,18.49
2021-07-13,18.482
2021-07-14,18.318
2021-07-15,18.274
2021-07-16,17.924
2021-07-19,17.601
2021-07-20,17.784
2021-07-21,18.238
2021-07-22,18.219
2021-07-23,18.356
2021-07-26,18.248
2021-07-27,17.69
2021-07-28,18.111
2021-07-29,18.524
2021-07-30,18.574
2021-08-02,18.814
2021-08-03,18.636
2021-08-04,19.047
2021-08-05,19.115
2021-08-06,19.466
2021-08-09,19.186
2021-08-10,19.228
2021-08-11,19.268
2021-08-12,19.288
2021-08-13,19.155
2021-08-16,18.902
2021-08-17,18.675
2021-08-18,18.651
2021-08-19,18.486
2021-08-20,18.586
2021-08-23,18.888
2021-08-24,19.072
2021-08-25,19.217
2021-08-26,19.029
2021-08-27,19.229
2021-08-30,19.339
2021-08-31,19.264
2021-09-01,19.145
2021-09-02,19.25
2021-09-03,19.123
2021-09-06,19.314
2021-09-07,19.272
2021-09-08,18.989
2021-09-09,19.136
2021-09-10,19.111
2021-09-13,18.939
2021-09-14,19.106
2021-09-15,19.116
2021-09-16,18.996
2021-09-17,18.924
2021-09-20,18.383
2021-09-21,18.614
2021-09-22,18.834
2021-09-23,19.037
2021-09-24,19.183
2021-09-27,19.255
2021-09-28,18.729
2021-09-29,18.655
2021-09-30,18.786
2021-10-01,18.563
2021-10-04,18.567
2021-10-05,18.647
2021-10-06,18.474
2021-10-07,19.078
2021-10-08,19.037
2021-10-11,19.074
2021-10-12,19.085
2021-10-13,19.25
2021-10-14,19.203
2021-10-15,19.785
2021-10-18,19.794
2021-10-19,19.896
2021-10-20,19.934
2021-10-21,19.857
2021-10-22,19.925
2021-10-25,20.258
2021-10-26,20.48
2021-10-27,20.355
2021-10-28,20.277
2021-10-29,20.587
2021-11-01,20.62
2021-11-02,21.364
2021-11-03,21.41
2021-11-04,21.97
2021-11-05,22.019
2021-11-08,22.318
2021-11-09,22.18
2021-11-10,22.042
2021-11-11,22.023
2021-11-12,22.418
2021-11-15,22.12
2021-11-16,22.416
2021-11-17,22.751
2021-11-18,22.694
2021-11-19,22.923
2021-11-22,23.487
2021-11-23,22.884
2021-11-24,22.996
2021-11-25,23.126
2021-11-26,22.126
2021-11-29,22.552
2021-11-30,22.246
2021-12-01,22.588
2021-12-02,22.05
2021-12-03,21.58
2021-12-06,21.782
2021-12-07,22.12
2021-12-08,22.194
2021-12-09,21.978
2021-12-10,21.805
2021-12-13,21.336
2021-12-14,21.231
2021-12-15,20.973
2021-12-16,21.33
2021-12-17,21.157
2021-12-20,20.214
2021-12-21,20.71
2021-12-22,21.0
2021-12-23,21.49
2021-12-24,21.305
2021-12-27,21.543
2021-12-28,21.454
2021-12-29,21.266
2021-12-30,21.561
2021-12-31,21.399
2022-01-03,21.766
2022-01-04,21.819
2022-01-05,21.843
2022-01-06,21.199
2022-01-07,21.055
2022-01-10,20.689
2022-01-11,20.945
2022-01-12,21.163
2022-01-13,21.248
2022-01-14,20.952
2022-01-17,21.122
2022-01-18,20.941
2022-01-19,20.322
2022-01-20,20.459
2022-01-21,19.785
2022-01-24,18.62
2022-01-25,18.882
2022-01-26,19.33
2022-01-27,18.982
2022-01-28,18.454
2022-01-31,19.075
2022-02-01,19.542
2022-02-02,19.383
2022-02-03,19.06
2022-02-04,18.748
2022-02-07,18.806
2022-02-08,19.003
2022-02-09,19.492
2022-02-10,19.541
2022-02-11,19.101
2022-02-14,18.995
2022-02-15,19.358
2022-02-16,19.539
2022-02-17,19.399
2022-02-18,18.968
2022-02-21,18.651
2022-02-22,18.726
2022-02-23,18.629
2022-02-24,18.121
2022-02-25,18.828
2022-02-28,19.164
2022-03-01,18.603
2022-03-02,18.763
2022-03-03,18.569
2022-03-04,17.912
2022-03-07,17.568
2022-03-08,17.109
2022-03-09,17.756
2022-03-10,17.65
2022-03-11,17.667
2022-03-14,17.103
2022-03-15,17.205
2022-03-16,18.068
2022-03-17,18.091
2022-03-18,18.607
2022-03-21,18.714
2022-03-22,18.866
2022-03-23,19.055
2022-03-24,19.024
2022-03-25,19.034
2022-03-28,18.887
2022-03-29,19.355
2022-03-30,19.509
2022-03-31,19.114
2022-04-01,19.221
2022-04-04,19.784
2022-04-05,19.509
2022-04-06,18.641
2022-04-07,18.34
2022-04-08,18.533
2022-04-11,17.946
2022-04-12,18.156
2022-04-13,18.238
2022-04-14,18.272
2022-04-19,18.387
2022-04-20,18.215
2022-04-21,18.031
2022-04-22,17.559
2022-04-25,17.221
2022-04-26,16.939
2022-04-27,17.29
2022-04-28,17.304
2022-04-29,17.97
2022-05-02,17.457
2022-05-03,17.815
2022-05-04,17.632
2022-05-05,17.75
2022-05-06,17.646
2022-05-09,16.835
2022-05-10,16.719
2022-05-11,17.161
2022-05-12,16.802
2022-05-13,17.544
2022-05-16,17.575
2022-05-17,17.915
2022-05-18,17.875
2022-05-19,17.897
2022-05-20,17.763
2022-05-23,17.825
2022-05-24,17.263
2022-05-25,17.331
2022-05-26,17.889
2022-05-27,18.38
2022-05-30,18.476
2022-05-31,18.334
2022-06-01,17.887
2022-06-02,18.369
2022-06-03,17.922
2022-06-06,18.268
2022-06-07,18.128
2022-06-08,18.441
2022-06-09,18.102
2022-06-10,17.544
2022-06-13,16.683
2022-06-14,16.761
2022-06-15,17.067
2022-06-16,16.311
2022-06-17,16.514
2022-06-20,16.807
2022-06-21,17.066
2022-06-22,16.933
2022-06-23,16.903
2022-06-24,17.36
2022-06-27,17.415
2022-06-28,17.327
2022-06-29,16.685
2022-06-30,16.437
2022-07-01,16.38
2022-07-04,16.34
2022-07-05,16.289
2022-07-06,16.504
2022-07-07,17.389
2022-07-08,17.799
2022-07-11,17.073
2022-07-12,17.21
2022-07-13,17.143
2022-07-14,17.034
2022-07-15,17.053
2022-07-18,17.56
2022-07-19,17.495
2022-07-20,17.902
2022-07-21,18.154
2022-07-22,17.98
2022-07-25,17.807
2022-07-26,17.683
2022-07-27,17.884
2022-07-28,18.48
2022-07-29,18.451
2022-08-01,18.782
2022-08-02,19.106
2022-08-03,19.35
2022-08-04,19.407
2022-08-05,19.317
2022-08-08,19.763
2022-08-09,19.295
2022-08-10,19.787
2022-08-11,20.131
2022-08-12,20.335
2022-08-15,20.767
2022-08-16,20.662
2022-08-17,20.146
2022-08-18,20.32
2022-08-19,19.749
2022-08-22,19.691
2022-08-23,19.67
2022-08-24,20.059
2022-08-25,20.206
2022-08-26,19.776
2022-08-29,19.597
2022-08-30,19.298
2022-08-31,18.988
2022-09-01,18.477
2022-09-02,18.67
2022-09-05,18.544
2022-09-06,18.466
2022-09-07,18.558
2022-09-08,19.044
2022-09-09,19.524
2022-09-12,19.61
2022-09-13,19.39
2022-09-14,19.456
2022-09-15,19.388
2022-09-16,18.895
2022-09-19,18.996
2022-09-20,19.034
2022-09-21,19.006
2022-09-22,18.362
2022-09-23,17.818
2022-09-26,17.785
2022-09-27,17.963
2022-09-28,17.823
2022-09-29,17.042
2022-09-30,17.214
2022-10-03,17.092
2022-10-04,17.706
2022-10-05,17.305
2022-10-06,17.569
2022-10-07,17.141
2022-10-10,16.877
2022-10-11,16.771
2022-10-12,16.582
2022-10-13,16.504
2022-10-14,16.541
2022-10-17,16.722
2022-10-18,16.654
2022-10-19,16.779
2022-10-20,16.786
2022-10-21,16.735
2022-10-24,16.616
2022-10-25,17.04
2022-10-26,17.252
2022-10-27,17.164
2022-10-28,16.939
2022-10-31,17.141
2022-11-01,17.568
2022-11-02,17.2
2022-11-03,17.22
2022-11-04,17.408
2022-11-07,17.334
2022-11-08,17.604
2022-11-09,17.201
2022-11-10,17.794
2022-11-11,18.02
2022-11-14,17.978
2022-11-15,18.024
2022-11-16,17.326
2022-11-17,17.073
2022-11-18,17.066
2022-11-21,16.915
2022-11-22,16.889
2022-11-23,17.147
2022-11-24,17.282
2022-11-25,16.888
2022-11-28,16.75
2022-11-29,16.886
2022-11-30,17.127
2022-12-01,17.342
2022-12-02,17.315
2022-12-05,16.963
2022-12-06,16.561
2022-12-07,16.406
2022-12-08,16.416
2022-12-09,16.3
2022-12-12,16.252
2022-12-13,16.664
2022-12-14,16.157
2022-12-15,15.551
2022-12-16,15.44
2022-12-19,15.164
2022-12-20,15.01
2022-12-21,14.999
2022-12-22,14.636
2022-12-23,14.842
2022-12-27,14.65
2022-12-28,14.159
2022-12-29,14.574
2022-12-30,14.474
2023-01-02,14.736
2023-01-03,14.712
2023-01-04,14.873
2023-01-05,14.881
2023-01-06,15.175
2023-01-09,15.479
2023-01-10,15.427
2023-01-11,15.69
2023-01-12,15.72
2023-01-13,15.801
2023-01-16,15.919
2023-01-17,16.121
2023-01-18,16.136
2023-01-19,15.793
2023-01-20,15.801
2023-01-23,16.412
2023-01-24,16.413
2023-01-25,16.288
2023-01-26,16.702
2023-01-27,16.591
2023-01-30,16.852
2023-01-31,16.852
2023-02-01,16.876
2023-02-02,17.602
2023-02-03,17.442
2023-02-06,17.347
2023-02-07,17.347
2023-02-08,17.5
2023-02-09,17.45
2023-02-10,17.06
2023-02-13,16.959
2023-02-14,16.973
2023-02-15,17.26
2023-02-16,17.542
2023-02-17,16.959
2023-02-20,16.981
2023-02-21,16.7
2023-02-22,16.54
2023-02-23,16.605
2023-02-24,16.284
2023-02-27,16.542
2023-02-28,16.726
2023-03-01,16.481
2023-03-02,16.39
2023-03-03,16.916
2023-03-06,17.021
2023-03-07,16.67
2023-03-08,16.739
2023-03-09,16.635
2023-03-10,15.9
2023-03-13,15.51
2023-03-14,15.362
2023-03-15,15.26
2023-03-16,15.358
2023-03-17,15.142
2023-03-20,15.144
2023-03-21,15.271
2023-03-22,15.426
2023-03-23,15.357
2023-03-24,15.035
2023-03-27,15.362
2023-03-28,15.421
2023-03-29,15.496
2023-03-30,15.873
2023-03-31,16.008
2023-04-03,15.965
2023-04-04,15.869
2023-04-05,15.502
2023-04-06,15.235
2023-04-11,15.596
2023-04-12,15.325
2023-04-13,15.25
2023-04-14,15.444
2023-04-17,15.553
2023-04-18,15.66
2023-04-19,15.555
2023-04-20,15.283
2023-04-21,15.0
2023-04-24,14.929
2023-04-25,14.854
2023-04-26,14.684
2023-04-27,14.706
2023-04-28,14.945
2023-05-02,14.774
2023-05-03,15.0
2023-05-04,14.974
2023-05-05,15.282
2023-05-08,15.403
2023-05-09,15.385
2023-05-10,15.442
2023-05-11,15.601
2023-05-12,15.78
2023-05-15,15.742
2023-05-16,15.701
2023-05-17,15.785
2023-05-18,16.039
2023-05-19,15.97
2023-05-22,16.117
2023-05-23,16.269
2023-05-24,15.808
2023-05-25,16.107
2023-05-26,16.275
2023-05-29,16.304
2023-05-30,16.309
2023-05-31,16.023
2023-06-01,16.121
2023-06-02,16.679
2023-06-05,16.76
2023-06-06,16.976
2023-06-07,17.024
2023-06-08,16.916
2023-06-09,17.153
2023-06-12,17.321
2023-06-13,17.669
2023-06-14,17.747
2023-06-15,17.722
2023-06-16,17.806
2023-06-19,17.624
2023-06-20,17.453
2023-06-21,17.343
2023-06-22,17.27
2023-06-23,16.972
2023-06-26,16.967
2023-06-27,16.991
2023-06-28,17.301
2023-06-29,17.335
2023-06-30,17.635
2023-07-03,18.022
2023-07-04,18.058
2023-07-05,18.145
2023-07-06,17.676
2023-07-07,18.16
2023-07-10,18.094
2023-07-11,18.22
2023-07-12,18.352
2023-07-13,18.406
2023-07-14,18.319
2023-07-17,18.22
2023-07-18,18.546
2023-07-19,18.778
2023-07-20,18.397
2023-07-21,18.22
2023-07-24,18.383
2023-07-25,18.59
2023-07-26,18.505
2023-07-27,18.817
2023-07-28,18.753
2023-07-31,19.008
2023-08-01,18.834
2023-08-02,18.328
2023-08-03,18.426
2023-08-04,18.169
2023-08-07,17.793
2023-08-08,17.733
2023-08-09,17.422
2023-08-10,17.417
2023-08-11,17.076
2023-08-14,17.023
2023-08-15,16.87
2023-08-16,16.65
2023-08-17,16.645
2023-08-18,16.403
2023-08-21,16.574
2023-08-22,16.77
2023-08-23,16.982
2023-08-24,16.841
2023-08-25,16.828
2023-08-28,17.009
2023-08-29,17.38
2023-08-30,17.413
2023-08-31,17.594
2023-09-01,17.597
2023-09-04,17.638
2023-09-05,17.71
2023-09-06,17.478
2023-09-07,17.264
2023-09-08,17.216
2023-09-11,17.352
2023-09-12,17.481
2023-09-13,17.325
2023-09-14,17.537
2023-09-15,17.555
2023-09-18,17.339
2023-09-19,17.109
2023-09-20,17.202
2023-09-21,16.585
2023-09-22,16.658
2023-09-25,16.522
2023-09-26,16.469
2023-09-27,16.48
2023-09-28,16.621
2023-09-29,16.797
2023-10-02,16.745
2023-10-03,16.308
2023-10-04,16.163
2023-10-05,15.976
2023-10-06,16.016
2023-10-09,15.961
2023-10-10,16.487
2023-10-11,16.479
2023-10-12,16.598
2023-10-13,16.268
2023-10-16,16.263
2023-10-17,16.251
2023-10-18,15.762
2023-10-19,15.21
2023-10-20,14.857
2023-10-23,14.851
2023-10-24,15.02
2023-10-25,14.821
2023-10-26,14.523
2023-10-27,14.529
2023-10-30,14.262
2023-10-31,14.246
2023-11-01,14.398
2023-11-02,14.841
2023-11-03,15.279
2023-11-06,15.307
2023-11-07,15.289
2023-11-08,15.104
2023-11-09,15.116
2023-11-10,14.833
2023-11-13,14.956
2023-11-14,15.39
2023-11-15,15.712
2023-11-16,15.265
2023-11-17,15.369
2023-11-20,15.458
2023-11-21,15.254
2023-11-22,15.201
2023-11-23,15.239
2023-11-24,15.267
2023-11-27,15.113
2023-11-28,15.075
2023-11-29,15.218
2023-11-30,15.181
2023-12-01,15.231
2023-12-04,15.249
2023-12-05,15.26
2023-12-06,15.466
2023-12-07,15.364
2023-12-08,15.489
2023-12-11,15.506
2023-12-12,15.372
2023-12-13,15.254
2023-12-14,15.658
2023-12-15,15.938
2023-12-18,15.88
2023-12-19,15.974
2023-12-20,15.927
2023-12-21,15.818
2023-12-22,15.854
2023-12-27,15.812
2023-12-28,15.996
2023-12-29,15.766
2024-01-02,15.728
2024-01-03,15.385
2024-01-04,15.341
2024-01-05,15.311
2024-01-08,15.339
2024-01-09,15.359
2024-01-10,15.345
2024-01-11,15.219
2024-01-12,15.286
2024-01-15,15.143
2024-01-16,15.192
2024-01-17,14.917
2024-01-18,15.003
2024-01-19,14.93
2024-01-22,15.059
2024-01-23,15.171
2024-01-24,15.23
2024-01-25,15.063
2024-01-26,15.111
2024-01-29,15.242
2024-01-30,15.299
2024-01-31,15.173
2024-02-01,14.988
2024-02-02,15.243
2024-02-05,15.343
2024-02-06,15.584
2024-02-07,15.729
2024-02-08,15.663
2024-02-09,15.613
2024-02-12,15.888
2024-02-13,15.592
2024-02-14,15.784
2024-02-15,15.974
2024-02-16,16.161
2024-02-19,16.013
2024-02-20,15.648
2024-02-21,15.693
2024-02-22,15.925
2024-02-23,15.885
2024-02-26,15.936
2024-02-27,16.111
2024-02-28,16.017
2024-02-29,16.144
2024-03-01,16.34
2024-03-04,16.246
2024-03-05,15.904
2024-03-06,16.143
2024-03-07,16.303
2024-03-08,16.31
2024-03-11,16.146
2024-03-12,16.387
2024-03-13,16.309
2024-03-14,16.038
2024-03-15,16.016
2024-03-18,16.2
2024-03-19,16.225
2024-03-20,16.352
2024-03-21,16.736
2024-03-22,16.688
2024-03-25,16.625
2024-03-26,16.633
2024-03-27,16.525
2024-03-28,16.646
2024-04-02,16.354
2024-04-03,16.366
2024-04-04,16.343
2024-04-05,16.049
2024-04-08,16.202
2024-04-09,16.111
2024-04-10,16.202
2024-04-11,16.243
2024-04-12,16.249
2024-04-15,16.125
2024-04-16,15.802
2024-04-17,15.711
2024-04-18,15.704
2024-04-19,15.394
2024-04-22,15.194
2024-04-23,15.424
2024-04-24,15.49
2024-04-25,15.239
2024-04-26,15.615
2024-04-29,15.874
2024-04-30,15.607
2024-05-02,15.846
2024-05-03,16.052
2024-05-06,16.36
2024-05-07,16.271
2024-05-08,15.962
2024-05-09,16.059
2024-05-10,15.945
2024-05-13,15.933
2024-05-14,16.066
2024-05-15,16.098
2024-05-16,16.102
2024-05-17,16.039
2024-05-20,16.002
2024-05-21,15.919
2024-05-22,15.963
2024-05-23,16.007
2024-05-24,16.013
2024-05-27,16.113
2024-05-28,16.196
2024-05-29,16.138
2024-05-30,16.158
2024-05-31,15.96
2024-06-03,16.131
2024-06-04,16.124
2024-06-05,16.239
2024-06-06,16.352
2024-06-07,16.445
2024-06-10,16.685
2024-06-11,16.483
2024-06-12,16.811
2024-06-13,16.741
2024-06-14,16.767
2024-06-17,16.675
2024-06-18,16.756
2024-06-19,16.955
2024-06-20,16.959
2024-06-21,16.639
2024-06-24,16.507
2024-06-25,16.684
2024-06-26,16.861
2024-06-27,16.885
2024-06-28,17.08
2024-07-01,16.976
2024-07-02,17.082
2024-07-03,17.304
2024-07-04,17.548
2024-07-05,17.446
2024-07-08,17.565
2024-07-09,17.743
2024-07-10,17.843
2024-07-11,17.879
2024-07-12,17.945
2024-07-15,17.908
2024-07-16,17.974
2024-07-17,17.498
2024-07-18,17.27
2024-07-19,17.039
2024-07-22,17.074
2024-07-23,17.229
2024-07-24,16.582
2024-07-25,16.305
2024-07-26,16.248
2024-07-29,16.38
2024-07-30,16.216
2024-07-31,16.928
2024-08-01,16.531
2024-08-02,15.25
2024-08-05,14.762
2024-08-06,15.147
2024-08-07,15.71
2024-08-08,15.561
2024-08-09,15.615
2024-08-12,15.727
2024-08-13,16.189
2024-08-14,16.11
2024-08-15,16.6
2024-08-16,16.684
2024-08-19,16.875
2024-08-20,16.757
2024-08-21,16.906
2024-08-22,16.818
2024-08-23,16.901
2024-08-26,16.791
2024-08-27,16.76
2024-08-28,16.513
2024-08-29,16.747
2024-08-30,16.694
2024-09-02,16.922
2024-09-03,16.517
2024-09-04,16.253
2024-09-05,16.29
2024-09-06,15.626
2024-09-09,15.937
2024-09-10,15.897
2024-09-11,16.018
2024-09-12,16.576
2024-09-13,16.756
2024-09-16,16.644
2024-09-17,16.877
2024-09-18,16.659
2024-09-19,17.275
2024-09-20,17.011
2024-09-23,17.197
2024-09-24,17.617
2024-09-25,17.726
2024-09-26,17.895
2024-09-27,17.901
2024-09-30,17.843
2024-10-01,17.796
2024-10-02,17.86
2024-10-03,17.666
2024-10-04,17.973
2024-10-07,18.206
2024-10-08,18.297
2024-10-09,18.312
2024-10-10,18.242
2024-10-11,18.483
2024-10-14,18.575
2024-10-15,18.281
2024-10-16,18.347
2024-10-17,18.295
2024-10-18,18.329
2024-10-21,18.254
2024-10-22,18.196
2024-10-23,18.227
2024-10-24,18.569
2024-10-25,18.999
2024-10-28,18.866
2024-10-29,18.941
2024-10-30,18.874
2024-10-31,17.915
2024-11-01,18.074
2024-11-04,17.924
2024-11-05,18.2
2024-11-06,18.856
2024-11-07,19.204
2024-11-08,19.11
2024-11-11,19.912
2024-11-12,19.456
2024-11-13,19.309
2024-11-14,19.467
2024-11-15,19.212
2024-11-18,19.242
2024-11-19,19.076
2024-11-20,19.227
2024-11-21,19.31
2024-11-22,19.771
2024-11-25,19.722
2024-11-26,19.28
2024-11-27,19.014
2024-11-28,19.205
2024-11-29,19.24
2024-12-02,19.7
2024-12-03,19.775
2024-12-04,19.803
2024-12-05,19.853
2024-12-06,19.347
2024-12-09,19.638
2024-12-10,19.65
2024-12-11,19.83
2024-12-12,19.786
2024-12-13,19.473
2024-12-16,19.677
2024-12-17,19.455
2024-12-18,20.023
2024-12-19,19.473
2024-12-20,19.462
2024-12-23,19.457
2024-12-24,19.778
2024-12-27,19.576
2024-12-30,19.352
2024-12-31,19.399
2025-01-02,19.436
2025-01-03,19.586
2025-01-06,20.288
2025-01-07,19.795
2025-01-08,19.705
2025-01-09,19.415
2025-01-10,19.416
2025-01-13,19.138
2025-01-14,19.271
2025-01-15,19.625
2025-01-16,19.664
2025-01-17,19.96
2025-01-20,19.937
2025-01-21,19.671
2025-01-22,20.0
2025-01-23,19.964
2025-01-24,19.852
2025-01-27,19.047
2025-01-28,18.777
2025-01-29,18.863
2025-01-30,19.185
2025-01-31,19.3
2025-02-03,18.737
2025-02-04,19.065
2025-02-05,19.049
2025-02-06,19.059
2025-02-07,19.617
2025-02-10,19.392
2025-02-11,19.306
2025-02-12,19.293
2025-02-13,19.311
2025-02-14,19.427
2025-02-17,19.811
2025-02-18,19.966
2025-02-19,20.061
2025-02-20,19.802
2025-02-21,19.786
2025-02-24,19.086
2025-02-25,18.378
2025-02-26,18.861
2025-02-27,18.828
2025-02-28,18.392
2025-03-03,18.226
2025-03-04,17.374
2025-03-05,17.47
2025-03-06,17.509
2025-03-07,17.101
2025-03-10,16.805
2025-03-11,16.444
2025-03-12,17.047
2025-03-13,16.726
2025-03-14,16.77
2025-03-17,16.902
2025-03-18,16.943
2025-03-19,16.804
2025-03-20,17.022
2025-03-21,17.116
2025-03-24,17.773
2025-03-25,17.65
2025-03-26,17.426
2025-03-27,17.263
2025-03-28,16.514
