,ALPJT FP Equity_DX_SI_QTY,ALPJT FP Equity_DX_SHORT_INTEREST_VALUE,ALPJT FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALPJT FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALPJT FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALPJT FP Equity_DX_SI_MV,ALPJT FP Equity_DX_DSS,ALPJT FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALPJT FP Equity_DX_SUPPLY_SI_QTY,ALPJT FP Equity_DX_BROKER_SI_QTY,ALPJT FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALPJT FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALPJT FP Equity_DX_BROKER_SI_MV_INC_x,ALPJT FP Equity_DX_BROKER_SI_QTY_ADD,ALPJT FP Equity_DX_SUPPLY_SI_MV_DEC,ALPJT FP Equity_DX_BROKER_SI_QTY_INC,ALPJT FP Equity_DX_SUPPLY_SI_QTY_DEC,ALPJT FP Equity_DX_BROKER_SI_MV_INC_y,ALPJT FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALPJT FP Equity_DX_BROKER_SI_MV_ADD,ALPJT FP Equity_DX_SUPPLY_SI_QTY_ADD,ALPJT FP Equity_DX_BROKER_SI_QTY_DEC,ALPJT FP Equity_DX_SUPPLY_SI_MV,ALPJT FP Equity_DX_BROKER_SI_MV_DEC,ALPJT FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALPJT FP Equity_DX_UTILIZATION_QUANTITY,ALPJT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALPJT FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALPJT FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALPJT FP Equity_DX_ACTIVE_UTILIZATION_MV,ALPJT FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALPJT FP Equity_DX_BROKER_SI_CON_RATIO,ALPJT FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALPJT FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-08-05,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,134.0,12596.0,0.01,0.0,,0.0,,0.0
2022-08-08,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,134.0,12529.0,0.01,0.0,,0.0,,0.0
2022-08-09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,134.0,12462.0,0.01,0.0,,0.0,,0.0
2022-08-10,100.0,9300.0,0.02,0.31,0.01,0.01,0.0,0.0,100.0,0.0,9300.0,,,,,,,,,,100.0,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.4274
2022-08-11,200.0,18900.0,0.03,0.58,0.01,0.02,0.0,9450.0,100.0,100.0,9450.0,,,100.0,,,,,,0.01,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-08-12,200.0,19400.0,0.03,0.56,0.01,0.02,0.0,9700.0,100.0,100.0,9700.0,,,,,,,,,,,,0.01,,100.0,42.74,0.0,0.0,0.0,100.0,,1.0,100.0,0.8547
2022-08-15,800.0,75600.0,0.13,2.07,0.04,0.08,0.0,37800.0,400.0,400.0,37800.0,300.0,,300.0,,,,,300.0,0.03,,,0.04,,100.0,74.91,0.0,0.0,0.0,100.0,25.47,0.6204,74.53,1.4981
2022-08-16,800.0,76800.0,0.13,2.19,0.04,0.08,0.0,38400.0,400.0,400.0,38400.0,,,,,,,,,,,,0.04,,100.0,74.91,0.0,0.0,0.0,100.0,25.47,0.6204,74.53,1.4981
2022-08-17,800.0,77200.0,0.13,2.17,0.04,0.08,0.0,38600.0,400.0,400.0,38600.0,,,,,,,,,,,,0.04,,100.0,74.91,0.0,0.0,0.0,100.0,25.47,0.6204,74.53,1.4981
2022-08-18,800.0,80000.0,0.13,2.26,0.04,0.08,0.0,40000.0,400.0,400.0,40000.0,,,,,,,,,,,,0.04,,100.0,74.91,0.0,0.0,0.0,100.0,25.47,0.6204,74.53,1.4981
