,JPN FP Equity_DX_SI_QTY,JPN FP Equity_DX_SHORT_INTEREST_VALUE,JPN FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,JPN FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,JPN FP Equity_DX_SI_MV,JPN FP Equity_DX_DSS,JPN FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,JPN FP Equity_DX_SUPPLY_SI_QTY,JPN FP Equity_DX_BROKER_SI_QTY,JPN FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,JPN FP Equity_DX_BROKER_SI_MV_NEW_x,JPN FP Equity_DX_SUPPLY_SI_QTY_NEW_x,JPN FP Equity_DX_SUPPLY_SI_QTY_INC_x,JPN FP Equity_DX_BROKER_SI_MV_INC_x,JPN FP Equity_DX_SUPPLY_SI_MV_NEW,JPN FP Equity_DX_BROKER_SI_QTY_ADD,JPN FP Equity_DX_BROKER_SI_QTY_NEW,JPN FP Equity_DX_SUPPLY_SI_MV_DEC,JPN FP Equity_DX_BROKER_SI_QTY_INC,JPN FP Equity_DX_SUPPLY_SI_QTY_DEC,JPN FP Equity_DX_BROKER_SI_MV_NEW_y,JPN FP Equity_DX_SUPPLY_SI_QTY_NEW_y,JPN FP Equity_DX_BROKER_SI_MV_INC_y,JPN FP Equity_DX_SUPPLY_SI_QTY_INC_y,JPN FP Equity_DX_BROKER_SI_MV_ADD,JPN FP Equity_DX_SUPPLY_SI_QTY_ADD,JPN FP Equity_DX_BROKER_SI_QTY_DEC,JPN FP Equity_DX_SUPPLY_SI_MV,JPN FP Equity_DX_BROKER_SI_MV_DEC,JPN FP Equity_DX_SUPPLY_SI_MV_RMV,JPN FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,JPN FP Equity_DX_UTILIZATION_QUANTITY,JPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,JPN FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,JPN FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,JPN FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,JPN FP Equity_DX_ACTIVE_UTILIZATION_MV,JPN FP Equity_DX_BROKER_SI_MARKET_SHARE_2,JPN FP Equity_DX_BROKER_SI_CON_RATIO,JPN FP Equity_DX_BROKER_SI_MARKET_SHARE_1,JPN FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-10-31,30000.0,2757870.02,4.81,0.77,3.28,,2757870.02,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-01,30000.0,2772272.09,4.74,0.77,3.27,,2772272.09,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-02,30000.0,2752816.67,4.73,0.77,3.29,,2752816.67,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-03,30000.0,2751553.33,4.37,0.77,3.27,,2751553.33,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-06,30000.0,2752816.67,4.45,0.77,3.27,,2752816.67,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-07,30000.0,2754080.0,4.46,0.77,3.26,,2754080.0,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-08,30000.0,2708347.12,4.38,0.77,3.27,,2708347.12,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-09,30000.0,2683585.66,4.51,0.77,3.21,,2683585.66,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-10,30000.0,2667162.25,4.41,0.77,3.22,,2667162.25,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-13,30000.0,2650486.17,4.38,0.77,3.15,,2650486.17,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-14,30000.0,2696219.06,3.51,0.77,3.15,,2696219.06,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-15,30000.0,2690913.03,3.33,0.77,3.2,,2690913.03,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-16,30000.0,2663877.57,3.37,0.77,3.2,,2663877.57,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-17,30000.0,2635073.43,3.49,0.77,3.16,,2635073.43,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-20,30000.0,2595909.91,2.95,0.77,3.13,,2595909.91,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-21,30000.0,2573675.13,2.91,0.77,3.09,,2573675.13,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-22,30000.0,2606016.62,2.86,0.77,3.06,,2606016.62,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-23,30000.0,2613596.66,2.84,0.77,3.09,,2613596.66,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-24,30000.0,2569632.44,2.88,0.77,3.1,,2569632.44,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-27,30000.0,2566347.76,2.84,0.77,3.05,,2566347.76,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-28,30000.0,2582013.17,2.88,0.77,3.06,,2582013.17,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2006-11-29,30000.0,2646948.82,2.86,0.77,3.07,,2646948.82,0.0,30000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-02-28,5744.0,542065.61,0.45,0.12,0.66,,542065.61,0.0,5744.0,0.0,,,,,,5744.0,,,,,,,,,0.66,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-01,5744.0,539197.28,0.44,0.12,0.64,,539197.28,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-02,5744.0,536037.25,0.4,0.12,0.64,,536037.25,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-05,5744.0,530203.36,0.39,0.12,0.63,,530203.36,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-06,5744.0,538419.42,0.36,0.12,0.63,,538419.42,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-07,5744.0,536620.64,0.42,0.12,0.63,,536620.64,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-08,5744.0,545274.25,0.42,0.12,0.63,,545274.25,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-09,5744.0,544107.47,0.42,0.12,0.64,,544107.47,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-12,5744.0,545663.17,0.39,0.12,0.64,,545663.17,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-13,5744.0,538419.42,0.39,0.12,0.64,,538419.42,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-14,5744.0,523786.08,0.39,0.12,0.64,,523786.08,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-15,5744.0,529911.67,0.39,0.12,0.62,,529911.67,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-16,5744.0,525487.64,0.38,0.12,0.63,,525487.64,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-19,5744.0,530300.59,0.37,0.12,0.62,,530300.59,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-20,5744.0,535988.64,0.36,0.12,0.63,,535988.64,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-21,5744.0,533849.54,0.33,0.12,0.64,,533849.54,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-22,5744.0,541871.14,0.33,0.12,0.63,,541871.14,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-23,5744.0,543524.08,0.34,0.12,0.63,,543524.08,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-26,5744.0,533703.7,0.33,0.12,0.64,,533703.7,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-27,5744.0,532780.0,0.33,0.12,0.64,,532780.0,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-28,5744.0,529231.05,0.32,0.12,0.63,,529231.05,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-29,5744.0,533412.0,0.31,0.12,0.63,,533412.0,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-03-30,5744.0,532196.61,0.31,0.12,0.63,,532196.61,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-02,5744.0,525341.79,0.32,0.12,0.63,,525341.79,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-03,5744.0,529814.44,0.31,0.12,0.63,,529814.44,0.0,5744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-04,11744.0,1086621.31,0.64,0.25,1.28,,1086621.31,0.0,11744.0,0.0,,,,0.65,,,,,6000.0,,,,0.65,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-05,11744.0,1077377.28,0.64,0.25,1.27,,1077377.28,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-06,11744.0,1077377.28,0.7,0.25,1.27,,1077377.28,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-09,11744.0,1077377.28,0.7,0.25,1.28,,1077377.28,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-10,11744.0,1086223.72,0.7,0.25,1.28,,1086223.72,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-11,11744.0,1078768.85,0.78,0.25,1.28,,1078768.85,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-12,11744.0,1074196.54,0.79,0.25,1.28,,1074196.54,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-13,11744.0,1064554.91,0.79,0.25,1.27,,1064554.91,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-16,11744.0,1073699.54,0.8,0.25,1.26,,1073699.54,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-17,11744.0,1065946.48,0.88,0.25,1.27,,1065946.48,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-18,11744.0,1071313.99,0.89,0.25,1.26,,1071313.99,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-19,11744.0,1060678.38,0.96,0.25,1.27,,1060678.38,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-20,11744.0,1063461.53,0.93,0.25,1.25,,1063461.53,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-23,11744.0,1058690.41,0.91,0.25,1.26,,1058690.41,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-24,11744.0,1050639.16,0.88,0.25,1.25,,1050639.16,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-25,11744.0,1047458.42,0.96,0.25,1.25,,1047458.42,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-26,11744.0,1048551.8,0.95,0.25,1.25,,1048551.8,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-27,11744.0,1036822.81,0.87,0.25,1.25,,1036822.81,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-04-30,11744.0,1040500.54,0.89,0.25,1.22,,1040500.54,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-01,11744.0,1040500.54,0.9,0.25,1.23,,1040500.54,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-02,11744.0,1046862.03,0.9,0.25,1.22,,1046862.03,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-03,11744.0,1052229.53,0.93,0.25,1.24,,1052229.53,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-04,11744.0,1056205.46,0.98,0.25,1.24,,1056205.46,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-07,11744.0,1057497.64,1.09,0.25,1.23,,1057497.64,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-08,11744.0,1059783.79,1.05,0.25,1.24,,1059783.79,0.0,11744.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-14,3253.0,293386.97,0.31,0.07,0.35,,293386.97,0.0,3253.0,0.0,,,,,,3253.0,,,,,,,,,0.35,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-15,3253.0,290661.25,0.33,0.07,0.35,,290661.25,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-16,3253.0,289587.48,0.33,0.07,0.34,,289587.48,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-17,3253.0,288568.78,0.34,0.07,0.34,,288568.78,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-18,3253.0,288155.79,0.35,0.07,0.34,,288155.79,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-21,3253.0,289367.22,0.35,0.07,0.34,,289367.22,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-22,3253.0,292120.48,0.31,0.07,0.34,,292120.48,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-23,3253.0,294157.89,0.33,0.07,0.34,,294157.89,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-24,3253.0,293276.84,0.31,0.07,0.35,,293276.84,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-25,3253.0,290330.86,0.3,0.07,0.35,,290330.86,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-28,3253.0,290991.64,0.29,0.07,0.34,,290991.64,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-29,3253.0,293331.91,0.3,0.07,0.34,,293331.91,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-30,3253.0,293469.57,0.3,0.07,0.35,,293469.57,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-05-31,3253.0,296663.35,0.3,0.07,0.35,,296663.35,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-01,3253.0,299361.54,0.32,0.07,0.35,,299361.54,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-04,3253.0,297957.38,0.33,0.07,0.35,,297957.38,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-05,3253.0,297599.46,0.33,0.07,0.35,,297599.46,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-06,3253.0,296553.22,0.34,0.07,0.35,,296553.22,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-07,3253.0,297516.86,0.35,0.07,0.35,,297516.86,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-08,3253.0,299526.74,0.35,0.07,0.35,,299526.74,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-11,3253.0,300545.44,0.39,0.07,0.35,,300545.44,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-12,3253.0,297296.6,0.36,0.07,0.35,,297296.6,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
2007-06-13,3253.0,297351.66,0.36,0.07,0.35,,297351.66,0.0,3253.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0
