,ALINS FP Equity_DX_SI_QTY,ALINS FP Equity_DX_SHORT_INTEREST_VALUE,ALINS FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALINS FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALINS FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALINS FP Equity_DX_SI_MV,ALINS FP Equity_DX_DSS,ALINS FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALINS FP Equity_DX_SUPPLY_SI_QTY,ALINS FP Equity_DX_BROKER_SI_QTY,ALINS FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALINS FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALINS FP Equity_DX_BROKER_SI_MV_INC_x,ALINS FP Equity_DX_BROKER_SI_QTY_ADD,ALINS FP Equity_DX_SUPPLY_SI_MV_DEC,ALINS FP Equity_DX_BROKER_SI_QTY_INC,ALINS FP Equity_DX_SUPPLY_SI_QTY_DEC,ALINS FP Equity_DX_BROKER_SI_MV_INC_y,ALINS FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALINS FP Equity_DX_BROKER_SI_MV_ADD,ALINS FP Equity_DX_SUPPLY_SI_QTY_ADD,ALINS FP Equity_DX_BROKER_SI_QTY_DEC,ALINS FP Equity_DX_SUPPLY_SI_MV,ALINS FP Equity_DX_BROKER_SI_MV_DEC,ALINS FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALINS FP Equity_DX_UTILIZATION_QUANTITY,ALINS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALINS FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALINS FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALINS FP Equity_DX_ACTIVE_UTILIZATION_MV,ALINS FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALINS FP Equity_DX_BROKER_SI_CON_RATIO,ALINS FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALINS FP Equity_DX_DEMAND_SUPPLY_RATIO,ALINS FP Equity_PX_LAST
2012-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2012-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.04
2012-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2012-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2012-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2012-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.96
2012-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2012-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2012-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2012-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2012-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47
2012-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2012-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2012-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2012-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2012-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2012-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2012-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2012-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6
2012-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2012-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2012-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2012-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2012-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2012-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2012-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2012-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2012-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2012-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.2
2012-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
2012-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2012-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
2012-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
2012-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5
2012-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
2012-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.81
2012-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.53
2012-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2012-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2012-06-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2012-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2012-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2012-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.95
2012-06-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2012-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86
2012-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.86
2012-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2012-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.44
2012-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2012-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
2012-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.33
2012-07-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.39
2012-07-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2012-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2012-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2012-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2012-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2012-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.36
2012-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2012-07-17,777.0,4864.02,0.03,0.3,0.03,0.0,0.0,4864.02,0.0,777.0,0.0,,,777.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,6.26
2012-07-18,777.0,4864.02,0.03,0.31,0.03,0.0,0.0,4864.02,0.0,777.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,0.0,6.26
2012-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2012-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.26
2012-07-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2012-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2012-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2012-07-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29
2012-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.29
2012-07-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2012-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2012-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.16
2012-08-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2012-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2012-08-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
2012-08-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2012-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2012-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2012-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2012-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2012-08-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2012-08-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2012-08-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.37
2012-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2012-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69
2012-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.69
2012-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2012-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.81
2012-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2012-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2012-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2012-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6
2012-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49
2012-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.48
2012-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
2012-09-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2012-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3
2012-09-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.95
2012-09-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.1
2012-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.09
2012-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.08
2012-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2012-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2012-09-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2012-09-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2012-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2012-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2012-09-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
2012-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2012-09-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2012-09-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99
2012-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73
2012-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73
2012-09-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.73
2012-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2012-10-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2012-10-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2012-10-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2012-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2012-10-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.75
2012-10-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2012-10-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2012-10-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35
2012-10-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2012-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.52
2012-10-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.57
2012-10-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2012-10-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2012-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6
2012-10-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2012-10-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2012-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2012-10-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48
2012-10-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2012-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.47
2012-10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2012-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2012-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
2012-11-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.38
2012-11-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2012-11-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2012-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2012-11-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3
2012-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2012-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2012-11-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2012-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2
2012-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2012-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.05
2012-11-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14
2012-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.15
2012-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-11-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-11-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19
2012-12-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.28
2012-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2012-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88
2012-12-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.85
2012-12-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2012-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.65
2012-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2012-12-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2012-12-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2012-12-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2012-12-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2012-12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.62
2012-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.77
2012-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.74
2012-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73
2012-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.63
2012-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
2012-12-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2012-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2013-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.71
2013-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.73
2013-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.8
2013-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2013-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.55
2013-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2013-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.34
2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2013-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
2013-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
2013-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13
2013-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.14
2013-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2013-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2013-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.24
2013-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2013-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.49
2013-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45
2013-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3
2013-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2013-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25
2013-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.28
2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.35
2013-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2013-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.36
2013-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
2013-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51
2013-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.47
2013-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.55
2013-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2013-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5
2013-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.61
2013-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0
2013-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.11
2013-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.34
2013-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1
2013-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2013-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45
2013-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.42
2013-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4
