,ALNN6 FP Equity_DX_SI_QTY,ALNN6 FP Equity_DX_SHORT_INTEREST_VALUE,ALNN6 FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALNN6 FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALNN6 FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALNN6 FP Equity_DX_SI_MV,ALNN6 FP Equity_DX_DSS,ALNN6 FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALNN6 FP Equity_DX_SUPPLY_SI_QTY,ALNN6 FP Equity_DX_BROKER_SI_QTY,ALNN6 FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALNN6 FP Equity_DX_SUPPLY_SI_QTY_INC_x,ALNN6 FP Equity_DX_BROKER_SI_MV_INC_x,ALNN6 FP Equity_DX_BROKER_SI_QTY_ADD,ALNN6 FP Equity_DX_SUPPLY_SI_MV_DEC,ALNN6 FP Equity_DX_BROKER_SI_QTY_INC,ALNN6 FP Equity_DX_SUPPLY_SI_QTY_DEC,ALNN6 FP Equity_DX_BROKER_SI_MV_INC_y,ALNN6 FP Equity_DX_SUPPLY_SI_QTY_INC_y,ALNN6 FP Equity_DX_BROKER_SI_MV_ADD,ALNN6 FP Equity_DX_SUPPLY_SI_QTY_ADD,ALNN6 FP Equity_DX_BROKER_SI_QTY_DEC,ALNN6 FP Equity_DX_SUPPLY_SI_MV,ALNN6 FP Equity_DX_BROKER_SI_MV_DEC,ALNN6 FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALNN6 FP Equity_DX_UTILIZATION_QUANTITY,ALNN6 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALNN6 FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALNN6 FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALNN6 FP Equity_DX_ACTIVE_UTILIZATION_MV,ALNN6 FP Equity_DX_BROKER_SI_MARKET_SHARE_2,ALNN6 FP Equity_DX_BROKER_SI_CON_RATIO,ALNN6 FP Equity_DX_BROKER_SI_MARKET_SHARE_1,ALNN6 FP Equity_DX_DEMAND_SUPPLY_RATIO
2022-02-16,12000.0,15240.0,0.32,0.13,0.18,0.02,0.0,7620.0,6000.0,6000.0,7620.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-17,12000.0,15120.0,0.32,0.15,0.18,0.02,0.0,7560.0,6000.0,6000.0,7560.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-18,12000.0,15168.0,0.32,0.15,0.18,0.02,0.0,7584.0,6000.0,6000.0,7584.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-21,12000.0,14160.0,0.32,0.15,0.18,0.02,0.0,7080.0,6000.0,6000.0,7080.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-22,12000.0,13920.0,0.32,0.16,0.18,0.01,0.0,6960.0,6000.0,6000.0,6960.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-23,12000.0,13992.0,0.32,0.17,0.18,0.01,0.0,6996.0,6000.0,6000.0,6996.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-24,12000.0,12600.0,0.32,0.18,0.18,0.01,0.0,6300.0,6000.0,6000.0,6300.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-25,12000.0,13320.0,0.32,0.18,0.18,0.01,0.0,6660.0,6000.0,6000.0,6660.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-02-28,12000.0,13200.0,0.32,0.18,0.18,0.01,0.0,6600.0,6000.0,6000.0,6600.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-01,12000.0,12720.0,0.32,0.18,0.18,0.01,0.0,6360.0,6000.0,6000.0,6360.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-02,12000.0,12720.0,0.32,0.21,0.18,0.01,0.0,6360.0,6000.0,6000.0,6360.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-03,12000.0,12000.0,0.32,0.24,0.18,0.01,0.0,6000.0,6000.0,6000.0,6000.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-04,12000.0,11100.0,0.32,0.25,0.18,0.01,0.0,5550.0,6000.0,6000.0,5550.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-07,12000.0,9960.0,0.32,0.25,0.18,0.01,0.0,4980.0,6000.0,6000.0,4980.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-08,12000.0,9252.0,0.32,0.3,0.18,0.01,0.0,4626.0,6000.0,6000.0,4626.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-09,12000.0,10656.0,0.32,0.33,0.18,0.01,0.0,5328.0,6000.0,6000.0,5328.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-10,12000.0,12720.0,0.32,0.36,0.18,0.01,0.0,6360.0,6000.0,6000.0,6360.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-11,12000.0,14616.0,0.32,0.34,0.18,0.01,0.0,7308.0,6000.0,6000.0,7308.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-14,12000.0,13848.0,0.32,0.44,0.18,0.01,0.0,6924.0,6000.0,6000.0,6924.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-15,12000.0,13656.0,0.32,0.47,0.18,0.01,0.0,6828.0,6000.0,6000.0,6828.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-16,12000.0,14016.0,0.32,0.52,0.18,0.01,0.0,7008.0,6000.0,6000.0,7008.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-17,12000.0,13392.0,0.32,0.52,0.18,0.01,0.0,6696.0,6000.0,6000.0,6696.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-18,12000.0,13464.0,0.32,0.53,0.18,0.01,0.0,6732.0,6000.0,6000.0,6732.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-21,12000.0,13656.0,0.32,0.52,0.18,0.01,0.0,6828.0,6000.0,6000.0,6828.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-22,12000.0,13584.0,0.32,0.55,0.18,0.01,0.0,6792.0,6000.0,6000.0,6792.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-23,12000.0,13536.0,0.32,0.56,0.18,0.01,0.0,6768.0,6000.0,6000.0,6768.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-24,12000.0,13296.0,0.32,0.56,0.18,0.01,0.0,6648.0,6000.0,6000.0,6648.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-25,12000.0,13320.0,0.32,0.56,0.18,0.01,0.0,6660.0,6000.0,6000.0,6660.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-28,12000.0,14232.0,0.32,0.57,0.18,0.01,0.0,7116.0,6000.0,6000.0,7116.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-29,12000.0,14160.0,0.32,0.57,0.18,0.01,0.0,7080.0,6000.0,6000.0,7080.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-30,12000.0,14232.0,0.32,0.57,0.18,0.01,0.0,7116.0,6000.0,6000.0,7116.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-03-31,12000.0,14016.0,0.32,0.57,0.18,0.01,0.0,7008.0,6000.0,6000.0,7008.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-01,12000.0,15540.0,0.32,0.59,0.18,0.01,0.0,7770.0,6000.0,6000.0,7770.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-04,12000.0,16200.0,0.32,0.53,0.18,0.01,0.0,8100.0,6000.0,6000.0,8100.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-05,10000.0,13000.0,0.26,0.44,0.15,0.01,0.0,6500.0,5000.0,5000.0,6500.0,,,,0.0,,1000.0,,,,,1000.0,0.01,0.0,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-06,10000.0,12700.0,0.26,0.44,0.15,0.01,0.0,6350.0,5000.0,5000.0,6350.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-07,10000.0,13000.0,0.26,0.44,0.15,0.01,0.0,6500.0,5000.0,5000.0,6500.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-08,10000.0,12100.0,0.26,0.47,0.15,0.01,0.0,6050.0,5000.0,5000.0,6050.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-11,10000.0,11950.0,0.26,0.44,0.15,0.01,0.0,5975.0,5000.0,5000.0,5975.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-12,10000.0,11500.0,0.26,0.44,0.15,0.01,0.0,5750.0,5000.0,5000.0,5750.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-13,10000.0,11650.0,0.26,0.44,0.15,0.01,0.0,5825.0,5000.0,5000.0,5825.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-14,10000.0,11500.0,0.26,0.43,0.15,0.01,0.0,5750.0,5000.0,5000.0,5750.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-15,10000.0,11500.0,0.26,0.44,0.15,0.01,0.0,5750.0,5000.0,5000.0,5750.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-18,10000.0,11500.0,0.26,0.44,0.15,0.01,0.0,5750.0,5000.0,5000.0,5750.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-19,10000.0,11000.0,0.26,0.44,0.15,0.01,0.0,5500.0,5000.0,5000.0,5500.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-20,10000.0,10900.0,0.26,0.45,0.15,0.01,0.0,5450.0,5000.0,5000.0,5450.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-21,10000.0,11500.0,0.26,0.49,0.15,0.01,0.0,5750.0,5000.0,5000.0,5750.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-22,10000.0,11400.0,0.26,0.45,0.15,0.01,0.0,5700.0,5000.0,5000.0,5700.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-25,10000.0,11150.0,0.26,0.47,0.15,0.01,0.0,5575.0,5000.0,5000.0,5575.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-26,10000.0,11150.0,0.26,0.58,0.15,0.01,0.0,5575.0,5000.0,5000.0,5575.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-27,10000.0,11250.0,0.26,0.63,0.15,0.01,0.0,5625.0,5000.0,5000.0,5625.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-28,10000.0,11250.0,0.26,0.65,0.15,0.01,0.0,5625.0,5000.0,5000.0,5625.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-04-29,10000.0,10650.0,0.26,0.67,0.15,0.01,0.0,5325.0,5000.0,5000.0,5325.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-02,10000.0,10200.0,0.26,0.68,0.15,0.01,0.0,5100.0,5000.0,5000.0,5100.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-03,10000.0,10400.0,0.26,0.69,0.15,0.01,0.0,5200.0,5000.0,5000.0,5200.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-04,10000.0,9940.0,0.26,0.69,0.15,0.01,0.0,4970.0,5000.0,5000.0,4970.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-05,10000.0,10250.0,0.26,0.68,0.15,0.01,0.0,5125.0,5000.0,5000.0,5125.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-06,10000.0,10300.0,0.26,0.67,0.15,0.01,0.0,5150.0,5000.0,5000.0,5150.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-09,10000.0,10200.0,0.26,0.66,0.15,0.01,0.0,5100.0,5000.0,5000.0,5100.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-10,10000.0,10100.0,0.26,0.66,0.15,0.01,0.0,5050.0,5000.0,5000.0,5050.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-11,10000.0,9860.0,0.26,0.66,0.15,0.01,0.0,4930.0,5000.0,5000.0,4930.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-12,10000.0,9760.0,0.26,0.72,0.15,0.01,0.0,4880.0,5000.0,5000.0,4880.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-13,10000.0,9780.0,0.26,0.72,0.15,0.01,0.0,4890.0,5000.0,5000.0,4890.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-16,10000.0,9700.0,0.26,0.72,0.15,0.01,0.0,4850.0,5000.0,5000.0,4850.0,,,,,,,,,,,,0.01,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-17,10000.0,9700.0,0.26,0.72,0.15,0.01,0.0,4850.0,5000.0,5000.0,4850.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-18,10000.0,9640.0,0.26,0.85,0.15,0.01,0.0,4820.0,5000.0,5000.0,4820.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-19,10000.0,9280.0,0.26,0.93,0.15,0.01,0.0,4640.0,5000.0,5000.0,4640.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-20,10000.0,9520.0,0.26,0.95,0.15,0.01,0.0,4760.0,5000.0,5000.0,4760.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-23,10000.0,9520.0,0.26,0.91,0.15,0.01,0.0,4760.0,5000.0,5000.0,4760.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-24,10000.0,8700.0,0.26,0.89,0.15,0.01,0.0,4350.0,5000.0,5000.0,4350.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-25,10000.0,9000.0,0.26,1.03,0.15,0.01,0.0,4500.0,5000.0,5000.0,4500.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-26,10000.0,8900.0,0.26,1.02,0.15,0.01,0.0,4450.0,5000.0,5000.0,4450.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-27,10000.0,9460.0,0.26,1.05,0.15,0.01,0.0,4730.0,5000.0,5000.0,4730.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-30,10000.0,9400.0,0.26,1.05,0.15,0.01,0.0,4700.0,5000.0,5000.0,4700.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-05-31,10000.0,9380.0,0.26,1.04,0.15,0.01,0.0,4690.0,5000.0,5000.0,4690.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-01,10000.0,9360.0,0.26,1.09,0.15,0.01,0.0,4680.0,5000.0,5000.0,4680.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-02,10000.0,9300.0,0.26,1.14,0.15,0.01,0.0,4650.0,5000.0,5000.0,4650.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-03,10000.0,9500.0,0.26,1.55,0.15,0.01,0.0,4750.0,5000.0,5000.0,4750.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-06,10000.0,9460.0,0.26,1.52,0.15,0.01,0.0,4730.0,5000.0,5000.0,4730.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-07,10000.0,9280.0,0.26,1.53,0.15,0.01,0.0,4640.0,5000.0,5000.0,4640.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-08,10000.0,8920.0,0.26,1.53,0.15,0.01,0.0,4460.0,5000.0,5000.0,4460.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-09,10000.0,9600.0,0.26,1.45,0.15,0.01,0.0,4800.0,5000.0,5000.0,4800.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-10,10000.0,9300.0,0.26,1.08,0.15,0.01,0.0,4650.0,5000.0,5000.0,4650.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-13,10000.0,9700.0,0.26,1.0,0.15,0.01,0.0,4850.0,5000.0,5000.0,4850.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-14,10000.0,9200.0,0.26,0.86,0.15,0.01,0.0,4600.0,5000.0,5000.0,4600.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-15,10000.0,9180.0,0.26,0.84,0.15,0.01,0.0,4590.0,5000.0,5000.0,4590.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-16,10000.0,8900.0,0.26,0.86,0.15,0.01,0.0,4450.0,5000.0,5000.0,4450.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-17,10000.0,8780.0,0.26,0.85,0.15,0.01,0.0,4390.0,5000.0,5000.0,4390.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-20,10000.0,8340.0,0.26,0.85,0.15,0.01,0.0,4170.0,5000.0,5000.0,4170.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-21,10000.0,8240.0,0.26,0.81,0.15,0.01,0.0,4120.0,5000.0,5000.0,4120.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-22,10000.0,8180.0,0.26,0.79,0.15,0.01,0.0,4090.0,5000.0,5000.0,4090.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-23,10000.0,8080.0,0.26,0.79,0.15,0.01,0.0,4040.0,5000.0,5000.0,4040.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-24,10000.0,8180.0,0.26,0.8,0.15,0.01,0.0,4090.0,5000.0,5000.0,4090.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-27,10000.0,8200.0,0.26,0.8,0.15,0.01,0.0,4100.0,5000.0,5000.0,4100.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
2022-06-28,10000.0,8320.0,0.26,0.8,0.15,0.01,0.0,4160.0,5000.0,5000.0,4160.0,,,,,,,,,,,,0.0,,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,2.0
