,MLCHE FP Equity_DX_SI_QTY,MLCHE FP Equity_DX_SHORT_INTEREST_VALUE,MLCHE FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,MLCHE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,MLCHE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,MLCHE FP Equity_DX_SI_MV,MLCHE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,MLCHE FP Equity_DX_SUPPLY_SI_QTY,MLCHE FP Equity_DX_BROKER_SI_QTY,MLCHE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,MLCHE FP Equity_DX_SUPPLY_SI_MV,MLCHE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,MLCHE FP Equity_DX_UTILIZATION_QUANTITY,MLCHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,MLCHE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,MLCHE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,MLCHE FP Equity_DX_ACTIVE_UTILIZATION_MV,MLCHE FP Equity_DX_BROKER_SI_CON_RATIO,MLCHE FP Equity_DX_DEMAND_SUPPLY_RATIO,MLCHE FP Equity_PX_LAST
2007-12-12,,,,,,,,,,,,,,,,,,,,11.45
2007-12-13,,,,,,,,,,,,,,,,,,,,11.45
2007-12-14,,,,,,,,,,,,,,,,,,,,11.45
2007-12-17,,,,,,,,,,,,,,,,,,,,11.45
2007-12-18,,,,,,,,,,,,,,,,,,,,11.45
2007-12-19,,,,,,,,,,,,,,,,,,,,11.0
2007-12-20,,,,,,,,,,,,,,,,,,,,10.59
2007-12-21,,,,,,,,,,,,,,,,,,,,10.0
2007-12-24,,,,,,,,,,,,,,,,,,,,10.5
2007-12-27,,,,,,,,,,,,,,,,,,,,11.41
2007-12-28,,,,,,,,,,,,,,,,,,,,11.41
2007-12-31,,,,,,,,,,,,,,,,,,,,11.41
2008-01-02,,,,,,,,,,,,,,,,,,,,11.41
2008-01-03,,,,,,,,,,,,,,,,,,,,11.41
2008-01-04,,,,,,,,,,,,,,,,,,,,11.41
2008-01-07,,,,,,,,,,,,,,,,,,,,11.39
2008-01-08,,,,,,,,,,,,,,,,,,,,11.39
2008-01-09,,,,,,,,,,,,,,,,,,,,11.34
2008-01-10,,,,,,,,,,,,,,,,,,,,11.29
2008-01-11,,,,,,,,,,,,,,,,,,,,11.29
2008-01-14,,,,,,,,,,,,,,,,,,,,11.29
2008-01-15,,,,,,,,,,,,,,,,,,,,11.0
2008-01-16,,,,,,,,,,,,,,,,,,,,10.99
2008-01-17,,,,,,,,,,,,,,,,,,,,10.5
2008-01-18,,,,,,,,,,,,,,,,,,,,10.5
2008-01-21,,,,,,,,,,,,,,,,,,,,10.7
2008-01-22,,,,,,,,,,,,,,,,,,,,10.7
2008-01-23,,,,,,,,,,,,,,,,,,,,10.7
2008-01-24,,,,,,,,,,,,,,,,,,,,10.7
2008-01-25,,,,,,,,,,,,,,,,,,,,10.7
2008-01-28,,,,,,,,,,,,,,,,,,,,10.7
2008-01-29,,,,,,,,,,,,,,,,,,,,10.7
2008-01-30,,,,,,,,,,,,,,,,,,,,10.69
2008-01-31,,,,,,,,,,,,,,,,,,,,10.68
2008-02-01,,,,,,,,,,,,,,,,,,,,10.49
2008-02-04,,,,,,,,,,,,,,,,,,,,10.48
2008-02-05,,,,,,,,,,,,,,,,,,,,10.47
2008-02-06,,,,,,,,,,,,,,,,,,,,10.14
2008-02-07,,,,,,,,,,,,,,,,,,,,10.13
2008-02-08,,,,,,,,,,,,,,,,,,,,10.12
2008-02-11,,,,,,,,,,,,,,,,,,,,10.12
2008-02-12,,,,,,,,,,,,,,,,,,,,10.11
2008-02-13,,,,,,,,,,,,,,,,,,,,10.11
2008-02-14,,,,,,,,,,,,,,,,,,,,9.1
2008-02-15,,,,,,,,,,,,,,,,,,,,9.0
2008-02-18,,,,,,,,,,,,,,,,,,,,8.99
2008-02-19,,,,,,,,,,,,,,,,,,,,8.49
2008-02-21,,,,,,,,,,,,,,,,,,,,8.49
2008-02-22,,,,,,,,,,,,,,,,,,,,8.49
2008-02-26,,,,,,,,,,,,,,,,,,,,8.49
2008-02-27,,,,,,,,,,,,,,,,,,,,8.49
2008-02-28,,,,,,,,,,,,,,,,,,,,8.49
2008-02-29,,,,,,,,,,,,,,,,,,,,8.49
2008-03-03,,,,,,,,,,,,,,,,,,,,8.51
2008-03-11,,,,,,,,,,,,,,,,,,,,8.5
2008-03-12,,,,,,,,,,,,,,,,,,,,8.5
2008-03-18,,,,,,,,,,,,,,,,,,,,8.49
2008-03-19,,,,,,,,,,,,,,,,,,,,8.49
2008-03-20,,,,,,,,,,,,,,,,,,,,8.49
2008-03-25,,,,,,,,,,,,,,,,,,,,8.49
2008-03-26,,,,,,,,,,,,,,,,,,,,8.49
2008-03-27,,,,,,,,,,,,,,,,,,,,8.39
2008-04-01,,,,,,,,,,,,,,,,,,,,8.39
2008-04-02,,,,,,,,,,,,,,,,,,,,8.39
2008-04-03,,,,,,,,,,,,,,,,,,,,8.39
2008-04-04,,,,,,,,,,,,,,,,,,,,8.39
2008-04-07,,,,,,,,,,,,,,,,,,,,8.39
2008-04-08,,,,,,,,,,,,,,,,,,,,8.39
2008-04-09,,,,,,,,,,,,,,,,,,,,8.39
2008-04-10,,,,,,,,,,,,,,,,,,,,8.39
2008-04-11,,,,,,,,,,,,,,,,,,,,8.39
2008-04-14,,,,,,,,,,,,,,,,,,,,8.39
2008-04-15,,,,,,,,,,,,,,,,,,,,8.39
2008-04-16,,,,,,,,,,,,,,,,,,,,8.39
2008-04-17,,,,,,,,,,,,,,,,,,,,8.39
2008-04-18,,,,,,,,,,,,,,,,,,,,8.39
2008-04-22,,,,,,,,,,,,,,,,,,,,8.39
2008-04-23,,,,,,,,,,,,,,,,,,,,8.39
2008-04-24,,,,,,,,,,,,,,,,,,,,8.39
2008-04-25,,,,,,,,,,,,,,,,,,,,8.39
2008-04-28,,,,,,,,,,,,,,,,,,,,8.39
2008-04-29,,,,,,,,,,,,,,,,,,,,8.39
2008-04-30,,,,,,,,,,,,,,,,,,,,8.39
2008-05-05,,,,,,,,,,,,,,,,,,,,8.39
2008-05-06,,,,,,,,,,,,,,,,,,,,9.0
2008-05-07,,,,,,,,,,,,,,,,,,,,8.99
2008-05-08,,,,,,,,,,,,,,,,,,,,8.99
2008-05-09,,,,,,,,,,,,,,,,,,,,8.99
2008-05-12,,,,,,,,,,,,,,,,,,,,8.99
2008-05-13,,,,,,,,,,,,,,,,,,,,8.99
2008-05-14,,,,,,,,,,,,,,,,,,,,8.99
2008-05-15,,,,,,,,,,,,,,,,,,,,8.99
2008-05-16,,,,,,,,,,,,,,,,,,,,8.99
2008-05-19,,,,,,,,,,,,,,,,,,,,8.99
2008-05-20,,,,,,,,,,,,,,,,,,,,8.99
2008-05-21,,,,,,,,,,,,,,,,,,,,8.99
2008-05-22,,,,,,,,,,,,,,,,,,,,8.99
2008-05-23,,,,,,,,,,,,,,,,,,,,8.99
2008-05-26,,,,,,,,,,,,,,,,,,,,8.99
2008-05-27,,,,,,,,,,,,,,,,,,,,8.99
2008-05-28,,,,,,,,,,,,,,,,,,,,8.5
2008-05-29,,,,,,,,,,,,,,,,,,,,8.5
2008-05-30,,,,,,,,,,,,,,,,,,,,8.5
2008-06-02,,,,,,,,,,,,,,,,,,,,8.5
2008-06-03,,,,,,,,,,,,,,,,,,,,8.5
2008-06-04,,,,,,,,,,,,,,,,,,,,8.5
2008-06-05,,,,,,,,,,,,,,,,,,,,8.5
2008-06-06,,,,,,,,,,,,,,,,,,,,8.5
2008-06-09,,,,,,,,,,,,,,,,,,,,8.5
2008-06-10,,,,,,,,,,,,,,,,,,,,8.5
2008-06-11,,,,,,,,,,,,,,,,,,,,8.5
2008-06-12,,,,,,,,,,,,,,,,,,,,8.5
2008-06-13,,,,,,,,,,,,,,,,,,,,8.5
2008-06-16,,,,,,,,,,,,,,,,,,,,8.5
2008-06-17,,,,,,,,,,,,,,,,,,,,8.5
2008-06-18,,,,,,,,,,,,,,,,,,,,8.5
2008-06-19,,,,,,,,,,,,,,,,,,,,8.5
2008-06-20,,,,,,,,,,,,,,,,,,,,8.6
2008-06-24,,,,,,,,,,,,,,,,,,,,8.6
2008-06-25,,,,,,,,,,,,,,,,,,,,8.6
2008-06-26,,,,,,,,,,,,,,,,,,,,8.6
2008-06-27,,,,,,,,,,,,,,,,,,,,8.6
2008-07-01,,,,,,,,,,,,,,,,,,,,8.6
2008-07-02,,,,,,,,,,,,,,,,,,,,8.7
2008-07-03,,,,,,,,,,,,,,,,,,,,8.69
2008-07-04,,,,,,,,,,,,,,,,,,,,8.6
2008-07-07,,,,,,,,,,,,,,,,,,,,8.6
2008-07-09,,,,,,,,,,,,,,,,,,,,8.6
2008-07-10,,,,,,,,,,,,,,,,,,,,8.6
2008-07-14,,,,,,,,,,,,,,,,,,,,8.6
2008-07-15,,,,,,,,,,,,,,,,,,,,8.6
2008-07-16,,,,,,,,,,,,,,,,,,,,8.6
2008-07-17,,,,,,,,,,,,,,,,,,,,8.6
2008-07-18,,,,,,,,,,,,,,,,,,,,8.6
2008-07-21,,,,,,,,,,,,,,,,,,,,8.6
2008-07-22,,,,,,,,,,,,,,,,,,,,8.5
2008-07-23,,,,,,,,,,,,,,,,,,,,8.5
2008-07-24,,,,,,,,,,,,,,,,,,,,8.49
2008-07-25,,,,,,,,,,,,,,,,,,,,8.46
2008-07-28,,,,,,,,,,,,,,,,,,,,8.45
2008-07-29,,,,,,,,,,,,,,,,,,,,8.45
2008-07-30,,,,,,,,,,,,,,,,,,,,8.45
2008-07-31,,,,,,,,,,,,,,,,,,,,8.45
2008-08-01,,,,,,,,,,,,,,,,,,,,8.45
2008-08-05,,,,,,,,,,,,,,,,,,,,8.45
2008-08-08,,,,,,,,,,,,,,,,,,,,8.45
2008-08-11,,,,,,,,,,,,,,,,,,,,8.45
2008-08-12,,,,,,,,,,,,,,,,,,,,8.45
2008-08-13,,,,,,,,,,,,,,,,,,,,8.45
2008-08-14,,,,,,,,,,,,,,,,,,,,8.45
2008-08-15,,,,,,,,,,,,,,,,,,,,8.45
2008-08-18,,,,,,,,,,,,,,,,,,,,8.45
2008-08-19,,,,,,,,,,,,,,,,,,,,8.45
2008-08-20,,,,,,,,,,,,,,,,,,,,8.45
2008-08-21,,,,,,,,,,,,,,,,,,,,8.45
2008-08-25,,,,,,,,,,,,,,,,,,,,8.45
2008-08-26,,,,,,,,,,,,,,,,,,,,8.45
2008-08-27,,,,,,,,,,,,,,,,,,,,8.45
2008-08-28,,,,,,,,,,,,,,,,,,,,8.45
2008-08-29,,,,,,,,,,,,,,,,,,,,8.45
2008-09-02,,,,,,,,,,,,,,,,,,,,8.4
2008-09-03,,,,,,,,,,,,,,,,,,,,8.0
2008-09-04,,,,,,,,,,,,,,,,,,,,8.2
2008-09-19,,,,,,,,,,,,,,,,,,,,5.4
2008-09-22,,,,,,,,,,,,,,,,,,,,5.85
2008-09-24,,,,,,,,,,,,,,,,,,,,7.07
2008-09-25,,,,,,,,,,,,,,,,,,,,6.99
2008-09-26,,,,,,,,,,,,,,,,,,,,7.1
2008-09-29,,,,,,,,,,,,,,,,,,,,7.1
2008-09-30,,,,,,,,,,,,,,,,,,,,7.1
2008-10-01,,,,,,,,,,,,,,,,,,,,7.49
2008-10-02,,,,,,,,,,,,,,,,,,,,7.74
2008-10-03,,,,,,,,,,,,,,,,,,,,7.69
2008-10-06,,,,,,,,,,,,,,,,,,,,8.0
2008-10-07,,,,,,,,,,,,,,,,,,,,7.99
2008-10-08,,,,,,,,,,,,,,,,,,,,7.94
2008-10-09,,,,,,,,,,,,,,,,,,,,8.0
2008-10-10,,,,,,,,,,,,,,,,,,,,7.98
2008-10-13,,,,,,,,,,,,,,,,,,,,7.97
2008-10-14,,,,,,,,,,,,,,,,,,,,7.97
2008-10-15,,,,,,,,,,,,,,,,,,,,7.94
2008-10-16,,,,,,,,,,,,,,,,,,,,7.94
2008-10-17,,,,,,,,,,,,,,,,,,,,8.0
2008-10-20,,,,,,,,,,,,,,,,,,,,7.94
2008-10-21,,,,,,,,,,,,,,,,,,,,7.94
2008-10-22,,,,,,,,,,,,,,,,,,,,7.93
2008-10-23,,,,,,,,,,,,,,,,,,,,7.93
2008-10-24,,,,,,,,,,,,,,,,,,,,7.93
2008-10-27,,,,,,,,,,,,,,,,,,,,7.93
2008-10-28,,,,,,,,,,,,,,,,,,,,7.93
2008-10-29,,,,,,,,,,,,,,,,,,,,7.93
2008-10-30,,,,,,,,,,,,,,,,,,,,7.93
2008-10-31,,,,,,,,,,,,,,,,,,,,7.93
2008-11-03,,,,,,,,,,,,,,,,,,,,7.93
2008-11-04,,,,,,,,,,,,,,,,,,,,7.93
2008-11-05,,,,,,,,,,,,,,,,,,,,7.93
2008-11-06,,,,,,,,,,,,,,,,,,,,7.93
2008-11-07,,,,,,,,,,,,,,,,,,,,7.93
2008-11-11,,,,,,,,,,,,,,,,,,,,7.93
2008-11-12,,,,,,,,,,,,,,,,,,,,7.93
2008-11-13,,,,,,,,,,,,,,,,,,,,7.93
2008-11-14,,,,,,,,,,,,,,,,,,,,7.93
2008-11-17,,,,,,,,,,,,,,,,,,,,7.93
2008-11-18,,,,,,,,,,,,,,,,,,,,7.93
2008-11-19,,,,,,,,,,,,,,,,,,,,7.93
2008-11-20,,,,,,,,,,,,,,,,,,,,7.93
2008-11-21,,,,,,,,,,,,,,,,,,,,7.89
2008-11-24,,,,,,,,,,,,,,,,,,,,7.89
2008-11-25,,,,,,,,,,,,,,,,,,,,7.89
2008-11-26,,,,,,,,,,,,,,,,,,,,7.89
2008-11-28,,,,,,,,,,,,,,,,,,,,7.88
2008-12-01,,,,,,,,,,,,,,,,,,,,7.95
2008-12-02,,,,,,,,,,,,,,,,,,,,7.94
2008-12-03,,,,,,,,,,,,,,,,,,,,7.94
2008-12-04,,,,,,,,,,,,,,,,,,,,7.94
2008-12-05,,,,,,,,,,,,,,,,,,,,7.94
2008-12-08,,,,,,,,,,,,,,,,,,,,7.94
2008-12-09,,,,,,,,,,,,,,,,,,,,7.94
2008-12-10,,,,,,,,,,,,,,,,,,,,7.94
2008-12-11,,,,,,,,,,,,,,,,,,,,7.94
2008-12-12,,,,,,,,,,,,,,,,,,,,7.94
2008-12-15,,,,,,,,,,,,,,,,,,,,7.94
2008-12-16,,,,,,,,,,,,,,,,,,,,7.94
2008-12-17,,,,,,,,,,,,,,,,,,,,7.94
2008-12-18,,,,,,,,,,,,,,,,,,,,7.94
2008-12-19,,,,,,,,,,,,,,,,,,,,7.93
2008-12-22,,,,,,,,,,,,,,,,,,,,7.93
2008-12-23,,,,,,,,,,,,,,,,,,,,7.93
2008-12-29,,,,,,,,,,,,,,,,,,,,7.93
2008-12-30,,,,,,,,,,,,,,,,,,,,7.93
2008-12-31,,,,,,,,,,,,,,,,,,,,7.93
2009-01-02,,,,,,,,,,,,,,,,,,,,7.93
2009-01-05,,,,,,,,,,,,,,,,,,,,7.93
2009-01-06,,,,,,,,,,,,,,,,,,,,7.93
2009-01-07,,,,,,,,,,,,,,,,,,,,7.93
2009-01-08,,,,,,,,,,,,,,,,,,,,7.93
2009-01-09,,,,,,,,,,,,,,,,,,,,7.93
2009-01-12,,,,,,,,,,,,,,,,,,,,7.93
2009-01-13,,,,,,,,,,,,,,,,,,,,7.93
2009-01-14,,,,,,,,,,,,,,,,,,,,7.93
2009-01-15,,,,,,,,,,,,,,,,,,,,7.93
2009-01-16,,,,,,,,,,,,,,,,,,,,7.93
2009-01-19,,,,,,,,,,,,,,,,,,,,7.93
2009-01-20,,,,,,,,,,,,,,,,,,,,7.93
2009-02-02,,,,,,,,,,,,,,,,,,,,7.14
2009-02-04,,,,,,,,,,,,,,,,,,,,7.14
2009-02-05,,,,,,,,,,,,,,,,,,,,7.14
2009-02-06,,,,,,,,,,,,,,,,,,,,7.14
2009-02-09,,,,,,,,,,,,,,,,,,,,7.14
2009-02-10,,,,,,,,,,,,,,,,,,,,7.14
2009-02-11,,,,,,,,,,,,,,,,,,,,7.14
2009-02-12,,,,,,,,,,,,,,,,,,,,7.14
2009-02-13,,,,,,,,,,,,,,,,,,,,7.14
2009-02-16,,,,,,,,,,,,,,,,,,,,7.14
2009-02-17,,,,,,,,,,,,,,,,,,,,7.14
2009-02-18,,,,,,,,,,,,,,,,,,,,7.14
2009-02-19,,,,,,,,,,,,,,,,,,,,7.14
2009-02-20,,,,,,,,,,,,,,,,,,,,7.14
2009-02-23,,,,,,,,,,,,,,,,,,,,7.14
2009-02-24,,,,,,,,,,,,,,,,,,,,7.14
2009-02-25,,,,,,,,,,,,,,,,,,,,7.14
2009-02-26,,,,,,,,,,,,,,,,,,,,7.14
2009-02-27,,,,,,,,,,,,,,,,,,,,7.14
2009-03-04,,,,,,,,,,,,,,,,,,,,5.51
2009-03-05,,,,,,,,,,,,,,,,,,,,5.5
2009-03-06,,,,,,,,,,,,,,,,,,,,5.5
2009-03-09,,,,,,,,,,,,,,,,,,,,5.5
2009-03-10,,,,,,,,,,,,,,,,,,,,5.5
2009-03-11,,,,,,,,,,,,,,,,,,,,5.5
2009-03-12,,,,,,,,,,,,,,,,,,,,5.5
2009-03-13,,,,,,,,,,,,,,,,,,,,5.5
2009-03-16,,,,,,,,,,,,,,,,,,,,5.5
2009-03-17,,,,,,,,,,,,,,,,,,,,5.5
2009-03-18,,,,,,,,,,,,,,,,,,,,5.5
2009-03-19,,,,,,,,,,,,,,,,,,,,5.5
2009-03-20,,,,,,,,,,,,,,,,,,,,5.5
2009-03-23,,,,,,,,,,,,,,,,,,,,5.5
2009-03-24,,,,,,,,,,,,,,,,,,,,5.5
2009-03-25,,,,,,,,,,,,,,,,,,,,5.5
2009-03-26,,,,,,,,,,,,,,,,,,,,5.5
2009-03-31,,,,,,,,,,,,,,,,,,,,6.65
2009-04-02,,,,,,,,,,,,,,,,,,,,6.65
2009-04-03,,,,,,,,,,,,,,,,,,,,6.65
2009-04-06,,,,,,,,,,,,,,,,,,,,6.65
2009-04-07,,,,,,,,,,,,,,,,,,,,6.65
2009-04-08,,,,,,,,,,,,,,,,,,,,6.65
2009-04-09,,,,,,,,,,,,,,,,,,,,6.65
2009-04-14,,,,,,,,,,,,,,,,,,,,6.65
2009-04-15,,,,,,,,,,,,,,,,,,,,6.65
2009-04-16,,,,,,,,,,,,,,,,,,,,6.65
2009-04-17,,,,,,,,,,,,,,,,,,,,6.65
2009-04-20,,,,,,,,,,,,,,,,,,,,6.65
2009-04-21,,,,,,,,,,,,,,,,,,,,6.65
2009-04-22,,,,,,,,,,,,,,,,,,,,6.65
2009-04-23,,,,,,,,,,,,,,,,,,,,6.65
2009-04-24,,,,,,,,,,,,,,,,,,,,6.65
2009-04-27,,,,,,,,,,,,,,,,,,,,6.65
2009-04-28,,,,,,,,,,,,,,,,,,,,6.65
2009-04-29,,,,,,,,,,,,,,,,,,,,6.65
2009-04-30,,,,,,,,,,,,,,,,,,,,6.65
2009-05-04,,,,,,,,,,,,,,,,,,,,6.65
2009-05-05,,,,,,,,,,,,,,,,,,,,6.65
2009-05-06,,,,,,,,,,,,,,,,,,,,6.65
2009-05-07,,,,,,,,,,,,,,,,,,,,6.65
2009-05-08,,,,,,,,,,,,,,,,,,,,6.65
2009-05-11,,,,,,,,,,,,,,,,,,,,6.65
2009-05-12,,,,,,,,,,,,,,,,,,,,6.65
2009-05-13,,,,,,,,,,,,,,,,,,,,6.64
2009-05-14,,,,,,,,,,,,,,,,,,,,6.64
2009-05-15,,,,,,,,,,,,,,,,,,,,6.64
2009-05-18,,,,,,,,,,,,,,,,,,,,6.64
2009-05-19,,,,,,,,,,,,,,,,,,,,6.64
2009-05-20,,,,,,,,,,,,,,,,,,,,6.64
2009-05-21,,,,,,,,,,,,,,,,,,,,6.64
2009-05-22,,,,,,,,,,,,,,,,,,,,6.64
2009-05-25,,,,,,,,,,,,,,,,,,,,6.64
2009-05-26,,,,,,,,,,,,,,,,,,,,6.64
2009-05-27,,,,,,,,,,,,,,,,,,,,6.64
2009-05-28,,,,,,,,,,,,,,,,,,,,6.64
2009-05-29,,,,,,,,,,,,,,,,,,,,6.64
2009-06-02,,,,,,,,,,,,,,,,,,,,6.64
2009-06-03,,,,,,,,,,,,,,,,,,,,6.64
2009-06-05,,,,,,,,,,,,,,,,,,,,6.64
2009-06-08,,,,,,,,,,,,,,,,,,,,6.64
