,GSSBD FP Equity_PX_LAST
2023-05-23,7.5331
2023-05-24,7.5376
2023-05-25,7.5312
2023-05-26,7.5178
2023-05-29,7.5782
2023-05-30,7.6163
2023-05-31,7.6408
2023-06-01,7.6613
2023-06-02,7.6571
2023-06-05,7.6156
2023-06-06,7.6199
2023-06-07,7.5846
2023-06-08,7.597
2023-06-09,7.6304
2023-06-12,7.6269
2023-06-13,7.6126
2023-06-14,7.5979
2023-06-15,7.5697
2023-06-16,7.6092
2023-06-19,7.5648
2023-06-20,7.6291
2023-06-21,7.6139
2023-06-22,7.591
2023-06-23,7.6658
2023-06-26,7.6902
2023-06-27,7.6614
2023-06-28,7.6822
2023-06-29,7.6442
2023-06-30,7.6679
2023-07-03,7.6489
2023-07-04,7.6207
2023-07-05,7.6002
2023-07-06,7.5151
2023-07-07,7.5271
2023-07-10,7.507
2023-07-11,7.5172
2023-07-12,7.579
2023-07-13,7.6293
2023-07-14,7.6256
2023-07-17,7.6213
2023-07-18,7.6866
2023-07-19,7.6675
2023-07-20,7.6457
2023-07-21,7.6609
2023-07-24,7.6738
2023-07-25,7.6695
2023-07-26,7.6434
2023-07-27,7.6641
2023-07-28,7.657
2023-07-31,7.6563
2023-08-01,7.604
2023-08-02,7.6083
2023-08-03,7.5826
2023-08-04,7.635
2023-08-07,7.6103
2023-08-08,7.6597
2023-08-09,7.6474
2023-08-10,7.6377
2023-08-11,7.5797
2023-08-14,7.5751
2023-08-15,7.5436
2023-08-16,7.5592
2023-08-17,7.5133
2023-08-18,7.559
2023-08-21,7.5131
2023-08-22,7.5543
2023-08-23,7.6276
2023-08-24,7.6243
2023-08-25,7.6064
2023-08-28,7.6158
2023-08-29,7.6398
2023-08-30,7.6275
2023-08-31,7.6638
2023-09-01,7.6186
2023-09-04,7.6051
2023-09-05,7.5838
2023-09-06,7.5609
2023-09-07,7.5798
2023-09-08,7.6036
2023-09-11,7.5825
2023-09-12,7.579
2023-09-13,7.5727
2023-09-14,7.6115
2023-09-15,7.56
2023-09-18,7.5267
2023-09-19,7.5182
2023-09-20,7.54
2023-09-21,7.5159
2023-09-22,7.5107
2023-09-25,7.4778
2023-09-26,7.4737
2023-09-27,7.4566
2023-09-28,7.3902
2023-09-29,7.4632
2023-10-02,7.4128
2023-10-03,7.3799
2023-10-04,7.3934
2023-10-05,7.4149
2023-10-06,7.4181
2023-10-09,7.4668
2023-10-10,7.4803
2023-10-11,7.5212
2023-10-12,7.4801
2023-10-13,7.4905
2023-10-16,7.4647
2023-10-17,7.4226
2023-10-18,7.3948
2023-10-19,7.3878
2023-10-20,7.4069
2023-10-23,7.4352
2023-10-24,7.4493
2023-10-25,7.4206
2023-10-26,7.4396
2023-10-27,7.449
2023-10-30,7.4579
2023-10-31,7.4787
2023-11-01,7.5171
2023-11-02,7.557
2023-11-03,7.6014
2023-11-06,7.5457
2023-11-07,7.5855
2023-11-08,7.6293
2023-11-09,7.6077
2023-11-10,7.5722
2023-11-13,7.5711
2023-11-14,7.6582
2023-11-15,7.6271
2023-11-16,7.6518
2023-11-17,7.6636
2023-11-20,7.6504
2023-11-21,7.6817
2023-11-22,7.6811
2023-11-23,7.6568
2023-11-24,7.6447
2023-11-27,7.6871
2023-11-28,7.7149
2023-11-29,7.7602
2023-11-30,7.7548
2023-12-01,7.8071
2023-12-04,7.8256
2023-12-05,7.8969
2023-12-06,7.9211
2023-12-07,7.9162
2023-12-08,7.8856
2023-12-11,7.8872
2023-12-12,7.9116
2023-12-13,7.9482
2023-12-14,7.991
2023-12-15,8.0647
2023-12-18,8.0272
2023-12-19,8.0646
2023-12-20,8.0919
2023-12-21,8.1033
2023-12-22,8.1054
2023-12-27,8.1408
2023-12-28,8.1164
2023-12-29,8.07
2024-01-02,8.0408
2024-01-03,8.0447
2024-01-04,8.0071
2024-01-05,7.9851
2024-01-08,7.9965
2024-01-09,7.9678
2024-01-10,7.9587
2024-01-11,7.9547
2024-01-12,8.0039
2024-01-15,7.9669
2024-01-16,7.957
2024-01-17,7.9216
2024-01-18,7.9168
2024-01-19,7.9172
2024-01-22,7.9472
2024-01-23,7.9036
2024-01-24,7.9204
2024-01-25,7.9431
2024-01-26,7.9437
2024-01-29,7.9759
2024-01-30,7.9512
2024-01-31,8.0105
2024-02-01,8.0244
2024-02-02,7.9686
2024-02-05,7.9192
2024-02-06,7.9367
2024-02-07,7.93
2024-02-08,7.9005
2024-02-09,7.8923
2024-02-12,7.9016
2024-02-13,7.8928
2024-02-14,7.9188
2024-02-15,7.9232
2024-02-16,7.9021
2024-02-19,7.8958
2024-02-20,7.9178
2024-02-21,7.8841
2024-02-22,7.8876
2024-02-23,7.933
2024-02-26,7.8928
2024-02-27,7.8705
2024-02-28,7.8743
2024-02-29,7.9172
2024-03-01,7.9085
2024-03-04,7.922
2024-03-05,7.9665
2024-03-06,7.9707
2024-03-07,8.0067
2024-03-08,8.0201
2024-03-11,8.0008
2024-03-12,7.9991
2024-03-13,7.9906
2024-03-14,7.9511
2024-03-15,7.9374
2024-03-18,7.9292
2024-03-19,7.9336
2024-03-20,7.9358
2024-03-21,7.9662
2024-03-22,7.9962
2024-03-25,7.9709
2024-03-26,7.9841
2024-03-27,8.0163
2024-03-28,8.0215
2024-04-02,7.9485
2024-04-03,7.9554
2024-04-04,7.9876
2024-04-05,7.9609
2024-04-08,7.9452
2024-04-09,7.9654
2024-04-10,7.9286
2024-04-11,7.9163
2024-04-12,7.9802
2024-04-15,7.9292
2024-04-16,7.896
2024-04-17,7.9104
2024-04-18,7.9088
2024-04-19,7.9042
2024-04-22,7.9191
2024-04-23,7.9141
2024-04-24,7.8581
2024-04-25,7.8379
2024-04-26,7.8828
2024-04-29,7.9178
2024-04-30,7.8828
2024-05-02,7.9049
2024-05-03,7.931
2024-05-06,7.9545
2024-05-07,7.9858
2024-05-08,7.9593
2024-05-09,7.9341
2024-05-10,7.9211
2024-05-13,7.9274
2024-05-14,7.9092
2024-05-15,7.9855
2024-05-16,7.9715
2024-05-17,7.9377
2024-05-20,7.927
2024-05-21,7.9407
2024-05-22,7.9259
2024-05-23,7.89
2024-05-24,7.9061
2024-05-27,7.9253
2024-05-28,7.899
2024-05-29,7.8446
2024-05-30,7.8619
2024-05-31,7.8708
2024-06-03,7.9088
2024-06-04,7.9317
2024-06-05,7.9568
2024-06-06,7.93
2024-06-07,7.8926
2024-06-10,7.8432
2024-06-11,7.8544
2024-06-12,7.9128
2024-06-13,7.9091
2024-06-14,7.9404
2024-06-17,7.9266
2024-06-18,7.9515
2024-06-19,7.9375
2024-06-20,7.9539
2024-06-21,7.9258
2024-06-24,7.9289
2024-06-25,7.9383
2024-06-26,7.9106
2024-06-27,7.9044
2024-06-28,7.8949
2024-07-01,7.8528
2024-07-02,7.8631
2024-07-03,7.9065
2024-07-04,7.8898
2024-07-05,7.9216
2024-07-08,7.9385
2024-07-09,7.9024
2024-07-10,7.9378
2024-07-11,7.9736
2024-07-12,7.9617
2024-07-15,7.9803
2024-07-16,7.9958
2024-07-17,8.0005
2024-07-18,8.0098
2024-07-19,7.9825
2024-07-22,7.9792
2024-07-23,7.9937
2024-07-24,7.9833
2024-07-25,8.0025
2024-07-26,8.0154
2024-07-29,8.0305
2024-07-30,8.043
2024-07-31,8.0729
2024-08-01,8.09
2024-08-02,8.0848
2024-08-05,8.1131
2024-08-06,8.1255
2024-08-07,8.0846
2024-08-08,8.0841
2024-08-09,8.1109
2024-08-12,8.112
2024-08-13,8.1327
2024-08-14,8.1483
2024-08-15,8.111
2024-08-16,8.1158
2024-08-19,8.1224
2024-08-20,8.1434
2024-08-21,8.153
2024-08-22,8.1258
2024-08-23,8.1474
2024-08-26,8.1273
2024-08-27,8.1057
2024-08-28,8.1184
2024-08-29,8.1053
2024-08-30,8.104
2024-09-02,8.0848
2024-09-03,8.1149
2024-09-04,8.1514
2024-09-05,8.1605
2024-09-06,8.1812
2024-09-09,8.1808
2024-09-10,8.1912
2024-09-11,8.2063
2024-09-12,8.1827
2024-09-13,8.2018
2024-09-16,8.2142
2024-09-17,8.1978
2024-09-18,8.1648
2024-09-19,8.1695
2024-09-20,8.1529
2024-09-23,8.1721
2024-09-24,8.196
2024-09-25,8.166
2024-09-26,8.1756
2024-09-27,8.2025
2024-09-30,8.2059
2024-10-01,8.256
2024-10-02,8.2292
2024-10-03,8.2082
2024-10-04,8.1761
2024-10-07,8.1563
2024-10-08,8.153
2024-10-09,8.147
2024-10-10,8.1538
2024-10-11,8.1459
2024-10-14,8.1478
2024-10-15,8.1867
2024-10-16,8.2138
2024-10-17,8.207
2024-10-18,8.2244
2024-10-21,8.1651
2024-10-22,8.1425
2024-10-23,8.1482
2024-10-24,8.1845
2024-10-25,8.1692
2024-10-28,8.1771
2024-10-29,8.1504
2024-10-30,8.119
2024-10-31,8.1238
2024-11-01,8.1161
2024-11-04,8.1287
2024-11-05,8.1124
2024-11-06,8.13
2024-11-07,8.1037
2024-11-08,8.1463
2024-11-11,8.1802
2024-11-12,8.1664
2024-11-13,8.1533
2024-11-14,8.1878
2024-11-15,8.1867
2024-11-18,8.1733
2024-11-19,8.1818
2024-11-20,8.162
2024-11-21,8.1811
2024-11-22,8.2163
2024-11-25,8.2372
2024-11-26,8.2358
2024-11-27,8.2547
2024-11-28,8.2839
2024-11-29,8.3145
2024-12-02,8.3351
2024-12-03,8.3375
2024-12-04,8.3386
2024-12-05,8.3321
2024-12-06,8.3359
2024-12-09,8.3373
2024-12-10,8.3378
2024-12-11,8.3256
2024-12-12,8.2898
2024-12-13,8.2596
2024-12-16,8.2574
2024-12-17,8.2617
2024-12-18,8.2537
2024-12-19,8.2166
2024-12-20,8.2309
2024-12-23,8.2067
2024-12-24,8.2162
2024-12-27,8.1804
2024-12-30,8.1962
2024-12-31,8.1877
2025-01-02,8.1833
2025-01-03,8.1459
2025-01-06,8.1418
2025-01-07,8.1171
2025-01-08,8.0967
2025-01-09,8.0865
2025-01-10,8.0667
2025-01-13,8.0508
2025-01-14,8.0401
2025-01-15,8.0985
2025-01-16,8.1048
2025-01-17,8.1237
2025-01-20,8.1299
2025-01-21,8.1401
2025-01-22,8.1362
2025-01-23,8.124
2025-01-24,8.1112
2025-01-27,8.1284
2025-01-28,8.1186
2025-01-29,8.1144
2025-01-30,8.1449
2025-01-31,8.1858
2025-02-03,8.2333
2025-02-04,8.24
2025-02-05,8.2584
2025-02-06,8.2551
2025-02-07,8.2448
2025-02-10,8.2569
2025-02-11,8.2098
2025-02-12,8.1851
2025-02-13,8.2275
2025-02-14,8.2269
2025-02-17,8.1933
2025-02-18,8.1953
2025-02-19,8.1637
2025-02-20,8.1677
2025-02-21,8.2044
2025-02-24,8.2031
2025-02-25,8.2152
2025-02-26,8.2289
2025-02-27,8.2399
2025-02-28,8.2516
2025-03-03,8.1938
2025-03-04,8.1947
2025-03-05,8.0528
2025-03-06,8.0019
2025-03-07,8.0247
2025-03-10,8.0315
2025-03-11,8.0012
2025-03-12,8.0047
2025-03-13,8.0101
2025-03-14,8.003
2025-03-17,8.0441
2025-03-18,8.0341
2025-03-19,8.0484
2025-03-20,8.0524
2025-03-21,8.0603
2025-03-24,8.0537
2025-03-25,8.0463
2025-03-26,8.0454
2025-03-27,8.0541
2025-03-28,8.0803
2025-03-31,8.0727
2025-04-01,8.1024
2025-04-02,8.0838
2025-04-03,8.12
2025-04-04,8.1617
2025-04-07,8.1029
2025-04-08,8.0991
2025-04-09,8.1155
2025-04-10,8.1356
2025-04-11,8.1532
2025-04-14,8.1744
2025-04-15,8.1592
2025-04-16,8.1783
2025-04-17,8.2051
2025-04-22,8.2189
2025-04-23,8.2029
2025-04-24,8.2416
2025-04-25,8.2231
2025-04-28,8.2065
2025-04-29,8.2092
2025-04-30,8.234
2025-05-02,8.1968
2025-05-05,8.1956
2025-05-06,8.1883
2025-05-07,8.2239
2025-05-08,8.2073
2025-05-09,8.1887
2025-05-12,8.1486
2025-05-13,8.1333
2025-05-14,8.1231
2025-05-15,8.1595
2025-05-16,8.1869
2025-05-19,8.1944
2025-05-20,8.1762
2025-05-21,8.1582
2025-05-22,8.1506
2025-05-23,8.1847
2025-05-26,8.1974
2025-05-27,8.2146
2025-05-28,8.2125
2025-05-29,8.2334
2025-05-30,8.2355
2025-06-02,8.2286
2025-06-03,8.2393
2025-06-04,8.232
2025-06-05,8.2006
2025-06-06,8.2168
2025-06-09,8.2154
2025-06-10,8.2403
2025-06-11,8.2364
2025-06-12,8.2614
2025-06-13,8.2266
2025-06-16,8.2345
2025-06-17,8.2293
2025-06-18,8.2484
2025-06-19,8.2313
2025-06-20,8.2319
2025-06-23,8.2426
2025-06-24,8.2474
2025-06-25,8.2233
2025-06-26,8.2244
2025-06-27,8.2144
2025-06-30,8.2207
2025-07-01,8.234
2025-07-02,8.2074
2025-07-03,8.2299
2025-07-04,8.2385
2025-07-07,8.2154
2025-07-08,8.1949
2025-07-09,8.2007
2025-07-10,8.1846
2025-07-11,8.1706
2025-07-14,8.1647
2025-07-15,8.1766
2025-07-16,8.1873
2025-07-17,8.197
2025-07-18,8.1853
2025-07-21,8.2338
2025-07-22,8.2479
2025-07-23,8.2468
2025-07-24,8.1943
2025-07-25,8.189
2025-07-28,8.2078
2025-07-29,8.2097
2025-07-30,8.1999
2025-07-31,8.2105
2025-08-01,8.2107
2025-08-04,8.2427
2025-08-05,8.246
2025-08-06,8.2373
2025-08-07,8.2433
2025-08-08,8.2193
2025-08-11,8.2117
2025-08-12,8.185
2025-08-13,8.2247
2025-08-14,8.2125
2025-08-15,8.172
2025-08-18,8.1729
2025-08-19,8.1828
2025-08-20,8.1986
2025-08-21,8.1745
2025-08-22,8.1954
2025-08-25,8.1667
2025-08-26,8.176
2025-08-27,8.1854
2025-08-28,8.1891
2025-08-29,8.1776
