,SMC FP Equity_DX_SI_QTY,SMC FP Equity_DX_SHORT_INTEREST_VALUE,SMC FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,SMC FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,SMC FP Equity_DX_SI_MV,SMC FP Equity_DX_DSS,SMC FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,SMC FP Equity_DX_SUPPLY_SI_QTY,SMC FP Equity_DX_BROKER_SI_QTY,SMC FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,SMC FP Equity_DX_SUPPLY_SI_QTY_NEW_x,SMC FP Equity_DX_SUPPLY_SI_QTY_INC_x,SMC FP Equity_DX_BROKER_SI_MV_INC_x,SMC FP Equity_DX_SUPPLY_SI_MV_NEW,SMC FP Equity_DX_BROKER_SI_QTY_ADD,SMC FP Equity_DX_SUPPLY_SI_MV_DEC,SMC FP Equity_DX_BROKER_SI_QTY_INC,SMC FP Equity_DX_SUPPLY_SI_QTY_DEC,SMC FP Equity_DX_SUPPLY_SI_QTY_NEW_y,SMC FP Equity_DX_BROKER_SI_MV_INC_y,SMC FP Equity_DX_SUPPLY_SI_QTY_INC_y,SMC FP Equity_DX_BROKER_SI_MV_ADD,SMC FP Equity_DX_SUPPLY_SI_QTY_ADD,SMC FP Equity_DX_BROKER_SI_QTY_DEC,SMC FP Equity_DX_SUPPLY_SI_MV,SMC FP Equity_DX_BROKER_SI_MV_DEC,SMC FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,SMC FP Equity_DX_UTILIZATION_QUANTITY,SMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,SMC FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,SMC FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,SMC FP Equity_DX_ACTIVE_UTILIZATION_MV,SMC FP Equity_DX_BROKER_SI_MARKET_SHARE_2,SMC FP Equity_DX_BROKER_SI_CON_RATIO,SMC FP Equity_DX_BROKER_SI_MARKET_SHARE_1,SMC FP Equity_DX_DEMAND_SUPPLY_RATIO,SMC FP Equity_PX_LAST
2005-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4
2005-08-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.45
2005-08-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.25
2005-08-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.75
2005-08-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.15
2005-08-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0
2005-08-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.65
2005-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9
2005-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2
2005-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.15
2005-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.6
2005-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4
2005-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.05
2005-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.2
2005-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3
2005-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.9
2005-09-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.65
2005-09-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.85
2005-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.85
2005-09-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5
2005-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.25
2005-10-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.25
2005-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.5
2005-10-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.75
2005-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.65
2005-11-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1
2005-11-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.4
2005-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9
2005-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.75
2005-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.05
2005-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.65
2005-11-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.7
2005-11-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.05
2005-11-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.8
2005-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5
2005-12-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1
2005-12-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8
2005-12-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.35
2005-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.85
2005-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.8
2005-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.1
2005-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.85
2006-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9
2006-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.35
2006-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.45
2006-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4
2006-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9
2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.3
2006-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9
2006-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.35
2006-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9
2006-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.95
2006-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.4
2006-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.45
2006-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.5
2006-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.4
2006-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.65
2006-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.6
2006-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4
2006-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9
2006-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.2
2006-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.3
2006-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.1
2006-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.8
2006-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5
2006-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5
2006-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.9
2006-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0
2006-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.9
2006-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.7
2006-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4
2006-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.8
2006-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.4
2006-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1
2006-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.5
2006-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.1
2006-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.5
2006-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.9
2006-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.1
2006-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0
2006-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.6
2006-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.1
2006-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.8
2006-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.2
2006-04-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5
2006-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.1
2006-04-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.5
2006-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0
2006-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.5
2006-04-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.1
2006-04-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.7
2006-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3
2006-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.9
2006-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.3
2006-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0
2006-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.4
2006-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5
2006-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.3
2006-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.3
2006-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.1
2006-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1
2006-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.9
2006-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.3
2006-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.6
2006-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.1
2006-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.4
2006-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.6
2006-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.9
2006-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.5
2006-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.3
2006-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.2
2006-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.05
2006-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.15
2006-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.9
2006-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.0
2006-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.9
2006-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.5
2006-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6
2006-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.15
2006-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.35
2006-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.6
2006-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.25
2006-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.05
2006-06-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.9
2006-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2006-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.6
2006-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2006-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.4
2006-07-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5
2006-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.05
2006-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8
2006-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.4
2006-08-08,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,99.1
2006-08-09,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-10,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-11,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-14,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-15,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-17,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-18,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,99.6
2006-08-21,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,100.0
2006-08-22,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,101.0
2006-08-23,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,100.0
2006-08-24,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-25,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-28,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-29,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,100.8
2006-08-30,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-08-31,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-01,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,102.9
2006-09-04,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-05,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-06,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-07,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,101.1
2006-09-08,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-11,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-12,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-13,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-14,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,101.9
2006-09-15,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,102.7
2006-09-18,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-19,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-20,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-21,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-22,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,102.1
2006-09-25,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,102.2
2006-09-26,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,103.8
2006-09-27,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-09-28,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,103.4
2006-09-29,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-10-02,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,104.9
2006-10-03,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,103.4
2006-10-04,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-10-05,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-10-06,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-10-09,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,104.9
2006-10-10,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,105.5
2006-10-11,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-10-12,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,106.3
2006-10-13,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,
2006-10-16,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,,,107.6
