,GUARD FP Equity_DX_SI_QTY,GUARD FP Equity_DX_SHORT_INTEREST_VALUE,GUARD FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,GUARD FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,GUARD FP Equity_DX_SI_MV,GUARD FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,GUARD FP Equity_DX_SUPPLY_SI_QTY,GUARD FP Equity_DX_BROKER_SI_QTY,GUARD FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,GUARD FP Equity_DX_BROKER_SI_QTY_ADD,GUARD FP Equity_DX_SUPPLY_SI_MV_DEC,GUARD FP Equity_DX_SUPPLY_SI_QTY_DEC,GUARD FP Equity_DX_BROKER_SI_MV_ADD,GUARD FP Equity_DX_SUPPLY_SI_QTY_ADD,GUARD FP Equity_DX_BROKER_SI_QTY_DEC,GUARD FP Equity_DX_SUPPLY_SI_MV,GUARD FP Equity_DX_BROKER_SI_MV_DEC,GUARD FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,GUARD FP Equity_DX_UTILIZATION_QUANTITY,GUARD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,GUARD FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,GUARD FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,GUARD FP Equity_DX_ACTIVE_UTILIZATION_MV,GUARD FP Equity_DX_BROKER_SI_MARKET_SHARE_2,GUARD FP Equity_DX_BROKER_SI_CON_RATIO,GUARD FP Equity_DX_BROKER_SI_MARKET_SHARE_1,GUARD FP Equity_DX_DEMAND_SUPPLY_RATIO,GUARD FP Equity_PX_LAST
2025-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.738
2025-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.674
2025-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.81
2025-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,100.0,1041.0,0.0,0.0,,0.0,,0.0,10.41
2025-07-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.396
2025-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.488
2025-07-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.566
2025-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.746
2025-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.746
2025-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.816
2025-07-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.73
2025-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.82
2025-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.916
2025-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.742
2025-07-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.778
2025-07-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.844
2025-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.998
2025-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.866
2025-07-22,9200.0,97998.4,0.2,0.13,0.1,48999.2,4600.0,4600.0,48999.2,4600.0,,,0.05,4600.0,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,49.58,0.5,50.42,2.0,10.652
2025-07-23,4600.0,49229.2,0.1,0.06,0.05,0.0,4600.0,0.0,49229.2,,,,,,4600.0,0.05,0.05,100.0,100.0,0.0,0.0,0.0,100.0,,1.0,100.0,1.0,10.702
2025-07-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,4600.0,,,,0.0,,0.0,0.0,4400.0,46666.4,0.05,0.0,,0.0,,0.0,10.606
2025-07-25,8600.0,90472.0,0.19,0.11,0.09,45236.0,4300.0,4300.0,45236.0,4300.0,,,0.05,4300.0,,0.05,,100.0,97.73,0.0,0.0,0.0,100.0,49.8,0.5,50.2,1.9545,10.52
2025-07-28,8600.0,88975.6,0.18,0.11,0.09,44487.8,4300.0,4300.0,44487.8,,,,,,,0.05,,100.0,97.73,0.0,0.0,0.0,100.0,49.58,0.5,50.42,1.9545,10.346
2025-07-29,8600.0,91865.2,0.16,0.11,0.09,45932.6,4300.0,4300.0,45932.6,,,,,,,0.04,,100.0,100.0,0.0,0.0,0.0,100.0,49.2,0.5001,50.8,2.0,10.682
2025-07-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,4300.0,,,4300.0,0.0,0.05,0.0,0.0,200.0,2106.4,0.0,0.0,,0.0,,0.0,10.532
2025-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,200.0,2132.8,0.0,0.0,,0.0,,0.0,10.664
2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,200.0,2089.6,0.0,0.0,,0.0,,0.0,10.448
2025-08-04,9800.0,104468.0,0.18,0.12,0.1,52234.0,4900.0,4900.0,52234.0,4900.0,,,0.05,4900.0,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0,10.66
2025-08-05,9800.0,104840.4,0.18,0.12,0.1,52420.2,4900.0,4900.0,52420.2,,,,,,,0.05,,100.0,100.0,0.0,0.0,0.0,100.0,50.0,0.5,50.0,2.0,10.698
2025-08-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,4900.0,,,4900.0,0.0,0.05,0.0,0.0,500.0,5407.0,0.01,0.0,,0.0,,0.0,10.814
2025-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,500.0,5266.0,0.01,0.0,,0.0,,0.0,10.532
2025-08-08,11000.0,114356.0,0.2,0.13,0.12,57178.0,5500.0,5500.0,57178.0,5500.0,,,0.06,5500.0,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,49.68,0.5,50.32,2.0,10.396
2025-08-11,11000.0,113410.0,0.21,0.13,0.11,56705.0,5500.0,5500.0,56705.0,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,49.79,0.5,50.21,2.0,10.31
2025-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06,5500.0,,,5500.0,0.0,0.06,0.0,0.0,200.0,2089.2,0.0,0.0,,0.0,,0.0,10.446
2025-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,200.0,2088.8,0.0,0.0,,0.0,,0.0,10.444
2025-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,200.0,2132.0,0.0,0.0,,0.0,,0.0,10.66
2025-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,200.0,2107.2,0.0,0.0,,0.0,,0.0,10.536
2025-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,200.0,2169.2,0.0,0.0,,0.0,,0.0,10.846
2025-08-19,6200.0,64157.6,0.13,0.07,0.06,64157.6,0.0,6200.0,0.0,6200.0,,,0.06,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,8.8571,10.348
2025-08-20,12400.0,126331.2,0.26,0.14,0.13,63165.6,6200.0,6200.0,63165.6,,,,,6200.0,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,49.61,0.5,50.39,2.0,10.188
2025-08-21,12400.0,129604.8,0.27,0.14,0.13,64802.4,6200.0,6200.0,64802.4,,,,,,,0.06,,100.0,100.0,0.0,0.0,0.0,100.0,49.36,0.5001,50.64,2.0,10.452
2025-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.06,6200.0,,,6200.0,0.0,0.06,0.0,0.0,6200.0,65062.8,0.07,0.0,,0.0,,0.0,10.494
2025-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,4200.0,44318.4,0.04,0.0,,0.0,,0.0,10.552
2025-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,4300.0,45459.6,0.05,0.0,,0.0,,0.0,10.572
2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,3400.0,35734.0,0.04,0.0,,0.0,,0.0,10.51
2025-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,4200.0,44259.6,0.04,0.0,,0.0,,0.0,10.538
2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,0.0,4200.0,44562.0,0.04,0.0,,0.0,,0.0,10.61
