,BLEE FP Equity_PX_LAST
2007-01-31,539.0
2007-02-05,486.5
2007-02-09,438.5
2007-02-12,446.0
2007-02-15,460.0
2007-02-16,480.0
2007-02-20,500.0
2007-03-01,510.0
2007-03-02,460.0
2007-03-05,454.49
2007-03-15,480.0
2007-03-22,495.0
2007-03-23,446.0
2007-04-02,450.0
2007-04-05,495.0
2007-04-13,480.0
2007-04-24,490.0
2007-04-25,499.0
2007-05-03,538.0
2007-05-15,537.0
2007-05-16,550.0
2007-05-17,495.6
2007-05-18,452.52
2007-05-30,496.99
2007-06-06,550.0
2007-06-07,580.0
2007-06-08,531.02
2007-06-11,550.0
2007-06-13,580.0
2007-06-14,634.0
2007-06-18,640.0
2007-06-20,650.2
2007-06-22,651.0
2007-06-25,651.0
2007-07-02,652.0
2007-07-04,521.0
2007-07-05,521.0
2007-07-06,518.1
2007-07-09,518.1
2007-07-20,51.0
2007-07-25,51.0
2007-07-27,51.0
2007-07-30,51.0
2007-07-31,51.0
2007-08-01,51.0
2007-08-02,46.0
2007-08-03,51.0
2007-08-07,50.98
2007-08-08,51.0
2007-08-13,50.98
2007-08-14,47.0
2007-08-15,46.99
2007-08-24,47.0
2007-08-28,47.0
2007-08-30,47.0
2007-09-11,47.0
2007-09-12,47.0
2007-09-28,42.3
2007-10-02,46.53
2007-10-03,51.0
2007-10-05,47.05
2007-10-12,47.55
2007-10-18,48.0
2007-10-22,46.0
2007-11-02,46.0
2007-11-06,46.5
2007-11-08,46.0
2007-11-09,46.0
2007-11-22,42.11
2007-11-28,46.4
2007-12-17,41.81
2007-12-18,37.66
2008-01-17,42.0
2008-01-25,41.98
2008-01-28,41.9
2008-02-08,40.0
2008-02-13,44.0
2008-02-14,43.5
2008-02-20,44.5
2008-02-21,44.5
2008-03-14,44.72
2008-04-04,44.0
2008-05-05,41.0
2008-05-07,33.36
2008-05-09,37.0
2008-05-13,44.0
2008-05-14,44.72
2008-05-15,44.0
2008-05-21,39.62
2008-06-11,44.0
2008-06-12,45.0
2008-06-19,45.0
2008-06-23,45.0
2008-07-02,54.45
2008-07-04,54.5
2008-07-24,50.0
2008-07-31,44.0
2008-09-04,35.65
2008-09-09,43.9
2008-09-22,48.27
2008-09-23,45.0
2008-10-06,40.5
2008-10-07,44.0
2008-10-10,44.0
2008-10-23,43.99
2008-10-24,43.99
2008-11-21,39.6
2008-12-04,39.6
2008-12-09,39.6
2008-12-23,37.0
2008-12-24,33.3
2009-01-20,36.6
2009-01-26,40.26
2009-02-12,43.0
2009-02-17,44.0
2009-02-24,43.9
2009-03-04,39.95
2009-03-19,36.4
2009-03-23,36.5
2009-03-24,39.0
2009-03-25,39.7
2009-03-26,39.9
2009-03-27,43.5
2009-04-09,45.9
2009-04-24,44.8
2009-05-04,45.0
2009-05-05,45.5
2009-05-06,45.5
2009-05-07,45.95
2009-06-10,45.4
2009-06-25,41.0
2009-06-26,45.0
2009-07-13,45.0
2009-07-27,42.59
2009-07-31,44.58
2009-08-03,44.6
2009-08-04,45.0
2009-08-17,40.56
2009-08-18,45.0
2009-08-24,44.49
2009-08-25,45.0
2009-08-27,45.0
2009-08-31,45.0
2009-09-01,44.95
2009-09-03,45.4
2009-09-14,45.0
2009-09-15,45.5
2009-09-17,45.5
2009-09-18,47.5
2009-09-21,47.6
2009-09-22,48.0
