,MLPSH FP Equity_PX_LAST
2013-06-11,4.4
2013-07-05,5.32
2013-07-09,5.32
2013-07-16,5.32
2013-07-19,5.32
2013-07-26,5.32
2013-07-30,5.32
2013-08-09,5.32
2013-08-13,5.32
2013-08-16,5.32
2013-08-28,5.32
2013-08-30,5.32
2013-09-03,5.32
2013-09-06,5.32
2013-09-10,5.32
2013-09-13,5.32
2013-09-17,5.32
2013-09-20,5.32
2013-09-24,5.32
2013-09-27,5.32
2013-10-01,5.32
2013-10-04,5.32
2013-10-08,5.32
2013-10-11,5.32
2013-10-15,5.32
2013-10-18,5.32
2013-10-22,5.32
2013-10-25,5.32
2013-11-08,5.32
2014-12-01,5.32
2016-02-03,2.8
2016-03-22,2.52
2016-04-28,1.67
2016-05-20,1.22
2016-11-15,0.36
2016-11-22,0.55
2016-12-14,0.86
2017-01-12,0.27
2017-01-19,0.33
2017-01-30,0.33
2017-02-08,0.33
2017-03-14,0.33
2017-04-18,0.54
2017-04-20,0.6
2017-05-17,0.26
2017-05-22,0.28
2017-06-02,0.38
2017-06-07,0.49
2017-06-09,0.56
2017-06-13,0.64
2017-06-15,0.71
2017-06-20,0.77
2017-06-23,0.84
2017-06-26,0.84
2017-06-27,0.9
2017-06-29,0.99
2017-07-26,0.82
2017-07-31,0.82
2017-08-02,0.99
2017-08-03,0.91
2017-08-08,1.0
2017-08-09,1.1
2017-08-10,1.21
2017-08-17,1.21
2017-08-21,1.1
2017-08-31,1.21
2017-09-01,1.33
2017-09-05,1.33
2017-09-12,1.33
2017-09-13,1.2
2017-09-18,1.0
2017-09-19,0.9
2017-09-21,0.7
2017-10-02,1.0
2017-10-03,1.1
2017-10-04,1.21
2017-10-05,1.32
2017-10-06,1.3
2017-10-09,1.3
2017-10-10,1.0
2017-10-12,1.33
2017-10-16,1.32
2017-10-18,1.37
2017-10-20,1.3
2017-10-25,1.32
2017-10-26,1.33
2017-10-27,1.32
2017-11-03,1.28
2017-11-14,1.02
2017-11-15,0.93
2017-11-21,0.9
2017-11-24,1.01
2017-12-05,1.12
2017-12-06,1.04
2017-12-14,0.9
2017-12-20,0.91
2017-12-21,0.91
2018-01-03,0.82
2018-01-04,0.82
2018-01-08,0.82
2018-01-09,0.82
2018-01-15,0.82
2018-01-17,0.82
2018-01-19,1.08
2018-01-22,1.18
2018-01-23,1.28
2018-02-01,0.92
2018-02-02,0.83
2018-02-15,1.66
2018-02-20,2.92
2018-02-21,3.0
2018-02-22,3.0
2018-02-27,1.98
2018-02-28,1.96
2018-03-01,1.96
2018-03-05,1.7
2018-03-06,1.65
2018-03-12,0.73
2018-03-15,0.41
2018-03-20,0.41
2018-03-21,0.41
2018-03-23,0.41
2018-03-28,0.41
2018-03-29,0.41
2018-04-10,0.41
2018-04-17,0.41
2018-04-26,0.41
2018-04-30,0.41
2018-05-02,0.41
2018-05-14,0.42
2018-05-22,0.42
2018-05-23,0.36
2018-05-24,0.36
2018-06-07,0.4
2018-06-20,0.4
2018-06-26,0.36
2018-06-27,0.36
2018-06-28,0.36
2018-07-02,0.476
2018-07-03,0.57
2018-07-24,0.121
2018-08-07,0.565
2018-08-13,0.67
2018-08-20,1.0
2018-08-27,0.945
2018-10-01,0.272
2018-10-11,0.21
2018-10-30,0.162
2018-11-22,0.49
2018-12-17,0.191
2022-11-28,0.191
2022-11-29,0.191
2022-11-30,0.191
2022-12-01,0.191
2022-12-02,0.191
2022-12-05,0.191
2022-12-06,0.191
2022-12-07,0.191
2022-12-08,0.191
2022-12-09,0.191
2022-12-12,0.191
2022-12-13,0.191
2022-12-14,0.191
2022-12-15,0.191
2022-12-16,0.191
2022-12-19,0.191
2022-12-20,0.191
2022-12-21,0.191
2022-12-22,0.191
2022-12-23,0.191
2022-12-27,0.191
2022-12-28,0.191
2022-12-29,0.191
2022-12-30,0.191
