,PUST FP Equity_DX_SI_QTY,PUST FP Equity_DX_SHORT_INTEREST_VALUE,PUST FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,PUST FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,PUST FP Equity_DX_SI_MV,PUST FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,PUST FP Equity_DX_SUPPLY_SI_QTY,PUST FP Equity_DX_BROKER_SI_QTY,PUST FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,PUST FP Equity_DX_SUPPLY_SI_QTY_INC_x,PUST FP Equity_DX_BROKER_SI_MV_INC_x,PUST FP Equity_DX_BROKER_SI_QTY_ADD,PUST FP Equity_DX_SUPPLY_SI_MV_DEC,PUST FP Equity_DX_BROKER_SI_QTY_INC,PUST FP Equity_DX_SUPPLY_SI_QTY_DEC,PUST FP Equity_DX_BROKER_SI_MV_INC_y,PUST FP Equity_DX_SUPPLY_SI_QTY_INC_y,PUST FP Equity_DX_BROKER_SI_MV_ADD,PUST FP Equity_DX_SUPPLY_SI_QTY_ADD,PUST FP Equity_DX_BROKER_SI_QTY_DEC,PUST FP Equity_DX_SUPPLY_SI_MV,PUST FP Equity_DX_BROKER_SI_MV_DEC,PUST FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,PUST FP Equity_DX_UTILIZATION_QUANTITY,PUST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,PUST FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,PUST FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,PUST FP Equity_DX_ACTIVE_UTILIZATION_MV,PUST FP Equity_DX_BROKER_SI_MARKET_SHARE_2,PUST FP Equity_DX_BROKER_SI_CON_RATIO,PUST FP Equity_DX_BROKER_SI_MARKET_SHARE_1,PUST FP Equity_DX_DEMAND_SUPPLY_RATIO
2025-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.12,,1500.0,,,,,1500.0,0.0,0.12,0.0,0.0,93.0,7777.59,0.01,0.0,,0.0,,0.0
2025-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,93.0,7674.36,0.01,0.0,,0.0,,0.0
2025-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,93.0,7668.78,0.01,0.0,,0.0,,0.0
2025-01-09,4400.0,362692.0,0.07,0.06,0.37,181346.0,2200.0,2200.0,181346.0,,,2200.0,,,,,,0.18,2200.0,,0.18,,100.0,95.94,0.0,0.0,0.0,100.0,,1.0,100.0,1.9189
2025-01-10,4400.0,358204.0,0.07,0.06,0.36,179102.0,2200.0,2200.0,179102.0,,,,,,,,,,,,0.18,,100.0,95.94,0.0,0.0,0.0,100.0,,1.0,100.0,1.9189
2025-01-13,4400.0,356488.0,0.07,0.06,0.36,178244.0,2200.0,2200.0,178244.0,,,,,,,,,,,,0.18,,100.0,95.94,0.0,0.0,0.0,100.0,,1.0,100.0,1.9189
2025-01-14,4400.0,356136.0,0.07,0.06,0.36,178068.0,2200.0,2200.0,178068.0,,,,,,,,,,,,0.18,,100.0,95.94,0.0,0.0,0.0,100.0,,1.0,100.0,1.9189
2025-01-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.18,,2200.0,,,,,2200.0,0.0,0.18,0.0,0.0,93.0,7671.57,0.01,0.0,,0.0,,0.0
2025-01-16,4800.0,396528.0,0.08,0.07,0.4,198264.0,2400.0,2400.0,198264.0,,,2400.0,,,,,,0.2,2400.0,,0.2,,100.0,96.27,0.0,0.0,0.0,100.0,,1.0,100.0,1.9254
2025-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.2,,2400.0,,,,,2400.0,0.0,0.2,0.0,0.0,2493.0,208315.08,0.21,0.0,,0.0,,0.0
2025-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,93.0,7731.09,0.01,0.0,,0.0,,0.0
2025-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,93.0,7698.54,0.01,0.0,,0.0,,0.0
2025-01-22,3800.0,320454.0,0.06,0.05,0.32,160227.0,1900.0,1900.0,160227.0,,,1900.0,,,,,,0.16,1900.0,,0.16,,100.0,95.33,0.0,0.0,0.0,100.0,,1.0,100.0,1.9067
2025-01-23,5000.0,420100.0,0.08,0.06,0.42,210050.0,2500.0,2500.0,210050.0,600.0,0.05,,,600.0,,0.05,600.0,,,,0.21,,100.0,96.41,0.0,0.0,0.0,100.0,,1.0,100.0,1.9283
2025-01-24,5000.0,417200.0,0.08,0.06,0.42,208600.0,2500.0,2500.0,208600.0,,,,,,,,,,,,0.21,,100.0,96.41,0.0,0.0,0.0,100.0,,1.0,100.0,1.9283
2025-01-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21,,2500.0,,,,,2500.0,0.0,0.21,0.0,0.0,93.0,7491.15,0.01,0.0,,0.0,,0.0
2025-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,93.0,7615.77,0.01,0.0,,0.0,,0.0
2025-01-29,3000.0,246870.0,0.05,0.04,0.25,123435.0,1500.0,1500.0,123435.0,,,1500.0,,,,,,0.12,1500.0,,0.12,,100.0,94.16,0.0,0.0,0.0,100.0,,1.0,100.0,1.8832
2025-01-30,3000.0,247080.0,0.05,0.04,0.25,123540.0,1500.0,1500.0,123540.0,,,,,,,,,,,,0.13,,100.0,94.16,0.0,0.0,0.0,100.0,,1.0,100.0,1.8832
2025-01-31,3000.0,252120.0,0.05,0.04,0.25,126060.0,1500.0,1500.0,126060.0,,,,,,,,,,,,0.12,,100.0,94.16,0.0,0.0,0.0,100.0,,1.0,100.0,1.8832
2025-02-03,3000.0,248910.0,0.05,0.04,0.25,124455.0,1500.0,1500.0,124455.0,,,,,,,,,,,,0.13,,100.0,94.16,0.0,0.0,0.0,100.0,,1.0,100.0,1.8832
2025-02-04,6000.0,500040.0,0.09,0.07,0.5,250020.0,3000.0,3000.0,250020.0,1500.0,0.13,,,1500.0,,0.13,1500.0,,,,0.25,,100.0,96.99,0.0,0.0,0.0,100.0,,1.0,100.0,1.9399
2025-02-05,6000.0,496920.0,0.09,0.07,0.5,248460.0,3000.0,3000.0,248460.0,,,,,,,,,,,,0.25,,100.0,97.15,0.0,0.0,0.0,100.0,,1.0,100.0,1.943
2025-02-06,6000.0,503040.0,0.1,0.07,0.5,251520.0,3000.0,3000.0,251520.0,,,,,,,,,,,,0.25,,100.0,96.99,0.0,0.0,0.0,100.0,,1.0,100.0,1.9399
2025-02-07,3000.0,251250.0,0.05,0.04,0.25,125625.0,1500.0,1500.0,125625.0,,,,0.12,,1500.0,,,,,1500.0,0.13,0.13,100.0,48.5,0.0,0.0,0.0,100.0,,1.0,100.0,0.9699
2025-02-10,1500.0,126915.0,0.02,0.02,0.13,0.0,1500.0,0.0,126915.0,,,,,,,,,,,1500.0,0.13,0.13,100.0,94.16,0.0,0.0,0.0,100.0,,1.0,100.0,0.9416
2025-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.12,,1500.0,,,,,,0.0,,0.0,0.0,93.0,7830.6,0.01,0.0,,0.0,,0.0
2025-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,93.0,7771.08,0.01,0.0,,0.0,,0.0
2025-02-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,88.0,7412.24,0.01,0.0,,0.0,,0.0
2025-02-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,88.0,7407.84,0.01,0.0,,0.0,,0.0
2025-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,88.0,7462.4,0.01,0.0,,0.0,,0.0
2025-02-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,88.0,7455.36,0.01,0.0,,0.0,,0.0
2025-02-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,0.0,0.0,88.0,7507.28,0.01,0.0,,0.0,,0.0
2025-02-20,5200.0,437788.0,0.09,0.06,0.44,218894.0,2600.0,2600.0,218894.0,,,2600.0,,,,,,0.22,2600.0,,0.22,,100.0,96.73,0.0,0.0,0.0,100.0,,1.0,100.0,1.9345
2025-02-21,5200.0,437684.0,0.09,0.06,0.44,218842.0,2600.0,2600.0,218842.0,,,,,,,,,,,,0.22,,100.0,96.73,0.0,0.0,0.0,100.0,,1.0,100.0,1.9345
2025-02-24,5200.0,428844.0,0.09,0.06,0.43,214422.0,2600.0,2600.0,214422.0,,,,,,,,,,,,0.22,,100.0,96.73,0.0,0.0,0.0,100.0,,1.0,100.0,1.9345
2025-02-25,5200.0,416520.0,0.09,0.06,0.42,208260.0,2600.0,2600.0,208260.0,,,,,,,,,,,,0.22,,100.0,96.73,0.0,0.0,0.0,100.0,,1.0,100.0,1.9345
2025-02-26,5200.0,423020.0,0.09,0.06,0.42,211510.0,2600.0,2600.0,211510.0,,,,,,,,,,,,0.21,,100.0,96.73,0.0,0.0,0.0,100.0,,1.0,100.0,1.9345
