,IQJP FP Equity_PX_LAST
2019-08-15,26.515
2019-08-16,26.915
2019-08-19,26.97
2019-08-20,26.845
2019-08-21,26.975
2019-08-22,26.875
2019-08-23,26.6
2019-08-26,26.965
2019-08-27,27.005
2019-08-28,27.065
2019-08-29,27.275
2019-08-30,27.35
2019-09-02,27.42
2019-09-03,27.495
2019-09-04,27.465
2019-09-05,27.595
2019-09-06,27.695
2019-09-09,27.865
2019-09-10,27.97
2019-09-11,28.23
2019-09-12,28.435
2019-09-13,28.765
2019-09-16,28.815
2019-09-17,28.675
2019-09-18,28.56
2019-09-19,28.92
2019-09-20,28.96
2019-09-23,28.83
2019-09-24,29.025
2019-09-25,29.1
2019-09-26,29.31
2019-09-27,28.955
2019-09-30,28.86
2019-10-01,28.9
2019-10-02,28.46
2019-10-03,28.36
2019-10-04,28.695
2019-10-07,28.71
2019-10-08,28.535
2019-10-09,28.63
2019-10-10,28.6
2019-10-11,28.96
2019-10-14,28.75
2019-10-15,29.12
2019-10-16,28.99
2019-10-17,28.745
2019-10-18,28.605
2019-10-21,28.87
2019-10-22,28.94
2019-10-23,29.125
2019-10-24,29.155
2019-10-25,29.14
2019-10-28,29.145
2019-10-29,29.3
2019-10-30,29.22
2019-10-31,29.115
2019-11-01,29.45
2019-11-04,29.725
2019-11-05,30.045
2019-11-06,29.98
2019-11-07,30.28
2019-11-08,30.335
2019-11-11,30.26
2019-11-12,30.48
2019-11-13,30.27
2019-11-14,30.005
2019-11-15,30.195
2019-11-18,30.06
2019-11-19,30.025
2019-11-20,29.97
2019-11-21,29.95
2019-11-22,30.1
2019-11-25,30.335
2019-11-26,30.26
2019-11-27,30.4
2019-11-28,30.43
2019-11-29,30.07
2019-12-02,29.66
2019-12-03,29.74
2019-12-04,30.275
2019-12-05,30.175
2019-12-06,30.63
2019-12-09,30.47
2019-12-10,30.43
2019-12-11,30.55
2019-12-12,30.435
2019-12-13,30.365
2019-12-16,30.45
2019-12-17,30.75
2019-12-18,30.355
2019-12-19,30.33
2019-12-20,30.64
2019-12-23,30.34
2019-12-24,30.295
2019-12-27,30.015
2019-12-30,29.745
2019-12-31,29.54
2020-01-02,30.03
2020-01-03,29.935
2020-01-06,29.835
2020-01-07,30.19
2020-01-08,30.16
2020-01-09,30.35
2020-01-10,30.08
2020-01-13,30.02
2020-01-14,30.12
2020-01-15,30.025
2020-01-16,30.6
2020-01-17,30.235
2020-01-20,30.385
2020-01-21,30.22
2020-01-22,30.31
2020-01-23,30.87
2020-01-24,30.425
2020-01-27,29.86
2020-01-28,30.03
2020-01-29,30.01
2020-01-30,29.69
2020-01-31,29.295
2020-02-03,29.49
2020-02-04,30.0
2020-02-05,30.355
2020-02-06,30.595
2020-02-07,30.46
2020-02-10,30.41
2020-02-11,30.61
2020-02-12,30.46
2020-02-13,30.35
2020-02-14,30.065
2020-02-17,30.015
2020-02-18,29.785
2020-02-19,29.845
2020-02-20,29.41
2020-02-21,29.24
2020-02-24,28.295
2020-02-25,28.23
2020-02-26,28.52
2020-02-27,27.46
2020-02-28,26.62
2020-03-02,26.605
2020-03-03,26.69
2020-03-04,27.0
2020-03-05,26.62
2020-03-06,25.86
2020-03-09,24.6
2020-03-10,24.68
2020-03-11,24.855
2020-03-12,22.13
2020-03-13,22.805
2020-03-16,21.885
2020-03-17,23.235
2020-03-18,22.74
2020-03-19,24.08
2020-03-20,24.395
2020-03-23,23.405
2020-03-24,25.045
2020-03-25,25.195
2020-03-26,25.51
2020-03-27,25.715
2020-03-30,25.925
2020-03-31,25.38
2020-04-01,24.41
2020-04-02,24.44
2020-04-03,24.165
2020-04-06,25.405
2020-04-07,26.11
2020-04-08,25.625
2020-04-09,25.79
2020-04-14,25.86
2020-04-15,25.74
2020-04-16,25.65
2020-04-17,25.755
2020-04-20,25.83
2020-04-21,25.395
2020-04-22,25.84
2020-04-23,26.27
2020-04-24,26.045
2020-04-27,26.415
2020-04-28,26.79
2020-04-29,27.32
2020-04-30,26.11
2020-05-04,25.33
2020-05-05,26.11
2020-05-06,26.02
2020-05-07,26.235
2020-05-08,26.59
2020-05-11,27.02
2020-05-12,26.78
2020-05-13,26.645
2020-05-14,26.06
2020-05-15,26.59
2020-05-18,26.59
2020-05-19,26.54
2020-05-20,26.745
2020-05-21,26.34
2020-05-22,26.5
2020-05-25,27.06
2020-05-26,27.21
2020-05-27,27.315
2020-05-28,27.65
2020-05-29,27.0
2020-06-01,27.235
2020-06-02,27.355
2020-06-03,27.545
2020-06-04,27.09
2020-06-05,27.67
2020-06-08,27.685
2020-06-09,27.605
2020-06-10,27.6
2020-06-11,26.69
2020-06-12,27.04
2020-06-15,26.8
2020-06-16,27.5
2020-06-17,27.61
2020-06-18,27.485
2020-06-19,27.595
2020-06-22,27.265
2020-06-23,27.44
2020-06-24,26.835
2020-06-25,26.985
2020-06-26,26.995
2020-06-29,26.9
2020-06-30,26.825
2020-07-01,26.38
2020-07-02,26.835
2020-07-03,26.485
2020-07-06,26.955
2020-07-07,26.755
2020-07-08,26.335
2020-07-09,26.34
2020-07-10,26.635
2020-07-13,26.88
2020-07-14,26.61
2020-07-15,27.125
2020-07-16,26.89
2020-07-17,26.815
2020-07-20,26.79
2020-07-21,26.62
2020-07-22,26.29
2020-07-23,26.365
2020-07-24,26.14
2020-07-27,26.29
2020-07-28,26.23
2020-07-29,25.725
2020-07-30,25.355
2020-07-31,24.775
2020-08-03,25.28
2020-08-04,25.585
2020-08-05,25.525
2020-08-06,25.445
2020-08-07,25.53
2020-08-10,25.67
2020-08-11,26.185
2020-08-12,26.69
2020-08-13,26.495
2020-08-14,26.395
2020-08-17,26.42
2020-08-18,26.335
2020-08-19,26.51
2020-08-20,26.365
2020-08-21,26.365
2020-08-24,26.575
2020-08-25,26.6
2020-08-26,26.67
2020-08-27,26.55
2020-08-28,26.36
2020-08-31,25.94
2020-09-01,25.91
2020-09-02,26.295
2020-09-03,25.995
2020-09-04,26.18
2020-09-07,26.185
2020-09-08,26.2
2020-09-09,26.135
2020-09-10,26.245
2020-09-11,26.525
2020-09-14,26.655
2020-09-15,26.66
2020-09-16,26.76
2020-09-17,26.665
2020-09-18,26.58
2020-09-21,26.19
2020-09-22,26.335
2020-09-23,26.8
2020-09-24,26.675
2020-09-25,26.595
2020-09-28,27.045
2020-09-29,26.935
2020-09-30,26.58
2020-10-01,26.69
2020-10-02,26.585
2020-10-05,26.68
2020-10-06,26.725
2020-10-07,26.805
2020-10-08,26.785
2020-10-09,26.63
2020-10-12,26.64
2020-10-13,26.7
2020-10-14,26.725
2020-10-15,26.525
2020-10-16,26.56
2020-10-19,26.625
2020-10-20,26.215
2020-10-21,26.515
2020-10-22,26.46
2020-10-23,26.52
2020-10-26,26.425
2020-10-27,26.455
2020-10-28,26.26
2020-10-29,26.675
2020-10-30,26.575
2020-11-02,26.74
2020-11-03,27.08
2020-11-04,27.085
2020-11-05,27.19
2020-11-06,27.22
2020-11-09,28.38
2020-11-10,28.5
2020-11-11,28.525
2020-11-12,28.115
2020-11-13,28.15
2020-11-16,28.77
2020-11-17,28.645
2020-11-18,28.63
2020-11-19,28.61
2020-11-20,28.815
2020-11-23,29.13
2020-11-24,29.37
2020-11-25,28.845
2020-11-26,28.9
2020-11-27,29.025
2020-11-30,28.34
2020-12-01,28.62
2020-12-02,28.5
2020-12-03,28.55
2020-12-04,28.785
2020-12-07,28.5
2020-12-08,28.38
2020-12-09,28.75
2020-12-10,28.76
2020-12-11,28.745
2020-12-14,28.945
2020-12-15,28.94
2020-12-16,29.115
2020-12-17,28.9
2020-12-18,29.035
2020-12-21,28.375
2020-12-22,28.71
2020-12-23,28.585
2020-12-24,28.535
2020-12-28,28.855
2020-12-29,29.135
2020-12-30,29.075
2020-12-31,29.12
2021-01-04,28.855
2021-01-05,28.85
2021-01-06,29.365
2021-01-07,29.48
2021-01-08,29.855
2021-01-11,29.925
2021-01-12,29.87
2021-01-13,30.02
2021-01-14,30.485
2021-01-15,30.105
2021-01-18,30.12
2021-01-19,29.955
2021-01-20,30.215
2021-01-21,30.05
2021-01-22,29.875
2021-01-25,29.91
2021-01-26,30.06
2021-01-27,29.68
2021-01-28,29.81
2021-01-29,29.35
2021-02-01,29.545
2021-02-02,29.87
2021-02-03,30.415
2021-02-04,30.44
2021-02-05,30.865
2021-02-08,31.355
2021-02-09,31.055
2021-02-10,31.2
2021-02-11,31.335
2021-02-12,31.665
2021-02-15,31.775
2021-02-16,31.7
2021-02-17,31.71
2021-02-18,31.245
2021-02-19,31.355
2021-02-22,31.34
2021-02-23,31.055
2021-02-24,31.015
2021-02-25,30.675
2021-02-26,30.2
2021-03-01,30.825
2021-03-02,30.3
2021-03-03,30.63
2021-03-04,30.63
2021-03-05,30.62
2021-03-08,31.135
2021-03-09,31.36
2021-03-10,31.415
2021-03-11,31.26
2021-03-12,31.325
2021-03-15,31.6
2021-03-16,32.085
2021-03-17,31.91
2021-03-18,32.385
2021-03-19,32.48
2021-03-22,32.4
2021-03-23,32.345
2021-03-24,32.035
2021-03-25,32.365
2021-03-26,32.62
2021-03-29,32.55
2021-03-30,32.43
2021-03-31,31.95
2021-04-01,31.855
2021-04-06,31.695
2021-04-07,31.67
2021-04-08,31.805
2021-04-09,31.725
2021-04-12,31.525
2021-04-13,31.49
2021-04-14,31.525
2021-04-15,31.68
2021-04-16,31.59
2021-04-19,31.365
2021-04-20,30.56
2021-04-21,30.63
2021-04-22,30.89
2021-04-23,30.895
2021-04-26,30.79
2021-04-27,30.41
2021-04-28,30.385
2021-04-29,30.22
2021-04-30,30.65
2021-05-03,30.575
2021-05-04,30.295
2021-05-05,30.815
2021-05-06,30.825
2021-05-07,30.945
2021-05-10,31.145
2021-05-11,30.505
2021-05-12,29.935
2021-05-13,29.79
2021-05-14,30.19
2021-05-17,29.905
2021-05-18,30.18
2021-05-19,29.825
2021-05-20,30.24
2021-05-21,30.335
2021-05-24,30.49
2021-05-25,30.215
2021-05-26,30.325
2021-05-27,30.39
2021-05-28,30.66
2021-05-31,30.35
2021-06-01,30.35
2021-06-02,30.635
2021-06-03,30.785
2021-06-04,31.135
2021-06-07,31.09
2021-06-08,31.105
2021-06-09,31.14
2021-06-10,31.1
2021-06-11,31.235
2021-06-14,31.0
2021-06-15,31.11
2021-06-16,31.305
2021-06-17,31.59
2021-06-18,30.91
2021-06-21,30.985
2021-06-22,31.215
2021-06-23,30.805
2021-06-24,31.09
2021-06-25,31.255
2021-06-28,31.215
2021-06-29,31.29
2021-06-30,31.01
2021-07-01,31.07
2021-07-02,31.235
2021-07-05,31.35
2021-07-06,31.215
2021-07-07,31.38
2021-07-08,30.92
2021-07-09,31.58
2021-07-12,31.68
2021-07-13,31.84
2021-07-14,31.985
2021-07-15,31.76
2021-07-16,31.585
2021-07-19,31.125
2021-07-20,31.505
2021-07-21,31.55
2021-07-22,31.775
2021-07-23,31.98
2021-07-26,31.635
2021-07-27,31.43
2021-07-28,31.705
2021-07-29,31.64
2021-07-30,31.36
2021-08-02,31.785
2021-08-03,31.79
2021-08-04,31.76
2021-08-05,31.805
2021-08-06,31.87
2021-08-09,31.86
2021-08-10,31.835
2021-08-11,32.285
2021-08-12,32.295
2021-08-13,32.235
2021-08-16,32.03
2021-08-17,32.045
2021-08-18,32.06
2021-08-19,31.59
2021-08-20,31.535
2021-08-23,31.88
2021-08-24,32.0
2021-08-25,31.755
2021-08-26,31.72
2021-08-27,31.825
2021-08-30,31.82
2021-08-31,31.915
2021-09-01,32.205
2021-09-02,32.29
2021-09-03,33.05
2021-09-06,33.63
2021-09-07,33.325
2021-09-08,33.415
2021-09-09,33.66
2021-09-10,33.78
2021-09-13,34.02
2021-09-14,33.98
2021-09-15,34.045
2021-09-16,34.375
2021-09-17,34.16
2021-09-20,33.655
2021-09-21,33.92
2021-09-22,33.83
2021-09-23,33.875
2021-09-24,33.77
2021-09-27,33.885
2021-09-28,33.26
2021-09-29,33.82
2021-09-30,33.24
2021-10-01,32.985
2021-10-04,32.235
2021-10-05,32.75
2021-10-06,32.47
2021-10-07,32.925
2021-10-08,32.615
2021-10-11,32.925
2021-10-12,32.735
2021-10-13,32.49
2021-10-14,32.67
2021-10-15,32.905
2021-10-18,32.75
2021-10-19,32.6
2021-10-20,32.98
2021-10-21,32.365
2021-10-22,32.465
2021-10-25,32.555
2021-10-26,32.71
2021-10-27,32.535
2021-10-28,32.405
2021-10-29,32.635
2021-11-01,32.945
2021-11-02,32.945
2021-11-03,32.88
2021-11-04,33.155
2021-11-05,32.97
2021-11-08,33.03
2021-11-09,32.87
2021-11-10,32.575
2021-11-11,32.8
2021-11-12,33.205
2021-11-15,33.25
2021-11-16,33.485
2021-11-17,33.34
2021-11-18,33.285
2021-11-19,33.495
2021-11-22,33.61
2021-11-23,33.37
2021-11-24,33.565
2021-11-25,33.525
2021-11-26,32.445
2021-11-29,32.585
2021-11-30,31.935
2021-12-01,32.645
2021-12-02,32.22
2021-12-03,32.575
2021-12-06,32.74
2021-12-07,33.56
2021-12-08,33.08
2021-12-09,33.025
2021-12-10,33.035
2021-12-13,32.845
2021-12-14,32.84
2021-12-15,33.16
2021-12-16,33.41
2021-12-17,33.355
2021-12-20,32.825
2021-12-21,33.085
2021-12-22,32.915
2021-12-23,33.09
2021-12-24,32.835
2021-12-27,32.9
2021-12-28,33.045
2021-12-29,32.915
2021-12-30,33.02
2021-12-31,32.765
2022-01-03,33.005
2022-01-04,33.07
2022-01-05,33.38
2022-01-06,33.17
2022-01-07,32.88
2022-01-10,32.87
2022-01-11,33.255
2022-01-12,33.465
2022-01-13,33.57
2022-01-14,33.45
2022-01-17,33.535
2022-01-18,33.155
2022-01-19,32.99
2022-01-20,33.21
2022-01-21,33.01
2022-01-24,32.495
2022-01-25,32.825
2022-01-26,32.83
2022-01-27,32.83
2022-01-28,32.445
2022-01-31,32.57
2022-02-01,32.665
2022-02-02,33.08
2022-02-03,32.525
2022-02-04,32.93
2022-02-07,32.985
2022-02-08,33.21
2022-02-09,33.36
2022-02-10,32.965
2022-02-11,32.925
2022-02-14,33.12
2022-02-15,33.41
2022-02-16,33.175
2022-02-17,33.12
2022-02-18,33.055
2022-02-21,32.745
2022-02-22,32.8
2022-02-23,32.69
2022-02-24,32.165
2022-02-25,32.69
2022-02-28,32.985
2022-03-01,32.63
2022-03-02,32.305
2022-03-03,32.475
2022-03-04,32.615
2022-03-07,32.29
2022-03-08,31.34
2022-03-09,31.905
2022-03-10,31.79
2022-03-11,31.98
2022-03-14,31.875
2022-03-15,32.29
2022-03-16,32.57
2022-03-17,32.435
2022-03-18,32.95
2022-03-21,33.145
2022-03-22,33.2
2022-03-23,33.105
2022-03-24,33.145
2022-03-25,33.19
2022-03-28,32.85
2022-03-29,33.1
2022-03-30,32.9
2022-03-31,32.79
2022-04-01,32.62
2022-04-04,33.05
2022-04-05,32.485
2022-04-06,31.895
2022-04-07,31.805
2022-04-08,31.93
2022-04-11,31.49
2022-04-12,31.45
2022-04-13,31.405
2022-04-14,31.68
2022-04-19,31.155
2022-04-20,31.43
2022-04-21,31.455
2022-04-22,31.15
2022-04-25,31.205
2022-04-26,31.17
2022-04-27,31.435
2022-04-28,31.835
2022-04-29,32.25
2022-05-02,31.665
2022-05-03,32.01
2022-05-04,31.655
2022-05-05,31.705
2022-05-06,31.705
2022-05-09,31.25
2022-05-10,31.245
2022-05-11,31.19
2022-05-12,31.65
2022-05-13,31.715
2022-05-16,31.53
2022-05-17,31.3
2022-05-18,31.435
2022-05-19,31.355
2022-05-20,31.61
2022-05-23,31.685
2022-05-24,31.325
2022-05-25,31.57
2022-05-26,31.705
2022-05-27,31.945
2022-05-30,31.735
2022-05-31,31.42
2022-06-01,31.81
2022-06-02,32.165
2022-06-03,31.39
2022-06-07,31.515
2022-06-08,31.19
2022-06-09,31.34
2022-06-10,30.995
2022-06-13,30.705
2022-06-14,30.54
2022-06-15,30.695
2022-06-16,30.365
