,ALOSM FP Equity_DX_SI_QTY,ALOSM FP Equity_DX_SHORT_INTEREST_VALUE,ALOSM FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,ALOSM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,ALOSM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,ALOSM FP Equity_DX_SI_MV,ALOSM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,ALOSM FP Equity_DX_SUPPLY_SI_QTY,ALOSM FP Equity_DX_BROKER_SI_QTY,ALOSM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,ALOSM FP Equity_DX_SUPPLY_SI_MV,ALOSM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,ALOSM FP Equity_DX_UTILIZATION_QUANTITY,ALOSM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,ALOSM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,ALOSM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,ALOSM FP Equity_DX_ACTIVE_UTILIZATION_MV,ALOSM FP Equity_DX_BROKER_SI_CON_RATIO,ALOSM FP Equity_DX_DEMAND_SUPPLY_RATIO,ALOSM FP Equity_PX_LAST
2018-05-31,,,,,,,,,,,,,,,,,,,,7.94
2018-06-01,,,,,,,,,,,,,,,,,,,,7.94
2018-06-04,,,,,,,,,,,,,,,,,,,,7.8
2018-06-05,,,,,,,,,,,,,,,,,,,,8.08
2018-06-06,,,,,,,,,,,,,,,,,,,,8.08
2018-06-07,,,,,,,,,,,,,,,,,,,,8.1
2018-06-08,,,,,,,,,,,,,,,,,,,,8.1
2018-06-11,,,,,,,,,,,,,,,,,,,,8.0
2018-06-12,,,,,,,,,,,,,,,,,,,,7.96
2018-06-13,,,,,,,,,,,,,,,,,,,,8.24
2018-06-14,,,,,,,,,,,,,,,,,,,,8.0
2018-06-15,,,,,,,,,,,,,,,,,,,,8.0
2018-06-18,,,,,,,,,,,,,,,,,,,,8.0
2018-06-19,,,,,,,,,,,,,,,,,,,,7.9
2018-06-20,,,,,,,,,,,,,,,,,,,,7.9
2018-06-21,,,,,,,,,,,,,,,,,,,,7.9
2018-06-22,,,,,,,,,,,,,,,,,,,,7.76
2018-06-25,,,,,,,,,,,,,,,,,,,,7.48
2018-06-26,,,,,,,,,,,,,,,,,,,,7.74
2018-06-27,,,,,,,,,,,,,,,,,,,,7.46
2018-06-28,,,,,,,,,,,,,,,,,,,,7.48
2018-06-29,,,,,,,,,,,,,,,,,,,,7.24
2018-07-02,,,,,,,,,,,,,,,,,,,,7.12
2018-07-03,,,,,,,,,,,,,,,,,,,,7.22
2018-07-04,,,,,,,,,,,,,,,,,,,,7.1
2018-07-05,,,,,,,,,,,,,,,,,,,,7.1
2018-07-06,,,,,,,,,,,,,,,,,,,,7.2
2018-07-09,,,,,,,,,,,,,,,,,,,,7.24
2018-07-10,,,,,,,,,,,,,,,,,,,,7.04
2018-07-11,,,,,,,,,,,,,,,,,,,,7.06
2018-07-12,,,,,,,,,,,,,,,,,,,,7.14
2018-07-13,,,,,,,,,,,,,,,,,,,,7.16
2018-07-16,,,,,,,,,,,,,,,,,,,,7.16
2018-07-17,,,,,,,,,,,,,,,,,,,,7.14
2018-07-18,,,,,,,,,,,,,,,,,,,,7.16
2018-07-19,,,,,,,,,,,,,,,,,,,,7.14
2018-07-20,,,,,,,,,,,,,,,,,,,,7.16
2018-07-23,,,,,,,,,,,,,,,,,,,,7.16
2018-07-24,,,,,,,,,,,,,,,,,,,,7.14
2018-07-25,,,,,,,,,,,,,,,,,,,,7.38
2018-07-26,,,,,,,,,,,,,,,,,,,,7.32
2018-07-27,,,,,,,,,,,,,,,,,,,,7.32
2018-07-30,,,,,,,,,,,,,,,,,,,,7.32
2018-07-31,,,,,,,,,,,,,,,,,,,,7.32
2018-08-01,,,,,,,,,,,,,,,,,,,,7.32
2018-08-02,,,,,,,,,,,,,,,,,,,,7.3
2018-08-03,,,,,,,,,,,,,,,,,,,,7.3
2018-08-06,,,,,,,,,,,,,,,,,,,,7.3
2018-08-07,,,,,,,,,,,,,,,,,,,,7.14
2018-08-08,,,,,,,,,,,,,,,,,,,,7.16
2018-08-09,,,,,,,,,,,,,,,,,,,,7.16
2018-08-10,,,,,,,,,,,,,,,,,,,,7.14
2018-08-13,,,,,,,,,,,,,,,,,,,,7.14
2018-08-14,,,,,,,,,,,,,,,,,,,,7.38
2018-08-15,,,,,,,,,,,,,,,,,,,,7.34
2018-08-16,,,,,,,,,,,,,,,,,,,,7.34
2018-08-17,,,,,,,,,,,,,,,,,,,,7.34
2018-08-20,,,,,,,,,,,,,,,,,,,,7.34
2018-08-21,,,,,,,,,,,,,,,,,,,,7.34
2018-08-22,,,,,,,,,,,,,,,,,,,,7.34
2018-08-23,,,,,,,,,,,,,,,,,,,,7.1
2018-08-24,,,,,,,,,,,,,,,,,,,,6.78
2018-08-27,,,,,,,,,,,,,,,,,,,,6.78
2018-08-28,,,,,,,,,,,,,,,,,,,,6.76
2018-08-29,,,,,,,,,,,,,,,,,,,,6.78
2018-08-30,,,,,,,,,,,,,,,,,,,,6.7
2018-08-31,,,,,,,,,,,,,,,,,,,,6.52
2018-09-03,,,,,,,,,,,,,,,,,,,,6.62
2018-09-04,,,,,,,,,,,,,,,,,,,,6.62
2018-09-05,,,,,,,,,,,,,,,,,,,,6.62
2018-09-06,,,,,,,,,,,,,,,,,,,,6.64
2018-09-07,,,,,,,,,,,,,,,,,,,,6.6
2018-09-10,,,,,,,,,,,,,,,,,,,,6.7
2018-09-11,,,,,,,,,,,,,,,,,,,,6.6
2018-09-12,,,,,,,,,,,,,,,,,,,,6.62
2018-09-13,,,,,,,,,,,,,,,,,,,,6.52
2018-09-14,,,,,,,,,,,,,,,,,,,,6.6
2018-09-17,,,,,,,,,,,,,,,,,,,,6.48
2018-09-18,,,,,,,,,,,,,,,,,,,,6.54
2018-09-19,,,,,,,,,,,,,,,,,,,,6.22
2018-09-20,,,,,,,,,,,,,,,,,,,,6.0
2018-09-21,,,,,,,,,,,,,,,,,,,,6.1
2018-09-24,,,,,,,,,,,,,,,,,,,,6.08
2018-09-25,,,,,,,,,,,,,,,,,,,,6.0
2018-09-26,,,,,,,,,,,,,,,,,,,,6.02
2018-09-27,,,,,,,,,,,,,,,,,,,,5.74
2018-09-28,,,,,,,,,,,,,,,,,,,,5.36
2018-10-01,,,,,,,,,,,,,,,,,,,,5.4
2018-10-02,,,,,,,,,,,,,,,,,,,,5.52
2018-10-03,,,,,,,,,,,,,,,,,,,,5.36
2018-10-04,,,,,,,,,,,,,,,,,,,,5.34
