,CHINU FP Equity_PX_LAST
2024-02-06,4.5373
2024-02-07,4.4902
2024-02-08,4.3984
2024-02-09,4.4493
2024-02-12,4.5826
2024-02-13,4.4404
2024-02-14,4.5019
2024-02-15,4.4859
2024-02-16,4.6344
2024-02-19,4.5403
2024-02-20,4.571
2024-02-21,4.6613
2024-02-22,4.7191
2024-02-23,4.7229
2024-02-26,4.725
2024-02-27,4.8541
2024-02-28,4.7244
2024-02-29,4.7156
2024-03-01,4.8445
2024-03-04,4.7552
2024-03-05,4.6946
2024-03-06,4.7825
2024-03-07,4.6951
2024-03-08,4.6885
2024-03-11,4.8481
2024-03-12,4.9225
2024-03-13,4.9628
2024-03-14,4.8403
2024-03-15,4.8144
2024-03-18,4.8253
2024-03-19,4.7747
2024-03-20,4.7906
2024-03-21,4.7608
2024-03-22,4.7346
2024-03-25,4.717
2024-03-26,4.7759
2024-03-27,4.7158
2024-03-28,4.7623
2024-04-02,4.8202
2024-04-03,4.7981
2024-04-04,4.832
2024-04-05,4.7569
2024-04-08,4.7915
2024-04-09,4.8212
2024-04-10,4.8161
2024-04-11,4.7447
2024-04-12,4.7081
2024-04-15,4.7203
2024-04-16,4.6389
2024-04-17,4.6143
2024-04-18,4.6296
2024-04-19,4.6577
2024-04-22,4.6986
2024-04-23,4.7808
2024-04-24,4.8576
2024-04-25,4.8705
2024-04-26,4.9985
2024-04-29,5.0432
2024-04-30,4.9797
2024-05-02,5.2211
2024-05-03,5.2441
2024-05-06,5.3005
2024-05-07,5.2145
2024-05-08,5.1453
2024-05-09,5.246
2024-05-10,5.2552
2024-05-13,5.3768
2024-05-14,5.3653
2024-05-15,5.4293
2024-05-16,5.4488
2024-05-17,5.4896
2024-05-20,5.3943
2024-05-21,5.315
2024-05-22,5.2676
2024-05-23,5.221
2024-05-24,5.1039
2024-05-27,5.1457
2024-05-28,5.1343
2024-05-29,5.0496
2024-05-30,5.0753
2024-05-31,4.9397
2024-06-03,4.9856
2024-06-04,5.024
2024-06-05,5.0602
2024-06-06,5.0656
2024-06-07,4.9658
2024-06-10,4.9798
2024-06-11,4.9127
2024-06-12,4.9345
2024-06-13,4.9529
2024-06-14,4.9297
2024-06-17,4.9326
2024-06-18,4.9853
2024-06-19,5.0774
2024-06-20,4.9723
2024-06-21,4.9237
2024-06-24,4.9936
2024-06-25,4.9216
2024-06-26,4.9427
2024-06-27,4.8627
2024-06-28,4.8818
2024-07-01,4.8924
2024-07-02,4.9062
2024-07-03,4.9744
2024-07-04,4.9899
2024-07-05,4.8736
2024-07-08,4.8304
2024-07-09,4.8726
2024-07-10,4.907
2024-07-11,5.0186
2024-07-12,5.0785
2024-07-15,4.9812
2024-07-16,4.963
2024-07-17,4.9415
2024-07-18,4.9148
2024-07-19,4.8686
2024-07-22,4.9638
2024-07-23,4.8638
2024-07-24,4.8308
2024-07-25,4.7583
2024-07-26,4.7379
2024-07-29,4.71
2024-07-30,4.6539
2024-07-31,4.7598
2024-08-01,4.7068
2024-08-02,4.6379
2024-08-05,4.6653
2024-08-06,4.6141
2024-08-07,4.655
2024-08-08,4.7047
2024-08-09,4.7089
2024-08-12,4.7448
2024-08-13,4.7376
2024-08-14,4.6809
2024-08-15,4.7133
2024-08-16,4.7801
2024-08-19,4.8617
2024-08-20,4.7584
2024-08-21,4.804
2024-08-22,4.7213
2024-08-23,4.7831
2024-08-26,4.7651
2024-08-27,4.7877
2024-08-28,4.7262
2024-08-29,4.7455
2024-08-30,4.7557
2024-09-02,4.7674
2024-09-03,4.7876
2024-09-04,4.7687
2024-09-05,4.7646
2024-09-06,4.7128
2024-09-09,4.6713
2024-09-10,4.6657
2024-09-11,4.6819
2024-09-12,4.6773
2024-09-13,4.7424
2024-09-16,4.7687
2024-09-17,4.8016
2024-09-18,4.8037
2024-09-19,4.919
2024-09-20,4.9635
2024-09-23,5.0295
2024-09-24,5.3031
2024-09-25,5.3939
2024-09-26,5.7097
2024-09-27,5.9303
2024-09-30,6.0343
2024-10-01,6.0558
2024-10-02,6.3572
2024-10-03,6.4853
2024-10-04,6.6428
2024-10-07,6.7832
2024-10-08,6.1153
2024-10-09,6.0021
2024-10-10,6.0473
2024-10-11,6.0755
2024-10-14,6.08
2024-10-15,5.6497
2024-10-16,5.7791
2024-10-17,5.5096
2024-10-18,5.83
2024-10-21,5.7024
2024-10-22,5.8533
2024-10-23,5.8776
2024-10-24,5.758
2024-10-25,5.8363
2024-10-28,5.9112
2024-10-29,5.888
2024-10-30,5.7707
2024-10-31,5.681
2024-11-01,5.7825
2024-11-04,5.9106
2024-11-05,5.9886
2024-11-06,5.8572
2024-11-07,6.1397
2024-11-08,5.8604
2024-11-11,5.8096
2024-11-12,5.6713
2024-11-13,5.6505
2024-11-14,5.5846
2024-11-15,5.5789
2024-11-18,5.6965
2024-11-19,5.6683
2024-11-20,5.6773
2024-11-21,5.5791
2024-11-22,5.4758
2024-11-25,5.5094
2024-11-26,5.4828
2024-11-27,5.6037
2024-11-28,5.4636
2024-11-29,5.5914
2024-12-02,5.5807
2024-12-03,5.6285
2024-12-04,5.5809
2024-12-05,5.5868
2024-12-06,5.6543
2024-12-09,6.1093
2024-12-10,5.8269
2024-12-11,5.7687
2024-12-12,5.7317
2024-12-13,5.663
2024-12-16,5.6219
2024-12-17,5.6866
2024-12-18,5.687
2024-12-19,5.6063
2024-12-20,5.7068
2024-12-23,5.6986
2024-12-24,5.7475
2024-12-27,5.7156
2024-12-30,5.6574
2024-12-31,5.6424
2025-01-02,5.5865
2025-01-03,5.5716
2025-01-06,5.4895
2025-01-07,5.4835
2025-01-08,5.415
2025-01-09,5.4223
2025-01-10,5.2563
2025-01-13,5.286
2025-01-14,5.3646
2025-01-15,5.4523
2025-01-16,5.4789
2025-01-17,5.5584
2025-01-20,5.6661
2025-01-21,5.594
2025-01-22,5.5457
2025-01-23,5.585
2025-01-24,5.733
2025-01-27,5.7881
2025-01-28,5.7443
2025-01-29,5.891
2025-01-30,5.9687
2025-01-31,5.9359
2025-02-03,5.7918
2025-02-04,6.0092
2025-02-05,5.8591
2025-02-06,5.9502
2025-02-07,6.0335
2025-02-10,6.1573
2025-02-11,6.1572
2025-02-12,6.2254
2025-02-13,6.2038
2025-02-14,6.3827
2025-02-17,6.4482
2025-02-18,6.461
2025-02-19,6.4681
2025-02-20,6.5601
2025-02-21,6.7471
2025-02-24,6.4186
2025-02-25,6.509
2025-02-26,6.6674
2025-02-27,6.6618
2025-02-28,6.407
2025-03-03,6.4249
2025-03-04,6.3854
2025-03-05,6.6226
2025-03-06,6.8661
2025-03-07,6.8066
2025-03-10,6.6345
2025-03-11,6.7129
2025-03-12,6.6448
2025-03-13,6.7182
2025-03-14,6.874
2025-03-17,7.0487
2025-03-18,6.9952
2025-03-19,7.0361
2025-03-20,6.8173
2025-03-21,6.7166
2025-03-24,6.7089
2025-03-25,6.6412
2025-03-26,6.6575
2025-03-27,6.7816
2025-03-28,6.5892
2025-03-31,6.5332
2025-04-01,6.6013
2025-04-02,6.5397
2025-04-03,6.459
2025-04-04,6.0202
2025-04-07,5.6011
2025-04-08,5.6514
2025-04-09,5.5757
2025-04-10,5.8129
2025-04-11,5.8527
2025-04-14,6.1161
2025-04-15,6.0764
2025-04-16,5.9871
2025-04-17,5.9723
2025-04-22,6.0744
2025-04-23,6.2648
2025-04-24,6.2534
2025-04-25,6.23
2025-04-28,6.1996
2025-04-29,6.2337
2025-04-30,6.1998
2025-05-02,6.4056
2025-05-05,6.4616
2025-05-06,6.5214
2025-05-07,6.3752
2025-05-08,6.422
2025-05-09,6.399
2025-05-12,6.628
2025-05-13,6.584
2025-05-14,6.7143
2025-05-15,6.5338
2025-05-16,6.5518
2025-05-19,6.5751
2025-05-20,6.6247
2025-05-21,6.6504
2025-05-22,6.556
2025-05-23,6.5577
2025-05-26,6.5052
2025-05-27,6.4785
2025-05-28,6.4629
2025-05-29,6.4766
2025-05-30,6.369
2025-06-02,6.3522
2025-06-03,6.4702
2025-06-04,6.5905
2025-06-05,6.631
2025-06-06,6.5698
2025-06-09,6.6846
2025-06-10,6.667
2025-06-11,6.7467
2025-06-12,6.7036
2025-06-13,6.6236
2025-06-16,6.7038
2025-06-17,6.6456
2025-06-18,6.5757
2025-06-19,6.4467
2025-06-20,6.5132
2025-06-23,6.5614
2025-06-24,6.7373
2025-06-25,6.7496
2025-06-26,6.7878
2025-06-27,6.7162
2025-06-30,6.6824
2025-07-01,6.7052
2025-07-02,6.6807
2025-07-03,6.6573
2025-07-04,6.6452
2025-07-07,6.7103
2025-07-08,6.7113
2025-07-09,6.6255
2025-07-10,6.6696
2025-07-11,6.6968
2025-07-14,6.7417
2025-07-15,6.8362
2025-07-16,6.853
2025-07-17,6.9104
2025-07-18,7.0031
2025-07-21,7.052
2025-07-22,7.084
2025-07-23,7.1756
2025-07-24,7.1915
2025-07-25,7.1336
2025-07-28,7.1455
2025-07-29,7.142
2025-07-30,7.0507
2025-07-31,7.0211
2025-08-01,6.8554
2025-08-04,6.9632
2025-08-05,7.0328
2025-08-06,7.0438
2025-08-07,7.0512
2025-08-08,7.0453
2025-08-11,7.0173
2025-08-12,7.0953
2025-08-13,7.3135
2025-08-14,7.1892
2025-08-15,7.2399
2025-08-18,7.2718
2025-08-19,7.2438
2025-08-20,7.2367
2025-08-21,7.2846
2025-08-22,7.4647
2025-08-25,7.5259
2025-08-26,7.5
2025-08-27,7.2676
2025-08-28,7.3279
2025-08-29,7.4263
