,LOUP FP Equity_DX_SI_QTY,LOUP FP Equity_DX_SHORT_INTEREST_VALUE,LOUP FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,LOUP FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,LOUP FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,LOUP FP Equity_DX_SI_MV,LOUP FP Equity_DX_DSS,LOUP FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,LOUP FP Equity_DX_SUPPLY_SI_QTY,LOUP FP Equity_DX_BROKER_SI_QTY,LOUP FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,LOUP FP Equity_DX_BROKER_SI_MV_NEW_x,LOUP FP Equity_DX_SUPPLY_SI_QTY_NEW_x,LOUP FP Equity_DX_SUPPLY_SI_QTY_INC_x,LOUP FP Equity_DX_BROKER_SI_MV_INC_x,LOUP FP Equity_DX_SUPPLY_SI_MV_NEW,LOUP FP Equity_DX_BROKER_SI_QTY_ADD,LOUP FP Equity_DX_BROKER_SI_QTY_NEW,LOUP FP Equity_DX_SUPPLY_SI_MV_DEC,LOUP FP Equity_DX_BROKER_SI_QTY_INC,LOUP FP Equity_DX_SUPPLY_SI_QTY_DEC,LOUP FP Equity_DX_BROKER_SI_MV_NEW_y,LOUP FP Equity_DX_SUPPLY_SI_QTY_NEW_y,LOUP FP Equity_DX_BROKER_SI_MV_INC_y,LOUP FP Equity_DX_SUPPLY_SI_QTY_INC_y,LOUP FP Equity_DX_BROKER_SI_MV_ADD,LOUP FP Equity_DX_SUPPLY_SI_QTY_ADD,LOUP FP Equity_DX_BROKER_SI_QTY_DEC,LOUP FP Equity_DX_SUPPLY_SI_MV,LOUP FP Equity_DX_BROKER_SI_MV_DEC,LOUP FP Equity_DX_SUPPLY_SI_MV_RMV,LOUP FP Equity_DX_BROKER_SI_MV_RMV,LOUP FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,LOUP FP Equity_DX_UTILIZATION_QUANTITY,LOUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,LOUP FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,LOUP FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,LOUP FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,LOUP FP Equity_DX_ACTIVE_UTILIZATION_MV,LOUP FP Equity_DX_BROKER_SI_MARKET_SHARE_2,LOUP FP Equity_DX_BROKER_SI_CON_RATIO,LOUP FP Equity_DX_BROKER_SI_MARKET_SHARE_1,LOUP FP Equity_DX_DEMAND_SUPPLY_RATIO
2006-05-03,43693.0,2428511.69,2.1,6.68,0.54,3.01,0.0,1724853.03,14970.0,31033.0,832051.36,,1964.0,,,0.14,,,0.06,,925.0,,1964.0,,,,,4.0,1.03,0.0,,,78.66,53.17,4062.0,225771.05,,0.0,137.08,25.35,0.5253,67.75,1.5519
2006-05-10,43648.0,2424252.56,2.1,7.94,0.54,3.0,0.0,1722547.86,14945.0,31014.0,830059.9,,,15.0,,,,,0.0,,40.0,,,,15.0,,,19.0,1.02,0.0,,,78.34,53.0,4131.0,229439.78,,0.0,137.12,25.09,0.5278,68.03,1.5479
2006-05-17,45663.0,2486510.97,2.2,9.23,0.56,3.11,0.0,1688984.76,16956.0,31017.0,923313.84,,,2013.0,0.0,,,,0.0,3.0,2.0,,,0.0,2013.0,,,,1.15,,,,80.78,57.98,4035.0,219719.94,,0.0,131.48,24.03,0.4844,65.03,1.5614
2006-05-24,45362.0,2338575.59,2.18,11.6,0.56,2.95,0.0,1601874.27,16600.0,31072.0,855790.19,,,127.0,0.0,,,,0.03,56.0,483.0,,,0.0,127.0,,,,1.09,,,,83.02,58.76,3396.0,175076.11,,0.0,128.01,24.88,0.4802,64.36,1.6057
2006-05-31,45650.0,2485803.08,2.19,33.37,0.56,3.09,0.0,1688984.76,16943.0,31017.0,922605.95,,,,,,,,0.0,,135.0,,,,,,478.0,56.0,1.14,0.0,,,61.62,47.39,10553.0,574647.97,,0.0,131.34,24.02,0.4844,65.03,1.2769
2006-06-07,46868.0,2642735.54,2.25,31.6,0.57,3.28,0.0,1816161.75,17536.0,32209.0,988798.55,,,593.0,0.0,,1187.0,,,5.0,,,,0.0,593.0,0.08,,,1.22,,,,59.4,47.13,11985.0,675795.54,,0.0,130.14,23.49,0.4597,63.26,1.2596
2006-06-14,50899.0,2808529.99,2.45,16.89,0.62,3.48,0.0,1999061.53,17547.0,36229.0,968216.97,,,11.0,0.27,,,,,4020.0,,,,0.27,11.0,,,,1.2,,,,52.06,42.39,16160.0,891684.41,,0.0,130.09,21.71,0.3987,58.13,1.2296
2006-06-21,37019.0,2006868.84,1.78,11.91,0.45,2.49,0.0,1559892.06,10349.0,28774.0,561038.54,,,,,,,,0.5,,7199.0,,,,,,,7456.0,0.69,0.54,,,30.18,22.41,23941.0,1297886.14,,0.0,111.5,19.04,0.528,69.85,0.8016
2006-06-28,35685.0,1914428.6,1.72,11.35,0.44,2.4,0.0,1471081.59,10367.0,27421.0,556168.74,,,18.0,0.0,,,,,40.0,,,,0.0,18.0,,,1392.0,0.71,0.1,,,30.37,22.52,23769.0,1275159.13,,0.0,111.51,20.23,0.5086,68.08,0.7753
2006-07-03,35602.0,1950125.46,1.71,11.2,0.44,2.42,0.0,1498335.26,9202.0,27354.0,504046.25,,,,,,,,0.0,,16.0,,,,,,,67.0,0.63,0.0,0.08,,27.82,21.63,23871.0,1307551.4,1149.0,0.0,113.14,19.91,0.5141,68.58,0.8369
2006-07-04,34143.0,1856456.15,1.64,8.6,0.42,2.31,0.0,1407879.18,9204.0,25893.0,500448.77,,,1.0,0.0,,,,,39.0,,,,0.0,1.0,,,1500.0,0.63,0.1,,,27.83,21.64,23867.0,1297719.56,,0.0,113.1,20.79,0.5575,71.53,0.8027
2006-07-05,34108.0,1882027.95,1.64,8.72,0.42,2.34,0.0,1427908.98,10334.0,25878.0,570214.52,,1149.0,,,0.08,,,0.0,,19.0,,1149.0,,,,,15.0,0.7,0.0,,,30.29,22.46,23780.0,1312144.5,,0.0,111.44,20.45,0.5622,71.96,0.7414
2006-07-06,34102.0,1881696.88,1.64,9.15,0.42,2.33,0.0,1426805.41,9198.0,25858.0,507531.76,,,14.0,,,,,,,,,,,14.0,,,20.0,0.63,0.0,0.08,,27.78,21.6,23916.0,1319648.78,1149.0,0.0,113.12,20.66,0.5604,71.77,0.8009
2006-07-07,34095.0,1895042.83,1.64,9.43,0.42,2.34,0.0,1437164.46,9192.0,25857.0,510902.88,,,,,,,,0.0,,6.0,,,,,,,1.0,0.63,0.0,,,27.76,21.59,23922.0,1329614.74,,0.0,113.11,20.54,0.5618,71.91,0.8007
2006-07-10,34120.0,1882690.09,1.64,9.55,0.42,2.35,0.0,1427412.37,9206.0,25869.0,507973.18,,,14.0,0.0,,,,,12.0,,,,0.0,14.0,,,,0.64,,,,27.96,21.71,23724.0,1309054.51,,0.0,113.09,20.88,0.5574,71.5,0.8048
2006-07-11,34108.0,1891644.15,1.64,9.66,0.42,2.34,0.0,1434705.72,9193.0,25869.0,509847.68,,,,,,,,0.0,,12.0,,,,,,,0.0,0.63,0.0,,,27.76,21.59,23920.0,1326613.35,,0.0,113.09,20.6,0.5607,71.81,0.801
2006-07-12,34133.0,1873784.17,1.64,9.7,0.42,2.34,0.0,1420667.99,10357.0,25879.0,568563.64,,1149.0,15.0,0.0,0.08,,,,11.0,,,1149.0,0.0,15.0,,,,0.71,,,,30.35,22.5,23774.0,1305110.74,,0.0,111.52,20.86,0.5571,71.48,0.7417
2006-07-13,34140.0,1874168.44,1.64,9.94,0.42,2.33,0.0,1421656.13,9198.0,25897.0,504938.53,,,,0.0,,,,0.0,17.0,10.0,,,0.0,,,,,0.63,,0.08,,27.8,21.61,23888.0,1311368.94,1149.0,0.0,113.11,20.65,0.559,71.67,0.8023
2006-07-14,29133.0,1591087.8,1.4,8.54,0.36,1.98,0.0,1413590.28,4204.0,25883.0,229599.87,,,6.0,,,,,0.34,,5000.0,,,,6.0,,,14.0,0.29,0.0,,,14.98,9.88,23865.0,1303377.97,,0.0,134.09,6.97,0.7149,84.05,0.6849
2006-07-17,29160.0,1585515.66,1.4,8.67,0.36,1.97,0.0,1408586.03,4208.0,25906.0,228801.44,,,4.0,0.0,,,,,23.0,,,,0.0,4.0,,,,0.29,,,,15.0,9.9,23848.0,1296686.47,,0.0,134.11,7.0,0.7131,83.94,0.6858
2006-07-18,29121.0,1592778.2,1.4,8.62,0.36,1.98,0.0,1415784.61,4191.0,25885.0,229227.48,,,,,,,,0.0,,17.0,,,,,,,22.0,0.28,0.0,,,14.93,9.85,23884.0,1306339.57,,0.0,133.97,6.88,0.7168,84.17,0.6845
2006-07-19,29128.0,1583775.73,1.4,9.16,0.36,1.95,0.0,1406954.84,5355.0,25876.0,291167.23,,1149.0,16.0,,0.08,,,,,,,1149.0,,16.0,,,9.0,0.36,0.0,,,18.21,11.57,24054.0,1307887.3,,0.0,124.95,6.97,0.7152,84.07,0.6291
2006-07-20,29160.0,1550281.98,1.4,9.5,0.36,1.93,0.0,1376805.64,4217.0,25897.0,224195.44,,,11.0,0.0,,,,,21.0,,,,0.0,11.0,,,,0.28,,0.08,,15.05,9.93,23800.0,1265319.31,1149.0,0.0,134.29,7.03,0.7128,83.92,0.6864
2006-07-21,29134.0,1550073.11,1.4,12.83,0.36,1.92,0.0,1377689.06,4194.0,25894.0,223141.57,,,,,,,,0.0,,23.0,,,,,,,3.0,0.28,0.0,,,14.93,9.85,23897.0,1271438.77,,0.0,133.97,6.9,0.7159,84.12,0.6846
2006-07-24,28605.0,1543817.64,1.38,13.17,0.35,1.91,0.0,1395237.67,3707.0,25852.0,200067.54,,,,,,,,0.03,,487.0,,,,,,,42.0,0.25,0.0,,,13.52,8.85,23714.0,1279849.38,,0.0,118.47,6.93,0.7302,84.97,0.6829
2006-07-25,28789.0,1593171.62,1.38,14.42,0.35,1.98,0.0,1428923.7,3922.0,25821.0,217041.89,,,,,,,,0.0,,8.0,,,,,,224.0,31.0,0.27,0.0,,,14.39,9.4,23333.0,1291238.78,,0.0,125.64,6.78,0.7224,84.53,0.69
2006-07-26,28583.0,1579469.23,1.37,16.72,0.35,1.94,0.0,1414410.46,5090.0,25596.0,281268.53,,1149.0,19.0,0.0,0.08,,,,19.0,,,1149.0,0.0,19.0,,,244.0,0.35,0.03,,,17.71,11.78,23660.0,1307428.96,,0.0,118.85,7.03,0.7152,84.07,0.6614
2006-07-27,30594.0,1700452.86,1.47,17.07,0.38,2.11,0.0,1423547.06,5936.0,25612.0,329930.32,,,2000.0,0.0,,,,0.0,16.0,5.0,,,0.0,2000.0,,,,0.41,,0.08,,20.24,14.2,23397.0,1300434.58,1149.0,0.0,115.83,6.45,0.6317,78.76,0.7319
2006-07-28,30600.0,1700786.35,1.47,16.93,0.38,2.1,0.0,1423547.06,5942.0,25612.0,330263.81,,,6.0,0.0,,,,,1.0,,,,0.0,6.0,,,,0.41,,,,20.14,14.16,23564.0,1309716.65,,0.0,115.71,6.57,0.6279,78.5,0.729
2006-07-31,30611.0,1701397.74,1.47,17.16,0.38,2.11,0.0,1424269.61,5940.0,25625.0,330152.64,,,,0.0,,,,0.0,13.0,2.0,,,0.0,,,,,0.41,,,,20.24,14.2,23414.0,1301379.46,,0.0,115.75,6.53,0.6284,78.53,0.7319
2006-08-01,30632.0,1690227.52,1.47,17.01,0.38,2.09,0.0,1414776.5,5947.0,25640.0,328146.48,,,7.0,0.0,,,,,14.0,,,,0.0,7.0,,,,0.41,,,,20.17,14.18,23533.0,1298515.42,,0.0,115.8,6.57,0.6264,78.39,0.7303
2006-08-02,30599.0,1710590.07,1.47,17.33,0.38,2.12,0.0,1432246.73,5934.0,25620.0,331731.15,,,,,,,,0.0,,13.0,,,,,,,20.0,0.41,0.0,,,20.17,14.17,23487.0,1313004.64,,0.0,115.8,6.44,0.6318,78.76,0.7305
2006-08-03,28576.0,1609006.72,1.37,17.31,0.35,1.99,0.0,1441101.55,3937.0,25594.0,221677.61,,,3.0,,,,,0.13,,2000.0,,,,3.0,,,26.0,0.27,0.0,,,14.35,9.4,23490.0,1322633.25,,0.0,125.76,6.97,0.7166,84.16,0.6821
2006-08-04,28602.0,1616230.59,1.38,17.72,0.35,1.99,0.0,1447498.87,3940.0,25616.0,222639.97,,,3.0,0.0,,,,,22.0,,,,0.0,3.0,,,,0.27,,,,14.3,9.38,23616.0,1334483.66,,0.0,125.77,6.98,0.7151,84.07,0.6806
2006-08-07,28522.0,1654214.09,1.37,17.28,0.35,2.05,0.0,1482018.53,3923.0,25553.0,227525.48,,,,,,,,0.0,,17.0,,,,,,,63.0,0.28,0.0,,,14.36,9.39,23384.0,1356221.24,,0.0,125.61,6.86,0.7199,84.37,0.6828
2006-08-08,28538.0,1657440.86,1.37,16.88,0.35,2.06,0.0,1484076.89,3939.0,25553.0,228770.75,,,16.0,,,,,,,,,,,16.0,,,,0.28,,,,14.45,9.44,23325.0,1354678.26,,0.0,125.79,7.0,0.7159,84.12,0.6839
2006-08-09,26630.0,1544482.2,1.28,15.56,0.33,1.93,0.0,1482018.53,2031.0,25553.0,117793.59,,,,,,,,0.14,,1908.0,,,,,,,,0.15,,,,5.47,4.87,35122.0,2036999.76,,0.79,15.65,5.94,0.8145,90.02,0.638
2006-08-10,26634.0,1544714.19,1.28,14.8,0.33,1.93,0.0,1482018.53,2035.0,25553.0,118025.58,,,4.0,,,,,,,,,,,4.0,,,,0.15,,,,5.48,4.88,35123.0,2037057.76,,0.8,15.57,5.97,0.8136,89.97,0.638
2006-08-11,26634.0,1533987.01,1.28,14.87,0.33,1.92,0.0,1471726.74,2035.0,25553.0,117205.96,,,1.0,,,,,0.0,,1.0,,,,1.0,,,,0.15,,,,12.08,4.86,14809.0,852925.34,,0.84,14.93,6.04,0.8123,89.89,0.6365
2006-08-14,26631.0,1540249.81,1.28,15.29,0.33,1.92,0.0,1477901.82,2032.0,25553.0,117524.22,,,,,,,,0.0,,3.0,,,,,,,,0.15,,,,12.07,5.23,14808.0,856446.21,,0.83,14.96,6.03,0.8131,89.94,0.6849
2006-08-15,26632.0,1540307.64,1.28,28.17,0.33,1.91,0.0,1477901.82,2033.0,25553.0,117582.06,,,1.0,,,,,,,,,,,1.0,,,,0.15,,,,12.06,5.23,14820.0,857140.25,,0.83,14.97,5.94,0.8144,90.01,0.6847
2006-08-16,26632.0,1542452.92,1.28,28.25,0.33,1.91,0.0,1479960.18,2033.0,25553.0,117745.82,,,,,,,,0.0,,0.0,,,,,,,,0.15,,,,12.08,5.23,14799.0,857117.78,,0.83,15.0,5.92,0.8149,90.04,0.6851
2006-08-17,26632.0,1543525.55,1.28,28.42,0.33,1.93,0.0,1480989.36,2033.0,25553.0,117827.71,,,,,,,,0.0,,0.0,,,,,,,,0.15,,,,12.1,5.23,14760.0,855453.48,,0.83,14.97,5.9,0.8153,90.07,0.6858
2006-08-18,26633.0,1541438.16,1.28,26.88,0.33,1.92,0.0,1478931.0,2034.0,25553.0,117721.82,,,1.0,,,,,,,,,,,1.0,,,,0.15,,,,12.1,6.31,14774.0,855074.81,,0.83,14.92,5.97,0.8136,89.97,0.826
2006-08-21,26632.0,1531726.54,1.28,26.89,0.33,1.91,0.0,1469668.38,2033.0,25553.0,116927.01,,,,,,,,0.0,,1.0,,,,,,,,0.15,,,,12.09,6.3,14788.0,850524.64,,0.83,14.97,5.97,0.814,89.99,0.8256
2006-08-22,26635.0,1523317.02,1.28,26.82,0.33,1.9,0.0,1461434.94,2036.0,25553.0,116443.53,,,3.0,,,,,,,,,,,3.0,,,,0.15,,,,12.08,6.31,14814.0,847246.79,,0.83,14.87,6.02,0.8123,89.89,0.825
2006-08-23,26632.0,1523145.44,1.28,26.22,0.33,1.9,0.0,1461434.94,1820.0,25553.0,104089.99,,,,,,,,0.02,,216.0,,,,,,,,0.13,,,,13.35,5.64,11810.0,675441.11,,0.82,13.6,6.03,0.8131,89.94,0.8251
2006-08-24,25121.0,1426610.07,1.21,25.91,0.31,1.78,0.0,1365220.57,1822.0,24040.0,103470.54,,,2.0,,,,,,,,,,,2.0,,,1513.0,0.13,0.11,,,13.36,5.64,11810.0,670684.48,,0.82,13.58,2.32,0.9162,95.68,0.7782
2006-08-25,25122.0,1416548.65,1.21,25.65,0.31,1.76,0.0,1355538.16,1823.0,24040.0,102793.1,,,1.0,,,,,,,,,,,1.0,,,,0.13,,,,13.37,4.36,11810.0,665927.86,,0.82,13.55,2.32,0.916,95.67,0.6004
2006-08-28,25118.0,1425428.04,1.21,25.42,0.31,1.77,0.0,1364252.33,1078.0,24040.0,61175.71,,,,,,,,0.05,,745.0,,,,,,,,0.08,,,,97.96,2.58,22.0,1248.48,,0.0,126.89,2.29,0.9173,95.74,0.6003
2006-08-29,25119.0,1426496.49,1.21,25.67,0.31,1.77,0.0,1365220.57,1820.0,24040.0,103356.97,,,2.0,,,,,,,,,,,2.0,,741.0,,0.13,,,,98.76,4.35,23.0,1306.16,,0.0,114.38,2.3,0.9167,95.71,0.6003
2006-08-30,25123.0,1433934.53,1.21,25.66,0.31,1.75,0.0,1372120.61,1824.0,24040.0,104107.65,,,4.0,,,,,,,,,,,4.0,,,,0.13,,,,98.78,4.36,22.0,1255.68,,0.0,114.48,2.34,0.9156,95.65,0.6004
2006-08-31,25121.0,1425580.03,1.21,24.12,0.31,1.74,0.0,1364234.86,1822.0,24040.0,103395.84,,,,,,,,0.0,,2.0,,,,,,,,0.13,,,,98.83,4.35,22.0,1248.47,,0.0,114.43,2.32,0.9161,95.68,0.6003
2006-09-01,25120.0,1426553.28,1.21,26.03,0.31,1.74,0.0,1365220.58,1080.0,24040.0,61332.7,,,,,,,,0.05,,742.0,,,,,,,,0.07,,,,97.95,2.43,23.0,1306.16,,0.0,126.9,2.31,0.9166,95.71,0.5652
2006-09-04,25118.0,1436738.91,1.21,25.33,0.31,1.75,0.0,1375077.77,1819.0,24040.0,104046.03,,,,,,,,0.0,,2.0,,,,,,741.0,,0.13,,,,98.77,4.09,23.0,1315.59,,0.0,114.31,2.29,0.9172,95.74,0.5652
2006-09-05,25122.0,1431817.28,1.21,25.27,0.31,1.75,0.0,1370149.17,1823.0,24040.0,103901.08,,,4.0,,,,,,,,,,,4.0,,,,0.13,,,,98.85,4.1,21.0,1196.89,,0.0,114.43,2.33,0.9159,95.67,0.5653
2006-09-06,25121.0,1425580.03,1.21,26.61,0.31,1.74,0.0,1364234.86,1822.0,24040.0,103395.84,,,,,,,,0.0,,0.0,,,,,,,,0.13,,,,98.81,4.1,22.0,1248.47,,0.0,114.43,2.32,0.9161,95.68,0.5652
2006-09-07,25122.0,1421516.44,1.21,30.57,0.31,1.73,0.0,1360291.98,1823.0,24040.0,103153.59,,,0.0,,,,,,,,,,,0.0,,,,0.13,,,,98.88,4.1,21.0,1188.28,,0.0,114.44,2.33,0.9159,95.66,0.5653
2006-09-08,25120.0,1421403.27,1.21,31.61,0.31,1.74,0.0,1360291.98,1821.0,24040.0,103040.42,,,,,,,,0.0,,2.0,,,,,,,,0.13,,,,98.87,4.1,21.0,1188.28,,0.0,114.4,2.32,0.9163,95.69,0.5652
2006-09-11,25118.0,1430559.38,1.5,30.2,0.31,1.75,0.0,1369163.45,1819.0,24040.0,103598.52,,,,,,,,0.0,,2.0,,,,,,,,0.13,,,,98.79,4.09,22.0,1252.98,,0.0,114.33,2.29,0.9173,95.74,0.5652
2006-09-12,25120.0,1431703.29,1.5,29.97,0.31,1.75,0.0,1370149.17,1821.0,24040.0,103787.09,,,2.0,,,,,,,,,,,2.0,,,,0.13,,,,98.82,4.1,22.0,1253.88,,0.0,114.38,2.31,0.9167,95.71,0.5652
2006-09-13,25120.0,1429643.29,1.5,30.26,0.31,1.74,0.0,1368177.73,1821.0,24040.0,103637.76,,,1.0,,,,,,,,,,,1.0,,,,0.13,,,,98.8,4.1,22.0,1252.08,,0.0,114.39,2.31,0.9164,95.69,0.5652
