,BYBE FP Equity_DX_SI_QTY,BYBE FP Equity_DX_SHORT_INTEREST_VALUE,BYBE FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,BYBE FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,BYBE FP Equity_DX_SI_MV,BYBE FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,BYBE FP Equity_DX_SUPPLY_SI_QTY,BYBE FP Equity_DX_BROKER_SI_QTY,BYBE FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,BYBE FP Equity_DX_BROKER_SI_QTY_ADD,BYBE FP Equity_DX_BROKER_SI_MV_ADD,BYBE FP Equity_DX_BROKER_SI_QTY_DEC,BYBE FP Equity_DX_SUPPLY_SI_MV,BYBE FP Equity_DX_BROKER_SI_MV_DEC,BYBE FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,BYBE FP Equity_DX_UTILIZATION_QUANTITY,BYBE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,BYBE FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,BYBE FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,BYBE FP Equity_DX_ACTIVE_UTILIZATION_MV,BYBE FP Equity_DX_BROKER_SI_MARKET_SHARE_2,BYBE FP Equity_DX_BROKER_SI_CON_RATIO,BYBE FP Equity_DX_BROKER_SI_MARKET_SHARE_1,BYBE FP Equity_DX_DEMAND_SUPPLY_RATIO,BYBE FP Equity_PX_LAST
2015-03-25,,,,,,,,,,,,,,,,,,,,,,,,,111.99
2015-03-26,,,,,,,,,,,,,,,,,,,,,,,,,111.55
2015-03-27,,,,,,,,,,,,,,,,,,,,,,,,,111.77
2015-03-30,,,,,,,,,,,,,,,,,,,,,,,,,114.05
2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,115.01
2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,113.47
2015-04-02,,,,,,,,,,,,,,,,,,,,,,,,,113.16
2015-04-07,,,,,,,,,,,,,,,,,,,,,,,,,114.39
2015-04-08,,,,,,,,,,,,,,,,,,,,,,,,,114.34
2015-04-09,,,,,,,,,,,,,,,,,,,,,,,,,115.66
2015-04-10,,,,,,,,,,,,,,,,,,,,,,,,,117.4
2015-04-13,,,,,,,,,,,,,,,,,,,,,,,,,117.93
2015-04-14,,,,,,,,,,,,,,,,,,,,,,,,,116.28
2015-04-15,,,,,,,,,,,,,,,,,,,,,,,,,117.62
2015-04-16,,,,,,,,,,,,,,,,,,,,,,,,,116.15
2015-04-17,,,,,,,,,,,,,,,,,,,,,,,,,114.27
2015-04-20,,,,,,,,,,,,,,,,,,,,,,,,,115.36
2015-04-21,,,,,,,,,,,,,,,,,,,,,,,,,115.15
2015-04-22,,,,,,,,,,,,,,,,,,,,,,,,,115.3
2015-04-23,,,,,,,,,,,,,,,,,,,,,,,,,115.05
2015-04-24,,,,,,,,,,,,,,,,,,,,,,,,,114.49
2015-04-27,,,,,,,,,,,,,,,,,,,,,,,,,114.31
2015-04-28,,,,,,,,,,,,,,,,,,,,,,,,,112.63
2015-04-29,,,,,,,,,,,,,,,,,,,,,,,,,110.68
2015-04-30,,,,,,,,,,,,,,,,,,,,,,,,,109.99
2015-05-04,,,,,,,,,,,,,,,,,,,,,,,,,110.97
2015-05-05,,,,,,,,,,,,,,,,,,,,,,,,,109.57
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,107.72
2015-05-07,,,,,,,,,,,,,,,,,,,,,,,,,108.43
2015-05-08,,,,,,,,,,,,,,,,,,,,,,,,,110.15
2015-05-11,,,,,,,,,,,,,,,,,,,,,,,,,110.76
2015-05-12,,,,,,,,,,,,,,,,,,,,,,,,,109.16
2015-05-13,,,,,,,,,,,,,,,,,,,,,,,,,107.93
2015-05-14,,,,,,,,,,,,,,,,,,,,,,,,,108.5
2015-05-15,,,,,,,,,,,,,,,,,,,,,,,,,107.9
2015-05-18,,,,,,,,,,,,,,,,,,,,,,,,,109.27
2015-05-19,,,,,,,,,,,,,,,,,,,,,,,,,111.4
2015-05-20,,,,,,,,,,,,,,,,,,,,,,,,,111.59
2015-05-21,,,,,,,,,,,,,,,,,,,,,,,,,111.51
2015-05-22,,,,,,,,,,,,,,,,,,,,,,,,,112.22
2015-05-26,,,,,,,,,,,,,,,,,,,,,,,,,112.7
2015-05-27,,,,,,,,,,,,,,,,,,,,,,,,,113.1
2015-05-28,,,,,,,,,,,,,,,,,,,,,,,,,112.99
2015-05-29,,,,,,,,,,,,,,,,,,,,,,,,,111.79
2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,112.43
2015-06-02,,,,,,,,,,,,,,,,,,,,,,,,,110.61
2015-06-03,,,,,,,,,,,,,,,,,,,,,,,,,109.91
2015-06-04,,,,,,,,,,,,,,,,,,,,,,,,,109.04
2015-06-05,,,,,,,,,,,,,,,,,,,,,,,,,110.24
2015-06-08,,,,,,,,,,,,,,,,,,,,,,,,,108.8
2015-06-09,,,,,,,,,,,,,,,,,,,,,,,,,107.93
2015-06-10,,,,,,,,,,,,,,,,,,,,,,,,,108.53
2015-06-11,,,,,,,,,,,,,,,,,,,,,,,,,109.59
2015-06-12,,,,,,,,,,,,,,,,,,,,,,,,,109.01
2015-06-15,,,,,,,,,,,,,,,,,,,,,,,,,108.3
2015-06-16,,,,,,,,,,,,,,,,,,,,,,,,,108.84
2015-06-17,,,,,,,,,,,,,,,,,,,,,,,,,109.15
2015-06-18,,,,,,,,,,,,,,,,,,,,,,,,,108.8
2015-06-19,,,,,,,,,,,,,,,,,,,,,,,,,109.47
2015-06-22,,,,,,,,,,,,,,,,,,,,,,,,,109.34
2015-06-23,,,,,,,,,,,,,,,,,,,,,,,,,111.02
2015-06-24,,,,,,,,,,,,,,,,,,,,,,,,,110.83
2015-06-25,,,,,,,,,,,,,,,,,,,,,,,,,110.34
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,110.44
2015-06-29,,,,,,,,,,,,,,,,,,,,,,,,,108.42
2015-06-30,,,,,,,,,,,,,,,,,,,,,,,,,108.1
2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,109.84
2015-07-02,,,,,,,,,,,,,,,,,,,,,,,,,109.47
2015-07-03,,,,,,,,,,,,,,,,,,,,,,,,,109.25
2015-07-06,,,,,,,,,,,,,,,,,,,,,,,,,109.43
2015-07-07,,,,,,,,,,,,,,,,,,,,,,,,,108.88
2015-07-08,,,,,,,,,,,,,,,,,,,,,,,,,108.37
2015-07-09,,,,,,,,,,,,,,,,,,,,,,,,,108.97
2015-07-10,,,,,,,,,,,,,,,,,,,,,,,,,108.42
2015-07-13,,,,,,,,,,,,,,,,,,,,,,,,,110.86
2015-07-14,,,,,,,,,,,,,,,,,,,,,,,,,111.33
2015-07-15,,,,,,,,,,,,,,,,,,,,,,,,,111.92
2015-07-16,,,,,,,,,,,,,,,,,,,,,,,,,112.92
2015-07-17,,,,,,,,,,,,,,,,,,,,,,,,,112.7
2015-07-20,,,,,,,,,,,,,,,,,,,,,,,,,112.9
2015-07-21,,,,,,,,,,,,,,,,,,,,,,,,,111.69
2015-07-22,,,,,,,,,,,,,,,,,,,,,,,,,111.8
2015-07-23,,,,,,,,,,,,,,,,,,,,,,,,,111.64
2015-07-24,,,,,,,,,,,,,,,,,,,,,,,,,110.16
2015-07-27,,,,,,,,,,,,,,,,,,,,,,,,,107.33
2015-07-28,,,,,,,,,,,,,,,,,,,,,,,,,108.33
2015-07-29,,,,,,,,,,,,,,,,,,,,,,,,,110.0
2015-07-30,,,,,,,,,,,,,,,,,,,,,,,,,110.87
2015-07-31,,,,,,,,,,,,,,,,,,,,,,,,,110.48
2015-08-03,,,,,,,,,,,,,,,,,,,,,,,,,110.62
2015-08-04,,,,,,,,,,,,,,,,,,,,,,,,,110.18
2015-08-05,,,,,,,,,,,,,,,,,,,,,,,,,111.63
2015-08-06,,,,,,,,,,,,,,,,,,,,,,,,,109.07
2015-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1300920.0,1.34,0.0,0.0,0.0,0.0,0.0,108.41
2015-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1316400.0,1.3,0.0,,0.0,,0.0,109.7
2015-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1294560.0,1.32,0.0,,0.0,,0.0,107.88
2015-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1265520.0,1.29,0.0,,0.0,,0.0,105.46
2015-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1287120.0,1.27,0.0,,0.0,,0.0,107.26
2015-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1289880.0,1.28,0.0,,0.0,,0.0,107.49
2015-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1300560.0,1.29,0.0,,0.0,,0.0,108.38
2015-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1308000.0,1.3,0.0,,0.0,,0.0,109.0
2015-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1287120.0,1.32,0.0,,0.0,,0.0,107.26
2015-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1260600.0,1.29,0.0,,0.0,,0.0,105.05
2015-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1206720.0,1.26,0.0,,0.0,,0.0,100.56
2015-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1135560.0,1.22,0.0,,0.0,,0.0,94.63
2015-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1165920.0,1.15,0.0,,0.0,,0.0,97.16
2015-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1145280.0,1.16,0.0,,0.0,,0.0,95.44
2015-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1207920.0,1.15,0.0,,0.0,,0.0,100.66
2015-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1223400.0,1.15,0.0,,0.0,,0.0,101.95
2015-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1216560.0,1.22,0.0,,0.0,,0.0,101.38
2015-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1188240.0,1.22,0.0,,0.0,,0.0,99.02
2015-09-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1184640.0,1.19,0.0,,0.0,,0.0,98.72
2015-09-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1225080.0,1.19,0.0,,0.0,,0.0,102.09
2015-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1200360.0,1.23,0.0,,0.0,,0.0,100.03
2015-09-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1201920.0,1.2,0.0,,0.0,,0.0,100.16
2015-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1207680.0,1.2,0.0,,0.0,,0.0,100.64
2015-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1226640.0,1.21,0.0,,0.0,,0.0,102.22
2015-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1200120.0,1.23,0.0,,0.0,,0.0,100.01
2015-09-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1187040.0,1.2,0.0,,0.0,,0.0,98.92
2015-09-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1192320.0,1.19,0.0,,0.0,,0.0,99.36
2015-09-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1204800.0,1.19,0.0,,0.0,,0.0,100.4
2015-09-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1214280.0,1.2,0.0,,0.0,,0.0,101.19
2015-09-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1220040.0,1.23,0.0,,0.0,,0.0,101.67
2015-09-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1190400.0,1.21,0.0,,0.0,,0.0,99.2
2015-09-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1208040.0,1.19,0.0,,0.0,,0.0,100.67
2015-09-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1187520.0,1.21,0.0,,0.0,,0.0,98.96
2015-09-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1186440.0,1.19,0.0,,0.0,,0.0,98.87
2015-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1156800.0,1.18,0.0,,0.0,,0.0,96.4
2015-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1183080.0,1.19,0.0,,0.0,,0.0,98.59
2015-09-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1151760.0,1.18,0.0,,0.0,,0.0,95.98
2015-09-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1141200.0,1.15,0.0,,0.0,,0.0,95.1
2015-09-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1165080.0,1.14,0.0,,0.0,,0.0,97.09
2015-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1158720.0,1.14,0.0,,0.0,,0.0,96.56
2015-10-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1152120.0,1.16,0.0,,0.0,,0.0,96.01
2015-10-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1201680.0,1.15,0.0,,0.0,,0.0,100.14
2015-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1202040.0,1.2,0.0,,0.0,,0.0,100.17
2015-10-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1203960.0,1.2,0.0,,0.0,,0.0,100.33
2015-10-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1217880.0,1.2,0.0,,0.0,,0.0,101.49
2015-10-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1218600.0,1.21,0.0,,0.0,,0.0,101.55
2015-10-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1217040.0,1.22,0.0,,0.0,,0.0,101.42
2015-10-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1216320.0,1.22,0.0,,0.0,,0.0,101.36
2015-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1196520.0,1.22,0.0,,0.0,,0.0,99.71
2015-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1199520.0,1.19,0.0,,0.0,,0.0,99.96
2015-10-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1217280.0,1.2,0.0,,0.0,,0.0,101.44
2015-10-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1222440.0,1.22,0.0,,0.0,,0.0,101.87
2015-10-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1225680.0,1.22,0.0,,0.0,,0.0,102.14
2015-10-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1226760.0,1.23,0.0,,0.0,,0.0,102.23
2015-10-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1255200.0,1.22,0.0,,0.0,,0.0,104.6
2015-10-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1277160.0,1.23,0.0,,0.0,,0.0,106.43
2015-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1276920.0,1.28,0.0,,0.0,,0.0,106.41
2015-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1266120.0,1.28,0.0,,0.0,,0.0,105.51
2015-10-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,12000.0,1280880.0,1.25,0.0,,0.0,,0.0,106.74
2015-10-29,25000.0,2700250.0,8.53,4.19,2.67,2700250.0,0.0,25000.0,0.0,25000.0,2.67,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,2.0833,108.01
2015-10-30,25000.0,2699500.0,8.31,4.19,2.7,2699500.0,0.0,25000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,2.0833,107.98
2015-11-02,25000.0,2707750.0,8.31,4.19,2.7,2707750.0,0.0,25000.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,100.0,2.5,108.31
2015-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,25000.0,0.0,2.71,0.0,0.0,10000.0,1098000.0,1.08,0.0,,0.0,,0.0,109.8
2015-11-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1101400.0,1.08,0.0,,0.0,,0.0,110.14
2015-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1094600.0,1.1,0.0,,0.0,,0.0,109.46
2015-11-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1110900.0,1.1,0.0,,0.0,,0.0,111.09
2015-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1095300.0,1.11,0.0,,0.0,,0.0,109.53
2015-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1101000.0,1.1,0.0,,0.0,,0.0,110.1
2015-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1099200.0,1.1,0.0,,0.0,,0.0,109.92
2015-11-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1087700.0,1.1,0.0,,0.0,,0.0,108.77
2015-11-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1071000.0,1.1,0.0,,0.0,,0.0,107.1
2015-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1067700.0,1.1,0.0,,0.0,,0.0,106.77
2015-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1095900.0,1.11,0.0,,0.0,,0.0,109.59
2015-11-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1093100.0,1.11,0.0,,0.0,,0.0,109.31
2015-11-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1089500.0,1.1,0.0,,0.0,,0.0,108.95
2015-11-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1105700.0,1.09,0.0,,0.0,,0.0,110.57
2015-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1113300.0,1.11,0.0,,0.0,,0.0,111.33
2015-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1103400.0,1.11,0.0,,0.0,,0.0,110.34
2015-11-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1112700.0,1.1,0.0,,0.0,,0.0,111.27
2015-11-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1118400.0,1.11,0.0,,0.0,,0.0,111.84
2015-11-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1114800.0,1.12,0.0,,0.0,,0.0,111.48
2015-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1116500.0,1.12,0.0,,0.0,,0.0,111.65
2015-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1112200.0,1.12,0.0,,0.0,,0.0,111.22
2015-12-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1120100.0,1.12,0.0,,0.0,,0.0,112.01
2015-12-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1074200.0,1.12,0.0,,0.0,,0.0,107.42
2015-12-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1074700.0,1.12,0.0,,0.0,,0.0,107.47
2015-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1076700.0,1.07,0.0,,0.0,,0.0,107.67
2015-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1066100.0,1.08,0.0,,0.0,,0.0,106.61
2015-12-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1054700.0,1.07,0.0,,0.0,,0.0,105.47
2015-12-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,10000.0,1051600.0,1.07,0.0,,0.0,,0.0,105.16
