,MLHYD FP Equity_PX_LAST
1997-04-25,70.279
1997-05-14,71.6663
1997-06-11,78.8161
1997-06-13,86.591
1997-06-16,95.1282
1997-07-30,85.6763
1997-08-01,77.1392
1997-08-04,69.4253
1997-08-05,62.5041
1997-08-13,56.2537
1997-08-14,51.0704
1997-11-06,53.0523
1997-12-09,58.3575
1997-12-12,47.747
1998-03-13,58.3575
1998-03-16,62.5041
1998-06-19,66.6202
1998-06-23,60.0649
1999-05-11,54.05
1999-05-12,48.9
1999-11-08,48.9
1999-12-15,53.75
2000-01-17,54.0
2000-08-28,50.65
2000-12-05,55.7
2000-12-06,55.7
2000-12-07,55.7
2000-12-08,55.7
2000-12-11,55.7
2000-12-12,55.7
2000-12-13,55.7
2000-12-14,55.7
2000-12-15,55.7
2000-12-18,55.7
2000-12-20,55.7
2000-12-21,55.7
2000-12-22,55.7
2000-12-27,55.7
2000-12-28,55.7
2000-12-29,55.7
2001-01-02,50.65
2001-01-04,55.7
2001-01-05,55.7
2001-01-08,55.7
2001-01-09,55.7
2001-01-10,55.7
2001-01-11,55.7
2001-01-12,55.7
2001-01-15,55.7
2001-01-16,55.7
2001-01-17,55.7
2001-01-18,55.7
2001-01-19,55.7
2001-01-22,55.7
2001-01-23,55.7
2001-01-24,55.7
2001-01-25,55.7
2001-01-26,55.7
2001-01-29,55.7
2001-01-30,55.7
2001-01-31,55.7
2001-02-01,50.65
2001-06-22,50.05
2002-01-09,50.05
2003-11-28,47.25
2004-03-10,83.5
2004-03-12,101.0
2004-03-15,111.1
2004-04-06,122.0
2004-04-16,153.0
2004-04-19,166.0
2004-05-18,178.0
2005-02-28,178.0
2005-03-07,178.0
2005-04-11,150.0
2013-03-20,150.0
2014-03-19,136.12
2015-07-13,148.01
2016-12-13,400.0
2017-03-21,263.12
2017-04-18,263.12
2017-07-05,315.0
2017-07-06,340.0
2017-07-12,374.0
2017-07-13,411.0
2017-07-18,411.0
2017-07-25,452.0
2017-07-26,497.0
2017-07-27,530.0
2017-08-01,530.0
2017-08-02,583.0
2017-10-24,583.01
2017-10-25,582.98
2017-12-08,581.98
2018-02-01,424.0
2018-02-16,466.0
2018-03-19,466.0
2019-01-31,505.0
2019-02-01,500.0
2019-02-20,490.0
2019-03-05,490.0
2019-03-18,505.0
2019-03-27,510.0
2019-04-24,560.0
2019-04-25,620.0
2019-05-02,580.0
2019-05-07,550.0
2019-05-08,550.0
2019-05-29,550.0
2019-06-04,550.0
2019-08-23,505.0
2019-10-25,505.0
2019-11-27,500.0
2019-12-18,500.0
2020-01-20,298.0
2020-01-21,304.0
2020-01-23,442.0
2020-04-06,442.0
2020-05-19,452.0
2020-06-04,400.0
2020-06-08,440.0
2020-10-19,340.0
2020-11-04,342.0
2020-11-09,404.0
2020-11-12,480.0
2020-11-13,480.0
2020-11-16,496.0
2020-11-17,496.0
2020-11-18,500.0
2020-11-19,520.0
2020-11-23,520.0
2020-12-09,474.0
2020-12-29,550.0
2021-01-21,600.0
2021-02-09,600.0
2021-02-16,488.0
2021-02-19,575.0
2021-03-03,600.0
2021-04-19,580.0
2021-04-21,590.0
2021-04-23,600.0
2021-05-06,540.0
2021-05-26,540.0
2021-09-24,545.0
2021-10-22,500.0
2022-01-07,600.0
2022-02-25,550.0
2022-03-02,550.0
2022-03-07,540.0
2022-03-21,540.0
2022-04-28,585.0
2022-07-12,530.0
2022-11-28,530.0
2022-11-29,530.0
2022-11-30,530.0
2022-12-01,530.0
2022-12-02,530.0
2022-12-05,530.0
2022-12-06,530.0
2022-12-07,530.0
2022-12-08,530.0
2022-12-09,530.0
2022-12-12,530.0
2022-12-13,530.0
2022-12-14,530.0
2022-12-15,530.0
2022-12-16,530.0
2022-12-19,530.0
2022-12-20,530.0
2022-12-21,530.0
2022-12-22,530.0
2022-12-23,530.0
2022-12-27,600.0
2022-12-28,600.0
2022-12-29,600.0
2022-12-30,600.0
2023-01-02,600.0
2023-01-03,600.0
2023-01-04,600.0
2023-01-05,600.0
2023-01-06,600.0
2023-01-09,600.0
2023-01-10,600.0
2023-01-11,600.0
2023-01-12,600.0
2023-01-13,600.0
2023-01-16,600.0
2023-01-17,600.0
2023-01-18,600.0
2023-01-19,600.0
2023-01-20,600.0
2023-01-23,600.0
2023-01-24,600.0
2023-01-25,600.0
2023-01-26,600.0
2023-01-27,600.0
2023-01-30,600.0
2023-01-31,600.0
2023-02-01,600.0
2023-02-02,600.0
2023-02-03,600.0
2023-02-06,600.0
2023-02-07,600.0
2023-02-08,600.0
2023-02-09,600.0
2023-02-10,600.0
2023-02-13,600.0
2023-02-14,600.0
2023-02-15,600.0
2023-02-16,600.0
2023-02-17,600.0
2023-02-20,600.0
2023-02-21,600.0
2023-02-22,600.0
2023-02-23,600.0
2023-02-24,600.0
2023-02-27,600.0
2023-02-28,600.0
2023-03-01,600.0
2023-03-02,600.0
2023-03-03,600.0
2023-03-06,600.0
2023-03-07,600.0
2023-03-08,600.0
2023-03-09,600.0
2023-03-10,600.0
2023-03-13,600.0
2023-03-14,600.0
2023-03-15,600.0
2023-03-16,600.0
2023-03-17,600.0
2023-03-20,600.0
2023-03-21,600.0
2023-03-22,600.0
2023-03-23,600.0
2023-03-24,600.0
2023-03-27,600.0
2023-03-28,600.0
2023-03-29,600.0
2023-03-30,600.0
2023-03-31,600.0
2023-04-03,600.0
2023-04-04,600.0
2023-04-05,600.0
2023-04-06,600.0
2023-04-11,600.0
2023-04-12,600.0
2023-04-13,600.0
2023-04-14,600.0
2023-04-17,600.0
2023-04-18,600.0
2023-04-19,600.0
2023-04-20,600.0
2023-04-21,600.0
2023-04-24,600.0
2023-04-25,600.0
2023-04-26,600.0
2023-04-27,600.0
2023-04-28,600.0
2023-05-02,600.0
2023-05-03,600.0
2023-05-04,600.0
2023-05-05,600.0
2023-05-08,600.0
2023-05-09,600.0
2023-05-10,600.0
2023-05-11,600.0
2023-05-12,600.0
2023-05-15,600.0
2023-05-16,600.0
2023-05-17,600.0
2023-05-18,600.0
2023-05-19,600.0
2023-05-22,600.0
2023-05-23,600.0
2023-05-24,600.0
2023-05-25,600.0
2023-05-26,600.0
2023-05-29,600.0
2023-05-30,600.0
2023-05-31,600.0
2023-06-01,600.0
2023-06-02,600.0
2023-06-05,625.0
2023-06-06,625.0
2023-06-07,625.0
2023-06-08,625.0
2023-06-09,625.0
2023-06-12,625.0
2023-06-13,625.0
2023-06-14,645.0
2023-06-15,645.0
2023-06-16,645.0
2023-06-19,710.0
2023-06-20,710.0
2023-06-21,710.0
2023-06-22,635.0
2023-06-23,610.0
2023-06-26,610.0
2023-06-27,610.0
2023-06-28,610.0
2023-06-29,610.0
2023-06-30,635.0
2023-07-03,635.0
2023-07-04,635.0
2023-07-05,635.0
2023-07-06,635.0
2023-07-07,635.0
2023-07-10,635.0
2023-07-11,635.0
2023-07-12,635.0
2023-07-13,635.0
2023-07-14,635.0
2023-07-17,635.0
2023-07-18,650.0
2023-07-19,650.0
2023-07-20,650.0
2023-07-21,650.0
2023-07-24,650.0
2023-07-25,650.0
2023-07-26,650.0
2023-07-27,650.0
2023-07-28,650.0
2023-07-31,650.0
2023-08-01,650.0
2023-08-02,650.0
2023-08-03,650.0
2023-08-04,650.0
2023-08-07,650.0
2023-08-08,650.0
2023-08-09,650.0
2023-08-10,650.0
2023-08-11,650.0
2023-08-14,650.0
2023-08-15,650.0
2023-08-16,650.0
2023-08-17,650.0
2023-08-18,650.0
2023-08-21,650.0
2023-08-22,650.0
2023-08-23,650.0
2023-08-24,650.0
2023-08-25,650.0
2023-08-28,650.0
2023-08-29,650.0
2023-08-30,650.0
2023-08-31,650.0
2023-09-01,650.0
2023-09-04,650.0
2023-09-05,650.0
2023-09-06,650.0
2023-09-07,650.0
2023-09-08,650.0
2023-09-11,650.0
2023-09-12,650.0
2023-09-13,650.0
2023-09-14,650.0
2023-09-15,650.0
2023-09-18,650.0
2023-09-19,650.0
2023-09-20,650.0
2023-09-21,650.0
2023-09-22,650.0
2023-09-25,650.0
2023-09-26,650.0
2023-09-27,650.0
2023-09-28,650.0
2023-09-29,650.0
2023-10-02,650.0
2023-10-03,650.0
2023-10-04,650.0
2023-10-05,650.0
2023-10-06,650.0
2023-10-09,650.0
2023-10-10,650.0
2023-10-11,650.0
2023-10-12,650.0
2023-10-13,650.0
2023-10-16,650.0
2023-10-17,650.0
2023-10-18,650.0
2023-10-19,650.0
2023-10-20,650.0
2023-10-23,650.0
2023-10-24,650.0
2023-10-25,650.0
2023-10-26,650.0
2023-10-27,650.0
2023-10-30,650.0
2023-10-31,650.0
2023-11-01,650.0
2023-11-02,650.0
2023-11-03,650.0
2023-11-06,650.0
2023-11-07,650.0
2023-11-08,650.0
2023-11-09,650.0
2023-11-10,650.0
2023-11-13,680.0
2023-11-14,685.0
2023-11-15,685.0
2023-11-16,685.0
2023-11-17,650.0
2023-11-20,650.0
2023-11-21,650.0
2023-11-22,650.0
2023-11-23,650.0
2023-11-24,650.0
2023-11-27,650.0
2023-11-28,650.0
2023-11-29,650.0
2023-11-30,650.0
2023-12-01,690.0
2023-12-04,690.0
2023-12-05,690.0
2023-12-06,690.0
2023-12-07,690.0
2023-12-08,690.0
2023-12-11,690.0
2023-12-12,690.0
2023-12-13,690.0
2023-12-14,690.0
2023-12-15,690.0
2023-12-18,690.0
2023-12-19,690.0
2023-12-20,690.0
2023-12-21,690.0
2023-12-22,690.0
2023-12-27,690.0
2023-12-28,690.0
2023-12-29,690.0
2024-01-02,690.0
2024-01-03,690.0
2024-01-04,690.0
2024-01-05,690.0
2024-01-08,690.0
2024-01-09,690.0
2024-01-10,690.0
2024-01-11,690.0
2024-01-12,690.0
2024-01-15,690.0
2024-01-16,690.0
2024-01-17,690.0
2024-01-18,690.0
2024-01-19,690.0
2024-01-22,690.0
2024-01-23,690.0
2024-01-24,690.0
2024-01-25,690.0
2024-01-26,690.0
2024-01-29,690.0
2024-01-30,690.0
2024-01-31,690.0
2024-02-01,690.0
2024-02-02,690.0
2024-02-05,690.0
2024-02-06,690.0
2024-02-07,690.0
2024-02-08,690.0
2024-02-09,700.0
2024-02-12,700.0
2024-02-13,700.0
2024-02-14,700.0
2024-02-15,700.0
2024-02-16,700.0
2024-02-19,700.0
2024-02-20,700.0
2024-02-21,700.0
2024-02-22,700.0
2024-02-23,700.0
2024-02-26,700.0
2024-02-27,700.0
2024-02-28,700.0
2024-02-29,700.0
2024-03-01,700.0
2024-03-04,700.0
2024-03-05,700.0
2024-03-06,700.0
2024-03-07,700.0
2024-03-08,700.0
2024-03-11,700.0
2024-03-12,700.0
2024-03-13,700.0
2024-03-14,700.0
2024-03-15,700.0
2024-03-18,700.0
2024-03-19,700.0
2024-03-20,700.0
2024-03-21,700.0
2024-03-22,700.0
2024-03-25,700.0
2024-03-26,700.0
2024-03-27,700.0
2024-03-28,700.0
2024-04-02,700.0
2024-04-03,700.0
2024-04-04,700.0
2024-04-05,700.0
2024-04-08,700.0
2024-04-09,700.0
2024-04-10,700.0
2024-04-11,700.0
2024-04-12,700.0
2024-04-15,700.0
2024-04-16,700.0
2024-04-17,700.0
2024-04-18,700.0
2024-04-19,700.0
2024-04-22,700.0
2024-04-23,700.0
2024-04-24,700.0
2024-04-25,700.0
2024-04-26,700.0
2024-04-29,700.0
2024-04-30,700.0
2024-05-02,700.0
2024-05-03,700.0
2024-05-06,700.0
2024-05-07,700.0
2024-05-08,700.0
2024-05-09,700.0
2024-05-10,700.0
2024-05-13,700.0
2024-05-14,700.0
2024-05-15,700.0
2024-05-16,700.0
2024-05-17,700.0
2024-05-20,700.0
2024-05-21,700.0
2024-05-22,700.0
2024-05-23,700.0
2024-05-24,700.0
2024-05-27,700.0
2024-05-28,700.0
2024-05-29,700.0
2024-05-30,700.0
2024-05-31,700.0
2024-06-03,700.0
2024-06-04,700.0
2024-06-05,700.0
2024-06-06,700.0
2024-06-07,700.0
2024-06-10,700.0
2024-06-11,700.0
2024-06-12,700.0
2024-06-13,700.0
2024-06-14,700.0
2024-06-17,700.0
2024-06-18,700.0
2024-06-19,700.0
2024-06-20,700.0
2024-06-21,700.0
2024-06-24,700.0
2024-06-25,700.0
2024-06-26,700.0
2024-06-27,700.0
2024-06-28,700.0
2024-07-01,700.0
2024-07-02,700.0
2024-07-03,700.0
2024-07-04,700.0
2024-07-05,700.0
2024-07-08,700.0
2024-07-09,700.0
2024-07-10,700.0
2024-07-11,700.0
2024-07-12,700.0
2024-07-15,700.0
2024-07-16,700.0
2024-07-17,700.0
2024-07-18,700.0
2024-07-19,700.0
2024-07-22,700.0
2024-07-23,700.0
2024-07-24,730.0
2024-07-25,730.0
2024-07-26,730.0
2024-07-29,730.0
2024-07-30,730.0
2024-07-31,730.0
2024-08-01,730.0
2024-08-02,730.0
2024-08-05,730.0
2024-08-06,730.0
2024-08-07,730.0
2024-08-08,730.0
2024-08-09,730.0
2024-08-12,730.0
2024-08-13,730.0
2024-08-14,730.0
2024-08-15,730.0
2024-08-16,730.0
2024-08-19,730.0
2024-08-20,730.0
2024-08-21,730.0
2024-08-22,730.0
2024-08-23,730.0
2024-08-26,730.0
2024-08-27,730.0
2024-08-28,730.0
2024-08-29,730.0
2024-08-30,730.0
2024-09-02,730.0
2024-09-03,730.0
2024-09-04,730.0
2024-09-05,730.0
2024-09-06,730.0
2024-09-09,730.0
2024-09-10,730.0
2024-09-11,730.0
2024-09-12,730.0
2024-09-13,730.0
2024-09-16,730.0
2024-09-17,730.0
2024-09-18,730.0
2024-09-19,730.0
2024-09-20,730.0
2024-09-23,730.0
2024-09-24,730.0
2024-09-25,730.0
2024-09-26,730.0
2024-09-27,730.0
2024-09-30,730.0
2024-10-01,730.0
2024-10-02,730.0
2024-10-03,730.0
2024-10-04,730.0
2024-10-07,730.0
2024-10-08,730.0
2024-10-09,730.0
2024-10-10,730.0
2024-10-11,730.0
2024-10-14,730.0
2024-10-15,730.0
2024-10-16,730.0
2024-10-17,730.0
2024-10-18,730.0
2024-10-21,730.0
2024-10-22,730.0
2024-10-23,730.0
2024-10-24,730.0
2024-10-25,730.0
2024-10-28,730.0
2024-10-29,730.0
2024-10-30,730.0
2024-10-31,730.0
2024-11-01,730.0
2024-11-04,730.0
2024-11-05,730.0
2024-11-06,730.0
2024-11-07,730.0
2024-11-08,730.0
2024-11-11,730.0
2024-11-12,730.0
2024-11-13,730.0
2024-11-14,730.0
2024-11-15,730.0
2024-11-18,730.0
2024-11-19,730.0
2024-11-20,730.0
2024-11-21,730.0
2024-11-22,730.0
2024-11-25,730.0
2024-11-26,730.0
2024-11-27,730.0
2024-11-28,730.0
2024-11-29,730.0
2024-12-02,730.0
2024-12-03,730.0
2024-12-04,730.0
2024-12-05,730.0
2024-12-06,730.0
2024-12-09,730.0
2024-12-10,730.0
2024-12-11,730.0
2024-12-12,730.0
2024-12-13,730.0
2024-12-16,730.0
2024-12-17,730.0
2024-12-18,730.0
2024-12-19,730.0
2024-12-20,730.0
2024-12-23,730.0
2024-12-24,730.0
2024-12-27,730.0
2024-12-30,730.0
2024-12-31,730.0
2025-01-02,730.0
2025-01-03,730.0
2025-01-06,730.0
2025-01-07,730.0
2025-01-08,730.0
2025-01-09,730.0
2025-01-10,730.0
2025-01-13,730.0
2025-01-14,730.0
2025-01-15,730.0
2025-01-16,730.0
2025-01-17,730.0
2025-01-20,730.0
2025-01-21,730.0
2025-01-22,730.0
2025-01-23,730.0
2025-01-24,730.0
2025-01-27,730.0
2025-01-28,730.0
2025-01-29,730.0
2025-01-30,730.0
2025-01-31,730.0
2025-02-03,730.0
2025-02-04,730.0
2025-02-05,730.0
2025-02-06,730.0
2025-02-07,730.0
2025-02-10,730.0
2025-02-11,730.0
2025-02-12,730.0
2025-02-13,730.0
2025-02-14,730.0
2025-02-17,730.0
2025-02-18,730.0
2025-02-19,730.0
2025-02-20,730.0
2025-02-21,730.0
2025-02-24,730.0
2025-02-25,730.0
2025-02-26,730.0
2025-02-27,730.0
2025-02-28,730.0
2025-03-03,730.0
2025-03-04,730.0
2025-03-05,730.0
2025-03-06,730.0
2025-03-07,730.0
2025-03-10,730.0
2025-03-11,730.0
2025-03-12,730.0
2025-03-13,730.0
2025-03-14,730.0
2025-03-17,730.0
2025-03-18,730.0
2025-03-19,730.0
2025-03-20,730.0
2025-03-21,730.0
2025-03-24,730.0
2025-03-25,730.0
2025-03-26,730.0
2025-03-27,730.0
2025-03-28,745.0
2025-03-31,755.0
2025-04-01,755.0
2025-04-02,755.0
2025-04-03,755.0
2025-04-04,755.0
2025-04-07,755.0
2025-04-08,755.0
2025-04-09,755.0
2025-04-10,755.0
2025-04-11,755.0
2025-04-14,755.0
2025-04-15,755.0
2025-04-16,755.0
2025-04-17,755.0
2025-04-22,755.0
2025-04-23,755.0
2025-04-24,755.0
2025-04-25,755.0
2025-04-28,755.0
2025-04-29,755.0
2025-04-30,755.0
2025-05-02,755.0
2025-05-05,755.0
2025-05-06,755.0
2025-05-07,755.0
2025-05-08,755.0
2025-05-09,755.0
2025-05-12,755.0
2025-05-13,755.0
2025-05-14,755.0
2025-05-15,755.0
2025-05-16,755.0
2025-05-19,755.0
2025-05-20,755.0
2025-05-21,755.0
2025-05-22,755.0
2025-05-23,755.0
2025-05-26,755.0
2025-05-27,755.0
2025-05-28,755.0
2025-05-29,755.0
2025-05-30,755.0
2025-06-02,755.0
2025-06-03,755.0
2025-06-04,755.0
2025-06-05,755.0
2025-06-06,755.0
2025-06-09,755.0
2025-06-10,755.0
2025-06-11,755.0
2025-06-12,755.0
2025-06-13,755.0
2025-06-16,755.0
2025-06-17,755.0
2025-06-18,755.0
2025-06-19,755.0
2025-06-20,755.0
2025-06-23,755.0
2025-06-24,755.0
2025-06-25,755.0
2025-06-26,755.0
2025-06-27,755.0
2025-06-30,755.0
2025-07-01,755.0
2025-07-02,755.0
2025-07-03,755.0
2025-07-04,755.0
2025-07-07,755.0
2025-07-08,755.0
2025-07-09,755.0
2025-07-10,755.0
2025-07-11,755.0
2025-07-14,755.0
2025-07-15,755.0
2025-07-16,755.0
2025-07-17,755.0
2025-07-18,740.0
2025-07-21,740.0
2025-07-22,740.0
2025-07-23,740.0
2025-07-24,740.0
2025-07-25,740.0
2025-07-28,740.0
2025-07-29,740.0
2025-07-30,740.0
2025-07-31,740.0
2025-08-01,740.0
2025-08-04,740.0
2025-08-05,740.0
2025-08-06,740.0
2025-08-07,740.0
2025-08-08,740.0
2025-08-11,740.0
2025-08-12,740.0
2025-08-13,740.0
2025-08-14,740.0
2025-08-15,740.0
2025-08-18,740.0
2025-08-19,740.0
2025-08-20,740.0
2025-08-21,740.0
2025-08-22,740.0
2025-08-25,740.0
2025-08-26,740.0
2025-08-27,740.0
2025-08-28,740.0
2025-08-29,740.0
