,EFG FP Equity_DX_SI_QTY,EFG FP Equity_DX_SHORT_INTEREST_VALUE,EFG FP Equity_DX_SHORT_INTEREST_PCT_FREE_FLOAT,EFG FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,EFG FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,EFG FP Equity_DX_SI_MV,EFG FP Equity_DX_DSS,EFG FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,EFG FP Equity_DX_SUPPLY_SI_QTY,EFG FP Equity_DX_BROKER_SI_QTY,EFG FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,EFG FP Equity_DX_BROKER_SI_MV_NEW_x,EFG FP Equity_DX_SUPPLY_SI_QTY_NEW_x,EFG FP Equity_DX_SUPPLY_SI_QTY_INC_x,EFG FP Equity_DX_BROKER_SI_MV_INC_x,EFG FP Equity_DX_SUPPLY_SI_MV_NEW,EFG FP Equity_DX_BROKER_SI_QTY_ADD,EFG FP Equity_DX_BROKER_SI_QTY_NEW,EFG FP Equity_DX_SUPPLY_SI_MV_DEC,EFG FP Equity_DX_BROKER_SI_QTY_INC,EFG FP Equity_DX_SUPPLY_SI_QTY_DEC,EFG FP Equity_DX_BROKER_SI_MV_NEW_y,EFG FP Equity_DX_SUPPLY_SI_QTY_NEW_y,EFG FP Equity_DX_BROKER_SI_MV_INC_y,EFG FP Equity_DX_SUPPLY_SI_QTY_INC_y,EFG FP Equity_DX_BROKER_SI_MV_ADD,EFG FP Equity_DX_SUPPLY_SI_QTY_ADD,EFG FP Equity_DX_BROKER_SI_QTY_DEC,EFG FP Equity_DX_SUPPLY_SI_MV,EFG FP Equity_DX_BROKER_SI_MV_DEC,EFG FP Equity_DX_SUPPLY_SI_MV_RMV,EFG FP Equity_DX_BROKER_SI_MV_RMV,EFG FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,EFG FP Equity_DX_UTILIZATION_QUANTITY,EFG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,EFG FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,EFG FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,EFG FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,EFG FP Equity_DX_ACTIVE_UTILIZATION_MV,EFG FP Equity_DX_BROKER_SI_MARKET_SHARE_2,EFG FP Equity_DX_BROKER_SI_CON_RATIO,EFG FP Equity_DX_BROKER_SI_MARKET_SHARE_1,EFG FP Equity_DX_DEMAND_SUPPLY_RATIO
2007-02-28,64000.0,1335832.13,0.49,0.82,0.49,1.52,0.0,1335832.13,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1067517.72,,1.13,0.0,,1.0,100.0,1.2513
2007-03-01,64000.0,1414555.2,0.49,0.8,0.49,1.52,0.0,1414555.2,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1130428.53,,1.11,0.0,,1.0,100.0,1.2513
2007-03-02,64000.0,1395489.46,0.49,0.79,0.49,1.52,0.0,1395489.46,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1115192.32,,1.17,0.0,,1.0,100.0,1.2513
2007-03-05,64000.0,1377653.76,0.49,0.79,0.49,1.52,0.0,1377653.76,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1100939.09,,1.17,0.0,,1.0,100.0,1.2513
2007-03-06,64000.0,1414555.2,0.49,0.79,0.49,1.52,0.0,1414555.2,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1130428.53,,1.14,0.0,,1.0,100.0,1.2513
2007-03-07,64000.0,1353052.8,0.49,0.78,0.49,1.52,0.0,1353052.8,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1081279.46,,1.17,0.0,,1.0,100.0,1.2513
2007-03-08,64000.0,1322301.6,0.49,0.77,0.49,1.52,0.0,1322301.6,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1056704.93,,1.13,0.0,,1.0,100.0,1.2513
2007-03-09,64000.0,1291550.4,0.49,0.77,0.49,1.52,0.0,1291550.4,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.1,0.0,,1.0,100.0,1.2513
2007-03-12,64000.0,1278634.9,0.49,0.76,0.49,1.52,0.0,1278634.9,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1021809.09,,1.07,0.0,,1.0,100.0,1.2513
2007-03-13,64000.0,1306310.98,0.49,0.75,0.49,1.52,0.0,1306310.98,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1043926.17,,1.06,0.0,,1.0,100.0,1.2513
2007-03-14,64000.0,1291550.4,0.48,0.73,0.48,1.52,0.0,1291550.4,0.0,64000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.08,0.0,,1.0,100.0,1.2513
2007-03-15,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,64000.0,0.0,1.52,,,0.0,0.0,51145.0,1051790.02,,1.07,0.0,,0.0,,0.0
2007-03-16,5000.0,102343.84,0.04,0.06,0.04,0.11,0.0,102343.84,0.0,5000.0,0.0,,,,,,5000.0,,,,,,,,,0.11,,,0.0,,,,0.0,0.0,51145.0,1046875.11,,1.09,0.0,,1.0,100.0,0.0978
2007-03-19,5000.0,101959.45,0.04,0.06,0.04,0.11,0.0,101959.45,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1042943.19,,1.09,0.0,,1.0,100.0,0.0978
2007-03-20,5000.0,102824.32,0.04,0.06,0.04,0.11,0.0,102824.32,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1051790.02,,1.08,0.0,,1.0,100.0,0.0978
2007-03-21,5000.0,102680.18,0.04,0.06,0.04,0.11,0.0,102680.18,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1050315.55,,1.09,0.0,,1.0,100.0,0.0978
2007-03-22,5000.0,101863.35,0.04,0.06,0.04,0.11,0.0,101863.35,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1041960.21,,1.09,0.0,,1.0,100.0,0.0978
2007-03-23,5000.0,100902.37,0.04,0.05,0.04,0.11,0.0,100902.37,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.09,0.0,,1.0,100.0,0.0978
2007-03-26,5000.0,101094.57,0.04,0.13,0.04,0.11,0.0,101094.57,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1034096.36,,1.07,0.0,,1.0,100.0,0.0978
2007-03-27,5000.0,99941.4,0.04,0.18,0.04,0.11,0.0,99941.4,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1022300.58,,1.07,0.0,,1.0,100.0,0.0978
2007-03-28,5000.0,99460.91,0.04,0.19,0.04,0.11,0.0,99460.91,0.0,5000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1017385.67,,1.07,0.0,,1.0,100.0,0.0978
2007-03-29,10000.0,198633.53,0.08,0.47,0.08,0.21,0.0,198633.53,0.0,10000.0,0.0,,,,0.1,,,,,5000.0,,,,0.1,,,,,0.0,,,,0.0,0.0,51145.0,1015911.2,,1.06,0.0,,1.0,100.0,0.1955
2007-03-30,10000.0,198633.53,0.08,0.47,0.08,0.21,0.0,198633.53,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1015911.2,,1.06,0.0,,1.0,100.0,0.1955
2007-04-02,10000.0,196423.29,0.08,0.48,0.08,0.21,0.0,196423.29,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1004606.92,,1.05,0.0,,1.0,100.0,0.1955
2007-04-03,10000.0,196038.9,0.08,0.48,0.08,0.21,0.0,196038.9,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1002640.95,,1.05,0.0,,1.0,100.0,0.1955
2007-04-04,10000.0,196038.9,0.08,0.48,0.08,0.21,0.0,196038.9,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1002640.95,,1.04,0.0,,1.0,100.0,0.1955
2007-04-05,10000.0,193732.56,0.08,0.47,0.08,0.21,0.0,193732.56,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,990845.18,,1.04,0.0,,1.0,100.0,0.1955
2007-04-06,10000.0,193732.56,0.08,0.47,0.08,0.21,0.0,193732.56,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,990845.18,,1.04,0.0,,1.0,100.0,0.1955
2007-04-09,10000.0,193732.56,0.08,0.47,0.08,0.21,0.0,193732.56,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,990845.18,,1.04,0.0,,1.0,100.0,0.1955
2007-04-10,10000.0,194405.24,0.08,0.47,0.08,0.21,0.0,194405.24,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,994285.61,,1.03,0.0,,1.0,100.0,0.1955
2007-04-11,10000.0,194116.95,0.08,0.52,0.08,0.21,0.0,194116.95,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,992811.14,,1.04,0.0,,1.0,100.0,0.1955
2007-04-12,10000.0,192195.0,0.08,0.55,0.08,0.21,0.0,192195.0,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,982981.33,,1.03,0.0,,1.0,100.0,0.1955
2007-04-13,10000.0,194020.85,0.08,0.57,0.08,0.21,0.0,194020.85,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,992319.65,,1.02,0.0,,1.0,100.0,0.1955
2007-04-16,10000.0,195846.7,0.08,0.62,0.08,0.21,0.0,195846.7,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1001657.97,,1.03,0.0,,1.0,100.0,0.1955
2007-04-17,10000.0,197960.85,0.08,0.63,0.08,0.21,0.0,197960.85,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1012470.77,,1.04,0.0,,1.0,100.0,0.1955
2007-04-18,10000.0,201516.46,0.08,0.62,0.08,0.21,0.0,201516.46,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1030655.92,,1.05,0.0,,1.0,100.0,0.1955
2007-04-19,10000.0,197960.85,0.08,0.62,0.08,0.21,0.0,197960.85,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1012470.77,,1.07,0.0,,1.0,100.0,0.1955
2007-04-20,10000.0,199882.8,0.08,0.65,0.08,0.21,0.0,199882.8,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1022300.58,,1.06,0.0,,1.0,100.0,0.1955
2007-04-23,10000.0,198921.82,0.08,0.67,0.08,0.21,0.0,198921.82,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1017385.67,,1.07,0.0,,1.0,100.0,0.1955
2007-04-24,10000.0,200074.99,0.08,0.69,0.08,0.21,0.0,200074.99,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1023283.56,,1.05,0.0,,1.0,100.0,0.1955
2007-04-25,10000.0,200843.77,0.08,0.74,0.08,0.21,0.0,200843.77,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1027215.49,,1.06,0.0,,1.0,100.0,0.1955
2007-04-26,10000.0,201804.75,0.08,0.69,0.08,0.21,0.0,201804.75,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.07,0.0,,1.0,100.0,0.1955
2007-04-27,10000.0,205072.06,0.08,0.77,0.08,0.21,0.0,205072.06,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1048841.08,,1.07,0.0,,1.0,100.0,0.1955
2007-04-30,10000.0,201804.75,0.08,0.77,0.08,0.21,0.0,201804.75,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.09,0.0,,1.0,100.0,0.1955
2007-05-01,10000.0,201804.75,0.08,0.82,0.08,0.21,0.0,201804.75,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.08,0.0,,1.0,100.0,0.1955
2007-05-02,10000.0,201804.75,0.08,0.82,0.08,0.21,0.0,201804.75,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.07,0.0,,1.0,100.0,0.1955
2007-05-03,10000.0,201612.55,0.08,0.81,0.08,0.21,0.0,201612.55,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1031147.41,,1.08,0.0,,1.0,100.0,0.1955
2007-05-04,10000.0,200843.77,0.08,0.91,0.08,0.21,0.0,200843.77,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1027215.49,,1.07,0.0,,1.0,100.0,0.1955
2007-05-07,10000.0,201804.75,0.08,0.9,0.08,0.21,0.0,201804.75,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.07,0.0,,1.0,100.0,0.1955
2007-05-08,10000.0,201804.75,0.08,0.89,0.08,0.21,0.0,201804.75,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1032130.39,,1.08,0.0,,1.0,100.0,0.1955
2007-05-09,10000.0,201324.26,0.08,0.95,0.08,0.21,0.0,201324.26,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1029672.94,,1.07,0.0,,1.0,100.0,0.1955
2007-05-10,10000.0,203630.6,0.14,1.0,0.08,0.21,0.0,203630.6,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1041468.72,,1.08,0.0,,1.0,100.0,0.1955
2007-05-11,10000.0,203342.31,0.14,1.01,0.08,0.21,0.0,203342.31,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1039994.24,,1.08,0.0,,1.0,100.0,0.1955
2007-05-14,10000.0,204687.67,0.14,1.04,0.08,0.21,0.0,204687.67,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1046875.11,,1.08,0.0,,1.0,100.0,0.1955
2007-05-15,10000.0,205648.65,0.14,1.02,0.08,0.21,0.0,205648.65,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1051790.02,,1.09,0.0,,1.0,100.0,0.1955
2007-05-16,10000.0,206417.43,0.14,1.02,0.08,0.21,0.0,206417.43,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1055721.94,,1.1,0.0,,1.0,100.0,0.1955
2007-05-17,10000.0,207666.7,0.14,1.05,0.08,0.21,0.0,207666.7,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1062111.32,,1.11,0.0,,1.0,100.0,0.1955
2007-05-18,10000.0,211414.5,0.14,1.05,0.08,0.21,0.0,211414.5,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1081279.46,,1.1,0.0,,1.0,100.0,0.1955
2007-05-21,10000.0,209780.84,0.14,1.08,0.08,0.21,0.0,209780.84,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1072924.12,,1.13,0.0,,1.0,100.0,0.1955
2007-05-22,10000.0,210357.43,0.14,1.16,0.08,0.21,0.0,210357.43,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1075873.06,,1.12,0.0,,1.0,100.0,0.1955
2007-05-23,10000.0,211318.4,0.14,1.16,0.08,0.21,0.0,211318.4,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1080787.97,,1.12,0.0,,1.0,100.0,0.1955
2007-05-24,10000.0,211414.5,0.14,1.18,0.08,0.21,0.0,211414.5,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1081279.46,,1.13,0.0,,1.0,100.0,0.1955
2007-05-25,10000.0,209973.04,0.14,1.21,0.08,0.21,0.0,209973.04,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1073907.1,,1.12,0.0,,1.0,100.0,0.1955
2007-05-28,10000.0,210934.01,0.14,1.3,0.08,0.21,0.0,210934.01,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1078822.01,,1.12,0.0,,1.0,100.0,0.1955
2007-05-29,10000.0,209300.35,0.14,1.4,0.08,0.21,0.0,209300.35,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1070466.66,,1.12,0.0,,1.0,100.0,0.1955
2007-05-30,10000.0,207570.6,0.14,1.41,0.08,0.21,0.0,207570.6,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1061619.83,,1.12,0.0,,1.0,100.0,0.1955
2007-05-31,10000.0,209973.04,0.14,1.47,0.08,0.21,0.0,209973.04,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1073907.1,,1.1,0.0,,1.0,100.0,0.1955
2007-06-01,10000.0,212279.38,0.14,1.49,0.08,0.21,0.0,212279.38,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1085702.88,,1.12,0.0,,1.0,100.0,0.1955
2007-06-04,10000.0,211222.3,0.14,1.49,0.08,0.21,0.0,211222.3,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1080296.48,,1.12,0.0,,1.0,100.0,0.1955
2007-06-05,10000.0,211414.5,0.14,1.55,0.08,0.21,0.0,211414.5,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1081279.46,,1.12,0.0,,1.0,100.0,0.1955
2007-06-06,10000.0,211414.5,0.14,1.54,0.08,0.21,0.0,211414.5,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1081279.46,,1.13,0.0,,1.0,100.0,0.1955
2007-06-07,10000.0,211126.21,0.14,1.45,0.08,0.21,0.0,211126.21,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1079804.99,,1.13,0.0,,1.0,100.0,0.1955
2007-06-08,10000.0,209973.04,0.14,1.96,0.08,0.21,0.0,209973.04,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1073907.1,,1.13,0.0,,1.0,100.0,0.1955
2007-06-11,10000.0,210069.13,0.14,2.01,0.08,0.21,0.0,210069.13,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1074398.59,,1.12,0.0,,1.0,100.0,0.1955
2007-06-12,10000.0,210837.91,0.14,2.24,0.08,0.21,0.0,210837.91,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1078330.52,,1.12,0.0,,1.0,100.0,0.1955
2007-06-13,10000.0,208723.77,0.14,2.24,0.08,0.21,0.0,208723.77,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1067517.72,,1.12,0.0,,1.0,100.0,0.1955
2007-06-14,10000.0,210453.52,0.14,2.31,0.08,0.21,0.0,210453.52,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1076364.55,,1.11,0.0,,1.0,100.0,0.1955
2007-06-15,10000.0,209973.04,0.14,2.37,0.08,0.21,0.0,209973.04,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1073907.1,,1.11,0.0,,1.0,100.0,0.1955
2007-06-18,10000.0,209492.55,0.14,2.47,0.08,0.21,0.0,209492.55,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1071449.65,,1.11,0.0,,1.0,100.0,0.1955
2007-06-19,10000.0,209300.35,0.14,2.29,0.08,0.21,0.0,209300.35,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1070466.66,,1.11,0.0,,1.0,100.0,0.1955
2007-06-20,10000.0,208531.57,0.14,2.16,0.08,0.21,0.0,208531.57,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1066534.74,,1.11,0.0,,1.0,100.0,0.1955
2007-06-21,10000.0,205648.65,0.14,2.13,0.08,0.21,0.0,205648.65,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1051790.02,,1.11,0.0,,1.0,100.0,0.1955
2007-06-22,10000.0,206513.53,0.14,1.55,0.08,0.21,0.0,206513.53,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1056213.44,,1.09,0.0,,1.0,100.0,0.1955
2007-06-25,10000.0,204207.19,0.14,1.55,0.08,0.21,0.0,204207.19,0.0,10000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,51145.0,1044417.66,,1.1,0.0,,1.0,100.0,0.1955
