,AEEM FP Equity_DX_SI_QTY,AEEM FP Equity_DX_SHORT_INTEREST_VALUE,AEEM FP Equity_DX_SHORT_INT_RATIO_DAYS_TO_COVER,AEEM FP Equity_DX_SHORT_INTEREST_PCT_SHARES_OUT,AEEM FP Equity_DX_SI_MV,AEEM FP Equity_DX_DSS,AEEM FP Equity_DX_BROKER_SHORT_INTEREST_VALUE,AEEM FP Equity_DX_SUPPLY_SI_QTY,AEEM FP Equity_DX_BROKER_SI_QTY,AEEM FP Equity_DX_SUPPLY_SIDE_SHORT_INT_VAL,AEEM FP Equity_DX_BROKER_SI_MV_NEW_x,AEEM FP Equity_DX_SUPPLY_SI_QTY_NEW_x,AEEM FP Equity_DX_SUPPLY_SI_QTY_INC_x,AEEM FP Equity_DX_BROKER_SI_MV_INC_x,AEEM FP Equity_DX_SUPPLY_SI_MV_NEW,AEEM FP Equity_DX_BROKER_SI_QTY_ADD,AEEM FP Equity_DX_BROKER_SI_QTY_NEW,AEEM FP Equity_DX_SUPPLY_SI_MV_DEC,AEEM FP Equity_DX_BROKER_SI_QTY_INC,AEEM FP Equity_DX_SUPPLY_SI_QTY_DEC,AEEM FP Equity_DX_BROKER_SI_MV_NEW_y,AEEM FP Equity_DX_SUPPLY_SI_QTY_NEW_y,AEEM FP Equity_DX_BROKER_SI_MV_INC_y,AEEM FP Equity_DX_SUPPLY_SI_QTY_INC_y,AEEM FP Equity_DX_BROKER_SI_MV_ADD,AEEM FP Equity_DX_SUPPLY_SI_QTY_ADD,AEEM FP Equity_DX_BROKER_SI_QTY_DEC,AEEM FP Equity_DX_SUPPLY_SI_MV,AEEM FP Equity_DX_BROKER_SI_MV_DEC,AEEM FP Equity_DX_SUPPLY_SI_MV_RMV,AEEM FP Equity_DX_BROKER_SI_MV_RMV,AEEM FP Equity_DX_ACTIVE_UTILIZATION_QUANTITY,AEEM FP Equity_DX_UTILIZATION_QUANTITY,AEEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_QTY,AEEM FP Equity_DX_ACTIVE_AVAILABILITY_VALUE,AEEM FP Equity_DX_SUPPLY_SI_QTY_MV_RMV,AEEM FP Equity_DX_ACTIVE_AVAIL_SUPPLY_MV,AEEM FP Equity_DX_ACTIVE_UTILIZATION_MV,AEEM FP Equity_DX_BROKER_SI_MARKET_SHARE_2,AEEM FP Equity_DX_BROKER_SI_CON_RATIO,AEEM FP Equity_DX_BROKER_SI_MARKET_SHARE_1,AEEM FP Equity_DX_DEMAND_SUPPLY_RATIO,AEEM FP Equity_PX_LAST
2011-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.041
2011-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.018
2011-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.957
2011-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.953
2011-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.951
2011-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.946
2011-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.984
2011-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.99
2011-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.032
2011-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.066
2011-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.103
2011-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.085
2011-03-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.105
2011-03-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.141
2011-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23
2011-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.211
2011-04-04,500000.0,1607000.0,9.86,1.58,1.61,,1607000.0,0.0,500000.0,0.0,,,,,,500000.0,,,,,,,,,1.61,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,100.0,0.0,3.214
2011-04-05,590600.0,1905275.6,11.04,1.87,1.9,,1905275.6,0.0,590600.0,0.0,,,,,,90600.0,,,,,,,,,0.29,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,15.33,0.7404,84.67,0.0,3.226
2011-04-06,590600.0,1901141.4,9.95,1.87,1.91,,1901141.4,0.0,590600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,15.34,0.7403,84.66,0.0,3.219
2011-04-07,590600.0,1894054.2,10.11,1.87,1.9,,1894054.2,0.0,590600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,15.34,0.7403,84.66,0.0,3.207
2011-04-08,590600.0,1885785.8,9.53,1.87,1.9,,1885785.8,0.0,590600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,15.34,0.7403,84.66,0.0,3.193
2011-04-11,90600.0,287836.2,1.37,0.29,0.29,,287836.2,0.0,90600.0,0.0,,,,,,,,,,,,,,,,,500000.0,0.0,1.61,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.177
2011-04-12,90600.0,281313.0,1.37,0.29,0.29,,281313.0,0.0,90600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.105
2011-04-13,90600.0,283306.2,1.39,0.29,0.28,,283306.2,0.0,90600.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.127
2011-04-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.123
2011-04-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.131
2011-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.11
2011-04-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.118
2011-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.163
2011-04-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.163
2011-04-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.171
2011-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.124
2011-04-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2011-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.104
2011-05-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.115
2011-05-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.054
2011-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.018
2011-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.023
2011-05-06,41000.0,127100.0,0.38,0.13,0.12,,127100.0,0.0,41000.0,0.0,,,,,,41000.0,,,,,,,,,0.12,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.1
2011-05-09,41000.0,127469.0,0.38,0.13,0.13,,127469.0,0.0,41000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.109
2011-05-10,41000.0,128084.0,0.38,0.13,0.13,,128084.0,0.0,41000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.124
2011-05-11,41000.0,127715.0,0.37,0.13,0.13,,127715.0,0.0,41000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.115
2011-05-12,41000.0,126690.0,0.37,0.13,0.13,,126690.0,0.0,41000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.09
2011-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.074
2011-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.07
2011-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.039
2011-05-18,200000.0,617400.0,1.85,1.08,0.61,,617400.0,0.0,200000.0,0.0,,,,,,200000.0,,,,,,,,,0.61,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.087
2011-05-19,200000.0,614400.0,1.91,1.08,0.62,,614400.0,0.0,200000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.072
2011-05-20,200000.0,614800.0,2.09,1.08,0.61,,614800.0,0.0,200000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.074
2011-05-23,220000.0,667040.0,2.31,1.18,0.68,,667040.0,0.0,220000.0,0.0,,,,0.06,,,,,20000.0,,,,0.06,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.032
2011-05-24,220000.0,670780.0,2.14,1.18,0.67,,670780.0,0.0,220000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.049
2011-05-25,220000.0,672320.0,2.22,1.18,0.67,,672320.0,0.0,220000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.056
2011-05-26,220000.0,675180.0,2.22,1.18,0.67,,675180.0,0.0,220000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.069
2011-05-27,430000.0,1328270.0,3.96,2.31,1.32,,1328270.0,0.0,430000.0,0.0,,,,0.65,,,,,210000.0,,,,0.65,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.089
2011-05-30,430000.0,1326550.0,3.98,2.31,1.33,,1326550.0,0.0,430000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.085
2011-05-31,430000.0,1335580.0,3.95,2.31,1.33,,1335580.0,0.0,430000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.106
2011-06-01,430000.0,1327410.0,4.02,2.31,1.33,,1327410.0,0.0,430000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.087
2011-06-02,20000.0,61240.0,0.18,0.11,0.06,,61240.0,0.0,20000.0,0.0,,,,,,,,,,,,,,,,,410000.0,0.0,1.26,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.062
2011-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.039
2011-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.013
2011-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.013
2011-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.004
2011-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.026
2011-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.996
2011-06-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.005
2011-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.016
2011-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.02
2011-06-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.015
2011-06-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.98
2011-06-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.958
2011-06-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.991
2011-06-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.982
2011-06-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.968
2011-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.006
2011-06-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.001
2011-06-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.009
2011-06-29,700000.0,2114700.0,6.69,3.76,2.11,,2114700.0,0.0,700000.0,0.0,,,,,,700000.0,,,,,,,,,2.11,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.021
2011-06-30,700000.0,2135000.0,6.71,3.76,2.11,,2135000.0,0.0,700000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.05
2011-07-01,700000.0,2155300.0,6.65,3.76,2.12,,2155300.0,0.0,700000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.079
2011-07-04,700000.0,2168600.0,6.63,3.76,2.16,,2168600.0,0.0,700000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.098
2011-07-05,700000.0,2167900.0,7.47,3.76,2.16,,2167900.0,0.0,700000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.097
2011-07-06,700000.0,2173500.0,7.32,3.76,2.17,,2173500.0,0.0,700000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.105
2011-07-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.139
2011-07-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.118
2011-07-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.112
2011-07-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.092
2011-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1
2011-07-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.073
2011-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.08
2011-07-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.049
2011-07-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.058
2011-07-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.087
2011-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.072
2011-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.088
2011-07-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.084
2011-07-26,1000.0,3065.0,0.01,0.0,0.0,,3065.0,0.0,1000.0,0.0,,,,,,1000.0,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.065
2011-07-27,1000.0,3057.0,0.01,0.0,0.0,,3057.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.057
2011-07-28,1000.0,3081.0,0.02,0.0,0.0,,3081.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.081
2011-07-29,1000.0,3040.0,0.02,0.0,0.0,,3040.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.04
2011-08-01,1000.0,3062.0,0.02,0.0,0.0,,3062.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.062
2011-08-02,1000.0,3026.0,0.02,0.0,0.0,,3026.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,3.026
2011-08-03,1000.0,2918.0,0.02,0.0,0.0,,2918.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,2.918
2011-08-04,1000.0,2862.0,0.02,0.0,0.0,,2862.0,0.0,1000.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,1.0,100.0,0.0,2.862
